"pci_2015","iri_in_m_2015","fid","oid","featureid","strsegid","networkid","branchid","networknam","branchname","branchuse","from","sectionid","to","category","rank","stsegmtid","surface","area","length","width","assetnhood","cagclass","lane_cnt","objectid","rptclass","slablength","slabwidth","id","constructi","latitude","longitude","polygonid","pointid","strlabel"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009683553616","-84.6763714515335","3359","63925","RIVER RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1655824445582","-84.4198832982695","728","14280","DUCK CREEK RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.165575579621","-84.4198469508948","728","14281","DUCK CREEK RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.100972660897","-84.6764072731189","3359","63926","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.100977042801","-84.676443537669","3359","63927","RIVER RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1655693226671","-84.4198101791609","728","14282","DUCK CREEK RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1655634952865","-84.4197734191678","728","14283","DUCK CREEK RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.10098160587","-84.6764793672318","3359","63928","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009861597555","-84.676515637113","3359","63929","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009909794574","-84.6765514746264","3359","63930","RIVER RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1655581885307","-84.4197362324278","728","14284","DUCK CREEK RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009958846999","-84.6765873147918","3359","63931","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1010008681115","-84.6766235979787","3359","63932","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1010059453358","-84.6766594434765","3359","63933","RIVER RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.165553476066","-84.4196995028998","728","14285","DUCK CREEK RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1010111936525","-84.6766952942738","3359","63934","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1010166139621","-84.6767311503989","3359","63935","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1010220333602","-84.6767670065017","3359","63936","RIVER RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1655492851266","-84.419662346648","728","14286","DUCK CREEK RD"
