"service_area","department","job_title","earnings","meta_row_index","meta_row_id"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","107961.54","215","acbd0090d04ed17980de872cfd0f5284d893f1d0"
"Police Services","Patrol","Police Officer","107960.81","216","63d201c855e37d902d7502ccd7b57856a69e7a6f"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","107865.53","217","8685f9aa2fafbd4b95a7febab601269ce6dcbbca"
"Planning, Dev & Transportation","Traffic","Sr Manager, Traffic Engr","107813.88","218","06da125e2ef9ae1e6bbe99971e873c9820b9ddc5"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","107785.18","219","220bb85fb252258a8a050ea31c3789897d19e127"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","107278.92","220","ac24fadafca420b66673fb641571e790ec862fa6"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","107254.79","221","f246b1c311bfabc0010f57005225a251189b32c6"
"Information & Employee Svcs","Information Technology","Manager, Systems Engineering","107174.31","222","5f8d487351231b4149ca74c89cde243ad61f9c6c"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Manager, City Planning","106876.36","223","0006912662c855d24a370c1684e3dd8731b06b29"
"Police Services","Investigations","Police Officer","106735.19","224","26083699ef87044c5abd99206bdfa806d167d290"
"Utility Services","Utilities Customer Connections","Sr Supervisor, Mechanical Engr","106442.24","225","1f6c34342c3d4ac1bee5c5991e5a3ae866c984ab"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","106408.1","226","e01f33c64018fa3f799f2889e0cc4de65e69b5dc"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","106299.94","227","7c4465fe5d5bf573d490abed0b0df9286a5980cb"
"Utility Services","L&P Electric Field Services","Electric Lineworker","106163.36","228","6098bab5e7859539dda7be256c00d109a0ff3938"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","106101.02","229","f1211cb837333bef4c12824fce99e1f9653aed2f"
"Utility Services","L&P Electric Field Services","Line Crew Chief","106098.14","230","4522e2babb424af5e2a46159b10db6114f7a8592"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","106003.6","231","4fa9f41b495eefa387992a0ee5a5d5f8a7e63a2f"
"Planning, Dev & Transportation","Streets","Manager, Civil Engineering","105968.62","232","3b984ddd159ed35bb776880eac00e6be3d1568f6"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","105954.32","233","86bebcd3fccb1038b85c43ddcc9849b0f5bbec4f"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","105821.65","234","360d67596f43ede84a4ccc87cd0a9daa3ff5d66e"
"Police Services","Investigations","Police Officer","105775.27","235","cd14f3d51f6afc78c9b689ba3db235bf31545e80"
"Police Services","Patrol","Police Officer","105712.81","236","ee4333112f67456377cbdb21bef51f4316da4096"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","105707.87","237","cc2dac496c2895be7158f8823f587f34377342e9"
"Utility Services","L&P Electric Field Services","Line Crew Chief","105700.7","238","270e48bc62d49620210f37f5cc55c6f396503237"
"Planning, Dev & Transportation","Engineering","Civil Engineer III","105697.94","239","84f5ccabc1c9511a705469fb372fded345fd8706"
"Police Services","Police Administration","Police Officer","105686.39","240","b087bc61aad8ab7c74665768579345d0a9566aca"
"Police Services","Investigations","Police Officer","105600.12","241","d2c2183d0dff1ad2f36c60757e7662dc79c029c1"
"Utility Services","L&P Operations & Technology","Electric Systems Operator","105553.950000001","242","0cd414bcfcb71288e626076203e09381365bd0b4"
"Utility Services","L&P Electric Field Services","Electric Lineworker","105547.07","243","27e9488ed85076a6442a531abaa9a4a35fd8f941"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","105540.41","244","8bf0878370878c4e6e01c7c9e1a2905f76d7be0d"
"Utility Services","Ut Water Resources Div","Civil Engineer III","105479.5","245","07d912c7d16ed6d9ccc19d10c7c429158d6d0f95"
"Planning, Dev & Transportation","Engineering","Civil Engineer III","105377.920000001","246","3bd0b3b0a619e227b9f16c77944c57ed181d90f5"
"Utility Services","Ut Water UTL Engineering Div","Civil Engineer III","105364.64","247","de00a8004f1852e61966b4b6a34100cc45478e7d"
"Utility Services","Broadband","Sr Engineer, Network","105330.4","248","30919007eeadb857e4302eed31c445a9927f2673"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","105230.84","249","42e4b61ecdc8769d65a17614a34b135e33a77335"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","105183.28","250","41f3d3f799330ac637fc00852dd95cc92a345d8a"
"Utility Services","L&P Electric Field Services","Manager, Elec Distr Hi Voltage","105098.86","251","7fa3375c903e5d458255a8c6ff4793b33d3a5f9b"
"Utility Services","L&P Electric Field Services","Line Crew Chief","105096.73","252","65b87640139dc020ffbdec525ad71e4a5d9e99d2"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","105095.68","253","e3d4ef45b032fa027d0070e6c85c0b58f66aea4e"
"Utility Services","L&P Electric Field Services","Manager, Elec Distr Hi Voltage","105038.86","254","70da27b33d1c4c48e882f34aa92ac22ff3d1b075"
"Utility Services","Ut Water UTL Engineering Div","Civil Engineer III","104986.8600000004","255","666d8b97fac9d83e145c8e95faa7b1acd4caa129"
"Utility Services","Ut Water UTL Engineering Div","Civil Engineer III","104952.920000001","256","f0c178e68b22c812a90172062ef7a26beaded041"
"Utility Services","L&P Electric Field Services","Electric Lineworker","104936.18","257","9c496522b1046ca8a4de07f0b024112cd2959a4a"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","104750.54","258","e24e5e7869710c3b337b98468c6145d679793a05"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","104747.38","259","1d0ee693d183f87392d624865f1c3dc849a92394"
"Police Services","Police Administration","Police Officer","104619.47","260","948d9e56b26ce3d1f5c9bd5d75053021c2ad77e3"
"Utility Services","L&P Electric Field Services","Line Crew Chief","104612.019999999","261","b567e911d831c350f35b0c4cfc66a639b9e598c7"
"Utility Services","Ut Water UTL Engineering Div","Civil Engineer III","104433.8599999997","262","80c7d5dcbe2266f967035a16996bb83f6aa85a17"
"Utility Services","L&P Electric Field Services","Line Crew Chief","104243.36","263","43c0c0d468be2f388c9e169ff5e08e448672f0dc"
"Utility Services","L&P Operations & Technology","Electric Systems Operator","104141.679999999","264","361d40fef98070fe07217d4de850b648b37bd20c"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter 40 Hour (Special)","104124.41","265","cbf980512e02d7557812c68393178d5beff8133c"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","104101.3","266","294681147d46ec6dc7e63fc5e6fc42c8a1fc8973"
"Police Services","Special Operations","Police Officer","104091.54","267","8454cced746732a85ca2ff0b49a25cdb37e50527"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","104003.48","268","8079508bb00a17b6a0630641032e6649b2355bb7"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","103960.24","269","326a859fa6659ad48af499288132a1950bd4da15"
"Community Services","Natural Areas","Sr Manager, Natural Areas","103945.12","270","3605703a7a273ccb3b1bcca61f09fad5286ef993"
"Utility Services","Ut Water UTL Engineering Div","Civil Engineer III","103881.08","271","21e273ac7e21437b1a8197d26c014791a289e885"
"Utility Services","L&P Electric Field Services","Electric Lineworker","103699.689999999","272","5b0a0d93b9d96e0df85a150a32485e943beb69fc"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","103622.53","273","4625987e76006c449e8c76f36592ddf7a6c3782b"
"Utility Services","Ut Water UTL Engineering Div","Civil Engineer III","103612.09999999999","274","7dfe26f0407b0529b213ed9899d244871b020c0b"
"Police Services","Patrol","Police Officer","103516.48","275","0790a3b4b357c037dcf75bc6154077a478a73b25"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","103493.37","276","0ae9b09957bf955ac3ce70f09244f9683aba4f21"
"Utility Services","Ut Water UTL Engineering Div","Civil Engineer III","103362.3000000002","277","efb3602e35b33a68696a02ef04412555aa1edee6"
"Police Services","Patrol","Police Officer","103324.7","278","e2fd0bdae3eee011ebfa4adc97bc3f70a164f67a"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","103250.43","279","dee1be12e1dea655f1c5d21cba69dfe86a3806bb"
"Planning, Dev & Transportation","Engineering","Civil Engineer III","103246.56","280","2bfa8ba19ed8512c6dde2d673bd568d75bf258a0"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","103236.15","281","7fb25c022dc862e4b4e36425e815af37c2a27101"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","103115.21","282","38e6acaeb36d42637de7b76a0db1815835795173"
"Planning, Dev & Transportation","Traffic","Manager, Traffic Engineering","103059.84","283","5d0d661764aee530ad6a44830eabe74b1bf4819b"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","103033.54","284","85e4be3962f46de191a7f08f311f5e395bbbe346"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","103013.71","285","1aaa5507e6a661d29629b4f0ddf729c4335f5a61"
"Police Services","Investigations","Police Officer","103006.68","286","4981811ee7eaf997a24f040e23ae6bfb129ea076"
"Information & Employee Svcs","Information Technology","Sr Analyst, Apps Software","102989.0","287","9f10da8bc3f8e08117b9d9259ef3f931710ad2b7"
"Police Services","Investigations","Police Officer","102890.51","288","e1b2ce59b6ce5e639d991a68db2b78022d487768"
"Utility Services","L&P Electric Field Services","Line Crew Chief","102875.5","289","8841fdda8cc425101a0d7e59af79856760a4c4af"
"Utility Services","Ut Water Systems Engr Div","Civil Engineer III","102856.86","290","e179b83e4b07d774a73ed4e8d4c7bdeb0c9d5abd"
"Utility Services","L&P Operations & Technology","Substation Specialist","102830.39","291","d4b2148196b1c12dfbff725152d42ed504d5ded1"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","102811.35","292","a599184ca90fc706897d67e8956df249a159a634"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Sr Manager, Bldg & Dev Review","102799.02","293","201b0465c2df65babcf589b17f045e0c33cbe73d"
"Utility Services","Ut Process & Supervis Cntr Div","Sr Administrator, Systems","102671.500000001","294","0a5397d568ca009323a5b87cfa9b6d7fd2705529"
"Police Services","Police Information Services","Sr Supervisor, Emergency Comms","102598.48","295","ec211c4ad9772f1c06725df73306dc02202ce1e1"
"Utility Services","Ut Process & Supervis Cntr Div","Manager, Systems Admin","102553.599999999","296","2a27c1a6ac48661f2a7c9e160308cf224412632b"
"Legal Services","City Attorney's Office","Assistant City Attorney II","102534.74","297","bd0dfdfa12c43b41ea4ec4c9d36fd0b16909b466"
"Poudre Fire Authority","Poudre Fire Authority","Fire Inspect Coord - 56 Hr/Wk","102461.14","298","01b1e629b1a839ea8af96a0355df206277b6da41"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","102443.97","299","8b40bfb761894a3e8851029eb8131cb0176d754d"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","102369.88","300","95a017bf9c18496ac941fd5b1cfd6c373ca68204"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","102346.04","301","de6c0ce14b3573b1cd79d65a8fcc3a6ad524302f"
"Utility Services","L&P Electric Field Services","Electric Lineworker","102284.95","302","a03282ef45b4b960a7001ae07c74dffcb63b3dbd"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","102258.12","303","8f5bae21103fbc75ef1721562f6280a58e0a35d8"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","102236.16","304","31bbd683cbe007e70b10734abb4752aad603ea40"
"Police Services","Special Operations","Police Sergeant","102180.07","305","8dccd254a3c614b5bd9bc2527b0138224659e49b"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","102065.31","306","21dfbd5cfdf4116014ca976b74fb6bbf75471a08"
"Police Services","Special Operations","Police Officer","102030.02","307","bcfcac5ad32fe56da1c256c0148572fa9232d4c6"
"Information & Employee Svcs","Information Technology","Sr Analyst, Apps Software","101923.06","308","47dce5be608cdfc48c4cb66c18dfad7f68c9ff01"
"Police Services","Special Operations","Police Officer","101809.2","309","8f1edb2b222925898d73a727f72e6ae1a80f52c2"
"Utility Services","L&P Electric Field Services","Line Crew Chief","101733.45","310","8c2191815a7287868ba211bf2bbfd7805f28514c"
"Police Services","Special Operations","Police Officer","101666.07","311","af71c11bc988e5601806be62d3136bb802a5381f"
"Utility Services","L&P Operations & Technology","Sr Technical Project Manager","101542.48","312","37040fe9b56bfca0b0e00c711ca860e291f84bb4"
"Utility Services","L&P Operations & Technology","Substation Specialist","101535.57","313","c8449faba696d5d10cc86c294dbd957e0caddd51"
"Utility Services","Ut Water Production Div","Manager, Plant Operations","101471.84","314","1ec3fa265a5e39cfc1715123b9a496a741ab9e33"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","101455.23","315","2708284190759d28d855bc0a4088f56fd9e88bf3"
"Utility Services","L&P Electrical Engineering","Sr Technical Project Manager","101444.9","316","ec533db22564c493322483414b22a5ff20a307d4"
"Utility Services","Ut Water Quality Services Div","Sr Supervisor, Sciences","101385.96","317","9a9d857c40b43b61fff08251c4e74ccbdf504612"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","101360.3","318","d9e82803c4935ba731a62b2736a4c9d2287d443c"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","101315.25","319","d070996a6a8bde7c016c9bb62c85ef87150acdd6"
"Planning, Dev & Transportation","Engineering","Manager, Civil Engineering","101131.52","320","f9f89ceb1a1a82ded2c5549bb686713bd2dda66e"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","101078.44","321","7aad6f0e095e3098ae300859ae3da01b27885ad7"
"Utility Services","Utilities Strategic Planning","Civil Engineer II","100965.519999999","322","52d8ddb7735977933c8829004b23dc80859ba97a"
"Police Services","Investigations","Police Officer","100950.02","323","fc1ae2ed9d950e132f64d7904fd9242ad39ed8e9"
"Police Services","Patrol","Police Officer","100919.29","324","afc9833f8e13c2a34f4bbf638210ca6677569f75"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","100902.71","325","16609755de03d5f9e532f827d75144dce9831786"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","100873.23","326","1542866630caa9cfaddf5306b07317e6f4035a81"
"Utility Services","L&P Administration","Electrical Engineer III","100859.2","327","d918fcceb587928f2158177ea547e42e23171f85"
"Utility Services","L&P Electric Field Services","Electric Lineworker","100844.34","328","f6d90c26058c06fec8a57380432a6097dda585bc"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter Driver/Op-40 Hr/Wk","100840.24","329","b34464071002cad947d2143bf601c6300425414c"
"Police Services","Patrol","Police Officer","100793.52","330","2a47045deba119beaffa0d542ee88feeecd020e0"
"Information & Employee Svcs","Information Technology","Sr Analyst, Systems","100785.5","331","df5d90803eabb731363a7849da4597d5e31608da"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter 40 Hour (Special)","100752.61","332","895f488e4f533f4bd123a9a724ca4b98266220c1"
"Police Services","Patrol","Police Officer","100738.9","333","6b9b8417ab67b4455ef3fa157c7cb342e9228c70"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter 40 Hour (Special)","100655.94","334","0ef5348a539cd257cde7f2a2298368adbf54e2de"
"Utility Services","Utilities Customer Connections","Mechanical Engineer III","100538.01","335","b474a9a8d4fe78b6d2aa29773e3940daae186816"
"Police Services","Special Operations","Police Officer","100278.64","336","9a66a4eabbab0b0d99f7a9623ec0689b5528694e"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","100278.22","337","41f2ada574627819ce969842896bfdb6dbb92428"
"Planning, Dev & Transportation","FC Moves","Sr Manager, Transportation Pln","100184.059999999","338","2be7273875d8865e058b30a21a105c70a1243777"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","99920.96","339","4e377e1f46c83a622285250b67e2b83f3cd4384d"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","99917.26","340","06101debd9d70fab2634a70219de60796f7e6f7b"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","99860.15","341","e02d3d6f4d140ecb92b7d44473056ea55aa36320"
"Utility Services","L&P Electric Field Services","Line Crew Chief","99754.1799999999","342","7505b1914fb2bef4a025cb3b5e05803b8835dfbd"
"Utility Services","L&P Electric Field Services","Line Crew Chief","99622.3599999997","343","5e6f8e235da40ef88dc16f1e37e9ee124b4e314e"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","99359.18","344","2f478d266c7ba77461adc77e80ce69db841655c2"
"Utility Services","L&P Operations & Technology","Sr Analyst, Apps Software","99318.2400000003","345","55e77bca820207003e6d2f708c4cc2e4dd24b355"
"Police Services","Police Information Services","Sr Manager, Information Svcs","99240.3600000001","346","4be6b067da7d6da0d4ce876d7154725252f45293"
"Utility Services","Ut Collection System Div","Manager, Water Field Ops","99231.5400000002","347","b36149e157f66261e9ba59c85161001de9fe6bc4"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","99183.3","348","2d02ffe0f346bdce1d2e8fc167cea0cf51e8220b"
"Utility Services","L&P Electrical Engineering","Sr Supervisor, Electric Dist","99122.3300000001","349","0dc5dc23fd470ecec62fffa2cbfeb846baf83f90"
"Utility Services","Broadband","Sr Project Manager","90289.66","528","dfe5063a0c3cf7b5110c2d5604e55d6661437a12"
"Poudre Fire Authority","Poudre Fire Authority","Fire Inspect Coord - 56 Hr/Wk","99036.82","350","7a5a70335b9c5a41840f80cbb0dd2377c1e4bd8f"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Sr Manager, Bldg & Dev Review","99033.0799999996","351","e92b9a610eaa61248edcf33cdb1741a6bef93386"
"Police Services","Patrol","Police Officer","98900.0","352","671bfc0b18bcfc44d18bdbf4af31c072958f98da"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","98808.96","353","9c94984a5f3761ae3b85a9b73ae394f499337792"
"Utility Services","Ut Water UTL Engineering Div","Civil Engineer III","98793.2800000004","354","9904cf3e27a07b2bff91a26a1f26aaf611e4fe6c"
"Utility Services","Broadband","Manager, Broadband","98715.8","355","5ebfa44549daadc2e78ad60d5e861c4f615f45bb"
"Police Services","Patrol","Police Officer","98636.35","356","6a5599abbe1138b056422e9ab69af364a61f8011"
"Information & Employee Svcs","Information Technology","Manager, Applications Software","98577.96","357","d51e0c745c1b09c73e461f536d809a5787b405c8"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","98557.96","358","530ec9a816c901dc425805a26397aab49cf9ff84"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","98518.92","359","fb0a7d01390259651e773023aa899cd4aac78c31"
"Police Services","Special Operations","Police Officer","98497.57","360","6022a15e588771736aaf77a1ae1565cad9369156"
"Utility Services","Ut Water Quality Services Div","Sr Supervisor, Sciences","98459.6799999995","361","1b88dea399e60d552ebc34de698dfcd9128fa56e"
"Utility Services","L&P Electric Field Services","Electric Lineworker","98456.13","362","75156f1ab6e88b588ac5db49df943f1455e60806"
"Information & Employee Svcs","Information Technology","Sr Engineer, Systems","98432.3200000001","363","209e531283a1e049dc07ac4ee53c30e2409cecc5"
"Police Services","Investigations","Police Officer","98385.77","364","e3f6c1f37f837bd6b7957b79ff6770f180ec2993"
"Planning, Dev & Transportation","Engineering","Civil Engineer II","98294.8000000003","365","91e82970d1025731dcdf991d0e986d27938be293"
"Police Services","Patrol","Police Officer","98268.31","366","fe9362ed48989d524105acdf23398648f5b4f897"
"Police Services","Patrol","Police Officer","98204.17","367","f9c2240c7f07b0c00bd109357f95e91b223b8cd2"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","98134.96","368","9e2622c55fe4fec90f1ffc051f8f31b023356d26"
"Police Services","Patrol","Police Officer","98119.2","369","bf9bfb1a3bc750ed99cb680b0d03a8b56cfd8594"
"Police Services","Special Operations","Police Officer","98101.93","370","38bc6c201ec5cdbfb55dad8e2c177e81fd748171"
"Police Services","Patrol","Police Officer","98061.99","371","17f90911d27a29a7cffde739e746f1ecae9bbdd3"
"Utility Services","Ut Water Resources Div","Water Engineer II","98000.6800000001","372","67cc17e23b6ab528222a7e1b1c74afe92810f359"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","97873.25","373","4f508d17b8d06555b08ccea81ce2d2ea4fe7da4a"
"Sustainability Services","Environmental Services","Sr Manager, Env Sustain","97734.63","374","c4e8a6f52b5a5a9926f899f7f53ed14526741899"
"Financial Services","Accounting and Treasury","Manager, Payroll","97654.3400000001","375","7caf1652a28ebea0504ae19437067da21d78a348"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","97643.32","376","a65c1cb19296b700fbbbbd3e816e2be52a0f33ef"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","97572.28","377","4cf4d2efa620a9b45b4690d8b42bdaa46bc5acdf"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","97438.05","378","71146be85197286f3e751171fbd559aa2ffbe008"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","97389.11","379","84b15ab712221fc154811b9027fad208b4317a0c"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","97278.47","380","22ea63e1122e969394ead00b1187a8d5aed79b8f"
"Police Services","Patrol","Police Officer","97267.54","381","a0beb95ae1e7e17a63166a6966c8f4875196f962"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter 40 Hour (Special)","97249.06","382","226ab55f1555a87f668684046d16e21b6fcff689"
"Police Services","Patrol","Police Officer","97234.25","383","ec962eb23c46d947550926886bdd27f297c9a4a6"
"Police Services","Patrol","Police Officer","97128.6","384","faad449ca7c9a45223a4ba6bca04cd3bab1db67f"
"Police Services","Investigations","Police Officer","97128.24","385","2085cc096a8f9e1845d6dc52c0e6424d7b8cd7c3"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","97063.87","386","080edc021a5d9edcbb2d89796575792fef1c8b24"
"Poudre Fire Authority","Poudre Fire Authority","Finance And Budget Supervisor","96998.36","387","b08d41ad88dcd829f319ee3a90ee98a6aa9a4092"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","96994.18","388","f27d71b6dca37b1d07e520d467059cb4a1e98308"
"Police Services","Patrol","Police Officer","96946.83","389","ba6e28593b56591107f9bb27745d7af35a19647d"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","96856.55","390","8c07af62fb5a8cbf117eec0eff7599e33a281785"
"Police Services","Special Operations","Police Officer","96779.31","391","66b68de2f63f65b161e7c0944c0b84c43a067edf"
"Police Services","Police Administration","Police Psychologist","96687.26","392","39334a8331900211abec29fe0ab24c687693257f"
"Planning, Dev & Transportation","Engineering","Manager, Civil Engineering","96681.4399999999","393","62e1816542aa8d48bfebc9c2993f56b83885824a"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","96504.57","394","bad35cb45065967c66fcfe25d1ae1e27b3a7af34"
"Utility Services","L&P Electrical Engineering","Sr Manager, Elec Engr-Inactive","96429.4","395","f084422da5556f47354b707f2ef83770cc573720"
"Police Services","Special Operations","Police Officer","96423.15","396","96d5dc11477e97492e3991055cdbd03981b0b7a4"
"Legal Services","City Attorney's Office","Assistant City Attorney II","96413.18","397","d829a53ffb8c8916479f94f8b3a058b0efea4878"
"Library District","Library District","Human Resources Manager","96395.5999999999","398","44ee71f4d4859da620b980d8e22768a5346b3d69"
"Police Services","Patrol","Police Officer","96371.52","399","1a614390f86676a84f69b464af7b3f62dd8f2b3d"
"Utility Services","Ut Water UTL Engineering Div","Civil Engineer II","96354.9800000002","400","8dc025ef57c5c4e4662e3d6b375b95c2745203f3"
"Police Services","Patrol","Police Officer","96322.74","401","cff726813b2e146dbad41270bb717ce765615231"
"Financial Services","Safety, Security, & Risk Mgmt.","Dir, Wrkfrce Sfty Scrty-Inacti","96218.6400000002","402","7181b9f715149273ea85b035d7e9be144ea72637"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","96210.46","403","ec4b792174188a8f67b59eb6ee6039310f2ab72d"
"Utility Services","L&P Electrical Engineering","Sr Technical Project Manager","96114.4000000003","404","edf80f2c6408249a980236df3bef372c45a000a4"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","96080.9799999999","405","027272a80476b4c95dc2a17ce49da3c76690fed9"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","96076.73","406","31c4f1b987ab5615b22623b2c69462c070c7a224"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter Driver/Op-40 Hr/Wk","96060.7","407","0ca1644bc5af59279c0d0ddf2ad0de543554308c"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","96059.4299999998","408","97fce8d6615c1c4e218176374c5f3a3efd652ccd"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","96026.05","409","87f5c0822cc869a4acebc6c8ad4df2a611d63504"
"Police Services","Investigations","Police Officer","95906.86","410","55f22942647e8f0c904ea62e1cd723f45c96434a"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","95887.88","411","fb8d50a04ff0595e5bb06da3e00a50c58ba6eed0"
"Police Services","Patrol","Police Officer","95708.21","412","38f7ef75b57168ea8f97222a9a091d160cb44189"
"Community Services","Natural Areas","Manager, Environ Planning","95701.3599999999","413","900e069434721d5cc8882433a1a3cb3905cd40d2"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","95657.4","414","e9d62c6b14289bf7e3bf4ae5a136194fd198a58e"
"Utility Services","L&P Electric Field Services","Electric Lineworker","95589.5199999998","415","e4aff8068a8b59bfc021cf913fe645aff6953141"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","95565.75","416","ccaddbf882ff0f61af169784e4393ca4522849ad"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","95565.71","417","b0f645ab6b5bb988a9b26ff89004ba7ba7399653"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","95547.52","418","7261c9bfef4cb525bb72de62d288d0d128053892"
"Police Services","Patrol","Police Officer","95494.43","419","3323fbfc38286032ca57b36388d7f1ec8b4454f9"
