"job_title","service_area","department","annual_salary_or_hourly_rate","pay_type","meta_row_index","meta_row_id"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","196","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","197","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","198","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","199","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","200","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","201","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","202","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","203","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","204","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","205","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","206","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","207","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","208","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","209","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","210","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","211","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","212","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","213","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","214","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","215","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","216","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","217","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","218","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","219","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","220","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","221","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","222","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","223","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","224","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","225","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","226","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","227","37221e07940633573ae7f10022d483a3cfe85c8a"
"Sr Manager, Econ Sustainabilty","Financial Services","Finance Administration","104459.94","Annual Salary","228","c5ac2d083f6004fd639d158c258b345b096d1430"
"Electrical Engineer III","Utility Services","L&P Operations & Technology","104319.16","Annual Salary","229","357b3fe5d8714c07f53708e1b6a6a3e928f3046b"
"Police Sergeant","Police Services","Patrol","104290.0","Annual Salary","230","183384b80502c7b7f9e15e7e4dcf199e7fcc529f"
"Police Sergeant","Police Services","Patrol","104290.0","Annual Salary","231","183384b80502c7b7f9e15e7e4dcf199e7fcc529f"
"Police Corporal","Police Services","Special Operations","104134.0","Annual Salary","232","3f063af486de1b690d204ef27f07ae33a5c46468"
"Police Corporal","Police Services","Patrol","104134.0","Annual Salary","233","b085ef5988527df3589d8ce262f0761e305c8416"
"Police Corporal","Police Services","Investigations","104134.0","Annual Salary","234","e6abd577d480c2675b232e1bf2a1f351903f1ef9"
"Police Corporal","Police Services","Police Administration","104134.0","Annual Salary","235","b617fa9c1d9450ab84d0b170e171ae279c1e9eab"
"Police Corporal","Police Services","Patrol","104134.0","Annual Salary","236","b085ef5988527df3589d8ce262f0761e305c8416"
"Police Corporal","Police Services","Special Operations","104134.0","Annual Salary","237","3f063af486de1b690d204ef27f07ae33a5c46468"
"Police Corporal","Police Services","Patrol","104134.0","Annual Salary","238","b085ef5988527df3589d8ce262f0761e305c8416"
"Police Corporal","Police Services","Special Operations","104134.0","Annual Salary","239","3f063af486de1b690d204ef27f07ae33a5c46468"
"Police Corporal","Police Services","Patrol","104134.0","Annual Salary","240","b085ef5988527df3589d8ce262f0761e305c8416"
"Police Corporal","Police Services","Patrol","104134.0","Annual Salary","241","b085ef5988527df3589d8ce262f0761e305c8416"
"Police Corporal","Police Services","Special Operations","104134.0","Annual Salary","242","3f063af486de1b690d204ef27f07ae33a5c46468"
"Police Corporal","Police Services","Special Operations","104134.0","Annual Salary","243","3f063af486de1b690d204ef27f07ae33a5c46468"
"Police Corporal","Police Services","Investigations","104134.0","Annual Salary","244","e6abd577d480c2675b232e1bf2a1f351903f1ef9"
"Police Corporal","Police Services","Patrol","104134.0","Annual Salary","245","b085ef5988527df3589d8ce262f0761e305c8416"
"Police Corporal","Police Services","Patrol","104134.0","Annual Salary","246","b085ef5988527df3589d8ce262f0761e305c8416"
"Police Corporal","Police Services","Patrol","104134.0","Annual Salary","247","b085ef5988527df3589d8ce262f0761e305c8416"
"Manager, Payroll","Financial Services","Accounting and Treasury","104000.0","Annual Salary","248","32e357b81ed6b2c48209c05d75e7e2e8e11784ef"
"Sr Manager, Env Sustain","Sustainability Services","Environmental Services","104000.0","Annual Salary","249","47cb75f4ce95ec1a0f1715f21e39e0cb8fa9e722"
"Sr Manager, Social Sustainblty","Sustainability Services","Social Sustainability","104000.0","Annual Salary","250","4d0bc6d8368d5d094efe19d5196b9698e616e41d"
"Assistant City Attorney II","Legal Services","City Attorney's Office","103933.0","Annual Salary","251","ad849f48a4d795ed768f03215f1929ee1399bf1b"
"Assistant City Attorney II","Legal Services","City Attorney's Office","103933.0","Annual Salary","252","ad849f48a4d795ed768f03215f1929ee1399bf1b"
"Assistant City Attorney II","Legal Services","City Attorney's Office","103932.92","Annual Salary","253","f8a0f42d73fa8c45f8809283e5f7768743b09265"
"Electrical Engineer III","Utility Services","L&P Operations & Technology","103884.98","Annual Salary","254","5027aeca69f706af62d7b48235d37af76e43610e"
"Sr Engineer, Network","Utility Services","Broadband","103405.93","Annual Salary","255","f60c1034fd904586d57db52405fe71bcd1bcfaa2"
"Sr Supervisor, Sciences","Utility Services","Ut Water Quality Services Div","103207.04","Annual Salary","256","f12deccc2a0268dc28cc6287986758d7b9ca678f"
"Manager, Real Estate","Information & Employee Svcs","Operation Services","102866.4","Annual Salary","257","97ff5810b87cc577043f9643e80053e7d79ec738"
"Civil Engineer III","Planning, Dev & Transportation","Engineering","102610.82","Annual Salary","258","6d505967550959214943b418b1528e91e0805620"
"Sr Analyst, Apps Software","Utility Services","L&P Operations & Technology","102527.5","Annual Salary","259","d0b18bbe895369d755940ab26ebd668945d699d6"
"Human Resources Director","Library District","Library District","102479.83","Annual Salary","260","a43c3b9bc137541190a1a9637b15bd02bccc3e60"
"Manager, Water Field Ops","Utility Services","Ut Collection System Div","102422.46","Annual Salary","261","6b1dc31994e615891a834fd4ed25338ea542f0d5"
"Manager, Bldg & Dev Review","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","102000.0","Annual Salary","262","3e346b079f499d339b8a0bc8df85ec05bc231cf9"
"Manager, Historic Preservation","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","102000.0","Annual Salary","263","dbd3ef9ddbe3a757ae6cebcb08c0bb3cc3bc1507"
"Analyst II, Bus Intelligence","Financial Services","Accounting and Treasury","101892.92","Annual Salary","264","b1e0c68f7303a21a6e9691ab2606755031a11e1c"
"Sr Supervisor, Electric Dist","Utility Services","L&P Operations & Technology","101859.68","Annual Salary","265","46b2147deb9429e41f8cac9d5993dba885b5a410"
"Manager, Applications Software","Information & Employee Svcs","Information Technology","101748.58","Annual Salary","266","d8dcbda78e4de7f01f90c7ff3af7275b6439bbed"
"Project Manager/DDA","Downtown Development Authority","Downtown Development Authority","101631.92","Annual Salary","267","178ab6bfa182862076c97fea01cef3be31867cb2"
"Civil Engineer III","Utility Services","Ut Distribution System Div","101454.96","Annual Salary","268","5de584ca5a18d5aec79334dafd46582ac8ca0e96"
"Police Corporal","Police Services","Investigations","101295.0","Annual Salary","269","1db0438773e2de5736bbf105c6f5df5ae624327d"
"Police Corporal","Police Services","Investigations","101295.0","Annual Salary","270","1db0438773e2de5736bbf105c6f5df5ae624327d"
"Police Corporal","Police Services","Patrol","101295.0","Annual Salary","271","2614786bfa2e3c0dcc1d22c47b94f6e1d852f97a"
"Police Corporal","Police Services","Investigations","101295.0","Annual Salary","272","1db0438773e2de5736bbf105c6f5df5ae624327d"
"Police Corporal","Police Services","Patrol","101295.0","Annual Salary","273","2614786bfa2e3c0dcc1d22c47b94f6e1d852f97a"
"Sr Manager, Neighborhood Svcs","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","101119.59","Annual Salary","274","44f4820ef38c11409414e89b5f669f300993f0ee"
"Water Engineer II","Utility Services","Ut Water Resources Div","101109.37","Annual Salary","275","4113c7df802ccc0b4f75bf8ad77d03a9eb8d9f93"
"Sr Mgr, Safety & Risk Mgmt","Financial Services","Safety & Risk Management","101000.0","Annual Salary","276","6e04300c955d9b107a87db0a632d0eb726f34398"
"Manager, Technical Proj Mgmt","Utility Services","Utilities Strategic Planning","100790.04","Annual Salary","277","ed7a9342b9d62d9e50c109fe1c63186baeed12ce"
"Sr Supervisor, Electric Dist","Utility Services","L&P Electrical Engineering","100630.26","Annual Salary","278","28146f3b7eb3238c22f595a353b70bd67d3d0e76"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","100542.0","Annual Salary","279","3c52b649fffc4fd9cdb1efecd46430298b9975a5"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","100542.0","Annual Salary","280","3c52b649fffc4fd9cdb1efecd46430298b9975a5"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","100542.0","Annual Salary","281","3c52b649fffc4fd9cdb1efecd46430298b9975a5"
"Sr Engineer, Systems","Information & Employee Svcs","Information Technology","100497.43","Annual Salary","282","dbd3d1aaff6d1b04768198c44ff27fe5969570f4"
"Civil Engineer II","Planning, Dev & Transportation","Engineering","100470.51","Annual Salary","283","418d63cfc0b6430f40613640d5d85fed2f7de101"
"Line Crew Chief","Utility Services","L&P Electric Field Services","100424.0","Annual Salary","284","44012203201fb4158b51694f3b20eae85f716b5e"
"Firefighter 40 Hour (Special)","Poudre Fire Authority","Poudre Fire Authority","100308.0","Annual Salary","285","eb266bc588d9ba2d3eed5e795c0a105993823a95"
"Firefighter 40 Hour (Special)","Poudre Fire Authority","Poudre Fire Authority","100308.0","Annual Salary","286","eb266bc588d9ba2d3eed5e795c0a105993823a95"
"Firefighter 40 Hour (Special)","Poudre Fire Authority","Poudre Fire Authority","100308.0","Annual Salary","287","eb266bc588d9ba2d3eed5e795c0a105993823a95"
"Firefighter 40 Hour (Special)","Poudre Fire Authority","Poudre Fire Authority","100308.0","Annual Salary","288","eb266bc588d9ba2d3eed5e795c0a105993823a95"
"Firefighter 40 Hour (Special)","Poudre Fire Authority","Poudre Fire Authority","100308.0","Annual Salary","289","eb266bc588d9ba2d3eed5e795c0a105993823a95"
"Electrical Engineer II","Utility Services","L&P Electrical Engineering","100212.06","Annual Salary","290","51f1776c8a93ef76a79847ce0ffb0fba663beb1b"
"Manager, FP&A","Community Services","Community Services Admin","100000.0","Annual Salary","291","3fa2af912f5be5901b4e3b15c470e0ec227baa03"
"Manager, Talent Development","Information & Employee Svcs","Human Resources","100000.0","Annual Salary","292","b4f2b7961f47a927038af7174b85452a2993f429"
"Civil Engineer II","Planning, Dev & Transportation","Traffic","100000.0","Annual Salary","293","a66f8f5618f0f450b04c202a71810bdc3ef22612"
"Manager, Civil Engineering","Planning, Dev & Transportation","Engineering","99978.47","Annual Salary","294","64b58abc98dcdb1ee378c38ce29fb106c5e59b63"
"Police Psychologist","Police Services","Police Administration","99722.95","Annual Salary","295","f25f823f8e34b98a4f8155cc7232a2a3a3776ca6"
"Sr Analyst, Apps Software Dev","Information & Employee Svcs","Information Technology","99500.0","Annual Salary","296","ee2c7da323403728be18f99a5e60aac4b7daffa9"
"Sr Technical Project Manager","Utility Services","L&P Electrical Engineering","99445.53","Annual Salary","297","39ed6ab0b34ec53fb6299946c33876edd53fd039"
"Sr Manager, Sales Tax/Revenue","Financial Services","Sales Tax","99067.4","Annual Salary","298","1e198458c9fda88a08e0379f7f8468ba0ebf2f85"
"Reliability Engr III,Utilities","Utility Services","Utilities Strategic Planning","98800.0","Annual Salary","299","99a4fec9a5c963820cd7c6b6999e03ac92f3b051"
"Manager, Environ Planning","Community Services","Natural Areas","98523.09","Annual Salary","300","e4e4d263a2fbb657e6171e260325fe29186e66f8"
"Substation Specialist","Utility Services","L&P Operations & Technology","98443.0","Annual Salary","301","dc67e5d0f829507737510a72bec0ce1b075d5fc9"
"Substation Specialist","Utility Services","L&P Operations & Technology","98443.0","Annual Salary","302","dc67e5d0f829507737510a72bec0ce1b075d5fc9"
"Civil Engineer III","Planning, Dev & Transportation","Streets","98296.21","Annual Salary","303","3bd9b2c9ee681cbcec6a3e8237f50ccc90e2af16"
"Manager, Econ Sustainability","Sustainability Services","Urban Renewal Authority","98280.0","Annual Salary","304","79bbb35f6a773cd8a22372b7ea0007ca2bfec168"
"Manager, FP&A","Utility Services","Utility Financial Operations","98263.07","Annual Salary","305","0eab601402563c3bdaa18c54fbfd8f37c93df1a9"
"Civil Engineer III","Utility Services","Ut Water UTL Engineering Div","98250.48","Annual Salary","306","2c363123c8e19a43735c233ac156972e11aab3be"
"Manager, Water Field Ops","Utility Services","Ut Drainage System Div","98207.87","Annual Salary","307","370856bc3387c992900f82b40e4cf58e6d24e6bd"
"Analyst II, Apps Software","Information & Employee Svcs","Information Technology","98197.81","Annual Salary","308","9b04035e322a40917211667db14b99090a58d83c"
"Civil Engineer II","Utility Services","Ut Water UTL Engineering Div","98183.36","Annual Salary","309","a3ea6c3cfc67d24b07b152bb2d61f139345cbdfb"
"Manager, Water Field Ops","Utility Services","Ut Distribution System Div","98036.07","Annual Salary","310","eccf1a668eaf437b461930556bdbe1abb02b930f"
"Chief Building Official","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","98000.0","Annual Salary","311","48be028912b8fecdd95e539b55d417f0c6b2e895"
"Sr Manager, Customer Support","Utility Services","Utilities Customer Connections","97877.56","Annual Salary","312","6ab2f721a3a53691656eb4758b063aeb817ba8a5"
"Analyst II, Apps Software","Information & Employee Svcs","Information Technology","97811.38","Annual Salary","313","b65f90e9102dccd894160d57e5d605d0c57d021e"
"Lead Analyst, Utility Rate","Utility Services","Utility Financial Operations","97684.55","Annual Salary","314","825dfca809f89a3d5451eba1fe552b8f932fb885"
"Mechanical Engineer III","Utility Services","Utilities Customer Connections","97511.2","Annual Salary","315","3aa0e771c8c326e0940ec2d5038f4d3ac51b4a0d"
"Sr Manager, Cultural Services","Community Services","Cultural Services","97397.64","Annual Salary","316","26c5e6e8584c4afd6d3e23daeb3797b0fbf18ef1"
"Manager, Marketing","Utility Services","Broadband","97344.0","Annual Salary","317","37cfeb1f3857802e671bdb86b94a755307c0ea7b"
"Manager, Construction Inspect","Planning, Dev & Transportation","Engineering","97000.0","Annual Salary","318","917462d80b3077dbc1a862440198a8d7f24bcdef"
"Manager, Talent Acquisition","Information & Employee Svcs","Human Resources","96933.46","Annual Salary","319","57ccb2aa0886b1f926225e87d0dcf2e80d806e4c"
"Civil Engineer II","Utility Services","Ut Enviro Regulatory Affairs","96904.44","Annual Salary","320","e55e084ecd747986615982afa1f6c58a29a9605c"
"Sr Project Manager","Utility Services","Broadband","96850.0","Annual Salary","321","9e59a4f8cb53a24331e361edd9646fd34168bb27"
"Sr Analyst, IT Security","Information & Employee Svcs","Information Technology","96823.36","Annual Salary","322","73b64917c3279ccab8642b0c614ebdbb3a585cd8"
"Mechanical Engineer III","Utility Services","Utilities Customer Connections","96617.38","Annual Salary","323","06dcdb5fcb7df23c019a0de211e970ee914e6316"
"Sr Project Manager","Information & Employee Svcs","Operation Services","96597.06","Annual Salary","324","420501005d55a5a2987660d30eeba24c28ac5741"
"Manager, Water Field Ops","Utility Services","Ut Water Meters Div","96555.66","Annual Salary","325","c7a6a6c468dce410d93a57a9967a66e938420c94"
"Manager, Benefits","Information & Employee Svcs","Human Resources","96438.16","Annual Salary","326","184c196f4807a945c2ffdb52bcf7b943ee958af7"
"Lead Analyst, Utility Rate","Utility Services","Utility Financial Operations","96200.0","Annual Salary","327","8c0a92823393853bd86be8d60f46032a5e7ecf63"
"Electric Lineworker","Utility Services","L&P Electric Field Services","96099.12","Annual Salary","328","b2a6ffbbba305f330136bffdca6b3d76a32b8b6e"
"Electric Lineworker","Utility Services","L&P Electric Field Services","96099.0","Annual Salary","329","5eedfe48e1c299b35da661adb9e949e6aee4a9d9"
"Electric Lineworker","Utility Services","L&P Electric Field Services","96099.0","Annual Salary","330","5eedfe48e1c299b35da661adb9e949e6aee4a9d9"
"Electric Lineworker","Utility Services","L&P Electric Field Services","96099.0","Annual Salary","331","5eedfe48e1c299b35da661adb9e949e6aee4a9d9"
"Electric Lineworker","Utility Services","L&P Electric Field Services","96099.0","Annual Salary","332","5eedfe48e1c299b35da661adb9e949e6aee4a9d9"
"Electric Lineworker","Utility Services","L&P Electric Field Services","96099.0","Annual Salary","333","5eedfe48e1c299b35da661adb9e949e6aee4a9d9"
"Electric Lineworker","Utility Services","L&P Electric Field Services","96099.0","Annual Salary","334","5eedfe48e1c299b35da661adb9e949e6aee4a9d9"
"Electric Lineworker","Utility Services","L&P Electric Field Services","96099.0","Annual Salary","335","5eedfe48e1c299b35da661adb9e949e6aee4a9d9"
"Electric Lineworker","Utility Services","L&P Electric Field Services","96099.0","Annual Salary","336","5eedfe48e1c299b35da661adb9e949e6aee4a9d9"
"Electric Lineworker","Utility Services","L&P Electric Field Services","96099.0","Annual Salary","337","5eedfe48e1c299b35da661adb9e949e6aee4a9d9"
"Electric Lineworker","Utility Services","L&P Electric Field Services","96099.0","Annual Salary","338","5eedfe48e1c299b35da661adb9e949e6aee4a9d9"
"Electric Lineworker","Utility Services","L&P Electric Field Services","96099.0","Annual Salary","339","5eedfe48e1c299b35da661adb9e949e6aee4a9d9"
"Electric Lineworker","Utility Services","L&P Electric Field Services","96099.0","Annual Salary","340","5eedfe48e1c299b35da661adb9e949e6aee4a9d9"
"Electric Systems Operator","Utility Services","L&P Operations & Technology","96099.0","Annual Salary","341","833467f0ebe8c234927302cf4e1c9090950583e9"
"Manager, Active Modes","Planning, Dev & Transportation","FC Moves","96000.0","Annual Salary","342","a68172197343c2a669bcdf252797857815c6c85d"
"Manager, FP&A","Utility Services","Broadband","96000.0","Annual Salary","343","de7053081fe70259490cd9bf489b42f52bb2f24b"
"Analyst II, Apps Software","Information & Employee Svcs","Information Technology","95939.99","Annual Salary","344","a1c42784950b2113c8d71460219c2a8ef794ce2f"
"Manager, Social Sustainability","Sustainability Services","Social Sustainability","95864.6","Annual Salary","345","e9a700b1751473ff49cd95018a1c7cd49f2070ab"
"Manager, Env Sustainability","Sustainability Services","Environmental Services","95706.52","Annual Salary","346","e7827a3b7eb66051f1afcb5df62bf3bddfec6678"
"Manager, Env Sustainability","Sustainability Services","Environmental Services","95688.06","Annual Salary","347","29a2af29921edfa630ddf669842ad0ad3e7c22fa"
"Lead Specialist, Security","Executive Services","City Manager's Office","95680.0","Annual Salary","348","79dc7a0ac79bbad29de07aece0b7d4786fee4d01"
"Sr Facilities Project Manager","Information & Employee Svcs","Operation Services","95253.51","Annual Salary","349","e8cd2e3daab85173c9153f72f26ee3a688072d66"
"Sr Specialist, Sciences","Utility Services","Ut Enviro Regulatory Affairs","95026.96","Annual Salary","350","4d9de1116b66e7197eb9e83abed4f65ee17a1022"
"Comm Outreach/Risk Reduct Mgr","Poudre Fire Authority","Poudre Fire Authority","95000.1","Annual Salary","351","dc953849fc6d29dceee302756016eb54b420bbd0"
"Engineer II, Systems","Information & Employee Svcs","Information Technology","94735.44","Annual Salary","352","a02d57c5c2b52a8b7fe7b72069399274a925a257"
"Police Officer","Police Services","Special Operations","94668.0","Annual Salary","353","0a2efb48f5608c8bffca14fe8212c7f5436ec3d3"
"Police Officer","Police Services","Special Operations","94668.0","Annual Salary","354","0a2efb48f5608c8bffca14fe8212c7f5436ec3d3"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","355","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","356","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","357","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","358","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Investigations","94668.0","Annual Salary","359","4aa1170e4c4c0d2b6068766a680e3c38f12b3fc0"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","360","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","361","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","362","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Investigations","94668.0","Annual Salary","363","4aa1170e4c4c0d2b6068766a680e3c38f12b3fc0"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","364","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Special Operations","94668.0","Annual Salary","365","0a2efb48f5608c8bffca14fe8212c7f5436ec3d3"
"Police Officer","Police Services","Police Administration","94668.0","Annual Salary","366","b9228745af814878a73399c94575e6e3f8eedb0f"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","367","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Special Operations","94668.0","Annual Salary","368","0a2efb48f5608c8bffca14fe8212c7f5436ec3d3"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","369","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Special Operations","94668.0","Annual Salary","370","0a2efb48f5608c8bffca14fe8212c7f5436ec3d3"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","371","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Police Administration","94668.0","Annual Salary","372","b9228745af814878a73399c94575e6e3f8eedb0f"
"Police Officer","Police Services","Investigations","94668.0","Annual Salary","373","4aa1170e4c4c0d2b6068766a680e3c38f12b3fc0"
"Police Officer","Police Services","Special Operations","94668.0","Annual Salary","374","0a2efb48f5608c8bffca14fe8212c7f5436ec3d3"
"Police Officer","Police Services","Special Operations","94668.0","Annual Salary","375","0a2efb48f5608c8bffca14fe8212c7f5436ec3d3"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","376","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Investigations","94668.0","Annual Salary","377","4aa1170e4c4c0d2b6068766a680e3c38f12b3fc0"
"Police Officer","Police Services","Investigations","94668.0","Annual Salary","378","4aa1170e4c4c0d2b6068766a680e3c38f12b3fc0"
"Police Officer","Police Services","Investigations","94668.0","Annual Salary","379","4aa1170e4c4c0d2b6068766a680e3c38f12b3fc0"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","380","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Investigations","94668.0","Annual Salary","381","4aa1170e4c4c0d2b6068766a680e3c38f12b3fc0"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","382","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Special Operations","94668.0","Annual Salary","383","0a2efb48f5608c8bffca14fe8212c7f5436ec3d3"
"Police Officer","Police Services","Investigations","94668.0","Annual Salary","384","4aa1170e4c4c0d2b6068766a680e3c38f12b3fc0"
"Police Officer","Police Services","Special Operations","94668.0","Annual Salary","385","0a2efb48f5608c8bffca14fe8212c7f5436ec3d3"
"Police Officer","Police Services","Special Operations","94668.0","Annual Salary","386","0a2efb48f5608c8bffca14fe8212c7f5436ec3d3"
"Police Officer","Police Services","Investigations","94668.0","Annual Salary","387","4aa1170e4c4c0d2b6068766a680e3c38f12b3fc0"
"Police Officer","Police Services","Investigations","94668.0","Annual Salary","388","4aa1170e4c4c0d2b6068766a680e3c38f12b3fc0"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","389","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","390","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
"Police Officer","Police Services","Investigations","94668.0","Annual Salary","391","4aa1170e4c4c0d2b6068766a680e3c38f12b3fc0"
"Police Officer","Police Services","Special Operations","94668.0","Annual Salary","392","0a2efb48f5608c8bffca14fe8212c7f5436ec3d3"
"Police Officer","Police Services","Patrol","94668.0","Annual Salary","393","04f00ddbb7e63ea4c2ba59c7e9dd7c1390a842b4"
