"report_number","offense_id","offense_start_datetime","offense_end_datetime","report_datetime","group_a_b","crime_against_category","offense_parent_group","offense","offense_code","precinct","sector","beat","mcpp","_100_block_address","longitude","latitude"
"2020-901450","12471545144","2020-01-12T00:50:00.000","2020-01-12T00:50:00.000","2020-01-29T13:52:38.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","W","W1","NORTH ADMIRAL","16XX BLOCK OF 42ND AVE SW","-122.384994246","47.588681330"
"2020-901449","12471529530","2020-01-29T08:00:00.000","2020-01-29T08:00:00.000","2020-01-29T13:52:13.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","B","B2","BALLARD SOUTH","7XX BLOCK OF NW 62ND ST","-122.365579525","47.674172260"
"2020-901446","12471016555","2020-01-23T00:00:00.000","2020-01-29T09:30:00.000","2020-01-29T13:43:59.000","A","PROPERTY","FRAUD OFFENSES","Identity Theft","26F","SW","W","W2","HIGH POINT","59XX BLOCK OF 31ST AVE SW","-122.372314130","47.549707910"
"2020-035171","12472003098","2020-01-29T10:00:00.000","2020-01-29T10:00:00.000","2020-01-29T13:43:46.000","A","SOCIETY","WEAPON LAW VIOLATIONS","Weapon Law Violations","520","W","K","K3","CHINATOWN/INTERNATIONAL DISTRICT","12TH AVE S / S WELLER ST","-122.317226728","47.597499570"
"2020-901445","12470931083","2020-01-22T11:25:00.000","2020-01-28T16:45:00.000","2020-01-29T13:42:40.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","F","F1","NORTH DELRIDGE","67XX BLOCK OF 21ST AVE SW","-122.359595869","47.541020780"
"2020-901442","12470930791","2020-01-07T11:00:00.000","2020-01-07T15:00:00.000","2020-01-29T13:42:32.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","W","D","D2","SLU/CASCADE","22XX BLOCK OF 8TH AVE","-122.339844859","47.617643140"
"2020-901444","12470928691","2020-01-18T09:00:00.000","2020-01-29T09:00:00.000","2020-01-29T13:42:25.000","A","PROPERTY","FRAUD OFFENSES","Identity Theft","26F","W","D","D2","SLU/CASCADE","9XX BLOCK OF LENORA ST","-122.336606604","47.617486170"
"2020-901443","12470916248","2020-01-28T07:00:00.000","2020-01-29T09:20:00.000","2020-01-29T13:42:16.000","A","PROPERTY","FRAUD OFFENSES","Identity Theft","26F","SW","W","W1","NORTH DELRIDGE","28XX BLOCK OF SW ADAMS ST","-122.369450528","47.566164360"
"2020-035408","12470884600","2020-01-29T12:15:00.000","2020-01-29T12:15:00.000","2020-01-29T13:34:48.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","SW","W","W3","MORGAN","47XX BLOCK OF SW OTHELLO ST","-122.393522869","47.538038090"
"2020-901441","12470462669","2020-01-26T03:28:00.000","2020-01-26T03:28:00.000","2020-01-29T13:34:46.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q1","MAGNOLIA","32XX BLOCK OF 26TH AVE W","-122.389758473","47.649402390"
"2020-901439","12470291784","2020-01-25T18:00:00.000","2020-01-25T23:00:00.000","2020-01-29T13:32:23.000","A","PROPERTY","FRAUD OFFENSES","Credit Card/Automated Teller Machine Fraud","26B","E","E","E2","CAPITOL HILL","14XX BLOCK OF BROADWAY","-122.320771381","47.613519510"
"2020-901437","12470269459","2020-01-28T17:00:00.000","2020-01-29T07:30:00.000","2020-01-29T13:32:14.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","D","D1","BELLTOWN","1ST AVE / BELL ST","-122.346512951","47.613375170"
"2020-035383","12470462551","2019-10-01T00:00:00.000","2020-01-06T23:59:00.000","2020-01-29T13:31:37.000","A","PROPERTY","FRAUD OFFENSES","Identity Theft","26F","S","O","O3","MID BEACON HILL","58XX BLOCK OF 16TH AVE S","-122.312324244","47.550591860"
"2020-035457","12470426076","2020-01-29T13:00:00.000",,"2020-01-29T13:28:28.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","D","D3","SLU/CASCADE","10XX BLOCK OF MERCER ST","-122.336479326","47.624545240"
"2020-035444","12469892864","2020-01-21T00:00:00.000",,"2020-01-29T13:15:23.000","A","PROPERTY","FRAUD OFFENSES","Identity Theft","26F","W","K","K3","CHINATOWN/INTERNATIONAL DISTRICT","5XX BLOCK OF S KING ST","-122.327017276","47.598354850"
"2020-035172","12469410660","2019-10-01T00:00:00.000","2019-11-30T00:00:00.000","2020-01-29T13:14:43.000","A","PROPERTY","EMBEZZLEMENT","Embezzlement","270","W","D","D2","SLU/CASCADE","18XX BLOCK OF BOREN AVE","-122.332067369","47.616558030"
"2020-901436","12469135802","2020-01-28T21:00:00.000","2020-01-28T21:20:00.000","2020-01-29T13:13:57.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","K","K1","DOWNTOWN COMMERCIAL","MADISON ST / 1ST AVE","-122.336238429","47.604695050"
"2020-901434","12469069699","2020-01-25T09:00:00.000","2020-01-26T08:00:00.000","2020-01-29T13:13:04.000","A","PROPERTY","FRAUD OFFENSES","Hacking/Computer Invasion","26G","N","B","B3","WALLINGFORD","21XX BLOCK OF N 36TH ST","-122.333281162","47.650486220"
"2020-901433","12469033319","2019-12-29T15:30:00.000","2019-12-29T21:00:00.000","2020-01-29T13:12:49.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","K","K2","PIONEER SQUARE","1XX BLOCK OF S ATLANTIC ST","-122.335568737","47.590312530"
"2020-901435","12469029806","2020-01-28T21:33:00.000","2020-01-28T21:55:00.000","2020-01-29T13:12:25.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","SW","W","W2","ALASKA JUNCTION","36XX BLOCK OF SW SNOQUALMIE ST","-122.378112262","47.562035760"
"2020-901430","12468370003","2020-01-29T03:00:00.000","2020-01-29T03:30:00.000","2020-01-29T13:02:31.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","J","J1","GREENWOOD","5XX BLOCK OF N 105TH ST","-122.350438994","47.705066630"
"2020-901431","12468344293","2020-01-29T04:00:00.000","2020-01-29T04:00:00.000","2020-01-29T13:02:16.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q2","QUEEN ANNE","17XX BLOCK OF TAYLOR AVE N","-122.346708374","47.634345750"
"2020-035349","12468620817","2020-01-27T11:00:00.000","2020-01-28T15:30:00.000","2020-01-29T13:00:22.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","S","S","S1","MID BEACON HILL","63XX BLOCK OF BEACON AVE S","-122.300465341","47.545862220"
"2020-901429","12467781791","2020-01-28T18:30:00.000","2020-01-28T18:40:00.000","2020-01-29T12:54:00.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","U","U1","UNIVERSITY","50XX BLOCK OF 9TH AVE NE","-122.318426099","47.666028810"
"2020-035414","12468022086","2020-01-14T11:28:00.000",,"2020-01-29T12:46:26.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","U","U3","SANDPOINT","54XX BLOCK OF SAND POINT WAY NE","-122.273741010","47.668387880"
"2020-901427","12467073340","2020-01-28T01:30:00.000","2020-01-28T09:30:00.000","2020-01-29T12:43:07.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","B","B1","BALLARD SOUTH","28XX BLOCK OF NW 59TH ST","-122.394264755","47.671653030"
"2020-901426","12467038887","2020-01-15T17:00:00.000","2020-01-15T18:00:00.000","2020-01-29T12:42:40.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","N","N","N2","BITTERLAKE","N 130TH ST / AURORA AVE N","-122.344976874","47.723211550"
"2020-035328","12467254481","2020-01-19T12:00:00.000","2020-01-19T15:00:00.000","2020-01-29T12:42:39.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","E","C","C2","MONTLAKE/PORTAGE BAY","26XX BLOCK OF 22ND AVE E","-122.303798082","47.643430280"
"2020-901423","12466335861","2020-01-26T12:00:00.000","2020-01-28T07:10:00.000","2020-01-29T12:32:25.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","E","C","C1","CAPITOL HILL","9XX BLOCK OF 12TH AVE E","-122.316790825","47.627478890"
"2020-035238","12468417251","2019-12-17T00:00:00.000",,"2020-01-29T12:23:19.000","A","PROPERTY","FRAUD OFFENSES","Impersonation","26C","E","E","E1","CAPITOL HILL","1XX BLOCK OF MELROSE AVE E","-122.327853786","47.619038670"
"2020-035376","12465542650","2020-01-29T11:58:00.000","2020-01-29T12:15:00.000","2020-01-29T12:16:49.000","A","PROPERTY","FRAUD OFFENSES","False Pretenses/Swindle/Confidence Game","26A","N","U","U3","SANDPOINT","80XX BLOCK OF CREST DR NE","-122.274140565","47.687362390"
"2020-035326","12465447843","2019-10-19T00:00:00.000","2020-01-29T23:59:00.000","2020-01-29T12:14:05.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","S","O","O3","MID BEACON HILL","58XX BLOCK OF 16TH AVE S","-122.312324244","47.550591860"
"2020-901421","12464997889","2019-11-27T10:19:00.000","2019-11-27T10:40:00.000","2020-01-29T12:12:39.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","K","K2","PIONEER SQUARE","S KING ST / 2ND AVE S","-122.331580821","47.598287650"
"2020-901418","12464984451","2020-01-28T01:00:00.000","2020-01-28T13:15:00.000","2020-01-29T12:12:24.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","N","N1","BITTERLAKE","115XX BLOCK OF 3RD AVE NW","-122.360878336","47.713271570"
"2020-901419","12464940281","2020-01-27T18:30:00.000","2020-01-27T20:30:00.000","2020-01-29T12:12:15.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","D","D2","SLU/CASCADE","21XX BLOCK OF WESTLAKE AVE","-122.338137219","47.617118570"
"2020-901415","12464474070","2019-12-05T16:25:00.000","2019-12-05T16:40:00.000","2020-01-29T12:05:00.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","L","L2","NORTHGATE","4XX BLOCK OF NE NORTHGATE WAY","-122.324615158","47.708602800"
"2020-901413","12464333408","2020-01-27T18:00:00.000","2020-01-27T18:20:00.000","2020-01-29T12:02:55.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","B","B3","WALLINGFORD","WALLINGFORD AVE N / N 46TH ST","-122.336425972","47.662126870"
"2020-901414","12464316605","2020-01-26T00:00:00.000","2020-01-27T19:00:00.000","2020-01-29T12:02:43.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","J","J1","GREENWOOD","3XX BLOCK OF NW 89TH ST","-122.362005575","47.693520300"
"2020-901412","12464296358","2020-01-26T02:00:00.000","2020-01-26T08:00:00.000","2020-01-29T12:02:15.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","M","M2","DOWNTOWN COMMERCIAL","8TH AVE / PIKE ST","-122.332244079","47.612070570"
"2020-901411","12463707118","2020-01-25T21:00:00.000","2020-01-26T09:00:00.000","2020-01-29T11:54:05.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","S","R","R2","CLAREMONT/RAINIER VISTA","35XX BLOCK OF S OREGON ST","-122.288370356","47.562819440"
"2020-901410","12463707007","2020-01-28T12:50:00.000","2020-01-28T12:50:00.000","2020-01-29T11:53:59.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","S","R","R2","CLAREMONT/RAINIER VISTA","35XX BLOCK OF S OREGON ST","-122.288370356","47.562819440"
"2020-901404","12463619439","2020-01-28T11:26:00.000","2020-01-28T13:41:00.000","2020-01-29T11:52:51.000","A","PROPERTY","FRAUD OFFENSES","Identity Theft","26F","W","D","D3","SLU/CASCADE","2XX BLOCK OF YALE AVE N","-122.330420403","47.620244340"
"2020-901407","12463608875","2020-01-27T21:45:00.000","2020-01-28T14:30:00.000","2020-01-29T11:52:40.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","R","R3","COLUMBIA CITY","39XX BLOCK OF S EDMUNDS ST","-122.282102069","47.558647100"
"2020-901406","12463578727","2020-01-28T00:00:00.000","2020-01-28T11:00:00.000","2020-01-29T11:52:31.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","Q","Q3","QUEEN ANNE","1XX BLOCK OF VALLEY ST","-122.353424674","47.626358680"
"2020-901409","12463572598","2020-01-25T22:00:00.000","2020-01-26T10:56:00.000","2020-01-29T11:52:25.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","J","J1","GREENWOOD","95XX BLOCK OF EVANSTON AVE N","-122.351255160","47.698732760"
"2020-901408","12463572440","2020-01-28T00:00:00.000","2020-01-28T07:00:00.000","2020-01-29T11:52:15.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q2","QUEEN ANNE","W FLORENTIA ST / 3RD AVE W","-122.360735161","47.646897120"
"2020-901399","12461441568","2020-01-27T23:10:00.000","2020-01-28T00:10:00.000","2020-01-29T11:22:53.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","K","K2","PIONEER SQUARE","1XX BLOCK OF S WASHINGTON ST","-122.333852598","47.600882790"
"2020-901398","12461441101","2019-01-28T22:15:00.000","2020-01-28T22:40:00.000","2020-01-29T11:22:44.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","U","U2","UNIVERSITY","47XX BLOCK OF BROOKLYN AVE NE","-122.314224060","47.664004060"
"2020-901400","12461427741","2020-01-28T16:10:00.000","2020-01-28T17:10:00.000","2020-01-29T11:22:34.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","K","K1","DOWNTOWN COMMERCIAL","11XX BLOCK OF 2ND AVE","-122.336107944","47.606229210"
"2020-901402","12461396882","2020-01-27T18:00:00.000","2020-01-28T06:00:00.000","2020-01-29T11:22:26.000","A","PROPERTY","FRAUD OFFENSES","Credit Card/Automated Teller Machine Fraud","26B","N","J","J1","GREENWOOD","N 90TH ST / GREENWOOD AVE N","-122.355339494","47.694216860"
"2020-901401","12461393426","2020-01-27T18:00:00.000","2020-01-28T06:00:00.000","2020-01-29T11:22:14.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","N","J","J1","GREENWOOD","N 90TH ST / GREENWOOD AVE N","-122.355339494","47.694216860"
"2020-035185","12462172738","2020-01-29T06:00:00.000",,"2020-01-29T11:22:07.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","O","O1","SODO","15XX BLOCK OF 4TH AVE S","-122.329048253","47.588782560"
"2020-035185","12462258768","2020-01-29T06:00:00.000",,"2020-01-29T11:22:07.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","S","O","O1","SODO","15XX BLOCK OF 4TH AVE S","-122.329048253","47.588782560"
"2020-901397","12460775699","2020-01-27T23:59:00.000","2020-01-28T01:00:00.000","2020-01-29T11:14:04.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q2","QUEEN ANNE","13XX BLOCK OF 4TH AVE W","-122.361804774","47.630894400"
"2020-035298","12465114935","2020-01-29T10:46:00.000",,"2020-01-29T11:04:40.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","D","D2","SLU/CASCADE","8XX BLOCK OF VIRGINIA ST","-122.336165507","47.616053290"
"2020-035216","12458809173","2020-01-29T08:50:00.000","2020-01-29T09:05:00.000","2020-01-29T10:46:53.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","M","M2","SLU/CASCADE","7XX BLOCK OF OLIVE WAY","-122.334616763","47.613826040"
"2020-035267","12458178672","2020-01-29T10:12:00.000","2020-01-29T10:15:00.000","2020-01-29T10:37:52.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","L","L2","NORTHGATE","4XX BLOCK OF NE NORTHGATE WAY","-122.324615158","47.708602800"
"2020-901396","12456894303","2020-01-27T09:00:00.000","2020-01-27T17:30:00.000","2020-01-29T10:24:53.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","D","D1","SLU/CASCADE","22XX BLOCK OF 3RD AVE","-122.344143639","47.614320340"
"2020-901394","12456669837","2020-01-25T13:20:00.000","2020-01-26T13:20:00.000","2020-01-29T10:22:14.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","N","J","J1","BALLARD NORTH","87XX BLOCK OF 15TH AVE NW","-122.376800685","47.693673790"
"2020-035052","12458336105","2020-01-29T07:30:00.000","2020-01-29T07:34:00.000","2020-01-29T10:19:46.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","E","G","G1","FIRST HILL","5XX BLOCK OF 9TH AVE","-122.324423057","47.605197990"
"2020-901390","12455900405","2020-01-27T21:00:00.000","2020-01-28T07:00:00.000","2020-01-29T10:12:57.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","G","G3","MADRONA/LESCHI","30XX BLOCK OF S IRVING ST","-122.292903698","47.591237490"
"2020-901389","12455877839","2020-01-27T16:30:00.000","2020-01-28T13:00:00.000","2020-01-29T10:12:48.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","B","B1","BALLARD SOUTH","NW 54TH ST / 15TH AVE NW","-122.376215692","47.667891340"
"2020-901388","12455877675","2020-01-27T08:00:00.000","2020-01-27T11:00:00.000","2020-01-29T10:12:40.000","A","PROPERTY","FRAUD OFFENSES","Credit Card/Automated Teller Machine Fraud","26B","W","D","D2","QUEEN ANNE","21XX BLOCK OF 6TH AVE N","-122.344815143","47.639361890"
"2020-901392","12455877398","2020-01-28T00:00:00.000","2020-01-28T06:00:00.000","2020-01-29T10:12:33.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","W","W2","NORTH ADMIRAL","53XX BLOCK OF SW MANNING ST","-122.401455744","47.571820770"
"2020-901391","12455851053","2020-01-28T05:30:00.000","2020-01-28T06:45:00.000","2020-01-29T10:12:17.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","J","J3","ROOSEVELT/RAVENNA","59XX BLOCK OF W GREEN LAKE WAY N","-122.343686961","47.671528910"
"2020-034970","12456012464","2020-01-29T06:09:00.000",,"2020-01-29T10:10:22.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","M","M2","DOWNTOWN COMMERCIAL","16XX BLOCK OF 5TH AVE","-122.336938539","47.612168780"
"2020-035158","12457153434","2020-01-28T16:30:00.000","2020-01-29T07:30:00.000","2020-01-29T10:09:01.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","SW","W","W2","MORGAN","42XX BLOCK OF SW JUNEAU ST","-122.386360335","47.550291300"
"2020-034963","12456104225","2020-01-29T05:40:00.000",,"2020-01-29T10:07:24.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","F","F1","PIGEON POINT","41XX BLOCK OF 23RD AVE SW","-122.362258804","47.566539650"
"2020-035193","12455375199","2020-01-25T00:00:00.000","2020-01-28T23:59:00.000","2020-01-29T10:02:41.000","A","PROPERTY","FRAUD OFFENSES","False Pretenses/Swindle/Confidence Game","26A","W","Q","Q1","MAGNOLIA","34XX BLOCK OF GILMAN AVE W","-122.382547742","47.651254140"
"2020-901386","12455035332","2020-01-22T00:00:00.000","2020-01-22T03:00:00.000","2020-01-29T10:02:28.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q1","MAGNOLIA","25XX BLOCK OF THORNDYKE AVE W","-122.384862582","47.642541120"
"2020-901387","12455018626","2019-11-29T10:25:00.000","2019-12-01T10:25:00.000","2020-01-29T10:02:16.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","E","G","G3","JUDKINS PARK/NORTH BEACON HILL","6XX BLOCK OF 20TH AVE S","-122.306363364","47.597060700"
"2020-901385","12595761319","2020-01-27T01:01:00.000",,"2020-01-29T09:53:55.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","D","D1","BELLTOWN","1ST AVE / BELL ST","-122.346512951","47.613375170"
"2020-901384","12454267599","2020-01-25T22:20:00.000","2020-01-26T00:00:00.000","2020-01-29T09:53:07.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","U","U2","UNIVERSITY","45XX BLOCK OF ROOSEVELT WAY NE","-122.317451102","47.662199410"
"2020-901382","12454248379","2020-01-22T12:25:00.000","2020-01-22T12:25:00.000","2020-01-29T09:52:50.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q3","QUEEN ANNE","VALLEY ST / WARREN AVE N","-122.354081443","47.626248660"
"2020-901381","12454234887","2020-01-28T12:05:00.000","2020-01-28T12:05:00.000","2020-01-29T09:52:41.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","E","E","E3","FIRST HILL","10XX BLOCK OF SPRING ST","-122.326346825","47.609819590"
"2020-901380","12454198694","2020-01-24T22:00:00.000","2020-01-26T09:00:00.000","2020-01-29T09:52:33.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","W","W2","HIGH POINT","54XX BLOCK OF 34TH AVE SW","-122.374943779","47.552865170"
"2020-901383","12454198456","2020-01-24T20:45:00.000","2020-01-24T23:45:00.000","2020-01-29T09:52:25.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","K","K1","DOWNTOWN COMMERCIAL","6XX BLOCK OF 1ST AVE","-122.334176844","47.602148970"
"2020-035013","12454306070","2020-01-28T16:45:00.000",,"2020-01-29T09:39:12.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","SW","F","F2","SOUTH DELRIDGE","92XX BLOCK OF 17TH AVE SW","-122.356479904","47.520114240"
"2020-901378","12452747040","2020-01-28T08:00:00.000","2020-01-28T09:00:00.000","2020-01-29T09:34:47.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q2","QUEEN ANNE","29XX BLOCK OF 3RD AVE W","-122.360739317","47.646338640"
"2020-035189","12453091676","2020-01-11T12:00:00.000","2020-01-29T09:39:00.000","2020-01-29T09:33:45.000","A","PROPERTY","FRAUD OFFENSES","Identity Theft","26F","N","N","N1","BITTERLAKE","137XX BLOCK OF 1ST AVE NW","-122.358249806","47.729619870"
"2020-901377","12452563340","2020-01-28T09:25:00.000","2020-01-28T09:25:00.000","2020-01-29T09:33:05.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","J","J3","ROOSEVELT/RAVENNA","NE RAVENNA BLVD / NE 68TH ST","-122.323911910","47.677564330"
"2020-901376","12452510523","2020-01-29T08:35:00.000","2020-01-29T08:35:00.000","2020-01-29T09:32:44.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","Q","Q1","MAGNOLIA","29TH AVE W / W BOSTON ST","-122.394228475","47.638120790"
"2020-901374","12452510346","2020-01-27T16:30:00.000","2020-01-27T17:00:00.000","2020-01-29T09:32:35.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","M","M1","DOWNTOWN COMMERCIAL","1ST AVE / PIKE ST","-122.340013422","47.608820960"
"2020-901375","12452509889","2020-01-28T08:15:00.000","2020-01-28T08:15:00.000","2020-01-29T09:32:26.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","C","C3","CENTRAL AREA/SQUIRE PARK","8XX BLOCK OF 26TH AVE","-122.298850228","47.609513660"
"2020-901373","12452509514","2020-01-27T20:30:00.000","2020-01-28T07:45:00.000","2020-01-29T09:32:16.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","B","B2","FREMONT","47XX BLOCK OF PHINNEY AVE N","-122.353971569","47.663236600"
"2020-901371","12451646204","2020-01-28T01:30:00.000","2020-01-28T11:30:00.000","2020-01-29T09:22:23.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q2","QUEEN ANNE","18XX BLOCK OF 11TH AVE W","-122.371672133","47.635347600"
"2020-901370","12451632742","2019-04-24T16:30:00.000","2019-12-24T06:24:00.000","2020-01-29T09:22:14.000","A","PROPERTY","FRAUD OFFENSES","Identity Theft","26F","S","S","S1","SOUTH BEACON HILL","S CLOVERDALE ST / M L KING JR WAY S","-122.279013428","47.526117250"
"2020-035120","12454460862","2020-01-24T00:00:00.000","2020-01-29T00:00:00.000","2020-01-29T09:17:02.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","S","S","S2","BRIGHTON/DUNLAP","70XX BLOCK OF 44TH AVE S","-122.278067349","47.539338020"
"2020-901369","12450949313","2020-01-25T18:30:00.000","2020-01-25T20:00:00.000","2020-01-29T09:14:58.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","G","G1","FIRST HILL","E BARCLAY CT / 13TH AVE","-122.315466047","47.606832200"
"2020-035073","12449131889","2020-01-28T17:00:00.000","2020-01-29T07:30:00.000","2020-01-29T08:50:19.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","N","B","B1","BALLARD SOUTH","15XX BLOCK OF NW 57TH ST","-122.377548124","47.670173140"
"2020-034974","12447030559","2020-01-29T06:03:00.000",,"2020-01-29T08:24:42.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","S","R","R2","CLAREMONT/RAINIER VISTA","38XX BLOCK OF RAINIER AVE S","-122.289921964","47.568881160"
"2020-035069","12446923744","2020-01-29T05:20:00.000","2020-01-29T05:30:00.000","2020-01-29T08:23:10.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","J","J1","GREENWOOD","GREENWOOD AVE N / N 90TH ST","-122.355339494","47.694216860"
"2020-035021","12444809566","2020-01-29T07:00:00.000","2020-01-29T07:10:00.000","2020-01-29T08:08:59.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","S","R","R2","MOUNT BAKER","38XX BLOCK OF RAINIER AVE S","-122.289921964","47.568881160"
"2020-034890","12450985774","2020-01-29T03:34:00.000","2020-01-29T03:34:00.000","2020-01-29T08:05:03.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","S","R","R1","NORTH BEACON HILL","S HOLGATE ST / 15TH AVE S","-122.313362753","47.586362680"
"2020-901368","12444678280","2020-01-27T17:30:00.000","2020-01-28T08:00:00.000","2020-01-29T06:03:55.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","B","B2","BALLARD SOUTH","8XX BLOCK OF NW 51ST ST","-122.367397367","47.665693110"
"2020-901367","12444677759","2020-01-26T18:45:00.000","2020-01-28T07:45:00.000","2020-01-29T06:03:03.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","B","B1","BALLARD SOUTH","15TH AVE NW / NW 57TH ST","-122.376213105","47.670171430"
