"report_number","offense_id","offense_start_datetime","offense_end_datetime","report_datetime","group_a_b","crime_against_category","offense_parent_group","offense","offense_code","precinct","sector","beat","mcpp","_100_block_address","longitude","latitude"
"2020-033078","12338574886","2020-01-27T17:11:00.000","2020-01-27T17:12:00.000","2020-01-27T18:15:46.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","S","S2","BRIGHTON/DUNLAP","RAINIER AVE S / S GARDEN ST","-122.270432964","47.537642630"
"2020-033079","12338419402","2020-01-27T16:50:00.000","2020-01-27T17:05:00.000","2020-01-27T18:10:17.000","A","PROPERTY","ROBBERY","Robbery","120","W","M","M2","DOWNTOWN COMMERCIAL","4XX BLOCK OF PINE ST","-122.337320423","47.611321240"
"2020-033022","12338426670","2020-01-27T13:00:00.000","2020-01-27T16:00:00.000","2020-01-27T18:07:44.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","M","M1","DOWNTOWN COMMERCIAL","15XX BLOCK OF 1ST AVE","-122.340467725","47.609317600"
"2020-032401","12338403448","2020-01-27T08:04:00.000","2020-01-27T08:04:00.000","2020-01-27T17:54:32.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","W","Q","Q2","QUEEN ANNE","25XX BLOCK OF 1ST AVE N","-122.355553540","47.642548540"
"2020-032989","12338403158","2020-01-26T10:00:00.000","2020-01-27T00:00:00.000","2020-01-27T17:47:23.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","N","L","L2","NORTHGATE","110XX BLOCK OF 2ND AVE NE","-122.327311405","47.709281670"
"2020-033090","12338382264","2020-01-27T00:00:00.000",,"2020-01-27T17:32:26.000","A","PROPERTY","FRAUD OFFENSES","False Pretenses/Swindle/Confidence Game","26A","E","C","C2","MILLER PARK","7XX BLOCK OF 19TH AVE E","-122.307308241","47.626042940"
"2020-033040","12338369780","2020-01-27T16:50:00.000",,"2020-01-27T17:16:56.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","D","D2","SLU/CASCADE","DENNY WAY / VINE ST","-122.345365728","47.618562430"
"2020-032944","12338369271","2020-01-27T15:23:00.000","2020-01-27T15:27:00.000","2020-01-27T17:16:35.000","A","PROPERTY","ROBBERY","Robbery","120","N","J","J2","BALLARD NORTH","83XX BLOCK OF 15TH AVE NW","-122.376802782","47.689666730"
"2020-032510","12338389681","2020-01-27T09:43:00.000","2020-01-27T09:43:00.000","2020-01-27T17:15:15.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","Q","Q2","QUEEN ANNE","1XX BLOCK OF DRAVUS ST","-122.356463031","47.648658560"
"2020-032829","12338402535","2020-01-23T12:05:00.000",,"2020-01-27T17:06:15.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","E","E3","FIRST HILL","11XX BLOCK OF 9TH AVE","-122.328339439","47.609479330"
"2020-032878","12338352482","2020-01-25T21:30:00.000",,"2020-01-27T17:03:45.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","N","L","L2","NORTHGATE","5XX BLOCK OF NE NORTHGATE WAY","-122.321918379","47.708585780"
"2020-032449","12338353264","2020-01-27T08:44:00.000",,"2020-01-27T17:03:44.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","U","U1","ROOSEVELT/RAVENNA","80XX BLOCK OF LAKE CITY WAY NE","-122.311642279","47.687886850"
