"week_ending","influenza_season","mmwr_year","mmwr_week","mmwr_day","mmwrweek_display_order","race_ethnicity","point_estimate","current_through","current_season_week_ending_label"
"2019-11-09T00:00:00.000","2019-2020","2019","45","7","14","Overall","45.42","2022-02-18T00:00:00.000","2021-11-06T00:00:00.000"
"2019-11-16T00:00:00.000","2019-2020","2019","46","7","15","Overall","47.66","2022-02-18T00:00:00.000","2021-11-13T00:00:00.000"
"2019-11-23T00:00:00.000","2019-2020","2019","47","7","16","Overall","49.53","2022-02-18T00:00:00.000","2021-11-20T00:00:00.000"
"2019-11-30T00:00:00.000","2019-2020","2019","48","7","17","Overall","50.37","2022-02-18T00:00:00.000","2021-11-27T00:00:00.000"
"2019-12-07T00:00:00.000","2019-2020","2019","49","7","18","Overall","51.48","2022-02-18T00:00:00.000","2021-12-04T00:00:00.000"
"2019-12-14T00:00:00.000","2019-2020","2019","50","7","19","Overall","52.45","2022-02-18T00:00:00.000","2021-12-11T00:00:00.000"
"2019-12-21T00:00:00.000","2019-2020","2019","51","7","20","Overall","53.17","2022-02-18T00:00:00.000","2021-12-18T00:00:00.000"
"2019-12-28T00:00:00.000","2019-2020","2019","52","7","21","Overall","53.45","2022-02-18T00:00:00.000","2021-12-25T00:00:00.000"
"2020-01-04T00:00:00.000","2019-2020","2020","1","7","23","Overall","53.75","2022-02-18T00:00:00.000","2022-01-01T00:00:00.000"
"2020-01-11T00:00:00.000","2019-2020","2020","2","7","24","Overall","54.2","2022-02-18T00:00:00.000","2022-01-08T00:00:00.000"
"2020-01-18T00:00:00.000","2019-2020","2020","3","7","25","Overall","54.56","2022-02-18T00:00:00.000","2022-01-15T00:00:00.000"
"2020-01-25T00:00:00.000","2019-2020","2020","4","7","26","Overall","54.83","2022-02-18T00:00:00.000","2022-01-22T00:00:00.000"
"2020-02-01T00:00:00.000","2019-2020","2020","5","7","27","Overall","55.08","2022-02-18T00:00:00.000","2022-01-29T00:00:00.000"
"2020-02-08T00:00:00.000","2019-2020","2020","6","7","28","Overall","55.28","2022-02-18T00:00:00.000","2022-02-05T00:00:00.000"
"2020-02-15T00:00:00.000","2019-2020","2020","7","7","29","Overall","55.44","2022-02-18T00:00:00.000","2022-02-12T00:00:00.000"
"2020-02-22T00:00:00.000","2019-2020","2020","8","7","30","Overall","55.58","2022-02-18T00:00:00.000","2022-02-19T00:00:00.000"
"2020-02-29T00:00:00.000","2019-2020","2020","9","7","31","Overall","55.73","2022-02-18T00:00:00.000","2022-02-26T00:00:00.000"
"2020-03-07T00:00:00.000","2019-2020","2020","10","7","32","Overall","55.9","2022-02-18T00:00:00.000","2022-03-05T00:00:00.000"
"2020-03-14T00:00:00.000","2019-2020","2020","11","7","33","Overall","56.05","2022-02-18T00:00:00.000","2022-03-12T00:00:00.000"
"2020-03-21T00:00:00.000","2019-2020","2020","12","7","34","Overall","56.11","2022-02-18T00:00:00.000","2022-03-19T00:00:00.000"
"2020-03-28T00:00:00.000","2019-2020","2020","13","7","35","Overall","56.14","2022-02-18T00:00:00.000","2022-03-26T00:00:00.000"
"2020-04-04T00:00:00.000","2019-2020","2020","14","7","36","Overall","56.15","2022-02-18T00:00:00.000","2022-04-02T00:00:00.000"
"2020-04-11T00:00:00.000","2019-2020","2020","15","7","37","Overall","56.16","2022-02-18T00:00:00.000","2022-04-09T00:00:00.000"
"2020-04-18T00:00:00.000","2019-2020","2020","16","7","38","Overall","56.17","2022-02-18T00:00:00.000","2022-04-16T00:00:00.000"
"2020-04-25T00:00:00.000","2019-2020","2020","17","7","39","Overall","56.18","2022-02-18T00:00:00.000","2022-04-23T00:00:00.000"
"2020-05-02T00:00:00.000","2019-2020","2020","18","7","40","Overall","56.18","2022-02-18T00:00:00.000","2022-04-30T00:00:00.000"
"2020-05-09T00:00:00.000","2019-2020","2020","19","7","41","Overall","56.19","2022-02-18T00:00:00.000","2022-05-07T00:00:00.000"
"2020-05-16T00:00:00.000","2019-2020","2020","20","7","42","Overall","56.2","2022-02-18T00:00:00.000","2022-05-14T00:00:00.000"
"2020-05-23T00:00:00.000","2019-2020","2020","21","7","43","Overall","56.21","2022-02-18T00:00:00.000","2022-05-21T00:00:00.000"
"2020-05-30T00:00:00.000","2019-2020","2020","22","7","44","Overall","56.22","2022-02-18T00:00:00.000","2022-05-28T00:00:00.000"
"2020-08-08T00:00:00.000","2020-2021","2020","32","7","1","Overall","0.0952","2022-02-18T00:00:00.000","2021-08-07T00:00:00.000"
"2020-08-15T00:00:00.000","2020-2021","2020","33","7","2","Overall","0.485","2022-02-18T00:00:00.000","2021-08-14T00:00:00.000"
"2020-08-22T00:00:00.000","2020-2021","2020","34","7","3","Overall","1.72","2022-02-18T00:00:00.000","2021-08-21T00:00:00.000"
"2020-08-29T00:00:00.000","2020-2021","2020","35","7","4","Overall","3.49","2022-02-18T00:00:00.000","2021-08-28T00:00:00.000"
"2020-09-05T00:00:00.000","2020-2021","2020","36","7","5","Overall","6.37","2022-02-18T00:00:00.000","2021-09-04T00:00:00.000"
"2020-09-12T00:00:00.000","2020-2021","2020","37","7","6","Overall","10.33","2022-02-18T00:00:00.000","2021-09-11T00:00:00.000"
"2020-09-19T00:00:00.000","2020-2021","2020","38","7","7","Overall","15.96","2022-02-18T00:00:00.000","2021-09-18T00:00:00.000"
"2020-09-26T00:00:00.000","2020-2021","2020","39","7","8","Overall","22.02","2022-02-18T00:00:00.000","2021-09-25T00:00:00.000"
"2020-10-03T00:00:00.000","2020-2021","2020","40","7","9","Overall","28.58","2022-02-18T00:00:00.000","2021-10-02T00:00:00.000"
"2020-10-10T00:00:00.000","2020-2021","2020","41","7","10","Overall","35.54","2022-02-18T00:00:00.000","2021-10-09T00:00:00.000"
"2020-10-17T00:00:00.000","2020-2021","2020","42","7","11","Overall","41.26","2022-02-18T00:00:00.000","2021-10-16T00:00:00.000"
"2020-10-24T00:00:00.000","2020-2021","2020","43","7","12","Overall","45.86","2022-02-18T00:00:00.000","2021-10-23T00:00:00.000"
"2020-10-31T00:00:00.000","2020-2021","2020","44","7","13","Overall","49.09","2022-02-18T00:00:00.000","2021-10-30T00:00:00.000"
"2020-11-07T00:00:00.000","2020-2021","2020","45","7","14","Overall","51.19","2022-02-18T00:00:00.000","2021-11-06T00:00:00.000"
"2020-11-14T00:00:00.000","2020-2021","2020","46","7","15","Overall","52.82","2022-02-18T00:00:00.000","2021-11-13T00:00:00.000"
"2020-11-21T00:00:00.000","2020-2021","2020","47","7","16","Overall","54.1","2022-02-18T00:00:00.000","2021-11-20T00:00:00.000"
"2020-11-28T00:00:00.000","2020-2021","2020","48","7","17","Overall","54.67","2022-02-18T00:00:00.000","2021-11-27T00:00:00.000"
"2020-12-05T00:00:00.000","2020-2021","2020","49","7","18","Overall","55.36","2022-02-18T00:00:00.000","2021-12-04T00:00:00.000"
"2020-12-12T00:00:00.000","2020-2021","2020","50","7","19","Overall","55.92","2022-02-18T00:00:00.000","2021-12-11T00:00:00.000"
"2020-12-19T00:00:00.000","2020-2021","2020","51","7","20","Overall","56.33","2022-02-18T00:00:00.000","2021-12-18T00:00:00.000"
"2020-12-26T00:00:00.000","2020-2021","2020","52","7","21","Overall","56.52","2022-02-18T00:00:00.000","2021-12-25T00:00:00.000"
"2021-01-02T00:00:00.000","2020-2021","2020","53","7","22","Overall","56.69","2022-02-18T00:00:00.000","2022-01-01T00:00:00.000"
"2021-01-09T00:00:00.000","2020-2021","2021","1","7","23","Overall","56.9","2022-02-18T00:00:00.000","2022-01-08T00:00:00.000"
"2021-01-16T00:00:00.000","2020-2021","2021","2","7","24","Overall","57.07","2022-02-18T00:00:00.000","2022-01-15T00:00:00.000"
"2021-01-23T00:00:00.000","2020-2021","2021","3","7","25","Overall","57.2","2022-02-18T00:00:00.000","2022-01-22T00:00:00.000"
"2021-01-30T00:00:00.000","2020-2021","2021","4","7","26","Overall","57.31","2022-02-18T00:00:00.000","2022-01-29T00:00:00.000"
"2021-02-06T00:00:00.000","2020-2021","2021","5","7","27","Overall","57.39","2022-02-18T00:00:00.000","2022-02-05T00:00:00.000"
"2021-02-13T00:00:00.000","2020-2021","2021","6","7","28","Overall","57.45","2022-02-18T00:00:00.000","2022-02-12T00:00:00.000"
"2021-02-20T00:00:00.000","2020-2021","2021","7","7","29","Overall","57.49","2022-02-18T00:00:00.000","2022-02-19T00:00:00.000"
