"geoid","region","state","age","season","mmwr_year_week","deaths_from_influenza","deaths_from_pneumonia","deaths_from_pneumonia_and_influenza","all_deaths","pecent_of_deaths_due_to_pneumonia_or_influenza","pecent_complete"
"State",,"Pennsylvania","All","2017-18","201815",,,"158","2675","5.9065420561","111.0260489"
"State",,"Maine","All","2017-18","201833",,,"20","259","7.722007722","105.92528814"
"State",,"West Virginia","All","2017-18","201802",,,"75","582","12.886597938","141.1834347"
"National",,,"0-17 years","2015-16","201635","0","12","12","659","1.8209408194","104.20244013"
"State",,"Nevada","All","2017-18","201825",,,"33","480","6.875","125.67648827"
"State",,"Nebraska","All","2017-18","201819",,,"26","309","8.4142394822","105.82018385"
"State",,"Nevada","All","2017-18","201832",,,"30","437","6.8649885584","114.41796953"
"State",,"North Dakota","All","2018-19","201840",,,"9","113","7.9646017699","99.276976754"
"State",,"Connecticut","All","2017-18","201827",,,"34","600","5.6666666667","108.2686513"
"State",,"Kansas","All","2017-18","201823",,,"36","519","6.936416185","110.07255569"
"State",,"North Dakota","All","2017-18","201835",,,"7","94","7.4468085106","82.584387742"
"State",,"South Carolina","All","2017-18","201835",,,"45","924","4.8701298701","115.90622637"
"State",,"Nevada","All","2018-19","201843",,,"26","441","5.89569161","115.4652736"
"State",,"Illinois","All","2017-18","201833",,,"100","1882","5.3134962806","97.497967439"
"State",,"Maryland","All","2017-18","201819",,,"44","924","4.7619047619","110.9179987"
"State",,"Oregon","All","2014-15","201526",,,"30","630","4.7619047619","102.25922445"
"State",,"West Virginia","All","2009-10","201039",,,"24","400","6","97.033288454"
"State",,"New York","All","2016-17","201706",,,"176","2161","8.144377603","118.53651111"
"State",,"Wyoming","All","2017-18","201834",,,"9","84","10.714285714","100.03418803"
"State",,"Ohio","All","2017-18","201830",,,"102","2104","4.8479087452","102.22591076"
"State",,"Maine","All","2017-18","201839",,,"21","299","7.0234113712","122.284406"
"State",,"Idaho","All","2018-19","201842",,,"12","267","4.4943820225","120.11235713"
"State",,"Connecticut","All","2017-18","201832",,,"21","557","3.7701974865","100.50939796"
"State",,"New York City","All","2017-18","201801",,,"114","1321","8.6298258895","132.66876177"
"State",,"Virginia","All","2017-18","201834",,,"64","1217","5.2588331964","106.30109163"
"State",,"District of Columbia","All","2017-18","201837",,,"1","85","1.1764705882","95.178140905"
"State",,"Nebraska","All","2017-18","201835",,,"13","295","4.406779661","101.02574186"
"State",,"Washington","All","2017-18","201807",,,"98","1121","8.7421944692","119.83969473"
"State",,"Iowa","All","2017-18","201821",,,"35","551","6.3520871143","103.22884265"
"State",,"District of Columbia","All","2017-18","201839",,,"4","95","4.2105263158","106.37556925"
"State",,"Delaware","All","2017-18","201826",,,"7","184","3.8043478261","124.60631197"
"Region","1",,"All","2017-18","201806","63","234","297","2887","10.28749567","126.10543916"
"Region","1",,"All","2017-18","201805","79","245","324","2823","11.477151966","123.3098908"
"Region","1",,"All","2017-18","201824","0","147","147","2402","6.1199000833","104.92042426"
"State",,"Connecticut","All","2017-18","201823",,,"36","568","6.338028169","102.49432323"
"State",,"South Dakota","All","2018-19","201842",,,"12","173","6.936416185","126.34797498"
"Region","3",,"All","2017-18","201823","0","281","281","5454","5.1521818849","108.29046407"
"State",,"South Dakota","All","2017-18","201838",,,"10","137","7.299270073","100.05591082"
"State",,"Minnesota","All","2017-18","201832",,,"45","849","5.3003533569","113.64078851"
"State",,"Maryland","All","2017-18","201839",,,"61","894","6.8232662192","107.31676498"
"State",,"Colorado","All","2017-18","201835",,,"40","708","5.6497175141","115.53091818"
"State",,"Connecticut","All","2017-18","201826",,,"32","550","5.8181818182","99.246263695"
"Region","8",,"All","2017-18","201803","53","118","171","1795","9.5264623955","128.10876892"
"State",,"Missouri","All","2017-18","201810",,,"99","1248","7.9326923077","118.24450217"
"State",,"District of Columbia","All","2017-18","201838",,,"3","94","3.1914893617","105.25582641"
"State",,"Utah","All","2018-19","201842",,,"13","359","3.6211699164","125.70744048"
"State",,"Maryland","All","2017-18","201813",,,"78","1020","7.6470588235","122.44194662"
"Region","1",,"All","2017-18","201823","0","146","146","2404","6.0732113145","105.00778515"
"State",,"Alabama","All","2017-18","201826",,,"49","971","5.0463439753","105.12958656"
"Region","10",,"All","2017-18","201830","0","78","78","1955","3.989769821","105.91207065"
"State",,"Washington","All","2018-19","201849",,,"62","1083","5.7248384118","115.7773322"
"State",,"Virginia","All","2017-18","201803",,,"138","1519","9.0849242923","132.67983417"
"State",,"Louisiana","All","2017-18","201820",,,"31","879","3.5267349261","112.36765327"
"State",,"Nevada","All","2017-18","201808",,,"52","483","10.766045549","126.46196633"
"State",,"Massachusetts","All","2018-19","201903",,,"124","1267","9.7868981847","125.47704905"
"Region","2",,"All","2017-18","201818","10","317","327","4439","7.3665239919","106.95066153"
"State",,"Pennsylvania","All","2017-18","201812",,,"163","2741","5.9467347683","113.76538319"
"State",,"South Carolina","All","2017-18","201819",,,"53","902","5.8758314856","113.14655431"
"State",,"Louisiana","All","2017-18","201810",,,"51","823","6.1968408262","105.20884942"
"State",,"Hawaii","All","2018-19","201849",,,"17","231","7.3593073593","121.68926753"
"State",,"New Hampshire","All","2017-18","201838",,,"10","253","3.95256917","126.74560752"
"State",,"West Virginia","All","2017-18","201826",,,"40","415","9.6385542169","100.67203677"
"State",,"Washington","All","2017-18","201830",,,"45","995","4.5226130653","106.36975581"
"State",,"New York","All","2017-18","201811",,,"205","2015","10.17369727","110.52802864"
"State",,"New York City","All","2017-18","201837",,,"61","925","6.5945945946","92.898262407"
"Region","9",,"All","2017-18","201815","25","488","513","6939","7.3929961089","115.39886483"
"National",,,"All","2016-17","201727","18","2823","2841","50959","5.5750701544","107.10284892"
"State",,"Illinois","All","2017-18","201831",,,"102","1960","5.2040816327","101.53879712"
"State",,"New York City","All","2017-18","201809",,,"115","1088","10.569852941","109.2684427"
"State",,"Maryland","All","2017-18","201820",,,"48","879","5.4607508532","105.51614812"
"State",,"Washington","All","2017-18","201832",,,"42","1026","4.0935672515","109.6837884"
"State",,"Alaska","All","2017-18","201839",,,"7","83","8.4337349398","115.14769333"
"State",,"Florida","All","2017-18","201826",,,"189","3713","5.0902235389","111.89540316"
"State",,"District of Columbia","All","2018-19","201845",,,"2","90","2.2222222222","100.77685508"
"Region","7",,"All","2017-18","201810","48","204","252","2768","9.1040462428","117.65117405"
"State",,"Nevada","All","2018-19","201850",,,"36","477","7.5471698113","124.89101022"
"Region","8",,"All","2018-19","201846","1","97","98","1662","5.8965102286","118.61658716"
"State",,"Arkansas","All","2018-19","201846",,,"51","655","7.786259542","117.06430648"
"State",,"South Dakota","All","2017-18","201835",,,"9","152","5.9210526316","111.01093755"
"State",,"Nevada","All","2018-19","201848",,,"27","493","5.476673428","129.0802265"
"State",,"Oklahoma","All","2018-19","201840",,,"62","744","8.3333333333","106.85321221"
"Region","10",,"All","2017-18","201812","34","120","154","2287","6.7337122868","123.89816142"
"State",,"Pennsylvania","All","2017-18","201817",,,"162","2660","6.0902255639","110.40347292"
"State",,"New York City","All","2017-18","201835",,,"52","947","5.4910242872","95.107734594"
"State",,"Oklahoma","All","2018-19","201903",,,"73","822","8.8807785888","118.0555651"
"State",,"Tennessee","All","2017-18","201839",,,"76","1257","6.046141607","109.88359691"
"State",,"Delaware","All","2018-19","201840",,,"7","179","3.9106145251","121.22027088"
"State",,"Kansas","All","2017-18","201829",,,"33","497","6.6398390342","105.406667"
"State",,"Kansas","All","2017-18","201833",,,"20","488","4.0983606557","103.49789436"
"State",,"Oklahoma","All","2018-19","201851",,,"62","760","8.1578947368","109.15113075"
"Region","9",,"All","2017-18","201810","56","684","740","7896","9.3718338399","131.31422924"
"State",,"Maryland","All","2017-18","201836",,,"57","876","6.5068493151","105.15602474"
"State",,"Massachusetts","All","2015-16","201629",,,"68","993","6.8479355488","98.34152305"
"Region","7",,"All","2017-18","201825","0","130","130","2431","5.3475935829","103.32731362"
"State",,"Alabama","All","2018-19","201842",,,"56","992","5.6451612903","107.40324394"
"State",,"South Dakota","All","2017-18","201823",,,"9","171","5.2631578947","124.88730475"
"State",,"Hawaii","All","2017-18","201814",,,"24","222","10.810810811","116.94812724"
"State",,"Hawaii","All","2017-18","201839",,,"15","218","6.880733945","114.84095377"
"State",,"Tennessee","All","2017-18","201816",,,"83","1245","6.6666666667","108.83458882"
"State",,"California","All","2017-18","201810",,,"569","5893","9.6555235025","129.96557852"
"State",,"Michigan","All","2017-18","201838",,,"89","1769","5.0310910119","104.77303771"
"State",,"Tennessee","All","2017-18","201820",,,"83","1283","6.4692127825","112.15644776"
"State",,"Massachusetts","All","2017-18","201836",,,"56","1039","5.3897978826","102.89712231"
"State",,"South Carolina","All","2017-18","201832",,,"52","987","5.2684903749","123.80892362"
"State",,"South Dakota","All","2018-19","201902",,,"17","157","10.828025478","114.66261313"
"Region","1",,"All","2017-18","201826","1","141","142","2366","6.0016906171","103.34792831"
"State",,"Pennsylvania","All","2017-18","201816",,,"170","2702","6.2916358253","112.14668565"
"State",,"Alabama","All","2018-19","201848",,,"50","1046","4.7801147228","113.24979149"
"State",,"Colorado","All","2017-18","201826",,,"39","654","5.9633027523","106.71923798"
"State",,"New York","All","2017-18","201819",,,"123","1845","6.6666666667","101.20308329"
"State",,"Florida","All","2017-18","201821",,,"179","3663","4.8867048867","110.3885973"
"State",,"Oklahoma","All","2018-19","201844",,,"57","787","7.2426937738","113.02886829"
"State",,"Rhode Island","All","2018-19","201848",,,"8","181","4.4198895028","100.01321912"
"State",,"Louisiana","All","2017-18","201809",,,"56","780","7.1794871795","99.711910747"
"State",,"Texas","All","2017-18","201822",,,"220","3680","5.9782608696","114.58333333"
"National",,,"0-17 years","2015-16","201633","0","9","9","732","1.2295081967","104.68584159"
"State",,"Georgia","All","2017-18","201822",,,"73","1581","4.6173308033","116.6608412"
"Region","8",,"All","2017-18","201830","0","82","82","1546","5.3040103493","110.33769178"
"State",,"Virginia","All","2017-18","201835",,,"48","1200","4","104.81619552"
"State",,"Washington","All","2018-19","201845",,,"63","1075","5.8604651163","114.92209798"
"State",,"Michigan","All","2017-18","201808",,,"173","2059","8.4021369597","121.94894553"
"State",,"Iowa","All","2017-18","201808",,,"69","669","10.313901345","125.33592693"
"State",,"Nebraska","All","2018-19","201846",,,"27","332","8.1325301205","113.69676711"
"State",,"Connecticut","All","2017-18","201839",,,"40","581","6.8846815835","104.84014401"
"State",,"Hawaii","All","2017-18","201804",,,"35","215","16.279069767","113.26057368"
"State",,"Washington","All","2017-18","201827",,,"54","1144","4.7202797203","122.29849311"
"State",,"Arizona","All","2017-18","201810",,,"104","1263","8.2343626287","139.24733735"
"Region","4",,"All","2017-18","201801","148","1047","1195","14283","8.366589652","137.08237855"
"State",,"Oregon","All","2017-18","201833",,,"20","645","3.1007751938","104.69396789"
"Region","2",,"All","2017-18","201816","10","331","341","4547","7.4994501869","109.55275017"
"State",,"Hawaii","All","2018-19","201904",,,"23","231","9.9567099567","121.68926753"
"State",,"Connecticut","All","2017-18","201828",,,"36","567","6.3492063492","102.31387548"
"National",,,"65 years and older","2015-16","201633","3","2334","2337","36143","6.4659823479","104.68584159"
"State",,"Georgia","All","2017-18","201805",,,"180","1906","9.44386149","140.64235504"
"Region","1",,"All","2017-18","201820","4","154","158","2431","6.49938297","106.18715711"
"Region","8",,"All","2017-18","201815","7","95","102","1677","6.0822898032","119.68713397"
"State",,"New Jersey","All","2017-18","201819",,,"67","1310","5.1145038168","98.368135895"
"State",,"West Virginia","All","2018-19","201849",,,"32","461","6.9414316703","111.83086494"
"State",,"New Mexico","All","2017-18","201809",,,"39","402","9.7014925373","130.02259432"
"State",,"Iowa","All","2018-19","201842",,,"36","618","5.8252427184","115.78117016"
"State",,"Georgia","All","2017-18","201813",,,"103","1655","6.2235649547","122.12124743"
"State",,"Wisconsin","All","2017-18","201832",,,"44","1027","4.2843232717","113.31710819"
"State",,"Louisiana","All","2017-18","201818",,,"39","833","4.6818727491","106.48720725"
"State",,"Virginia","All","2017-18","201810",,,"83","1333","6.2265566392","116.43332386"
"State",,"Hawaii","All","2017-18","201807",,,"23","234","9.8290598291","123.26964763"
"State",,"Louisiana","All","2017-18","201838",,,"36","855","4.2105263158","109.29959447"
"State",,"Missouri","All","2018-19","201848",,,"72","1132","6.3604240283","107.25382729"
"State",,"Rhode Island","All","2018-19","201843",,,"13","188","6.914893617","103.88113367"
"State",,"Tennessee","All","2017-18","201831",,,"74","1354","5.4652880355","118.36307893"
"State",,"Utah","All","2017-18","201809",,,"28","394","7.1065989848","137.96304053"
"State",,"South Dakota","All","2018-19","201844",,,"20","163","12.26993865","119.04462382"
"State",,"South Carolina","All","2017-18","201837",,,"46","954","4.821802935","119.66941554"
"State",,"West Virginia","All","2017-18","201817",,,"32","454","7.0484581498","110.13278239"
"State",,"Louisiana","All","2017-18","201814",,,"41","891","4.6015712682","113.90168266"
"State",,"Nebraska","All","2018-19","201849",,,"24","318","7.5471698113","108.90232512"
"State",,"Arkansas","All","2017-18","201836",,,"38","590","6.4406779661","105.4472379"
"State",,"Utah","All","2017-18","201827",,,"20","354","5.6497175141","123.95664047"
"State",,"Louisiana","All","2017-18","201826",,,"35","848","4.1273584906","108.40474399"
"State",,"New York","All","2017-18","201815",,,"203","2034","9.9803343166","111.57022841"
"State",,"Connecticut","All","2018-19","201905",,,,,,"4.3307460522"
"State",,"North Dakota","All","2018-19","201844",,,"8","146","5.4794520548","128.2693682"
"State",,"Tennessee","All","2017-18","201823",,,"76","1294","5.8732612056","113.11803851"
"State",,"Kentucky","All","2017-18","201827",,,"61","918","6.6448801743","113.30656115"
"State",,"Tennessee","All","2018-19","201841",,,"95","1322","7.1860816944","115.56572404"
"State",,"Michigan","All","2017-18","201818",,,"104","1896","5.4852320675","112.29490079"
"State",,"Maine","All","2018-19","201906",,,"33","302","10.927152318","123.51133984"
"Region","7",,"All","2017-18","201833","0","118","118","2424","4.8679867987","103.02978536"
"State",,"Louisiana","All","2017-18","201829",,,"35","818","4.2787286064","104.5696705"
"State",,"Louisiana","All","2018-19","201846",,,"36","843","4.2704626335","107.76556508"
"State",,"Vermont","All","2018-19","201843",,,"7","123","5.6910569106","122.59525967"
"State",,"Missouri","All","2017-18","201822",,,"62","1122","5.5258467023","106.30635532"
"State",,"Wyoming","All","2018-19","201849",,,"5","96","5.2083333333","114.32478632"
"State",,"South Dakota","All","2018-19","201851",,,"19","161","11.801242236","117.58395359"
"Region","8",,"All","2017-18","201832","0","64","64","1566","4.0868454662","111.76508754"
"State",,"Rhode Island","All","2018-19","201844",,,"10","210","4.7619047619","116.03743655"
"State",,"Washington","All","2017-18","201815",,,"76","1161","6.5460809647","124.11586582"
"State",,"North Dakota","All","2018-19","201845",,,"8","128","6.25","112.4553365"
"State",,"South Carolina","All","2017-18","201839",,,"67","963","6.9574247144","120.79837229"
"State",,"Ohio","All","2017-18","201805",,,"216","2548","8.4772370487","123.79829878"
"State",,"District of Columbia","All","2018-19","201846",,,"4","90","4.4444444444","100.77685508"
"State",,"Minnesota","All","2018-19","201848",,,"57","860","6.6279069767","115.11316622"
"State",,"Alabama","All","2017-18","201815",,,"61","1052","5.7984790875","113.89940789"
"State",,"Louisiana","All","2018-19","201848",,,"40","926","4.3196544276","118.37593507"
"State",,"Virginia","All","2017-18","201827",,,"49","1263","3.8796516231","110.31904579"
"State",,"Washington","All","2017-18","201812",,,"92","1191","7.7246011755","127.32299414"
"State",,"Texas","All","2018-19","201848",,,"238","3957","6.0146575689","123.20822011"
"State",,"Florida","All","2018-19","201840",,,"203","3756","5.404685836","113.1912562"
"State",,"Ohio","All","2017-18","201810",,,"173","2432","7.1134868421","118.16226948"
"State",,"New Hampshire","All","2017-18","201826",,,"12","217","5.5299539171","108.71065941"
"State",,"South Carolina","All","2018-19","201906",,,"69","1043","6.6155321189","130.8335434"
"State",,"New York City","All","2017-18","201838",,,"86","992","8.6693548387","99.627109522"
"State",,"Mississippi","All","2018-19","201850",,,"48","612","7.8431372549","110.44165264"
"State",,"Maine","All","2018-19","201909",,,"32","297","10.774410774","121.46645011"
"State",,"Vermont","All","2017-18","201835",,,"2","106","1.8867924528","105.65119939"
"State",,"Mississippi","All","2017-18","201805",,,"77","659","11.684370258","118.92328282"
"State",,"Louisiana","All","2017-18","201819",,,"29","883","3.2842582106","112.8789964"
"Region","3",,"All","2017-18","201831","0","242","242","5181","4.6709129512","102.8699843"
"State",,"Ohio","All","2017-18","201817",,,"128","2344","5.4607508532","113.88666104"
"State",,"Ohio","All","2017-18","201829",,,"89","2195","4.0546697039","106.64727858"
"State",,"New York","All","2017-18","201835",,,"124","1803","6.8774265114","98.899273268"
"State",,"Ohio","All","2017-18","201832",,,"83","2215","3.7471783296","107.61900777"
"Region","9",,"All","2017-18","201821","3","439","442","6536","6.7625458996","108.69678348"
"Region","3",,"All","2017-18","201804","104","432","536","6355","8.4343036979","126.18003285"
"Region","8",,"All","2017-18","201829","0","73","73","1544","4.7279792746","110.19495221"
"State",,"Utah","All","2017-18","201821",,,"16","374","4.2780748663","130.9598405"
"State",,"Kentucky","All","2017-18","201822",,,"55","843","6.5243179122","104.04948916"
"State",,"Idaho","All","2018-19","201846",,,"12","267","4.4943820225","120.11235713"
"State",,"Kansas","All","2018-19","201841",,,"32","489","6.5439672802","103.70998021"
"State",,"Oregon","All","2017-18","201822",,,"28","674","4.1543026706","109.40113854"
"Region","2",,"All","2017-18","201810","38","351","389","4656","8.3548109966","112.17893221"
"State",,"Nebraska","All","2018-19","201847",,,"12","310","3.8709677419","106.16264399"
"Region","7",,"All","2017-18","201823","1","165","166","2567","6.4666926373","109.10786264"
"State",,"Kansas","All","2017-18","201831",,,"21","469","4.4776119403","99.46826323"
"Region","7",,"All","2017-18","201806","86","233","319","2956","10.791610284","125.64193298"
"State",,"Nebraska","All","2018-19","201841",,,"29","321","9.0342679128","109.92970555"
"State",,"Maryland","All","2017-18","201829",,,"60","940","6.3829787234","112.83865669"
"State",,"Maine","All","2018-19","201852",,,"26","317","8.2018927445","129.64600904"
"State",,"Alaska","All","2017-18","201833",,,"2","87","2.2988505747","120.69697975"
"State",,"Georgia","All","2017-18","201835",,,"50","1547","3.2320620556","114.1520059"
"State",,"Louisiana","All","2018-19","201851",,,"37","897","4.1248606466","114.66869736"
"State",,"New Jersey","All","2017-18","201823",,,"68","1366","4.9780380673","102.57318598"
"Region","9",,"All","2017-18","201817","13","501","514","6911","7.437418608","114.93321154"
"State",,"Maine","All","2018-19","201904",,,"35","315","11.111111111","128.82805315"
"State",,"Massachusetts","All","2018-19","201845",,,"75","1096","6.8430656934","108.54210399"
"State",,"Nevada","All","2017-18","201839",,,"21","427","4.9180327869","111.79970936"
"State",,"Alabama","All","2017-18","201814",,,"56","1027","5.452775073","111.19267291"
"State",,"West Virginia","All","2017-18","201829",,,"35","405","8.6419753086","98.246204559"
"State",,"Massachusetts","All","2017-18","201830",,,"50","1031","4.8496605238","102.10484417"
"State",,"New York City","All","2017-18","201806",,,"141","1228","11.482084691","123.32872026"
"State",,"New Jersey","All","2017-18","201802",,,"120","1785","6.7226890756","134.03597143"
"State",,"Louisiana","All","2017-18","201816",,,"34","853","3.9859320047","109.04392291"
"State",,"Pennsylvania","All","2017-18","201836",,,"97","2341","4.1435284067","97.163357184"
"State",,"Tennessee","All","2017-18","201806",,,"173","1623","10.659272951","141.8783435"
"State",,"District of Columbia","All","2018-19","201906",,,"3","91","3.2967032967","101.89659791"
"State",,"Delaware","All","2017-18","201836",,,"10","155","6.4516129032","104.96727367"
"State",,"Illinois","All","2017-18","201835",,,"108","1969","5.4850177755","102.0050467"
"State",,"Massachusetts","All","2018-19","201840",,,"68","1104","6.1594202899","109.33438212"
"State",,"Oklahoma","All","2017-18","201801",,,"113","956","11.820083682","137.30063289"
"State",,"Arkansas","All","2017-18","201819",,,"55","648","8.487654321","115.81323756"
"State",,"Ohio","All","2017-18","201806",,,"225","2648","8.496978852","128.65694473"
"State",,"Vermont","All","2018-19","201851",,,"3","114","2.6315789474","113.62487482"
"State",,"Connecticut","All","2018-19","201903",,,,,,"3.2480595391"
"State",,"Oklahoma","All","2017-18","201836",,,"47","718","6.5459610028","103.11909458"
"State",,"New York","All","2017-18","201818",,,"153","1952","7.8381147541","107.0723136"
"State",,"Nebraska","All","2018-19","201906",,,"26","330","7.8787878788","113.01184683"
"State",,"Illinois","All","2017-18","201834",,,"101","1942","5.2008238929","100.60629796"
"Region","2",,"All","2017-18","201822","0","271","271","4025","6.7329192547","96.975988435"
"State",,"South Carolina","All","2017-18","201808",,,"96","977","9.8259979529","122.55452723"
"Region","6",,"All","2017-18","201820","2","370","372","6253","5.9491444107","112.48687386"
"State",,"Missouri","All","2017-18","201809",,,"110","1244","8.8424437299","117.86551338"
"Region","7",,"All","2017-18","201819","3","144","147","2517","5.8402860548","106.98266079"
"State",,"Delaware","All","2017-18","201831",,,"7","151","4.6357615894","102.2584408"
"Region","9",,"All","2017-18","201830","2","416","418","6521","6.4100598068","108.44732635"
"Region","9",,"All","2017-18","201838","2","399","401","6501","6.1682818028","108.11471686"
"State",,"Colorado","All","2017-18","201838",,,"34","735","4.6258503401","119.93675828"
"State",,"Alabama","All","2018-19","201841",,,"51","956","5.3347280335","103.50554557"
"State",,"New York","All","2018-19","201845",,,"179","1979","9.0449722082","108.55333433"
"State",,"Iowa","All","2017-18","201834",,,"25","540","4.6296296296","101.16801276"
"State",,"Virginia","All","2017-18","201805",,,"148","1479","10.006761325","129.18596098"
"State",,"Oregon","All","2017-18","201839",,,"20","683","2.9282576867","110.86198461"
"State",,"Missouri","All","2017-18","201808",,,"119","1336","8.9071856287","126.58225553"
"State",,"California","All","2017-18","201825",,,"298","4850","6.1443298969","106.96301643"
"State",,"Tennessee","All","2017-18","201826",,,"81","1218","6.6502463054","106.47432063"
"State",,"California","All","2017-18","201831",,,"294","4703","6.251328939","103.72104459"
"State",,"Massachusetts","All","2017-18","201823",,,"77","1097","7.0191431176","108.64113876"
"State",,"Colorado","All","2017-18","201829",,,"32","658","4.8632218845","107.37195503"
"Region","2",,"All","2018-19","201840","3","305","308","4328","7.1164510166","104.27629266"
"State",,"District of Columbia","All","2017-18","201817",,,"8","103","7.7669902913","115.33351192"
"State",,"Florida","All","2017-18","201803",,,"374","4605","8.121606949","138.7768197"
"State",,"Colorado","All","2017-18","201825",,,"37","681","5.4331864905","111.12507808"
"State",,"Louisiana","All","2017-18","201824",,,"27","814","3.316953317","104.05832737"
"State",,"Nebraska","All","2018-19","201844",,,"15","301","4.9833887043","103.08050271"
"State",,"Connecticut","All","2017-18","201825",,,"22","539","4.0816326531","97.261338422"
"State",,"District of Columbia","All","2017-18","201828",,,"2","94","2.1276595745","105.25582641"
"State",,"Delaware","All","2018-19","201847",,,"10","173","5.7803468208","117.15702158"
"State",,"District of Columbia","All","2017-18","201815",,,"8","113","7.0796460177","126.53094026"
"State",,"Rhode Island","All","2017-18","201836",,,"7","199","3.5175879397","109.95928511"
"State",,"Mississippi","All","2017-18","201838",,,"35","562","6.2277580071","101.4186418"
"State",,"Utah","All","2017-18","201812",,,"26","338","7.6923076923","118.35408045"
"State",,"Oklahoma","All","2018-19","201841",,,"38","690","5.5072463768","99.097737127"
"State",,"Alaska","All","2018-19","201842",,,"4","76","5.2631578947","105.43644208"
"State",,"Oklahoma","All","2017-18","201825",,,"45","716","6.2849162011","102.83185476"
"Region","8",,"All","2017-18","201834","1","65","66","1537","4.2940793754","109.6953637"
"State",,"Colorado","All","2018-19","201851",,,"34","754","4.5092838196","123.03716427"
"Region","3",,"All","2017-18","201818","17","332","349","5460","6.3919413919","108.40959549"
"State",,"New York","All","2017-18","201831",,,"124","1786","6.9428891377","97.966778734"
"State",,"Montana","All","2017-18","201817",,,"7","206","3.3980582524","122.59809784"
"State",,"Maine","All","2018-19","201845",,,"27","297","9.0909090909","121.46645011"
"State",,"Connecticut","All","2017-18","201817",,,"54","654","8.2568807339","118.01282992"
"Region","1",,"All","2017-18","201822","2","148","150","2433","6.1652281134","106.274518"
"State",,"Nebraska","All","2018-19","201901",,,"28","355","7.8873239437","121.57335037"
"State",,"Alaska","All","2018-19","201849",,,"5","82","6.0975609756","113.76037172"
"State",,"New York City","All","2017-18","201818",,,"88","986","8.9249492901","99.024526198"
"State",,"District of Columbia","All","2017-18","201818",,,"12","108","11.111111111","120.93222609"
"State",,"Alaska","All","2017-18","201829",,,"3","77","3.8961038961","106.82376369"
"State",,"Virginia","All","2018-19","201903",,,"83","1372","6.0495626822","119.83985021"
"State",,"Colorado","All","2018-19","201850",,,"40","778","5.1413881748","126.95346658"
"State",,"Louisiana","All","2017-18","201839",,,"35","817","4.2839657283","104.44183472"
"Region","3",,"All","2017-18","201808","118","430","548","6007","9.1226901948","119.27041028"
"State",,"California","All","2017-18","201817",,,"402","5102","7.8792630341","112.52068244"
"State",,"New Jersey","All","2017-18","201837",,,"47","1316","3.5714285714","98.818676976"
"Region","3",,"All","2017-18","201837","0","247","247","5201","4.7490867141","103.26708904"
"State",,"Pennsylvania","All","2017-18","201826",,,"116","2404","4.8252911814","99.778176279"
"State",,"South Carolina","All","2017-18","201804",,,"153","1146","13.35078534","143.75382621"
"State",,"Oklahoma","All","2017-18","201828",,,"56","699","8.0114449213","100.39031631"
"State",,"Louisiana","All","2017-18","201806",,,"72","1030","6.9902912621","131.6708565"
"State",,"Missouri","All","2017-18","201838",,,"45","1128","3.9893617021","106.8748385"
"Region","1",,"All","2016-17","201640","0","149","149","2482","6.0032232071","108.41485971"
"State",,"Ohio","All","2017-18","201812",,,"149","2375","6.2736842105","115.39284129"
"State",,"Oklahoma","All","2017-18","201839",,,"42","702","5.9829059829","100.82117603"
"Region","1",,"All","2017-18","201836","0","120","120","2418","4.9627791563","105.61931135"
"State",,"Wisconsin","All","2017-18","201835",,,"53","1004","5.2788844622","110.77933459"
"State",,"North Dakota","All","2018-19","201903",,,"11","143","7.6923076923","125.63369625"
"State",,"Kentucky","All","2017-18","201817",,,"80","954","8.3857442348","117.74995571"
"State",,"Kansas","All","2018-19","201840",,,"32","523","6.1185468451","110.92089908"
"State",,"Oklahoma","All","2018-19","201902",,,"73","807","9.0458488228","115.90126647"
"State",,"Tennessee","All","2017-18","201817",,,"113","1372","8.2361516035","119.93659106"
"State",,"Alaska","All","2018-19","201846",,,"3","87","3.4482758621","120.69697975"
"Region","10",,"All","2017-18","201826","2","86","88","1987","4.4287871163","107.64566976"
"State",,"Delaware","All","2018-19","201852",,,"11","210","5.2380952381","142.21372562"
"State",,"Delaware","All","2018-19","201901",,,"9","172","5.2325581395","116.47981336"
"State",,"Alaska","All","2018-19","201848",,,"1","93","1.0752688172","129.02090939"
"State",,"Wisconsin","All","2018-19","201902",,,"71","1066","6.660412758","117.62028952"
"Region","4",,"All","2017-18","201817","15","706","721","12013","6.0018313494","115.29584916"
"Region","9",,"All","2017-18","201826","0","413","413","6547","6.3082327784","108.8797187"
"State",,"Alaska","All","2018-19","201845",,,"2","94","2.1276595745","130.408231"
"Region","6",,"All","2017-18","201812","22","462","484","6409","7.5518801685","115.2931992"
"State",,"New Mexico","All","2017-18","201803",,,"48","433","11.085450346","140.04921229"
"State",,"Maine","All","2018-19","201907",,,"25","291","8.5910652921","119.01258243"
"State",,"Utah","All","2018-19","201850",,,"15","312","4.8076923077","109.24992042"
"Region","8",,"All","2017-18","201835","0","84","84","1532","5.4830287206","109.33851476"
"State",,"Florida","All","2017-18","201801",,,"302","4390","6.8792710706","132.2975545"
"Region","7",,"All","2017-18","201826","0","144","144","2507","5.7439170323","106.55762042"
"Region","8",,"All","2017-18","201821","2","75","77","1593","4.8336472065","113.69207181"
"State",,"Missouri","All","2017-18","201830",,,"50","1108","4.5126353791","104.97989455"
