"county","county_fips","state","county_population","health_service_area_number","health_service_area","health_service_area_population","covid_inpatient_bed_utilization","covid_hospital_admissions_per_100k","covid_cases_per_100k","covid_19_community_level","date_updated"
"Jackson County","05067","Arkansas","16719","457","White, AR - Cleburne, AR","126711",,,"263.17","N/A","2022-02-24T00:00:00.000"
"Jefferson County","05069","Arkansas","66824","473","Jefferson (Pine Bluff), AR - Drew, AR","128147","5","11.7","116.72","Medium","2022-02-24T00:00:00.000"
"Johnson County","05071","Arkansas","26578","522","Johnson, AR","26578","17.1","18.8","199.41","High","2022-02-24T00:00:00.000"
"Lafayette County","05073","Arkansas","6624","404","Bowie (Texarkana), TX - Miller, AR","248210","7.7","10.5","105.68","Medium","2022-02-24T00:00:00.000"
"Lawrence County","05075","Arkansas","16406","571","Craighead, AR - Greene, AR","257231","8.7","17.5","444.96","High","2022-02-24T00:00:00.000"
"Lee County","05077","Arkansas","8857","499","Crittenden (West Memphis), AR - St. Francis, AR","98225","2.1","3.1","327.42","Medium","2022-02-24T00:00:00.000"
"Lincoln County","05079","Arkansas","13024","473","Jefferson (Pine Bluff), AR - Drew, AR","128147","5","11.7","214.99","High","2022-02-24T00:00:00.000"
"Little River County","05081","Arkansas","12259","404","Bowie (Texarkana), TX - Miller, AR","248210","7.7","10.5","195.77","Medium","2022-02-24T00:00:00.000"
"Logan County","05083","Arkansas","21466","421","Sebastian (Fort Smith), AR - Crawford, AR","344595","16.6","30.5","251.56","High","2022-02-24T00:00:00.000"
"Lonoke County","05085","Arkansas","73309","432","Pulaski (Little Rock), AR - Faulkner, AR","787837","10.3","35.8","165.05","High","2022-02-24T00:00:00.000"
"Madison County","05087","Arkansas","16576","446","Washington (Fayetteville), AR - Benton, AR","577913","9.4","14.2","187.02","Medium","2022-02-24T00:00:00.000"
"Marion County","05089","Arkansas","16694","407","Baxter, AR - Marion, AR","58626","5.7","6.8","371.39","Medium","2022-02-24T00:00:00.000"
"Miller County","05091","Arkansas","43257","404","Bowie (Texarkana), TX - Miller, AR","248210","7.7","10.5","272.79","High","2022-02-24T00:00:00.000"
"Mississippi County","05093","Arkansas","40651","614","Mississippi, AR - Pemiscot, MO","56456","3.5","1.8","282.9","Medium","2022-02-24T00:00:00.000"
"Monroe County","05095","Arkansas","6701","527","Arkansas, AR - Monroe, AR","24187","9.8","49.6","179.08","High","2022-02-24T00:00:00.000"
"Montgomery County","05097","Arkansas","8986","448","Garland, AR - Hot Spring, AR","175181","12.6","16.6","111.28","Medium","2022-02-24T00:00:00.000"
"Nevada County","05099","Arkansas","8252","404","Bowie (Texarkana), TX - Miller, AR","248210","7.7","10.5","121.18","Medium","2022-02-24T00:00:00.000"
"Newton County","05101","Arkansas","7753","494","Boone, AR - Carroll, AR","81446","9.7","12.3","128.98","Medium","2022-02-24T00:00:00.000"
"Ouachita County","05103","Arkansas","23382","496","Ouachita, AR - Dallas, AR","30391","1.7","19.7","171.07","Medium","2022-02-24T00:00:00.000"
"Perry County","05105","Arkansas","10455","432","Pulaski (Little Rock), AR - Faulkner, AR","787837","10.3","35.8","200.86","High","2022-02-24T00:00:00.000"
"Phillips County","05107","Arkansas","17782","537","Phillips, AR","17782","4.2","22.5","106.85","High","2022-02-24T00:00:00.000"
"Pike County","05109","Arkansas","10718","448","Garland, AR - Hot Spring, AR","175181","12.6","16.6","167.94","Medium","2022-02-24T00:00:00.000"
"Poinsett County","05111","Arkansas","23528","571","Craighead, AR - Greene, AR","257231","8.7","17.5","331.52","High","2022-02-24T00:00:00.000"
"Polk County","05113","Arkansas","19964","534","Polk, AR","19964","2.4","5","180.32","Low","2022-02-24T00:00:00.000"
"Pope County","05115","Arkansas","64072","442","Pope, AR - Yell, AR","85413","8.5","15.2","152.95","Medium","2022-02-24T00:00:00.000"
"Prairie County","05117","Arkansas","8062","432","Pulaski (Little Rock), AR - Faulkner, AR","787837","10.3","35.8","148.85","High","2022-02-24T00:00:00.000"
"Pulaski County","05119","Arkansas","391911","432","Pulaski (Little Rock), AR - Faulkner, AR","787837","10.3","35.8","177.85","High","2022-02-24T00:00:00.000"
"Randolph County","05121","Arkansas","17958","571","Craighead, AR - Greene, AR","257231","8.7","17.5","178.19","Medium","2022-02-24T00:00:00.000"
"St. Francis County","05123","Arkansas","24994","499","Crittenden (West Memphis), AR - St. Francis, AR","98225","2.1","3.1","140.03","Low","2022-02-24T00:00:00.000"
"Saline County","05125","Arkansas","122437","432","Pulaski (Little Rock), AR - Faulkner, AR","787837","10.3","35.8","167.43","High","2022-02-24T00:00:00.000"
"Scott County","05127","Arkansas","10281","421","Sebastian (Fort Smith), AR - Crawford, AR","344595","16.6","30.5","213.99","High","2022-02-24T00:00:00.000"
"Searcy County","05129","Arkansas","7881","494","Boone, AR - Carroll, AR","81446","9.7","12.3","266.46","High","2022-02-24T00:00:00.000"
"Sebastian County","05131","Arkansas","127827","421","Sebastian (Fort Smith), AR - Crawford, AR","344595","16.6","30.5","123.6","High","2022-02-24T00:00:00.000"
"Sevier County","05133","Arkansas","17007","404","Bowie (Texarkana), TX - Miller, AR","248210","7.7","10.5","311.64","High","2022-02-24T00:00:00.000"
"Sharp County","05135","Arkansas","17442","574","Howell, MO - Independence, AR","152691","13.9","25.5","212.13","High","2022-02-24T00:00:00.000"
"Stone County","05137","Arkansas","12506","574","Howell, MO - Independence, AR","152691","13.9","25.5","391.81","High","2022-02-24T00:00:00.000"
"Union County","05139","Arkansas","38682","486","Union, AR - Columbia, AR","67328","11.4","7.4","149.94","Medium","2022-02-24T00:00:00.000"
"Van Buren County","05141","Arkansas","16545","432","Pulaski (Little Rock), AR - Faulkner, AR","787837","10.3","35.8","145.06","High","2022-02-24T00:00:00.000"
"Washington County","05143","Arkansas","239187","446","Washington (Fayetteville), AR - Benton, AR","577913","9.4","14.2","195.24","Medium","2022-02-24T00:00:00.000"
"White County","05145","Arkansas","78753","457","White, AR - Cleburne, AR","126711","10.1","25.5","359.35","High","2022-02-24T00:00:00.000"
"Woodruff County","05147","Arkansas","6320","457","White, AR - Cleburne, AR","126711","10.1","25.5","522.15","High","2022-02-24T00:00:00.000"
"Yell County","05149","Arkansas","21341","442","Pope, AR - Yell, AR","85413","8.5","15.2","192.12","Medium","2022-02-24T00:00:00.000"
"Alameda County","06001","California","1671329","766","Alameda (Oakland), CA - Contra Costa, CA","2824855","8","9.1","106.02","Low","2022-02-24T00:00:00.000"
"Alpine County","06003","California","1129","701","Washoe (Reno), NV - Carson City, NV","692072","8.9","14.7","0","Medium","2022-02-24T00:00:00.000"
"Amador County","06005","California","39752","750","San Joaquin (Stockton), CA - Calaveras, CA","847805","14.4","15.5","196.22","Medium","2022-02-24T00:00:00.000"
"Butte County","06007","California","219186","697","Butte (Chico), CA - Tehama, CA","312663","15.8","16.6","235.87","High","2022-02-24T00:00:00.000"
"Calaveras County","06009","California","45905","750","San Joaquin (Stockton), CA - Calaveras, CA","847805","14.4","15.5","106.74","Medium","2022-02-24T00:00:00.000"
"Colusa County","06011","California","21547","690","Sutter (Yuba City), CA - Yuba, CA","197186","12.2","18.3","176.36","Medium","2022-02-24T00:00:00.000"
"Contra Costa County","06013","California","1153526","766","Alameda (Oakland), CA - Contra Costa, CA","2824855","8","9.1","106.28","Low","2022-02-24T00:00:00.000"
"Del Norte County","06015","California","27812","738","Coos, OR - Del Norte, CA","115224","11.9","26","560.91","High","2022-02-24T00:00:00.000"
"El Dorado County","06017","California","192843","709","Sacramento (Sacramento), CA - Placer, CA","2363730","13.3","16","145.71","Medium","2022-02-24T00:00:00.000"
"Fresno County","06019","California","999101","718","Fresno (Fresno), CA - Kings, CA","1309368","20.9","18.4","304.07","High","2022-02-24T00:00:00.000"
"Glenn County","06021","California","28393","697","Butte (Chico), CA - Tehama, CA","312663","15.8","16.6","105.66","High","2022-02-24T00:00:00.000"
"Humboldt County","06023","California","135558","800","Humboldt, CA","135558","11.5","14.8","222.78","High","2022-02-24T00:00:00.000"
"Imperial County","06025","California","181215","774","San Diego (San Diego), CA - Imperial, CA","3519545","10.8","10.8","376.9","High","2022-02-24T00:00:00.000"
"Inyo County","06027","California","18039","816","Inyo, CA - Mono, CA","32483","2.2","0","94.24","Low","2022-02-24T00:00:00.000"
"Kern County","06029","California","900202","807","Kern, CA","900202","14","12.7","399.69","High","2022-02-24T00:00:00.000"
"Kings County","06031","California","152940","718","Fresno (Fresno), CA - Kings, CA","1309368","20.9","18.4","629","High","2022-02-24T00:00:00.000"
"Lake County","06033","California","64386","746","Solano (Vallejo), CA - Napa, CA","649773","10.9","13.2","545.15","High","2022-02-24T00:00:00.000"
"Lassen County","06035","California","30573","780","Lassen, CA - Plumas, CA","49380","3.3","10.1","493.9","High","2022-02-24T00:00:00.000"
"Los Angeles County","06037","California","10039107","723","Los Angeles (Los Angeles), CA - Orange, CA","13214799","7.7","10.6","216.47","High","2022-02-24T00:00:00.000"
"Madera County","06039","California","157327","718","Fresno (Fresno), CA - Kings, CA","1309368","20.9","18.4","472.26","High","2022-02-24T00:00:00.000"
"Marin County","06041","California","258826","764","Sonoma (Santa Rosa), CA - Marin, CA","753162","7.4","7.8","81.14","Low","2022-02-24T00:00:00.000"
"Mariposa County","06043","California","17203","737","Stanislaus (Modesto), CA - Merced, CA","900021","14.6","15.2","191.83","Medium","2022-02-24T00:00:00.000"
"Mendocino County","06045","California","86749","811","Mendocino, CA","86749","12.8","16.1","234.01","High","2022-02-24T00:00:00.000"
"Merced County","06047","California","277680","737","Stanislaus (Modesto), CA - Merced, CA","900021","14.6","15.2","751.94","High","2022-02-24T00:00:00.000"
"Modoc County","06049","California","8841","710","Shasta (Redding), CA - Trinity, CA","201206","14.5","21.4","90.49","High","2022-02-24T00:00:00.000"
"Mono County","06051","California","14444","816","Inyo, CA - Mono, CA","32483","2.2","0","48.46","Low","2022-02-24T00:00:00.000"
"Monterey County","06053","California","434061","751","Santa Clara (San Jose), CA - Monterey, CA","2424721","9.1","10.8","355.48","High","2022-02-24T00:00:00.000"
"Napa County","06055","California","137744","746","Solano (Vallejo), CA - Napa, CA","649773","10.9","13.2","226.51","High","2022-02-24T00:00:00.000"
"Nevada County","06057","California","99755","753","Nevada, CA - Sierra, CA","102760","17.7","7.8","111.27","High","2022-02-24T00:00:00.000"
"Orange County","06059","California","3175692","723","Los Angeles (Los Angeles), CA - Orange, CA","13214799","7.7","10.6","69.84","Medium","2022-02-24T00:00:00.000"
"Placer County","06061","California","398329","709","Sacramento (Sacramento), CA - Placer, CA","2363730","13.3","16","119","Medium","2022-02-24T00:00:00.000"
"Plumas County","06063","California","18807","780","Lassen, CA - Plumas, CA","49380","3.3","10.1","79.76","Medium","2022-02-24T00:00:00.000"
"Riverside County","06065","California","2470546","768","San Bernardino, CA - Riverside (Riverside), CA","4650631","10.5","10.2","157.37","Medium","2022-02-24T00:00:00.000"
"Sacramento County","06067","California","1552058","709","Sacramento (Sacramento), CA - Placer, CA","2363730","13.3","16","156.5","Medium","2022-02-24T00:00:00.000"
"San Benito County","06069","California","62808","751","Santa Clara (San Jose), CA - Monterey, CA","2424721","9.1","10.8","173.54","Medium","2022-02-24T00:00:00.000"
"San Bernardino County","06071","California","2180085","768","San Bernardino, CA - Riverside (Riverside), CA","4650631","10.5","10.2","121.28","Medium","2022-02-24T00:00:00.000"
"San Diego County","06073","California","3338330","774","San Diego (San Diego), CA - Imperial, CA","3519545","10.8","10.8","238.8","High","2022-02-24T00:00:00.000"
"San Francisco County","06075","California","881549","757","San Francisco (San Francisco), CA - San Mateo, CA","1648122","7.2","7.3","117.86","Low","2022-02-24T00:00:00.000"
"San Joaquin County","06077","California","762148","750","San Joaquin (Stockton), CA - Calaveras, CA","847805","14.4","15.5","178.31","Medium","2022-02-24T00:00:00.000"
"San Luis Obispo County","06079","California","283111","781","Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA","729610","7.6","8.9","146.59","Low","2022-02-24T00:00:00.000"
"San Mateo County","06081","California","766573","757","San Francisco (San Francisco), CA - San Mateo, CA","1648122","7.2","7.3","127.84","Low","2022-02-24T00:00:00.000"
"Santa Barbara County","06083","California","446499","781","Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA","729610","7.6","8.9","241.43","Medium","2022-02-24T00:00:00.000"
"Santa Clara County","06085","California","1927852","751","Santa Clara (San Jose), CA - Monterey, CA","2424721","9.1","10.8","127.97","Medium","2022-02-24T00:00:00.000"
"Santa Cruz County","06087","California","273213","802","Santa Cruz, CA","273213","8.4","5.9","207.16","Medium","2022-02-24T00:00:00.000"
"Shasta County","06089","California","180080","710","Shasta (Redding), CA - Trinity, CA","201206","14.5","21.4","142.71","High","2022-02-24T00:00:00.000"
"Sierra County","06091","California","3005","753","Nevada, CA - Sierra, CA","102760","17.7","7.8","0","High","2022-02-24T00:00:00.000"
"Siskiyou County","06093","California","43539","752","Jackson (Medford), OR - Josephine, OR","351970","10.6","22.2","169.96","High","2022-02-24T00:00:00.000"
"Solano County","06095","California","447643","746","Solano (Vallejo), CA - Napa, CA","649773","10.9","13.2","288.18","High","2022-02-24T00:00:00.000"
"Sonoma County","06097","California","494336","764","Sonoma (Santa Rosa), CA - Marin, CA","753162","7.4","7.8","147.07","Low","2022-02-24T00:00:00.000"
"Stanislaus County","06099","California","550660","737","Stanislaus (Modesto), CA - Merced, CA","900021","14.6","15.2","243.71","High","2022-02-24T00:00:00.000"
"Sutter County","06101","California","96971","690","Sutter (Yuba City), CA - Yuba, CA","197186","12.2","18.3","215.53","High","2022-02-24T00:00:00.000"
"Tehama County","06103","California","65084","697","Butte (Chico), CA - Tehama, CA","312663","15.8","16.6","251.98","High","2022-02-24T00:00:00.000"
"Trinity County","06105","California","12285","710","Shasta (Redding), CA - Trinity, CA","201206","14.5","21.4","219.78","High","2022-02-24T00:00:00.000"
"Tulare County","06107","California","466195","789","Tulare, CA","466195","20.3","14.8","286.58","High","2022-02-24T00:00:00.000"
"Tuolumne County","06109","California","54478","737","Stanislaus (Modesto), CA - Merced, CA","900021","14.6","15.2","335.92","High","2022-02-24T00:00:00.000"
"Ventura County","06111","California","846006","790","Ventura, CA","846006","12.9","11.2","107.92","Medium","2022-02-24T00:00:00.000"
"Yolo County","06113","California","220500","709","Sacramento (Sacramento), CA - Placer, CA","2363730","13.3","16","93.42","Medium","2022-02-24T00:00:00.000"
"Yuba County","06115","California","78668","690","Sutter (Yuba City), CA - Yuba, CA","197186","12.2","18.3","212.28","High","2022-02-24T00:00:00.000"
"Adams County","08001","Colorado","517421","688","Denver (Denver), CO - Jefferson, CO","2943519","4.1","7.1","142.24","Low","2022-02-24T00:00:00.000"
"Alamosa County","08003","Colorado","16233","731","Alamosa, CO - Rio Grande, CO","47185","1.6","14.8","277.21","High","2022-02-24T00:00:00.000"
"Arapahoe County","08005","Colorado","656590","688","Denver (Denver), CO - Jefferson, CO","2943519","4.1","7.1","164.33","Low","2022-02-24T00:00:00.000"
"Archuleta County","08007","Colorado","14029","740","San Juan, NM - Navajo, AZ","349406","14.5","22.9","106.92","High","2022-02-24T00:00:00.000"
"Baca County","08009","Colorado","3581","562","Grant, KS - Baca, CO","12737","2","15.7","139.63","Medium","2022-02-24T00:00:00.000"
"Bent County","08011","Colorado","5577","745","Otero, CO - Prowers, CO","43494","5.2","9.2","394.48","Medium","2022-02-24T00:00:00.000"
"Boulder County","08013","Colorado","326196","795","Boulder, CO - Broomfield, CO","396661","6.2","9.1","152.98","Low","2022-02-24T00:00:00.000"
"Broomfield County","08014","Colorado","70465","795","Boulder, CO - Broomfield, CO","396661","6.2","9.1","161.78","Low","2022-02-24T00:00:00.000"
"Chaffee County","08015","Colorado","20356","786","Chaffee, CO - Lake, CO","28483","3.8","0","186.68","Low","2022-02-24T00:00:00.000"
"Cheyenne County","08017","Colorado","1831","754","El Paso (Colorado Springs), CO - Teller, CO","760420","8.3","9.2","109.23","Low","2022-02-24T00:00:00.000"
"Clear Creek County","08019","Colorado","9700","688","Denver (Denver), CO - Jefferson, CO","2943519","4.1","7.1","41.24","Low","2022-02-24T00:00:00.000"
"Conejos County","08021","Colorado","8205","731","Alamosa, CO - Rio Grande, CO","47185","1.6","14.8","353.44","High","2022-02-24T00:00:00.000"
"Costilla County","08023","Colorado","3887","731","Alamosa, CO - Rio Grande, CO","47185","1.6","14.8","180.09","Medium","2022-02-24T00:00:00.000"
"Crowley County","08025","Colorado","6061","745","Otero, CO - Prowers, CO","43494","5.2","9.2","395.97","Medium","2022-02-24T00:00:00.000"
"Custer County","08027","Colorado","5068","812","Fremont, CO - Custer, CO","52907","7.9","5.7","118.39","Low","2022-02-24T00:00:00.000"
"Delta County","08029","Colorado","31162","761","Montrose, CO - Delta, CO","105333","8.3","9.5","198.96","Low","2022-02-24T00:00:00.000"
"Denver County","08031","Colorado","727211","688","Denver (Denver), CO - Jefferson, CO","2943519","4.1","7.1","170.51","Low","2022-02-24T00:00:00.000"
"Dolores County","08033","Colorado","2055","740","San Juan, NM - Navajo, AZ","349406","14.5","22.9","48.66","High","2022-02-24T00:00:00.000"
"Douglas County","08035","Colorado","351154","688","Denver (Denver), CO - Jefferson, CO","2943519","4.1","7.1","193.36","Low","2022-02-24T00:00:00.000"
"Eagle County","08037","Colorado","55127","711","Mesa, CO - Garfield, CO","303243","6.6","12.5","177.77","Medium","2022-02-24T00:00:00.000"
"Elbert County","08039","Colorado","26729","688","Denver (Denver), CO - Jefferson, CO","2943519","4.1","7.1","224.48","Medium","2022-02-24T00:00:00.000"
"El Paso County","08041","Colorado","720403","754","El Paso (Colorado Springs), CO - Teller, CO","760420","8.3","9.2","209.47","Medium","2022-02-24T00:00:00.000"
"Fremont County","08043","Colorado","47839","812","Fremont, CO - Custer, CO","52907","7.9","5.7","436.88","Medium","2022-02-24T00:00:00.000"
"Garfield County","08045","Colorado","60061","711","Mesa, CO - Garfield, CO","303243","6.6","12.5","231.43","High","2022-02-24T00:00:00.000"
"Gilpin County","08047","Colorado","6243","688","Denver (Denver), CO - Jefferson, CO","2943519","4.1","7.1","112.13","Low","2022-02-24T00:00:00.000"
"Grand County","08049","Colorado","15734","688","Denver (Denver), CO - Jefferson, CO","2943519","4.1","7.1","152.54","Low","2022-02-24T00:00:00.000"
"Gunnison County","08051","Colorado","17462","761","Montrose, CO - Delta, CO","105333","8.3","9.5","137.44","Low","2022-02-24T00:00:00.000"
"Hinsdale County","08053","Colorado","820","761","Montrose, CO - Delta, CO","105333","8.3","9.5","0","Low","2022-02-24T00:00:00.000"
"Huerfano County","08055","Colorado","6897","704","Pueblo (Pueblo), CO - Las Animas, CO","201768","7.8","15.9","260.98","High","2022-02-24T00:00:00.000"
"Jackson County","08057","Colorado","1392","771","Albany, WY - Carbon, WY","55072","0.9","0","0","Low","2022-02-24T00:00:00.000"
"Jefferson County","08059","Colorado","582881","688","Denver (Denver), CO - Jefferson, CO","2943519","4.1","7.1","207.25","Medium","2022-02-24T00:00:00.000"
"Kiowa County","08061","Colorado","1406","745","Otero, CO - Prowers, CO","43494","5.2","9.2","0","Low","2022-02-24T00:00:00.000"
"Kit Carson County","08063","Colorado","7097","754","El Paso (Colorado Springs), CO - Teller, CO","760420","8.3","9.2","183.18","Low","2022-02-24T00:00:00.000"
"Lake County","08065","Colorado","8127","786","Chaffee, CO - Lake, CO","28483","3.8","0","61.52","Low","2022-02-24T00:00:00.000"
"La Plata County","08067","Colorado","56221","740","San Juan, NM - Navajo, AZ","349406","14.5","22.9","183.21","High","2022-02-24T00:00:00.000"
"Larimer County","08069","Colorado","356899","796","Larimer, CO","356899","5.7","11.5","233.96","High","2022-02-24T00:00:00.000"
"Las Animas County","08071","Colorado","14506","704","Pueblo (Pueblo), CO - Las Animas, CO","201768","7.8","15.9","296.43","High","2022-02-24T00:00:00.000"
"Lincoln County","08073","Colorado","5701","754","El Paso (Colorado Springs), CO - Teller, CO","760420","8.3","9.2","122.79","Low","2022-02-24T00:00:00.000"
"Logan County","08075","Colorado","22409","763","Logan, CO - Phillips, CO","28922","5.4","31.1","240.97","High","2022-02-24T00:00:00.000"
"Mesa County","08077","Colorado","154210","711","Mesa, CO - Garfield, CO","303243","6.6","12.5","306.08","High","2022-02-24T00:00:00.000"
"Mineral County","08079","Colorado","769","731","Alamosa, CO - Rio Grande, CO","47185","1.6","14.8","0","Medium","2022-02-24T00:00:00.000"
"Moffat County","08081","Colorado","13283","735","Routt, CO - Moffat, CO","38921","3.2","43.7","255.97","High","2022-02-24T00:00:00.000"
"Montezuma County","08083","Colorado","26183","740","San Juan, NM - Navajo, AZ","349406","14.5","22.9","213.88","High","2022-02-24T00:00:00.000"
"Montrose County","08085","Colorado","42758","761","Montrose, CO - Delta, CO","105333","8.3","9.5","215.16","Medium","2022-02-24T00:00:00.000"
"Morgan County","08087","Colorado","29068","760","Weld, CO - Morgan, CO","368487","4.9","11.1","134.17","Medium","2022-02-24T00:00:00.000"
"Otero County","08089","Colorado","18278","745","Otero, CO - Prowers, CO","43494","5.2","9.2","284.5","Medium","2022-02-24T00:00:00.000"
"Ouray County","08091","Colorado","4952","761","Montrose, CO - Delta, CO","105333","8.3","9.5","80.78","Low","2022-02-24T00:00:00.000"
"Park County","08093","Colorado","18845","688","Denver (Denver), CO - Jefferson, CO","2943519","4.1","7.1","84.9","Low","2022-02-24T00:00:00.000"
"Phillips County","08095","Colorado","4265","763","Logan, CO - Phillips, CO","28922","5.4","31.1","234.47","High","2022-02-24T00:00:00.000"
"Pitkin County","08097","Colorado","17767","711","Mesa, CO - Garfield, CO","303243","6.6","12.5","348.96","High","2022-02-24T00:00:00.000"
"Prowers County","08099","Colorado","12172","745","Otero, CO - Prowers, CO","43494","5.2","9.2","221.82","Medium","2022-02-24T00:00:00.000"
"Pueblo County","08101","Colorado","168424","704","Pueblo (Pueblo), CO - Las Animas, CO","201768","7.8","15.9","219.68","High","2022-02-24T00:00:00.000"
"Rio Blanco County","08103","Colorado","6324","711","Mesa, CO - Garfield, CO","303243","6.6","12.5","268.82","High","2022-02-24T00:00:00.000"
"Rio Grande County","08105","Colorado","11267","731","Alamosa, CO - Rio Grande, CO","47185","1.6","14.8","363.89","High","2022-02-24T00:00:00.000"
"Routt County","08107","Colorado","25638","735","Routt, CO - Moffat, CO","38921","3.2","43.7","179.42","High","2022-02-24T00:00:00.000"
"Saguache County","08109","Colorado","6824","731","Alamosa, CO - Rio Grande, CO","47185","1.6","14.8","278.43","High","2022-02-24T00:00:00.000"
"San Juan County","08111","Colorado","728","740","San Juan, NM - Navajo, AZ","349406","14.5","22.9","549.45","High","2022-02-24T00:00:00.000"
"San Miguel County","08113","Colorado","8179","761","Montrose, CO - Delta, CO","105333","8.3","9.5","207.85","Medium","2022-02-24T00:00:00.000"
"Sedgwick County","08115","Colorado","2248","763","Logan, CO - Phillips, CO","28922","5.4","31.1","266.9","High","2022-02-24T00:00:00.000"
"Summit County","08117","Colorado","31011","688","Denver (Denver), CO - Jefferson, CO","2943519","4.1","7.1","148.33","Low","2022-02-24T00:00:00.000"
"Teller County","08119","Colorado","25388","754","El Paso (Colorado Springs), CO - Teller, CO","760420","8.3","9.2","86.66","Low","2022-02-24T00:00:00.000"
"Washington County","08121","Colorado","4908","760","Weld, CO - Morgan, CO","368487","4.9","11.1","203.75","High","2022-02-24T00:00:00.000"
"Weld County","08123","Colorado","324492","760","Weld, CO - Morgan, CO","368487","4.9","11.1","183.36","Medium","2022-02-24T00:00:00.000"
"Yuma County","08125","Colorado","10019","760","Weld, CO - Morgan, CO","368487","4.9","11.1","129.75","Medium","2022-02-24T00:00:00.000"
"Fairfield County","09001","Connecticut","943332","121","Fairfield, CT","943332","3.4","7.3","82.47","Low","2022-02-24T00:00:00.000"
"Hartford County","09003","Connecticut","891720","4","Hartford (Hartford), CT - Tolland, CT","1159223","3.9","8.5","102.5","Low","2022-02-24T00:00:00.000"
"Litchfield County","09005","Connecticut","180333","85","New Haven (New Haven), CT - Litchfield, CT","1197526","3.5","9.7","110.91","Low","2022-02-24T00:00:00.000"
"Middlesex County","09007","Connecticut","162436","85","New Haven (New Haven), CT - Litchfield, CT","1197526","3.5","9.7","251.79","Medium","2022-02-24T00:00:00.000"
"New Haven County","09009","Connecticut","854757","85","New Haven (New Haven), CT - Litchfield, CT","1197526","3.5","9.7","100.26","Low","2022-02-24T00:00:00.000"
"New London County","09011","Connecticut","265206","20","Providence (Providence), RI - New London, CT","1242485","4","6.9","198.34","Low","2022-02-24T00:00:00.000"
"Tolland County","09013","Connecticut","150721","4","Hartford (Hartford), CT - Tolland, CT","1159223","3.9","8.5","105.49","Low","2022-02-24T00:00:00.000"
"Windham County","09015","Connecticut","116782","4","Hartford (Hartford), CT - Tolland, CT","1159223","3.9","8.5","96.76","Low","2022-02-24T00:00:00.000"
"Kent County","10001","Delaware","180786","3","Sussex, DE - Kent, DE","596512","6.7","11.9","149.35","Medium","2022-02-24T00:00:00.000"
"New Castle County","10003","Delaware","558753","75","New Castle (Wilmington), DE - Harford, MD","917049","4.6","7.7","128.32","Low","2022-02-24T00:00:00.000"
"Sussex County","10005","Delaware","234225","3","Sussex, DE - Kent, DE","596512","6.7","11.9","133.21","Medium","2022-02-24T00:00:00.000"
"District of Columbia","11001","District of Columbia","705749","61","Montgomery, MD - Prince Georges, MD","2942531","6","5.7","92.81","Low","2022-02-24T00:00:00.000"
"Alachua County","12001","Florida","269043","159","Alachua (Gainesville), FL - Columbia, FL","528345","9.2","43.9","237.88","High","2022-02-24T00:00:00.000"
"Baker County","12003","Florida","29210","158","Duval (Jacksonville), FL - Clay, FL","1481679","9.2","23.6","280.73","High","2022-02-24T00:00:00.000"
"Bay County","12005","Florida","174705","155","Bay (Panama City), FL - Jackson, FL","293953","10.3","16.7","208.92","High","2022-02-24T00:00:00.000"
"Bradford County","12007","Florida","28201","159","Alachua (Gainesville), FL - Columbia, FL","528345","9.2","43.9","202.12","High","2022-02-24T00:00:00.000"
"Brevard County","12009","Florida","601942","237","Brevard (Palm Bay), FL - Indian River, FL","761865","8.7","9.6","218.63","Medium","2022-02-24T00:00:00.000"
"Broward County","12011","Florida","1952778","200","Miami-Dade (Miami), FL - Broward, FL","4743946","5.4","10.4","136.42","Medium","2022-02-24T00:00:00.000"
"Calhoun County","12013","Florida","14105","155","Bay (Panama City), FL - Jackson, FL","293953","10.3","16.7","141.79","Medium","2022-02-24T00:00:00.000"
"Charlotte County","12015","Florida","188910","213","Sarasota (Sarasota), FL - Charlotte, FL","660653","8.4","22.6","248.8","High","2022-02-24T00:00:00.000"
"Citrus County","12017","Florida","149657","233","Marion (Ocala), FL - Citrus, FL","515236","12.3","24.8","258.59","High","2022-02-24T00:00:00.000"
"Clay County","12019","Florida","219252","158","Duval (Jacksonville), FL - Clay, FL","1481679","9.2","23.6","198.86","High","2022-02-24T00:00:00.000"
"Collier County","12021","Florida","384902","165","Lee (Cape Coral), FL - Collier, FL","1211312","6.7","13.5","167.32","Medium","2022-02-24T00:00:00.000"
"Columbia County","12023","Florida","71686","159","Alachua (Gainesville), FL - Columbia, FL","528345","9.2","43.9","259.46","High","2022-02-24T00:00:00.000"
"DeSoto County","12027","Florida","38001","213","Sarasota (Sarasota), FL - Charlotte, FL","660653","8.4","22.6","197.36","High","2022-02-24T00:00:00.000"
"Dixie County","12029","Florida","16826","159","Alachua (Gainesville), FL - Columbia, FL","528345","9.2","43.9","208.01","High","2022-02-24T00:00:00.000"
"Duval County","12031","Florida","957755","158","Duval (Jacksonville), FL - Clay, FL","1481679","9.2","23.6","188.46","High","2022-02-24T00:00:00.000"
"Escambia County","12033","Florida","318316","163","Escambia (Pensacola), FL - Okaloosa, FL","836138","8.1","16.6","171.84","Medium","2022-02-24T00:00:00.000"
