"year","age","race","birth_rate"
"2008","35-39 years","Hispanic","66.9"
"1982","30-34 years","Black total","44.1"
"2002","30-34 years","Hispanic","91"
"1983","30-34 years","Black total","43.8"
"2015","35-39 years","Asian or Pacific Islander total","33.6"
"1988","40-44 years","All Races","3.2"
"1986","30-34 years","Black total","50"
"2005","25-29 years","Asian or Pacific Islander total","31.4"
"1995","15-19 years","All Races","43.8"
"1982","20-24 years","All Races","41.5"
"2004","25-29 years","Hispanic","142.5"
"2015","35-39 years","White total","34.8"
"2007","40-44 years","Hispanic","14.9"
"2008","35-39 years","Asian or Pacific Islander total","30.3"
"1991","40-44 years","Hispanic","14.1"
"2013","40-44 years","Black total","8.4"
"2005","40-44 years","Black total","7.1"
"2000","30-34 years","All Races","39.3"
"1984","20-24 years","All Races","43"
"2005","20-24 years","Hispanic","142.5"
"1996","30-34 years","All Races","40.2"
"1992","25-29 years","Hispanic","133.4"
"2006","15-19 years","Black total","61.1"
"1987","20-24 years","Black total","126.1"
"2012","20-24 years","Asian or Pacific Islander total","22"
"2004","40-44 years","Black total","6.8"
"2012","35-39 years","Non-Hispanic white","21.8"
"2010","40-44 years","White total","8.1"
"2003","15-19 years","Black total","61"
"2004","25-29 years","Black total","92.5"
"2008","40-44 years","Black total","7.6"
"2012","20-24 years","All Races","64.7"
"2010","20-24 years","All Races","70"
"2001","15-19 years","Hispanic","65.5"
"2012","30-34 years","Black total","59.6"
"1993","15-19 years","White total","33.3"
"1998","40-44 years","White total","4.1"
"1970","20-24 years","All Races","38.4"
"2012","40-44 years","Black total","8.1"
"1994","40-44 years","White total","4.3"
"2012","15-19 years","White total","24.1"
"2011","40-44 years","Asian or Pacific Islander total","9.9"
"1983","35-39 years","White total","7.8"
"2011","40-44 years","Non-Hispanic white","6"
"1993","20-24 years","White total","53.8"
"1994","30-34 years","White total","33.8"
"1983","30-34 years","White total","15.9"
"1997","35-39 years","Hispanic","40.5"
"2013","35-39 years","White total","32.3"
"1986","15-19 years","All Races","32.3"
"1992","15-19 years","Non-Hispanic white",
"1996","25-29 years","Black total","81.2"
"1996","15-19 years","Hispanic","69.3"
"2012","40-44 years","All Races","8.5"
"1999","15-19 years","Black total","76.5"
"2000","40-44 years","Asian or Pacific Islander total","6.9"
"2002","20-24 years","White total","61.6"
"2007","20-24 years","Non-Hispanic white","53.4"
"2008","15-19 years","Asian or Pacific Islander total","11.4"
"1991","15-19 years","All Races","44.6"
"1987","20-24 years","All Races","52.6"
"1994","15-19 years","Hispanic","77.7"
"1985","15-19 years","Black total","87.6"
"2011","20-24 years","Hispanic","100.6"
"1995","25-29 years","Hispanic","122.3"
"2005","40-44 years","Hispanic","14.1"
"1986","20-24 years","White total","34.2"
"2000","40-44 years","Black total","6.3"
"2006","25-29 years","White total","72.4"
"2005","30-34 years","Hispanic","116.7"
"2009","20-24 years","Non-Hispanic white","51.4"
"1987","25-29 years","White total","32"
"2003","40-44 years","Hispanic","13.2"
"1995","15-19 years","White total","35"
"2014","35-39 years","White total","34"
"2004","30-34 years","Non-Hispanic white","30"
"1992","30-34 years","Non-Hispanic white",
"2009","35-39 years","White total","30.6"
"1999","30-34 years","White total","34.9"
"1997","15-19 years","Non-Hispanic white","26.4"
"1990","15-19 years","All Races","42.5"
"1995","30-34 years","White total","33.7"
"2007","15-19 years","Asian or Pacific Islander total","11.9"
"2015","20-24 years","White total","54.6"
"2000","40-44 years","Hispanic","12.2"
"2014","20-24 years","All Races","61.6"
"1996","30-34 years","White total","35.4"
"2008","25-29 years","Hispanic","151.1"
"1986","40-44 years","All Races","2.7"
"1993","15-19 years","Non-Hispanic white",
"1980","40-44 years","All Races","2.6"
"2014","25-29 years","Non-Hispanic white","49.1"
"2011","30-34 years","Black total","59.1"
"2007","40-44 years","Black total","7.4"
"2014","20-24 years","Non-Hispanic white","44.4"
"1982","20-24 years","White total","26.5"
"1984","15-19 years","All Races","30"
"1998","30-34 years","All Races","38.1"
"1994","20-24 years","White total","57.5"
"2008","35-39 years","White total","31.1"
"1992","35-39 years","Hispanic","47.8"
"2012","30-34 years","Non-Hispanic white","40.2"
"2009","15-19 years","Asian or Pacific Islander total","10.6"
"2008","25-29 years","Non-Hispanic white","50.8"
"1999","35-39 years","Black total","24.2"
"1987","20-24 years","White total","36.6"
"1992","15-19 years","Hispanic","70.3"
"2003","25-29 years","Asian or Pacific Islander total","29"
"1984","30-34 years","All Races","23.3"
"1993","25-29 years","All Races","55.9"
"1995","40-44 years","Hispanic","12.1"
"2007","30-34 years","Non-Hispanic white","37.2"
"1989","15-19 years","White total","28"
"1999","20-24 years","Black total","126.8"
"1991","20-24 years","Non-Hispanic white",
"2012","25-29 years","Black total","91.2"
"2014","25-29 years","All Races","67.6"
"1981","35-39 years","White total","7.2"
"1981","15-19 years","Black total","85"
"2015","20-24 years","Black total","94.2"
"2003","20-24 years","White total","63.2"
"2000","25-29 years","All Races","58.5"
"2001","40-44 years","Hispanic","12.2"
"2005","30-34 years","Black total","53.9"
"1985","20-24 years","White total","31.7"
"2002","35-39 years","Asian or Pacific Islander total","19.1"
"1983","20-24 years","Black total","107.2"
"2015","20-24 years","Hispanic","87.9"
"1990","30-34 years","All Races","37.6"
"2003","35-39 years","Black total","25.2"
"1993","40-44 years","Non-Hispanic white",
"1975","35-39 years","All Races","9.1"
"2015","30-34 years","Hispanic","101.4"
"2001","15-19 years","Asian or Pacific Islander total","14.2"
"2007","25-29 years","Hispanic","161.1"
"1986","35-39 years","Black total","20.6"
"1980","25-29 years","All Races","34"
"2005","20-24 years","Asian or Pacific Islander total","25.8"
"2004","25-29 years","Non-Hispanic white","44.2"
"2012","25-29 years","White total","63.2"
"1995","25-29 years","Non-Hispanic white","34.4"
"1997","15-19 years","Hispanic","69.2"
"1999","25-29 years","Black total","85.5"
"1997","25-29 years","Black total","81.4"
"2001","25-29 years","Asian or Pacific Islander total","25.7"
"1981","25-29 years","All Races","34.5"
"1989","20-24 years","Black total","142.4"
"2004","25-29 years","Asian or Pacific Islander total","30.7"
"1990","25-29 years","Black total","105.3"
"1981","20-24 years","Black total","110.7"
"2008","15-19 years","White total","31.9"
"2011","35-39 years","Non-Hispanic white","20.7"
"2007","20-24 years","Asian or Pacific Islander total","27.1"
"2007","35-39 years","White total","29.1"
"2009","25-29 years","Black total","95.6"
"2007","35-39 years","Asian or Pacific Islander total","28.8"
"2009","20-24 years","All Races","74.4"
"2014","25-29 years","Asian or Pacific Islander total","31.4"
"1997","30-34 years","White total","33.6"
"2000","35-39 years","Black total","25.4"
"1981","35-39 years","All Races","9.8"
"2008","15-19 years","Non-Hispanic white","22.5"
"1991","40-44 years","Non-Hispanic white",
"2007","25-29 years","All Races","76.9"
"1997","30-34 years","Non-Hispanic white","24.9"
"2008","30-34 years","Black total","61.1"
"2009","30-34 years","Asian or Pacific Islander total","39.2"
"2007","20-24 years","All Races","79.8"
"2001","35-39 years","Asian or Pacific Islander total","19.5"
"1990","20-24 years","Black total","144.8"
"1994","15-19 years","White total","35.8"
"1998","40-44 years","Hispanic","12"
"2008","20-24 years","Hispanic","141"
"1997","20-24 years","White total","57.9"
"1983","40-44 years","Black total","4.8"
"2009","35-39 years","Hispanic","63.7"
"1988","15-19 years","Black total","96.1"
"1990","40-44 years","All Races","3.6"
"1985","35-39 years","All Races","11.6"
"2013","40-44 years","Hispanic","16.8"
"2015","20-24 years","All Races","59.7"
"1987","40-44 years","Black total","4.7"
"2009","15-19 years","All Races","34"
"2009","15-19 years","Black total","55.9"
"1988","25-29 years","Black total","97.2"
"1997","15-19 years","White total","33.6"
"2005","15-19 years","All Races","33.9"
"1984","30-34 years","White total","16.8"
"2004","20-24 years","Asian or Pacific Islander total","24.8"
"1994","20-24 years","All Races","70.9"
"1993","30-34 years","White total","31.9"
"2001","20-24 years","Asian or Pacific Islander total","23.9"
"2002","40-44 years","White total","5.1"
"1980","15-19 years","Black total","87.9"
"2013","30-34 years","Asian or Pacific Islander total","44.1"
"1989","15-19 years","Black total","104.5"
"2006","30-34 years","Hispanic","122.9"
"2013","30-34 years","All Races","56.6"
"1999","25-29 years","All Races","56.9"
"1994","40-44 years","Non-Hispanic white","3.1"
"2000","20-24 years","Non-Hispanic white","47"
"1993","20-24 years","Non-Hispanic white",
"2011","35-39 years","All Races","29.9"
"2010","35-39 years","Non-Hispanic white","20.2"
"1993","25-29 years","Black total","92.8"
"2007","20-24 years","Hispanic","153.8"
"2011","15-19 years","Black total","46.7"
"1981","40-44 years","White total","1.9"
"1983","40-44 years","All Races","2.6"
"1989","30-34 years","Black total","60.5"
"2011","25-29 years","Hispanic","116.2"
"1985","40-44 years","Black total","4.3"
"2001","20-24 years","Hispanic","129.8"
"2013","35-39 years","Asian or Pacific Islander total","31.5"
"2015","30-34 years","White total","59.8"
"2005","35-39 years","Hispanic","58.1"
"1984","15-19 years","White total","19.3"
"2010","15-19 years","Black total","50.8"
"1998","35-39 years","All Races","18.7"
"2012","30-34 years","Asian or Pacific Islander total","43.6"
"2006","40-44 years","Black total","7.2"
"2012","25-29 years","Hispanic","113.2"
"2008","20-24 years","White total","70.9"
"2009","20-24 years","Black total","119.5"
"1970","40-44 years","All Races","3.5"
"2014","35-39 years","All Races","33.4"
"1989","15-19 years","All Races","40.1"
"2009","35-39 years","All Races","29.7"
"2008","20-24 years","Asian or Pacific Islander total","26.4"
"1993","35-39 years","All Races","18.9"
"2011","15-19 years","All Races","28.4"
"1995","15-19 years","Black total","91.2"
"2005","20-24 years","Black total","120.4"
"2003","25-29 years","White total","61.7"
"2004","35-39 years","Black total","25.7"
"1987","30-34 years","All Races","29.6"
"2012","25-29 years","All Races","67.2"
"1990","20-24 years","White total","48.2"
"2009","25-29 years","All Races","73"
"2007","35-39 years","Black total","28"
"2013","30-34 years","Non-Hispanic white","40.9"
"2007","15-19 years","Black total","61.3"
"1990","15-19 years","Hispanic","65.9"
"2014","20-24 years","Asian or Pacific Islander total","19.4"
"1995","40-44 years","Black total","6"
"1994","35-39 years","Black total","26"
"2010","15-19 years","Hispanic","50"
"2005","15-19 years","Black total","58.7"
"2014","30-34 years","Asian or Pacific Islander total","47"
"2015","35-39 years","Non-Hispanic white","24.8"
"2000","40-44 years","All Races","5"
"1994","20-24 years","Non-Hispanic white","43.8"
"2000","20-24 years","All Races","72.2"
"1989","40-44 years","Black total","5"
"2000","15-19 years","All Races","39"
"1991","30-34 years","All Races","37.9"
"2006","15-19 years","Non-Hispanic white","21.6"
"1998","20-24 years","Black total","127.8"
"2000","35-39 years","Non-Hispanic white","12.9"
"1996","25-29 years","Non-Hispanic white","35"
"1999","25-29 years","Non-Hispanic white","36.2"
"2009","30-34 years","Hispanic","112.4"
"1997","30-34 years","Black total","51"
"1989","25-29 years","White total","39.1"
"2005","15-19 years","Hispanic","63.7"
"2006","25-29 years","All Races","75.4"
"2004","20-24 years","Black total","119.6"
"2010","15-19 years","Asian or Pacific Islander total","9.2"
"1996","30-34 years","Non-Hispanic white","26.4"
"2013","20-24 years","Black total","100.7"
"2009","30-34 years","White total","57.7"
"1987","40-44 years","White total","2.4"
"2012","25-29 years","Non-Hispanic white","47.8"
"2013","35-39 years","Hispanic","56.8"
"2006","35-39 years","Asian or Pacific Islander total","29.7"
"1980","25-29 years","White total","21.5"
"1995","25-29 years","Black total","82.3"
"2007","15-19 years","All Races","36.5"
"1991","25-29 years","White total","44.3"
"2014","15-19 years","Hispanic","34.4"
"1991","40-44 years","All Races","3.8"
"2014","35-39 years","Black total","32"
"2005","35-39 years","Non-Hispanic white","16.2"
"2006","15-19 years","All Races","35.5"
"2003","25-29 years","All Races","66.2"
"2005","35-39 years","Asian or Pacific Islander total","24.6"
"2003","40-44 years","All Races","5.8"
"1998","20-24 years","Hispanic","120.6"
"2002","15-19 years","Non-Hispanic white","22.1"
"2004","15-19 years","Black total","60.1"
"2001","35-39 years","Non-Hispanic white","13.2"
"1986","15-19 years","Black total","88.5"
"1983","15-19 years","Black total","85.5"
"1997","40-44 years","Non-Hispanic white","2.9"
"2010","30-34 years","Black total","58.6"
"2001","35-39 years","Hispanic","49.6"
"1995","35-39 years","Non-Hispanic white","12.9"
"1991","30-34 years","Non-Hispanic white",
"1982","25-29 years","Black total","82.7"
"2003","35-39 years","Asian or Pacific Islander total","19.8"
"2014","40-44 years","Non-Hispanic white","6.5"
"2011","25-29 years","Black total","92.4"
"1981","20-24 years","All Races","41.1"
"2006","20-24 years","White total","71.7"
"1986","30-34 years","All Races","27.2"
"2001","20-24 years","Non-Hispanic white","46.4"
"2008","40-44 years","Asian or Pacific Islander total","10.8"
"2000","30-34 years","Asian or Pacific Islander total","29.7"
"1993","30-34 years","Hispanic","87.8"
"2013","15-19 years","Black total","38.5"
"1990","35-39 years","All Races","17.3"
"1998","20-24 years","Non-Hispanic white","46.3"
"1985","20-24 years","All Races","46.5"
"2002","25-29 years","White total","57.5"
"1995","35-39 years","White total","16.8"
"1990","30-34 years","Black total","61.5"
"2013","35-39 years","Non-Hispanic white","22.6"
