"bus_name","address","city","state","zip_code","bus_type","bus_class","bus_description","year_founded","website","longitude","latitude","location"
"Disc Medecine","150 CambridgePark Drive","Cambridge","MA","02140","Biotechnology","Life Science","Developer of therapeutics to treat neurological diseases",,"http://www.discmedicine.com/","-71.1459500611312","42.3946110167458","(42.3946110167458, -71.1459500611312)"
"DNA Medicine Institute","727 Massachusetts Avenue","Cambridge","MA","02139","Biotechnology","Life Science","Med-tech incubator, laboratory, and biomedical technology service provider",,"http://www.dnamedinstitute.com/","-71.1048992735392","42.3662928902631","(42.3662928902631, -71.1048992735392)"
"Double Rainbow Biosciences","840 Memorial Drive","Cambridge","MA","02139","Biopharmaceutical","Life Science",,,"https://www.doublerainbowbio.com/","-71.1150750377726","42.3631052107115","(42.3631052107115, -71.1150750377726)"
"Draper Laboratories","555 Technology Square","Cambridge","MA","02142","Biotechnology","Life Science","R&D in alterative fuels, engineering",,"http://www.draper.com/","-71.0903650365721","42.3645276940892","(42.3645276940892, -71.0903650365721)"
"DropWise Technologies","1035 Cambridge Street","Cambridge","MA","02141","Biotechnology","Life Science","Manufacturer of coating technology",,"http://www.drop-wise.com/","-71.0937041519439","42.3734936331323","(42.3734936331323, -71.0937041519439)"
"DSM Innovation Center","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","R&D on therapeutic cells","1902","http://www.dsm.com","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Dynocardia","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Developing products for blood pressure measurement",,"https://www.dynocardia.care/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Dyno Therapeutics","One Kendall Square","Cambridge","MA","02142","Biotechnology","Life Science","AI-powered gene therapies","2018","http://www.dynotx.com/","-71.0903221519948","42.3672909799538","(42.3672909799538, -71.0903221519948)"
"E25Bio","501 Massachusetts Avenue","Cambridge","MA","02139","Biotechnology","Life Science","Develops Rapid Diagnostic Tests for fever infectious diseases","2018","http://www.e25bio.com/","-71.1014931241571","42.3642623755098","(42.3642623755098, -71.1014931241571)"
"EdenRoc Sciences","10 Canal Park","Cambridge","MA","02141","Biotechnology","Life Science",,,"https://edenrocsciences.com/#home","-71.0754827280311","42.3687255062399","(42.3687255062399, -71.0754827280311)"
"Editas Medicine","11 Hurley Street","Cambridge","MA","02141","Biopharmaceutical","Life Science","R&D in genome editing","2013","http://editasmedicine.com/index.php","-71.0783143490886","42.36817412814","(42.36817412814, -71.0783143490886)"
"edX","141 Portland Street","Cambridge","MA","02139","Non-Profit","Academic/Non-Profit","Education Program","2012","https://www.edx.org","-71.0922963004345","42.365576593007","(42.365576593007, -71.0922963004345)"
"EGenesis","300 Technology Square","Cambridge","MA","02142","Biopharmaceutical","Life Science","Genome editing","2015","http://www.egenesisbio.com/","-71.0917711454075","42.3634083285031","(42.3634083285031, -71.0917711454075)"
"Eight Spokes","101 Main Street","Cambridge","MA","02142","Biotechnology","High Tech","Cloud Software for Project Development",,"https://www.eightspokes.com/","-71.0815834855672","42.3622099312421","(42.3622099312421, -71.0815834855672)"
"Eikonizo Therapeutics","245 Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Developing disease-modifying therapeutics for neurodegenerative diseases","2017","https://www.eikonizo.com/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"Elemental Machines","185 Alewife Brook Parkway","Cambridge","MA","02138","Information Technology","High Tech",,,"http://elementalmachines.io/","-71.142276992259","42.3904955493343","(42.3904955493343, -71.142276992259)"
"Elemind Technologies","45 Prospect Street","Cambridge","MA","02139","Biotechnology","Life Science","Shapes brainwaves and changes brain states using novel neuromodulation techniques","2017","http://www.elemindtech.com/","-71.1033520858018","42.3662852541362","(42.3662852541362, -71.1033520858018)"
"ElevateBio","139 Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Cell and gene therapy",,"https://elevate.bio/","-71.0822616219526","42.3622223616064","(42.3622223616064, -71.0822616219526)"
"Elicio Therapeutics","One Kendall Square","Cambridge","MA","02142","Biotechnology","Life Science","Immuno-tumor vaccine developer",,"https://elicio.com/","-71.0903221519948","42.3672909799538","(42.3672909799538, -71.0903221519948)"
"Eli Lilly","450 Kendall Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug delivery and device innovation center","2015","http://www.lilly.com/Pages/Home.aspx","-71.0817284552779","42.3634864743587","(42.3634864743587, -71.0817284552779)"
"Elucidata","625 Massachusetts Ave","Cambridge","MA","02139","Information Technology","High Tech","Cloud based platform for biomedical field",,"https://elucidata.io/","-71.1034839676115","42.3654554769794","(42.3654554769794, -71.1034839676115)"
"Energesis Pharmaceuticals","One Kendall Square","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug development",,"http://energesispharma.com/","-71.0911051057089","42.3663645885345","(42.3663645885345, -71.0911051057089)"
"Enterome Bioscience","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","R&D in Human Gut Microbiome",,"http://www.enterome.fr/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Enzyvant","55 Cambridge Parkway","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug Development",,"https://enzyvant.com/contact-us/","-71.0762977105578","42.3657420050532","(42.3657420050532, -71.0762977105578)"
"Epizyme, Inc.","400 Technology Square","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug Development","2007","http://www.epizyme.com","-71.091951377916","42.3638464323303","(42.3638464323303, -71.091951377916)"
"EQRx","50 Hampshire Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Drug development and delivery processes","2019","http://www.eqrx.com/","-71.092829191189","42.3668780444442","(42.3668780444442, -71.092829191189)"
"Era7 Bioinformatics","One Broadway","Cambridge","MA","02142","Biopharmaceutical","Life Science","Next Generation Sequencing service provider","2004","http://era7bioinformatics.com/en/index.cfm","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Etagen Pharma","245 First Street","Cambridge","MA","02142","Biotechnology","Life Science",,"2014","http://www.etagenpharma.com/","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Ethismos Research Inc","One Broadway","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D in  novel medicines for major depressive disorder and ADHD",,"https://www.ethismos.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Euretos","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Bioinformatics","2012","http://www.euretos.com","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Eutropics Pharmaceuticals","767-C Concord Ave","Cambridge","MA","02138","Biopharmaceutical","Life Science","R&D in cancer","2005","http://www.eutropics.com","-71.1532072993002","42.3927723484994","(42.3927723484994, -71.1532072993002)"
"Evelo Biosciences","620 Memorial Drive","Cambridge","MA","02139","Biotechnology","Life Science","Drug Development in oncobiotic therapeutics",,"http://evelobio.com/#new-page","-71.1076001591032","42.3539087777099","(42.3539087777099, -71.1076001591032)"
"Expansion Technologies","One Kendall Square","Cambridge","MA","02142","Biotechnology","Life Science","Bioimaging",,"http://www.extbio.com/","-71.0902043074382","42.3666417762688","(42.3666417762688, -71.0902043074382)"
"EyeNetra","47 Third Street","Cambridge","MA","02141","Biotechnology","Life Science","Developing mobile phone eye diagnostics","2011","https://eyenetra.com/","-71.0800210116779","42.3713099001707","(42.3713099001707, -71.0800210116779)"
"Facebook","100 Binney Street","Cambridge","MA","02142","Information Technology","High Tech","Social Networking Site","2004","https://www.facebook.com/fbboston","-71.0805992117041","42.3652581293824","(42.3652581293824, -71.0805992117041)"
"Factor Bioscience","1035 Cambridge Street","Cambridge","MA","02141","Biotechnology","Life Science","Regenerative medicine",,"https://factor.bio/","-71.0937041519439","42.3734936331323","(42.3734936331323, -71.0937041519439)"
"FerGene","245 Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Drug development","2020","https://www.fergene.com/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"Fire Hose Games","1035 Cambridge Street","Cambridge","MA","02141","Information Technology","High Tech","Video Game Developer and Incubator","2011","http://www.firehosegames.com/","-71.0937041519439","42.3734936331323","(42.3734936331323, -71.0937041519439)"
"Flagship Pioneering","55 Cambridge Parkway","Cambridge","MA","02142","Biotechnology","Life Science","Bioplatform development",,"https://www.flagshippioneering.com/","-71.0762977105578","42.3657420050532","(42.3657420050532, -71.0762977105578)"
"Foghorn Therapeutics","500 Technology Square","Cambridge","MA","02142","Biotechnology","Life Science","R&D in Gene Control","2016","http://foghorntx.com/","-71.0924508948695","42.3634560218508","(42.3634560218508, -71.0924508948695)"
"Fog Pharma","30 Acorn Park Drive","Cambridge","MA","02140","Biopharmaceutical","Life Science","R&D in miniproteins","2016","http://www.fogpharma.com/","-71.1476501170735","42.3979742194494","(42.3979742194494, -71.1476501170735)"
"Forrester Research","60 Acorn Park Drive","Cambridge","MA","02140","Information Technology","High Tech","Research Company","1983","http://www.forrester.com/home","-71.1487488532359","42.3982519281572","(42.3982519281572, -71.1487488532359)"
"Forsyth Institute","245 First Street","Cambridge","MA","02142","Research Institute","Academic/Non-Profit","R&D in Oral Medicine","1910","http://www.forsyth.org","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Foundation Medicine","150 Second Street","Cambridge","MA","02141","Biotechnology","Life Science","R&D in cancer medicine","2010","http://www.foundationmedicine.com","-71.0790906560675","42.3669436404215","(42.3669436404215, -71.0790906560675)"
"Fount Bio","325 Vassar Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in technologies to enhance skin heath and beauty",,"https://www.fountbio.com/","-71.1056951550591","42.3549339189278","(42.3549339189278, -71.1056951550591)"
"Fraunhofer Heinrich Hertz Institute","25 First Street","Cambridge","MA","02141","Nonprofit R&D","Academic/Non-Profit","Research Lab focusing on Technology","2011","http://www.hhi.fraunhofer.de","-71.0772857119759","42.3696017222785","(42.3696017222785, -71.0772857119759)"
"FUJIFILM Pharmaceuticals USA","One Broadway","Cambridge","MA","02142","Biopharmaceutical","Life Science","Clinical Development",,"http://www.fujifilmusa.com/about/corporate_profile/fujifilm_companies/pharmaceuticals/about/index.html","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Fulcrum Therapeutics","26 Lansdowne Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Drug Development",,"https://www.fulcrumtx.com/contact","-71.0990223853639","42.3610129940534","(42.3610129940534, -71.0990223853639)"
"Geek Offices","1035 Cambridge Street","Cambridge","MA","02141","Incubator","Incubator/Coworking","Coworking Office Space",,"http://geekoffices.com/","-71.0937041519439","42.3734936331323","(42.3734936331323, -71.0937041519439)"
"Gemini Therapeutics, Inc.","300 One Kendall Square","Cambridge","MA","02142","Biopharmaceutical","Life Science","Precision medical company","2015","https://geminitherapeutics.com/","-71.0909213544418","42.3661335993384","(42.3661335993384, -71.0909213544418)"
"Generate Biomedicines","26 Landsdowne Street","Cambridge","MA","02139","Biotechnology","Life Science","Drug development",,"https://generatebiomedicines.com/","-71.0990223853639","42.3610129940534","(42.3610129940534, -71.0990223853639)"
"Generation Bio","301 Binney Street","Cambridge","MA","02142","Biotechnology","Life Science","Drug development","2016","https://generationbio.com/","-71.0879679450326","42.3665842178827","(42.3665842178827, -71.0879679450326)"
"Genevant","245 Main Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug development and delivery","2018","https://genevant.com/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"Genfit Corp.","One Alewife Center","Cambridge","MA","02140","Biopharmaceutical","Life Science","R&D in medication for cardio metabolic disease","1999","http://www.genfit.com/","-71.1399143502488","42.3983467196212","(42.3983467196212, -71.1399143502488)"
"Genocea Biosciences","100 Acorn Park Drive","Cambridge","MA","02140","Biotechnology","Life Science","Vaccine R&D","2006","https://www.genocea.com/","-71.1496528305172","42.3981084327217","(42.3981084327217, -71.1496528305172)"
"Genovis","245 First Street","Cambridge","MA","02142","Biotechnology","Life Science","Enzyme diagnostic tools",,"https://www.genovis.com","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Ginkgo Bioworks","10 Wilson Road","Cambridge","MA","02138","Biotechnology","Life Science","Cell programming platform","2009","https://www.ginkgobioworks.com/","-71.150136618334","42.3923219947225","(42.3923219947225, -71.150136618334)"
"Glympse Bio","35 Cambridgepark Drive","Cambridge","MA","02140","Biotechnology","Life Science","Development of synthetic biomarkers","2015","http://glympsebio.com/","-71.1435428235516","42.3948130745936","(42.3948130745936, -71.1435428235516)"
"GoDaddy","One Main Street","Cambridge","MA","02142","Information Technology","High Tech","Web hosting and domain services","1997","http://www.godaddy.com","-71.0801548712499","42.3621050405824","(42.3621050405824, -71.0801548712499)"
"Goldfinch Bio","215 First Street","Cambridge","MA","02142","Biotechnology","Life Science","Drug Development in kidney diseases",,"https://www.goldfinchbio.com/","-71.0785437379441","42.3642063517586","(42.3642063517586, -71.0785437379441)"
"Google, Inc.","355 Main Street","Cambridge","MA","02142","Information Technology","High Tech","Web/Application Development","1998","http://www.google.com","-71.087115791042","42.3626348636581","(42.3626348636581, -71.087115791042)"
"Gritstone Oncology","40 Erie Street","Cambridge","MA","02139","Biotechnology","Life Science","Drug Development in cancer therapeutics",,"http://www.gritstoneoncology.com/","-71.1042275993795","42.3574194822637","(42.3574194822637, -71.1042275993795)"
"GVD Corp","45 Spinelli Place","Cambridge","MA","02138","Biotechnology","Life Science","Nanotechnology/polymer coatings",,"http://gvdcorp.com/","-71.1535123967346","42.3924697070264","(42.3924697070264, -71.1535123967346)"
"H3 Biomedicine","300 Technology Square","Cambridge","MA","02142","Biotechnology","Life Science","R&D in Cancer Research","2001","http://www.h3biomedicine.com/","-71.0917711454075","42.3634083285031","(42.3634083285031, -71.0917711454075)"
"Halifax Biomedical","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","R&D orthopedic diagnostic company",,"http://halifaxbiomedical.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Harvard-MIT Biomedical Engineering Center","500 Technology Square","Cambridge","MA","02142","Academic/Nonprofit R&D","Academic/Non-Profit","Academic Research Institution",,"http://web.mit.edu/hst-program/erelab","-71.0924508948695","42.3634560218508","(42.3634560218508, -71.0924508948695)"
"Harvard-MIT Division of Health Sciences Technology","77 Massachusetts Ave Bldg. E25-519","Cambridge","MA","02142","Academic/Nonprofit R&D","Academic/Non-Profit","Academic Research Institution","1970","http://hst.mit.edu","-71.0864544597375","42.3614502811134","(42.3614502811134, -71.0864544597375)"
"Harvard Stem Cell Institute","7 Divinity Ave","Cambridge","MA","02138","Academic/Nonprofit R&D","Academic/Non-Profit","Academic Research Institution",,"https://hsci.harvard.edu/","-71.1149205335002","42.3771755344603","(42.3771755344603, -71.1149205335002)"
"HelixNano","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","R&D DNA nanotechnology",,"https://www.helixnano.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Hewlett-Packard Vertica Systems","150 CambridgePark Drive","Cambridge","MA","02140","Information Technology","High Tech","Data storage and analytics",,"http://www.vertica.com","-71.1459500611312","42.3946110167458","(42.3946110167458, -71.1459500611312)"
"HiFiBio","237 Putnam Ave","Cambridge","MA","02139","Biopharmaceutical","Life Science","Drug development in droplet-based microfluidics",,"http://www.hifibio.com/","-71.1141594186898","42.363319163147096","(42.363319163147096, -71.1141594186898)"
"Holobiome","One Kendall Square","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D therapies from the human microbiome",,"https://holobiome.org/","-71.0911051057089","42.3663645885345","(42.3663645885345, -71.0911051057089)"
"HubSpot","25 First Street","Cambridge","MA","02141","Information Technology","High Tech","Internet Marketing Software","2006","http://www.hubspot.com/","-71.0772857119759","42.3696017222785","(42.3696017222785, -71.0772857119759)"
"Hunterian Medicine","100 Pacific Street","Cambridge","MA","02139","Biotechnology","Life Science","Gene editing","2016","http://hunterian.com/","-71.1034926737103","42.3607198649548","(42.3607198649548, -71.1034926737103)"
"Hybrigenics Services","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Research Products and Instrumentation",,"https://www.hybrigenics-services.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Hydra Biosciences","45 Moulton Street","Cambridge","MA","02138","Biopharmaceutical","Life Science","Drug development using novel ion channels","2001","http://www.hydrabiosciences.com/","-71.1479922742536","42.3909764936268","(42.3909764936268, -71.1479922742536)"
"IBM Research Center","75 Binney Street","Cambridge","MA","02142","Information Technology","High Tech","Software/Application Development","2008","http://www.watson.ibm.com/cambridge/index.shtml","-71.0805066509211","42.3657792656652","(42.3657792656652, -71.0805066509211)"
"Immuneering Corporation","245 Main St","Cambridge","MA","02142","Biotechnology","Life Science","Human Diagnostic Development","2008","https://immuneering.com/contact/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"Inari","One Kendall Square","Cambridge","MA","02142","Biotechnology","Life Science","Agricultural biotechnology",,"http://www.inari.com/","-71.0902561602224","42.3669114403858","(42.3669114403858, -71.0902561602224)"
"Industry Lab","288 Norfolk Street","Cambridge","MA","02139","Coworking Space","Coworking Space/Flexible","Flexible coworking space",,"http://industry-lab.com/","-71.097265419591","42.3712957612243","(42.3712957612243, -71.097265419591)"
"Infinity Pharmaceuticals, Inc.","1100 Massachusetts Ave.","Cambridge","MA","02138","Biopharmaceutical","Life Science","R&D in cancer drug development","2001","http://www.infi.com/","-71.1135953021679","42.3704578362794","(42.3704578362794, -71.1135953021679)"
"InTeahouse","727 Massachusetts Avenue","Cambridge","MA","02139","Incubator","Coworking/Incubator","Incubator Space","2015","http://www.inteahouse.com/","-71.1048992735392","42.3662928902631","(42.3662928902631, -71.1048992735392)"
"IntegraGen","1 Mifflin Place, Suite 400","Cambridge","MA","02138","Biotechnology","Life Science","Molecular Genetics Research",,"https://www.integragen.com/contact/office-locations","-71.1224787776923","42.3732988725555","(42.3732988725555, -71.1224787776923)"
"Intellia Therapeutics","40 Erie Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Development of CRISPR/Cas9 gene editing","2014","http://intelliatx.com/","-71.1042275993795","42.3574194822637","(42.3574194822637, -71.1042275993795)"
"Intersystems Corporation","One Memorial Drive","Cambridge","MA","02142","Information Technology","High Tech","Software Application Development","1978","http://www.intersystems.com","-71.0812562847235","42.3613569943424","(42.3613569943424, -71.0812562847235)"
"Intuit - Quickbase","150 CambridgePark Drive","Cambridge","MA","02140","Information Technology","High Tech","Software developer",,"http://www.intuit.com/","-71.1459500611312","42.3946110167458","(42.3946110167458, -71.1459500611312)"
"Invaio Sciences","75 Moulton Street","Cambridge","MA","02138","Biotechnology","Life Science","Technology company working on improving agriculture and environment","2018","https://www.invaio.com/","-71.1480683928401","42.3922152102531","(42.3922152102531, -71.1480683928401)"
"Invivo Therapeutics Corp.","One Kendall Square","Cambridge","MA","02142","Medical Devices","Life Science","R&D of Spinal Cord Injury Treatment Technology",,"http://www.invivotherapeutics.com","-71.0903221519948","42.3672909799538","(42.3672909799538, -71.0903221519948)"
"Ipsen Biosciences","650 East Kendall St","Cambridge","MA","02142","Biotechnology","High Tech","R&D in therapies and peptides",,"https://www.ipsenus.com/","-71.0810729236616","42.3645257329026","(42.3645257329026, -71.0810729236616)"
"IQ Proteomics","840 Memorial Drive","Cambridge","MA","02139","Biotechnology","Life Science","Quantitative multiplexed proteomic applications","2015","http://www.iqproteomics.com/","-71.1150750377726","42.3631052107115","(42.3631052107115, -71.1150750377726)"
"ITeos Therapeutics","139 Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Tumor immunology, cancer immunotherapy, and drug discovery","2011","https://iteostherapeutics.com","-71.0822616219526","42.3622223616064","(42.3622223616064, -71.0822616219526)"
"Johnson and Johnson Innovation Center","255 Main Street","Cambridge","MA","02142","Biotechnology","Life Science","R&D in novel early-stage collaborations with emerging companies","2013","https://jnjinnovation.com/","-71.0851730353328","42.3624974409972","(42.3624974409972, -71.0851730353328)"
"Jounce Therapeutics","780 Memorial Drive","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D of cancer immunotherapies","2013","http://www.jouncetx.com/","-71.1147971377611","42.359586309195","(42.359586309195, -71.1147971377611)"
"Kalvista Pharmaceuticals","55 Cambridge Parkway","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D in small molecule protease inhibitors as new treatments for diseases","2004","https://www.kalvista.com/","-71.0762977105578","42.3657420050532","(42.3657420050532, -71.0762977105578)"
"Kayak","10 Canal Park","Cambridge","MA","02141","Information Technology","High Tech","Online travel company","2004","http://www.kayak.com/","-71.0754827280311","42.3687255062399","(42.3687255062399, -71.0754827280311)"
"Kernal Biologics","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","mRNA vaccine and therapeutics company","2004","https://www.kernalbio.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Koa Labs","66 Church St","Cambridge","MA","02138","Incubator","Life Science","Incubator Space","2012","http://www.koalab.com","-71.1212071580752","42.3739809997343","(42.3739809997343, -71.1212071580752)"
"Kojin Therapeutics","200 One Kendall Square Complex","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D treatment of cancer, fibrosis, ischemia, and immune modulation",,"https://kojintx.com/","-71.0911051057089","42.3663645885345","(42.3663645885345, -71.0911051057089)"
"Korro Bio","One Kendall Square","Cambridge","MA","02142","Biotechnology","Life Science","Precision genetic medicine",,"http://www.korrobio.com/","-71.0902561602224","42.3669114403858","(42.3669114403858, -71.0902561602224)"
"Kronos Bio","301 Binney Street","Cambridge","MA","02142","Biotechnology","Life Science","R&D cancer therapy","2017","http://www.kronosbio.com/","-71.0879679450326","42.3665842178827","(42.3665842178827, -71.0879679450326)"
"KSQ Therapeutics","610 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Drug Development",,"http://ksqtx.com/","-71.0940133114707","42.3628809096634","(42.3628809096634, -71.0940133114707)"
"Kytopen","501 Massachusetts Ave","Cambridge","MA","02139","Biotechnology","Life Science","Research Products and Instrumentation","2017","http://kytopen.com/","-71.1014931241571","42.3642623755098","(42.3642623755098, -71.1014931241571)"
"Lab Central","700 Main Street","Cambridge","MA","02139","Incubator","Coworking Space/Flexible","Lab Incubator Space","2013","http://www.labcentral.org/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Lab Cloud","245 Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Lab Management solution",,"https://www.labcloudinc.com/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"Laronde","55 Cambridge Parkway","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D eRNA-based therapeutics",,"https://www.laronde.bio/","-71.0762977105578","42.3657420050532","(42.3657420050532, -71.0762977105578)"
"Leap Therapeutics","47 Thorndike Street","Cambridge","MA","02141","Biopharmaceutical","Life Science","Clinical-stage biopharmaceutical company",,"http://www.leaptx.com/","-71.0795405331677","42.3698974797414","(42.3698974797414, -71.0795405331677)"
"LifeMine Therapeutics","30 Acorn Park Drive","Cambridge","MA","02140","Biopharmaceutical","Life Science","Drug Development","2016","http://www.lifeminetx.com","-71.1476501170735","42.3979742194494","(42.3979742194494, -71.1476501170735)"
"Lipomed, Inc.","150 CambridgePark Drive","Cambridge","MA","02140","Biopharmaceutical","Life Science","R&D Health Care Company","1997","http://www.lipomed.com","-71.1459500611312","42.3946110167458","(42.3946110167458, -71.1459500611312)"
"Luca Biologics",,"Cambridge","MA",,"Biotechnology","Life Science","Drug development","2019","https://luca.bio/",,,
"Lucy Therapeutics","501 Massachusetts Avenue","Cambridge","MA","02139","Biotechnology","Life Science","Drug discovery","2017","http://www.lucytherapeutics.com/","-71.1014931241571","42.3642623755098","(42.3642623755098, -71.1014931241571)"
"Lysogene","245 First Street","Cambridge","MA","02142","Biotechnology","Life Science","R&D in neurodegenerative diseases","2009","http://www.lysogene.com/","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Lytica Therapeutics","610 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Developer of peptide therapeutics",,"https://lyticatherapeutics.com/","-71.0940133114707","42.3628809096634","(42.3628809096634, -71.0940133114707)"
"Magenta Therapeutics","100 Technology Square","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D in immune and blood-based diseases",,"https://www.magentatx.com/contact/","-71.0907938787327","42.3629489687522","(42.3629489687522, -71.0907938787327)"
"Mantle Biotech","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Medical diagnostics",,"http://mantlebiotech.com","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Manus Bio","1030 Massachusetts Ave","Cambridge","MA","02139","Biotechnology","Life Science","Agricultural biotechnology","2011","http://www.manusbio.com","-71.1122045152113","42.3695906454501","(42.3695906454501, -71.1122045152113)"
"Marengo Therapeutics","840 Memorial Drive","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in cancer immunotherapies",,"https://www.marengotx.com/","-71.1150750377726","42.3631052107115","(42.3631052107115, -71.1150750377726)"
"Massachusetts Biotechnology Council","300 Technology Square","Cambridge","MA","02142","Non-Profit","Academic/Non-Profit","Non-profit, Workforce Development","2001","http://www.massbio.org/","-71.0917711454075","42.3634083285031","(42.3634083285031, -71.0917711454075)"
"Mediar Therapeutics","238 Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Developer of medicines to address fibrosis","2019","https://www.mediartx.com/","-71.0844864224347","42.3621565593526","(42.3621565593526, -71.0844864224347)"
"MediSapiens","One Broadway","Cambridge","MA","02142","Healthcare Information Technology","Life Science","Genomics data software for biopharmaceutical companies","2009","http://www.medisapiens.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Mercy Bioanalytics","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Developing a liquid biopsy","2018","https://mercybio.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Merrimack Pharmaceuticals, Inc.","One Kendall Square","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D of autoimmune and cancer drugs","2000","http://www.merrimackpharma.com/","-71.0902284817783","42.3669537210037","(42.3669537210037, -71.0902284817783)"
"Mersana Therapeutics","840 Memorial Drive","Cambridge","MA","02139","Biopharmaceutical","Life Science","Cancer compounds","2002","http://www.mersana.com/","-71.1150750377726","42.3631052107115","(42.3631052107115, -71.1150750377726)"
"MetaCell","One Broadway","Cambridge","MA","02142","Information Technology","High Tech","Software for neuroscience",,"https://www.metacell.us/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"MicroQuin","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Cancer therapeutics company",,"https://www.microquin.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Microsoft New England Research & Development Center","One Memorial Drive","Cambridge","MA","02142","Information Technology","High Tech","Software/Application Development","2008","http://www.microsoftcambridge.com","-71.0812562847235","42.3613569943424","(42.3613569943424, -71.0812562847235)"
"Microsystems Technology Laboratory","60 Vassar Street","Cambridge","MA","02142","Academic/Nonprofit R&D","Academic/Non-Profit","Academic Research Institution",,"https://www.mtl.mit.edu/","-71.0928128418197","42.3609848607214","(42.3609848607214, -71.0928128418197)"
"MIT Brain and Cognitive Sciences Center","77 Massachusetts Ave","Cambridge","MA","02142","Academic/Nonprofit R&D","Academic/Non-Profit","Academic Research Institution",,"http://bcs.mit.edu/","-71.091428219345","42.362113822768","(42.362113822768, -71.091428219345)"
"MIT Clinical Research Center","45 Carleton Street","Cambridge","MA","02142","Academic/Nonprofit R&D","Academic/Non-Profit","Lab-Research and Development","1964","http://crc.mit.edu","-71.0864544597375","42.3614502811134","(42.3614502811134, -71.0864544597375)"
