"id","address","latitude","longitude","geocoded_column","status","submit_date","issue_date","business","erected_date","removed_date","description","tent_expiration","tent_count","size_of_additional_tents","tent_1_size","tent_2_size","tent_3_size","tent_4_size","tent_5_size","building_cost","electrical_cost","total_construction_cost","electrical_inspector","license_number"
"180545","80 Gerrys Landing Rd, Cambridge, MA 02138","42.3714","-71.1355","(42.371378, -71.135521)","Complete","2022-06-14T00:00:00.000","2022-06-15T00:00:00.000","Atent For Rent Inc","2022-06-17T00:00:00.000","2022-08-15T00:00:00.000","Install (2) 20x40 tents no sides. Secured with staking","2022-12-29T00:00:00.000","2","","800","800","","","","8475","0","8475","","050960"
"180701","1 Alewife Ctr, Cambridge, MA 02140","42.3984","-71.1399","(42.398355, -71.139915)","Active","2022-06-14T00:00:00.000","2022-06-15T00:00:00.000","IQHQ, Inc.","2022-06-21T00:00:00.000","2022-06-22T00:00:00.000","High Peak Tent anchored by water barrels","2022-08-31T00:00:00.000","1","","20ft x 40ft","","","","","0","0","0","","CS-XXXXX"
"179826","31 Ames St, Cambridge, MA 02142","42.3616","-71.0885","(42.361596, -71.088483)","Active","2022-06-08T00:00:00.000","2022-06-10T00:00:00.000","Peak Event Services","2022-06-17T00:00:00.000","2022-06-22T00:00:00.000","To Erect a 40x80 Temporary Tent on 6/17/22 &nbsp;Event on 6/21/22 Removed 6/22/22. Tent will have (4) 6&#39; Exits if Sidewall is install(Weather Related) w/Plastic Exit Signs(Daytime Event), (2) No Smoking Signs &amp; (4) fire Extinguishers. Tent will be","2023-04-27T00:00:00.000","1","","40x80","","","","","4800","0","4800","","CS-060219"
"179806","161 Garden St, Cambridge, MA 02138","42.3858","-71.1325","(42.385796, -71.132457)","Active","2022-06-08T00:00:00.000","2022-06-15T00:00:00.000","Cambridge Taylor Rental","2022-06-13T00:00:00.000","2022-06-15T00:00:00.000","40x80 frame tent, secured using 350 and 500 pound cement blocks on each leg of the tent.","2023-04-14T00:00:00.000","1","","40x80","","","","","4000","0","4000","","B34505"
"179819","45 Sidney St, Cambridge, MA 02139","42.3619","-71.1014","(42.361924, -71.101424)","Active","2022-06-08T00:00:00.000","2022-06-15T00:00:00.000","Cambridge Taylor Rental ","2022-06-16T00:00:00.000","2022-06-17T00:00:00.000","30x60 frame tent. secured by staking each leg of the tent.","2023-04-14T00:00:00.000","1","","30x60","","","","","2100","0","2100","","b34505"
"179562","95 Irving St, Cambridge, MA 02138","42.3781","-71.111","(42.378147, -71.11096)","Active","2022-06-07T00:00:00.000","2022-06-13T00:00:00.000","Peak Event Services","2022-07-19T00:00:00.000","2022-07-22T00:00:00.000","To ERect a 40x70 &amp; 14x14 Temporary Tent on 7/19/22 &nbsp;Event on 7/20/22 &nbsp;Removed 7/22/22. Tent will have (2) 6&#39; Exits if sidewall is installed ( Bad Weather Related). (1) No Smoking Sign &amp; (2) Fire Extinguishers. Tent will be anchored d","2023-04-27T00:00:00.000","2","","40x70","14x14","","","","4000","0","4000","","CS-060219"
"178642","400 Cardinal Medeiros Ave, Cambridge, MA 02141","42.3715","-71.0883","(42.371485, -71.088322)","Active","2022-06-02T00:00:00.000","2022-06-06T00:00:00.000","Cambridge Taylor Rental","2022-06-09T00:00:00.000","2022-06-13T00:00:00.000","Installation of a 30x50 frame tent, as well as a small 10x20 fame tent. Both these tents will be secured using 350 lb. cement blocks on each leg of tent","2023-04-14T00:00:00.000","2","","30x50","10x20","","","","1800","0","1800","","B34505"
"178717","21 Notre Dame Ave, Cambridge, MA 02140","42.3919","-71.1317","(42.391915, -71.131715)","Active","2022-06-02T00:00:00.000","2022-06-06T00:00:00.000","Cambridge Taylor Rental","2022-06-10T00:00:00.000","2022-06-11T00:00:00.000","Installation of a 40x60 frame tent. It will be secured by using a 350 lb. cement block on each leg of the tent.","2023-04-14T00:00:00.000","1","","40x60","","","","","2800","0","2800","","b34505"
"178481","971 Memorial Dr, Cambridge, MA 02138","42.3695","-71.122","(42.369544, -71.122039)","Active","2022-06-01T00:00:00.000","2022-06-09T00:00:00.000","BC Tent & Awning","2022-06-10T00:00:00.000","2022-06-13T00:00:00.000","1- 40x60 without walls, staked; 2-40x80 tents without walls, staked; 1-16x16 without walls, staked; 2-20x20 without walls, staked; 1-9x10 marquee, no walls, staked; 2-9x20 marquees, no walls, staked.&nbsp;&nbsp;","2023-05-23T00:00:00.000","9","#6-20x20...#7-9x10...#8-9x20...#9-9x20","40x60","40x80","40x80","16x16","20x20","10469","0","10469","","146"
"178301","62 Whittemore Ave, Cambridge, MA 02140","42.3986","-71.1371","(42.398558, -71.137053)","Active","2022-05-31T00:00:00.000","2022-06-29T00:00:00.000","Tishman Construction Corp. ","2022-07-01T00:00:00.000","2022-10-31T00:00:00.000","ShelterTech SP series 24&#39; wide round tent 18&#39; tall with with 4 ground stakes at each base plate to anchor into Earth","2022-05-23T00:00:00.000","1","","18' tall by 25'1"" wide ","","","","","20000","5000","26000","","CS-023008"
