"fiscal_year","service","department","division","position_number","job_title","total_salary"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-020","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-023","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-031","Fire Fighter","80727"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-036","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-041","Fire Fighter","81050"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-044","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-050","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-053","Fire Fighter","81301"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-058","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-063","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-074","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-077","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-081","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-089","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-095","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-100","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-104","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-107","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-115","Fire Fighter","81050"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-119","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-125","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-128","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-133","Fire Fighter","81074"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-138","Fire Fighter","81301"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-142","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-146","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-156","Fire Fighter","81301"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-159","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-163","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-166","Fire Fighter","81446"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-173","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-176","Fire Fighter","65249"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-182","Fire Fighter","80727"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-186","Fire Fighter","81805"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-196","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-200","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-205","Fire Fighter","65249"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-208","Fire Fighter","81050"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-213","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-216","Fire Fighter","65249"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-223","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-229","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-240","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-243","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-247","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-250","Fire Fighter","23381"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-005","Fire Lieutenant","97136"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-008","Fire Lieutenant","97197"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-012","Fire Lieutenant","96393"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-017","Fire Lieutenant","97136"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-023","Fire Lieutenant","96129"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-027","Fire Lieutenant","95733"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-032","Fire Lieutenant","96724"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-035","Fire Lieutenant","96770"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-040","Fire Lieutenant","96770"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-043","Fire Lieutenant","96724"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-047","Fire Lieutenant","97197"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-050","Fire Lieutenant","97197"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-057","Fire Lieutenant","39541"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-060","Fire Lieutenant","39541"
"2023","Public Safety","Inspectional Services","Board of Zoning Appeal","I247-701","Zoning Specialist","67111"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","C087-003","Admin Asst/Insp Svs","67553"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I212-005","Building Inspector","69166"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I212-009","Building Inspector","79173"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I249-001","Compliance Inspector","60914"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I214-001","Plumbing & Gas Inspector","88022"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I220-005","Sanitary/Housing Inspector","71746"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I120-005","Sanitary/Housing Inspector Con","57331"
"2023","Public Safety","License Commission","Administration","C099-004","Admin Asst/Lic/City Clerk","67553"
"2023","Public Safety","License Commission","Administration","M306-701","Business Prod.Analyst Proj.","72349"
"2023","Public Safety","License Commission","Administration","A507-701","Licensing Project Assistant","26712"
"2023","Public Safety","License Commission","Consumers' Council","M039-701","Dir/Consumer Commission","90519"
"2023","Public Safety","Police","Administration","C113-149","Clerk & Typist","52562"
"2023","Public Safety","Police","Administration","M008-701","Fleet Manager","113175"
"2023","Public Safety","Police","Administration","P465-198","Police Officer","102571"
"2023","Public Safety","Police","Administration","S464-052","Police Sergeant","124644"
"2023","Public Safety","Police","Administration","C171-713","Sr Account Clerk","65501"
"2023","Public Safety","Police","Commissioner's Office","M042-001","Office Manager/Police","100297"
"2023","Public Safety","Police","Criminal Investigations","A495-701","Latent Fingerprint Examiner","73467"
"2023","Public Safety","Police","Criminal Investigations","P465-017","Police Officer","101857"
"2023","Public Safety","Police","Criminal Investigations","P465-053","Police Officer","107479"
"2023","Public Safety","Police","Criminal Investigations","P465-078","Police Officer","106406"
"2023","Public Safety","Police","Criminal Investigations","P465-134","Police Officer","107479"
"2023","Public Safety","Police","Criminal Investigations","P465-173","Police Officer","102571"
"2023","Public Safety","Police","Criminal Investigations","P465-213","Police Officer","102571"
"2023","Public Safety","Police","Criminal Investigations","P465-262","Police Officer","84490"
"2023","Public Safety","Police","Criminal Investigations","S464-028","Police Sergeant","124588"
"2023","Public Safety","Police","Criminal Investigations","S464-165","Police Sergeant","124588"
"2023","Public Safety","Police","Criminal Investigations","M164-701","Victim Advocate","81988"
"2023","Public Safety","Police","Family and Social Justice","M493-705","Deputy Superintendent/Pol","141192"
"2023","Public Safety","Police","Family and Social Justice","P465-007","Police Officer","106406"
"2023","Public Safety","Police","Family and Social Justice","P465-068","Police Officer","104685"
"2023","Public Safety","Police","Family and Social Justice","P465-158","Police Officer","106406"
"2023","Public Safety","Police","Family and Social Justice","P465-191","Police Officer","107121"
"2023","Public Safety","Police","Family and Social Justice","P465-268","Police Officer","105043"
"2023","Public Safety","Police","Patrol","M493-702","Deputy Superintendent/Pol","166125"
"2023","Public Safety","Police","Patrol","S463-018","Police Lieutenant","146794"
"2023","Public Safety","Police","Patrol","P465-004","Police Officer","105749"
"2023","Public Safety","Police","Patrol","P465-012","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-030","Police Officer","101199"
"2023","Public Safety","Police","Patrol","P465-041","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-045","Police Officer","105692"
"2023","Public Safety","Police","Patrol","P465-052","Police Officer","86741"
"2023","Public Safety","Police","Patrol","P465-063","Police Officer","94564"
"2023","Public Safety","Police","Patrol","P465-072","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-079","Police Officer","105692"
"2023","Public Safety","Police","Patrol","P465-097","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-100","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-108","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-113","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-121","Police Officer","102980"
"2023","Public Safety","Police","Patrol","P465-125","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-133","Police Officer","60600"
"2023","Public Safety","Police","Patrol","P465-141","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-150","Police Officer","105692"
"2023","Public Safety","Police","Patrol","P465-156","Police Officer","103313"
"2023","Public Safety","Police","Patrol","P465-166","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-170","Police Officer","86454"
"2023","Public Safety","Police","Patrol","P465-177","Police Officer","103970"
"2023","Public Safety","Police","Patrol","P465-180","Police Officer","107160"
"2023","Public Safety","Police","Patrol","P465-188","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-196","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-215","Police Officer","105692"
"2023","Public Safety","Police","Patrol","P465-222","Police Officer","102252"
"2023","Public Safety","Police","Patrol","P465-228","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-233","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-243","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-250","Police Officer","105749"
"2023","Public Safety","Police","Patrol","P465-254","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-257","Police Officer","91929"
"2023","Public Safety","Police","Patrol","P465-267","Police Officer","85880"
"2023","Public Safety","Police","Patrol","P465-273","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-282","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-285","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-294","Police Officer","86454"
"2023","Public Safety","Police","Patrol","P465-298","Police Officer","107479"
"2023","Public Safety","Police","Patrol","S464-004","Police Sergeant","126685"
"2023","Public Safety","Police","Patrol","S464-012","Police Sergeant","129116"
"2023","Public Safety","Police","Patrol","S464-047","Police Sergeant","129553"
"2023","Public Safety","Police","Patrol","S464-056","Police Sergeant","126685"
"2023","Public Safety","Police","Patrol","S464-168","Police Sergeant","128244"
"2023","Public Safety","Police","Patrol","M492-701","Superintendent/Police","177277"
"2023","Public Safety","Police","Planning, Budget & Personnel","C192-701","Payroll Coordinator","65501"
"2023","Public Safety","Police","Planning, Budget & Personnel","A108-704","Student Intern/Police","33521"
"2023","Public Safety","Police","Professional Standards","M145-701","Dir. of Professional Standards","141192"
"2023","Public Safety","Police","Professional Standards","S464-014","Police Sergeant","129553"
"2023","Public Safety","Police","Tactical Operations","P465-274","Police Officer","105749"
"2023","Public Safety","Police","Technical Services","M309-701","Crime Analyst/Traffic.Police","59018"
"2023","Public Safety","Police","Technical Services","A108-707","Student Intern/Police","33521"
"2023","Public Safety","Police","Traffic Enforcement","P465-034","Police Officer","101199"
"2023","Public Safety","Police","Traffic Enforcement","P465-139","Police Officer","102929"
"2023","Public Safety","Police","Traffic Enforcement","P465-174","Police Officer","106406"
"2023","Public Safety","Police","Traffic Enforcement","P465-286","Police Officer","101142"
"2023","Public Safety","Police","Traffic Enforcement","T458-060","Traffic Supervisor B3785","11555"
"2023","Public Safety","Police","Traffic Enforcement","T468-010","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-013","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-018","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-022","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-031","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-033","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-035","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-036","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-048","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-049","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-053","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-054","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-064","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-065","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-067","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-068","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Patrol","S463-019","Police Lieutenant","146794"
"2023","Public Safety","Police","Patrol","S463-021","Police Lieutenant","149214"
"2023","Public Safety","Police","Patrol","S463-032","Police Lieutenant","149214"
"2023","Public Safety","Police","Patrol","S463-036","Police Lieutenant","146794"
"2023","General Government","City Clerk","Administration","M108-001","Clerk of Committee","62484"
"2023","General Government","City Clerk","Administration","O044-701","Deputy City Clerk","132878"
"2023","General Government","City Clerk","Administration","C107-703","Principal Clerk","66192"
"2023","General Government","City Clerk","Administration","C107-704","Principal Clerk","58399"
"2023","General Government","City Clerk","Administration","C107-709","Principal Clerk","66183"
"2023","General Government","City Clerk","Administration","M320-707","System Administrator, Level 1","109960"
"2023","General Government","City Council","Administration","O002-702","City Councillor","89644"
"2023","General Government","City Council","Administration","O002-703","City Councillor","89644"
"2023","General Government","City Council","Administration","O002-706","City Councillor","89644"
"2023","General Government","City Council","Administration","O002-707","City Councillor","89644"
"2023","General Government","City Council","Administration","O002-709","City Councillor","89644"
"2023","General Government","City Council","Administration","M255-701","Council Aide","70565"
"2023","General Government","City Council","Administration","M255-706","Council Aide","70565"
"2023","General Government","City Council","Administration","M255-708","Council Aide","70565"
"2023","General Government","City Council","Administration","M147-710","Executive Asst To City Council","118831"
"2023","General Government","City Council","Administration","O001-701","Mayor","133532"
"2023","General Government","Election Commission","Administration","M803-701","Election Commissioner","40847"
"2023","General Government","Election Commission","Administration","M803-702","Election Commissioner","40847"
"2023","General Government","Election Commission","Administration","M803-704","Election Commissioner","37381"
"2023","General Government","Election Commission","Administration","M056-701","Exec Dir/Election","124954"
"2023","General Government","Election Commission","Administration","C110-027","Sr Clerk & Typist","49996"
"2023","General Government","Executive","Domestic & Gender-Based Violence Prevention Initiative","M211-701","Coord. of Camb.Init.DV & GBP","91579"
"2023","General Government","Executive","Housing Liaison","M432-701","City Manager's Housing Liaison","107319"
"2023","General Government","Executive","Housing Liaison","M457-701","Housing Advocate","91568"
"2023","General Government","Executive","Leadership","M333-701","Administrative Coordinator","63392"
"2023","General Government","Executive","Leadership","M066-701","Asst To City Manager","115084"
"2023","General Government","Executive","Leadership","O003-701","City Manager","344274"
"2023","General Government","Executive","Leadership","O022-701","Deputy City Manager","257498"
"2023","General Government","Executive","Office of Equity and Inclusion","M499-001","Office Equity and Inclusion - Analyst","82730"
"2023","General Government","Executive","Office of Equity and Inclusion","M491-701","Project Assistant/Executive","30875"
"2023","General Government","Executive","Public Information Office","M538-701","Dir. of Resident Inform.&Srvc","119176"
"2023","General Government","Executive","Public Information Office","M188-701","Dir/Strategic Planning & Commu","164367"
"2023","General Government","Finance","Assessing","C094-003","Admin Asst/Fisc/Gen/Bld/R","66192"
"2023","General Government","Finance","Assessing","M185-003","Assessment Analyst","66673"
"2023","General Government","Finance","Assessing","M383-001","Asst to Board of Assessors","103183"
"2023","General Government","Finance","Assessing","M386-701","Commercial Appraiser","100569"
"2023","General Government","Finance","Assessing","O327-701","Dir/Assessment","178932"
"2023","General Government","Finance","Assessing","M418-701","Mngr. of Assessing Operations","121701"
"2023","General Government","Finance","Assessing","M024-002","Sr Assistant Assessor","86078"
"2023","General Government","Finance","Assessing","M105-001","Sr. Asst Assessor/Field Operat","106884"
"2023","General Government","Finance","Auditing","M017-001","Analyst/Auditing","91000"
"2023","General Government","Finance","Auditing","M002-702","Asst. City Auditor","122265"
"2023","General Government","Finance","Auditing","M277-701","Manager of Fiscal Reporting","115105"
"2023","General Government","Finance","Auditing","Principal","Principal Account. Fin.Analyst","100297"
"2023","General Government","Finance","Budget","O025-701","Budget Director","178849"
"2023","General Government","Finance","Budget","M508-701","Deputy Director/Budget","120642"
"2023","General Government","Finance","General Services","C142-005","Offset Duplicating Machine Opr","71431"
"2023","General Government","Finance","Information Technology","M141-701","Administrative Asst/IT","82560"
"2023","General Government","Finance","Information Technology","M344-701","Audio Visual Technician","111055"
"2023","General Government","Finance","Information Technology","M037-701","Chief Information Officer","178539"
"2023","General Government","Finance","Information Technology","M705-701","Database Administrator","129089"
"2023","General Government","Finance","Information Technology","M142-701","Enterprise Applications Specia","119492"
"2023","General Government","Finance","Information Technology","M550-701","GIS Technical Specialist","91568"
"2023","General Government","Finance","Information Technology","M702-702","MIS Project Manager","119492"
"2023","General Government","Finance","Information Technology","M165-701","Network Engineer L2","119492"
"2023","General Government","Finance","Information Technology","M701-701","Network Manager","129089"
"2023","General Government","Finance","Information Technology","M708-702","Proj Mngr/Business Analyst L1","103315"
"2023","General Government","Finance","Information Technology","M708-704","Proj Mngr/Business Analyst L1","113123"
"2023","General Government","Finance","Information Technology","M388-701","Security Manager","129089"
"2023","General Government","Finance","Information Technology","M252-701","Senior Web Developer","109514"
"2023","General Government","Finance","Information Technology","M204-702","Technical Support Lvl 2","104417"
"2023","General Government","Finance","Information Technology","M131-004","Technical Support Lvl I","87000"
"2023","General Government","Finance","Information Technology","M131-007","Technical Support Lvl I","89349"
"2023","General Government","Finance","Information Technology","M706-701","Technical Support Manager","129089"
"2023","General Government","Finance","Information Technology","M206-701","Web Manager","129089"
"2023","General Government","Finance","Personnel","M007-001","Account Coordinator","81908"
"2023","General Government","Finance","Personnel","M040-701","Asst Dir. Learning & Develop.","128198"
"2023","General Government","Finance","Personnel","M084-001","Asst Director/HR Development","128198"
"2023","General Government","Finance","Personnel","M363-002","Employment Resource Spec","56739"
"2023","General Government","Finance","Personnel","M026-001","Manager/Benefits & Compensatio","107319"
"2023","General Government","Finance","Personnel","M199-001","Personnel Specialist","81908"
"2023","General Government","Finance","Personnel","M182-001","Personnel/Labor Svs Analyst","107585"
"2023","General Government","Finance","Purchasing","M021-001","Asst Purch Agent for Sup.& Ser","85802"
"2023","General Government","Finance","Purchasing","M377-001","Asst.Purch Agent/Design & Cons","107585"
"2023","General Government","Finance","Purchasing","C193-004","Buyer/Purchasing","67775"
"2023","General Government","Finance","Purchasing","C193-005","Buyer/Purchasing","51118"
"2023","General Government","Finance","Revenue","M074-701","Assistant Finance Director","183093"
"2023","General Government","Finance","Revenue","M247-001","Assistant Manager of Collections","89981"
"2023","General Government","Finance","Revenue","C173-701","Cashier Coordinator","72104"
"2023","General Government","Finance","Revenue","M806-701","Cust.Srvc Sup/Tax Title Lia/AA","90001"
"2023","General Government","Finance","Revenue","M275-703","Fiscal Affairs Analyst","53477"
"2023","General Government","Finance","Revenue","M057-701","Manager of Revenue & Tres.Oper","115704"
"2023","General Government","Finance","Treasury","M503-701","Cash Reconciliation Analyst","86479"
"2023","General Government","Finance","Treasury","M132-701","Director of Payroll","122265"
"2023","General Government","Finance","Treasury","M304-702","Sr. Business Prodution Analyst","104136"
"2023","General Government","Law","Administration","C094-002","Admin Asst/Fisc/Gen/Bld/R","59061"
"2023","General Government","Law","Administration","M088-701","Assistant City Solicitor","122471"
"2023","General Government","Law","Administration","M088-702","Assistant City Solicitor","117034"
"2023","General Government","Law","Administration","M088-706","Assistant City Solicitor","115988"
"2023","General Government","Law","Administration","M088-707","Assistant City Solicitor","122471"
"2023","General Government","Law","Administration","M088-709","Assistant City Solicitor","122471"
"2023","General Government","Law","Administration","M551-701","Asst Public Records Access Off","84302"
"2023","General Government","Mayor","Administration","M104-701","Chief Of Staff","85507"
"2023","General Government","Mayor","Administration","M289-701","Community Outreach Manager","68331"
"2023","General Government","Mayor","Administration","M886-701","Education Liaison","74902"
"2023","General Government","Mayor","Administration","M302-701","Executive Assistant to Mayor","64260"
"2023","General Government","Public Celebrations","Cambridge Arts Council","M030-701","Dir/Arts Council/Pub Cele","112866"
"2023","General Government","Public Celebrations","Cambridge Arts Council","M524-701","Dir/Marketing & PR  Arts","48127"
"2023","General Government","Public Celebrations","Cambridge Arts Council","M514-701","Director of Art Conservation","71567"
"2023","General Government","Public Celebrations","Cambridge Arts Council","M597-701","Events Producer/CommArtsDir","73984"
"2023","Public Safety","Animal Commission","Administration","A209-703","Animal Control Officer","69221"
"2023","Public Safety","Animal Commission","Administration","A209-704","Animal Control Officer","67136"
"2023","Public Safety","Community Safety","Administration","M651-001","Comm Safety Program Coordinator","80580"
"2023","Public Safety","Community Safety","Administration","M652-001","Crisis Response Specialist","61200"
"2023","Public Safety","Community Safety","Administration","M653-001","Peer Support Specialist","61200"
"2023","Public Safety","Community Safety","Administration","M653-002","Peer Support Specialist","61200"
"2023","Public Safety","Electrical","Administration","M078-001","Assistant City Electrician","113123"
"2023","Public Safety","Electrical","Administration","O015-701","City Electrician","144532"
"2023","Public Safety","Electrical","Administration","C626-009","Electrician","79611"
"2023","Public Safety","Electrical","Administration","C626-010","Electrician","79611"
"2023","Public Safety","Electrical","Administration","C626-112","Electrician","79611"
"2023","Public Safety","Electrical","Administration","C626-113","Electrician","39056"
"2023","Public Safety","Electrical","Administration","M092-701","Senior Electrical Manager","108263"
"2023","Public Safety","Emergency Communications","Communications Center","M368-701","Administrative Coordinator/ECD","79108"
"2023","Public Safety","Emergency Communications","Communications Center","M128-701","Asst.Dir. of Training & Admin.","140729"
"2023","Public Safety","Emergency Communications","Communications Center","E374-001","Emerg Comm Supervisor","83408"
"2023","Public Safety","Emergency Communications","Communications Center","E374-005","Emerg Comm Supervisor","96446"
"2023","Public Safety","Emergency Communications","Communications Center","E374-007","Emerg Comm Supervisor","94197"
"2023","Public Safety","Emergency Communications","Communications Center","M036-701","Emergency Communicat Dir","183093"
"2023","Public Safety","Emergency Communications","Communications Center","C509-001","Emergency TeleCom Dispatch  II","89177"
"2023","Public Safety","Emergency Communications","Communications Center","C508-002","Emergency Telecom Dispatcher","80273"
"2023","Public Safety","Emergency Communications","Communications Center","C508-004","Emergency Telecom Dispatcher","79573"
"2023","Public Safety","Emergency Communications","Communications Center","C508-008","Emergency Telecom Dispatcher","79973"
"2023","Public Safety","Emergency Communications","Communications Center","C508-009","Emergency Telecom Dispatcher","71879"
"2023","Public Safety","Emergency Communications","Communications Center","C508-020","Emergency Telecom Dispatcher","79973"
"2023","Public Safety","Emergency Communications","Communications Center","C508-022","Emergency Telecom Dispatcher","79873"
"2023","Public Safety","Emergency Communications","Communications Center","C508-024","Emergency Telecom Dispatcher","71879"
"2023","Public Safety","Emergency Communications","Communications Center","C508-025","Emergency Telecom Dispatcher","79973"
"2023","Public Safety","Emergency Communications","Communications Center","C508-031","Emergency Telecom Dispatcher","79973"
"2023","Public Safety","Emergency Communications","Communications Center","C508-032","Emergency Telecom Dispatcher","79973"
"2023","Public Safety","Emergency Communications","Communications Center","C508-035","Emergency Telecom Dispatcher","67716"
"2023","Public Safety","Emergency Communications","Communications Center","C508-036","Emergency Telecom Dispatcher","78056"
"2023","Public Safety","Emergency Communications","Communications Center","C508-041","Emergency Telecom Dispatcher","71879"
"2023","Public Safety","Emergency Communications","Communications Center","M337-705","Licensed Social Worker","48198"
"2023","Public Safety","Emergency Communications","Public Safety IT","M129-701","Asst. Dir. of Public Safety IT","134644"
"2023","Public Safety","Emergency Communications","Public Safety IT","M714-001","Deputy Director PSIT","164237"
"2023","Public Safety","Emergency Communications","Public Safety IT","M317-701","Mgr of Public Safety Tech.Supp","119492"
"2023","Public Safety","Emergency Communications","Public Safety IT","M701-702","Network Manager","129089"
"2023","Public Safety","Emergency Communications","Public Safety IT","M278-701","Project Mrg/Business Analyst","61614"
"2023","Public Safety","Emergency Communications","Public Safety IT","M127-701","Public Safety Tech.Sup.Spec.","99907"
"2023","Public Safety","Emergency Communications","Public Safety IT","M320-703","System Administrator, Level 1","113123"
"2023","Public Safety","Fire","Headquarters & Fire Stations","C120-001","Admin Asst/Emerg Management","47809"
"2023","Public Safety","Police","Patrol","S463-037","Police Lieutenant","148708"
"2023","Public Safety","Fire","Headquarters & Fire Stations","M522-001","Admin Officer Operations/Fire","219017"
"2023","Public Safety","Fire","Headquarters & Fire Stations","R504-001","Fire Apparatus Repair","77310"
"2023","Public Safety","Fire","Headquarters & Fire Stations","R504-002","Fire Apparatus Repair","77310"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-002","Fire Captain","114315"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-003","Fire Captain","113781"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-008","Fire Captain","113072"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-008","Fire Captain","113828"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-013","Fire Captain","114315"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-014","Fire Captain","114315"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-018","Fire Captain","114255"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-019","Fire Captain","113781"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-021","Fire Captain","114315"
"2023","Public Safety","Fire","Headquarters & Fire Stations","O501-001","Fire Chief","251461"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F502-009","Fire Deputy Chief","134458"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F502-010","Fire Deputy Chief","134519"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F502-014","Fire Deputy Chief","134519"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F502-015","Fire Deputy Chief","133914"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F502-018","Fire Deputy Chief","134519"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-001","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-003","Fire Fighter","80870"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-004","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-009","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-010","Fire Fighter","80727"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-012","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-014","Fire Fighter","80870"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-017","Fire Fighter","81336"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-019","Fire Fighter","81589"
