"crash_number","date_time","day_of_week","object_1","object_2","street_number","steet_name","cross_street","location","latitude","longitude","coordinates"
"23854","2010-02-27T14:39:00.000","Saturday","Auto","Parked Vehicle","364","Rindge Ave",,"364 Rindge Ave Cambridge, MA","42.393087999999999","-71.138992000000002",
"23859","2010-02-27T14:39:00.000","Saturday","Auto","Auto",,"Third St","SPRING ST"," Third St & SPRING ST Cambridge, MA","42.368965000000003","-71.080324000000005",
"23862","2010-02-27T23:29:00.000","Sunday","Auto","Bus (Other)",,"JFK St","Winthrop St"," JFK St & Winthrop St Cambridge, MA","42.372154000000002","-71.120489000000006",
"23855","2010-02-28T12:04:00.000","Sunday","Auto","Moped",,"Massachusetts Ave","Upland Rd"," Massachusetts Ave & Upland Rd Cambridge, MA","42.388173000000002","-71.119415000000004",
"23856","2010-02-28T14:00:00.000","Sunday","Auto","Auto",,"Massachusetts Ave","Cameron Ave"," Massachusetts Ave & Cameron Ave Cambridge, MA","42.397440000000003","-71.130266000000006",
"23860","2010-03-01T07:12:00.000","Monday","Auto","Auto",,"Upland Rd","Richdale Ave"," Upland Rd & Richdale Ave Cambridge, MA","42.387948000000002","-71.121357000000003",
"23857","2010-03-01T08:42:00.000","Monday","Auto","Auto",,"Binney St","Third St"," Binney St & Third St Cambridge, MA","42.365678000000003","-71.082406000000006",
"23861","2010-03-01T09:45:00.000","Monday","Auto","Truck",,"SARGENT ST","NOTRE DAME AVE"," SARGENT ST & NOTRE DAME AVE Cambridge, MA","42.391759","-71.131932000000006",
"23858","2010-03-01T10:40:00.000","Monday","Auto","Auto",,"Sixth St","Bent St"," Sixth St & Bent St Cambridge, MA","42.367562","-71.085740999999999",
"23867","2010-03-01T15:14:00.000","Monday","Auto","Parked Vehicle",,"Mount Vernon St",," Mount Vernon St &  Cambridge, MA",,,
"23866","2010-03-01T18:14:00.000","Monday","Auto","Fixed Object",,"Massachusetts Ave","Rindge Ave"," Massachusetts Ave & Rindge Ave Cambridge, MA","42.392614999999999","-71.124874000000005",
"23865","2010-03-02T00:00:00.000","Tuesday","Auto","Auto",,"Cambridge St","QUINCY ST"," Cambridge St & QUINCY ST Cambridge, MA","42.375473999999997","-71.114321000000004",
"23863","2010-03-02T13:44:00.000","Wednesday","Auto","Parked Vehicle",,"GARDEN ST",," GARDEN ST &  Cambridge, MA",,,
"23876","2010-03-03T07:30:00.000","Wednesday","Auto","Parked Vehicle",,"Vassal Ln",," Vassal Ln &  Cambridge, MA",,,
