"age","week","count"
"20 - 29","3/6/2022","255"
"30 - 39","3/6/2022","40"
"40 - 49","3/6/2022","12"
"50 - 59","3/6/2022","7"
"60 - 69","3/6/2022","5"
"70 - 79","3/6/2022","3"
"80+","3/6/2022","4"
"0 - 19","3/13/2022","49"
"20 - 29","3/13/2022","97"
"30 - 39","3/13/2022","47"
"40 - 49","3/13/2022","23"
"50 - 59","3/13/2022","9"
"60 - 69","3/13/2022","4"
"70 - 79","3/13/2022","4"
"80+","3/13/2022","3"
"0 - 19","3/20/2022","33"
"20 - 29","3/20/2022","217"
"30 - 39","3/20/2022","83"
"40 - 49","3/20/2022","29"
"50 - 59","3/20/2022","8"
"60 - 69","3/20/2022","12"
"70 - 79","3/20/2022","10"
"80+","3/20/2022","2"
"0 - 19","3/27/2022","61"
"20 - 29","3/27/2022","293"
"30 - 39","3/27/2022","93"
"40 - 49","3/27/2022","33"
"50 - 59","3/27/2022","23"
"60 - 69","3/27/2022","15"
"70 - 79","3/27/2022","5"
"80+","3/27/2022","1"
"0 - 19","4/3/2022","89"
"20 - 29","4/3/2022","385"
"30 - 39","4/3/2022","135"
"40 - 49","4/3/2022","45"
"50 - 59","4/3/2022","17"
"60 - 69","4/3/2022","20"
"70 - 79","4/3/2022","12"
"80+","4/3/2022","6"
"0 - 19","4/10/2022","86"
"20 - 29","4/10/2022","454"
"30 - 39","4/10/2022","182"
"40 - 49","4/10/2022","62"
"50 - 59","4/10/2022","26"
"60 - 69","4/10/2022","21"
"70 - 79","4/10/2022","13"
"80+","4/10/2022","2"
"0 - 19","4/17/2022","62"
"20 - 29","4/17/2022","367"
"30 - 39","4/17/2022","124"
"40 - 49","4/17/2022","42"
"50 - 59","4/17/2022","41"
"60 - 69","4/17/2022","16"
"70 - 79","4/17/2022","11"
"80+","4/17/2022","3"
"0 - 19","4/24/2022","102"
"20 - 29","4/24/2022","490"
"30 - 39","4/24/2022","178"
"40 - 49","4/24/2022","52"
"50 - 59","4/24/2022","48"
"60 - 69","4/24/2022","37"
"70 - 79","4/24/2022","22"
"80+","4/24/2022","3"
"0 - 19","5/1/2022","134"
"20 - 29","5/1/2022","551"
"30 - 39","5/1/2022","238"
"40 - 49","5/1/2022","68"
"50 - 59","5/1/2022","51"
"60 - 69","5/1/2022","34"
"70 - 79","5/1/2022","24"
"80+","5/1/2022","7"
"0 - 19","5/8/2022","123"
"20 - 29","5/8/2022","446"
"30 - 39","5/8/2022","240"
"40 - 49","5/8/2022","86"
"50 - 59","5/8/2022","52"
"60 - 69","5/8/2022","41"
"70 - 79","5/8/2022","22"
"80+","5/8/2022","12"
"0 - 19","5/15/2022","130"
"20 - 29","5/15/2022","268"
"30 - 39","5/15/2022","189"
"40 - 49","5/15/2022","75"
"50 - 59","5/15/2022","42"
"60 - 69","5/15/2022","46"
"70 - 79","5/15/2022","21"
"80+","5/15/2022","9"
"0 - 19","5/22/2022","72"
"20 - 29","5/22/2022","209"
"30 - 39","5/22/2022","166"
"40 - 49","5/22/2022","64"
"50 - 59","5/22/2022","52"
"60 - 69","5/22/2022","39"
"70 - 79","5/22/2022","22"
"80+","5/22/2022","7"
"0 - 19","5/29/2022","57"
"20 - 29","5/29/2022","226"
"30 - 39","5/29/2022","182"
"40 - 49","5/29/2022","70"
"50 - 59","5/29/2022","34"
"60 - 69","5/29/2022","15"
"70 - 79","5/29/2022","11"
"80+","5/29/2022","6"
"0 - 19","6/5/2022","55"
"20 - 29","6/5/2022","161"
"30 - 39","6/5/2022","119"
"40 - 49","6/5/2022","49"
"50 - 59","6/5/2022","40"
"60 - 69","6/5/2022","23"
"70 - 79","6/5/2022","22"
"80+","6/5/2022","5"
"0 - 19","6/12/2022","56"
"20 - 29","6/12/2022","97"
"30 - 39","6/12/2022","70"
"40 - 49","6/12/2022","32"
"50 - 59","6/12/2022","23"
"60 - 69","6/12/2022","17"
"70 - 79","6/12/2022","14"
"80+","6/12/2022","1"
"0 - 19","6/19/2022","51"
"20 - 29","6/19/2022","89"
"30 - 39","6/19/2022","80"
"40 - 49","6/19/2022","28"
"50 - 59","6/19/2022","24"
"60 - 69","6/19/2022","22"
"70 - 79","6/19/2022","21"
"80+","6/19/2022","7"
"0 - 19","6/26/2022","31"
"20 - 29","6/26/2022","106"
"30 - 39","6/26/2022","72"
"40 - 49","6/26/2022","33"
"50 - 59","6/26/2022","33"
"60 - 69","6/26/2022","17"
"70 - 79","6/26/2022","13"
"80+","6/26/2022","5"
"0 - 19","7/3/2022","40"
"20 - 29","7/3/2022","79"
"30 - 39","7/3/2022","69"
"40 - 49","7/3/2022","38"
"50 - 59","7/3/2022","17"
"60 - 69","7/3/2022","15"
"70 - 79","7/3/2022","13"
"80+","7/3/2022","7"
"0 - 19","7/10/2022","24"
"20 - 29","7/10/2022","95"
"30 - 39","7/10/2022","78"
"40 - 49","7/10/2022","24"
"50 - 59","7/10/2022","22"
"60 - 69","7/10/2022","12"
"70 - 79","7/10/2022","7"
"80+","7/10/2022","8"
"0 - 19","7/17/2022","29"
"20 - 29","7/17/2022","86"
"30 - 39","7/17/2022","74"
"40 - 49","7/17/2022","31"
"50 - 59","7/17/2022","20"
"60 - 69","7/17/2022","20"
"70 - 79","7/17/2022","13"
"80+","7/17/2022","4"
