"company_name","product_name","application_type_part_a_or","amount_of_credit_provided","approval_date"
"Silverback Productions Inc.","Architectural VR Simulation","B","21495","2019-09-19T00:00:00.000"
"Silverback Productions Inc.","Ocean School","B","26893","2019-09-19T00:00:00.000"
"Silverback Productions Inc.","Phytosurge","B","17416","2019-09-19T00:00:00.000"
"Silverback Productions Inc.","Ramp Safety VR - Module 1 A320","B","100919","2019-09-19T00:00:00.000"
"Silverback Productions Inc.","Sauce Toss","B","51107","2019-09-19T00:00:00.000"
"Silverback Productions Inc.","SnagPro","B","17073","2019-09-19T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Coin Dozer","B","4757","2019-06-21T00:00:00.000"
"Ubisoft Divertissements Inc.","Hungry Shark Heroes V1","B","5977","2019-09-26T00:00:00.000"
"Ubisoft Divertissements Inc.","Hungry Shark World V2","B","11445","2019-09-26T00:00:00.000"
"Ubisoft Divertissements Inc.","South Park Phone Destroyer V1","B","3788","2019-09-26T00:00:00.000"
"Ubisoft Divertissements Inc.","Tom Clancy's Strike Force V1","B","23927","2019-09-26T00:00:00.000"
"Ubisoft Divertissements Inc.","Tom Clancy's The Division 2 V1","B","5036","2019-09-26T00:00:00.000"
"Ubisoft Divertissements Inc.","War Odyssey : Gods & Heroes V1","B","6386","2019-09-26T00:00:00.000"
"Ubisoft Divertissements Inc.","Watch Dogs 3 V1","B","8289","2019-09-26T00:00:00.000"
"Ubisoft Divertissements Inc.","Might Quest for Epic Loot V1","B","3923","2019-09-26T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Virtual Families 3","B","40648","2019-09-18T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Brig 12","B","39529","2019-09-18T00:00:00.000"
"Lockheed Martin Canada inc.","ANZAC Frigate Combat System Training","B","325037","2019-09-18T00:00:00.000"
"REDspace Inc.","Grover's Story Circle (School Readiness)","B","18329","2019-09-26T00:00:00.000"
"REDspace Inc.","Nature Cat's Great Outdoors Content Update","B","20389","2019-09-26T00:00:00.000"
"REDspace Inc.","Nazboo's Dragon Family Caper","B","26130","2019-09-26T00:00:00.000"
"REDspace Inc.","Potty Time With Elmo","B","13615","2019-09-26T00:00:00.000"
"REDspace Inc.","Project Studio: Word Play!","B","131118","2019-09-26T00:00:00.000"
"REDspace Inc.","Rerun The Game","B","2906","2019-09-26T00:00:00.000"
"REDspace Inc.","Sesame Street Seasons Spinner (Four Seasons)","B","26963","2019-09-26T00:00:00.000"
"REDspace Inc.","Snoop Dogg presents The Joker's Wild version 2","B","5362","2019-09-26T00:00:00.000"
"Bluedrop Training & Simulation Inc.","C130J MTP Block 7 Courseware","B","88022","2020-01-09T00:00:00.000"
"Ubisoft Divertissements Inc.","Hungry Dragon V1","B","3517","2019-10-09T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Virtual Families Cook Off","B","33140","2019-10-09T00:00:00.000"
"Red Meat Games Inc.","Sentience","B","69079","2019-10-15T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Kim's Cat Rescue: Puzzle Quest","B","56814","2019-10-15T00:00:00.000"
"Red Meat Games Inc.","Cube Samurai: Run Squared","B","4748","2019-10-15T00:00:00.000"
"Red Meat Games Inc.","Bring to Light","B","137955","2019-10-15T00:00:00.000"
"Hutch Games Canada Limited","Top Drives","B","22230","2019-10-17T00:00:00.000"
"Hutch Games Canada Limited","MMX Hill Dash","B","10269","2019-10-17T00:00:00.000"
"Hutch Games Canada Limited","Hot Wheels: Race Off","B","15373","2019-10-17T00:00:00.000"
"Hutch Games Canada Limited","Smash Bandits Racing","B","6926","2019-10-17T00:00:00.000"
"Hutch Games Canada Limited","MMX Hill Dash 2","B","3046","2019-10-17T00:00:00.000"
"Vesuvius Media Ltd.","Atlantean World V1","A","29229","2019-10-24T00:00:00.000"
"Lockheed Martin Canada inc.","ANZAC Frigate Combat System Training","B","283307","2019-11-06T00:00:00.000"
"Lockheed Martin Canada Inc.","SPY-1F Multifunction Phased-Array Radar VISTA","B","3497","2019-11-06T00:00:00.000"
"Lockheed Martin Canada Inc.","CIWS 1B Baseline 2 Visual Interactive Simulation Training App","B","32038","2019-11-06T00:00:00.000"
"Lockheed Martin Canada Inc.","MK-99 FCS Visual Interactive Simulation Training Application","B","69932","2019-11-06T00:00:00.000"
"Lockheed Martin Canada Inc.","SPY-1D(v) Visual Interactive Simulation Training Application","B","21527","2019-11-06T00:00:00.000"
"Ubisoft Divertissements Inc.","Rainbow Six Siege Mobile V1","B","30509","2019-11-18T00:00:00.000"
"Ubisoft Divertissements Inc.","Tom Clancy's Shadowbreak V1","B","772026","2019-11-18T00:00:00.000"
"Ubisoft Divertissements Inc.","Tom Clancy's Shadowbreak V2","B","232995","2019-11-18T00:00:00.000"
"Binogi Studios Ltd","Binogi","A","840593","2019-11-28T00:00:00.000"
"Gopokyo Inc.","Card Saga (Working Title)","B","59479","2019-12-11T00:00:00.000"
"Alpha Dog Games Inc.","Ninja Golf V2","B","173946","2020-01-20T00:00:00.000"
"Bluedrop Training & Simulation Inc.","Arctic Offshore Patrol Ships PI Phase I","B","216053","2020-02-03T00:00:00.000"
"Bluedrop Training & Simulation Inc.","CFTS Phase 1 Ground School","B","7426","2020-02-03T00:00:00.000"
"Bluedrop Training & Simulation Inc.","DND Courseware Re-Authoring","B","24784","2020-02-03T00:00:00.000"
"Bluedrop Training & Simulation Inc.","Technical and Pedagogical Consulting","B","28737","2020-02-03T00:00:00.000"
"H.B. Studios Multimedia Limited","PGA Tour 2K21","B","1069270","2020-01-29T00:00:00.000"
"H.B. Studios Multimedia Limited","WWE 2K20","B","980821","2020-01-29T00:00:00.000"
"Vesuvius Media Ltd.","Atlantean World V1","B","29716","2020-02-03T00:00:00.000"
"MediaSpark Incorporated","GoVenture Entrepreneur","B","3347","2020-02-21T00:00:00.000"
"MediaSpark Incorporated","GoVenture Leader","B","25518","2020-02-21T00:00:00.000"
"MediaSpark Incorporated","GoVenture Typing","B","5428","2020-02-21T00:00:00.000"
"MediaSpark Incorporated","GoVenture Life & Money","B","29021","2020-02-21T00:00:00.000"
"3320304 Nova Scotia Limited","The Messenger: 18 Century Harbour Experience at Fortress of Louisbourg","B","71632","2020-02-27T00:00:00.000"
"Current Studios Inc.","VR Pinata","B","37491","2019-02-05T00:00:00.000"
"Lixar IT Inc.","APBA GO Baseball","B","143228","2020-03-06T00:00:00.000"
"Cacheflo Inc.","Cacheflo","B","70854","2020-03-06T00:00:00.000"
"Lixar IT Inc.","APBA GO Baseball 2.0.10","B","34208","2020-03-25T00:00:00.000"
"Bluedrop Training & Simulation Inc.","AOPS VSM","B","172086","2020-03-25T00:00:00.000"
"Ubisoft Divertissements Inc.","Tom Clancy's Elite Squad V1","B","10993","2020-04-08T00:00:00.000"
"Ubisoft Divertissements Inc.","War Odyssey : Gods & Heroes V1","B","10244","2020-04-08T00:00:00.000"
"Ubisoft Divertissements Inc.","War Beasts V1","B","1017","2020-04-08T00:00:00.000"
"Ubisoft Divertissements Inc.","Hungry Shark Heroes V1","B","23459","2020-04-08T00:00:00.000"
"Ubisoft Divertissements Inc.","Tom Clancy's The Division 2 V1","B","5230","2020-04-08T00:00:00.000"
"Ubisoft Divertissements Inc.","Wild Call V1","B","4308","2020-04-08T00:00:00.000"
"Ubisoft Divertissements Inc.","Tom Clancy's Shadowbreak V2","B","221977","2020-04-08T00:00:00.000"
"Ubisoft Divertissements Inc.","Rainbow Six Siege Mobile V1","B","664276","2020-04-08T00:00:00.000"
"Ubisoft Divertissements Inc.","Hungry Shark World V2","B","5085","2020-04-08T00:00:00.000"
"Ubisoft Divertissements Inc.","Assassin's Creed Rebellion V2","B","137525","2020-04-08T00:00:00.000"
"Ubisoft Divertissements Inc.","Assassin's Creed Rebellion V1","B","22577","2020-04-08T00:00:00.000"
"Ubisoft Divertissements Inc.","Mighty Quest for Epic Loot V1","B","14076","2020-04-08T00:00:00.000"
"Ubisoft Divertissements Inc.","South Park Phone Destroyer V1","B","22111","2020-04-08T00:00:00.000"
"REDspace Inc.","Project Studio: Word Play!","B","71578","2020-04-14T00:00:00.000"
"REDspace Inc.","Potty Time With Elmo","B","9936","2020-04-14T00:00:00.000"
"REDspace Inc.","Marvel's Incredible Hulk: Chitauri Takedown","B","5738","2020-04-14T00:00:00.000"
"REDspace Inc.","HTML 5 Game Engines","B","17854","2020-04-14T00:00:00.000"
"REDspace Inc.","Sunny Feelings, Stormy Feelings","B","11254","2020-04-14T00:00:00.000"
"REDspace Inc.","Potty Party Game","B","3806","2020-04-14T00:00:00.000"
"Silverback Productions Inc.","Horizon VR 2019","B","188969","2020-04-17T00:00:00.000"
"Silverback Productions Inc.","Pristine VR, Module 1-4","B","55206","2020-04-17T00:00:00.000"
"Lockheed Martin Canada Inc.","HCM Operator Trainers and CBT","B","411911","2020-04-22T00:00:00.000"
"Hothead Holdings Inc.","Mighty Battles","B","86907","2020-05-01T00:00:00.000"
"Hothead Games Inc.","Mighty Battles","B","430104","2020-05-01T00:00:00.000"
"Red Meat Games Inc.","Bring to Light AR","A","19313","2020-05-12T00:00:00.000"
"Red Meat Games Inc.","Mixed Tape Crusader","A","428863","2020-05-12T00:00:00.000"
"Red Meat Games Inc.","Project Dark","A","284875","2020-05-12T00:00:00.000"
"3304744 Nova Scotia Limited","Cat & Mouse Racing","A","68478","2020-05-26T00:00:00.000"
"3262528 Nova Scotia Limited","Children’s Music Journey Vol. 1 Version 4-Unity for iOS/Android/Win/Mac","B","27709","2020-05-28T00:00:00.000"
"Popreach Incorporated","Click Park: Idle Building Roller Coaster Game!","B","73955","2020-06-18T00:00:00.000"
"Popreach Incorporated","Mega Jump Infinite","B","39083","2020-06-18T00:00:00.000"
"Popreach Incorporated","Sea Stars HD","B","64444","2020-06-18T00:00:00.000"
"Popreach Incorporated","Zombie Beach Party","B","119080","2020-06-18T00:00:00.000"
"Current Studios Inc.","Trade Skill Exploration Experience","B","108973","2020-06-18T00:00:00.000"
"Lixar IT Inc.","APBA GO Baseball 2.0.10","B","4274","2020-06-24T00:00:00.000"
"Lockheed Martin Canada Inc.","CIWS 1B Baseline 2 Visual Interactive Simulation Training App","B","20253","2020-08-05T00:00:00.000"
"Lockheed Martin Canada Inc.","Chile CMS Training Applications","B","3887","2020-08-05T00:00:00.000"
"Lockheed Martin Canada Inc.","AOPS Visual Interactive Simulation Training Applications","B","38107","2020-08-05T00:00:00.000"
"3304744 Nova Scotia Limited","Travel Back in Time to Kun’tewiktuk","B","58211","2020-08-07T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Ninja Golf","B","22909","2020-08-07T00:00:00.000"
"ZeniMax Halifax Ltd.","Project Halifax","A","631538","2020-09-01T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Fable Age Retold","B","98397","2020-09-09T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Brig 12","B","19525","2020-09-18T00:00:00.000"
"3304744 Nova Scotia Limited","Race the HD-4 on the Bras d'Or","B","22511","2020-09-18T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Virtual Villagers Origins 2 - Version 2","B","62839","2020-09-18T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Virtual Families Cook Off (Version 2)","B","92144","2020-09-18T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Virtual Families 3","B","108849","2020-09-18T00:00:00.000"
"Current Studios Inc.","Aurelia Fish Experience","B","171774","2020-10-14T00:00:00.000"
"Hutch Games Canada Limited","Top Drives","B","19920","2020-10-15T00:00:00.000"
"Hutch Games Canada Limited","Rebel Racing","B","12535","2020-10-15T00:00:00.000"
"Hutch Games Canada Limited","MMX Hill Dash","B","3774","2020-10-15T00:00:00.000"
"Hutch Games Canada Limited","Hot Wheels: Race Off","B","8904","2020-10-15T00:00:00.000"
"Hutch Games Canada Limited","MMX Hill Dash 2","B","21562","2020-10-15T00:00:00.000"
"Bluedrop Training & Simulation Inc.","CCAA - Trouble Shooting and Analytical Thinking","B","27361","2020-10-22T00:00:00.000"
"Bluedrop Training & Simulation Inc.","Arctic Offshore Patrol Ships PI Phase II","B","163086","2020-10-22T00:00:00.000"
"Bluedrop Training & Simulation Inc.","OFSV ILS Training Development","B","134302","2020-10-22T00:00:00.000"
"Bluedrop Training & Simulation Inc.","FAM-00002: TAPV","B","252754","2020-11-10T00:00:00.000"
"Departure Interactive Inc.","Bartender Hustle","B","39256","2020-12-29T00:00:00.000"
"Kinduct Technologies Inc","Virtual Coach 2019","B","1998683","2020-12-31T00:00:00.000"
"Hothead Games Inc.","Box Office Tycoon","B","47219","2021-01-14T00:00:00.000"
"Hothead Games Inc.","Idle Property Manager Tycoon","B","263307","2021-01-14T00:00:00.000"
"Red Meat Games Inc.","Sentience","B","52942","2021-01-19T00:00:00.000"
"Red Meat Games Inc.","Bring to Light AR","B","23008","2021-01-19T00:00:00.000"
"Red Meat Games Inc.","Cube Samurai: Run Squared","B","16747","2021-01-19T00:00:00.000"
"Popreach Incorporated","Idle Bowling Tycoon","B","31425","2021-01-19T00:00:00.000"
"Popreach Incorporated","Sea Stars: World Rescue","B","114580","2021-01-19T00:00:00.000"
"Red Meat Games Inc.","Mixed Tape Crusader","B","75386","2021-01-19T00:00:00.000"
"Red Meat Games Inc.","Bring to Light","B","24849","2021-01-19T00:00:00.000"
"Bluedrop Training & Simulation Inc.","FAM-00012: CH149 HMTS","B","156268","2021-01-25T00:00:00.000"
"Bluedrop Training & Simulation Inc.","External Load Rescue Hoist Simulator","B","167777","2021-02-04T00:00:00.000"
"Gopokyo Inc.","Card Saga (Working Title)","B","35296","2021-02-18T00:00:00.000"
"Hothead Games Inc.","Idle Property Manager Tycoon","B","263307","2021-01-14T00:00:00.000"
"Hothead Games Inc.","Box Office Tycoon","B","47219","2021-01-14T00:00:00.000"
"H.B. Studios Multimedia Limited","PGA Tour 2K21","B","1249069","2021-03-18T00:00:00.000"
"H.B. Studios Multimedia Limited","PGA Tour 2K23","B","85683","2021-03-18T00:00:00.000"
"H.B. Studios Multimedia Limited","WWE 2K22","B","369644","2021-03-18T00:00:00.000"
"Cacheflo Inc.","Cacheflo","B","44109","2021-03-18T00:00:00.000"
"MediaSpark Incorporated","GoVenture Entrepreneur","B","49774","2021-03-23T00:00:00.000"
"Current Studios Inc.","Inside Track","B","117704","2021-04-15T00:00:00.000"
"3320304 Nova Scotia Limited","The Messenger: 18 Century Harbour Experience at Fortress of Louisbourg","B","14253","2021-05-02T00:00:00.000"
"REDSpace Inc.","Sesame Family Play App","B","7725","2021-05-05T00:00:00.000"
"REDSpace Inc.","Eko - Will You Survive","B","10539","2021-05-05T00:00:00.000"
"REDSpace Inc.","Idle City","B","1546","2021-05-05T00:00:00.000"
"REDSpace Inc.","Sloth Swing","B","1320","2021-05-05T00:00:00.000"
"REDspace Inc.","Sunny Feelings, Stormy Feelings","B","574","2021-05-05T00:00:00.000"
"REDspace Inc.","Potty Party Game","B","10016","2021-05-05T00:00:00.000"
"Kinduct Technologies Inc","Virtual Coach 2019","B","318217","2021-05-13T00:00:00.000"
"Bluedrop Training & Simulation Inc.","IMPACTS","B","19514","2021-07-02T00:00:00.000"
"Binogi Studios Ltd","Binogi","B","425942","2021-07-07T00:00:00.000"
"Vesuvius Media Ltd.","Centauri Saga V2 – Alpha Centauri Expansion","A","39129","2021-08-06T00:00:00.000"
"Huminah Huminah Animation Ltd","Math Hero","B","124849","2021-08-10T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Virtual Families Cook Off (Version 2)","B","187564","2021-08-21T00:00:00.000"
"Lockheed Martin Canada Inc.","CSCS SMPT Visual Interactive Simulation Training Applications","B","52840","2021-08-26T00:00:00.000"
"Lockheed Martin Canada Inc.","AOPS Visual Interactive Simulation Training Applications","B","41702","2021-08-26T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Virtual Families 3","B","43524","2021-08-26T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Fable Age Retold","B","1971","2021-08-26T00:00:00.000"
"Lockheed Martin Canada Inc.","Chile CMS Training Applications","B","134189","2021-08-26T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Virtual Families 3 - Version 2","B","144852","2021-09-21T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Virtual Villagers Origins 2 - Version 2","B","68837","2021-10-05T00:00:00.000"
"Ubisoft Divertissements Inc.","Horse Haven World Adventure","B","6037","2021-10-15T00:00:00.000"
"Ubisoft Divertissements Inc.","South Park Phone Destroyer V2","B","13636","2021-10-15T00:00:00.000"
"Ubisoft Divertissements Inc.","South Park Phone Destroyer V1","B","6580","2021-10-15T00:00:00.000"
"Ubisoft Divertissements Inc.","Tom Clancy's Elite Squad V2","B","9532","2021-10-15T00:00:00.000"
"Ubisoft Divertissements Inc.","Tom Clancy's Elite Squad V1","B","56676","2021-10-15T00:00:00.000"
"Ubisoft Divertissements Inc.","Hungry Shark World V3","B","11702","2021-10-15T00:00:00.000"
"Ubisoft Divertissements Inc.","Assassin's Creed Rebellion V2","B","632340","2021-10-15T00:00:00.000"
"Ubisoft Divertissements Inc.","War Beasts V1","B","12901","2021-10-15T00:00:00.000"
"Ubisoft Divertissements Inc.","Immortals Fenyx Rising","B","14239","2021-10-15T00:00:00.000"
"Ubisoft Divertissements Inc.","Rainbow Six Siege Mobile V1","B","627531","2021-10-15T00:00:00.000"
"Ubisoft Divertissements Inc.","Scout","B","3071","2021-10-15T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Animal Haven","B","36709","2021-10-18T00:00:00.000"
"Hutch Games Canada Limited","Rebel Racing","B","1783","2021-10-21T00:00:00.000"
"Hutch Games Canada Limited","Top Drives","B","7639","2021-10-21T00:00:00.000"
"Hutch Games Canada Limited","Hot Wheels: Race Off","B","5046","2021-10-21T00:00:00.000"
"Hutch Games Canada Limited","MMX Hill Dash 2","B","23083","2021-10-21T00:00:00.000"
"Vesuvius Media Ltd.","Centauri Saga V2 – Alpha Centauri Expansion","B","39129","2021-11-29T00:00:00.000"
"Red Meat Games Inc.","Sentience","B","113091","2021-12-15T00:00:00.000"
"Red Meat Games Inc.","Sentience","B","75354","2021-12-15T00:00:00.000"
"3304744 Nova Scotia Limited","Travel Back in Time to Kun’tewiktuk","B","51903","2021-12-16T00:00:00.000"
"3304744 Nova Scotia Limited","Cat & Mouse Racing","B","27135","2021-12-16T00:00:00.000"
"Red Meat Games Inc.","Project Dark","B","9939","2022-01-26T00:00:00.000"
"Red Meat Games Inc.","Project Dark","B","6302","2022-01-26T00:00:00.000"
"Hothead Games Inc.","Tasty Tycoon","B","95718","2022-02-10T00:00:00.000"
"Hothead Games Inc.","Box Office Tycoon","B","172817","2022-02-10T00:00:00.000"
"ZeniMax Halifax Ltd.","Mighty DOOM V1","B","147921","2022-02-16T00:00:00.000"
"ZeniMax Halifax Ltd.","Mighty DOOM V1","B","84898","2022-02-16T00:00:00.000"
"ZeniMax Halifax Ltd.","Mighty DOOM V1","B","505274","2022-02-16T00:00:00.000"
"ZeniMax Halifax Ltd.","Mighty DOOM V1","B","72882","2022-02-16T00:00:00.000"
"3304744 Nova Scotia Limited","A Mi'kmaw Adventure","A","488486","2022-03-24T00:00:00.000"
"Tranquility Online Inc.","Tranquility App","A","148608","2022-04-01T00:00:00.000"
"MediaSpark Incorporated","GoVenture Entrepreneur","B","62074","2022-05-09T00:00:00.000"
"MediaSpark Incorporated","GoVenture CEO","B","16600","2022-05-09T00:00:00.000"
"MediaSpark Incorporated","GoVenture Health","B","9268","2022-05-09T00:00:00.000"
"Blue House Energy Retrofit and Training inc.","Net Zero Energy for Built Green Canada V1","B","31804","2022-05-18T00:00:00.000"
"Conquer Experience Inc","PeriopSim Pediatric Cardiac ByPass","A","16090","2022-06-06T00:00:00.000"
"9364682 Canada Inc.","Puppet Academy","A","101095","2022-06-07T00:00:00.000"
