"waterbody","station","lease","latitude","longitude","deployment_period","timestamp","sensor","depth","variable","value","units","mooring"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T07:42:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T07:52:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T08:02:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T08:12:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T08:22:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T08:33:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T08:43:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T08:53:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T09:03:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T09:13:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T09:23:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T09:34:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T09:44:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T09:54:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T10:04:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T10:14:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T10:24:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T10:34:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
