"waterbody","station","lease","latitude","longitude","deployment_period","timestamp","sensor","depth","variable","value","units","mooring"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T06:28:00.000","aquaMeasure-680322","1.3","Salinity","31.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T06:38:00.000","aquaMeasure-680322","1.3","Salinity","32.1","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T06:48:00.000","aquaMeasure-680322","1.3","Salinity","32.2","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T06:58:00.000","aquaMeasure-680322","1.3","Salinity","32.2","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T07:08:00.000","aquaMeasure-680322","1.3","Salinity","31.6","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T07:18:00.000","aquaMeasure-680322","1.3","Salinity","32","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T07:28:00.000","aquaMeasure-680322","1.3","Salinity","31.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T07:38:00.000","aquaMeasure-680322","1.3","Salinity","31.6","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T07:48:00.000","aquaMeasure-680322","1.3","Salinity","31.6","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T07:58:00.000","aquaMeasure-680322","1.3","Salinity","31.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T08:08:00.000","aquaMeasure-680322","1.3","Salinity","31.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T08:18:00.000","aquaMeasure-680322","1.3","Salinity","31.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T08:28:00.000","aquaMeasure-680322","1.3","Salinity","31.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T08:38:00.000","aquaMeasure-680322","1.3","Salinity","31.7","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T08:48:00.000","aquaMeasure-680322","1.3","Salinity","32.1","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T08:58:00.000","aquaMeasure-680322","1.3","Salinity","32","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T09:08:00.000","aquaMeasure-680322","1.3","Salinity","31.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T09:18:00.000","aquaMeasure-680322","1.3","Salinity","31.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T09:28:00.000","aquaMeasure-680322","1.3","Salinity","31.5","practical salinity units","float"
