"the_geom","objectid","block_face","globalidte","globalid","globalid_1","ns_ew","street_1","from_sor_1","to_nore_1","side_1","location_i","total_sp_1","spaces_by_","space_reg","order_","metered","limits","reg_code","definition","enforce_be","enforce_en","enforce_da","meter_rate","permit_typ","notes","feet","enforcebeg","enforceend","parkingt","globalid_2","shape_len"
"MULTILINESTRING ((-122.26784783558792 37.80224479229544, -122.26696697068134 37.8019025917823))","129","731522","{3C5296D8-1E64-4F03-9C67-65E189F990C5}","{DD745828-40EE-49A7-BF92-F81CE7CB6F3B}","{DD745828-40EE-49A7-BF92-F81CE7CB6F3B}_2","E-W","13th","ALICE","HARRISON","North","13th from ALICE to HARRISON , North","10.0","10.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"283.36230509","8:00 AM","6:00 PM","0","{C2856751-CB47-42FC-A747-3A19760ED941}","283.362243704"
"MULTILINESTRING ((-122.26531874078239 37.79936583525978, -122.26429773339952 37.79894764533955))","130","731528","{3B0E3BD7-4D24-406D-BFBE-69AE99DB1444}","{4CEAA506-F028-4FC6-BA1A-14FB0E57D4C6}","{4CEAA506-F028-4FC6-BA1A-14FB0E57D4C6}_","E-W","11th","MADISON","OAK","South","11th from MADISON to OAK , South","0.0","0.0","No Parking","0.0",,,,,,,,,,,"331.97920693",,,"0","{B23A3D1B-76B6-4FEF-9090-F5BE4D119658}","331.979164441"
"MULTILINESTRING ((-122.27377715519486 37.80269732131793, -122.27345554424973 37.80256626749829))","131","731530","{8294041C-76BD-4645-BD7A-94898ACA3BD4}","{151A327B-E729-436F-9A1B-10272B2CD7F8}","{151A327B-E729-436F-9A1B-10272B2CD7F8}_4","E-W","11th","CLAY","BROADWAY","South","11th from CLAY to BROADWAY , South","18.0","5.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"104.45517476","8:00 AM","6:00 PM","0","{CB8B6953-3F1D-4D92-98FC-00DA125C7617}","104.45526798"
"MULTILINESTRING ((-122.26229959494103 37.7998865066221, -122.26317771727751 37.80024601758196))","132","731543","{6958A259-C83A-4E1A-A3BC-83AEDAB3D638}","{4CB6CFDA-1915-4C55-8DD7-9A2C515F9ED9}","{4CB6CFDA-1915-4C55-8DD7-9A2C515F9ED9}_2","E-W","13th","OAK","FALLON","South","13th from OAK to FALLON , South","11.0","11.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"285.49176335","8:00 AM","6:00 PM","0","{AD8B03B6-F589-4976-92D8-CD3304C0207E}","285.491600411"
"MULTILINESTRING ((-122.27318697962461 37.8051872346994, -122.27276645771545 37.80501864471859))","133","731548","{B42B34B9-5E7F-4A27-91C4-D6B574203F34}","{5578A701-2BC2-4937-91F5-9DD6A88CA5A1}","{5578A701-2BC2-4937-91F5-9DD6A88CA5A1}_5","E-W","14th","BROADWAY","CLAY","North","14th from BROADWAY to CLAY , North","9.0","4.0","City Council Staff","5.0",,,,,,,,,,,"136.11915951",,,"0","{7EA6C512-C968-4E05-AF32-FF91FCC2640D}","136.11903206"
"MULTILINESTRING ((-122.27390839112533 37.80201529863208, -122.27343866838915 37.80183868182258))","134","731570","{B7CBEE05-6D86-4A6C-A0EC-37EC254233CF}","{76234D3D-04B0-4488-A5A7-96F26826E289}","{76234D3D-04B0-4488-A5A7-96F26826E289}_3","E-W","10th","BROADWAY","WASHINGTON","North","10th from BROADWAY to WASHINGTON , North","18.0","17.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"150.17706098","8:00 AM","6:00 PM","0","{56402616-1A23-4319-9A35-73B81C86E511}","150.177252131"
"MULTILINESTRING ((-122.27318417024811 37.80503203527852, -122.27201876830203 37.80456572081745))","135","731577","{1ED5E192-8BB5-48E2-9A1B-636C37BCEFF9}","{E016B798-D0D2-483C-B0A8-061ABCA19ECC}","{E016B798-D0D2-483C-B0A8-061ABCA19ECC}_2","E-W","14th","CLAY","BROADWAY","South","14th from CLAY to BROADWAY , South","2.0","0.0","No Parking","2.0",,,,,,,,,,,"377.08274807",,,"0","{A3B45F71-F504-4BE7-9017-0DFB8BCE8361}","377.082864002"
"MULTILINESTRING ((-122.26428583419394 37.80068490748949, -122.26353838819438 37.80039017329516))","136","731588","{A9811690-5112-4052-8BD0-E69759BBDA5C}","{8CE79BD0-6525-4661-98B2-E9CA72EC4AD2}","{8CE79BD0-6525-4661-98B2-E9CA72EC4AD2}_3","E-W","13th","MADISON","OAK","South","13th from MADISON to OAK , South","12.0","11.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"241.15006365","8:00 AM","6:00 PM","0","{F48CF0E5-A7B9-44EE-99B2-D2F32534DE03}","241.150248841"
"MULTILINESTRING ((-122.264217206307 37.80080983701832, -122.26369537096299 37.80060487391146))","137","731593","{274C905C-2762-4FAB-9A0F-7729D6F31F98}","{86E58FF2-C500-45F1-A451-0CC5D2B84301}","{86E58FF2-C500-45F1-A451-0CC5D2B84301}_2","E-W","13th","OAK","MADISON","North","13th from OAK to MADISON , North","7.0","7.0","Meter","2.0","Y","1-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"168.22991631","8:00 AM","6:00 PM","0","{93CDDAA2-AE31-4FAA-9BFB-6BAEF787494D}","168.229936391"
"MULTILINESTRING ((-122.26790737247192 37.80211504038583, -122.26719982081686 37.80184017343957))","138","731613","{429D92BE-4D82-47DC-83CE-E15D7DC520F8}","{80C72BE7-C2B5-4A1A-B765-7A7F0ED7B4C7}","{80C72BE7-C2B5-4A1A-B765-7A7F0ED7B4C7}_2","E-W","13th","HARRISON","ALICE","South","13th from HARRISON to ALICE , South","9.0","9.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"227.60931757","8:00 AM","6:00 PM","0","{4623775F-599A-4E33-9CD1-F37BCE0B5F92}","227.609260341"
"MULTILINESTRING ((-122.26497593641382 37.799437645884176, -122.26480781380629 37.79937969884819))","139","731627","{A6FE0A06-E57A-499C-892A-AC4E9BC34649}","{B529C85E-D5BB-4628-85E7-6F4B99AC917E}","{B529C85E-D5BB-4628-85E7-6F4B99AC917E}_5","E-W","11th","OAK","MADISON","North","11th from OAK to MADISON , North","10.0","2.0","Green Curb","5.0",,"12-min",,,,,,,,,"52.95989946",,,"0","{149234DF-D9C8-4DC8-A698-19137D1A4F03}","52.9598004462"
"MULTILINESTRING ((-122.274263071075 37.80305676628227, -122.27376269751235 37.80285718911186))","140","731641","{6A5494C3-532E-4180-8F35-68F91D3D134C}","{96BB6668-6B3D-4F9D-9F63-C917DB602D70}","{96BB6668-6B3D-4F9D-9F63-C917DB602D70}_4","E-W","11th","BROADWAY","CLAY","North","11th from BROADWAY to CLAY , North","24.0","8.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"161.80185784","8:00 AM","6:00 PM","0","{7136F212-7521-43B0-9723-F13BE65B2371}","161.801872706"
"MULTILINESTRING ((-122.26794967166651 37.799546786998796, -122.26810482088779 37.79960804761441))","141","130551","{3974CDE7-922D-4A04-BD36-4098B221F7F3}","{05D10A5B-C3EE-4A6B-8675-0C1EA35C9E96}","{05D10A5B-C3EE-4A6B-8675-0C1EA35C9E96}_1","E-W","10th","ALICE","JACKSON","South","10th from ALICE to JACKSON , South","9.0","1.0","Meter","1.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"50.06979323","8:00 AM","6:00 PM","0","{AD4233AE-C070-4E68-B41D-28D9F01132DC}","50.0699527007"
"MULTILINESTRING ((-122.26776088196814 37.799470576952224, -122.26794899984485 37.79954518755499))","142","130551","{3974CDE7-922D-4A04-BD36-4098B221F7F3}","{05D10A5B-C3EE-4A6B-8675-0C1EA35C9E96}","{05D10A5B-C3EE-4A6B-8675-0C1EA35C9E96}_2","E-W","10th","ALICE","JACKSON","South","10th from ALICE to JACKSON , South","9.0","1.0","Yellow Curb","2.0",,,,,,,,,,,"60.76388891",,,"0","{7E25DEB0-C803-41A2-B60F-8B7882A39497}","60.7636900284"
"MULTILINESTRING ((-122.27319836205376 37.80174557738264, -122.27294614264304 37.80164811679573))","143","731570","{B7CBEE05-6D86-4A6C-A0EC-37EC254233CF}","{76234D3D-04B0-4488-A5A7-96F26826E289}","{76234D3D-04B0-4488-A5A7-96F26826E289}_1","E-W","10th","BROADWAY","WASHINGTON","North","10th from BROADWAY to WASHINGTON , North","18.0","1.0","Handicapped","1.0",,,,,,,,,,,"81.05244801",,,"0","{56CB6E73-F953-4875-AF7A-F10836F39532}","81.0524456501"
"MULTILINESTRING ((-122.26380319186114 37.798077162851826, -122.26338683093687 37.797915309769856))","144","129875","{6EE5047C-D545-4B69-9515-EEF8E6426B0E}","{1D060CE0-DB17-446C-BD7F-5550D5832855}","{1D060CE0-DB17-446C-BD7F-5550D5832855}_1","E-W","10th","FALLON","OAK","North","10th from FALLON to OAK , North","11.0","4.0","Yellow Curb","1.0",,,,,,,,,,,"133.96033181",,,"0","{00B26695-8601-4685-A2ED-FAC42A0BEFF5}","133.960238011"
"MULTILINESTRING ((-122.26559892100595 37.80206195460915, -122.26631415320959 37.802340686672466))","56","131780","{6BC8EA15-50B2-4F0F-A6B4-D02A50E4E780}","{629111DA-5988-47A2-8908-047C176422A2}","{629111DA-5988-47A2-8908-047C176422A2}_2","E-W","14th","ALICE","JACKSON","South","14th from ALICE to JACKSON , South","8.0","8.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"230.22091676","8:00 AM","6:00 PM","0","{B5FBFA38-3466-499F-BEB8-C2E112E10014}","230.220732085"
"MULTILINESTRING ((-122.27084924431973 37.80229498460608, -122.27106744276496 37.80195133141792))","57","131786","{E83937A9-3502-4EDD-8B67-2559C6E8547B}","{280DA9E8-4B7E-490D-AED9-4F51161EFE78}","{280DA9E8-4B7E-490D-AED9-4F51161EFE78}_2","N-S","FRANKLIN","11th","12th","East","FRANKLIN from 11th to 12th , East","8.0","6.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"140.11514106","8:00 AM","6:00 PM","0","{B2306447-60A0-417F-BC61-180C1B8709FB}","140.11493171"
"MULTILINESTRING ((-122.26983471061664 37.802008906877425, -122.27030711417278 37.802193633573204))","58","131787","{7A218DB7-A44B-4F81-93EB-679DE990DBCB}","{E34DD688-AE08-40AF-85D6-71984B96F257}","{E34DD688-AE08-40AF-85D6-71984B96F257}_4","E-W","12th","FRANKLIN","WEBSTER ST","South","12th from FRANKLIN to WEBSTER ST , South","13.0","7.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"152.15959896","8:00 AM","6:00 PM","0","{8F28456A-C7AF-4A05-B8F2-0F67ACBD0430}","152.159392801"
"MULTILINESTRING ((-122.27426159961777 37.80199862125562, -122.27527498813235 37.80241138506969))","59","131799","{ADFAFF68-513D-4CDD-9865-943B31710736}","{FD0F9D59-D6DF-4973-9129-1CCED1E5908E}","{FD0F9D59-D6DF-4973-9129-1CCED1E5908E}_","E-W","10th","CLAY","WASHINGTON","South","10th from CLAY to WASHINGTON , South","8.0","8.0","Meter","0.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"329.1069478","8:00 AM","6:00 PM","0","{9D69733B-553E-4496-900B-4EEACDDE2955}","329.10703101"
"MULTILINESTRING ((-122.26688568523073 37.801933812769875, -122.26658213534361 37.802394483648975))","60","131810","{D1A8B257-9424-4652-A3DF-997A912709D2}","{A657C77D-1657-45C3-B6BE-74AD802C9405}","{A657C77D-1657-45C3-B6BE-74AD802C9405}_2","N-S","ALICE","14th","13th","West","ALICE from 14th to 13th , West","9.0","9.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"189.28377363","8:00 AM","6:00 PM","0","{901A3DBE-8525-4724-AC03-8EF83594A133}","189.283780957"
"MULTILINESTRING ((-122.271277803868 37.80192257122441, -122.27120316331393 37.80204201692228))","61","131814","{21069A25-F1D8-4F58-A1C3-EA2FEFD592FA}","{2F329B46-5A3F-4E9B-AC76-B75E74593467}","{2F329B46-5A3F-4E9B-AC76-B75E74593467}_2","N-S","FRANKLIN","12th","11th","West","FRANKLIN from 12th to 11th , West","6.0","2.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"48.54554826","8:00 AM","6:00 PM","0","{68DF5AF8-88FA-45DE-8D24-2E1AD4A93DAB}","48.545637226"
"MULTILINESTRING ((-122.26621736263392 37.80245594048807, -122.26556199666453 37.802200539012276))","62","131842","{E8FA6DA3-15F5-4BE3-9DED-8A67B6A74CEE}","{C0AA4B42-48CF-4D22-BCC4-1465A7A40505}","{C0AA4B42-48CF-4D22-BCC4-1465A7A40505}_2","E-W","14th","JACKSON","ALICE","North","14th from JACKSON to ALICE , North","9.0","9.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"210.95055352","8:00 AM","6:00 PM","0","{498B40A4-28A9-4084-856E-7BFB9D4A105E}","210.950515874"
"MULTILINESTRING ((-122.27028352088456 37.80233906672863, -122.27017068144339 37.80229508217064))","63","131846","{4AFE928F-A449-45DA-BFD9-647437FC6325}","{D85ABC0C-5082-4890-8142-69F0B6278576}","{D85ABC0C-5082-4890-8142-69F0B6278576}_3","E-W","12th","WEBSTER","FRANKLIN","North","12th from WEBSTER to FRANKLIN , North","9.0","2.0","Yellow Curb","3.0",,,,,,,,,,,"36.32279743","8:00 AM","6:00 PM","0","{6DA14221-5CD2-435C-B38C-226838FB9703}","36.3226128728"
"MULTILINESTRING ((-122.27454970949097 37.80227031399905, -122.27410643591108 37.802089762865705))","64","131859","{B6AE758F-5153-4795-8AFA-31FF351BF0B3}","{260327B2-A8F7-4EB8-A743-E05350A8F0E1}","{260327B2-A8F7-4EB8-A743-E05350A8F0E1}_3","E-W","10th","WASHINGTON","CLAY","North","10th from WASHINGTON to CLAY , North","15.0","0.0","No Parking","3.0",,,,,,,,,,,"143.9573434",,,"0","{7796B22C-B738-4F0D-A83E-6287C497580F}","143.957307427"
"MULTILINESTRING ((-122.26931323505498 37.802410925009546, -122.26941466757476 37.80223820790825))","65","131895","{781F8EA8-267E-4FF5-9D32-0477B575492A}","{7C89F8F2-0F3E-471C-B8D1-741C4017F376}","{7C89F8F2-0F3E-471C-B8D1-741C4017F376}_3","N-S","WEBSTER","12th","13th","East","WEBSTER from 12th to 13th , East","9.0","3.0","Yellow Curb","3.0",,,,,,,,,,,"69.38295527",,,"0","{0006FC92-D2CB-49B9-BE74-1AB51567D8FE}","69.3829403485"
"MULTILINESTRING ((-122.26824445770363 37.80224538510564, -122.26868628426139 37.80241421480631))","66","131896","{3AF00BF1-98F0-4342-9D9E-576B83A8CCBB}","{1F387C7C-8469-4118-AC8D-877A38CA7001}","{1F387C7C-8469-4118-AC8D-877A38CA7001}_4","E-W","13th","WEBSTER ST","HARRISON","South","13th from WEBSTER ST to HARRISON , South","13.0","7.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"141.68198448","8:00 AM","6:00 PM","0","{D277AC93-ADFD-4565-BF6C-EFC4FF22181F}","141.681906643"
"MULTILINESTRING ((-122.2695687555572 37.802307167893005, -122.26934649260755 37.80267161809996))","67","131933","{0738A5E1-5E8A-49B8-968C-F6F83DC21E49}","{DDDB633D-4FEF-461F-91CC-EAE7A40C9AF2}","{DDDB633D-4FEF-461F-91CC-EAE7A40C9AF2}_2","N-S","WEBSTER","13th","12th","West","WEBSTER from 13th to 12th , West","3.0","0.0","No Parking","2.0",,,,,,,,,,,"147.42493723",,,"0","{9B5C3FD5-2633-40B7-8EDF-9227E7A3D6CE}","147.424917566"
"MULTILINESTRING ((-122.26875081196266 37.80259971556751, -122.26849683977852 37.80249419540118))","68","131947","{5922EAC8-6042-403F-A1CE-E8FCCCC50CFA}","{F6683742-AE00-4F97-B928-25B3A57050ED}","{F6683742-AE00-4F97-B928-25B3A57050ED}_3","E-W","13th","HARRISON","WEBSTER","North","13th from HARRISON to WEBSTER , North","11.0","3.0","Yellow Curb","3.0",,,,,,,,,,,"82.82723925","8:00 AM","6:00 PM","0","{41223C2A-401A-41AD-A370-75242944FD2C}","82.8271628344"
"MULTILINESTRING ((-122.26756918016329 37.80283028325251, -122.26765926203184 37.8026986993813))","69","131990","{5F73B58D-4607-4A9F-BE44-E3D86A7BC19E}","{41823C15-5797-4C4E-AE49-956FA787D26B}","{41823C15-5797-4C4E-AE49-956FA787D26B}_5","N-S","HARRISON","13th","14th","East","HARRISON from 13th to 14th , East","7.0","0.0","No Parking","5.0",,,,,,,,,,,"54.52491434",,,"0","{AEE9F296-8BDF-4F0F-A017-90F70A7B8E8F}","54.5249875793"
"MULTILINESTRING ((-122.26682075009644 37.8025410616028, -122.26710768395573 37.80265041262701))","70","131991","{5EAF266D-1E3F-4AF0-88CA-CB661D56462C}","{ED08AA47-31CC-4CA8-8E0C-F31B58797D02}","{ED08AA47-31CC-4CA8-8E0C-F31B58797D02}_3","E-W","14th","HARRISON","ALICE","South","14th from HARRISON to ALICE , South","13.0","4.0","White Curb","3.0",,,,,,,,,,,"91.96582271","8:00 AM","6:00 PM","0","{7C7DB835-7CE3-41A1-9C0A-D81BAB809649}","91.9657160972"
"MULTILINESTRING ((-122.27201577086787 37.802852680619345, -122.272359567706 37.802292636826))","71","132000","{DB1E96B7-696A-4076-922C-E5704BB0204C}","{B00D1C6A-8AD2-4E0B-81D5-D9240D593BFB}","{B00D1C6A-8AD2-4E0B-81D5-D9240D593BFB}_","N-S","BROADWAY","11th","12th","East","BROADWAY from 11th to 12th , East","0.0","0.0","No Parking","0.0",,,,,,,,,,,"226.82878646",,,"0","{54336151-B63B-403E-A3F0-488ACAF3C676}","226.828904493"
"MULTILINESTRING ((-122.27095144121542 37.80244483729373, -122.27127866007676 37.8025702262978))","72","132001","{B25F5831-C38E-4BA1-8126-01253C651FBC}","{A375E240-A677-4724-94D9-A2FA2800E254}","{A375E240-A677-4724-94D9-A2FA2800E254}_3","E-W","12th","BROADWAY","FRANKLIN","South","12th from BROADWAY to FRANKLIN , South","6.0","0.0","No Parking","3.0",,,,,,,,,,,"104.98590046",,,"0","{EB2E828D-5704-4C33-9A7D-D1EFF36FA8CB}","104.98591633"
"MULTILINESTRING ((-122.27542960940679 37.80247304337062, -122.27582506226969 37.80262739038156))","73","132008","{8E721F89-C678-4966-B23A-1032B3D394C1}","{640FFE94-7C12-4E19-AAB5-7559ECCE5790}","{640FFE94-7C12-4E19-AAB5-7559ECCE5790}_3","E-W","10th","JEFFERSON","CLAY","South","10th from JEFFERSON to CLAY , South","0.0","5.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour","J",,"127.3266632","8:00 AM","6:00 PM","0","{0AC0DA0B-C4B7-4A7C-ADB5-9ABB702DCF23}","127.326731558"
"MULTILINESTRING ((-122.26810057180701 37.802342794863755, -122.26782683067309 37.802741887570704))","74","132017","{BFEE397A-792A-4AEE-BE24-2C22751C1E32}","{ABB2F09C-DAA1-443F-A904-303B7429C079}","{ABB2F09C-DAA1-443F-A904-303B7429C079}_2","N-S","HARRISON","14th","13th","West","HARRISON from 14th to 13th , West","7.0","7.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"165.44615157","8:00 AM","6:00 PM","0","{5ABD89F6-FCBD-4029-AFC9-092CE16426ED}","165.44617271"
"MULTILINESTRING ((-122.27251472799512 37.802353439189055, -122.27217100746223 37.802913359733914))","75","132026","{3486AE01-B1D0-4F5A-8462-09E7886D14BA}","{CD380A74-8393-4969-B645-955BD833A0E6}","{CD380A74-8393-4969-B645-955BD833A0E6}_","N-S","BROADWAY","12th","11th","West","BROADWAY from 12th to 11th , West","0.0","0.0","Bus Stop","0.0",,,,,,,,,,,"226.77886379",,,"0","{1742E5B1-B660-4A9C-AA8D-01BBFC0BDFDC}","226.778871158"
"MULTILINESTRING ((-122.26748988407171 37.80295235471478, -122.26722293902178 37.80284952793398))","76","132050","{1B537ABD-E787-4268-808F-7343C6B70E03}","{9AA8A7F3-D73B-47E8-9711-BA0A1BF606DE}","{9AA8A7F3-D73B-47E8-9711-BA0A1BF606DE}_5","E-W","14th","ALICE","HARRISON","North","14th from ALICE to HARRISON , North","9.0","0.0","Bus Stop","5.0",,,,,,,,,,,"85.7320241",,,"0","{74F6A9FF-8709-40E0-B5EC-BD8D684EF0FF}","85.7319264749"
"MULTILINESTRING ((-122.27136877987385 37.80275723923546, -122.27091747336955 37.80258430102572))","77","132058","{3D05AB1D-2F3B-4988-8361-5D9A216FF563}","{7C15931E-DA26-4B6E-8618-B8D84F170538}","{7C15931E-DA26-4B6E-8618-B8D84F170538}_2","E-W","12th","FRANKLIN","BROADWAY","North","12th from FRANKLIN to BROADWAY , North","9.0","7.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"144.79800439","8:00 AM","6:00 PM","0","{DD821774-C868-44A1-8829-11731D4F5113}","144.798213181"
"MULTILINESTRING ((-122.27639082107567 37.803001223054636, -122.27535273416008 37.80259605716234))","78","132061","{85EC3564-46AF-4CCE-AECE-781EAE69D790}","{E0287A9D-C5ED-4507-9228-F2160DC49222}","{E0287A9D-C5ED-4507-9228-F2160DC49222}_","E-W","10th","CLAY","JEFFERSON","North","10th from CLAY to JEFFERSON , North","18.0","18.0","Unmarked","0.0",,,,,,,,,,,"334.23880318",,,"0","{4374B1FD-7435-45D4-A6B2-EE4D20A5F85A}","334.238576409"
"MULTILINESTRING ((-122.270374305622 37.80307370668491, -122.27054494850982 37.80279414426012))","79","132094","{1EF76F08-58FE-4DA3-A8AD-C28019300363}","{EA61F177-929F-4935-A2D2-FE700921A27B}","{EA61F177-929F-4935-A2D2-FE700921A27B}_5","N-S","FRANKLIN","12th","13th","East","FRANKLIN from 12th to 13th , East","8.0","4.0","Alameda County Placards Only","5.0",,,,,,,,,,,"113.10552932",,,"0","{CFED07A6-9B6D-481B-B2B9-3884FDD91655}","113.105382528"
"MULTILINESTRING ((-122.26945955599193 37.802715560432524, -122.26982016740797 37.80285570948348))","80","132095","{FCB228FF-762E-403C-A750-DC39313C7C88}","{60223DF7-B5C1-4F0B-9B28-6FC980A1CD4E}","{60223DF7-B5C1-4F0B-9B28-6FC980A1CD4E}_5","E-W","13th","FRANKLIN","WEBSTER ST","South","13th from FRANKLIN to WEBSTER ST , South","9.0","4.0","Meter","5.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"116.01227354","8:00 AM","6:00 PM","0","{29CD2E2D-DB3A-41E5-B0CF-44435DFCAAD9}","116.012153428"
"MULTILINESTRING ((-122.27075111214424 37.802771387773724, -122.27062042981936 37.8029854887098))","81","132116","{393C1C0A-2F12-4809-92BA-A80499F3E6EC}","{DED273A6-8FE5-4C70-A1C5-0EF4FC35137C}","{DED273A6-8FE5-4C70-A1C5-0EF4FC35137C}_4","N-S","FRANKLIN","13th","12th","West","FRANKLIN from 13th to 12th , West","7.0","4.0","Yellow Curb","4.0",,,,,,,,,,,"86.62094252",,,"0","{709F2A49-0092-42AC-8982-637136BF0852}","86.620560191"
"MULTILINESTRING ((-122.27001607204828 37.80308665376041, -122.26938871259023 37.80284122378367))","82","132142","{A46640EF-F5E7-42C7-899C-8D6E15A5E9EC}","{DE37C951-99CE-4FB6-86E6-B335A78F3325}","{DE37C951-99CE-4FB6-86E6-B335A78F3325}_2","E-W","13th","WEBSTER","FRANKLIN","North","13th from WEBSTER to FRANKLIN , North","10.0","10.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"202.0860106","8:00 AM","6:00 PM","0","{EDA6C387-3269-4CE0-8C8A-6F521DA3D491}","202.085924135"
"MULTILINESTRING ((-122.26880000595241 37.80323107731981, -122.26889669790854 37.80307753152182))","83","132184","{61ADD699-21E7-4C4E-9D08-859CEA5952F2}","{E6B4FFD2-8798-4296-9533-C4F2BB9F2BAE}","{E6B4FFD2-8798-4296-9533-C4F2BB9F2BAE}_4","N-S","WEBSTER","13th","14th","East","WEBSTER from 13th to 14th , East","7.0","4.0","Meter","4.0","Y","30-min",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"62.49990406","8:00 AM","6:00 PM","0","{445CACA1-B739-4C52-950E-3F84C42644D3}","62.5001575626"
"MULTILINESTRING ((-122.26841230236475 37.80316267454681, -122.26875716294775 37.803299111328776))","84","132185","{E2F978E5-CF94-4AB8-BA03-4A7674FAC285}","{C4C1A53F-DC62-4C95-B51D-513D42657732}","{C4C1A53F-DC62-4C95-B51D-513D42657732}_1","E-W","14th","WEBSTER ST","HARRISON","South","14th from WEBSTER ST to HARRISON , South","10.0","5.0","Meter","1.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"111.33303574","8:00 AM","6:00 PM","0","{1E2609B9-F712-403D-B5F7-A273DEFDD94D}","111.333093776"
"MULTILINESTRING ((-122.27662380754658 37.80294039892346, -122.27692064861327 37.80306105455814, -122.27709874869194 37.803133455945726, -122.2773334496908 37.803228855751286, -122.27765181511238 37.80335828355788))","85","132205","{9F95CE2E-DD9F-4E28-9677-B7C46DD38A0F}","{8804308E-7CED-4421-ACAD-1A7100DF1A80}","{8804308E-7CED-4421-ACAD-1A7100DF1A80}_","E-W","10th","MLK JR WAY","JEFFERSON","South","10th from MLK JR WAY to JEFFERSON , South","13.0","13.0","No Meter","0.0",,"2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Fri",,"J",,"333.71265382","8:00 AM","6:00 PM","0","{0248808F-87D2-4304-BB0E-B871813913CC}","333.712829519"
"MULTILINESTRING ((-122.269104896725 37.80305562335859, -122.26891222389726 37.80336007490037))","86","132206","{E0169EE8-6D50-4350-9EF6-94AFC3D11520}","{7F4F4156-358C-4E87-917B-91063C40FA06}","{7F4F4156-358C-4E87-917B-91063C40FA06}_1","N-S","WEBSTER","14th","13th","West","WEBSTER from 14th to 13th , West","3.0","0.0","No Parking","1.0",,,,,,,,,,,"124.04899058",,,"0","{7F8DFAD2-4AB1-4342-B323-B01E803D82B1}","124.048780808"
