"createdatetime","incidentnumber","address","city","lat","lon","calltype","race","gender","age","reason","enforcement","car_search"
"2020-09-22T08:48:03.000","2020-00043768","CEDAR ST / CORNELL AVE","BERKELEY","37.8755431881041","-122.291448715591","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-22T08:38:23.000","2020-00043763","CEDAR ST / FRANKLIN ST","BERKELEY","37.87627501427","-122.286159285324","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-22T08:30:49.000","2020-00043760","CEDAR ST / CORNELL AVE","BERKELEY","37.8755431881041","-122.291448715591","T","Hispanic","Male","30-39","Traffic","Citation","No Search"
"2020-09-22T08:22:01.000","2020-00043758","7TH ST / ASHBY AVE","BERKELEY","37.8510085539258","-122.291104027758","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-19T22:54:41.000","2020-00043431","GRIZZLY PEAK BLVD / ARCADE AVE","BERKELEY","37.8870925517924","-122.251319942639","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-19T22:09:48.000","2020-00043420","CEDAR ST / FRANKLIN ST","BERKELEY","37.87627501427","-122.286159285324","T","White","Female","30-39","Traffic","Citation","No Search"
"2020-09-19T21:35:17.000","2020-00043410","CEDAR ST / COMSTOCK CT","BERKELEY","37.8770658403716","-122.279582049608","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-18T10:08:43.000","2020-00043121","SAN PABLO AVE / MARIN AVE","ALBANY","37.8867444122128","-122.29777309295","T","Other","Female",">40","Traffic","Citation","No Search"
"2020-09-18T09:57:30.000","2020-00043118","ANTHONY ST / 7TH ST","BERKELEY","37.8522263089015","-122.291495435525","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-18T09:56:16.000","2020-00043117","SOLANO AVE / MASONIC AVE","ALBANY","37.8905823664241","-122.293560652278","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-18T09:49:16.000","2020-00043115","7TH ST / ANTHONY ST","BERKELEY","37.8522263089015","-122.291495435525","T","White","Male","18-29","Traffic","Citation","No Search"
"2020-09-18T09:36:00.000","2020-00043110","7TH ST / POTTER ST","BERKELEY","37.851514871299","-122.291270411224","T","Black","Male","18-29","Traffic","Warning","No Search"
"2020-09-18T08:11:19.000","2020-00043100","MARTIN LUTHER KING JR WAY / WARD ST","BERKELEY","37.8588580597348","-122.271596186469","T","Black","Female",">40","Traffic","Citation","No Search"
"2020-09-18T07:50:46.000","2020-00043098","MARTIN LUTHER KING JR WAY / ASHBY AVE","BERKELEY","37.8543163816344","-122.271084144582","T","White","Male","30-39","Traffic","Citation","Search"
"2020-09-18T07:41:30.000","2020-00043096","MARTIN LUTHER KING JR WAY / RUSSELL ST","BERKELEY","37.8561331555292","-122.271281679752","T","Black","Male",">40","Traffic","Citation","No Search"
"2020-09-18T07:41:30.000","2020-00043096","MARTIN LUTHER KING JR WAY / RUSSELL ST","BERKELEY","37.8561331555292","-122.271281679752","T","Asian","Male","30-39","Traffic","Citation","No Search"
"2020-09-18T07:30:32.000","2020-00043093","MARTIN LUTHER KING JR WAY / STUART ST","BERKELEY","37.8579641261226","-122.271495160134","T","Hispanic","Male",">40","Traffic","Citation","No Search"
"2020-09-18T07:29:43.000","2020-00043092","MARTIN LUTHER KING JR WAY / STUART ST","BERKELEY","37.8579641261226","-122.271495160134","T","Asian","Male","30-39","Traffic","Citation","No Search"
"2020-09-18T07:08:03.000","2020-00043091","7TH ST / POTTER ST","BERKELEY","37.851514871299","-122.291270411224","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-18T07:03:48.000","2020-00043089","POTTER ST / 7TH ST","BERKELEY","37.851514871299","-122.291270411224","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-17T10:45:32.000","2020-00042960","HOLLIS ST / 67TH ST","EMERYVILLE","37.84885214432","-122.292155266302","T","Asian","Male",">40","Traffic","Citation","No Search"
"2020-09-17T10:26:43.000","2020-00042955","HOLLIS 66/",,"-361","-361","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-17T10:13:18.000","2020-00042952","910 FOLGER AVE","BERKELEY","37.8499583653401","-122.289903507234","T","Hispanic","Male","30-39","Traffic","Citation","No Search"
"2020-09-17T10:10:38.000","2020-00042951","900 MURRAY ST","BERKELEY","37.850437075","-122.290384012","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-17T09:59:22.000","2020-00042947","FOLGER AVE / HOLLIS ST","BERKELEY","37.8497612705735","-122.292249969059","T","Hispanic","Male",">40","Traffic","Citation","No Search"
"2020-09-17T09:49:36.000","2020-00042944","MURRAY ST / 7TH ST","BERKELEY","37.85080699","-122.291036813","T","Hispanic","Male",">40","Traffic","Citation","No Search"
"2020-09-17T09:42:06.000","2020-00042943","67TH ST / HOLLIS ST","EMERYVILLE","37.84885214432","-122.292155266302","T","Hispanic","Female",">40","Traffic","Citation","No Search"
"2020-09-17T09:41:08.000","2020-00042942","HOLLIS ST / 65TH ST","EMERYVILLE","37.8467837478129","-122.2914800677","T","Hispanic","Male",">40","Traffic","Citation","No Search"
"2020-09-17T09:38:32.000","2020-00042941","9TH ST / ASHBY AVE","BERKELEY","37.8516158126794","-122.289369289088","T","Hispanic","Male","30-39","Traffic","Citation","No Search"
"2020-09-17T09:30:15.000","2020-00042939","67TH ST / SAN PABLO AVE","OAKLAND","37.8500981889009","-122.286015835385","T","White","Female","30-39","Traffic","Citation","No Search"
"2020-09-17T09:27:43.000","2020-00042938","66TH ST / HOLLIS ST","EMERYVILLE","37.8478134753914","-122.291818422295","T","Hispanic","Female","18-29","Traffic","Citation","No Search"
"2020-09-17T09:24:48.000","2020-00042937","ASHBY AVE / 7TH ST","BERKELEY","37.8510085539258","-122.291104027758","T","Hispanic","Male","30-39","Traffic","Citation","No Search"
"2020-09-17T09:09:47.000","2020-00042935","ASH/7TH",,"-361","-361","T","White","Female","30-39","Traffic","Citation","No Search"
"2020-09-16T16:54:32.000","2020-00042846","FOLGER AVE / 7TH ST","BERKELEY","37.8500589059194","-122.290783189701","T","Black","Male","30-39","Traffic","Citation","No Search"
"2020-09-16T16:40:51.000","2020-00042843","7THS T/POTTER ST",,"-361","-361","T","White","Male","18-29","Traffic","Citation","No Search"
"2020-09-16T16:24:47.000","2020-00042838","MURRAY ST / 7TH ST","BERKELEY","37.85080699","-122.291036813","T","Black","Female",">40","Traffic","Citation","No Search"
"2020-09-16T13:55:29.000","2020-00042818","2996 TELEGRAPH AVE","BERKELEY","37.856404467","-122.260124918","1194","White","Male",">40","Investigation","Warning","No Search"
"2020-09-16T10:56:26.000","2020-00042782","1750 SACRAMENTO ST","BERKELEY","37.873957336","-122.283287863","T","White","Male",">40","Traffic","Citation","No Search"
