"facility_address","month","fiscal_year","gas_cost","usage"
"855 26th Street","September","2010","232.87","137.21"
"855 26th Street","October","2010","989.45","1539.97"
"855 26th Street","November","2010","844.02","1329.04"
"855 26th Street","December","2011","5539.05","9484.42"
"855 26th Street","January","2011","5951.28","9588.18"
"855 26th Street","February","2011","6906.87","10988.01"
"2725 S. Sacramento","December","2006","66.64","23.35"
"2725 S. Sacramento","January","2006","51.72","14.01"
"2725 S. Sacramento","February","2006","225.53","132.34"
"2725 S. Sacramento","March","2006","48.75","14.05"
"2725 S. Sacramento","April","2006","125.27","82.06"
"2725 S. Sacramento","May","2006","28.17","0"
"2725 S. Sacramento","June","2006","143.74","101.99"
"2725 S. Sacramento","July","2006","28.71","0"
"2725 S. Sacramento","August","2006","237.16","211.16"
"2725 S. Sacramento","November","2006",,"10.54"
"2725 S. Sacramento","December","2007",,"52.7"
"2725 S. Sacramento","January","2007","105.69","174.33"
"2725 S. Sacramento","February","2007","252.07","176.15"
"2725 S. Sacramento","March","2007","243.81","159.82"
"2725 S. Sacramento","April","2007","240.23","156.32"
"2725 S. Sacramento","May","2007","174.65","104.99"
"2725 S. Sacramento","June","2007","140.89","58.16"
"2725 S. Sacramento","July","2007","164.64","103.82"
"2725 S. Sacramento","August","2007","102.53","61.82"
"2725 S. Sacramento","September","2007","386.61","347.64"
"2725 S. Sacramento","October","2007","143.01","97.99"
"2725 S. Sacramento","November","2007","170.93","114.32"
"2725 S. Sacramento","December","2008","43.52","11.67"
"2725 S. Sacramento","January","2008","156.85","105.09"
"2725 S. Sacramento","February","2008","202.84","115.6"
"2725 S. Sacramento","March","2008","216.43","100.42"
"2725 S. Sacramento","April","2008","80.68","7"
"2725 S. Sacramento","May","2008","164.16","52.49"
"2725 S. Sacramento","July","2008","213.61","68.82"
"2725 S. Sacramento","August","2008","194.39","66.49"
"2725 S. Sacramento","September","2008","197.78","74.66"
"2725 S. Sacramento","October","2008","120.34","32.66"
"2725 S. Sacramento","November","2008","303.05","157.49"
"2725 S. Sacramento","December","2009","139.88","46.66"
"2725 S. Sacramento","February","2009","121.11","39.74"
"2725 S. Sacramento","March","2009","111.68","36.27"
"2725 S. Sacramento","May","2009","130.46","63.19"
"2725 S. Sacramento","June","2009","127.84","60.85"
"2725 S. Sacramento","July","2009","128.40","53.77"
"2725 S. Sacramento","August","2009","174.95","106.38"
"2725 S. Sacramento","September","2009","144.50","73.65"
"2725 S. Sacramento","October","2009","149.94","78.32"
"2725 S. Sacramento","November","2009","177.07","102.88"
"2725 S. Sacramento","December","2010","285.26","254.86"
"2725 S. Sacramento","January","2010","158.42","68.9"
"2725 S. Sacramento","February","2010","272.38","54.78"
"2725 S. Sacramento","March","2010","286.70","67.6"
"2725 S. Sacramento","April","2010","302.15","97.91"
"2725 S. Sacramento","May","2010","259.59","50.07"
"2725 S. Sacramento","June","2010","258.59","46.57"
"2725 S. Sacramento","July","2010","421.70","230.56"
"2725 S. Sacramento","August","2010","336.75","138.43"
"2725 S. Sacramento","September","2010","254.81","41.87"
"2725 S. Sacramento","October","2010","247.14","34.89"
"2725 S. Sacramento","November","2010","251.94","43.04"
"2725 S. Sacramento","December","2011","263.43","54.67"
"2725 S. Sacramento","January","2011","248.94","39.55"
"2725 S. Sacramento","February","2011","243.94","33.73"
"2300 S. Kenneth Av.","May","2009","32.44","3.4"
"2300 S. Kenneth Av.","June","2009","32.48","3.4"
"2300 S. Kenneth Av.","July","2009","35.64","4.53"
"2300 S. Kenneth Av.","August","2009","34.27","3.4"
"2300 S. Kenneth Av.","September","2009","33.15","2.26"
"2300 S. Kenneth Av.","October","2009","35.42","4.53"
"2300 S. Kenneth Av.","November","2009","40.16","9.07"
"2300 S. Kenneth Av.","December","2010","35.46","4.53"
"2300 S. Kenneth Av.","January","2010","35.48","3.39"
"2300 S. Kenneth Av.","February","2010","38.65","3.39"
"2300 S. Kenneth Av.","March","2010","38.80","3.39"
"2300 S. Kenneth Av.","April","2010","40.24","3.39"
"2300 S. Kenneth Av.","May","2010","40.17","3.39"
"2300 S. Kenneth Av.","June","2010","42.86","6.78"
"2300 S. Kenneth Av.","July","2010","40.02","3.38"
"2300 S. Kenneth Av.","August","2010","39.78","3.38"
"2300 S. Kenneth Av.","September","2010","39.76","3.38"
"2300 S. Kenneth Av.","October","2010","40.66","4.51"
"2300 S. Kenneth Av.","November","2010","39.50","3.38"
"2300 S. Kenneth Av.","December","2011","39.36","3.38"
"2300 S. Kenneth Av.","January","2011","37.44","3.38"
"2300 S. Kenneth Av.","February","2011","37.45","3.38"
"13500 Rolls Avenue","April","2006","7188.00","9041.62"
"13500 Rolls Avenue","May - Jun","2006","2280.11","3124.66"
"13500 Rolls Avenue","July","2006","335.93","420.21"
"13500 Rolls Avenue","August","2006","393.57","512.38"
"13500 Rolls Avenue","September","2006","3432.14","4716.62"
"13500 Rolls Avenue","October","2006","1110.38","1841.66"
"13500 Rolls Avenue","November","2006","3058.57","4422.05"
"13500 Rolls Avenue","December","2007","14034.21","17771.14"
"13500 Rolls Avenue","January","2007","7620.96","11374.56"
"13500 Rolls Avenue","February","2007","19002.63","22434.60"
"13500 Rolls Avenue","March","2007","4054.11","4054.11"
"13500 Rolls Avenue","April","2007","11973.92","12130.57"
"13500 Rolls Avenue","May","2007","739.12","663.09"
"13500 Rolls Avenue","June","2007","950.23","857.78"
"13500 Rolls Avenue","July","2007","470.35","421.82"
"13500 Rolls Avenue","August","2007","399.60","390.26"
"13500 Rolls Avenue","September","2007","479.87","522.71"
"13500 Rolls Avenue","October","2007","447.75","459.8"
"13500 Rolls Avenue","November","2007","470.85","476.28"
"13500 Rolls Avenue","December","2008","19215.67","24868.80"
"13500 Rolls Avenue","January","2008","506.30","476.28"
"13500 Rolls Avenue","February","2008","33055.20","32895.84"
"13500 Rolls Avenue","March","2008","17411.49","15676.81"
"13500 Rolls Avenue","Apr - May","2008","7338.52","5408.99"
"13500 Rolls Avenue","July","2008","786.41","442.64"
"13500 Rolls Avenue","August","2008","1605.52","1231.86"
"13500 Rolls Avenue","September","2008","1630.64","1549.83"
"13500 Rolls Avenue","October","2008","3620.65","3733.33"
"13500 Rolls Avenue","November","2008","8639.31","9510.63"
"13500 Rolls Avenue","December","2009","14076.57","18270.93"
"13500 Rolls Avenue","January","2009","14234.73","18481.10"
"13500 Rolls Avenue","February","2009","11124.30","16240.96"
"13500 Rolls Avenue","March","2009","5703.82","10425.16"
"13500 Rolls Avenue","April","2009","4228.17","7745.64"
"13500 Rolls Avenue","May","2009","1464.97","2469.80"
"13500 Rolls Avenue","June","2009","752.09","1187.57"
"13500 Rolls Avenue","July","2009","692.15","1068.01"
"13500 Rolls Avenue","August","2009","208.94","233.41"
"13500 Rolls Avenue","September","2009","798.90","1643.67"
"13500 Rolls Avenue","October","2009","3540.42","6988.63"
"13500 Rolls Avenue","November","2009","4471.37","7585.22"
"13500 Rolls Avenue","December","2010","12727.07","20306.03"
"13500 Rolls Avenue","Jan - Feb","2010","26889.90","34048.43"
"13500 Rolls Avenue","March","2010","7586.47","10197.97"
"13500 Rolls Avenue","April","2010","3152.49","5133.58"
"13500 Rolls Avenue","May - Jun","2010","2622.88","4562.55"
"13500 Rolls Avenue","Jul - Aug","2010","1240.00","1689.29"
"13500 Rolls Avenue","September","2010","940.73","1636.04"
"13500 Rolls Avenue","October","2010","2459.04","4334.82"
"13500 Rolls Avenue","November","2010","5125.92","9451.09"
"13500 Rolls Avenue","December","2011","10928.83","19233.83"
"13500 Rolls Avenue","January","2011","11431.17","19351.50"
"13500 Rolls Avenue","February","2011","9453.93","14720.96"
"5410 W. Roosevelt Road Fl 2 Apt F3","January","2006","2680.60","1902.11"
"5410 W. Roosevelt Road Fl 2 Apt F3","January","2006","2680.60","1902.11"
"5410 W. Roosevelt Road Fl 2 Apt F3","February","2006","3583.80","2517.85"
"5410 W. Roosevelt Road Fl 2 Apt F3","February","2006","2825.17","2188.34"
"5410 W. Roosevelt Road Fl 2 Apt F3","March","2006","192.89","129.03"
"5410 W. Roosevelt Road Fl 2 Apt F3","April","2006","60.93","27.43"
"5410 W. Roosevelt Road Fl 2 Apt F3","May","2006","28.71","0"
"5410 W. Roosevelt Road Fl 2 Apt F3","June","2006","43.82","13.2"
"5410 W. Roosevelt Road Fl 2 Apt F3","July","2006","28.71","0"
"5410 W. Roosevelt Road Fl 2 Apt F3","August","2006","42.95","13.2"
"5410 W. Roosevelt Road Fl 2 Apt F3","October","2006",,"293.33"
"5410 W. Roosevelt Road Fl 2 Apt F3","November","2006",,"1622.98"
"5410 W. Roosevelt Road Fl 2 Apt F3","December","2007",,"1674.11"
"5410 W. Roosevelt Road Fl 2 Apt F3","January","2007",,"2043.23"
"5410 W. Roosevelt Road Fl 2 Apt F3","February","2007","1478.81","1867.31"
"2325 S. Meacham","September","2006","298.33","245.14"
"5410 W. Roosevelt Road Fl 2 Apt F3","April","2007","651.94","501.45"
"5410 W. Roosevelt Road Fl 2 Apt F3","June","2007","36.70","6.06"
"5410 W. Roosevelt Road Fl 2 Apt F3","July","2007","35.17","5.05"
"5410 W. Roosevelt Road Fl 2 Apt F3","August","2007","52.85","20.22"
"5410 W. Roosevelt Road Fl 2 Apt F3","September","2007","145.87","99.07"
"5410 W. Roosevelt Road Fl 2 Apt F3","October","2007","530.41","494.37"
"5410 W. Roosevelt Road Fl 2 Apt F3","November","2007","1801.09","1673.84"
"5410 W. Roosevelt Road Fl 2 Apt F3","December","2008","2218.76","2103.94"
"5410 W. Roosevelt Road Fl 2 Apt F3","January","2008","2413.19","2292.18"
"5410 W. Roosevelt Road Fl 2 Apt F3","March","2008","1492.47","1114.21"
"5410 W. Roosevelt Road Fl 2 Apt F3","April","2008","960.32","623.78"
"5410 W. Roosevelt Road Fl 2 Apt F3","June","2008","92.92","11.12"
"5410 W. Roosevelt Road Fl 2 Apt F3","July","2008","84.30","6.06"
"2325 S. Meacham","February","2008","11348.13","11465.39"
"5410 W. Roosevelt Road Fl 2 Apt F3","August","2008","72.34","0"
"5410 W. Roosevelt Road Fl 2 Apt F3","October","2008","476.46","301.27"
"5410 W. Roosevelt Road Fl 2 Apt F3","November","2008","2490.18","1860.24"
"5410 W. Roosevelt Road Fl 2 Apt F3","December","2009","3202.55","2713.52"
"5410 W. Roosevelt Road Fl 2 Apt F3","January","2009","2629.31","2484.88"
"5410 W. Roosevelt Road Fl 2 Apt F3","February","2009","1862.93","1847.50"
"5410 W. Roosevelt Road Fl 2 Apt F3","March","2009","972.30","1133.65"
"5410 W. Roosevelt Road Fl 2 Apt F3","April","2009","497.16","608.4"
"5410 W. Roosevelt Road Fl 2 Apt F3","May","2009","73.41","2.02"
"5410 W. Roosevelt Road Fl 2 Apt F3","June","2009","74.78","3.03"
"5410 W. Roosevelt Road Fl 2 Apt F3","July","2009","75.27","2.02"
"5410 W. Roosevelt Road Fl 2 Apt F3","August","2009","73.22","0"
"5410 W. Roosevelt Road Fl 2 Apt F3","September","2009","251.64","209.69"
"5410 W. Roosevelt Road Fl 2 Apt F3","October","2009","905.07","1062.63"
"5410 W. Roosevelt Road Fl 2 Apt F3","December","2010","2347.75","2856.87"
"5410 W. Roosevelt Road Fl 2 Apt F3","January","2010","2028.15","2222.17"
"5410 W. Roosevelt Road Fl 2 Apt F3","February","2010","2078.79","2272.50"
"5410 W. Roosevelt Road Fl 2 Apt F3","March","2010",,
"5410 W. Roosevelt Road Fl 2 Apt F3","April","2010","235.82","180.61"
"5410 W. Roosevelt Road Fl 2 Apt F3","June","2010","142.42","50.45"
"5410 W. Roosevelt Road Fl 2 Apt F3","July","2010","94.85","0"
"5410 W. Roosevelt Road Fl 2 Apt F3","August","2010","107.82","14.11"
"5410 W. Roosevelt Road Fl 2 Apt F3","September","2010","98.50","4.03"
"5410 W. Roosevelt Road Fl 2 Apt F3","October","2010","102.68","9.07"
"5410 W. Roosevelt Road Fl 2 Apt F3","November","2010","103.31","10.08"
"5410 W. Roosevelt Road Fl 2 Apt F3","December","2011","106.34","14.11"
"5410 W. Roosevelt Road Fl 2 Apt F3","January","2011","491.13","551.37"
"5410 W. Roosevelt Road Fl 2 Apt F3","February","2011","489.08","546.33"
"2325 S. Meacham","April","2006","2148.83","2659.50"
"2325 S. Meacham","May","2006","744.90","907.49"
"2325 S. Meacham","Jun - Jul","2006","312.18","133.94"
"2325 S. Meacham","August","2006","177.45","84.42"
"2325 S. Meacham","October","2006","1956.04","3443.29"
"2325 S. Meacham","November","2006","3988.16","4576.82"
"2325 S. Meacham","December","2007","7571.29","7759.44"
"2325 S. Meacham","January","2007","6792.55","8325.64"
"2325 S. Meacham","February","2007","12919.82","14795.38"
"2325 S. Meacham","March","2007","3209.28","3343.77"
"2325 S. Meacham","April","2007","4037.78","4511.67"
"2325 S. Meacham","May","2007","269.96","170.4"
"2325 S. Meacham","June","2007","196.82","93.96"
"2325 S. Meacham","July","2007","138.57","33.68"
"2325 S. Meacham","August","2007","123.75","21.69"
"2325 S. Meacham","September","2007","129.83","29.13"
"2325 S. Meacham","October","2007","1562.57","1827.68"
"2325 S. Meacham","November","2007","3103.20","3340.11"
"2325 S. Meacham","December","2008","9725.69","10260.06"
"2325 S. Meacham","January","2008","9522.57","10554.04"
"2325 S. Meacham","March","2008","10971.02","9880.57"
"2325 S. Meacham","April","2008","4379.96","3767.20"
"2325 S. Meacham","May","2008","3314.14","2530.29"
"2325 S. Meacham","June","2008","199.79","65.51"
"2325 S. Meacham","July","2008","113.50","4.51"
"2325 S. Meacham","August","2008","157.60","44.05"
"2325 S. Meacham","September","2008","140.81","32.75"
"2325 S. Meacham","October","2008","2726.10","2964.05"
"2325 S. Meacham","November","2008","6556.52","8129.70"
"2325 S. Meacham","December","2009","9320.47","10978.54"
"2325 S. Meacham","January","2009","14966.87","18945.58"
"2325 S. Meacham","February","2009","9649.42","14452.29"
"2325 S. Meacham","March","2009","4079.31","6935.71"
"2325 S. Meacham","April","2009","2642.84","5012.01"
"2325 S. Meacham","May","2009","676.94","1151.05"
"2325 S. Meacham","Jun - Jul","2009","490.25","383.68"
"2325 S. Meacham","August","2009","268.43","248.26"
"2325 S. Meacham","September","2009","213.39","158.95"
"2325 S. Meacham","October","2009","3121.91","5531.03"
"2325 S. Meacham","November","2009","2498.25","3732.40"
"2325 S. Meacham","December","2010","9257.55","14395.04"
"2325 S. Meacham","January","2010","10530.08","13570.36"
"2325 S. Meacham","February","2010","8751.92","11794.40"
"2325 S. Meacham","March","2010","2681.92","3875.64"
"2325 S. Meacham","April","2010","1710.23","2817.38"
"2325 S. Meacham","May","2010","367.68","371.68"
"2325 S. Meacham","June","2010","164.68","35.93"
"2325 S. Meacham","July","2010","196.73","83.09"
"2325 S. Meacham","August","2010","165.37","38.17"
"2325 S. Meacham","September","2010","264.44","216.72"
"2325 S. Meacham","October","2010","1479.41","2456.93"
"2325 S. Meacham","November","2010","2274.82","4254.97"
"2325 S. Meacham","December","2011","8214.53","13295.54"
"2325 S. Meacham","January","2011","7720.98","12683.04"
"2325 S. Meacham","February","2011","7263.89","11591.82"
"69 W. Washington St.","December","2011","53983.61","72738.28"
"69 W. Washington St.","January","2011","58761.91","79281.21"
"69 W. Washington St.","February","2011","43002.77","59997.14"
"110 S. Barrington Generator","May","2006","50.83","0"
"110 S. Barrington Generator","Jun - Jul","2006","43.77","0"
"110 S. Barrington Generator","Aug - Sep","2006","47.10","5.67"
"110 S. Barrington Generator","Oct - Nov","2006","44.04","4.53"
"110 S. Barrington Generator","Jun - Jul","2007","51.42","5.66"
"110 S. Barrington Generator","Aug - Sep","2007","47.06","3.4"
"110 S. Barrington Generator","Oct - Dec","2007","95.24","9.08"
"110 S. Barrington Generator","Nov - Apr","2007","141.15","11.33"
"110 S. Barrington Generator","January","2008","26.07","4.38"
"110 S. Barrington Generator","February","2008","21.81","0.15"
"110 S. Barrington Generator","March","2008","22.97","1.13"
"110 S. Barrington Generator","April","2008","26.13","3.4"
"110 S. Barrington Generator","May","2008","23.27","1.13"
"110 S. Barrington Generator","July","2008","21.64","0"
"110 S. Barrington Generator","July","2008","21.64","0"
"110 S. Barrington Generator","August","2008","21.64","0"
"110 S. Barrington Generator","September","2008","22.80","1.13"
"110 S. Barrington Generator","October","2008","22.75","1.13"
"110 S. Barrington Generator","November","2008","22.67","1.13"
"110 S. Barrington Generator","December","2009","23.53","2.26"
"110 S. Barrington Generator","January","2009","23.47","2.26"
"110 S. Barrington Generator","February","2009","23.19","2.26"
"110 S. Barrington Generator","March","2009","23.06","1.13"
"110 S. Barrington Generator","April","2009","40.83","27.23"
"110 S. Barrington Generator","May","2009","25.88","1.13"
"110 S. Barrington Generator","June","2009","31.61","10.2"
"110 S. Barrington Generator","July","2009","26.57","1.13"
"110 S. Barrington Generator","August","2009","28.03","3.4"
"110 S. Barrington Generator","September","2009","26.89","1.13"
"110 S. Barrington Generator","October","2009","28.04","2.26"
"110 S. Barrington Generator","November","2009","27.48","1.13"
"110 S. Barrington Generator","December","2010","30.29","3.39"
"110 S. Barrington Generator","Jan - Feb","2010","63.52","3.38"
"110 S. Barrington Generator","March","2010","33.15","1.12"
"110 S. Barrington Generator","April","2010","34.38","3.38"
"110 S. Barrington Generator","May","2010","32.35","0"
"110 S. Barrington Generator","June","2010","31.73","1.12"
"110 S. Barrington Generator","July","2010","30.45","1.12"
"110 S. Barrington Generator","August","2010","29.72","0"
"110 S. Barrington Generator","September","2010","29.56","0"
"110 S. Barrington Generator","October","2010","35.28","10.15"
"110 S. Barrington Generator","November","2010","30.69","2.25"
"110 S. Barrington Generator","December","2011","28.44","1.12"
"110 S. Barrington Generator","January","2011","27.50","2.25"
"9801 W. Ballard","March","2006","2528.00","3116.18"
"9801 W. Ballard","Apr - Aug","2006","1580.63","1711.66"
"9801 W. Ballard","July","2006","168.88","95.66"
"9801 W. Ballard","August","2006","187.30","117.18"
"9801 W. Ballard","September","2006","428.91","500.59"
"9801 W. Ballard","October","2006","2412.10","4013.83"
"9801 W. Ballard","November","2006","4201.17","5966.18"
"9801 W. Ballard","December","2007","5467.24","7037.49"
"9801 W. Ballard","Jan - May","2007","23930.12","25840.28"
"9801 W. Ballard","June","2007","142.45","36.4"
"9801 W. Ballard","July","2007","148.74","46.64"
"9801 W. Ballard","August","2007","186.79","96.7"
"9801 W. Ballard","September","2007","251.97","182.03"
"9801 W. Ballard","October","2007","2532.62","3090.78"
"9801 W. Ballard","November","2007","4635.54","5841.90"
"9801 W. Ballard","December","2008","5951.70","7427.74"
"9801 W. Ballard","Jan - Mar","2008","14380.91","14077.99"
"9801 W. Ballard","April","2008","2721.09","2192.36"
"9801 W. Ballard","June","2008","161.42","40.95"
"9801 W. Ballard","July","2008","218.48","0"
"9801 W. Ballard","August","2008","322.38","189.99"
"9801 W. Ballard","September","2008","0.00","0"
"9801 W. Ballard","October","2008","2242.95","2389.18"
"9801 W. Ballard","November","2008","4796.66","5693.09"
"9801 W. Ballard","December","2009","5985.22","7959.40"
"9801 W. Ballard","Jan - Feb","2009","10807.45","15732.21"
"9801 W. Ballard","March","2009","604.98","7957.12"
"9801 W. Ballard","April","2009","1189.25","2012.60"
"9801 W. Ballard","May","2009","426.82","532.44"
"9801 W. Ballard","June","2009","194.23","98.88"
"9801 W. Ballard","July","2009","172.84","64.78"
"9801 W. Ballard","August","2009","236.63","202.31"
"9801 W. Ballard","September","2009","455.70","708.52"
"9801 W. Ballard","October","2009","1467.69","2623.73"
"9801 W. Ballard","November","2009","3003.97","5067.10"
"9801 W. Ballard","December","2010","6469.69","9659.16"
"9801 W. Ballard","January","2010","6229.63","8075.11"
"9801 W. Ballard","February","2010","5098.56","6841.04"
"9801 W. Ballard","March","2010","2670.48","3862.55"
"9801 W. Ballard","Apr - May","2010","1410.52","2110.39"
"9801 W. Ballard","Jun - Jul","2010","359.25","94.74"
"9801 W. Ballard","August","2010","231.47","146.63"
"9801 W. Ballard","September","2010","283.04","261.68"
"9801 W. Ballard","October","2010","1325.05","2269.43"
"9801 W. Ballard","November","2010","3936.54","7289.48"
"9801 W. Ballard","December","2011","4995.00","8877.19"
"9801 W. Ballard","January","2011","5997.48","10108.70"
"9801 W. Ballard","February","2011","3934.88","6304.12"
"15900 S. Cicero","May","2006","81541.51","116721.54"
"15900 S. Cicero","June","2006","53825.36","87300.15"
"15900 S. Cicero","July","2006","50212.92","81453.75"
"15900 S. Cicero","August","2006","58760.66","82336.80"
"15900 S. Cicero","September","2006","59467.98","87092.46"
"15900 S. Cicero","October","2006","67883.67","149331.78"
"15900 S. Cicero","November","2006","141279.25","182046.23"
"15900 S. Cicero","December","2007","185210.82","220509.84"
"15900 S. Cicero","January","2007","159441.45","240082.17"
"15900 S. Cicero","February","2007","183480.53","249913.40"
"15900 S. Cicero","March","2007","140980.04","192095.19"
"15900 S. Cicero","April","2007","115375.84","157602.44"
"15900 S. Cicero","May","2007","74677.88","100216.09"
"15900 S. Cicero","June","2007","62741.79","84494.33"
"15900 S. Cicero","July","2007","55927.82","72683.52"
"15900 S. Cicero","August","2007","57889.24","63304.02"
"15900 S. Cicero","September","2007","64263.38","62918.70"
"15900 S. Cicero","October","2007","70340.93","87482.85"
"15900 S. Cicero","November","2007","132796.29","166987.80"
"15900 S. Cicero","December","2008","173807.36","218570.10"
"15900 S. Cicero","January","2008","187984.90","242351.55"
"15900 S. Cicero","February","2008","185643.02","227593.45"
"15900 S. Cicero","March","2008","183065.98","208356.72"
"15900 S. Cicero","April","2008","124048.30","141016.98"
"15900 S. Cicero","May","2008","107224.62","95042.22"
"15900 S. Cicero","June","2008","92281.53","74660.82"
"15900 S. Cicero","July","2008","96541.23","71994.00"
"15900 S. Cicero","August","2008","64744.68","68161.08"
"15900 S. Cicero","September","2008","63790.03","72196.80"
"15900 S. Cicero","October","2008","85192.64","103032.54"
"15900 S. Cicero","November","2008","144803.46","174631.08"
"15900 S. Cicero","December","2009","188692.19","231445.48"
"15900 S. Cicero","January","2009","209626.41","257981.84"
"15900 S. Cicero","February","2009","182500.11","208387.14"
"15900 S. Cicero","March","2009","161415.90","191635.86"
"15900 S. Cicero","April","2009","115777.79","146188.38"
"15900 S. Cicero","May","2009","44808.69","90955.80"
"15900 S. Cicero","June","2009","32900.83","62036.12"
"15900 S. Cicero","July","2009","37441.60","70018.56"
"15900 S. Cicero","August","2009","37383.51","69522.19"
"15900 S. Cicero","September","2009","32998.53","64889.44"
"15900 S. Cicero","October","2009","62090.95","122694.96"
"15900 S. Cicero","November","2009","83658.34","140003.28"
"15900 S. Cicero","December","2010","124977.79","222038.40"
"15900 S. Cicero","January","2010","151369.67","232110.36"
"15900 S. Cicero","February","2010","124292.44","194636.10"
"15900 S. Cicero","March","2010","105699.66","178714.08"
"15900 S. Cicero","April","2010","60636.08","110194.56"
"15900 S. Cicero","May","2010","54594.95","94056.48"
"15900 S. Cicero","June","2010","38258.86","63413.28"
"15900 S. Cicero","July","2010","37406.32","61356.96"
"15900 S. Cicero","August","2010","37070.97","60994.08"
"15900 S. Cicero","September","2010","33565.08","57818.88"
"15900 S. Cicero","October","2010","53438.46","87696.00"
"15900 S. Cicero","November","2010","77671.77","138351.73"
"15900 S. Cicero","December","2011","124316.20","224550.93"
"15900 S. Cicero","January","2011","132464.63","238714.56"
"15900 S. Cicero","February","2011","113828.59","200541.60"
"2323 S. Rockwell Street","December","2006","46499.13","37138.91"
"2323 S. Rockwell Street","January","2006","36468.28","28321.66"
"2323 S. Rockwell Street","February","2006","42626.05","34075.40"
"2323 S. Rockwell Street","March","2006","25174.02","25133.61"
"2323 S. Rockwell Street","April","2006","10845.58","7021.00"
"2323 S. Rockwell Street","May","2006","8776.82","4349.18"
"2323 S. Rockwell Street","June","2006","6046.37","504.3"
"2323 S. Rockwell Street","July","2006","6066.02","506.48"
"2323 S. Rockwell Street","August","2006","5239.97","471.63"
"2323 S. Rockwell Street","September","2006","6845.58","1997.98"
"2323 S. Rockwell Street","October","2006","18510.41","11416.39"
"2323 S. Rockwell Street","November","2006","18851.82","18431.26"
"2323 S. Rockwell Street","December","2007","36198.20","33746.12"
"2323 S. Rockwell Street","January","2007","38578.19","38341.79"
"2323 S. Rockwell Street","February","2007","42223.12","42153.52"
"2323 S. Rockwell Street","March","2007","21104.91","19878.23"
"2323 S. Rockwell Street","April","2007","19095.14","19826.06"
"2323 S. Rockwell Street","May","2007","2840.19","2192.60"
"2323 S. Rockwell Street","June","2007","883.47","506.89"
"2323 S. Rockwell Street","July","2007","1700.48","471.75"
"2323 S. Rockwell Street","August","2007","3768.91","463.23"
"2323 S. Rockwell Street","September","2007","4974.29","1068.08"
"2323 S. Rockwell Street","October","2007","5983.03","5549.10"
"2323 S. Rockwell Street","November","2007","21717.76","21732.20"
"2323 S. Rockwell Street","December","2008","37434.75","38708.53"
"2323 S. Rockwell Street","January","2008","36008.90","36950.79"
"2323 S. Rockwell Street","February","2008","45334.38","45130.82"
"2323 S. Rockwell Street","March","2008","25175.48","23691.57"
"2323 S. Rockwell Street","April","2008","18770.12","17641.30"
"2323 S. Rockwell Street","May","2008","5724.45","3931.56"
"2323 S. Rockwell Street","June","2008","994.73","401.46"
"2323 S. Rockwell Street","July","2008","996.17","433.41"
"2323 S. Rockwell Street","August","2008","1161.30","446.19"
"2323 S. Rockwell Street","September","2008","1084.05","433.41"
"2323 S. Rockwell Street","October","2008","7425.06","6522.43"
"2323 S. Rockwell Street","November","2008","25757.15","25193.08"
"2323 S. Rockwell Street","December","2009","45684.42","45691.07"
"2323 S. Rockwell Street","January","2009","53874.72","54547.73"
"2323 S. Rockwell Street","February","2009","36961.52","35257.70"
"2323 S. Rockwell Street","March","2009","25727.47","25414.03"
"2323 S. Rockwell Street","April","2009","15054.58","15166.40"
"2323 S. Rockwell Street","May","2009","1397.96","960.26"
"2323 S. Rockwell Street","June","2009","961.09","474.55"
"2323 S. Rockwell Street","July","2009","911.13","470.03"
"2323 S. Rockwell Street","August","2009","1051.95","482.19"
"2323 S. Rockwell Street","September","2009","1081.20","488.27"
"2323 S. Rockwell Street","October","2009","8380.44","12962.35"
"2323 S. Rockwell Street","November","2009","12619.21","17471.21"
"2323 S. Rockwell Street","December","2010","28067.69","43806.18"
"2323 S. Rockwell Street","January","2010","34993.21","46609.68"
"2323 S. Rockwell Street","February","2010","27806.09","36330.29"
"2323 S. Rockwell Street","March","2010","16537.86","22919.93"
"2323 S. Rockwell Street","April","2010","4816.43","6767.00"
"2323 S. Rockwell Street","May","2010","2987.76","3355.94"
"2323 S. Rockwell Street","June","2010","955.68","421.76"
"2323 S. Rockwell Street","July","2010","922.18","412.69"
"2323 S. Rockwell Street","August","2010","826.56","253.01"
"2323 S. Rockwell Street","September","2010","962.59","433.44"
"2323 S. Rockwell Street","October","2010","3683.28","4259.81"
"2323 S. Rockwell Street","November","2010","15178.39","22143.74"
"1401 Maybrook Drive","Apr - May","2010","374.72","137.77"
"2323 S. Rockwell Street","December","2011","29480.05","44427.60"
"2323 S. Rockwell Street","January","2011","30959.87","46754.07"
"2323 S. Rockwell Street","February","2011","23705.52","37136.74"
"1401 Maybrook Drive","Apr - Jun","2006","780.94","540.66"
"1401 Maybrook Drive","July","2006","124.24","18.94"
"1401 Maybrook Drive","August","2006","123.30","17.58"
"1401 Maybrook Drive","August","2006","126.99","21.62"
"1401 Maybrook Drive","October","2006","112.06","1.35"
"1401 Maybrook Drive","October","2006","329.23","339.26"
"1401 Maybrook Drive","November","2006","380.25","353.78"
"1401 Maybrook Drive","December","2007","541.93","522.57"
"1401 Maybrook Drive","January","2007","1645.45","1846.29"
"1401 Maybrook Drive","February","2007","735.65","674.49"
"1401 Maybrook Drive","March","2007","590.44","477.93"
"1401 Maybrook Drive","April","2007","305.72","184.38"
"1401 Maybrook Drive","May","2007","170.75","54.78"
