"serialno","sporder","pwgtp","wgtp","agep","cit","rel","sch","schg","schl","sex","esr","lanx","eng","msp","mar","wkw","wkhp","ds","jwtr","np","ten","hht","agecateg","boro","citizenstatus","educattain","est_childcare","est_commuting","est_eitc","est_ficatax","est_heap","est_housing","est_incometax","est_moop","est_nutrition","est_povgap","est_povgapindex","ethnicity","famtype_pu","ftptwork","intp_adj","mrgp_adj","nycgov_income","nycgov_pov_stat","nycgov_rel","nycgov_threshold","off_pov_stat","off_threshold","oi_adj","pa_adj","povunit_id","povunit_rel","pretaxincome_pu","retp_adj","rntp_adj","semp_adj","ssip_adj","ssp_adj","totalworkhrs_pu","wagp_adj"
"22222","2","104","131","15","5","2","2","5","4","2",,"1","2","6","5",,"0","2",,"3","3","3","1","4","3","1","0","0","0","545.776245","0","0","-3915.0382",,"4376.35","5499.4883","0.27000061","4","4","3","0","0","14868.941955","1","2","20368.4301900347","1","15735","0","0","1","3","7134.33","0","1630.704","0","0","0","4","0"
"22222","3","125","131","14","5","2","2","5","4","2",,"1","2",,"5",,"0","2",,"3","3","3","1","4","3","1","0","0","0","545.776245","0","0","-3915.0382",,"4376.35","5499.4883","0.27000061","4","4","3","0","0","14868.941955","1","2","20368.4301900347","1","15735","0","0","1","3","7134.33","0","1630.704","0","0","0","4","0"
"22335","1","203","197","79","2","0","1","0","4","1","6","1","2","3","2",,"0","2",,"1","3","4","3","1","1","1","0","0","0","0","50","4669.01728638397","0","1032.96","660","5189.0762","0.45639616","4","8","3","0","0","6180.59928638397","1","0","11369.6756032076","1","9367","0","0","1","1","1834.542","0","152.8785","0","1834.542","0","5","0"
"22445","1","75","71","44","1","0","1","0","10","2","6","1","1","1","1",,"0","2",,"2","3","1","2","2","1","3","0","0","0","0","0","7681.3143738014","0","1787.96","2445","7356.5557","0.45888868","2","2","3","0","0","8674.6870738014","1","0","16031.2426005227","1","13078","0","112.1109","1","1","336.3327","0","122.3028","0","0","0","5","0"
"22445","2","75","71","34","5","1","1","0","8","1","6","2",,"1","1",,"0","2",,"2","3","1","2","2","3","1","0","0","0","0","0","7681.3143738014","0",,"2445","7356.5557","0.45888868","2","2","3","0","0","8674.6870738014","1","1","16031.2426005227","1","13078","0","224.2218","1","2","336.3327","0","122.3028","0","0","0","5","0"
"22484","1","137","126","34","3","0","1","0","13","2","1","2",,"6","5","52","30","2","10","1","3","6","2","3","1","4","0","0","0","2728.881225","0","0","6147.8994765","1879.36","0","0","0","1","8","2","0","0","24915.5092985","2","0","11369.6756032076","2","10160","0","0","1","1","35671.65","0","560.5545","0","0","0","4","35671.65"
"22502","1","346","328","41","1","0","1","0","14","2","1","2",,"6","5","52","40","2","1","1","3","6","2","4","1","4","0","2214","0","5457.76245","0","0","18575.594634","119","0","0","0","2","8","1","0","0","44976.942916","2","0","11369.6756032076","2","10160","0","0","1","1","71343.3","0","1019.19","0","0","0","3","71343.3"
"22559","1","141","136","71","1","0","1","0","9","2","6","2",,"3","2",,"0","1",,"3","3","3","3","2","1","2","0","0","0","0","50","1209.48632695306","-62.5","271","1622","4723.8457","0.23191997","2","4","3","0","0","15644.5843269531","1","0","20368.4301900347","1","15735","0","0","1","1","12434.118","0","815.352","0","5809.383","6624.735","5","0"
"22559","2","159","136","16","1","5","2","5","4","2","6","2",,"6","5",,"0","2",,"3","3","3","1","2","1","1","0","0","0","0","50","1209.48632695306","-62.5",,"1622","4723.8457","0.23191997","2","4","3","0","0","15644.5843269531","1","5","20368.4301900347","1","15735","0","0","1","3","12434.118","0","815.352","0","0","0","5","0"
"22559","3","173","136","0","1","5","0","0",,"2",,,,,"5",,"0",,,"3","3","3","1","2","1",,"0","0","0","0","50","1209.48632695306","-62.5",,"1622","4723.8457","0.23191997","2","4","3","0","0","15644.5843269531","1","5","20368.4301900347","1","15735","0","0","1","3","12434.118","0","815.352","0","0","0","5","0"
"22573","1","61","60","50","1","0","1","0","14","1","1","2",,"6","5","52","33","2","10","1","3","4","2","1","1","4","0","0","0","5691.666555","0","0","30435.55760958","2037.04","0","0","0","1","8","2","28435.401","0","64672.00683542","2","0","11369.6756032076","2","10160","0","0","1","1","102836.271","0","998.8062","0","0","0","4","74400.87"
"22599","1","75","70","70","1","0","1","0","9","2","6","2",,"3","2",,"0","1",,"1","3","6","3","4","1","2","0","0","0","0","0","4249.01728638397","0","483","0","0","0","1","8","3","0","0","11919.537286384","2","0","11369.6756032076","1","9367","0","0","1","1","8153.52","0","611.514","0","0","8153.52","5","0"
