"_2016_organization","project_address","project_title","cd","cb","_2016_award","postcode","borough","latitude","longitude","census_tract","bin","bbl","nta"
"PS 149","41 W 117th St New York, NY","Technology Upgrades","9","10","100000.00",,"MANHATTAN","40.802136","-73.947828","190","1051434","1016010001","Central Harlem South                                                       "
"PS 161","499 W 133rd St New York, NY","Technology Upgrades","9","9","100000.00",,"MANHATTAN","40.81755","-73.953041","21303","1059645","1019710001","Manhattanville                                                             "
"PS 163","163 W 97th St, New York, NY 10025","Technology Upgrades","7","7","100000.00","10025","MANHATTAN","40.794264","-73.968706","185","1055908","1018520099","Upper West Side                                                            "
"PS 175","175 W 134th St, New York, NY 10030","Technology Upgrades","9","10","100000.00","10030","MANHATTAN","40.814422","-73.943664","228","1058248","1019190006","Central Harlem North-Polo Grounds                                          "
"PS 178","12-18 Ellwood St, New York, NY 10040","Library Upgrades","10","12","100000.00","10040","MANHATTAN","40.859243","-73.927792","283","1064128","1021710036","Washington Heights North                                                   "
"PS 182","219 E 109th St, New York, NY 10029","Electrical Upgrades","8","11","150000.00","10029","MANHATTAN","40.793194","-73.942548","180","1052436","1016590012","East Harlem North                                                          "
"PS 187","349 Cabrini Blvd, New York, NY 10033","System Upgrade","10","12","60000.00","10033","MANHATTAN","40.856693","-73.937093","273","1064371","1021790365","Washington Heights North                                                   "
"PS 189","2580 Amsterdam Ave, New York, NY 10040","Auditorium Upgrade","10","12","185000.00","10040","MANHATTAN","40.852631","-73.927604","277","1076750","1021590051","Washington Heights North                                                   "
"PS 194","244 W 144th St, New York, NY 10030","Technology Upgrades","9","10","100000.00","10030","MANHATTAN","40.821535","-73.940941","232","1060432","1020290011","Central Harlem North-Polo Grounds                                          "
"PS 198","1700 3rd Ave, New York, NY 10128","Cafeteria Renovation","5","8","250000.00","10128","MANHATTAN","40.784826","-73.949611","15801","1048492","1015240023","Upper East Side-Carnegie Hill                                              "
"PS 199","270 W 70th St, New York, NY 10023","Greenhouse","6","7","150000.00","10023","MANHATTAN","40.778059","-73.984449","155","1030351","1011580040","Lincoln Square                                                             "
"PS 212","328 W 48th St, New York, NY 10036","Technology Upgrades","3","4","100000.00","10036","MANHATTAN","40.761448","-73.988019","127","1025092","1010380014","Clinton                                                                    "
"PS 334","100 W 77th St, New York, NY 10024","Technology Upgrades","6","7","100000.00","10024","MANHATTAN","40.780822","-73.976855","161","1030178","1011480014","Upper West Side                                                            "
"PS 375","141 E 111th St, New York, NY 10029","Technology Upgrades","8","11","100000.00","10029","MANHATTAN","40.79564","-73.94441","172","1081346","1016390003","East Harlem South                                                          "
"PS 6","45 E 81st St, New York, NY 10028","School Yard Renovation","4","8","130000.00","10028","MANHATTAN","40.777455","-73.960713","142","1046668","1014930021","Upper East Side-Carnegie Hill                                              "
"PS 7","160 E 120th St, New York, NY 10035","Technology Upgrades","8","11","100000.00","10035","MANHATTAN","40.801007","-73.939349","196","1083501","1017680021","East Harlem North                                                          "
"PS 76","220 W 121st St, New York, NY 10027","Technology Upgrades","9","10","100000.00","10027","MANHATTAN","40.806768","-73.951061","220","1058470","1019260017","Central Harlem South                                                       "
"PS 83 Luis Munoz Rivera","219 E 109th St, New York, NY 10029","Auditorium Upgrades","8","11","150000.00","10029","MANHATTAN","40.793194","-73.942548","180","1052436","1016590012","East Harlem North                                                          "
"PS 84","32 W 92nd St, New York, NY 10025","Roof Renovation","6","7","100000.00","10025","MANHATTAN","40.789526","-73.967574","177","1081042","1012050006","Upper West Side                                                            "
"PS 9","100 W 84th St, New York, NY 10024","Technology Upgrades","6","7","100000.00","10024","MANHATTAN","40.785287","-73.97343","169","1032119","1012140029","Upper West Side                                                            "
"PS/IS 171","19 E 103rd St, New York, NY 10029","Music Lab","8","11","220000.00","10029","MANHATTAN","40.792122","-73.951961","168","1051497","1016090007","East Harlem South                                                          "
"PS/MS 96","216 E 120th St, New York, NY 10035","Technology Upgrades","8","11","100000.00","10035","MANHATTAN","40.800256","-73.937558","194","1074333","1017840012","East Harlem North                                                          "
"Quest to Learn","351 W 18th St, New York, NY 10011","Technology Upgrades","3","4","100000.00","10011","MANHATTAN","40.742867","-74.002136","89","1013096","1007420007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"River East Elementary","508 E 120th St, New York, NY 10035","Technology Upgrades","8","11","100000.00","10035","MANHATTAN","40.797467","-73.930868","192","1084005","1018160001","East Harlem North                                                          "
"School/Health Career and
Sciences","549 Audubon Avenue, New York, NY
10040","Technology Upgrades","10","12","100000.00","10040","MANHATTAN","40.855954","-73.927051","277","1076751","1021600018","Washington Heights North                                                   "
"Seward Park Campus","350 Grand St, New York, NY 10002","Bathroom Renovations","1","3","75000.00","10002","MANHATTAN","40.716778","-73.989337","18","1005283","1004080030","Chinatown                                                                  "
"Special Music School","129 W 67th St, New York, NY 10023","Practice Room Construction","6","7","75000.00","10023","MANHATTAN","40.774919","-73.982745","153","1081024","1011390008","Lincoln Square                                                             "
"Spruce Street School","12 Spruce St, New York, NY 10038","Techology Upgrades","1","1","100000.00","10038","MANHATTAN","40.711313","-74.005472","1501","1087485","1001007502","Battery Park City-Lower Manhattan                                          "
"Stuyvesant High School","345 Chambers St, New York, NY 10282","Auditorium Systems Upgrades","1","1","150000.00","10282","MANHATTAN","40.71759","-74.013748","31703","1084587","1000160215","Battery Park City-Lower Manhattan                                          "
"Talent Unlimited HS","300 E 68th St #540, New York, NY 10065","Auditorium  Upgrades","5","8","90000.00","10065","MANHATTAN","40.766083","-73.959882","118","1044751","1014420001","Lenox Hill-Roosevelt Island                                                "
"The Beacon School","227 W 61st St, New York, NY 10023","Technology Upgrades","6","7","100000.00","10023","MANHATTAN","40.772007","-73.987479","151","1030328","1011540108","Lincoln Square                                                             "
"The Children's Workshop","610 E 12th St, New York, NY 10009","Playground/Gym","2","3","67000.00","10009","MANHATTAN","40.727892","-73.978525","28","1079053","1003940012","Lower East Side                                                            "
"The Computer School","100 W 77th St, New York, NY 10023","Technology Upgrades","6","7","80000.00","10023","MANHATTAN","40.780822","-73.976855","161","1030178","1011480014","Upper West Side                                                            "
"The Eagle Academy for Young
Men of Harlem","6 Edgecombe Ave, New York, NY 10030","Auditorium Upgrade","9","10","200000.00","10030","MANHATTAN","40.817372","-73.947712","22102","1059460","1019600001","Central Harlem North-Polo Grounds                                          "
"The Frederick Douglass Academy
I","2581 Adam Clayton Powell Jr Blvd, New
York, NY 10039","Auditorium Upgrade","9","10","125000.00","10039","MANHATTAN","40.824319","-73.93712","236","1060198","1020160100","Central Harlem North-Polo Grounds                                          "
"The James Baldwin School","351 W 18th St, Manhattan, NY 10011","Laptop Cart","3","4","100000.00","10011","MANHATTAN","40.742867","-74.002136","89","1013096","1007420007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"The Neighborhood School","121 E 3rd St, New York, NY 10009","Kitchen Renovation","2","3","150000.00","10009","MANHATTAN","40.724117","-73.986381","32","1005760","1004310014","East Village                                                               "
"The Robert E Simon School","234 W 109th St, New York, NY 10025","Technology Upgrades","7","7","100000.00","10025","MANHATTAN","40.802917","-73.965613","195","1056676","1018800013","Morningside Heights                                                        "
"The Rooselvelt Island School","645 Main St, New York, NY 10044","Greenroof","5","8","250000.00","10044","MANHATTAN","40.763894","-73.947916","23802","1084848","1013730001","Lenox Hill-Roosevelt Island                                                "
"The Talented and Gifted School
for Young Scholars","240 East 109th Street New York, NY 10029","Technology Upgrades","8","11","100000.00","10029","MANHATTAN","40.79307","-73.942303","170","1052433","1016560100","East Harlem South                                                          "
"The Urban Assembly School for Global Commerce","2005 Madison Ave, New York, NY 10035","Technology Upgrades","9","11","100000.00","10035","MANHATTAN","40.807383","-73.939433","206","1054156","1017520022","Central Harlem North-Polo Grounds                                          "
"The Young Women's Leadership","105 E 106th St, New York, NY 10029","Technology Upgrades","8","11","100000.00","10029","MANHATTAN","40.792741","-73.947428","172","1052015","1016340003","East Harlem South                                                          "
"Urban Assembly - The Harbor
School","10 South Street, New York, NY 10004","Boat Basin Phase 1","1","1","100000.00","10004","MANHATTAN","40.701695","-74.011631","9","1000003","1000020002","Battery Park City-Lower Manhattan                                          "
"Urban Assembly Gateway School
for Technology","439 W 49th St, New York, NY 10019","Auditorium Systems Upgrades","3","4","100000.00","10019","MANHATTAN","40.76337","-73.990593","127","1026646","1010590015","Clinton                                                                    "
"Urban Assembly School for
Green Careers","145 W 84th St, New York, NY 10024","Technology Upgrades",,"7","100000.00","10024","MANHATTAN","40.785803","-73.974614","169","1032128","1012150001","Upper West Side                                                            "
"Wadleigh Secondary School for the Performace and Visual Art","215 W 114th St, New York, NY 10026","Technology Upgrades",,"10","100000.00","10026","MANHATTAN","40.802207","-73.954142","218","1055204","1018300019","Central Harlem South                                                       "
"West Prep Academy","150 W 105th St, New York, NY 10025","Auditorium HVAC",,"7","125000.00","10025","MANHATTAN","40.799178","-73.964842","189","1076625","1018590001","Upper West Side                                                            "
"Wright Brothers School","475 W 155th St, New York, NY 10032","Technology Upgrades",,"12","100000.00","10032","MANHATTAN","40.831227","-73.942143","239","1076739","1021070026","Washington Heights South                                                   "
