"program_initiative","year","title","artist","partner","site_location","borough","site_type","project_type","installation","removal","latitude","longitude"
"Art Display Case","2017","Amplify","Various artists","Worldstudio +Make Art with Purpose","Water St. btwn Wall St. & Pine St., and Gouveneur Ln. btwn Water St. & Front St.","Manhattan","Sidewalk","Art Display Case","2017-11-02T00:00:00.000","2018-01-08T00:00:00.000","40.705409","-74.007026"
"Special Projects","2017","Welcome to Chinatown - Chinatown Walk","Dingding Hu","MOCA","Chrystie St. & Grand St., Canal St. Triangle (Canal St. & Walker St.), Canal St. & Bowery, Division St. & Manhattan Bridge, Chatam Sq. & East Broadway, Pearl St. & Brooklyn Bridge","Manhattan","Sidewalk","Signage/Vinyl","2017-10-31T00:00:00.000",,"40.717462","-73.999313"
"Community Commissions","2017","I am Here","Harumi Ori","Staten Island Maker Space","Bay St. & Victory Blvd.","Staten Island","Fence","Intervention","2017-10-27T00:00:00.000","2018-09-27T00:00:00.000","40.637726","-74.075983"
"Barrier Beautification","2017","Wheels and Bars","Glendalys Medina","New York Cares","W 155th & Harlem River Dr.","Manhattan","Barrier","Mural","2017-10-25T00:00:00.000","2018-09-25T00:00:00.000","40.830390","-73.940049"
"Special Projects","2017","Chorus","Jessie Contour","DDC","Diversity Plaza, Broadway & 37th Rd.","Queens","Plaza","Vinyl","2017-10-10T00:00:00.000","2018-09-10T00:00:00.000","40.747172","-73.892034"
"Arterventions","2017","Xola (Stay in Peace)","Imani Shanklin Roberts","Motivate, South African Tourism +  South African Airways","Franklin St. & West Broadway","Manhattan","Bike Share Station","Asphalt Mural","2017-09-09T00:00:00.000","2018-08-09T00:00:00.000","40.719138","-74.006667"
"Arterventions","2017","Cross-Street Stitches","Laura Alvarez","Art Bridge + DOHMH","W 176th St. btwn Undercliff Ave. & Popham Ave.","Bronx","Step Street","Mural","2017-08-21T00:00:00.000","2018-07-21T00:00:00.000","40.850000","-73.921258"
"Community Commissions","2017","Treasure the Green","Zigi Ben Haim","SoHo Broadway Initiative","Broadway btwn Howard St. & Grand St.","Manhattan","Bus Bulb","Sculpture","2017-08-03T00:00:00.000","2018-07-03T00:00:00.000","40.720444","-74.001095"
"Arterventions","2017","The Blue-Winged Warbler","Diana Perea","Art Bridge + DOHMH","Third Ave. & Weiher Ct.","Bronx","Step Street","Mural","2017-07-21T00:00:00.000","2018-06-21T00:00:00.000","40.826272","-73.907779"
"Arterventions","2017","Rise Up","Josie Gonzalez","Art Bridge + DOHMH","Third Ave. & 164th St. & Boston Rd.","Bronx","Step Street","Mural","2017-07-21T00:00:00.000","2018-06-21T00:00:00.000","40.825343","-73.908126"
"Arterventions","2017","paper_airplane-(public)","Chad Stayrook","Bronx River Art Center","E Tremont Ave. & Boston Rd.","Bronx","Plaza","Sculpture","2017-07-20T00:00:00.000","2018-06-20T00:00:00.000","40.840116","-73.880239"
"Arterventions","2017","Cloud Drift","Katarina Jerinic","Gowanus Souvenir Shop","Gowanus Canal Bridges (9 sites)","Brooklyn","Light Poles","Flag","2017-06-21T00:00:00.000","2017-09-21T00:00:00.000","40.679498","-73.988338"
"Arterventions","2017","Sew and Sew","Steed Taylor","Garment District Alliance","Broadway btwn 36th St. & 37th St. & 39th St. & 40th St.","Manhattan","Seasonal Street","Asphalt Mural","2017-06-19T00:00:00.000","2017-09-04T00:00:00.000","40.751699","-73.987594"
"Arterventions","2017","Wave Walk","Various artists","Project Zero","125th St. & Park Ave., Albee Sq., Cooper Sq., Flatiron Plaza, Pearl St. Triangle","Manhattan","Plaza","Sculpture","2017-05-18T00:00:00.000","2017-06-22T00:00:00.000","40.805087","-73.939060"
"Arterventions","2017","Who Wrote the Book Of?","Mark Garcia","The Ridgewood Bushwick Senior, Citizens Council, Inc.","Knickerbocker Plaza, Knickerbocker Ave., Greene Ave. & Myrtle Ave.","Brooklyn","Plaza","Mural","2017-05-13T00:00:00.000","2018-04-13T00:00:00.000","40.698877","-73.918599"
"Community Commissions","2017","We Are All Tourists","Cristian Pietrapiana","Local Project","Queens Plaza S. & Vernon Blvd.","Queens","Fence","Intervention","2017-05-12T00:00:00.000","2018-04-12T00:00:00.000","40.754340","-73.949355"
"Community Commissions","2017","Common Demoninator","Anthony Heinz May","Dyckman Farmhouse Museum","Dyckman St. & Riverside Dr.","Manhattan","Sidewalk","Sculpture","2017-05-04T00:00:00.000","2018-04-04T00:00:00.000","40.865626","-73.927459"
"Arterventions","2017","Between Spaces","Lina Puerta","LIC Partnership","Queens Plaza North btwn 21st St. & 22nd St.","Queens","Fence","Intervention","2017-04-28T00:00:00.000","2017-05-22T00:00:00.000","40.752545","-73.943700"
"Community Commissions","2017","Exquisite Corpse","Fanny Allie","A.I.R. Gallery","Putnam Plaza, Fulton St. & Grand Ave.","Brooklyn","Plaza","Sculpture","2017-04-20T00:00:00.000","2018-03-10T00:00:00.000","40.682567","-73.961928"
"Arterventions","2017","Jan Palach Memorial","John Hejduk","Cooper Union","E. 7th St. & Cooper Sq.","Manhattan","Sidewalk","Sculpture","2017-03-24T00:00:00.000","2017-06-11T00:00:00.000","40.729014","-73.990724"
"Special Projects","2017","Made in the Bronx","Various artists","Bronx Documentary Center","Fordham Road Plaza","Bronx","Plaza","Vinyl","2017-02-14T00:00:00.000","2018-01-14T00:00:00.000","40.860507","-73.888838"
"Arterventions","2018","Light Year","Leo Kuelbs, John Ensor Parker, Farkas Fulop","DUMBO BID","Manhattan Bridge Archway","Brooklyn","Bridge Archway","Projection","2017-01-01T00:00:00.000","2017-12-01T00:00:00.000","40.703161","-73.987882"
"Arterventions","2016","Drift","Leonard Ursahci","DUMBO Improvement District","Manhattan Bridge Archway","Brooklyn","Bridge Archway","Sculpture","2016-11-28T00:00:00.000","2017-04-01T00:00:00.000","40.703161","-73.987882"
"Barrier Beautification","2016","Bounce","Brittany Baldwin","New York Cares","Queens Blvd. btwn Woodhaven Blvd. & 59th Ave.","Queens","Barrier","Mural","2016-11-17T00:00:00.000","2017-10-17T00:00:00.000","40.733728","-73.870247"
"Arterventions","2016","Flatiron Sky-Line","LOT","Flatiron/23rd Street Partnership","Flatiron Plaza","Manhattan","Plaza","Sculpture","2016-11-16T00:00:00.000","2017-01-03T00:00:00.000","40.741632","-73.989289"
"Arterventions","2016","I Love the Bronx","Johnny Alamo (Clark Fly ID)","Art Bridge + DOHMH","Henwood Pl. btwn Walton Ave. & Morris Ave.","Bronx","Step Street","Mural","2016-11-05T00:00:00.000","2017-10-05T00:00:00.000","40.847412","-73.909417"
"Barrier Beautification","2016","Destination","Frank Parga","New York Cares","South St. btwn Pike Slip & Clinton St.","Manhattan","Barrier","Mural","2016-10-26T00:00:00.000","2017-09-26T00:00:00.000","40.710166","-73.989288"
"Arterventions","2016","Paparazzi Dogs","Gillie and Marc Schattner","Village Alliance","Ruth Wittenberg Triangle","Manhattan","Triangle","Sculpture","2016-10-18T00:00:00.000","2017-09-17T00:00:00.000","40.733997","-73.999492"
"Special Projects","2016","We Call This Place Home","Chat Travieso and Sam Holleran","Hester Street Collaborative","South St. btwn Rutgers St. & Montgomery St.","Manhattan","Median","Sculpture","2016-10-15T00:00:00.000","2017-09-15T00:00:00.000","40.710203","-73.989342"
"Special Projects","2016","Hakoniwa","Nami Yamamoto","Department of Design & Construction, Myrtle Avenue Brooklyn Partnership, International Studio & Curatorial Program","Myrtle Ave. btwn Grand Ave. & Emerson Pl.","Brooklyn","Fence","Intervention","2016-09-16T00:00:00.000","2017-08-16T00:00:00.000","40.693767","-73.963161"
"Arterventions","2016","Fancy Animal Carnival","Hung Yi","Garment District Alliance","Broadway btwn 36th St. & 41st St.","Manhattan","Plaza","Sculpture","2016-09-14T00:00:00.000","2017-04-01T00:00:00.000","40.751699","-73.987594"
"Arterventions","2016","Best of Brownsville","Brownsville Builders","Center for Court Innovation","Livonia Ave. & Rockaway Ave.","Brooklyn","Sidewalk","Sculpture","2016-09-09T00:00:00.000","2016-12-01T00:00:00.000","40.662541","-73.908846"
"Community Commissions","2016","Dubbed in Flight","Kathleena Howie (Lady K Fever)","The Bronx Museum of the Arts","165th St. & Carroll Pl.","Bronx","Step Street","Mural","2016-08-21T00:00:00.000","2017-07-28T00:00:00.000","40.830544","-73.919445"
"Arterventions","2016","Ascension","Jordan Baker-Caldwell","Hudson Yards / Hell's Kitchen Alliance","W 36th St. & 9th Ave.","Manhattan","Sidewalk","Sculpture","2016-08-09T00:00:00.000","2017-07-09T00:00:00.000","40.754713","-73.995374"
"Arterventions","2016","Forged Worlds","United Photo Industries","United Photo Industries","Manhattan Bridge Archway","Brooklyn","Fence","Vinyl","2016-07-28T00:00:00.000","2017-06-26T00:00:00.000","40.703161","-73.987882"
"Special Projects","2016","Big City of Dreams","Andrea von Bujdoss (Queen Andrea)","DOT Art + Bike Share","N 4th St. & Roebling","Brooklyn","Bike Share Station","Asphalt Mural","2016-06-15T00:00:00.000","2017-05-15T00:00:00.000","40.714670","-73.957223"
"Arterventions","2016","Spread Love is the Brooklyn Way","Boa Mistura","Open Source Gallery, Inc.","3rd Ave. btwn 17th St. & Prospect Ave.","Brooklyn","Bridge Wall","Mural","2016-06-14T00:00:00.000","2017-05-23T00:00:00.000","40.666518","-73.994907"
"Arterventions","2016","Fish Spine, Hummingbird, Palenque, Birdhouse","Jorge L. Rodriguez","Marcus Garvey Park Alliance","123rd St., 119th St. & Lenox Ave., E 106th St. & 3rd Ave., E. 106th St. & Lexington Ave.","Manhattan","Median","Sculpture","2016-06-09T00:00:00.000","2017-05-09T00:00:00.000","40.792259","-73.946282"
"Special Projects","2016","Into the Wild, Brooklyn","Nelson Rivas (Cekis)","Atlantic Avenue BID, Brooklyn Bridge Park","Atlantic Ave. & Columbia St.","Brooklyn","Bridge Wall","Mural","2016-06-01T00:00:00.000","2017-05-01T00:00:00.000","40.691510","-73.999544"
"Community Commissions","2016","Seasons of Kew Gardens","Carla Reyes","Kew Gardens Improvement Association, Inc.","80th Rd. btwn Austin St. & Grenfell St.","Queens","Bridge Wall","Mural","2016-05-01T00:00:00.000","2016-11-17T00:00:00.000","40.711786","-73.833295"
"Special Projects","2016","Our Treasures are Within","Joel Bergner and students from St. Gregory the Great School","DOT Art + St. Gregory the Great School","88th Rd. & Cross Island Pkwy","Queens","Bridge Wall","Mural","2016-04-29T00:00:00.000","2017-03-29T00:00:00.000","40.729090","-73.724019"
"Arterventions","2016","Liturgy for Lenox Lounge","Micheal Kelly Williams","FLUX Art Fair and Marcus Garvey Park Alliance","Lenox Ave. (Malcom X Blvd.) & 124th St.","Manhattan","Median","Sculpture","2016-04-28T00:00:00.000","2017-03-28T00:00:00.000","40.807049","-73.945823"
"Arterventions","2016","Paparazzi Dogs","Gillie and Marc Schattner","DUMBO BID","Pearl Street Triangle","Brooklyn","Triangle","Sculpture","2016-04-28T00:00:00.000","2016-10-21T00:00:00.000","40.702992","-73.987702"
"Barrier Beautification","2016","Crushing It","Nancy Ahn","NY Cares","Columbia St. btwn Atlantic Ave. & Congress St.","Brooklyn","Barrier","Mural","2016-04-16T00:00:00.000","2017-03-16T00:00:00.000","40.690528","-74.000096"
"Barrier Beautification","2016","Cats in Repose","Sarah Nicole Phillips","NY Cares","161st St. & Gerard Ave.","Bronx","Barrier","Mural","2016-04-16T00:00:00.000","2017-03-16T00:00:00.000","40.827460","-73.924998"
"Arterventions","2016","Doctors Without Borders","Williams Daniels","United Photo Industries","Manhattan Bridge Archway","Brooklyn","Bridge Archway","Vinyl","2016-04-05T00:00:00.000","2016-05-02T00:00:00.000","40.703161","-73.987882"
"Arterventions","2016","This City of Jazz","Tammy Nguyen","FLUX Art Fair and Marcus Garvey Park Alliance","Marcus Garvey Park","Manhattan","Light Poles","Signage","2016-04-02T00:00:00.000","2016-08-01T00:00:00.000","40.804515","-73.943795"
"Arterventions","2016","Disorder: 9 Uneven Angles","Bernar Venet","Union Square Partnership and Paul Kasmin Gallery","E 17th St. & Broadway","Manhattan","Plaza","Sculpture","2016-03-06T00:00:00.000","2016-06-01T00:00:00.000","40.737109","-73.990351"
"Arterventions","2016","Mass Medium","Harry Gordon","Garment District Alliance","Broadway btwn 36th St. & 41st St.","Manhattan","Plaza","Sculpture","2016-01-11T00:00:00.000","2016-05-06T00:00:00.000","40.751699","-73.987594"
"Arterventions","2015","HeartSeat","Stereotank","Fordham Road BID","East Fordham Rd. & Webster Ave.","Bronx","Sidewalk","Sculpture","2015-11-23T00:00:00.000","2016-10-23T00:00:00.000","40.861844","-73.891326"
"Arterventions","2015","Nova","SOFTlab","Flatiron/23rd Street Partnership","Flatiron Plaza","Manhattan","Plaza","Sculpture","2015-11-16T00:00:00.000","2016-01-06T00:00:00.000","40.741632","-73.989289"
"Community Commissions","2015","Intersections","Miguel Del Real","Arts Gowanus","4th Ave. & Prospect Ave.","Brooklyn","Bridge Wall","Mural","2015-10-15T00:00:00.000","2016-09-15T00:00:00.000","40.665318","-73.992927"
"Arterventions","2015","South Bronx Timeline","Andrew Antonaccio and Fillio Galvez (2Alas)","East Harlem Council for Community Improvement, Inc.","138th St. Bridge at Grand Concourse","Bronx","Bridge Wall","Mural","2015-10-11T00:00:00.000","2016-09-11T00:00:00.000","40.813192","-73.930301"
"Barrier Beautification","2015","Jazz City","Jessie Contour","NY Cares","Vernon Blvd. btwn 31st Ave. & 40th Ave.","Queens","Barrier","Mural","2015-10-09T00:00:00.000","2016-09-09T00:00:00.000","40.768940","-73.935866"
"Arterventions","2015","Temptation and Wandering Mountain","Wendell Castle","Museum of Arts & Design","2 Columbus Circle","Manhattan","Sidewalk","Sculpture","2015-09-26T00:00:00.000","2016-03-08T00:00:00.000","40.767610","-73.982038"
"Community Commissions","2015","NEST","Kirk Finkel","Freshkills Park Alliance","St. George Ferry Terminal","Staten Island","Ferry Terminal","Sculpture","2015-09-17T00:00:00.000","2016-08-17T00:00:00.000","40.644174","-74.072550"
"Community Commissions","2015","KHCC Grows","Laura Alvarez","Kingsbridge Heights Community Center (KHCC)","231st St. & Kingsbridge Terrace","Bronx","Step Street","Mural","2015-09-01T00:00:00.000","2016-08-01T00:00:00.000","40.876065","-73.901355"
"Community Commissions","2015","Harlem Sunrise","Gera Lozano","Creative Art Works + NHEMA","125th St. & Park Ave.","Manhattan","Comfort Station","Mural","2015-08-26T00:00:00.000","2016-07-26T00:00:00.000","40.804944","-73.939250"
"Community Commissions","2015","Pedestrian Patterns","Mark Salinas","LIC Partnership + 7 Train Murals","Thomson Ave. btwn 44th Dr. & Skillman Ave.","Queens","Bridge Wall","Mural","2015-08-15T00:00:00.000","2016-06-24T00:00:00.000","40.745577","-73.939242"
"Arterventions","2015","Everything","Hanna Liden","Art Production Fund","Ruth Wittenberg Triangle","Manhattan","Triangle","Sculpture","2015-07-21T00:00:00.000","2015-10-04T00:00:00.000","40.733997","-73.999492"
"Arterventions","2015","Fractured Spectrum","Publicolor","Publicolor","East 177th St. btwnn Bronx River Pkwy & Bronx River Ave.","Bronx","Bridge Wall","Mural","2015-06-01T00:00:00.000","2016-05-01T00:00:00.000","40.837216","-73.874627"
"Special Projects","2015","191st Street Tunnel Beautification Project","Various artists","Northern Manhattan Arts Alliance","191st St. Subway Tunnel, W 191st St. & Broadway","Manhattan","Tunnel","Mural","2015-05-18T00:00:00.000","2016-04-18T00:00:00.000","40.856493","-73.932730"
"Arterventions","2015","The Flatbush Trees Project: This Land is Your Land","David Eppley","PLG Arts","Flatbush Ave. at  Empire Ave. & Ocean Ave.","Brooklyn","Sidewalk","Vinyl","2015-05-11T00:00:00.000","2016-04-11T00:00:00.000","40.662920","-73.962430"
"Barrier Beautification","2015","Alphabet City","Elizabeth Hamby","NY Cares","Flushing Ave. btwn Williamsburg St. W & Washington Ave.","Brooklyn","Barrier","Mural","2015-04-18T00:00:00.000","2016-03-18T00:00:00.000","40.697714","-73.965037"
"Barrier Beautification","2015","Rhythmic Flow","Kati Vilim","NY Cares","Williamsburg St. West btwn Kent Ave. & Flushing Ave.","Brooklyn","Barrier","Mural","2015-04-18T00:00:00.000","2016-03-18T00:00:00.000","40.699712","-73.962424"
"Arterventions","2015","Groundswell Community Mural Project","Groundswell Community Mural Project","Groundswell Community Mural Project","Fort Hamilton Pkwy btwn 61st St. & 62nd St.","Brooklyn","Bridge Wall","Mural","2015-04-16T00:00:00.000","2016-03-25T00:00:00.000","40.632593","-74.006327"
"Community Commissions","2015","Shipwreck","Montserrat Daubon",,"155th St. & Overlook Terrace","Manhattan","Sidewalk","Sculpture","2015-04-01T00:00:00.000","2016-03-01T00:00:00.000","40.834277","-73.949099"
"Community Commissions","2015","Greenery","Ruth Hofheimer","Arts Gowanus","4th Ave. & Prospect Ave.","Brooklyn","Median","Sculpture","2015-02-23T00:00:00.000","2016-01-23T00:00:00.000","40.665584","-73.992746"
"Arterventions","2014","New York Light","INABA","Flatiron/23rd Street Partnership","Flatiron Plaza","Manhattan","Plaza","Sculpture","2014-11-24T00:00:00.000","2015-01-05T00:00:00.000","40.741632","-73.989289"
"Community Commissions","2014","Ringing Waves","Asae Soya","ISCP","45th St. btwn 10th Ave. & 11th Ave.","Manhattan","Bridge Wall","Mural","2014-11-24T00:00:00.000","2015-10-24T00:00:00.000","40.761841","-73.994772"
"Arterventions","2014","Bridge of Flowers","Scott Sturgill","Arts Gowanus","Union Street Bridge","Brooklyn","Fence","Intervention","2014-10-14T00:00:00.000","2014-11-01T00:00:00.000","40.679510","-73.988386"
"Barrier Beautification","2014","Composition in Blue, Yellow and Red: Homage to Piet Mondrian","Eirini Linardaki","NY Cares","37th Ave. & 69th St.","Queens","Barrier","Mural","2014-10-03T00:00:00.000","2015-09-03T00:00:00.000","40.748572","-73.895471"
"Community Commissions","2014","Aqua Hung","Xavier Figueroa","BRAC","E Tremont Ave. & Boston Rd.","Bronx","Plaza","Sculpture","2014-10-03T00:00:00.000","2015-09-03T00:00:00.000","40.840116","-73.880239"
"Special Projects","2014","Swish Swash","Andrea Bergart","Queens Council of the Arts","Metropolitan Ave. & Fresh Pond Rd.","Queens","Fence","Intervention","2014-09-26T00:00:00.000","2015-08-26T00:00:00.000","40.712706","-73.900643"
"Arterventions","2014","Patriot","Steed Taylor","Visual AIDS","187th St. btwn Fort Washington Ave. & Overlook Terr.","Manhattan","Step Street","Mural","2014-09-14T00:00:00.000","2015-08-14T00:00:00.000","40.854952","-73.936079"
"Arterventions","2014","Sonic Forest","Chris Janney","AIA","LaGuardia Pl. btwn W 3rd St. & Bleeker St.","Manhattan","Sidewalk","Interactive","2014-09-05T00:00:00.000","2014-09-12T00:00:00.000","40.728100","-73.998973"
"Arterventions","2014","Personal Mythologies","United Photo Industries","United Photo Industries","Manhattan Bridge Archway","Brooklyn","Fence","Vinyl","2014-08-26T00:00:00.000","2015-07-26T00:00:00.000","40.703161","-73.987882"
"Community Commissions","2014","Dandelions","Carin Mincemoyer","Columbus Amsterdam BID","97th St. btwn Columbus Ave. & Amsterdam Ave.","Manhattan","Sidewalk","Sculpture","2014-08-22T00:00:00.000","2015-07-22T00:00:00.000","40.794120","-73.968497"
"Art Display Case","2014","Madeline","NYHS","NYHS","Park Ave. & 21st St., 46th St., 55th St.","Manhattan","Sidewalk","Art Display Case","2014-08-01T00:00:00.000","2014-08-18T00:00:00.000","40.738963","-73.987204"
"Arterventions","2014","Las Bicicletas","Gilberto Aceves Navarro","Fundacion Aceves Navarro","Various sites","Manhattan/Brooklyn","Sidewalk","Sculpture","2014-07-13T00:00:00.000","2014-09-30T00:00:00.000","40.715878","-73.996099"
"Community Commissions","2014","Las Mariposas Amarillas","Lina Montoya","El Centro del Inmigrante","Jewett Ave. & Richmon Terrace","Staten Island","Fence","Intervention","2014-07-02T00:00:00.000","2015-06-04T00:00:00.000","40.637368","-74.128620"
"Arterventions","2014","The H in Harlem","Bentley Meeker","Bentley Meeker Lighting","Harlem Viaduct at W 125th St. & 12th Ave.","Manhattan","Bridge Archway","Sculpture","2014-06-23T00:00:00.000","2014-09-30T00:00:00.000","40.818015","-73.960415"
"Community Commissions","2014","Modern Tapestry","Kim Sillen","Lower East Side BID","Ludlow St. & Canal St. & Division St.","Manhattan","Pedestrianized Asphalt Space","Asphalt Mural","2014-06-20T00:00:00.000","2015-05-20T00:00:00.000","40.714589","-73.991047"
"Community Commissions","2014","Trust Your Vision","Gilf!","DUMBO BID","Front St. btwn Adams St. & Pearl St.","Brooklyn","Fence","Intervention","2014-06-20T00:00:00.000","2015-05-20T00:00:00.000","40.702469","-73.987982"
"Community Commissions","2014","Eastbound, Westbound","John Chadwell","Kew Gardens Improvement Association, inc.","82nd Ave. btwn Grenfel St. & Austin St.","Queens","Barrier","Mural","2014-06-07T00:00:00.000","2015-05-07T00:00:00.000","40.710697","-73.831994"
"Community Commissions","2014","Birds","Mohamed Sharkawy","ISCP","Queens Plaza S. & Vernon Blvd.","Queens","Fence","Intervention","2014-05-28T00:00:00.000","2015-04-28T00:00:00.000","40.754340","-73.949355"
"Arterventions","2014","The Sentinels","Chakaia Booker","Garment District Alliance","Broadway btwn 36th St. & 39th St.","Manhattan","Plaza","Sculpture","2014-05-27T00:00:00.000","2014-11-05T00:00:00.000","40.751699","-73.987594"
"Art Display Case","2014","Residents of New York","MORE Art","MORE Art","LaGuardia Place btwn W 3rd St. & Bleeker St.","Manhattan","Sidewalk","Art Display Case","2014-05-19T00:00:00.000","2014-08-19T00:00:00.000","40.728100","-73.998973"
"Special Projects","2014","Guastavino Tile Pattern # 8","Pure and Applied","NY Cares","1st Ave. btwn 59th St. & 60th St.","Manhattan","Barrier","Mural","2014-05-17T00:00:00.000","2015-04-17T00:00:00.000","40.759662","-73.961957"
"Community Commissions","2014","Sky Feather","Petros Chrisostomou","ISCP","Lenox Ave. (Malcom X Blvd.) and 124th St.","Manhattan","Median","Sculpture","2014-05-14T00:00:00.000","2015-04-14T00:00:00.000","40.807049","-73.945823"
"Special Projects","2014","From a Different Perspective","Herb Smith","DOT Bike Share","E 4th St. & 2nd Ave.","Manhattan","Bike Share Station","Mural","2014-05-12T00:00:00.000","2015-04-12T00:00:00.000","40.726253","-73.989605"
"Art Display Case","2014","Art & Soul of the Southeast Queens Community","JCAL","Jamaica Center BID","Parsons Blvd. & Jamaica Ave.","Queens","Sidewalk","Art Display Case","2014-04-22T00:00:00.000","2014-10-22T00:00:00.000","40.703390","-73.800162"
"Barrier Beautification","2014","Singing in the Rain","John Locke","NY Cares","E 36th St. & 9th Ave.","Manhattan","Barrier","Mural","2014-04-12T00:00:00.000","2015-03-11T00:00:00.000","40.754671","-73.995318"
"Barrier Beautification","2014","Spring Wind","Mayuko Fujino","NY Cares","180th St. & Devoe Ave.","Bronx","Barrier","Mural","2014-04-12T00:00:00.000","2015-03-11T00:00:00.000","40.842052","-73.875985"
"Arterventions","2014","The Faberge Big Egg Hunt","Various artists","Elephant Family and Studio in a School","Various sites citywide","All boroughs","Plaza","Sculpture","2014-03-31T00:00:00.000","2014-04-18T00:00:00.000","40.644174","-74.072550"
"Art Display Case","2013","New York (Outer Borough Stories)","United Photos Industries","United Photo Industries","Water St. btwn Wall St. & Pine St., and Gouveneur Ln. btwn Water St. & Front St.","Manhattan","Sidewalk","Art Display Case","2013-12-19T00:00:00.000","2014-03-19T00:00:00.000","40.705409","-74.007026"
"Community Commissions","2013","Silent Lights","Urban Matter Inc.","Mrytle Avenue  Improvement Distrcit","Navy St. & Park Ave.","Brooklyn","Sidewalk","Installation","2013-11-15T00:00:00.000","2014-10-15T00:00:00.000","40.696458","-73.980332"
"Art Display Case","2013","There is No US Without U","VA NYHHS Veterans","Downtown Brooklyn Partnership","Myrtle Ave. & 71st Ave.","Queens","Plaza","Art Display Case","2013-11-13T00:00:00.000","2014-04-01T00:00:00.000","40.702049","-73.880222"
"Arterventions","2013","What We Came For","Cara Lynch","Historic House Trust","165th St. & Carroll Pl.","Bronx","Step Street","Mural","2013-10-26T00:00:00.000","2014-09-26T00:00:00.000","40.830546","-73.919442"
"Community Commissions","2013","Ruby Walks","Sharon de la Cruz","THE POINT Community Development Corporation","Hunts Point Ave. btwn Bruckner Blvd. & Garrison Ave.","Bronx","Bridge Wall","Intervention","2013-10-25T00:00:00.000","2014-09-12T00:00:00.000","40.819662","-73.890151"
"Arterventions","2013","Unparallel Way","Emily Weiskopf","Old Stone House","4th Ave. btwn 3rd St. & 4th St.","Brooklyn","Median","Sculpture","2013-10-22T00:00:00.000","2014-09-22T00:00:00.000","40.673873","-73.985787"
"Barrier Beautification","2013","Pre Hispanic Patterns","Melissa Godoy Nieto","NY Cares, Mayor's Community Affairs Unit","161st St. & Gerard Ave.","Bronx","Barrier","Mural","2013-10-19T00:00:00.000","2014-09-19T00:00:00.000","40.827460","-73.924998"
"Barrier Beautification","2013","Sight Scene","Brittany Falussy","NY Cares, Mayor's Community Affairs Unit","Bruckner Blvd. & Bryant Ave.","Bronx","Barrier","Mural","2013-10-19T00:00:00.000","2014-09-19T00:00:00.000","40.821997","-73.888336"
"Arterventions","2013","Going Around by Passing Through","Richard Dupont","Museum of Arts & Design","2 Columbus Circle","Manhattan","Sidewalk","Sculpture","2013-10-08T00:00:00.000","2014-04-08T00:00:00.000","40.767610","-73.982038"
"Arterventions","2013","Converge: Ghraib Bag","Michael Reese","Museum of Arts & Design","Broadway btwn 58th St. & 59th St.","Manhattan","Plaza","Sculpture","2013-10-08T00:00:00.000","2014-04-08T00:00:00.000","40.767471","-73.981677"
"Arterventions","2013","TALLY-HO","Allen Glatter","Two Trees Management Co.","Front St. & York St.","Brooklyn","Sidewalk","Sculpture","2013-09-20T00:00:00.000","2014-08-20T00:00:00.000","40.702540","-73.991676"
"Community Commissions","2013","Flexible","Darren Goins","Variety Boys and Girls Club of Queens","46th St. & Queens Blvd.","Queens","Plaza","Sculpture","2013-09-19T00:00:00.000","2014-10-22T00:00:00.000","40.743252","-73.918738"
"Special Projects","2013","Lovely to See You","Emily Caisip","DOT Bike Share and NY Cares","Franklin St. btwn W Broadway & Varick St.","Manhattan","Bike Share Station","Mural","2013-08-26T00:00:00.000","2014-07-26T00:00:00.000","40.718957","-74.006763"
"Arterventions","2013","South Halftones","Elian and Pastel","El Museo del Barrio","138th St. Bridge at Grand Concourse","Bronx","Bridge Wall","Mural","2013-08-19T00:00:00.000","2015-10-01T00:00:00.000","40.813192","-73.930301"
"Community Commissions","2013","Tetra-Elements","Manuel Acevedo","BRAC","E Tremont Ave. & Boston Rd.","Bronx","Sidewalk","Sculpture","2013-08-16T00:00:00.000","2014-07-18T00:00:00.000","40.840116","-73.880239"
"Arterventions","2013","DUMBO Walls","Various artists","DUMBO BID & Two Trees Management","York St. btwn Washington St. & Pearl St.","Brooklyn","Bridge Wall","Mural","2013-08-01T00:00:00.000","2014-07-02T00:00:00.000","40.701369","-73.988635"
"Arterventions","2013","Monkey Magic","Tang-Wei Hsu","ISCP","W 36th St. & 9th Ave.","Manhattan","Sidewalk","Sculpture","2013-07-22T00:00:00.000","2014-06-22T00:00:00.000","40.754713","-73.995374"
"Special Projects","2013","There Goes the Neighborhood","Lisa Dahl","Staten Island Arts","St. George Ferry Terminal","Staten Island","Plaza Steps","Vinyl","2013-07-01T00:00:00.000","2014-06-01T00:00:00.000","40.644174","-74.072550"
"Arterventions","2013","Lemniscatus","Gina Miccinilli with Compleat Sculptor","Hudson Square Connection","Varick St. btwn Broome St. & Watts St.","Manhattan","Plaza","Sculpture","2013-06-29T00:00:00.000","2014-05-29T00:00:00.000","40.724099","-74.006134"
"Community Commissions","2013","Aquatic Random","Gabriela Galvan","ISCP","St. George Ferry Terminal","Staten Island","Ferry Terminal","Sculpture","2013-06-27T00:00:00.000","2014-05-16T00:00:00.000","40.644174","-74.072550"
