DEVELOPMENT,STREET ADDRESS,POSTCODE,BOROUGH,BLDG. NUMBER,TDS NUMBER,BIN,No. of FLOORS,ROOF SPACE (Sq. Ft.),ESTIMATED ROOF SOLAR CAPACITY (kW),ADJUSTED VALUE (kW),ROOF CONDITION RATING OR REPLACEMENT DATE,No. of RESIDENTIAL UNITS,No. of TOTAL UNITS,SENIOR DEVELOPMENT (YES/NO),Community Board,Council District,Census Tract,BBL,NTA,Location 1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
HOWARD,40 GLENMORE AVENUE,11212,BROOKLYN,4,72,3339437,7,8718.32,35.68,35.68,Replaced 11/16,70,70,No,16,41,906,3034890001,Brownsville                                                                ,"(40.671188, -73.909449)",17614,55,2,17,46
LA GUARDIA,250 CLINTON STREET,10002,MANHATTAN,6,76,1083387,16,6474,38.8,38.8,Replaced 5/16,124,124,No,3,1,201,1002580001,Lower East Side                                                            ,"(40.711579, -73.98674)",11723,70,4,32,4
LAFAYETTE,433 LAFAYETTE AVENUE,11238,BROOKLYN,7,122,3321868,20,7843.52,45.41,31.79,3.6,154,156,No,3,35,233,3019380001,Bedford                                                                    ,"(40.689147, -73.957754)",17212,69,2,48,51
BARUCH,120 BARUCH DRIVE,10002,MANHATTAN,9,60,1078034,13,8423.85,50.03,35.02,Replaced 9/16,67,67,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.718961, -73.977352)",11723,70,4,50,4
TAYLOR STREET-WYTHE AVENUE,626 WYTHE PLACE,11249,BROOKLYN,1,234,3059901,11,13075.55,89.71,62.79,Replaced  1/16,138,138,No,1,33,545,3021750070,Williamsburg                                                               ,"(40.704468, -73.964589)",17613,36,2,38,56
UNITY PLAZA (SITES 4-27),360 WILLIAMS AVENUE,11207,BROOKLYN,1,261,3328048,6,12775.83,80.72,56.51,1.9,82,82,No,5,42,1134,3037840001,East New York (Pennsylvania Ave)                                           ,"(40.66713, -73.898525)",17214,45,2,25,47
WAGNER,10 PALADINO AVENUE,10035,MANHATTAN,13,74,1081296,16,6564.64,43.79,30.65,2.9,120,121,No,11,8,192,1018080001,East Harlem North                                                          ,"(40.800525, -73.931565)",13093,7,4,35,16
BARUCH,525 FDR DRIVE,10002,MANHATTAN,4,60,1078030,13,8429.73,50.28,35.2,Replaced 9/16,67,67,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.715502, -73.976372)",11723,70,4,50,4
POLO GROUNDS TOWERS,2931 FREDERICK DOUGLASS BOULEVARD,10039,MANHATTAN,1,149,1084518,30,13831.45,91.83,64.28,3.9,418,418,No,10,9,24302,1021060003,Central Harlem North-Polo Grounds,"(40.829386, -73.937118)",13097,18,4,36,20
BERRY,40 DONGAN HILLS AVENUE,10306,STATEN ISLAND,4,52,5109568,6,10870.84,45.79,32.05,Replaced 1/16,64,64,No ,2,50,11401,5035320500,Old Town-Dongan Hills-South Beach                                          ,"(40.58799, -74.100653)",10693,30,1,14,76
LAFAYETTE,415 LAFAYETTE AVENUE,11238,BROOKLYN,6,122,3321869,13,7646.47,43.67,30.57,1.9,102,102,No,3,35,233,3019380001,Bedford                                                                    ,"(40.68907, -73.958432)",17212,69,2,48,51
GLENMORE PLAZA,109 CHRISTOPHER AVENUE,11212,BROOKLYN,4,171,3326947,18,6495.82,41.42,29,Replaced 10/15,124,124,No,16,37,908,3037090001,Brownsville                                                                ,"(40.671015, -73.906179)",17614,55,2,37,46
GLENWOOD,5812 FARRAGUT ROAD,11234,BROOKLYN,15,44,3331003,6,8344.28,30.19,30.19,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.636727, -73.920611)",13825,5,2,26,38
MARINER'S HARBOR,62 ROXBURY STREET,10303,STATEN ISLAND,2,77,5110016,3,5745.02,18.59,18.59,Replaced 6/16,18,18,No,1,49,31901,5012450001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.633442, -74.164478)",10371,4,1,13,75
BARUCH,288 DELANCEY STREET,10002,MANHATTAN,13,60,1078038,13,9924.18,45.41,31.79,4.7,65,65,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.715917, -73.97985)",11723,70,4,50,4
FOREST,770 EAST 165TH STREET,10456,BRONX,8,59,2091962,9,7942.69,47.16,33.01,4.9,87,87,No,3,16,133,2026390001,Morrisania-Melrose                                                         ,"(40.82482, -73.903003)",10934,34,5,42,25
TAFT,70 EAST 115TH STREET,10029,MANHATTAN,7,97,1080643,19,8173.8,61.26,42.88,Replaced 11/15,186,186,No,11,8,184,1016200023,East Harlem North                                                          ,"(40.798844, -73.944313)",12426,7,4,35,14
WAGNER,2395 1ST AVENUE,10035,MANHATTAN,18,74,1081279,7,5858.67,31.82,31.82,4.1,55,55,No,11,8,194,1017970001,East Harlem North                                                          ,"(40.80013, -73.932407)",13093,7,4,35,16
MOTT HAVEN,370 EAST 141ST STREET,10454,BRONX,0,121,2109610,1,566.65,0,0,N/A (playground),0,0,Non-residential,1,8,39,2023030021,Mott Haven-Port Morris                                                     ,"(40.81147, -73.922537)",10932,49,5,35,23
TAYLOR STREET-WYTHE AVENUE,51 ROSS STREET,11249,BROOKLYN,2,234,3059903,13,7503.51,55.77,39.04,Replaced  11/15,108,108,No,1,33,545,3021750080,Williamsburg                                                               ,"(40.703172, -73.964363)",17613,36,2,38,56
WAGNER,2360 1ST AVENUE,10035,MANHATTAN,9,74,1081292,16,9369.1,22.83,22.83,3.2,120,120,No,11,8,192,1018080001,East Harlem North                                                          ,"(40.799137, -73.933109)",13093,7,4,35,16
EAST 152ND STREET-COURTLANDT AVENUE,370 EAST 153RD STREET,10455,BRONX,2,237,2088143,11,9004.5,54.4,38.08,Replaced 1/16,91,91,No,1,17,67,2023990010,Melrose South-Mott Haven North                                             ,"(40.819218, -73.917795)",10933,49,5,43,23
MARINER'S HARBOR,195 CONTINENTAL PLACE,10303,STATEN ISLAND,22,77,5109132,3,6051.5,19.84,19.84,Replaced 6/16,18,18,No,1,49,31901,5012480200,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.630254, -74.163335)",10371,4,1,13,75
LAFAYETTE,325 CLASSON AVENUE,11205,BROOKLYN,1,122,3321871,15,12131.78,36.56,36.56,3.1,104,104,No,3,35,233,3019380001,Bedford                                                                    ,"(40.690026, -73.96022)",17212,69,2,48,51
WAGNER,2369 1ST AVENUE,10035,MANHATTAN,14,74,1081277,16,6540.25,41.8,29.26,3.8,121,125,No,11,8,194,1017970001,East Harlem North                                                          ,"(40.799546, -73.932834)",13093,7,4,35,16
MARINER'S HARBOR,124 BRABANT STREET,10303,STATEN ISLAND,17,77,5109125,6,4568.32,12.23,12.23,Replaced 6/16,35,35,No,1,49,31901,5012480200,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.631729, -74.1626)",10371,4,1,13,75
PARKSIDE,2959 WHITE PLAINS ROAD,10467,BRONX,11,47,2101735,7,7361.85,36.06,36.06,Replaced 6/17,56,56,No,11,15,336,2045420100,Bronxdale                                                                  ,"(40.869298, -73.867245)",11605,59,5,22,32
NEW LANE AREA,70 NEW LANE,10305,STATEN ISLAND,1,314,5042254,10,28664.41,184.53,129.17,Replaced 12/15,276,277,Yes,1,49,6,5028320068,Stapleton-Rosebank                                                         ,"(40.612811, -74.062256)",10692,4,1,13,74
GLENWOOD,5802 FARRAGUT ROAD,11234,BROOKLYN,11,44,3331009,6,8358.21,36.68,36.68,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.636606, -73.920842)",13825,5,2,26,38
HOWARD,280 MOTHER GASTON BOULEVARD,11212,BROOKLYN,9,72,3339442,7,8718.69,34.81,34.81,Replaced 11/16,70,70,No,16,41,906,3034890001,Brownsville                                                                ,"(40.672537, -73.907612)",17614,55,2,17,46
TAFT,1365 5TH AVENUE,10029,MANHATTAN,3,97,1080501,19,14290.54,40.92,28.65,Replaced 12/15,201,201,No,11,9,184,1016180001,East Harlem North                                                          ,"(40.798815, -73.947799)",12426,7,4,36,14
CARVER,55 EAST 99TH STREET,10029,MANHATTAN,2,58,1082312,15,6675.53,36.93,36.93,Replaced 6/16,116,116,No ,11,8,168,1016050024,East Harlem South                                                          ,"(40.789109, -73.952577)",12426,7,4,35,14
THOMAS APARTMENTS,102 WEST 91ST STREET,10024,MANHATTAN,1,268,1077231,11,5307.9,14.6,14.6,4.8,87,87,Yes,7,6,177,1012210038,Upper West Side                                                            ,"(40.789779, -73.970124)",12421,20,4,19,15
HERNANDEZ,189 ALLEN STREET,10002,MANHATTAN,1,184,1005537,17,11403.44,42.54,29.78,4.6,149,149,No,3,1,3601,1004170001,Chinatown                                                                  ,"(40.722133, -73.988964)",11723,70,4,32,2
FOREST,730 EAST 166TH STREET,10456,BRONX,4,59,2091971,9,7072.93,43.29,30.31,4.9,72,72,No,3,16,135,2026400001,Morrisania-Melrose                                                         ,"(40.826645, -73.903333)",10934,34,5,42,25
GLENWOOD,5704 FARRAGUT ROAD,11234,BROOKLYN,6,44,3331018,6,8465.19,39.55,39.55,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.636132, -73.921775)",13825,5,2,26,38
PARKSIDE,2910 BRONX PARK EAST,10467,BRONX,1,47,2101744,6,6389.74,41.42,29,Replaced 6/17,48,48,No,11,15,336,2045420100,Bronxdale                                                                  ,"(40.868209, -73.87049)",11607,59,5,22,32
RICHMOND TERRACE,456 RICHMOND TERRACE,10301,STATEN ISLAND,1,117,5113004,8,9035.3,38.3,38.3,Replaced 7/16,84,84,No,1,49,7,5000510030,West New Brighton-New Brighton-St. George                                  ,"(40.647442, -74.087625)",10369,4,1,13,74
WAGNER,70 PALADINO AVENUE,10035,MANHATTAN,5,74,1081288,7,5740.11,31.32,31.32,3.8,54,54,No,11,8,192,1018080001,East Harlem North                                                          ,"(40.798421, -73.929726)",13093,7,4,35,16
MARINER'S HARBOR,331 GRANDVIEW AVENUE,10303,STATEN ISLAND,12,77,5109123,3,5779.84,18.71,18.71,Replaced 6/16,18,18,No,1,49,31901,5012450001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.632738, -74.165211)",10371,4,1,13,75
UPACA (SITE 6),1940 LEXINGTON AVENUE,10035,MANHATTAN,1,355,1054368,12,10248.22,87.21,61.05,3.9,150,150,Yes,11,9,196,1017680012,East Harlem North                                                          ,"(40.80073, -73.940093)",13093,7,4,36,16
TAYLOR STREET-WYTHE AVENUE,70 CLYMER STREET,11249,BROOKLYN,5,234,3251702,12,12244.81,49.66,34.76,Replaced  12/15,103,103,No,1,33,545,3021750030,Williamsburg                                                               ,"(40.704855, -73.96627)",17613,36,2,38,56
MOTT HAVEN,350 EAST 143RD STREET,10454,BRONX,5,121,2091099,20,9594.21,34.37,34.37,Replaced 11/16,130,130,No,1,8,41,2023040001,Mott Haven-Port Morris                                                     ,"(40.812897, -73.922138)",10932,49,5,35,23
ADAMS,700 WESTCHESTER AVENUE,10455,BRONX,2,118,2091976,15,9736.18,39.18,39.18,4.1,124,124,No ,1,17,79,2026540002,Melrose South-Mott Haven North                                             ,"(40.816765, -73.907296)",10933,49,5,43,23
PARKSIDE,665 ARNOW AVENUE,10467,BRONX,6,47,2101750,7,7278.28,35.43,35.43,Replaced 6/17,56,56,No,11,15,336,2045420100,Bronxdale                                                                  ,"(40.86793, -73.86894)",11605,59,5,22,32
CARVER,65 EAST 99TH STREET,10029,MANHATTAN,1,58,1082313,15,6669.07,33.69,33.69,Replaced 6/16,120,120,No ,11,8,168,1016050024,East Harlem South                                                          ,"(40.788974, -73.952259)",12426,7,4,35,14
GLENWOOD,5624 FARRAGUT ROAD,11234,BROOKLYN,7,44,3331008,6,8098.64,35.56,35.56,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.635885, -73.922219)",13825,5,2,26,38
RICHMOND TERRACE,151 JERSEY STREET,10301,STATEN ISLAND,6,117,5108496,8,9299.44,43.42,30.39,Replaced 7/16,93,93,No,1,49,7,5000510001,West New Brighton-New Brighton-St. George                                  ,"(40.644047, -74.086727)",10369,4,1,13,74
ELLIOTT,427 WEST 26TH STREET,10001,MANHATTAN,4,15,1012828,12,10284.11,56.52,39.56,4.1,162,162,No,4,3,97,1007240015,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.749056, -74.00148)",11722,12,4,10,6
MARINER'S HARBOR,178 LOCKMAN AVENUE,10303,STATEN ISLAND,7,77,5109118,6,4545.52,9.61,9.61,Replaced 6/16,36,36,No,1,49,31901,5012450001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.632655, -74.161691)",10371,4,1,13,75
FORT WASHINGTON AVENUE REHAB,99 FORT WASHINGTON AVENUE,10032,MANHATTAN,1,309,1063346,7,42715.46,152.68,106.87,2.7,226,226,Yes,12,7,247,1021360235,Washington Heights South                                                   ,"(40.83851, -73.943738)",13090,47,4,23,21
WSUR (SITE A) 120 WEST 94TH STREET,120 WEST 94TH STREET,10025,MANHATTAN,3,151,1032540,9,6546.23,35.31,35.31,4.9,70,70,No,7,6,177,1012240042,Upper West Side                                                            ,"(40.791944, -73.9694)",12422,20,4,19,15
POLO GROUNDS TOWERS,2991 FREDERICK DOUGLASS BOULEVARD,10039,MANHATTAN,4,149,1084521,30,18688.72,88.33,61.83,4.9,360,360,No,10,9,24302,1021060003,Central Harlem North-Polo Grounds,"(40.830983, -73.935939)",13097,18,4,36,20
BARUCH,64 BARUCH DRIVE,10002,MANHATTAN,5,60,1078031,13,8327.22,51.28,35.89,Replaced 9/16,67,67,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.716323, -73.977764)",11723,70,4,50,4
CARVER,1410 PARK AVENUE,10029,MANHATTAN,11,58,1078839,6,5714.1,40.55,28.38,Replaced 6/16,48,48,No ,11,8,168,1016100023,East Harlem South                                                          ,"(40.792028, -73.948566)",12426,7,4,35,14
LEHMAN VILLAGE,1595 MADISON AVENUE,10029,MANHATTAN,3,101,1078857,20,10268.7,44.54,31.18,3.9,151,154,No,11,8,17401,1016130023,East Harlem South                                                          ,"(40.794492, -73.948849)",12426,7,4,35,14
STRAUS,224 EAST 28TH STREET,10016,MANHATTAN,1,153,1019877,20,7453.47,35.68,35.68,3.1,156,156,No,6,2,66,1009080017,Murray Hill-Kips Bay                                                       ,"(40.741567, -73.979921)",12078,71,4,50,7
HIGHBRIDGE GARDENS,1145 UNIVERSITY AVENUE,10452,BRONX,5,78,2095219,13,12508.34,46.16,32.31,3.3,116,116,No,4,16,193,2025270032,Highbridge                                                                 ,"(40.837077, -73.928282)",10930,50,5,42,27
FOREST,765 EAST 165TH STREET,10456,BRONX,7,59,2091974,9,6970.16,44.79,31.35,3.9,72,72,No,3,16,135,2026400001,Morrisania-Melrose                                                         ,"(40.824836, -73.902996)",10934,34,5,42,25
PARKSIDE,680 ADEE AVENUE,10467,BRONX,10,47,2101738,7,7367.89,33.69,33.69,Replaced 6/17,56,56,No,11,15,336,2045420100,Bronxdale                                                                  ,"(40.86968, -73.867812)",11605,59,5,22,32
MARINER'S HARBOR,50 ROXBURY STREET,10303,STATEN ISLAND,3,77,5110014,3,5728.64,19.21,19.21,Replaced 6/16,18,18,No,1,49,31901,5012450001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.633456, -74.163919)",10371,4,1,13,75
CARVER,50 EAST 102ND STREET,10029,MANHATTAN,6,58,1079193,15,6635.28,44.67,31.27,Replaced 6/16,114,114,No ,11,8,168,1016050024,East Harlem South                                                          ,"(40.791024, -73.951337)",12426,7,4,35,14
FOREST,730 EAST 165TH STREET,10456,BRONX,12,59,2097876,14,6587.42,43.04,30.13,3.9,111,111,No,3,16,133,2026390001,Morrisania-Melrose                                                         ,"(40.825079, -73.90408)",10934,34,5,42,25
WAGNER,2400 2ND AVENUE,10035,MANHATTAN,22,74,1081283,16,6582.67,40.05,28.03,2.9,124,125,No,11,8,194,1017970001,East Harlem North                                                          ,"(40.801435, -73.934432)",13093,7,4,35,16
WAGNER,2385 1ST AVENUE,10035,MANHATTAN,17,74,1081278,7,5771.43,30.94,30.94,3.8,55,55,No,11,8,194,1017970001,East Harlem North                                                          ,"(40.799946, -73.932541)",13093,7,4,35,16
TAFT,65 EAST 112TH STREET,10029,MANHATTAN,8,97,1080641,19,8018.98,57.02,39.91,Replaced 11/15,186,186,No,11,8,184,1016200023,East Harlem North                                                          ,"(40.796994, -73.945611)",12426,7,4,35,14
MILL BROOK,620 EAST 137TH STREET,10454,BRONX,8,84,2091268,16,7848.15,49.28,34.5,4.9,145,147,No,1,8,2701,2025480001,Mott Haven-Port Morris                                                     ,"(40.80534, -73.916133)",10932,49,5,35,23
WAGNER,40 PALADINO AVENUE,10035,MANHATTAN,10,74,1081293,7,5738.55,30.94,30.94,3.2,54,54,No,11,8,192,1018080001,East Harlem North                                                          ,"(40.799714, -73.930215)",13093,7,4,35,16
LATIMER GARDENS,34-20 137TH STREET,11354,QUEENS,3,186,4443410,10,17228.62,70.62,49.43,2.5,103,103,No,7,20,88901,4049510008,Flushing                                                                   ,"(40.766198, -73.830122)",13832,22,3,3,67
BERRY,209 JEFFERSON STREET,10306,STATEN ISLAND,5,52,5109569,6,8850.05,28.45,28.45,Replaced 1/16,60,60,No ,2,50,11401,5035320500,Old Town-Dongan Hills-South Beach                                          ,"(40.586876, -74.100824)",10693,30,1,14,76
LA GUARDIA,45 RUTGERS STREET,10002,MANHATTAN,1,76,1077514,16,6573,41.42,29,Replaced 5/16,124,124,No,3,1,6,1002560001,Lower East Side                                                            ,"(40.712076, -73.989864)",11723,70,4,32,4
HOWARD,1548 EAST NEW YORK AVENUE,11212,BROOKLYN,3,72,3339433,13,10323.45,41.42,29,Replaced 11/16,103,103,No,16,41,906,3034890001,Brownsville                                                                ,"(40.672152, -73.911145)",17614,55,2,17,46
GLENMORE PLAZA,89 CHRISTOPHER AVENUE,11212,BROOKLYN,3,171,3326949,18,6760,42.79,29.96,Replaced 10/15,124,124,No,16,37,908,3037090001,Brownsville                                                                ,"(40.671553, -73.906319)",17614,55,2,37,46
WAGNER,350 EAST 124TH STREET,10035,MANHATTAN,21,74,1081282,16,6540.24,41.92,29.34,3.8,125,125,No,11,8,194,1017970001,East Harlem North                                                          ,"(40.801536, -73.933081)",13093,7,4,35,16
PARKSIDE,2825 OLINVILLE AVENUE,10467,BRONX,14,47,2093465,7,6335.63,40.8,28.56,Replaced 6/17,56,56,No,11,15,336,2045070048,Bronxdale                                                                  ,"(40.86721, -73.868319)",11605,59,5,22,32
GLENWOOD,5804 FARRAGUT ROAD,11234,BROOKLYN,14,44,3339410,6,8255.36,39.8,39.8,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.63668, -73.920701)",13825,5,2,26,38
MILL BROOK,640 EAST 137TH STREET,10454,BRONX,9,84,2091269,16,6620.78,28.07,28.07,3.1,128,128,No,1,8,2701,2025480001,Mott Haven-Port Morris                                                     ,"(40.805087, -73.91553)",10932,49,5,35,23
EAST 152ND STREET-COURTLANDT AVENUE,372 EAST 152ND STREET,10455,BRONX,1,237,2090413,14,8671.76,33.06,33.06,Replaced 1/16,130,130,Yes,1,17,67,2023980014,Melrose South-Mott Haven North                                             ,"(40.818516, -73.91793)",10933,49,5,43,23
LEHMAN VILLAGE,70 EAST 108TH STREET,10029,MANHATTAN,4,101,1078858,20,7205.67,25.33,25.33,3.8,155,155,No,11,8,17401,1016130023,East Harlem South                                                          ,"(40.794429, -73.947434)",12426,7,4,35,14
MARINER'S HARBOR,110 BRABANT STREET,10303,STATEN ISLAND,18,77,5109124,3,5717.85,14.97,14.97,Replaced 6/16,18,18,No,1,49,31901,5012480200,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.631647, -74.161951)",10371,4,1,13,75
LA GUARDIA,240 MADISON STREET,10002,MANHATTAN,5,76,1077518,16,6425.92,37.06,37.06,Replaced 5/16,121,123,No,3,1,6,1002560001,Lower East Side                                                            ,"(40.712806, -73.987988)",11723,70,4,32,4
GLENWOOD,1690 RALPH AVENUE,11236,BROOKLYN,19,44,3331005,6,8255.34,38.3,38.3,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.63534, -73.918955)",13825,5,2,26,38
BARUCH,90 BARUCH DRIVE,10002,MANHATTAN,8,60,1078033,13,8427.34,35.68,35.68,Replaced 9/16,67,67,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.718211, -73.97772)",11723,70,4,50,4
CHELSEA ADDITION,436 WEST 27TH DRIVE,10001,MANHATTAN,1,176,1012827,14,15671.72,12.6,12.6,4.9,96,96,Yes,4,3,97,1007240010,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.749773, -74.001252)",11722,12,4,10,6
GLENWOOD,1722 RALPH AVENUE,11236,BROOKLYN,18,44,3331015,6,8255.35,38.55,38.55,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.634804, -73.918898)",13825,5,2,26,38
PARKSIDE,2970 BRONX PARK EAST,10467,BRONX,2,47,2101746,6,6199.18,39.05,39.05,Replaced 6/17,48,48,No,11,15,336,2045420100,Bronxdale                                                                  ,"(40.86934, -73.870517)",11607,59,5,22,32
RICHMOND TERRACE,476 RICHMOND TERRACE,10301,STATEN ISLAND,2,117,5108497,8,8854.71,37.8,37.8,Replaced 7/16,80,80,No,1,49,7,5000510030,West New Brighton-New Brighton-St. George                                  ,"(40.647074, -74.088234)",10369,4,1,13,74
MARINER'S HARBOR,173 BRABANT STREET,10303,STATEN ISLAND,11,77,5109122,6,4542.55,9.98,9.98,Replaced 6/16,36,36,No,1,49,31901,5012450001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.632124, -74.164687)",10371,4,1,13,75
WAGNER,445 EAST 120TH STREET,10035,MANHATTAN,4,74,1081287,16,6540.23,44.29,31,4.1,121,122,No,11,8,192,1018080001,East Harlem North                                                          ,"(40.797898, -73.93185)",13093,7,4,35,16
BARUCH,605 FDR DRIVE,10002,MANHATTAN,1,60,1078027,7,7874.69,38.05,38.05,Replaced 9/16,35,35,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.718356, -73.97521)",11723,70,4,50,4
HOWARD,260 MOTHER GASTON BOULEVARD,11212,BROOKLYN,10,72,3339439,13,6156.73,36.81,36.81,Replaced 11/16,99,99,No,16,41,906,3034890001,Brownsville                                                                ,"(40.67311, -73.907766)",17614,55,2,17,46
TAFT,1345 5TH AVENUE,10029,MANHATTAN,2,97,1080500,19,8490.13,66.75,46.72,Replaced 11/15,150,150,No,11,9,184,1016180001,East Harlem North                                                          ,"(40.798305, -73.948171)",12426,7,4,36,14
CARVER,60 EAST 102ND STREET,10029,MANHATTAN,5,58,1082314,15,10247.8,41.8,29.26,Replaced 6/16,118,118,No ,11,8,168,1016050024,East Harlem South                                                          ,"(40.790826, -73.950864)",12426,7,4,35,14
LAFAYETTE,456 DEKALB AVENUE,11205,BROOKLYN,2,122,3321866,20,8645.16,37.43,37.43,3.8,154,154,No,3,35,233,3019380001,Bedford                                                                    ,"(40.690498, -73.958928)",17212,69,2,48,51
LA GUARDIA,340 CHERRY STREET,10002,MANHATTAN,8,76,1083386,16,6566.52,38.8,38.8,Replaced 5/16,124,124,No,3,1,201,1002580001,Lower East Side                                                            ,"(40.711609, -73.986055)",11723,70,4,32,4
LEHMAN VILLAGE,80 EAST 110TH STREET,10029,MANHATTAN,2,101,1078868,20,6814.47,44.04,30.83,4.8,156,157,No,11,8,17401,1016150023,East Harlem South                                                          ,"(40.79568, -73.946555)",12426,7,4,35,14
TAFT,1695 MADISON AVENUE,10029,MANHATTAN,9,97,1080640,19,8254.1,65.75,46.03,Replaced 11/15,150,150,No,11,8,184,1016200023,East Harlem North                                                          ,"(40.797494, -73.946655)",12426,7,4,35,14
TAYLOR STREET-WYTHE AVENUE,571 WYTHE AVENUE,11249,BROOKLYN,4,234,3059900,8,10296.16,73.86,51.7,Replaced  12/15,88,88,No,1,33,545,3021750060,Williamsburg                                                               ,"(40.703779, -73.965145)",17613,36,2,38,56
GLENWOOD,5721 AVENUE H,11234,BROOKLYN,8,44,3331011,6,8447.38,41.3,28.91,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.633337, -73.920712)",13825,5,2,26,38
TAFT,1385 5TH AVENUE,10029,MANHATTAN,4,97,1080508,19,7647.82,59.51,41.66,Replaced 11/15,144,150,No,11,9,184,1016180001,East Harlem North                                                          ,"(40.799355, -73.947404)",12426,7,4,36,14
MARINER'S HARBOR,153 BRABANT STREET,10303,STATEN ISLAND,10,77,5109121,6,4557.29,13.72,13.72,Replaced 6/16,36,36,No,1,49,31901,5012450001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.631985, -74.163689)",10371,4,1,13,75
POLO GROUNDS TOWERS,2949 FREDERICK DOUGLASS BOULEVARD,10039,MANHATTAN,3,149,1084519,30,13984.12,88.71,62.1,4.8,418,418,No,10,9,24302,1021060003,Central Harlem North-Polo Grounds,"(40.829866, -73.936778)",13097,18,4,36,20
CARVER,60 EAST 106TH STREET,10029,MANHATTAN,12,58,1078841,15,6519.63,38.8,38.8,Replaced 6/16,120,120,No ,11,8,168,1016100023,East Harlem South                                                          ,"(40.793255, -73.948695)",12426,7,4,35,14
BERRY,235 JEFFERSON STREET,10306,STATEN ISLAND,6,52,5109570,6,8935.68,37.3,37.3,Replaced 1/16,60,60,No ,2,50,11401,5035320500,Old Town-Dongan Hills-South Beach                                          ,"(40.58612, -74.101187)",10693,30,1,14,76
WAGNER,60 PALADINO AVENUE,10035,MANHATTAN,6,74,1081289,7,5817.73,31.57,31.57,4.7,52,52,No,11,8,192,1018080001,East Harlem North                                                          ,"(40.798723, -73.929837)",13093,7,4,35,16
HOWARD,60 GLENMORE AVENUE,11212,BROOKLYN,6,72,3348343,13,5773.86,31.94,31.94,Replaced 11/16,96,96,No,16,41,906,3034890001,Brownsville                                                                ,"(40.671261, -73.908937)",17614,55,2,17,46
MOTT HAVEN,383 EAST 143RD STREET,10454,BRONX,8,121,2091102,20,5156.91,31.32,31.32,4.8,117,117,No,1,8,41,2023060009,Mott Haven-Port Morris                                                     ,"(40.812581, -73.921329)",10932,49,5,35,23
LAFAYETTE,470 DEKALB AVENUE,11205,BROOKLYN,3,122,3346319,15,7630.2,37.43,37.43,1.9,110,110,No,3,35,233,3019380001,Bedford                                                                    ,"(40.690588, -73.958131)",17212,69,2,48,51
FOREST,1000 TRINITY AVENUE,10456,BRONX,1,59,2091961,14,10421.2,39.55,39.55,4.4,107,108,No,3,16,133,2026390001,Morrisania-Melrose                                                         ,"(40.824865, -73.905084)",10934,34,5,42,25
LA GUARDIA,300 CHERRY STREET,10002,MANHATTAN,4,76,1077517,16,8559.95,15.35,15.35,Replaced 5/16,123,123,No,3,1,6,1002560001,Lower East Side                                                            ,"(40.711458, -73.987639)",11723,70,4,32,4
GLENWOOD,5610 FARRAGUT ROAD,11234,BROOKLYN,3,44,3331007,6,8177.91,38.43,38.43,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.635806, -73.922363)",13825,5,2,26,38
METRO NORTH PLAZA,310 EAST 102ND STREET,10029,MANHATTAN,2,181,1079341,11,16047.83,91.08,63.75,4.1,130,130,No,11,8,164,1016730006,East Harlem South                                                          ,"(40.787881, -73.943925)",12426,7,4,35,14
ELLIOTT,459 WEST 26TH STREET,10001,MANHATTAN,1,15,1083583,1,7549.7,0,0,N/A,0,0,Non-residential,4,3,97,1007240001,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.74938, -74.002252)",11722,12,4,10,6
