"the_geom","ats_code","loc_code","loc_name","managed_by","lcc","primarybui","bin","bbl","address","city","boronum","state","zip","geodistric","adimindist","xcoordinat","ycoordinat"
"POINT (-73.97726010301855 40.640127759095975)","20K179","K179","P.S. 179 Kensington","1","2","K179","3126001","3053710001.0","202 AVENUE C","BROOKLYN","3","NY","11218","20","20","990561","172493"
"POINT (-73.9773807979122 40.71988814355767)","84M330","M330","Girls Preparatory Charter School of New York","2","15","M188","1004349","1.0035601E+9","442 EAST HOUSTON STREET","NEW YORK","1","NY","10002","1","84","990520","201552"
"POINT (-73.798272831916 40.70837499911154)","28Q349","Q349","The Queens School for Leadership and Excellence","1","2","Q314","4310514","4098130033.0","88-08 164TH STREET","QUEENS","4","NY","11432","28","28","1040178","197421"
"POINT (-73.91692770115236 40.63445122762312)","18K566","K566","Brooklyn Community High School for Excellence and Equity","1","5","K515","3224139","3079980005.0","6565 FLATLANDS AVENUE","BROOKLYN","3","NY","11236","18","18","1007307","170435"
"POINT (-73.98932934127878 40.717329010237115)","02M308","M308","Lower Manhattan Arts Academy","1","5","M445","1005283","1004080030.0","350 GRAND STREET","MANHATTAN","1","NY","10002","2","2","987208","200619"
"POINT (-73.8579899121759 40.84502319974415)","84X378","X378","Icahn Charter School 2","2","15","X498","2116414","2040910001.0","1640 BRONXDALE AVE","BRONX","2","NY","10462","11","84","1023541","247174"
"POINT (-73.88794085759476 40.86487294714078)","10X054","X054","P.S./I.S. 54","1","2","X054","2000000","2032780014.0","2703 WEBSTER AVENUE","BRONX","2","NY","10458","10","10","1015245","254394"
"POINT (-73.92793859766172 40.700810920379766)","32K347","K347","I.S. 347 School of Humanities","1","3","K111","3072497","3031850001.0","35 STARR STREET","BROOKLYN","3","NY","11221","32","32","1004231","194609"
"POINT (-73.93644291340566 40.7422178786851)","24Q560","Q560","Robert F. Wagner, Jr. Secondary School for Arts and Technology","1","4","Q891","4003540","4002820001.0","47-07 30TH PLACE","QUEENS","4","NY","11101","24","24","1001862","209693"
"POINT (-73.97664843226302 40.67880982048877)","75K077","K077","P.S. K077","1","7","K902","3259250","3009410050.0","62 PARK PLACE","BROOKLYN","3","NY","11217","13","75","990727","186586"
"POINT (-73.99042885586742 40.77271815255794)","03M191","M191","The Riverside School for Makers and Artists","1","15","M342","1088870","1011717510.0","300 WEST 61ST STREET","NEW YORK","1","NY","10023","3","3","986901","220799"
"POINT (-73.74989164387614 40.60401913060031)","84Q375","Q375","Success Academy Charter School - Far Rockaway","2","2","Q053","4298234","4155570025.0","10-45 NAMEOKE STREET","QUEENS","4","NY","11691","27","84","1053700","159436"
"POINT (-73.732290965094 40.73185373142299)","26Q018","Q018","P.S. 018 Winchester","1","2","Q018","4166561","4079550002.0","86-35 235 COURT","QUEENS","4","NY","11427","26","26","1058445","206024"
"POINT (-73.92381831227497 40.866381604513855)","06M314","M314","Muscota","1","2","M176","1064900","1022340007.0","4862 BROADWAY","MANHATTAN","1","NY","10034","6","6","1005321","254933"
