"id","hpd_building_id","address","bbl","bin","council_district","community_district","census_tract_2010","neighborhood_tabulation_area","zip_code","borough","latitude","longitude","total_ih_floor_area","transferred_ih_floor_area","remaining_ih_floor_area","property_type","geocoding_method"
"91","28875","92 VANDAM STREET","1005970007","1010361","3","2","3700","MN24","10013","Manhattan","40.72646378","-74.00844029","0","16168.69","0","Compensated Development","Geocoded on BBL"
"95","31213","7 WEST 21 STREET","1008230031","1000000","3","5","5800","MN13","10010","Manhattan","40.74097252","-73.99112051","0","26882.32","0","Compensated Development","Geocoded on BBL"
"98","31976","211 WEST 29 STREET","1007790031","1000000","3","5","9500","MN17","10001","Manhattan","40.74831213","-73.99339324","0","10455.06","0","Compensated Development","Geocoded on BBL"
"104","33057","306 WEST 44 STREET","1010340037","1080872","3","4","12100","MN15","10036","Manhattan","40.75824785","-73.98973934","0","10042","0","Compensated Development","Geocoded on BBL"
"115","39556","56 WEST 125 STREET","1017220059","1053478","9","10","20000","MN11","10027","Manhattan","40.80701982","-73.94440529","0","20579","0","Compensated Development","Geocoded on BBL"
"121","120717","3084 WEBSTER AVENUE","2033300052","2000000","11","7","42500","BX43","10467","Bronx","40.87035732","-73.87754154","0","21540","0","Compensated Development","Geocoded on BBL"
"145","302242","235 DRIGGS AVENUE","3027000004","3000000","33","1","49900","BK76","11222","Brooklyn","40.72249129","-73.94719237","0","435","0","Compensated Development","Geocoded on BBL"
"149","319125","149 KENT AVENUE","3023330001","0","33","1","55500","BK73","11249","Brooklyn","40.7189921","-73.96208683","0","26136","0","Compensated Development","Geocoded on BBL"
"153","331726","470 MANHATTAN AVENUE","3027140033","3067807","33","1","49900","BK76","11222","Brooklyn","40.72045206","-73.94746816","0","16360","0","Compensated Development","Geocoded on BBL"
"154","331961","975 MANHATTAN AVENUE","3025320046","3064283","33","1","56300","BK76","11222","Brooklyn","40.732491","-73.95495654","0","724","0","Compensated Development","Geocoded on BBL"
"161","336588","624 METROPOLITAN AVENUE","3027620014","3068813","34","1","50300","BK90","11211","Brooklyn","40.71393358","-73.94819113","0","2300","0","Compensated Development","Geocoded on BBL"
"165","345431","180 NORTH 7 STREET","3023280015","3062095","33","1","55300","BK73","11211","Brooklyn","40.71694834","-73.95735151","0","4400","0","Compensated Development","Geocoded on BBL"
"186","667729","153-25 JAMAICA AVENUE","4097540048","4208823","24","12","24000","QN61","11432","Queens","40.70327551","-73.80158974","0","20630.11","0","Compensated Development","Geocoded on BBL"
"195","828795","255 WEST 94 STREET","1012420010","1081057","6","7","18300","MN12","10025","Manhattan","40.79367697","-73.9730414","0","10071","0","Compensated Development","Geocoded on BBL"
"206","868197","160 WEST 86 STREET","1012167503","1085582","6","7","16900","MN12","10024","Manhattan","40.78717504","-73.97452822","0","3261.75","0","Compensated Development","Geocoded on BBL"
"213","877525","310 WEST 52 STREET","1010427502","1087538","3","4","13300","MN15","10019","Manhattan","40.76362715","-73.98596256","0","15062.5","0","Compensated Development","Geocoded on BBL"
"220","887690","959 1 AVENUE","1013457502","1039801","4","6","9800","MN19","10022","Manhattan","40.75567398","-73.96525311","0","8780","0","Compensated Development","Geocoded on BBL"
"231","896890","510 DRIGGS AVENUE","3023120023","3061818","33","1","51700","BK73","11211","Brooklyn","40.71798528","-73.95579965","0","312","0","Compensated Development","Geocoded on BBL"
"233","900830","171 NORTH 10 STREET","3022980029","3398411","33","1","51700","BK73","11211","Brooklyn","40.71931625","-73.9551855","0","3601","0","Compensated Development","Geocoded on BBL"
"242","921586","123 3 AVENUE","1004697505","1088500","2","3","4000","MN22","10003","Manhattan","40.73303705","-73.98702261","0","2213","0","Compensated Development","Geocoded on BBL"
"245","926168","800 6 AVENUE","1008290001","1088723","3","5","5800","MN13","10001","Manhattan","40.74559954","-73.99044364","0","10291","0","Compensated Development","Geocoded on BBL"
"247","927863","205 EAST 85 STREET","1015317501","1087920","5","8","14601","MN32","10028","Manhattan","40.77836759","-73.95379266","0","12796.75","0","Compensated Development","Geocoded on BBL"
"252","929042","535 WEST END AVENUE","1012477502","1088301",,"7","17100","MN12",,"Manhattan","40.7887786","-73.97832975","0","9164.25","0","Compensated Development","Geocoded on BBL"
"271","937290","21 EAST 1 STREET","1004567501","1088698","2","3","3602","MN22","10003","Manhattan","40.72419933","-73.99127066","12171","9229.7","2941.3","Both","Geocoded on BBL"
"281","940434","1133 MANHATTAN AVENUE","3024820026","3063701","33","1","56300","BK76","11222","Brooklyn","40.7368912","-73.95588454","37777","37777","0","Both","Geocoded on BBL"
"282","940495","310 EAST 2 STREET","1003720041","1088845","2","3","2202","MN28","10009","Manhattan","40.72024801","-73.97884678","22312","22312","0","Both","Geocoded on BBL"
"287","942111","785 8 AVENUE","1010387501","1087980","3","4","12700","MN15","10036","Manhattan","40.76104376","-73.98752522","0","3868","0","Compensated Development","Geocoded on BBL"
"294","944547","333 SCHERMERHORN STREET","3001670013","3418263","33","2","3700","BK38","11217","Brooklyn","40.68742923","-73.98103869","79114","28651.43","50462.57","Both","Geocoded on BBL"
"295","944796","1512 BOONE AVENUE","2030137501","2124648","17","3","15700","BX75","10460","Bronx","40.83220007","-73.88522206","81342","23272","58070","Both","Geocoded on BBL"
"304","947804","50 UNITED NATIONS PLAZA","1013397502","1089803","4","6","90","MN19","10017","Manhattan","40.7517689","-73.96830064","0","10086","0","Compensated Development","Geocoded on BBL"
"313","949021","246 LYNCH STREET","3022380127","3256176","33","1","50900","BK72","11206","Brooklyn","40.70459381","-73.94967353","0","6594","0","Compensated Development","Geocoded on BBL"
"315","949211","50 NORTH 5TH STREET","3023410009",,"33","1","55500","BK73","11249","Brooklyn","40.7184358","-73.96238555","0","38113","0","Compensated Development","Geocoded on BBL"
"318","950494","1383 3 AVENUE","1014337502","1044183","4","8","13400","MN31","10075","Manhattan","40.77393104","-73.95718464","0","5300","0","Compensated Development","Geocoded on BBL"
"323","951712","626 1 AVENUE","1009670001","1089237","4","6","8601","MN19","10016","Manhattan","40.74443059","-73.97200032","145789","145789","0","Both","Geocoded on BBL"
"340","955151","40 NORTH 4 STREET","3023490015","3343247","33","1","55500","BK73","11249","Brooklyn","40.71817688","-73.96309637","0","2615","0","Compensated Development","Geocoded on BBL"
"343","955836","94 NORTH 3 STREET","3023587504","3425618","34","1","55500","BK73","11249","Brooklyn","40.71681842","-73.96258949","12070","12059","11","Both","Geocoded on BBL"
"345","956174","635 4 AVENUE","3006340001","3009068","38","7","14300","BK37","11232","Brooklyn","40.66382283","-73.994036","9367.5","7820.9","1546.6","Both","Geocoded on BBL"
"349","957179","1693 3 AVENUE","1015400046","1049239","5","8","15601",,"10128","Manhattan",,,"0","10061.21","0","Compensated Development",
"353","957817","410 MANHATTAN AVENUE","3027347502","3425138","34","1","49700","BK90","11211","Brooklyn","40.71825578","-73.94643817","45202","9008","36194","Both","Geocoded on BBL"
"354","957871","253 EAST 142 STREET","2023347501","2127296","8","1","5100","BX39","10451","Bronx","40.81513528","-73.92492255","18135","12143","5992","Both","Geocoded on BBL"
"363","966751","36 WEST STREET","3025710001","3065014","33","1","56100","BK76","11222","Brooklyn","40.72725929","-73.95855908","0","10441","0","Compensated Development","Geocoded on BBL"
"372","969450","810 FULTON STREET","3020090026",,,"2",,"BK69",,"Brooklyn","40.68349625","-73.96846201","0","60086","0","Compensated Development","Geocoded on BBL"
"373","970004","1511 BEDFORD AVENUE","3012530001","3413781","35","8","219","BK61",,"Brooklyn","40.67123455","-73.95441838","0","18931.34","0","Compensated Development","Geocoded on BBL"
"407","979641","253 10 AVENUE","1006960038","1012372","3","4","9900","MN13","10001","Manhattan","40.74898213","-74.00359631","0","886","0","Compensated Development","Geocoded on BBL"
"417","984838","280 KENT AVENUE","3024140001","3425051","33","1","55100","BK73","11249","Brooklyn","40.71473558","-73.96774604","0","30599","0","Compensated Development","Geocoded on BBL"
"420","988544","13 GREENPOINT AVENUE","3025560045","3336997","33","1","56500","BK76","11222","Brooklyn","40.73008361","-73.96006724","0","6197.14","0","Compensated Development","Geocoded on BBL"
"427","981262","50-11 QUEENS BOULEVARD","4013190021","4030850","26","2","25302","QN31","11377","Queens","40.74309283","-73.91425669","10284","0","0","Generating Site","Geocoded on BBL"
"430","980768","365 BOND STREET","3004580001","3336304","39","6","7700","BK33","11231","Brooklyn","40.67746412","-73.99033581","64729","0","0","Generating Site","Geocoded on BBL"
"438","314904","19 HUMBOLDT STREET","3031270022","3071659","34","1","49100","BK90","11206","Brooklyn","40.70166643","-73.94083971","10917.3","0","0","Generating Site","Geocoded on BBL"
"449","853383","58 WEST 109 STREET","1018440155",,,"7","19300","MN09",,"Manhattan","40.80057364","-73.96060644","10320","0","0","Generating Site","Geocoded on BBL"
"453","986518","7-9 EAST 30 STREET","1008600008","1016952","4","5","7400","MN17","10016","Manhattan","40.74579174","-73.98557294","2003","0","0","Generating Site","Geocoded on BBL"
"467","1101","1850 SECOND AVENUE","1015580050","1050342","5","8","15601","MN32","10128","Manhattan","40.78388295","-73.94695591","53204","0","0","Generating Site","Geocoded on BBL"
