"project_number","building_id","project_description","school_name","school_address","sed_approved_final_cost","fcrtosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"16OQ","K057","Asbestos  abatement","WHITELAW REID ACADEMY OF ARTS","125 STUYVESANT AVENUE","25223.00","2021-06-07T00:00:00.000","BROOKLYN","11221","40.691274","-73.933697","303","36","291","3043822","3016160001","Stuyvesant Heights"
"16R5","K099","Asbestos  abatement","P.S. 99 - BROOKLYN","1120 EAST 10 STREET","67940.00","2021-06-07T00:00:00.000","BROOKLYN","11230","40.621565","-73.965595","312","44","454","3171478","3065350011","Ocean Parkway South"
"16RQ","K149","Asbestos  abatement","P.S. 149 - BROOKLYN","700 SUTTER AVENUE","16360.00","2021-06-07T00:00:00.000","BROOKLYN","11207","40.669719","-73.892822","305","42","1158","3084348","3037740016","East New York (Pennsylvania Ave)"
"16QQ","K027","Asbestos  abatement","RED HOOK NEIGHBORHOOD SCHOOL","27 HUNTINGTON STREET","33376.00","2021-06-07T00:00:00.000","BROOKLYN","11231","40.677564","-74.005166","306","38","59","3008342","3005250001","Carroll Gardens-Columbia Street-Red Hook"
"16QJ","K009","Asbestos  abatement","PUBLIC SCHOOL 9 THE SARAH SMIT","80 UNDERHILL AVENUE","79795.00","2021-06-07T00:00:00.000","BROOKLYN","11238","40.678297","-73.965541","308","35","205","3028204","3011450026","Prospect Heights"
"16QF","M199","Asbestos  abatement","P.S. 199 - MANHATTAN","270 WEST 70 STREET","28176.00","2021-06-07T00:00:00.000","MANHATTAN","10023","40.778059","-73.984449","107","6","155","1030351","1011580040","Lincoln Square"
"18O7","K104","Asbestos  abatement","P.S. 104 - BROOKLYN","9115 5TH AVENUE","45970.00","2021-06-07T00:00:00.000","BROOKLYN","11209","40.618415","-74.028842","310","43","160","3154775","3060880001","Bay Ridge"
"16QI","K425","Asbestos  abatement","JAMES MADISON HS - BROOKLYN","3787 BEDFORD AVENUE","38413.00","2021-06-07T00:00:00.000","BROOKLYN","11229","40.609912","-73.948512","315","48","642","3182721","3067880001","Madison"
"16OK","M855","Emergency Stabilization","ELEANOR ROOSEVELT HS - MANHATT","411 EAST 76 STREET","24455.00","2021-06-07T00:00:00.000","MANHATTAN","10021","40.770187","-73.953608","108","5","132","1045949","1014710005","Lenox Hill-Roosevelt Island"
"18JA","Q115","Asbestos  abatement","P.S. 115 - QUEENS","80-51 261 STREET","198071.00","2021-06-07T00:00:00.000","QUEENS","11004","40.744099","-73.709845","413","23","157902","4178127","4087170001","Glen Oaks-Floral Park-New Hyde Park"
"16PX","M187","Asbestos  abatement","P.S. 187 - MANHATTAN","349 CABRINI BLVD","22050.00","2021-06-07T00:00:00.000","MANHATTAN","10040","40.856693","-73.937093","112","10","273","1064371","1021790365","Washington Heights North"
"18JC","X100","Asbestos  abatement","P.S. 100 - BRONX","800 TAYLOR AVENUE","173662.00","2021-06-07T00:00:00.000","BRONX","10473","40.821409","-73.862976","209","18","42","2022550","2036410001","Soundview-Castle Hill-Clason Point-Harding Park"
"18O8","K127","Asbestos  abatement","P.S. 127 - BROOKLYN","7805 7 AVENUE","55997.00","2021-06-07T00:00:00.000","BROOKLYN","11228","40.624132","-74.018826","310","43","206","3150481","3059730001","Dyker Heights"
"18D7","Q014","Asbestos  abatement","P.S. 14 - QUEENS","107-01 OTIS AVENUE","22824.00","2021-06-07T00:00:00.000","QUEENS","11368","40.74056","-73.854131","404","21","439","4437311","4019540037","Corona"
"18DB","X120","Asbestos  abatement","I.S. 301 - BRONX","890 CAULDWELL AVENUE","18236.00","2021-06-07T00:00:00.000","BRONX","10456","40.822474","-73.907194","203","16","185","2004496","2026310048","Morrisania-Melrose"
"18D3","Q420","Asbestos  abatement","G. WASHINGTON CARVER HS FOR SC","143-10 SPRINGFIELD BOULEVARD","26458.00","2021-06-07T00:00:00.000","QUEENS","11413","40.668235","-73.756839","412","31","330","4280845","4130570056","Springfield Gardens North"
"18CO","Q811","Asbestos  abatement","Q811 SPED - QUEENS","61-25 MARATHON PARKWAY","13420.00","2021-06-07T00:00:00.000","QUEENS","11362","40.756778","-73.729487","411","23","152902","4173060","4083610001","Douglas Manor-Douglaston-Little Neck"
"18CV","K128","Asbestos  abatement","P.S. 128 - BROOKLYN","2075 84 STREET","35566.00","2021-06-07T00:00:00.000","BROOKLYN","11214","40.604871","-73.995545","311","47","288","3165232","3063290032","Bensonhurst West"
"18D6","Q138","Asbestos  abatement","P.S. 138 - QUEENS","251-11 WELLER AVENUE","18441.00","2021-06-07T00:00:00.000","QUEENS","11422","40.659728","-73.735176","413","31","660","4288640","4135780001","Rosedale"
"18CL","M118","Asbestos  abatement","P.S. 333 - MANHATTAN","154 WEST 93 STREET","17278.00","2021-06-07T00:00:00.000","MANHATTAN","10025","40.791709","-73.970802","107","6","177","1032522","1012230005","Upper West Side"
"188X","K186","Asbestos  abatement","P.S. 186 - BROOKLYN","7601 19 AVENUE","57861.00","2021-06-07T00:00:00.000","BROOKLYN","11214","40.611483","-73.994677","311","47","274","3160923","3062390001","Bensonhurst West"
"18CM","Q229","Asbestos  abatement","P.S. 229 - QUEENS","67-25 51 ROAD","18334.00","2021-06-07T00:00:00.000","QUEENS","11377","40.734294","-73.897557","405","30","513","4440274","4024230001","Maspeth"
"188N","X192","Asbestos  abatement","I.S. 371 - BRONX","650 HOLLYWOOD AVENUE","53257.00","2021-06-07T00:00:00.000","BRONX","10465","40.826526","-73.818417","210","13","158","2077130","2054380001","Schuylerville-Throgs Neck-Edgewater Park"
"1879","X008","Asbestos  abatement","P.S. 8 - BRONX","3010 BRIGGS AVENUE","67883.00","2021-06-07T00:00:00.000","BRONX","10458","40.872612","-73.883574","207","11","415","2094734","2032990060","Bedford Park-Fordham North"
"188O","Q192","Asbestos  abatement","I.S. 192 - QUEENS","109-89 204 STREET","54830.00","2021-06-07T00:00:00.000","QUEENS","11412","40.70646","-73.753579","412","27","508","4234318","4109440301","Hollis"
"18CN","Q008","Asbestos  abatement","J.H.S. 8 - QUEENS","108-35 167 STREET","15341.00","2021-06-07T00:00:00.000","QUEENS","11433","40.69719","-73.787192","412","27","258","4216655","4101780001","South Jamaica"
"18O9","X061","Asbestos  abatement","P.S. 61 - BRONX","1550 CROTONA PARK EAST","54960.00","2021-06-07T00:00:00.000","BRONX","10460","40.836575","-73.892817","203","17","153","2009865","2029390045","Crotona Park East"
"17OV","K176","Asbestos  abatement","P.S. 176 - BROOKLYN","1225 69 STREET","38202.00","2021-06-07T00:00:00.000","BROOKLYN","11219","40.624611","-74.005378","310","43","196","3143190","3057740001","Dyker Heights"
"184I","X069","Asbestos  abatement","P.S. 69 - BRONX","560 THIERIOT AVENUE","31046.00","2021-06-07T00:00:00.000","BRONX","10473","40.816693","-73.860904","209","18","16","2021482","2035240020","Soundview-Castle Hill-Clason Point-Harding Park"
"184C","Q018","Asbestos  abatement","P.S. 18 - QUEENS","86-35 235 COURT","31922.00","2021-06-07T00:00:00.000","QUEENS","11427","40.732112","-73.73246","413","23","1621","4166561","4079550002","Bellerose"
"184J","K293","Asbestos  abatement","DIGITAL ARTS AND CINEMA TECHNO","284 BALTIC STREET","18005.00","2021-06-07T00:00:00.000","BROOKLYN","11201","40.685419","-73.993351","306","33","69","3006401","3004020001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"1847","K104","Asbestos  abatement","P.S. 104 - BROOKLYN","9115 5TH AVENUE","88200.00","2021-06-07T00:00:00.000","BROOKLYN","11209","40.618415","-74.028842","310","43","160","3154775","3060880001","Bay Ridge"
"17UH","K580","Asbestos  abatement","GEORGE WESTINGHOUSE VOC. HS","105 JOHNSON STREET","26016.00","2021-06-07T00:00:00.000","BROOKLYN","11201","40.694926","-73.986015","302","33","13","3348041","3001310001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"1848","R050","Asbestos  abatement","P.S. 50 - STATEN ISLAND","200 ADELAIDE AVENUE","15594.00","2021-06-07T00:00:00.000","STATEN IS","10306","40.561691","-74.124622","503","50","13204","5063495","5047160060","Oakwood-Oakwood Beach"
"185X","R026","Asbestos  abatement","P.S. 26 - STATEN ISLAND","4108 VICTORY BOULEVARD","24106.00","2021-06-07T00:00:00.000","STATEN IS","10314","40.591702","-74.190648","502","50","29102","5107386","5026340001","New Springville-Bloomfield-Travis"
"17UA","K128","Asbestos  abatement","P.S. 128 - BROOKLYN","2075 84 STREET","44167.00","2021-06-07T00:00:00.000","BROOKLYN","11214","40.604871","-73.995545","311","47","288","3165232","3063290032","Bensonhurst West"
"17U1","K169","Asbestos  abatement","P.S. 169 - BROOKLYN","4305 7TH AVENUE","23565.00","2021-06-07T00:00:00.000","BROOKLYN","11232","40.64629","-74.001903","307","38","92","3011002","3007320001","Sunset Park East"
"17UB","Q124","Asbestos  abatement","P.S. 124 - QUEENS","129-15 150 AVENUE","15860.00","2021-06-07T00:00:00.000","QUEENS","11420","40.665058","-73.811701","410","28","84602","4257530","4118820001","South Ozone Park"
"17TO","K804","Asbestos  abatement","COBBLE  HILL SCHL OF AMER. STU","347 BALTIC STREET","21118.00","2021-06-07T00:00:00.000","BROOKLYN","11201","40.684524","-73.990993","306","33","69","3006356","3003970011","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"17TE","Q158","Asbestos  abatement","J.H.S. 158 - QUEENS","46-35 OCEANIA STREET","18982.00","2021-06-07T00:00:00.000","QUEENS","11361","40.756139","-73.772862","411","19","1447","4438325","4073120001","Bayside-Bayside Hills"
"17UC","Q216","Asbestos  abatement","J.H.S. 216 - QUEENS","64-20 175 STREET","12144.00","2021-06-07T00:00:00.000","QUEENS","11365","40.737517","-73.794031","408","24","1341","4149078","4069030001","Fresh Meadows-Utopia"
"1860","Q219","Asbestos  abatement","P.S. 219 - QUEENS","144-39 GRAVETT ROAD","12166.00","2021-06-07T00:00:00.000","QUEENS","11367","40.735275","-73.823778","408","24","809","4448708","4065070001","Kew Gardens Hills"
"18P5","M661","Asbestos  abatement","MNHT COMPR. NIGHT & DAY HS - M","240 2ND AVENUE","89040.00","2021-06-07T00:00:00.000","MANHATTAN","10003","40.732716","-73.984665","106","2","48","1020416","1009210064","Gramercy"
"17T4","Q188","Asbestos  abatement","P.S. 188 - QUEENS","218-12 HARTLAND AVENUE","19090.00","2021-06-07T00:00:00.000","QUEENS","11364","40.736177","-73.753159","411","23","129104","4164350","4077740165","Oakland Gardens"
"17RU","K848","Asbestos  abatement","P.S. 149 - BROOKLYN","373 PENNSYLVANIA AVENUE","76321.00","2021-06-07T00:00:00.000","BROOKLYN","11207","40.668362","-73.894954","305","42","1156","3084298","3037720006","East New York (Pennsylvania Ave)"
"17T5","K176","Asbestos  abatement","P.S. 176 - BROOKLYN","1225 69 STREET","39566.00","2021-06-07T00:00:00.000","BROOKLYN","11219","40.624611","-74.005378","310","43","196","3143190","3057740001","Dyker Heights"
"17RP","K127","Asbestos  abatement","P.S. 127 - BROOKLYN","7805 7 AVENUE","38259.00","2021-06-07T00:00:00.000","BROOKLYN","11228","40.624132","-74.018826","310","43","206","3150481","3059730001","Dyker Heights"
"17RL","K138","Asbestos  abatement","P.S. 138 - BROOKLYN","760 PROSPECT PLACE","30162.00","2021-06-07T00:00:00.000","BROOKLYN","11216","40.67438","-73.951443","308","36","31701","3330794","3012330026","Crown Heights North"
"17RQ","Q114","Asbestos  abatement","P.S. 114 - QUEENS","134-01 CRONSTON AVE","61603.00","2021-06-07T00:00:00.000","QUEENS","11694","40.578261","-73.854403","414","32","928","4305615","4162570001","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"17T7","M116","Asbestos  abatement","P.S. 116 - MANHATTAN","210 EAST 33 STREET","153982.00","2021-06-07T00:00:00.000","MANHATTAN","10016","40.744838","-73.978116","106","2","70","1020080","1009130007","Murray Hill-Kips Bay"
"17RG","Q054","Asbestos  abatement","P.S. 54 - QUEENS","86-02 127 STREET","15802.00","2021-06-07T00:00:00.000","QUEENS","11418","40.70292","-73.824221","409","29","14201","4193916","4092800001","Richmond Hill"
"17RB","K515","Asbestos  abatement","BROOKLYN COMMUNITY HIGH SCHOOL","6565 FLATLANDS AVENUE","119315.00","2021-06-07T00:00:00.000","BROOKLYN","11236","40.633285","-73.916735","318","46","950","3224139","3079980005","Canarsie"
"17RJ","K117","Asbestos  abatement","BROOKLYN COMMUNITY ARTS & MEDI","300 WILLOUGHBY AVENUE","37729.00","2021-06-07T00:00:00.000","BROOKLYN","11205","40.692642","-73.958794","303","33","235","3055165","3019260010","Clinton Hill"
"17RK","M166","Asbestos  abatement","P.S. 166 - MANHATTAN","132 WEST 89 STREET","91191.00","2021-06-07T00:00:00.000","MANHATTAN","10024","40.788865","-73.971847","107","6","173","1032308","1012190047","Upper West Side"
"16PV","M087","Asbestos  abatement","P.S. 87 - MANHATTAN","160 WEST 78 STREET","125418.00","2021-06-07T00:00:00.000","MANHATTAN","10024","40.781958","-73.977638","107","6","161","1030196","1011490007","Upper West Side"
"17R5","K312","Asbestos  abatement","P.S. 312 - BROOKLYN","7103 AVENUE T","39885.00","2021-06-07T00:00:00.000","BROOKLYN","11234","40.621413","-73.908987","318","46","69602","3236665","3083930001","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"17T9","X047","Asbestos  abatement","P.S. 47 - BRONX","1794 EAST 172 STREET","20891.00","2021-06-07T00:00:00.000","BRONX","10472","40.832902","-73.866848","209","18","76","2025622","2037860016","West Farms-Bronx River"
"1861","K016","Asbestos  abatement","P.S. 16 - BROOKLYN","157 WILSON STREET","39720.00","2021-06-07T00:00:00.000","BROOKLYN","11211","40.706023","-73.961476","301","33","535","3059906","3021770001","Williamsburg"
"18OA","K025","Asbestos  abatement","P.S. 25 - BROOKLYN","787 LAFAYETTE AVENUE","24597.00","2021-06-07T00:00:00.000","BROOKLYN","11221","40.691037","-73.941342","303","36","281","3049858","3017870014","Stuyvesant Heights"
"17OX","R032","Asbestos  abatement","P.S. 32 - STATEN ISLAND","232 BARLOW AVENUE","239086.00","2021-06-07T00:00:00.000","STATEN IS","10308","40.558966","-74.155517","503","51","14608","5070651","5054440012","Great Kills"
"16IF","Q018","Asbestos  abatement","P.S. 18 - QUEENS","86-35 235 COURT","15344.00","2021-06-07T00:00:00.000","QUEENS","11427","40.732112","-73.73246","413","23","1621","4166561","4079550002","Bellerose"
"17QL","K145","Asbestos  abatement","P.S. 145 - BROOKLYN","100 NOLL STREET","73116.00","2021-06-07T00:00:00.000","BROOKLYN","11206","40.701621","-73.93241","304","34","425","3071915","3031530011","Bushwick South"
"17QN","Q053","Asbestos  abatement","I.S. 53 - QUEENS","10-45 NAMEOKE STREET","27106.00","2021-06-07T00:00:00.000","QUEENS","11691","40.603622","-73.749097","414","31","103202","4298234","4155570025","Far Rockaway-Bayswater"
"16KY","K540","Asbestos  abatement","JOHN DEWEY HS - BROOKLYN","50 AVENUE X","70159.00","2021-06-07T00:00:00.000","BROOKLYN","11223","40.589268","-73.981738","313","47","308","3194998","3071850020","Gravesend"
"16IH","Q124","Asbestos  abatement","P.S. 124 - QUEENS","129-15 150 AVENUE","12682.00","2021-06-07T00:00:00.000","QUEENS","11420","40.665058","-73.811701","410","28","84602","4257530","4118820001","South Ozone Park"
"16L2","K068","Asbestos  abatement","I.S. 68 - BROOKLYN","956 EAST 82 STREET","109011.00","2021-06-07T00:00:00.000","BROOKLYN","11236","40.635553","-73.91079","318","46","956","3224947","3080180001","Canarsie"
"16KZ","Q072","Asbestos  abatement","J.H.S. 72 - QUEENS","133-25 GUY R BREWER BOULEVARD","455927.00","2021-06-07T00:00:00.000","QUEENS","11434","40.673769","-73.775951","412","28","33402","4270059","4124950270","Springfield Gardens North"
"16IV","M460","Building System Improvement - Reconstruction of Electrical Systems","GRAMERCY ARTS HS - MANHATTAN","40 IRVING PLACE","521678.00","2021-06-07T00:00:00.000","MANHATTAN","10003","40.735494","-73.987659","106","2","50","1017828","1008720057","Gramercy"
"16IO","X143","Asbestos  abatement","I.S. 244 - BRONX","120 WEST 231 STREET","21918.00","2021-06-07T00:00:00.000","BRONX","10463","40.875916","-73.90111","208","14","273","2015547","2032530141","Van Cortlandt Village"
"16J9","R455","Asbestos  abatement","TOTTENVILLE HS - STATEN ISLAND","100 LUTEN AVENUE","70656.00","2021-06-07T00:00:00.000","STATEN IS","10312","40.528092","-74.192032","503","51","198","5082634","5066130001","Annadale-Huguenot-Prince's Bay-Eltingville"
"16IR","Q225","Asbestos  abatement","P.S. 317 - QUEENS","1-90 BEACH 110 STREET","38409.00","2021-06-07T00:00:00.000","QUEENS","11694","40.580928","-73.831836","414","32","938","4303853","4161810001","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"16HO","Q052","Asbestos  abatement","P.S. 52 - QUEENS","178-37 146 TERRACE","11010.00","2021-06-07T00:00:00.000","QUEENS","11434","40.661122","-73.766733","413","31","320","4285972","4133530020","Springfield Gardens South-Brookville"
"16J8","M460","Asbestos  abatement","GRAMERCY ARTS HS - MANHATTAN","40 IRVING PLACE","44884.00","2021-06-07T00:00:00.000","MANHATTAN","10003","40.735494","-73.987659","106","2","50","1017828","1008720057","Gramercy"
"17PJ","K176","Asbestos  abatement","P.S. 176 - BROOKLYN","1225 69 STREET","61135.00","2021-06-07T00:00:00.000","BROOKLYN","11219","40.624611","-74.005378","310","43","196","3143190","3057740001","Dyker Heights"
"17QB","M140","Asbestos  abatement","P.S. 140 - MANHATTAN","123 RIDGE STREET","61043.00","2021-06-07T00:00:00.000","MANHATTAN","10002","40.71925","-73.983056","103","1","2201","1004091","1003440001","Lower East Side"
"17Q5","Q280","Asbestos  abatement","P.S. 280 - QUEENS","34-20 94TH STREET","28809.00","2021-06-07T00:00:00.000","QUEENS","11372","40.754241","-73.873769","403","25","273","4541605","4014540018","Jackson Heights"
"17QC","K201","Asbestos  abatement","I.S. 201 - BROOKLYN","8010 12 AVENUE","25413.00","2021-06-07T00:00:00.000","BROOKLYN","11228","40.618676","-74.012722","310","43","166","3162973","3062780022","Dyker Heights"
"17QD","K176","Asbestos  abatement","P.S. 176 - BROOKLYN","1225 69 STREET","59426.00","2021-06-07T00:00:00.000","BROOKLYN","11219","40.624611","-74.005378","310","43","196","3143190","3057740001","Dyker Heights"
"17QF","K420","Asbestos  abatement","CYPRESS HILLS COLLEGIATE - K","999 JAMAICA AVENUE","20963.00","2021-06-07T00:00:00.000","BROOKLYN","11208","40.691146","-73.868328","305","37","1180","3090738","3040940001","park-cemetery-etc-Brooklyn"
"17QT","Q014","Asbestos  abatement","P.S. 14 - QUEENS","107-01 OTIS AVENUE","31923.00","2021-06-07T00:00:00.000","QUEENS","11368","40.74056","-73.854131","404","21","439","4437311","4019540037","Corona"
"16I9","Q205","Asbestos  abatement","P.S. 205 - QUEENS","75-25 BELL BLVD","44397.00","2021-06-07T00:00:00.000","QUEENS","11364","40.737678","-73.756791","411","23","129103","4164007","4077530001","Oakland Gardens"
"17PH","X061","Asbestos  abatement","P.S. 61 - BRONX","1550 CROTONA PARK EAST","45046.00","2021-06-07T00:00:00.000","BRONX","10460","40.836575","-73.892817","203","17","153","2009865","2029390045","Crotona Park East"
"16HZ","X039","Asbestos  abatement","LONGWOOD PREPARATORY ACADEMY","965 LONGWOOD AVENUE","111364.00","2021-06-07T00:00:00.000","BRONX","10459","40.817512","-73.898212","202","17","87","2005616","2027100001","Longwood"
"16DP","K270","Asbestos  abatement","P.S. 270 - BROOKLYN","241 EMERSON PLACE","135828.00","2021-06-07T00:00:00.000","BROOKLYN","11205","40.690202","-73.961478","302","35","193","3055378","3019330102","Clinton Hill"
"17QI","M011","Asbestos  abatement","P.S. 11 - MANHATTAN","320 WEST 21 STREET","46788.00","2021-06-07T00:00:00.000","MANHATTAN","10011","40.744349","-74.000253","104","3","89","1013260","1007440024","Hudson Yards-Chelsea-Flatiron-Union Square"
"16H4","Q094","Asbestos  abatement","P.S. 94 - QUEENS","41-77 LITTLE NECK PKWY","27256.00","2021-06-07T00:00:00.000","QUEENS","11363","40.771186","-73.739252","411","19","1479","4169468","4081350029","Douglas Manor-Douglaston-Little Neck"
"16I3","K425","Asbestos  abatement","JAMES MADISON HS - BROOKLYN","3787 BEDFORD AVENUE","48477.00","2021-06-07T00:00:00.000","BROOKLYN","11229","40.609912","-73.948512","315","48","642","3182721","3067880001","Madison"
"16I2","X161","Asbestos  abatement","P.S. 161 - BRONX","628 TINTON AVENUE","16673.00","2021-06-07T00:00:00.000","BRONX","10455","40.814916","-73.905518","201","8","79","2004773","2026640029","Melrose South-Mott Haven North"
"17Q0","X101","Asbestos  abatement","P.S. 304 - BRONX","2750 LAFAYETTE AVENUE","39571.00","2021-06-07T00:00:00.000","BRONX","10465","40.827471","-73.829753","210","13","152","2080231","2055470001","Schuylerville-Throgs Neck-Edgewater Park"
"17PW","K153","Asbestos  abatement","P.S. 153 - BROOKLYN","1970 HOMECREST AVENUE","112282.00","2021-06-07T00:00:00.000","BROOKLYN","11229","40.601617","-73.959779","315","48","556","3196677","3072910030","Homecrest"
"16DW","X470","Asbestos  abatement","UNIVERSITY HEIGHTS HS - BRONX","701 ST ANNS AVENUE","23066.00","2021-06-07T00:00:00.000","BRONX","10455","40.81825","-73.91103","201","17","71","2001153","2023590240","Melrose South-Mott Haven North"
"16DQ","K127","Asbestos  abatement","P.S. 127 - BROOKLYN","7805 7 AVENUE","17655.00","2021-06-07T00:00:00.000","BROOKLYN","11228","40.624132","-74.018826","310","43","206","3150481","3059730001","Dyker Heights"
"16DV","K021","Asbestos  abatement","P.S. 21 - BROOKLYN","180 CHAUNCEY STREET","230822.00","2021-06-07T00:00:00.000","BROOKLYN","11233","40.680727","-73.926597","303","36","381","3047914","3016920017","Crown Heights North"
"16DR","X440","Asbestos  abatement","DEWITT CLINTON HS - X","100 W MOSHOLU PKWY S","215682.00","2021-06-07T00:00:00.000","BRONX","10468","40.882178","-73.88691","207","11","409","2095215","2032510201","Van Cortlandt Village"
"16IL","X141","Asbestos  abatement","M.S./H.S. 141 - BRONX","660 WEST 237 STREET","17390.00","2021-06-07T00:00:00.000","BRONX","10463","40.888338","-73.913486","208","11","309","2085870","2059180376","North Riverdale-Fieldston-Riverdale"
"17QU","Q849","Asbestos  abatement","I.S. 77 - QUEENS","976 SENECA AVENUE","22767.00","2021-06-07T00:00:00.000","QUEENS","11385","40.699516","-73.90214","405","34","555","4085922","4035630023","Ridgewood"
"17QP","K420","Asbestos  abatement","CYPRESS HILLS COLLEGIATE - K","999 JAMAICA AVENUE","13756.00","2021-06-07T00:00:00.000","BROOKLYN","11208","40.691146","-73.868328","305","37","1180","3090738","3040940001","park-cemetery-etc-Brooklyn"
"16IM","K162","Asbestos  abatement","I.S. 162 - BROOKLYN","1390 WILLOUGHBY AVENUE","63254.00","2021-06-07T00:00:00.000","BROOKLYN","11237","40.707229","-73.919805","304","34","445","3073018","3032120001","Bushwick North"
"17Q3","Q088","Asbestos  abatement","P.S. 88 - QUEENS","60-85 CATALPA AVENUE","140950.00","2021-06-07T00:00:00.000","QUEENS","11385","40.703779","-73.896374","405","30","585","4085173","4035340012","Ridgewood"
"17Q9","K236","Asbestos  abatement","P.S. 236 - BROOKLYN","6302 AVENUE U","93152.00","2021-06-07T00:00:00.000","BROOKLYN","11234","40.615998","-73.912989","318","46","698","3326821","3084640001","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"16IG","X079","Asbestos  abatement","I.S. 447 - BRONX","125 EAST 181 STREET","18970.00","2021-06-07T00:00:00.000","BRONX","10453","40.854872","-73.903458","205","14","23704","2013849","2031700001","Fordham South"
"17P8","M460","Asbestos  abatement","THE HIGH SCHOOL FOR LANGUAGE A","40 IRVING PLACE","139900.00","2021-06-07T00:00:00.000","MANHATTAN","10003","40.735494","-73.987659","106","2","50","1017828","1008720057","Gramercy"
"16HP","M083","Asbestos  abatement","P.S. 83 - MANHATTAN","219 EAST 109 STREET","43532.00","2021-06-07T00:00:00.000","MANHATTAN","10029","40.793194","-73.942548","111","8","180","1052436","1016590012","East Harlem North"
"17QO","Q849","Asbestos  abatement","I.S. 77 - QUEENS","976 SENECA AVENUE","17647.00","2021-06-07T00:00:00.000","QUEENS","11385","40.699516","-73.90214","405","34","555","4085922","4035630023","Ridgewood"
"16HK","X142","Asbestos  abatement","I.S. 529 - BRONX","3750 BAYCHESTER AVENUE","43983.00","2021-06-07T00:00:00.000","BRONX","10466","40.884953","-73.840524","212","12","484","2066190","2049350001","Eastchester-Edenwald-Baychester"
"16HX","X011","Asbestos  abatement","P.S. 11 - BRONX","1257 OGDEN AVENUE","31766.00","2021-06-07T00:00:00.000","BRONX","10452","40.839378","-73.925714","204","16","201","2003519","2025290081","Highbridge"
"16I4","K275","Asbestos  abatement","I.S. 518 - BROOKLYN","985 ROCKAWAY AVENUE","18742.00","2021-06-07T00:00:00.000","BROOKLYN","11212","40.656068","-73.907245","316","42","922","3082940","3036360007","Brownsville"
"16HY","K014","Asbestos  abatement","I.S. 14 - BROOKLYN","2424 BATCHELDER STREET","49874.00","2021-06-07T00:00:00.000","BROOKLYN","11235","40.593521","-73.937672","315","48","596","3203617","3074240001","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"16I1","K273","Asbestos  abatement","P.S. 273 - BROOKLYN","923 JEROME STREET","12719.00","2021-06-07T00:00:00.000","BROOKLYN","11207","40.657922","-73.879354","305","42","1078","3097973","3044010001","East New York"
"17QJ","M165","Asbestos  abatement","P.S. 165 - MANHATTAN","234 WEST 109 STREET","69426.00","2021-06-07T00:00:00.000","MANHATTAN","10025","40.802917","-73.965613","107","7","195","1056676","1018800013","Morningside Heights"
"16HH","K455","Asbestos  abatement","BOYS & GIRLS HS - BROOKLYN","1700 FULTON STREET","54153.00","2021-06-07T00:00:00.000","BROOKLYN","11213","40.67944","-73.932407","303","36","271","3047996","3017010001","Crown Heights North"
"16ID","K127","Asbestos  abatement","P.S. 127 - BROOKLYN","7805 7 AVENUE","31054.00","2021-06-07T00:00:00.000","BROOKLYN","11228","40.624132","-74.018826","310","43","206","3150481","3059730001","Dyker Heights"
"16IQ","K287","Emergency Stabilization","P.S. 287 - BROOKLYN","50 NAVY STREET","489468.00","2021-06-07T00:00:00.000","BROOKLYN","11201","40.697901","-73.98054","302","35","23","3000203","3001110001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"16IC","Q415","Asbestos  abatement","BENJAMIN N. CARDOZO HS - QUEEN","57-00 223 STREET","16872.00","2021-06-07T00:00:00.000","QUEENS","11364","40.752333","-73.75599","411","23","138501","4161735","4075290001","Oakland Gardens"
"16IP","Q040","Asbestos  abatement","P.S. 40 - QUEENS","109-20 UNION HALL STREET","40954.00","2021-06-07T00:00:00.000","QUEENS","11433","40.694125","-73.790675","412","28","260","4263341","4121510001","South Jamaica"
"16JY","R027","Asbestos  abatement","I.S. 27 - STATEN ISLAND","11 CLOVE LAKE PLACE","16476.00","2021-06-07T00:00:00.000","STATEN IS","10310","40.628128","-74.117062","501","49","125","5008403","5003080001","West New Brighton-New Brighton-St. George"
"17QY","K435","Asbestos  abatement","PERFORMING ARTS AND TECH. HS -","400 PENNSYLVANIA AVENUE","24871.00","2021-06-07T00:00:00.000","BROOKLYN","11207","40.667456","-73.894747","305","42","1156","3084440","3037880001","East New York (Pennsylvania Ave)"
"16IA","R020","Asbestos  abatement","P.S. 20 - STATEN ISLAND","161 PARK AVENUE","20591.00","2021-06-07T00:00:00.000","STATEN IS","10302","40.636598","-74.132919","501","49","207","5106979","5010200001","Port Richmond"
"16HF","K094","Asbestos  abatement","P.S. 94 - BROOKLYN","5010 6TH AVENUE","119514.00","2021-06-07T00:00:00.000","BROOKLYN","11220","40.64366","-74.008252","307","38","98","3332126","3007920026","Sunset Park East"
