"school_year","location_name","location_code","borough","geographical_district_code","register","building_name","schools","nypd_site_code","nypd_site_name","schools_in_building","major_n","oth_n","nocrim_n","prop_n","vio_n","engroupa","rangea","avgofmajor_n","avgofoth_n","avgofnocrim_n","avgofprop_n","avgofvio_n","geocode","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"2016 - 17","Bronx Regional High School","X480","X","12","1463","1110 BOSTON ROAD CONSOLIDATED LOCATION","4","524","PS/MS 306X","Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION","2","4","30","1","5","7C","1251-1500","0.64","3.02","5.77","1.72","1.54","1010 REV J A POLITE AVENUE
,  ","10459","40.823532","-73.898872","2","17","12901","2005366","2026980012","Longwood                                                                   "
"2016 - 17","265 RALPH AVENUE CONSOLIDATED LOCATION","K040","K","16","503","265 RALPH AVENUE CONSOLIDATED LOCATION","2","206","PS 039K","P.S. 040 George W. Carver |  Gotham Professional Arts Academy |  265 RALPH AVENUE CONSOLIDATED LOCATION","1","2","1","3","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","265 RALPH AVENUE
,  
(35.507723, -90.147474)","11233","40.680463","-73.922264","3","41","379","3041214","3015180001","Stuyvesant Heights                                                         "
"2016 - 17","Brooklyn Technical High School","K430","K","13","3418",,"1","13","FRANKLIN K. LANE HS","James Madison High School","0","13","24","8","5","12C","3001-4000","1.13","8.47","15.33","3.8","3.07","29 FT GREENE PLACE
,  
(40.688865, -73.97692)","11217","40.688834","-73.976905","2","35","33","3058752","3020980013","Fort Greene                                                                "
"2016 - 17","M.S. 131","M131","M","2","962",,"1","694","PS 126M","P.S. 130 Hernando De Soto","1","1","1","2","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","100 HESTER STREET
,  
(36.550818, -89.966374)","10002","40.716553","-73.993092","3","1","16","1082489","1003010003","Chinatown                                                                  "
"2016 - 17","150 WEST 105 STREET CONSOLIDATED LOCATION","M145","M","3","201","150 WEST 105 STREET CONSOLIDATED LOCATION","2","557","JHS 143M","P.S. 145, The Bloomingdale School |  West Prep Academy |  150 WEST 105 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","150 WEST 105 STREET
,  
(46.688595, -123.749978)","10025","40.799178","-73.964842","7","7","189","1076625","1018590001","Upper West Side                                                            "
"2016 - 17","Liberty High School Academy for Newcomers","M550","M","2","397","350 GRAND STREET CONSOLIDATED LOCATION","5","654","HS FOR HUMANITIES","Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","250 WEST 18 STREET
,  
(48.396198, -114.337971)","10011","40.741657","-73.999307","4","3","81","1013858","1007670068","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"2016 - 17","Conselyea Preparatory School","K577","K","14","506","208 NORTH  5 STREET CONSOLIDATED LOCATION","2","57","PS 017K","P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","208 NORTH 5 STREET
,  
(35.433527, -96.306044)","11211","40.715351","-73.956716","1","34","519","3062337","3023450001","North Side-South Side                                                      "
"2016 - 17","P.S./I.S. 104 The Fort Hamilton School","K104","K","20","1278",,"1","219","PS 102K","P.S./I.S. 104 The Fort Hamilton School","0","0","4","0","0","7C","1251-1500","0.64","3.02","5.77","1.72","1.54","9115 5 AVENUE
,  
(46.62292, -94.212971)","11209","40.618415","-74.028842","10","43","160","3154775","3060880001","Bay Ridge                                                                  "
"2016 - 17","51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION","K332","K","23","1028","51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION","2","1139","PS 328 Phyllis Wheatley"," Christopher Avenue Community School |Leadership Preparatory Ocean Hill Charter School  | 51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","6C","1001-1250","N/A","N/A","N/A","N/A","N/A","51 CHRISTOPHER AVENUE
,  
(41.71862, -73.956572)","11212","40.672462","-73.906552","16","37","908","3083608","3036930001","Brownsville                                                                "
"2016 - 17","50 AVENUE P CONSOLIDATED LOCATION","K237","K","20","544",,"1","168","IS 232K","P.S. 236 Mill Basin","0","1","0","1","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","50 AVENUE
,  
(33.157296, -99.746703)","11204","40.60731","-73.986595","11","44","428","3396829","3066180001","Bensonhurst East                                                           "
"2016 - 17","P.S. 190 Sheffield","K190","K","19","1059",,"1","102","PS 184K","P.S. 189 The Bilingual Center","0","0","0","0","0","6C","1001-1250","0.57","2.12","3.64","1.39","1.05","590 SHEFFIELD AVENUE
,  
(38.581638, -90.372987)","11207","40.662326","-73.894441","5","42","1128","3085491","3038380018","East New York (Pennsylvania Ave)                                           "
"2016 - 17","Performing Arts and Technology High School","K507","K","19","284","400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION","5","1458","Spring Creek Community School","Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","400 PENNSYLVANIA AVENUE
,  
(40.312519, -75.834452)","11207","40.667456","-73.894747","5","42","1156","3084440","3037880001","East New York (Pennsylvania Ave)                                           "
"2016 - 17","Tag Young Scholars","M012","M","4","585",,"1","691","PS 111M","P.S. 116 Mary Lindley Murray","0","0","2","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","240 EAST 109 STREET
,  
(42.938054, -78.902013)","10029","40.79307","-73.942303","11","8","170","1052433","1016560100","East Harlem South                                                          "
"2016 - 17","P.S. 120 Carlos Tapia","K120","K","14","443",,"1","32","JHS 117K","P.S. 119 Amersfort","0","0","2","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","18 BEAVER STREET
,  
(42.381504, -71.203758)","11206","40.700911","-73.938884","4","34","389","3071806","3031370026","Bushwick South                                                             "
"2016 - 17","FDNY High School for Fire and Life Safety","K502","K","19",,"400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION","5","1458","Spring Creek Community School","Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A",,,"N/A","N/A","N/A","N/A","N/A","400 PENNSYLVANIA AVENUE
,  
(40.312519, -75.834452)","11207","40.667456","-73.894747","5","42","1156","3084440","3037880001","East New York (Pennsylvania Ave)                                           "
"2016 - 17","Central Park East II","M964","M","4","1357",,"1","558","JHS 164M","J.H.S. 167 Robert F. Wagner","1","4","3","2","2","7C","1251-1500","0.64","3.02","5.77","1.72","1.54","19 EAST 103 STREET
,  
(42.232949, -71.704608)","10029","40.792122","-73.951961","11","8","168","1051497","1016090007","East Harlem South                                                          "
"2016 - 17","Henry Street School for International Studies","M292","M","1","228","220 HENRY STREET CONSOLIDATED LOCATION","4","552","JHS 052M","Henry Street School for International Studies |  University Neighborhood Middle School |  Collaborative Academy of Science, Technology, & La | Manhattan Charter School II  |220 HENRY STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","220 HENRY STREET
,  
(30.021328, -93.83847)","10002","40.713684","-73.986336","3","1","201","1003223","1002690041","Lower East Side                                                            "
"2016 - 17","Liberty Avenue Middle School","K662","K","19","381","350 LINWOOD STREET CONSOLIDATED LOCATION","3","121","PS 298K","Vista Academy |  Liberty Avenue Middle School | ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL| 350 LINWOOD STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","350 LINWOOD STREET
,  
(33.129835, -117.053452)","11208","40.677104","-73.883433","5","37","1170","3088357","3039690001","East New York                                                              "
"2016 - 17","ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL(BN)","K626","K","23","937","2021 BERGEN STREET CONSOLIDATED LOCATION","2","1184","PS 54K","Brooklyn Collegiate: A College Board School l Achievement First Brownsville Charter School l 2021 BERGEN STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","5C","751-1000","N/A","N/A","N/A","N/A","N/A","2021 Bergen Street
,  
(40.068155, -75.048258)","11233","40.674103","-73.913273","16","41","36501","3038939","3014480001","Ocean Hill                                                                 "
"2016 - 17","The Mott Hall School","M223","M","6","598","4600 BROADWAY CONSOLIDATED LOCATION","3","1065","PS 206M","I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","71 111 CONVENT AVE
,  
(40.815876, -73.952864)","10027","40.815458","-73.952908","9","9","21703","1084067","1019570001","Manhattanville                                                             "
"2016 - 17","P.S. 224 Hale A. Woodruff","K224","K","19","558","4200 16 AVENUE CONSOLIDATED LOCATION","2","267","PS 219K MAIN","J.H.S. 223 The Montauk |  Urban Assembly School for Criminal Justice |  4200 16 AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","757 WORTMAN AVENUE
,  
(40.664101, -73.865783)","11208","40.664075","-73.866092","5","42","1220","3098980","3045300001","East New York                                                              "
"2016 - 17","Red Hook Neighborhood School","K676","K","15","186","27 HUNTINGTON STREET CONSOLIDATED LOCATION","2","1057","FREDERICK DOUGLASS ACADEMY IV","Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","27 HUNTINGTON STREET
,  
(41.359242, -71.842612)","11231","40.677564","-74.005166","6","38","59","3008342","3005250001","Carroll Gardens-Columbia Street-Red Hook                                   "
"2016 - 17","350 GRAND STREET CONSOLIDATED LOCATION","M445","M","2","354","350 GRAND STREET CONSOLIDATED LOCATION","5","654","HS FOR HUMANITIES","Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","350 GRAND STREET
,  
(41.756114, -124.216226)","10002","40.716778","-73.989337","3","1","18","1005283","1004080030","Chinatown                                                                  "
"2016 - 17","New Design Middle School","M514","M","5","188","244 WEST 144 STREET CONSOLIDATED LOCATION","2","628","PS 191M","P.S. 194 Countee Cullen|Harlem Village Academy Charter School|244 WEST 144 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","625 WEST 133 STREET
,  
(43.462658, -88.843669)","10027","40.819572","-73.957823","9","7","22302","1059942","1020010005","Manhattanville                                                             "
"2016 - 17","Expeditionary Learning School for Community Leader","K572","K","21","302","2630 BENSON AVENUE CONSOLIDATED LOCATION","5","1162","PAL AUXILARY SERVICES","International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","2630 BENSON AVENUE
,  
(40.594021, -73.98532)","11214","40.594291","-73.98577","13","47","306","3186454","3068830001","Gravesend                                                                  "
"2016 - 17","P.S. 003 The Bedford Village","K003","K","13","431",,"1","49","PS 003K","P.S. 003 The Bedford Village","0","0","3","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","50 JEFFERSON AVENUE
,  
(41.541143, -72.644969)","11216","40.682663","-73.955338","3","36","227","3057406","3019980001","Clinton Hill                                                               "
"2016 - 17","P.S. 051 Elias Howe","M051","M","2","534","26 BROADWAY CONSOLIDATED LOCATION","3","637","PS/MS 217M","Richard R. Green High School of Teaching |  Lower Manhattan Community Middle School |  26 BROADWAY CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","525 WEST 44TH STREET
,  
(43.474466, -85.953004)","10036","40.761479","-73.995823","4","3","129","1089418","1010730014","Clinton                                                                    "
"2016 - 17","P.S. M094","M094","M","2","563",,"1","546","IS 218M","Washington Heights Academy","0","0","1","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","55 BATTERY PLACE
,  
(40.70649, -74.017796)","10280","40.70644","-74.017818","1","1","31704","1087945","1000160040","Battery Park City-Lower Manhattan                                          "
"2016 - 17","Origins High School","K611","K","22","4551",,"1","10","BUSHWICK HS CAMPUS","Fort Hamilton High School","4","17","26","12","9","13C","4000+","0.33","6.67","7","3.33","2","3000 AVENUE
,  
(40.594236, -73.936836)","11235","40.594124","-73.937696","15","48","626","3203631","3074250002","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"2016 - 17","The Urban Assembly Unison School","K351","K","13","143","170 GATES AVENUE CONSOLIDATED LOCATION","2","20","IS 055K","P.S. 056 Lewis H. Latimer|  The Urban Assembly Unison School |  170 GATES AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","170 GATES AVENUE
,  
(40.807968, -74.227247)","11238","40.68505","-73.960659","2","35","231","3056874","3019830010","Clinton Hill                                                               "
"2016 - 17","Gramercy Arts High School","M374","M","2","392",,"1","706","SEWARD PARK HS","University Neighborhood High School","0","2","2","2","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","40 IRVING PLACE
,  
(40.859966, -74.130414)","10003","40.735494","-73.987659","6","2","50","1017828","1008720057","Gramercy                                                                   "
"2016 - 17","Brooklyn College Academy","K555","K","15","896",,"1","211","PS 077K","Benjamin Banneker Academy","0","2","2","1","1","5C","751-1000","0.38","1.71","2.38","0.98","0.82","350 CONEY ISLAND AVENUE
,  
(40.64916, -73.971731)","11218","40.649404","-73.971736","7","39","504","3328370","3053220069","Windsor Terrace                                                            "
"2016 - 17","1420 East 68 Street CONSOLIDATED LOCATION","K078","K","22","934","1420 East 68 Street CONSOLIDATED LOCATION","2","78","PS 075K","J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION","0","0","1","0","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","1420 East 68 Street
,  
(33.978425, -118.248968)","11234","40.621224","-73.91287","18","46","69602","3236496","3083880002","Georgetown-Marine Park-Bergen Beach-Mill Basin                             "
"2016 - 17","Dr. Susan S. McKinney Secondary School of the Arts","K265","K","13","500",,"1","1031","PS 262K","P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS","0","0","1","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","101 PARK AVENUE
,  
(35.848202, -78.292312)","11205","40.696324","-73.97578","2","35","211","3057942","3020280001","Fort Greene                                                                "
"2016 - 17","P.S. 244 Richard R. Green","K244","K","18","252",,"1","310","PS/IS 238K","P.S. 243K- The Weeksville School","1","3","1","2","2","3C","251-500","0.27","0.9","1.67","0.63","0.44","5404 TILDEN AVENUE
,  
(34.172136, -118.447355)","11203","40.648423","-73.925948","17","45","946","3104513","3047390001","Rugby-Remsen Village                                                       "
"2016 - 17","The Fresh Creek School","K325","K","19","1758",,"1","113","PS 257K","J.H.S. 259 William Mckinley","0","1","1","0","1","9C","1751-2000","0.9","3.5","7.25","2.55","1.45","875 WILLIAMS AVENUE
,  
(35.122045, -90.03296)","11207","40.654031","-73.894854","18","42","982","3229155","3081580035","Canarsie                                                                   "
"2016 - 17","P.S. 289 George V. Brower","K289","K","17","681",,"1","119","PS 284K","P.S. 288 The Shirley Tanyhill","0","1","2","0","1","4C","501-750","0.28","1.11","1.74","0.75","0.53","900 ST MARKS AVENUE
,  
(40.661758, -74.332539)","11213","40.674794","-73.942639","8","36","341","3031050","3012290028","Crown Heights North                                                        "
"2016 - 17","Frederick Douglass Academy VIII Middle School","K452","K","19","633","1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION","2","190","MS 136K","P.S. 346 Abe Stark |  Frederick Douglass Academy VIII Middle School |  1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","1400 PENNSYLVANIA AVENUE
,  
(40.421492, -80.569278)","11239","40.64726","-73.881114","5","42","105804","3098294","3044520025","Starrett City                                                              "
"2016 - 17","231 PALMETTO STREET CONSOLIDATED LOCATION","K291","K","32","236","231 PALMETTO STREET CONSOLIDATED LOCATION","3","120","PS 287K","J.H.S. 291 Roland Hayes |  Bushwick Community High School | Math, Engineering, and Science Academy Charter Hig |  231 PALMETTO STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","231 PALMETTO STREET
,  
(33.900142, -80.346844)","11221","40.695362","-73.915142","4","37","433","3076460","3033430001","Bushwick North                                                             "
"2016 - 17","P.S. 029 John M. Harrigan","K029","K","15","967",,"1","61","PS 028K","P.S. 029 John M. Harrigan","0","1","1","1","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","425 HENRY STREET
,  
(29.444217, -98.533591)","11201","40.686951","-73.99806","6","39","45","3255627","3003110001","Carroll Gardens-Columbia Street-Red Hook                                   "
"2016 - 17","Brooklyn School for Music & Theatre","K548","K","17","386","883 CLASSON AVENUE CONSOLIDATED LOCATION","4","140","THOMAS JEFFERSON HS","International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","883 CLASSON AVENUE
,  
(40.67009, -73.961805)","11225","40.670349","-73.961695","9","35","213","3029686","3011870001","Crown Heights South                                                        "
"2016 - 17","Landmark High School","M419","M","2","1801","260 PLEASANT AVENUE CONSOLIDATED LOCATION","2","677","PS 003M","Manhattan Center for Science and Mathematics |  Isaac Newton Middle School for Math & Science |  260 PLEASANT AVENUE CONSOLIDATED LOCATION","2","5","3","5","2","9C","1751-2000","0.9","3.5","7.25","2.55","1.45","351 WEST 18 STREET
,  
(26.777123, -80.061719)","10011","40.742867","-74.002136","4","3","89","1013096","1007420007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"2016 - 17","I.S. 096 Seth Low","K096","K","21","723","99 AVENUE P CONSOLIDATED LOCATION ","2","304","PS/IS 095K","IS 096 Seth Low|  Success Academy Charter School| 99 AVENUE P CONSOLIDTED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","99 AVENUE
,  
(33.157838, -99.746703)","11204","40.60754","-73.984661","11","44","430","3174076","3065950033","Bensonhurst East                                                           "
"2016 - 17","325 SOUTH  3 STREET CONSOLIDATED LOCATION","K414","K","14","606","325 SOUTH  3 STREET CONSOLIDATED LOCATION","1","58","PS 019K","Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION","0","0","1","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","325 SOUTH 3 STREET
,  
(31.711655, -110.068987)","11211","40.709647","-73.95465","1","34","527","3063188","3024230001","North Side-South Side                                                      "
"2016 - 17","FUTURE LEADERS INSTITUTE CHARTER SCHOOL(MN)","M861","M","3","187","134 WEST 122 STREET CONSOLIDATED LOCATION","2","697","PS 140M","P.S. 242 - The Young Diplomats Magnet Academy |  Future Leaders Institute Charter School |  134 WEST 122 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","134 WEST 122 STREET
,  
(42.256066, -72.251068)","10027","40.8063","-73.948013","10","9","220","1057683","1019060011","Central Harlem South                                                       "
"2016 - 17","Castle Bridge School","M513","M","6","622","560 WEST 169 STREET CONSOLIDATED LOCATION","2","1310","KIPP STAR COLLEGE PREP CHARTER SCHOOL","P.S. 128 Audubon |  Castle Bridge School |  560 WEST 169 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","560 WEST 169 STREET
,  
(42.024885, -71.246078)","10032","40.841321","-73.938506","12","10","251","1062994","1021250001","Washington Heights South                                                   "
"2016 - 17","P.S. 076 A. Philip Randolph","M076","M","3","1134","735 WEST END AVENUE CONSOLDATED LOCATION ","2","657","IS 070M","P.S. 075 Emily Dickinson| M.S. 250 West Side Collaborative Middle School| 735 WEST END AVENUE CONSOLDATED LOCATION ","0","1","0","1","0","6C","1001-1250","0.57","2.12","3.64","1.39","1.05","220 WEST 121 STREET
,  
(40.941103, -74.02057)","10027","40.806768","-73.951061","10","9","220","1058470","1019260017","Central Harlem South                                                       "
"2016 - 17","888 REV J A POLITE AVE CONSOLIDATED LOCATION","X060","X","8","248","2111 CROTONA AVENUE CONSOLIDATED LOCATION","2","370","PS 047X","P.S. 057 Crescent |  Frederick Douglass Academy V. Middle School |  2111 CROTONA AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","888 REV J A POLITE AVE
,  ","10459","40.820403","-73.898912","2","17","87","2005348","2026960085","Longwood                                                                   "
"2016 - 17","P.S. 222 Katherine R. Snyder","K222","K","22","352",,"1","24","IS 218K","P.S. 221 Toussaint L'Ouverture","0","3","4","2","1","3C","251-500","0.27","0.9","1.67","0.63","0.44","3301 QUENTIN ROAD
,  
(40.613421, -73.938675)","11234","40.613317","-73.938871","18","46","646","3212254","3077060001","Georgetown-Marine Park-Bergen Beach-Mill Basin                             "
"2016 - 17","Mott Hall II","M862","M","3",,"401 WEST 164 STREET CONSOLIDATED LOCATION","2","613","PS 158M ","M.S. 328 - Manhattan Middle School for Scientific |WHIN Music Community |  401 WEST 164 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A",,,"N/A","N/A","N/A","N/A","N/A","234 WEST 109 STREET
,  
(41.073432, -84.728985)","10025","40.802917","-73.965613","7","7","195","1056676","1018800013","Morningside Heights                                                        "
"2016 - 17","100 HESTER STREET CONSOLIDATED LOCATION","M131","M","2","309","100 HESTER STREET CONSOLIDATED LOCATION","3","1275","P.S.128 MINISCHOOL","M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","100 HESTER STREET
,  
(36.550818, -89.966374)","10002","40.716553","-73.993092","3","1","16","1082489","1003010003","Chinatown                                                                  "
"2016 - 17","Williamsburg Preparatory School","K561","K","14","565","257 NORTH  6 STREET CONSOLIDATED LOCATION","3","141","TRANSIT TECH HS","Brooklyn Preparatory High School |  Williamsburg High School for Architecture and Desi |  Williamsburg Preparatory School |  257 NORTH  6 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","257 NORTH 6 STREET
,  
(42.378897, -122.915098)","11211","40.715073","-73.954754","1","33","519","3062135","3023300011","North Side-South Side                                                      "
"2016 - 17","Brooklyn Studio Secondary School","K690","K","21","465",,"1","17","HARRY VAN ARSDALE HS","W. H. Maxwell Career and Technical Education High","1","1","15","1","1","3C","251-500","0.27","0.9","1.67","0.63","0.44","8310 21ST AVENUE
,  
(37.503577, -99.374642)","11214","40.604879","-73.994404","11","47","288","3165232","3063290032","Bensonhurst West                                                           "
"2016 - 17","I.S. 211 John Wilson","K211","K","18","515","188 ROCHESTER AVENUE CONSOLIDATED LOCATION","2","308","PS/IS 206K","M.S. K394|Explore Empower Charter School|188 ROCHESTER AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","1001 EAST 100 STREET
,  
(40.643509, -73.896507)","11236","40.643278","-73.896212","18","46","988","3326732","3082270001","Canarsie                                                                   "
"2016 - 17","P.S. 107 John W. Kimball","K107","K","15","578",,"1","83","PS 106K","P.S. 107 John W. Kimball","1","0","0","1","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","1301 8 AVENUE
,  
(40.754122, -80.320853)","11215","40.663251","-73.981289","6","39","167","3026517","3011010001","Park Slope-Gowanus                                                         "
"2016 - 17","Nelson Mandela High School","K765","K","16","265","1700 FULTON STREET CONSOLIDATED LOCATION","3","193","NEW UTRECHT HS","Boys and Girls High School |  Research and Service High School | NELSON MANDELA HIGH SCHOOL |1700 FULTON STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","1700 FULTON STREET
,  
(40.679415, -73.931607)","11213","40.67944","-73.932407","3","36","271","3047996","3017010001","Crown Heights North                                                        "
"2016 - 17","School for Global Leaders","M378","M","1","1745",,"1","1061","MS 17M","New Explorations into Science, Technology and Math","1","5","2","5","1","8C","1501-1750","0.66","3.26","7.31","1.77","1.74","145 STANTON STREET
,  
(41.233341, -75.895469)","10002","40.720581","-73.985645","3","1","3001","1004323","1003540080","Chinatown                                                                  "
"2016 - 17","P.S. 039 Henry Bristow","K039","K","15","416",,"1","65","PS 038K","P.S. 039 Henry Bristow","1","0","1","1","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","417 6 AVENUE
,  
(39.953518, -75.919514)","11215","40.668916","-73.983195","6","39","153","3021932","3010000001","Park Slope-Gowanus                                                         "
"2016 - 17","P.S. K771","K771","K","21","976","1075 OCEAN VIEW AVENUE CONSOLIDATED LOCATION","2","165","IS 223K","P.S. K225 - The Eileen E. Zaglin |  P.S. K771 |  1075 OCEAN VIEW AVENUE CONSOLIDATED LOCATION","1","4","2","1","2","5C","751-1000","0.38","1.71","2.38","0.98","0.82","1075 OCEAN VIEW AVENUE
,  
(40.579689, -73.956244)","11235","40.579737","-73.956329","13","48","61004","3245498","3087120056","Brighton Beach                                                             "
"2016 - 17","P.S./I.S. 217 Roosevelt Island","M217","M","2","683",,"1","546","IS 218M","P.S. 234 Independence School","0","0","1","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","645 MAIN STREET
,  
(42.709879, -73.195131)","10044","40.763894","-73.947916","8","5","23802","1084848","1013730001","Lenox Hill-Roosevelt Island                                                "
"2016 - 17","P.S. 398 Walter Weaver","K398","K","17","203",,"1","192","MS 391K","P.S. 397 Foster-Laurie","0","0","0","0","0","2C","1-250","0.24","0.71","1.71","0.51","0.32","60 EAST 94 STREET
,  
(40.663934, -73.92737)","11212","40.663559","-73.926959","17","41","882","3323072","3045950015","Rugby-Remsen Village                                                       "
"2016 - 17","P.S. 216 Arturo Toscanini","K216","K","21","894",,"1","164","IS 211K","P.S. 215 Morris H. Weiss","0","0","2","0","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","350 AVENUE
,  
(38.536345, -98.433792)","11223","40.590564","-73.969964","15","47","37401","3195175","3071960001","Gravesend                                                                  "
