"project_number","building_id","project_description","school_name","school_address","sed_approved_estimate","appltosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"0LYL","M166","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 166 - MANHATTAN","132 WEST 89 STREET","49427","2016-03-21T00:00:00.000","1","10024","40.788865","-73.971847","7","6","173","1032308","1012190047","Upper West Side                                                            "
"0LYM","M125","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 362 - MANHATTAN","425 WEST 123 STREET","113849","2016-03-21T00:00:00.000","1","10027","40.810431","-73.955809","9","7","20901","1059526","1019640012","Morningside Heights                                                        "
"0LYN","M061","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 361 - MANHATTAN","610 EAST 12 STREET","74998","2016-03-21T00:00:00.000","1","10009","40.727892","-73.978525","3","2","28","1079053","1003940012","Lower East Side                                                            "
"0LYO","K540","Indoor Building Improvement - Computer room wiring to upgrade computer labs","K721 SPED - BROOKLYN","50 AVENUE X","66630","2016-03-21T00:00:00.000","3","11223","40.589268","-73.981738","13","47","308","3194998","3071850020","Gravesend                                                                  "
"0M06","K009","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 9 - BROOKLYN","80 UNDERHILL AVENUE","69297","2016-03-21T00:00:00.000","3","11238","40.678297","-73.965541","8","35","205","3028204","3011450026","Prospect Heights                                                           "
"0M07","K001","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 1 - BROOKLYN","309 47 STREET","39600","2016-03-21T00:00:00.000","3","11220","40.649042","-74.012289","7","38","80","3011821","3007550022","Sunset Park West                                                           "
"0M09","Q198","Indoor Building Improvement - Computer room wiring to upgrade computer labs","CHALLENGE PREP CHARTER SCHOOL","3-65 BEACH 56 STREET","50000","2016-03-21T00:00:00.000","4","11692","40.593967","-73.786182","14","31","97204","4301929","4158940011","Hammels-Arverne-Edgemere                                                   "
"0M0A","Q197","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 197 - QUEENS","825 HICKSVILLE ROAD","49498","2016-03-21T00:00:00.000","4","11691","40.600199","-73.743968","14","31","101002","4298856","4155970001","Far Rockaway-Bayswater                                                     "
"0M0B","Q191","Indoor Building Improvement - Computer room wiring to upgrade computer labs","Q993 SPED - QUEENS","85-15 258 STREET","74250","2016-03-21T00:00:00.000","4","11001","40.734318","-73.709137","13","23","157903","4180083","4088010014","Glen Oaks-Floral Park-New Hyde Park                                        "
"0M0C","Q184","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 184 - QUEENS","163-15 21 ROAD","59015","2016-03-21T00:00:00.000","4","11357","40.778095","-73.800163","7","19","1017","4129072","4057560001","Ft. Totten-Bay Terrace-Clearview                                           "
"0M0D","Q184","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 184 - QUEENS","163-15 21 ROAD","35000","2016-03-21T00:00:00.000","4","11357","40.778095","-73.800163","7","19","1017","4129072","4057560001","Ft. Totten-Bay Terrace-Clearview                                           "
"0M26","M898","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 18 - MANHATTAN","4124 9TH AVENUE","49499","2016-03-21T00:00:00.000","1","10034","40.871278","-73.911516","12","10","299","1082045","1022150824","Marble Hill-Inwood                                                         "
"0M27","X040","Indoor Building Improvement - Computer room wiring to upgrade computer labs","X352 SPED - BRONX","468 EAST 140 STREET","49453","2016-03-21T00:00:00.000","2","10454","40.809534","-73.919903","1","8","39","2000308","2022840034","Mott Haven-Port Morris                                                     "
"0M28","Q013","Building System Improvement - Reconstruction of Electrical Systems","P.S. 13 - QUEENS","55-01 94 STREET","100000","2016-03-21T00:00:00.000","4","11373","40.737613","-73.86851","4","25","457","4437297","4019010040","Elmhurst                                                                   "
"0M29","Q014","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 14 - QUEENS","107-01 OTIS AVENUE","103806","2016-03-21T00:00:00.000","4","11368","40.74056","-73.854131","4","21","439","4437311","4019540037","Corona                                                                     "
"0M2A","Q015","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 15 - QUEENS","121-15 LUCAS STREET","103946","2016-03-21T00:00:00.000","4","11413","40.68588","-73.757319","12","27","376","4273142","4126720001","St. Albans                                                                 "
"0M2B","Q017","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 17 - QUEENS","28-37 29 STREET","72685","2016-03-21T00:00:00.000","4","11102","40.768985","-73.922428","1","22","71","4007663","4005940001","Old Astoria                                                                "
"0MH3","K383","High Efficiency Lighting System (HELP) - Replacement of Building Lighting System, including Motor and Sensors, to ensure Compliance with Energy Efficient Guidelines.","I.S. 383 - BROOKLYN","1300 GREENE AVENUE","2527243","2016-03-21T00:00:00.000","3","11237","40.697781","-73.919777","4","37","431","3075413","3032980001","Bushwick North                                                             "
"0MH4","K181","High Efficiency Lighting System (HELP) - Replacement of Building Lighting System, including Motor and Sensors, to ensure Compliance with Energy Efficient Guidelines.","P.S. 181 - BROOKLYN","1023 NEW YORK AVENUE","1151623","2016-03-21T00:00:00.000","3","11203","40.648215","-73.946374","17","45","856","3327776","3049040010","East Flatbush-Farragut                                                     "
"0MH5","Q021","High Efficiency Lighting System (HELP) - Replacement of Building Lighting System, including Motor and Sensors, to ensure Compliance with Energy Efficient Guidelines.","P.S. 21 - QUEENS","147-36 26TH AVENUE","1446823","2016-03-21T00:00:00.000","4","11354","40.774512","-73.819284","7","19","1047","4108665","4048030001","Murray Hill                                                                "
"0MH6","X104","High Efficiency Lighting System (HELP) - Replacement of Building Lighting System, including Motor and Sensors, to ensure Compliance with Energy Efficient Guidelines.","P.S. 199 - BRONX","1449 SHAKESPEARE AVENUE","1243902","2016-03-21T00:00:00.000","2","10452","40.842943","-73.920563","4","16","21302","2088263","2028730027","Highbridge                                                                 "
"0LYP","K465","Indoor Building Improvement - Computer room wiring to upgrade computer labs","HS FOR SERVICE AND LEARNING -","911 FLATBUSH AVENUE","127989","2016-03-21T00:00:00.000","3","11226","40.649787","-73.95855","14","40","794","3336215","3051030010","Erasmus                                                                    "
"0LYQ","X119","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 119 - BRONX","1075 PUGSLEY AVENUE","302873","2016-03-21T00:00:00.000","2","10472","40.828518","-73.856569","9","18","4001","2025696","2037890021","Soundview-Bruckner                                                         "
"0LZN","K114","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 114 - BROOKLYN","1077 REMSEN AVENUE","197966","2016-03-21T00:00:00.000","3","11236","40.642792","-73.908806","18","46","964","3229159","3081600022","Canarsie                                                                   "
"0LZO","K104","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 104 - BROOKLYN","9115 5TH AVENUE","197999","2016-03-21T00:00:00.000","3","11209","40.618415","-74.028842","10","43","160","3154775","3060880001","Bay Ridge                                                                  "
"0M0V","Q098","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 98 - QUEENS","40-20 235 STREET","59399","2016-03-21T00:00:00.000","4","11363","40.769271","-73.749369","11","19","1483","4168629","4080820285","Douglas Manor-Douglaston-Little Neck                                       "
"0M0W","Q088","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 88 - QUEENS","60-85 CATALPA AVENUE","34965","2016-03-21T00:00:00.000","4","11385","40.703779","-73.896374","5","30","585","4085173","4035340012","Ridgewood                                                                  "
"0M0X","Q087","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 87 - QUEENS","67-54 80 STREET","34643","2016-03-21T00:00:00.000","4","11379","40.711815","-73.871238","5","30","621","4091737","4037820027","Middle Village                                                             "
"0M0Y","Q086","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 86 - QUEENS","87-41 PARSONS BLVD","98396","2016-03-21T00:00:00.000","4","11432","40.708898","-73.803938","8","24","448","4438678","4097740001","Briarwood-Jamaica Hills                                                    "
"0M0Z","Q050","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 50 - QUEENS","143-26 101 AVENUE","99000","2016-03-21T00:00:00.000","4","11435","40.695238","-73.807364","12","28","206","4214461","4100240012","Jamaica                                                                    "
"0M4E","X033","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 33 - BRONX","2424 JEROME AVENUE","86125","2016-03-21T00:00:00.000","2","10468","40.86185","-73.90176","5","14","239","2014099","2031880020","Fordham South                                                              "
"0M4F","X099","Indoor Building Improvement - Computer room wiring to upgrade computer labs","X723 SPED - BRONX","1180 REV. J.A. POLITE AVE.","146854","2016-03-21T00:00:00.000","2","10459","40.827315","-73.897612","2","17","131","2005276","2026920014","Longwood                                                                   "
"0M4G","X053","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 53 - BRONX","360 EAST 168 STREET","295844","2016-03-21T00:00:00.000","2","10456","40.832866","-73.911418","4","16","175","2002299","2024350075","East Concourse-Concourse Village                                           "
"0M4H","X068","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 68 - BRONX","4011 MONTICELLO AVENUE","197927","2016-03-21T00:00:00.000","2","10466","40.891732","-73.838471","12","12","426","2067852","2049860081","Woodlawn-Wakefield                                                         "
"0M4I","X079","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 447 - BRONX","125 EAST 181 STREET","180176","2016-03-21T00:00:00.000","2","10453","40.854872","-73.903458","5","14","23704","2013849","2031700001","Fordham South                                                              "
"0M4J","X082","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 303 - BRONX","1700 MACOMBS ROAD","108899","2016-03-21T00:00:00.000","2","10453","40.849623","-73.91607","5","14","21502","2008460","2028660070","University Heights-Morris Heights                                          "
"0LYR","R054","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 54 - STATEN ISLAND","1060 WILLOWBROOK RD","49997","2016-03-21T00:00:00.000","5","10314","40.603232","-74.137981","2","50","27302","5034476","5019870104","New Springville-Bloomfield-Travis                                          "
"0LYT","R050","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 50 - STATEN ISLAND","200 ADELAIDE AVENUE","49995","2016-03-21T00:00:00.000","5","10306","40.561691","-74.124622","3","50","13204","5063495","5047160060","Oakwood-Oakwood Beach                                                      "
"0LYU","R043","Indoor Building Improvement - Computer room wiring to upgrade computer labs","G MCCOWN EXPEDITIONARY LRNG SC","100 ESSEX DRIVE","49660","2016-03-21T00:00:00.000","5","10314","40.581315","-74.158589","2","51","27702","5149609","5024500320","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   "
"0LYV","R043","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S./J.H.S. 63 - STATEN ISLAND","100 ESSEX DRIVE","100000","2016-03-21T00:00:00.000","5","10314","40.581315","-74.158589","2","51","27702","5149609","5024500320","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   "
"0LYW","R042","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 42 - STATEN ISLAND","380 GENESEE AVENUE","49955","2016-03-21T00:00:00.000","5","10312","40.552523","-74.169464","3","51","17012","5074394","5056050001","Annadale-Huguenot-Prince's Bay-Eltingville                                 "
"0LYX","R036","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 36 - STATEN ISLAND","255 IONIA AVENUE","49407","2016-03-21T00:00:00.000","5","10312","40.543083","-74.182299","3","51","17005","5107742","5062620012","Annadale-Huguenot-Prince's Bay-Eltingville                                 "
"0LZP","K099","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 99 - BROOKLYN","1120 EAST 10 STREET","98996","2016-03-21T00:00:00.000","3","11230","40.621565","-73.965595","12","44","454","3171478","3065350011","Ocean Parkway South                                                        "
"0LZQ","K085","Indoor Building Improvement - Computer room wiring to upgrade computer labs","K753 SPED - BROOKLYN","510 CLERMONT AVENUE","34998","2016-03-21T00:00:00.000","3","11238","40.682533","-73.968769","2","35","179","3057521","3020080001","Fort Greene                                                                "
"0M1D","Q125","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 125 - QUEENS","46-02 47 AVENUE","74250","2016-03-21T00:00:00.000","4","11377","40.741131","-73.918945","2","26","235","4052874","4022840006","Hunters Point-Sunnyside-West Maspeth                                       "
"0M1E","K169","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 169 - BROOKLYN","4305 7TH AVENUE","98754","2016-03-21T00:00:00.000","3","11232","40.64629","-74.001903","7","38","92","3011002","3007320001","Sunset Park East                                                           "
"0M1F","K260","Indoor Building Improvement - Computer room wiring to upgrade computer labs","THE FRESH CREEK SCHOOL - BROOK","875 WILLIAMS AVENUE","49022","2016-03-21T00:00:00.000","3","11207","40.654031","-73.894854","18","42","982","3229155","3081580035","Canarsie                                                                   "
"0M1G","M620","Indoor Building Improvement - Computer room wiring to upgrade computer labs","MANHATTAN ACADEMY OF ARTS AND","111 EAST 33 STREET","34646","2016-03-21T00:00:00.000","1","10016","40.746176","-73.981241","5","2","72","1087537","1008897501","Murray Hill-Kips Bay                                                       "
"0M1H","K281","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 281 - BROOKLYN","8787 24 AVENUE","198000","2016-03-21T00:00:00.000","3","11214","40.595341","-73.993457","11","47","304","3186626","3068910001","Bensonhurst East                                                           "
"0M1I","K298","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 363 - BROOKLYN","85 WATKINS STREET","49440","2016-03-21T00:00:00.000","3","11212","40.670986","-73.908194","16","37","906","3080768","3035070007","Brownsville                                                                "
"0LYY","R035","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 35 - STATEN ISLAND","60 FOOTE AVENUE","49993","2016-03-21T00:00:00.000","5","10301","40.613721","-74.099626","1","49","47","5015603","5006100127","Grymes Hill-Clifton-Fox Hills                                              "
"0LYZ","R025","Indoor Building Improvement - Computer room wiring to upgrade computer labs","R025 SPED - STATEN ISLAND","4210 ARTHUR KILL ROAD","49983","2016-03-21T00:00:00.000","5","10309","40.539795","-74.237549","3","51","226","5086781","5073150007","Charleston-Richmond Valley-Tottenville                                     "
"0LZ0","R019","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 19 - STATEN ISLAND","780 POST AVENUE","89995","2016-03-21T00:00:00.000","5","10310","40.631214","-74.127101","1","49","141","5006175","5002270024","West New Brighton-New Brighton-St. George                                  "
"0LZ1","R016","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 16 - STATEN ISLAND","80 MONROE AVENUE","49988","2016-03-21T00:00:00.000","5","10301","40.6397","-74.079141","1","49","11","5000291","5000180015","West New Brighton-New Brighton-St. George                                  "
"0LZ2","K282","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 282 - BROOKLYN","180 6TH AVENUE","34957","2016-03-21T00:00:00.000","3","11217","40.67634","-73.977367","6","39","131","3019597","3009500024","Park Slope-Gowanus                                                         "
"0LZ3","K241","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 241 - BROOKLYN","976 PRESIDENT STREET","74245","2016-03-21T00:00:00.000","3","11225","40.669339","-73.960675","9","35","213","3378160","3011880001","Crown Heights South                                                        "
"0M0G","Q174","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 174 - QUEENS","65-10 DIETERLE CRESCENT","445493","2016-03-21T00:00:00.000","4","11374","40.720924","-73.86135","6","29","69702","4073904","4031340024","Rego Park                                                                  "
"0M0H","Q156","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 156 - QUEENS","229-02 137 AVENUE","49410","2016-03-21T00:00:00.000","4","11413","40.673069","-73.743173","13","31","646","4283015","4131700012","Laurelton                                                                  "
"0M0K","Q127","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 127 - QUEENS","98-01 25 AVENUE","99457","2016-03-21T00:00:00.000","4","11369","40.764646","-73.871641","3","21","357","4024487","4011090016","East Elmhurst                                                              "
"0M0L","Q122","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 122 - QUEENS","21-21 DITMARS BLVD","73807","2016-03-21T00:00:00.000","4","11105","40.780347","-73.916655","1","22","103","4019633","4008800001","Steinway                                                                   "
"0M0M","X161","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 161 - BRONX","628 TINTON AVENUE","249951","2016-03-21T00:00:00.000","2","10455","40.814916","-73.905518","1","8","79","2004773","2026640029","Melrose South-Mott Haven North                                             "
"0M0N","X138","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 138 - BRONX","2060 LAFAYETTE AVENUE","39559","2016-03-21T00:00:00.000","2","10473","40.822665","-73.853366","9","18","74","2022289","2036090016","Soundview-Castle Hill-Clason Point-Harding Park                            "
"0M3H","Q220","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 220 - QUEENS","62-10 108 STREET","200000","2016-03-21T00:00:00.000","4","11375","40.736524","-73.851455","6","29","745","4051290","4021430001","Forest Hills                                                               "
"0M3I","Q221","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 221 - QUEENS","57-40 MARATHON PKWY","197746","2016-03-21T00:00:00.000","4","11362","40.759404","-73.731299","11","23","152901","4171759","4082760620","Douglas Manor-Douglaston-Little Neck                                       "
"0M3J","Q229","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 229 - QUEENS","67-25 51 ROAD","34648","2016-03-21T00:00:00.000","4","11377","40.734294","-73.897557","5","30","513","4440274","4024230001","Maspeth                                                                    "
"0M3K","Q237","Indoor Building Improvement - Computer room wiring to upgrade computer labs","EAST-WEST SCHOOL OF INTL STUDI","46-21 COLDEN STREET","148489","2016-03-21T00:00:00.000","4","11355","40.749545","-73.822073","7","20","845","4116436","4051470001","Flushing                                                                   "
"0M56","K015","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 15 - BROOKLYN","71 SULLIVAN STREET","75000","2016-03-21T00:00:00.000","3","11231","40.677343","-74.011558","6","38","53","3008585","3005660001","Carroll Gardens-Columbia Street-Red Hook                                   "
"0M57","K024","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 24 - BROOKLYN","427 38TH STREET","296033","2016-03-21T00:00:00.000","3","11232","40.652701","-74.004743","7","38","84","3346119","3007010001","Sunset Park West                                                           "
"0LZ4","K238","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 238 - BROOKLYN","1633 EAST 8 STREET","49700","2016-03-21T00:00:00.000","3","11223","40.608862","-73.965058","15","44","420","3176229","3066400013","Homecrest                                                                  "
"0LZ6","K223","Indoor Building Improvement - Computer room wiring to upgrade computer labs","URBN ASSY SCHL CRIM JUSTICE -","4200 16 AVENUE","49735","2016-03-21T00:00:00.000","3","11204","40.634875","-73.981528","12","44","230","3125676","3053620021","Borough Park                                                               "
"0LZ7","R014","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 078 - STATEN ISLAND","100 TOMPKINS AVENUE","149783","2016-03-21T00:00:00.000","5","10304","40.622455","-74.078508","1","49","29","5014176","5005450110","Stapleton-Rosebank                                                         "
"0LZ8","R008","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 8 - STATEN ISLAND","112 LINDENWOOD ROAD","49258","2016-03-21T00:00:00.000","5","10308","40.547692","-74.151755","3","51","15601","5066295","5052210001","Great Kills                                                                "
"0LZ9","R001","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 1 - STATEN ISLAND","58 SUMMIT STREET","49975","2016-03-21T00:00:00.000","5","10307","40.509037","-74.244118","3","51","24401","5107854","5078980001","Charleston-Richmond Valley-Tottenville                                     "
"0LZB","Q891","Indoor Building Improvement - Computer room wiring to upgrade computer labs","R. F. WAGNER SEC SCL ARTS & TE","47-07 30TH PLACE","70016","2016-03-21T00:00:00.000","4","11101","40.742839","-73.936782","2","26","199","4003540","4002820001","Hunters Point-Sunnyside-West Maspeth                                       "
"0LZC","Q811","Indoor Building Improvement - Computer room wiring to upgrade computer labs","Q811 SPED - QUEENS","61-25 MARATHON PKWY","72213","2016-03-21T00:00:00.000","4","11362","40.756778","-73.729487","11","23","152902","4173060","4083610001","Douglas Manor-Douglaston-Little Neck                                       "
"0LZD","Q585","Indoor Building Improvement - Computer room wiring to upgrade computer labs","Q721 SPED - QUEENS","54-40 74TH STREET","203614","2016-03-21T00:00:00.000","4","11373","40.729939","-73.887482","5","30","49302","4062864","4028030001","Maspeth                                                                    "
"0LZE","Q415","Indoor Building Improvement - Computer room wiring to upgrade computer labs","BENJAMIN N. CARDOZO HS - QUEEN","57-00 223 STREET","79998","2016-03-21T00:00:00.000","4","11364","40.752333","-73.75599","11","23","138501","4161735","4075290001","Oakland Gardens                                                            "
"0LZF","Q254","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 254 - QUEENS","84-40 101ST STREET","86504","2016-03-21T00:00:00.000","4","11418","40.697961","-73.84796","9","32","24","4191296","4091770023","Richmond Hill                                                              "
"0LZG","K192","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 192 - BROOKLYN","4715 18 AVENUE","97164","2016-03-21T00:00:00.000","3","11204","40.629303","-73.979995","12","44","476","3128909","3054450001","Borough Park                                                               "
"0LZH","K189","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 189 - BROOKLYN","1100 EAST NEW YORK AVE","84999","2016-03-21T00:00:00.000","3","11212","40.665565","-73.926246","17","41","892","3099537","3045990001","Brownsville                                                                "
"0LZI","K185","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 185 - BROOKLYN","8601 RIDGE BLVD","49999","2016-03-21T00:00:00.000","3","11209","40.623986","-74.033779","10","43","60","3153416","3060430001","Bay Ridge                                                                  "
"0M2I","Q029","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 29 - QUEENS","125-10 23 AVENUE","72265","2016-03-21T00:00:00.000","4","11356","40.778601","-73.843187","7","19","907","4099925","4042290014","College Point                                                              "
"0M2J","Q041","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 41 - QUEENS","214-43 35 AVENUE","49493","2016-03-21T00:00:00.000","4","11361","40.769601","-73.770863","11","19","1097","4135975","4061210001","Bayside-Bayside Hills                                                      "
"0M2K","Q043","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 43 - QUEENS","160 BEACH 29TH STREET","150000","2016-03-21T00:00:00.000","4","11691","40.593834","-73.76174","14","31","99802","4467711","4158200001","Far Rockaway-Bayswater                                                     "
"0M2L","Q067","Indoor Building Improvement - Computer room wiring to upgrade computer labs","J.H.S. 67 - QUEENS","51-60 MARATHON PKWY","49249","2016-03-21T00:00:00.000","4","11362","40.762708","-73.733694","11","19","150701","4170797","4082210012","Douglas Manor-Douglaston-Little Neck                                       "
"0M2M","Q068","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 68 - QUEENS","59-09 SAINT FELIX AVENUE","34648","2016-03-21T00:00:00.000","4","11385","40.696556","-73.897405","5","30","557","4437837","4035790001","Ridgewood                                                                  "
"0M2N","Q073","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 73 - QUEENS","70-02 54 AVENUE","34646","2016-03-21T00:00:00.000","4","11378","40.729215","-73.893624","5","30","49302","4058611","4025030031","Maspeth                                                                    "
"0M2O","Q073","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 290 - QUEENS","70-02 54 AVENUE","34641","2016-03-21T00:00:00.000","4","11378","40.729215","-73.893624","5","30","49302","4058611","4025030031","Maspeth                                                                    "
"0M2P","Q107","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 107 - QUEENS","167-02 45 AVENUE","47910","2016-03-21T00:00:00.000","4","11358","40.756013","-73.799706","7","19","1195","4123454","4054460018","East Flushing                                                              "
"0M15","Q007","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 7 - QUEENS","80-55 CORNISH AVE","148484","2016-03-21T00:00:00.000","4","11373","40.739115","-73.882487","4","25","485","4467710","4015380075","Elmhurst-Maspeth                                                           "
"0M16","Q120","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 120 - QUEENS","58-01 136 STREET","98927","2016-03-21T00:00:00.000","4","11355","40.745526","-73.829309","7","20","80301","4139491","4063730001","Queensboro Hill                                                            "
"0M17","Q034","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 34 - QUEENS","104-12 SPRINGFIELD BLVD","188027","2016-03-21T00:00:00.000","4","11429","40.711753","-73.736624","13","27","582","4240503","4111510081","Queens Village                                                             "
"0M18","Q028","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 28 - QUEENS","109-10 47TH AVE","98998","2016-03-21T00:00:00.000","4","11368","40.747126","-73.854824","4","21","415","4529578","4020030023","Corona                                                                     "
"0M19","K259","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 259 - BROOKLYN","7305 FT HAMILTON PKWY","98996","2016-03-21T00:00:00.000","3","11228","40.62668","-74.01512","10","43","206","3148031","3059230001","Dyker Heights                                                              "
"0M1A","K237","Indoor Building Improvement - Computer room wiring to upgrade computer labs","THE ACADAMY OF TALENTED SCHOLA","50 AVENUE P","49498","2016-03-21T00:00:00.000","3","11204","40.60731","-73.986595","11","44","428","3396829","3066180001","Bensonhurst East                                                           "
"0M2Q","Q109","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 109 - QUEENS","213-10 92 AVENUE","89100","2016-03-21T00:00:00.000","4","11428","40.720713","-73.747001","13","23","542","4226839","4106260001","Queens Village                                                             "
"0M2R","Q109","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 109 - QUEENS","213-10 92 AVENUE","131004","2016-03-21T00:00:00.000","4","11428","40.720713","-73.747001","13","23","542","4226839","4106260001","Queens Village                                                             "
"0M2T","Q111","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 111 - QUEENS","37-15 13 STREET","74249","2016-03-21T00:00:00.000","4","11101","40.758831","-73.93938","1","26","43","4004419","4003630001","Queensbridge-Ravenswood-Long Island City                                   "
"0M2U","Q117","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 117 - QUEENS","85-15 143RD STREET","54354","2016-03-21T00:00:00.000","4","11435","40.709463","-73.813376","8","24","232","4208040","4097230150","Briarwood-Jamaica Hills                                                    "
"0M2V","Q120","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 120 - QUEENS","58-01 136 STREET","97630","2016-03-21T00:00:00.000","4","11355","40.745526","-73.829309","7","20","80301","4139491","4063730001","Queensboro Hill                                                            "
"0M2W","Q122","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 122 - QUEENS","21-21 DITMARS BLVD","73094","2016-03-21T00:00:00.000","4","11105","40.780347","-73.916655","1","22","103","4019633","4008800001","Steinway                                                                   "
"0LZR","K057","Indoor Building Improvement - Computer room wiring to upgrade computer labs","J.H.S. 57 - BROOKLYN","125 STUYVESANT AVENUE","66318","2016-03-21T00:00:00.000","3","11221","40.691274","-73.933697","3","36","291","3043822","3016160001","Stuyvesant Heights                                                         "
"0LZT","Q251","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 251 - QUEENS","144-51 ARTHUR STREET","49996","2016-03-21T00:00:00.000","4","11413","40.664218","-73.760249","13","31","320","4285682","4133310001","Springfield Gardens South-Brookville                                       "
"0LZU","Q247","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 128 - QUEENS","69-10 65TH DRIVE","34995","2016-03-21T00:00:00.000","4","11379","40.715344","-73.886215","5","30","659","4070445","4030270037","Middle Village                                                             "
