"development","street_address","postcode","borough","bldg_number","tds_number","bin_number","no_of_floors","roof_space_sq_ft","estimated_roof_solar_capacity_kw","adjusted_value_kw","roof_condition_rating","no_of_residential_units","no_of_total_units","senior_development_yes_no","latitude","longitude","community_board","council_district","census_tract","bbl","nta","location_1"
"GLENWOOD","925 EAST 56TH STREET","11234","BROOKLYN","1","44","3331010","6","8489.98","41.42","29","Replaced 10/16","60","60","No","40.633701","-73.922628","18","45","94402","3079780001","Flatlands                                                                  ","(40.633701, -73.922628)"
"GLENWOOD","5817 GLENWOOD ROAD","11234","BROOKLYN","12","44","3331012","6","8330.93","37.93","37.93","Replaced 10/16","59","60","No","40.633639","-73.920175","18","45","94402","3079780001","Flatlands                                                                  ","(40.633639, -73.920175)"
"GRAMPION","182 SAINT NICHOLAS AVENUE","10026","MANHATTAN","1","281","1058446","7","4148.98","23.21","23.21","4","35","35","No","40.805962","-73.952803","10","9","220","1019250015","Central Harlem South                                                       ","(40.805962, -73.952803)"
"HERNANDEZ","189 ALLEN STREET","10002","MANHATTAN","1","184","1005537","17","11403.44","42.54","29.78","4.6","149","149","No","40.722133","-73.988964","3","1","3601","1004170001","Chinatown                                                                  ","(40.722133, -73.988964)"
"HIGHBRIDGE GARDENS","1135 UNIVERSITY AVENUE","10452","BRONX","4","78","2095218","14","7112.23","40.67","28.47","2","117","118","No","40.837014","-73.928344","4","16","193","2025270032","Highbridge                                                                 ","(40.837014, -73.928344)"
"HIGHBRIDGE GARDENS","1075 UNIVERSITY AVENUE","10452","BRONX","2","78","2095216","14","7161.18","29.44","29.44","2","118","118","No","40.835862","-73.929494","4","16","193","2025270032","Highbridge                                                                 ","(40.835862, -73.929494)"
"HIGHBRIDGE GARDENS","1065 UNIVERSITY AVENUE","10452","BRONX","1","78","2093964","13","7028.24","37.43","37.43","2","116","116","No","40.835236","-73.929954","4","16","193","2025270032","Highbridge                                                                 ","(40.835236, -73.929954)"
"HIGHBRIDGE GARDENS","1095 UNIVERSITY AVENUE","10452","BRONX","3","78","2095217","13","7191.07","42.67","29.87","2","116","116","No","40.836471","-73.92889","4","16","193","2025270032","Highbridge                                                                 ","(40.836471, -73.92889)"
"HIGHBRIDGE GARDENS","1125 UNIVERSITY AVENUE","10452","BRONX","6","78","2095220","13","9933.77","42.42","29.69","3.3","116","116","No","40.836953","-73.928409","4","16","193","2025270032","Highbridge                                                                 ","(40.836953, -73.928409)"
"HIGHBRIDGE GARDENS","1145 UNIVERSITY AVENUE","10452","BRONX","5","78","2095219","13","12508.34","46.16","32.31","3.3","116","116","No","40.837077","-73.928282","4","16","193","2025270032","Highbridge                                                                 ","(40.837077, -73.928282)"
"HOWARD","40 GLENMORE AVENUE","11212","BROOKLYN","4","72","3339437","7","8718.32","35.68","35.68","Replaced 11/16","70","70","No","40.671188","-73.909449","16","41","906","3034890001","Brownsville                                                                ","(40.671188, -73.909449)"
"HOWARD","280 MOTHER GASTON BOULEVARD","11212","BROOKLYN","9","72","3339442","7","8718.69","34.81","34.81","Replaced 11/16","70","70","No","40.672537","-73.907612","16","41","906","3034890001","Brownsville                                                                ","(40.672537, -73.907612)"
"HOWARD","1548 EAST NEW YORK AVENUE","11212","BROOKLYN","3","72","3339433","13","10323.45","41.42","29.00","Replaced 11/16","103","103","No","40.672152","-73.911145","16","41","906","3034890001","Brownsville                                                                ","(40.672152, -73.911145)"
"HOWARD","260 MOTHER GASTON BOULEVARD","11212","BROOKLYN","10","72","3339439","13","6156.73","36.81","36.81","Replaced 11/16","99","99","No","40.67311","-73.907766","16","41","906","3034890001","Brownsville                                                                ","(40.67311, -73.907766)"
"HOWARD","60 GLENMORE AVENUE","11212","BROOKLYN","6","72","3348343","13","5773.86","31.94","31.94","Replaced 11/16","96","96","No","40.671261","-73.908937","16","41","906","3034890001","Brownsville                                                                ","(40.671261, -73.908937)"
"HOWARD","1550 EAST NEW YORK AVENUE","11212","BROOKLYN","2","72","3339434","7","8718.75","37.43","37.43","Replaced 11/16","66","67","No","40.672172","-73.911102","16","41","906","3034890001","Brownsville                                                                ","(40.672172, -73.911102)"
"HOWARD","1590 EAST NEW YORK AVENUE","11212","BROOKLYN","7","72","3339438","13","10842.73","27.32","27.32","Replaced 11/16","100","100","No","40.67284","-73.909493","16","41","906","3034890001","Brownsville                                                                ","(40.67284, -73.909493)"
"HOWARD","1570 EAST NEW YORK AVENUE","11212","BROOKLYN","5","72","3339435","7","8718.76","37.55","37.55","Replaced 11/16","70","70","No","40.672561","-73.910164","16","41","906","3034890001","Brownsville                                                                ","(40.672561, -73.910164)"
"HOWARD","30 GLENMORE AVENUE","11212","BROOKLYN","1","72","3339436","7","8718.33","38.30","38.30","Replaced 11/16","70","70","No","40.671149","-73.909708","16","41","906","3034890001","Brownsville                                                                ","(40.671149, -73.909708)"
"HOWARD","270 MOTHER GASTON BOULEVARD","11212","BROOKLYN","8","72","3339441","7","8718.73","37.55","37.55","Replaced 11/16","70","70","No","40.67277","-73.907673","16","41","906","3034890001","Brownsville                                                                ","(40.67277, -73.907673)"
"ISAACS","1806 1ST AVENUE","10128","MANHATTAN","3","139","1082365","24","7942.03","33.06","33.06","3","206","207","No","40.781684","-73.945848","8","5","152","1015730001","Yorkville                                                                  ","(40.781684, -73.945848)"
"ISAACS","419 EAST 93RD STREET","10128","MANHATTAN","1","139","1082368","24","7090.99","40.67","28.47","1","212","214","No","40.7808","-73.94487","8","5","152","1015730001","Yorkville                                                                  ","(40.7808, -73.94487)"
"ISAACS","415 EAST 93RD STREET","10128","MANHATTAN","4","139","1082367","1","12802.74","0","0","4",,"0","Non-residential","40.780904","-73.945112","8","5","152","1015730001","Yorkville                                                                  ","(40.780904, -73.945112)"
"ISAACS","1830 1ST AVENUE","10128","MANHATTAN","2","139","1082366","24","7090.99","42.05","29.43","1","214","215","No","40.782381","-73.945342","8","5","152","1015730001","Yorkville                                                                  ","(40.782381, -73.945342)"
"KINGSBOROUGH","553 KINGSBOROUGH 5TH WALK","11233","BROOKLYN","12","10","3331200","6","10108.27","53.65","37.55","1","96","96","No","40.674785","-73.923648","8","41","307","3013440001","Crown Heights North                                                        ","(40.674785, -73.923648)"
"KINGSBOROUGH","154 KINGSBOROUGH 1ST WALK","11233","BROOKLYN","1","10","3331187","6","7204.66","34.31","34.31","1","72","72","No","40.675095","-73.927245","8","41","307","3013440001","Crown Heights North                                                        ","(40.675095, -73.927245)"
"KINGSBOROUGH","120 KINGSBOROUGH 1ST WALK","11233","BROOKLYN","2","10","3324600","6","7154.76","29.44","29.44","1","72","72","No","40.675899","-73.927169","8","41","307","3013440001","Crown Heights North                                                        ","(40.675899, -73.927169)"
"KINGSBOROUGH","320 KINGSBOROUGH 3RD WALK","11233","BROOKLYN","7","10","3331197","6","7145.28","40.17","28.12","1","72","72","No","40.675824","-73.925763","8","41","307","3013440001","Crown Heights North                                                        ","(40.675824, -73.925763)"
"KINGSBOROUGH","454 KINGSBOROUGH 4TH WALK","11233","BROOKLYN","10","10","3331188","6","6881.45","35.31","35.31","1","72","72","No","40.67497","-73.924981","8","41","307","3013440001","Crown Heights North                                                        ","(40.67497, -73.924981)"
"KINGSBOROUGH","353 KINGSBOROUGH 3RD WALK","11233","BROOKLYN","8","10","3331196","6","7218.2","37.06","37.06","1","72","72","No","40.675017","-73.925825","8","41","307","3013440001","Crown Heights North                                                        ","(40.675017, -73.925825)"
"KINGSBOROUGH","135 KINGSBOROUGH 1ST WALK","11233","BROOKLYN","3","10","3324601","6","6937.92","32.19","32.19","1","54","54","No","40.675092","-73.927224","8","41","307","3013440001","Crown Heights North                                                        ","(40.675092, -73.927224)"
"KINGSBOROUGH","253 KINGSBOROUGH 2ND WALK","11233","BROOKLYN","4","10","3324603","6","7179.34","34.06","34.06","1","72","72","No","40.675059","-73.926694","8","41","307","3013440001","Crown Heights North                                                        ","(40.675059, -73.926694)"
"KINGSBOROUGH","654 KINGSBOROUGH 6TH WALK","11233","BROOKLYN","13","10","3324598","6","10206.53","50.53","35.37","1","96","96","No","40.674765","-73.922685","8","41","307","3013440001","Crown Heights North                                                        ","(40.674765, -73.922685)"
"KINGSBOROUGH","719 KINGSBOROUGH 7TH WALK","11233","BROOKLYN","16","10","3257064","6","6497.86","32.31","32.31","1","48","48","No","40.675445","-73.921513","16","41","303","3014380001","Ocean Hill                                                                 ","(40.675445, -73.921513)"
"KINGSBOROUGH","319 KINGSBOROUGH 3RD WALK","11233","BROOKLYN","9","10","3331195","6","7099.8","38.43","38.43","1","72","72","No","40.675821","-73.925741","8","41","307","3013440001","Crown Heights North                                                        ","(40.675821, -73.925741)"
"KINGSBOROUGH","720 KINGSBOROUGH 7TH WALK","11233","BROOKLYN","15","10","3257063","6","6491.46","33.19","33.19","1","48","48","No","40.675445","-73.921534","16","41","303","3014380001","Ocean Hill                                                                 ","(40.675445, -73.921534)"
"KINGSBOROUGH","354 KINGSBOROUGH 3RD WALK","11233","BROOKLYN","6","10","3331198","6","7217.75","35.68","35.68","1","65","72","No","40.675017","-73.925847","8","41","307","3013440001","Crown Heights North                                                        ","(40.675017, -73.925847)"
"KINGSBOROUGH","653 KINGSBOROUGH 6TH WALK","11233","BROOKLYN","14","10","3324599","6","10326.5","51.65","36.16","1","108","108","No","40.674765","-73.922664","8","41","307","3013440001","Crown Heights North                                                        ","(40.674765, -73.922664)"
"KINGSBOROUGH","420 KINGSBOROUGH 4TH WALK","11233","BROOKLYN","11","10","3331199","6","7029.49","40.17","28.12","1","65","67","No","40.675684","-73.924909","8","41","307","3013440001","Crown Heights North                                                        ","(40.675684, -73.924909)"
"KINGSBOROUGH","219 KINGSBOROUGH 2ND WALK","11233","BROOKLYN","5","10","3324602","6","7165.26","34.56","34.56","1","72","72","No","40.675869","-73.926621","8","41","307","3013440001","Crown Heights North                                                        ","(40.675869, -73.926621)"
"KINGSBOROUGH EXTENSION","447 KINGSBOROUGH 4TH WALK","11233","BROOKLYN","17","161","3035751","25","5101.92","24.83","24.83","1","184","184","Yes","40.675242","-73.924931","8","41","307","3013440175","Crown Heights North                                                        ","(40.675242, -73.924931)"
"LAFAYETTE","433 LAFAYETTE AVENUE","11238","BROOKLYN","7","122","3321868","20","7843.52","45.41","31.79","3.6","154","156","No","40.689147","-73.957754","3","35","233","3019380001","Bedford                                                                    ","(40.689147, -73.957754)"
"LAFAYETTE","415 LAFAYETTE AVENUE","11238","BROOKLYN","6","122","3321869","13","7646.47","43.67","30.57","1.9","102","102","No","40.68907","-73.958432","3","35","233","3019380001","Bedford                                                                    ","(40.68907, -73.958432)"
"LAFAYETTE","325 CLASSON AVENUE","11205","BROOKLYN","1","122","3321871","15","12131.78","36.56","36.56","3.1","104","104","No","40.690026","-73.96022","3","35","233","3019380001","Bedford                                                                    ","(40.690026, -73.96022)"
"LAFAYETTE","456 DEKALB AVENUE","11205","BROOKLYN","2","122","3321866","20","8645.16","37.43","37.43","3.8","154","154","No","40.690498","-73.958928","3","35","233","3019380001","Bedford                                                                    ","(40.690498, -73.958928)"
"LAFAYETTE","470 DEKALB AVENUE","11205","BROOKLYN","3","122","3346319","15","7630.20","37.43","37.43","1.9","110","110","No","40.690588","-73.958131","3","35","233","3019380001","Bedford                                                                    ","(40.690588, -73.958131)"
"LAFAYETTE","345 CLASSON AVENUE","11205","BROOKLYN","4","122","3321865","20","7764.66","43.04","30.13","1.9","154","154","No","40.689387","-73.960094","3","35","233","3019380001","Bedford                                                                    ","(40.689387, -73.960094)"
"LAFAYETTE","411 LAFAYETTE AVENUE","11238","BROOKLYN","5","122","3339158","13","7562.61","43.17","30.22","1.9","102","102","No","40.68901","-73.958955","3","35","233","3019380001","Bedford                                                                    ","(40.68901, -73.958955)"
"LA GUARDIA","55 RUTGERS STREET","10002","MANHATTAN","2","76","1077515","16","6560.48","40.8","28.56","Replaced 5/16","124","124","No","40.711725","-73.989806","3","1","6","1002560001","Lower East Side                                                            ","(40.711725, -73.989806)"
"LA GUARDIA","250 CLINTON STREET","10002","MANHATTAN","6","76","1083387","16","6474","38.8","38.8","Replaced 5/16","124","124","No","40.711579","-73.98674","3","1","201","1002580001","Lower East Side                                                            ","(40.711579, -73.98674)"
"LA GUARDIA","45 RUTGERS STREET","10002","MANHATTAN","1","76","1077514","16","6573","41.42","29","Replaced 5/16","124","124","No","40.712076","-73.989864","3","1","6","1002560001","Lower East Side                                                            ","(40.712076, -73.989864)"
"LA GUARDIA","240 MADISON STREET","10002","MANHATTAN","5","76","1077518","16","6425.92","37.06","37.06","Replaced 5/16","121","123","No","40.712806","-73.987988","3","1","6","1002560001","Lower East Side                                                            ","(40.712806, -73.987988)"
"LA GUARDIA","340 CHERRY STREET","10002","MANHATTAN","8","76","1083386","16","6566.52","38.8","38.8","Replaced 5/16","124","124","No","40.711609","-73.986055","3","1","201","1002580001","Lower East Side                                                            ","(40.711609, -73.986055)"
"LA GUARDIA","300 CHERRY STREET","10002","MANHATTAN","4","76","1077517","16","8559.95","15.35","15.35","Replaced 5/16","123","123","No","40.711458","-73.987639","3","1","6","1002560001","Lower East Side                                                            ","(40.711458, -73.987639)"
"LA GUARDIA","280 MADISON STREET","10002","MANHATTAN","9","76","1083385","16","6518.01","40.05","28.03","Replaced 5/16","120","120","No","40.712995","-73.985864","3","1","201","1002580001","Lower East Side                                                            ","(40.712995, -73.985864)"
"LA GUARDIA","230 CLINTON STREET","10002","MANHATTAN","7","76","1083384","16","6475.26","39.55","39.55","Replaced 5/16","124","124","No","40.712581","-73.986874","3","1","201","1002580001","Lower East Side                                                            ","(40.712581, -73.986874)"
"LA GUARDIA","65 JEFFERSON STREET","10002","MANHATTAN","3","76","1077516","16","6474.03","25.08","25.08","Replaced 5/16","108","108","No","40.711711","-73.98836","3","1","6","1002560001","Lower East Side                                                            ","(40.711711, -73.98836)"
"LA GUARDIA ADDITION","282 CHERRY STREET","10002","MANHATTAN","10","152","1003211","16","6234.02","43.42","30.39","Replaced 5/16","149","150","Yes","40.711387","-73.988356","3","1","6","1002560014","Lower East Side                                                            ","(40.711387, -73.988356)"
"LATIMER GARDENS","136-10 LATIMER PLACE","11354","QUEENS","2","186","4443409","10","8304.5","53.65","37.55","2","108","108","No","40.766595","-73.831295","7","20","88901","4049510008","Flushing                                                                   ","(40.766595, -73.831295)"
"LATIMER GARDENS","34-41 LINDEN PLACE","11354","QUEENS","4","186","4443412","10","8433.34","51.53","36.07","3","104","104","No","40.765714","-73.831084","7","20","88901","4049510008","Flushing                                                                   ","(40.765714, -73.831084)"
"LATIMER GARDENS","34-25 LINDEN PLACE","11354","QUEENS","1","186","4443411","10","8321.01","53.27","37.29","3","108","108","No","40.766181","-73.831274","7","20","88901","4049510008","Flushing                                                                   ","(40.766181, -73.831274)"
"LATIMER GARDENS","34-20 137TH STREET","11354","QUEENS","3","186","4443410","10","17228.62","70.62","49.43","2.5","103","103","No","40.766198","-73.830122","7","20","88901","4049510008","Flushing                                                                   ","(40.766198, -73.830122)"
"LEHMAN VILLAGE","1641 MADISON AVENUE","10029","MANHATTAN","1","101","1078867","20","6713.36","40.42","28.3","3","154","156","No","40.79584","-73.947866","11","8","17401","1016150023","East Harlem South                                                          ","(40.79584, -73.947866)"
"LEHMAN VILLAGE","88GAR EAST 108TH STREET","10029","MANHATTAN","5","101","1087109","1","787","0","0","3","0","0","Non-residential","40.794324","-73.947192","11","8","17401","1016130023","East Harlem South                                                          ","(40.794324, -73.947192)"
"LEHMAN VILLAGE","1595 MADISON AVENUE","10029","MANHATTAN","3","101","1078857","20","10268.70","44.54","31.18","3.9","151","154","No","40.794492","-73.948849","11","8","17401","1016130023","East Harlem South                                                          ","(40.794492, -73.948849)"
"LEHMAN VILLAGE","70 EAST 108TH STREET","10029","MANHATTAN","4","101","1078858","20","7205.67","25.33","25.33","3.8","155","155","No","40.794429","-73.947434","11","8","17401","1016130023","East Harlem South                                                          ","(40.794429, -73.947434)"
"LEHMAN VILLAGE","80 EAST 110TH STREET","10029","MANHATTAN","2","101","1078868","20","6814.47","44.04","30.83","4.8","156","157","No","40.79568","-73.946555","11","8","17401","1016150023","East Harlem South                                                          ","(40.79568, -73.946555)"
"MARINER'S HARBOR","208 LOCKMAN AVENUE","10303","STATEN ISLAND","8","77","5109119","6","4569.90","9.48","9.48","Replaced 6/16","35","36","No","40.63195","-74.161711","1","49","31901","5012450001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.63195, -74.161711)"
"MARINER'S HARBOR","62 ROXBURY STREET","10303","STATEN ISLAND","2","77","5110016","3","5745.02","18.59","18.59","Replaced 6/16","18","18","No","40.633442","-74.164478","1","49","31901","5012450001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.633442, -74.164478)"
"MARINER'S HARBOR","195 CONTINENTAL PLACE","10303","STATEN ISLAND","22","77","5109132","3","6051.50","19.84","19.84","Replaced 6/16","18","18","No","40.630254","-74.163335","1","49","31901","5012480200","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.630254, -74.163335)"
"MARINER'S HARBOR","124 BRABANT STREET","10303","STATEN ISLAND","17","77","5109125","6","4568.32","12.23","12.23","Replaced 6/16","35","35","No","40.631729","-74.1626","1","49","31901","5012480200","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.631729, -74.1626)"
"MARINER'S HARBOR","331 GRANDVIEW AVENUE","10303","STATEN ISLAND","12","77","5109123","3","5779.84","18.71","18.71","Replaced 6/16","18","18","No","40.632738","-74.165211","1","49","31901","5012450001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.632738, -74.165211)"
"MARINER'S HARBOR","178 LOCKMAN AVENUE","10303","STATEN ISLAND","7","77","5109118","6","4545.52","9.61","9.61","Replaced 6/16","36","36","No","40.632655","-74.161691","1","49","31901","5012450001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.632655, -74.161691)"
"MARINER'S HARBOR","50 ROXBURY STREET","10303","STATEN ISLAND","3","77","5110014","3","5728.64","19.21","19.21","Replaced 6/16","18","18","No","40.633456","-74.163919","1","49","31901","5012450001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.633456, -74.163919)"
"MARINER'S HARBOR","110 BRABANT STREET","10303","STATEN ISLAND","18","77","5109124","3","5717.85","14.97","14.97","Replaced 6/16","18","18","No","40.631647","-74.161951","1","49","31901","5012480200","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.631647, -74.161951)"
"MARINER'S HARBOR","173 BRABANT STREET","10303","STATEN ISLAND","11","77","5109122","6","4542.55","9.98","9.98","Replaced 6/16","36","36","No","40.632124","-74.164687","1","49","31901","5012450001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.632124, -74.164687)"
"MARINER'S HARBOR","153 BRABANT STREET","10303","STATEN ISLAND","10","77","5109121","6","4557.29","13.72","13.72","Replaced 6/16","36","36","No","40.631985","-74.163689","1","49","31901","5012450001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.631985, -74.163689)"
"MARINER'S HARBOR","168 BRABANT STREET","10303","STATEN ISLAND","14","77","5109128","6","4581.62","18.96","18.96","Replaced 6/16","35","35","No","40.63208","-74.164406","1","49","31901","5012480200","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.63208, -74.164406)"
"MARINER'S HARBOR","161 CONTINENTAL PLACE","10303","STATEN ISLAND","19","77","5109129","3","5769.96","18.47","18.47","Replaced 6/16","18","18","No","40.630225","-74.162041","1","49","31901","5012480200","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.630225, -74.162041)"
"MARINER'S HARBOR","40 ROXBURY STREET","10303","STATEN ISLAND","4","77","5110012","3","5789.67","17.47","17.47","Replaced 6/16","18","18","No","40.633476","-74.163228","1","49","31901","5012450001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.633476, -74.163228)"
"MARINER'S HARBOR","150 BRABANT STREET","10303","STATEN ISLAND","15","77","5109127","6","4562.44","12.85","12.85","Replaced 6/16","35","35","No","40.631944","-74.163566","1","49","31901","5012480200","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.631944, -74.163566)"
"MARINER'S HARBOR","20 ROXBURY STREET","10303","STATEN ISLAND","5","77","5109114","6","4574.19","10.98","10.98","Replaced 6/16","36","36","No","40.633488","-74.162792","1","49","31901","5012450001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.633488, -74.162792)"
"MARINER'S HARBOR","139 BRABANT STREET","10303","STATEN ISLAND","9","77","5109120","6","6980.48","8.98","8.98","Replaced 6/16","36","36","No","40.631816","-74.162942","1","49","31901","5012450001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.631816, -74.162942)"
"MARINER'S HARBOR","361 GRANDVIEW AVENUE","10303","STATEN ISLAND","13","77","5109989","6","4586.23","18.09","18.09","Replaced 6/16","35","35","No","40.631827","-74.165248","1","49","31901","5012480200","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.631827, -74.165248)"
"MARINER'S HARBOR","177 CONTINENTAL PLACE","10303","STATEN ISLAND","20","77","5109130","3","5765.33","15.72","15.72","Replaced 6/16","18","18","No","40.630238","-74.162614","1","49","31901","5012480200","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.630238, -74.162614)"
"MARINER'S HARBOR","142 BRABANT STREET","10303","STATEN ISLAND","16","77","5109126","6","4564.21","14.35","14.35","Replaced 6/16","35","35","No","40.631824","-74.163051","1","49","31901","5012480200","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.631824, -74.163051)"
"MARINER'S HARBOR","311 GRANDVIEW AVENUE","10303","STATEN ISLAND","1","77","5110007","3","5766.42","19.34","19.34","Replaced 6/16","18","18","No","40.633251","-74.165187","1","49","31901","5012450001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.633251, -74.165187)"
"MARINER'S HARBOR","14 ROXBURY STREET","10303","STATEN ISLAND","6","77","5110121","6","8461.96","12.73","12.73","Replaced 6/16","36","36","No","40.633508","-74.162049","1","49","31901","5012450001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.633508, -74.162049)"
"MARINER'S HARBOR","183 CONTINENTAL PLACE","10303","STATEN ISLAND","21","77","5109131","3","6112.56","17.47","17.47","Replaced 6/16","18","18","No","40.630244","-74.162867","1","49","31901","5012480200","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ","(40.630244, -74.162867)"
"MELTZER TOWER","94 EAST 1ST STREET","10009","MANHATTAN","1","183","1005743","20","6722.76","36.68","36.68","5","229","231","Yes","40.722827","-73.987402","3","2","3002","1004290021","East Village                                                               ","(40.722827, -73.987402)"
"METRO NORTH PLAZA","307 EAST 101ST STREET","10029","MANHATTAN","1","181","1079342","7","7193.88","50.78","35.55","5","34","34","No","40.787332","-73.944489","11","8","164","1016730006","East Harlem South                                                          ","(40.787332, -73.944489)"
"METRO NORTH PLAZA","345 EAST 101ST STREET","10029","MANHATTAN","3","181","1079340","8","12416.19","90.58","63.41","5","107","111","No","40.787019","-73.943742","11","8","164","1016730006","East Harlem South                                                          ","(40.787019, -73.943742)"
"METRO NORTH PLAZA","310 EAST 102ND STREET","10029","MANHATTAN","2","181","1079341","11","16047.83","91.08","63.75","4.1","130","130","No","40.787881","-73.943925","11","8","164","1016730006","East Harlem South                                                          ","(40.787881, -73.943925)"
"MIDDLETOWN PLAZA","3033 MIDDLETOWN ROAD","10461","BRONX","1","191","2046141","15","11163.59","34.81","34.81","3","177","179","Yes","40.844293","-73.829016","10","13","26602","2041710024","Pelham Bay-Country Club-City Island                                        ","(40.844293, -73.829016)"
"MILL BROOK","584 EAST 137TH STREET","10454","BRONX","6","84","2091266","16","7659.37","51.9","36.33","3","145","145","No","40.80584","-73.917306","1","8","2701","2025480001","Mott Haven-Port Morris                                                     ","(40.80584, -73.917306)"
"MILL BROOK","520 EAST 137TH STREET","10454","BRONX","2","84","2090984","16","7586.56","51.15","35.81","3","145","145","No","40.806357","-73.918523","1","8","25","2022630019","Mott Haven-Port Morris                                                     ","(40.806357, -73.918523)"
"MILL BROOK","620 EAST 137TH STREET","10454","BRONX","8","84","2091268","16","7848.15","49.28","34.50","4.9","145","147","No","40.80534","-73.916133","1","8","2701","2025480001","Mott Haven-Port Morris                                                     ","(40.80534, -73.916133)"
"MILL BROOK","640 EAST 137TH STREET","10454","BRONX","9","84","2091269","16","6620.78","28.07","28.07","3.1","128","128","No","40.805087","-73.91553","1","8","2701","2025480001","Mott Haven-Port Morris                                                     ","(40.805087, -73.91553)"
"MILL BROOK EXTENSION","169 CYPRESS AVENUE","10454","BRONX","10","132","2003599","16","7546.37","47.54","33.27","3.9","125","125","No","40.803901","-73.91573","1","8","2701","2025480042","Mott Haven-Port Morris                                                     ","(40.803901, -73.91573)"
"MORRIS PARK SENIOR CITIZENS HOME","17 EAST 124TH STREET","10035","MANHATTAN","1","277","1054003","9","6122.28","31.94","31.94","4.8","97","97","Yes","40.805364","-73.941844","11","9","198","1017490010","East Harlem North                                                          ","(40.805364, -73.941844)"
"MOTT HAVEN","388 EAST 141ST STREET","10454","BRONX","1","121","2000644","20","5044.15","30.57","30.57","5","117","117","No","40.811292","-73.922115","1","8","39","2023030021","Mott Haven-Port Morris                                                     ","(40.811292, -73.922115)"
"MOTT HAVEN","355 EAST 143RD STREET","10454","BRONX","7","121","2091103","20","5161.88","32.31","32.31","5","117","117","No","40.812911","-73.922127","1","8","41","2023060009","Mott Haven-Port Morris                                                     ","(40.812911, -73.922127)"
"MOTT HAVEN","375 EAST 143RD STREET","10454","BRONX","9","121","2091101","2","9000.59","2.87","2.87","5","0","0","Non-residential","40.812702","-73.921622","1","8","41","2023060009","Mott Haven-Port Morris                                                     ","(40.812702, -73.921622)"
"MOTT HAVEN","380 EAST 143RD STREET","10454","BRONX","6","121","2091099","20","9630.40","34.5","34.5","Replaced 11/16","130","130","No","40.812573","-73.921358","1","8","41","2023040001","Mott Haven-Port Morris                                                     ","(40.812573, -73.921358)"
"MOTT HAVEN","370 EAST 141ST STREET","10454","BRONX","0","121","2109610","1","566.65","0","0","N/A (playground)","0","0","Non-residential","40.81147","-73.922537","1","8","39","2023030021","Mott Haven-Port Morris                                                     ","(40.81147, -73.922537)"
"MOTT HAVEN","350 EAST 143RD STREET","10454","BRONX","5","121","2091099","20","9594.21","34.37","34.37","Replaced 11/16","130","130","No","40.812897","-73.922138","1","8","41","2023040001","Mott Haven-Port Morris                                                     ","(40.812897, -73.922138)"
"MOTT HAVEN","383 EAST 143RD STREET","10454","BRONX","8","121","2091102","20","5156.91","31.32","31.32","4.8","117","117","No","40.812581","-73.921329","1","8","41","2023060009","Mott Haven-Port Morris                                                     ","(40.812581, -73.921329)"
"MOTT HAVEN","383 EAST 141ST STREET","10454","BRONX","2","121","2091100","20","9595.33","33.94","33.94","3.8","130","130","No","40.8113","-73.92209","1","8","41","2023040001","Mott Haven-Port Morris                                                     ","(40.8113, -73.92209)"
"MOTT HAVEN","353 EAST 141ST STREET","10454","BRONX","3","121","2091100","20","10229.50","36.18","36.18","3.8","130","130","No","40.811517","-73.922606","1","8","41","2023040001","Mott Haven-Port Morris                                                     ","(40.811517, -73.922606)"
"MOTT HAVEN","340 ALEXANDER AVENUE","10454","BRONX","4","121","2091098","22","11985.93","32.44","32.44","3.9","121","122","No","40.812552","-73.923295","1","8","41","2023040001","Mott Haven-Port Morris                                                     ","(40.812552, -73.923295)"
"NEW LANE AREA","70 NEW LANE","10305","STATEN ISLAND","1","314","5042254","10","28664.41","184.53","129.17","Replaced 12/15","276","277","Yes","40.612811","-74.062256","1","49","6","5028320068","Stapleton-Rosebank                                                         ","(40.612811, -74.062256)"
