"organization_city_agency","street_address_mailing_address","city","state","zip_code","year_surveyed","total_vounteers","youth_volunteers","adult_volunteers","older_adult_volunteers","organization_type","interest_areas","boroughs_served","special_populations_served","bk_bath_beach","bk_bay_ridge","bk_bedford","bk_bensonhurst_east","bk_bensonhurst_west","bk_borough_park","bk_brighton_beach","bk_brooklyn_heights_cobble","bk_brownsville","bk_bushwick_north","bk_bushwick_south","bk_canarsie","bk_carroll_gardens_columbia","bk_clinton_hill","bk_crown_heights_north","bk_crown_heights_south","bk_cypress_hills_city_line","bk_dumbo_vinegar_hill_downtown","bk_dyker_heights","bk_east_flatbush_farragut","bk_east_new_york","bk_east_new_york_pennsylvania","bk_east_williamsburg","bk_erasmus","bk_flatbush","bk_flatlands","bk_fort_greene","bk_georgetown_marine_park","bk_gravesend","bk_greenpoint","bk_homecrest","bk_kensington_ocean_parkway","bk_madison","bk_midwood","bk_north_side_south_side","bk_ocean_hill","bk_ocean_parkway_south","bk_park_slope_gowanus","bk_park_cemetery_etc_brooklyn","bk_prospect_heights","bk_prospect_lefferts_gardens","bk_rugby_remsen_village","bk_seagate_coney_island","bk_sheepshead_bay_gerritsen","bk_starrett_city","bk_stuyvesant_heights","bk_sunset_park_east","bk_sunset_park_west","bk_west_brighton","bk_williamsburg","bk_windsor_terrace","bx_allerton_pelham_gardens","bx_bedford_park_fordham_north","bx_belmont","bx_bronxdale","bx_claremont_bathgate","bx_co_op_city","bx_crotona_park_east","bx_east_concourse_concourse","bx_east_tremont","bx_eastchester_edenwald","bx_fordham_south","bx_highbridge","bx_hunts_point","bx_kingsbridge_heights","bx_longwood","bx_melrose_south_mott_haven","bx_morrisania_melrose","bx_mott_haven_port_morris","bx_mount_hope","bx_north_riverdale_fieldston","bx_norwood","bx_park_cemetery_etc_bronx","bx_parkchester","bx_pelham_bay_country_club","bx_pelham_parkway","bx_rikers_island","bx_schuylerville_throgs_neck","bx_soundview_bruckner","bx_soundview_castle_hill","bx_spuyten_duyvil_kingsbridge","bx_university_heights_morris","bx_van_cortlandt_village","bx_van_nest_morris_park","bx_west_concourse","bx_west_farms_bronx_river","bx_westchester_unionport","bx_williamsbridge_olinville","bx_woodlawn_wakefield","mn_battery_park_city_lower","mn_central_harlem_north_polo","mn_central_harlem_south","mn_chinatown","mn_clinton","mn_east_harlem_north","mn_east_harlem_south","mn_east_village","mn_gramercy","mn_hamilton_heights","mn_hudson_yards_chelsea_flat","mn_lenox_hill_roosevelt_island","mn_lincoln_square","mn_lower_east_side","mn_manhattanville","mn_marble_hill_inwood","mn_midtown_midtown_south","mn_morningside_heights","mn_murray_hill_kips_bay","mn_park_cemetery_etc_manhattan","mn_soho_tribeca_civic_center","mn_stuyvesant_town_cooper","mn_turtle_bay_east_midtown","mn_upper_east_side_carnegie","mn_upper_west_side","mn_washington_heights_north","mn_washington_heights_south","mn_west_village","mn_yorkville","qn_airport","qn_astoria","qn_auburndale","qn_baisley_park","qn_bayside_bayside_hills","qn_bellerose","qn_breezy_point_belle_harbor","qn_briarwood_jamaica_hills","qn_cambria_heights","qn_college_point","qn_corona","qn_douglas_manor_douglaston","qn_east_elmhurst","qn_east_flushing","qn_elmhurst","qn_elmhurst_maspeth","qn_far_rockaway_bayswater","qn_flushing","qn_forest_hills","qn_fresh_meadows_utopia","qn_ft_totten_bay_terrace","qn_glen_oaks_floral_park","qn_glendale","qn_hammels_arverne_edgemere","qn_hollis","qn_hunters_point_sunnyside","qn_jackson_heights","qn_jamaica","qn_jamaica_estates_holliswood","qn_kew_gardens","qn_kew_gardens_hills","qn_laurelton","qn_lindenwood_howard_beach","qn_maspeth","qn_middle_village","qn_murray_hill","qn_north_corona","qn_oakland_gardens","qn_old_astoria","qn_ozone_park","qn_park_cemetery_etc_queens","qn_pomonok_flushing_heights","qn_queens_village","qn_queensboro_hill","qn_queensbridge_ravenswood","qn_rego_park","qn_richmond_hill","qn_ridgewood","qn_rosedale","qn_south_jamaica","qn_south_ozone_park","qn_springfield_gardens_north","qn_springfield_gardens_south","qn_st_albans","qn_steinway","qn_whitestone","qn_woodhaven","qn_woodside","si_annadale_huguenot_prince","si_arden_heights","si_charleston_richmond_valley","si_grasmere_arrochar_ft","si_great_kills","si_grymes_hill_clifton_fox","si_mariner_s_harbor_arlington","si_new_brighton_silver_lake","si_new_dorp_midland_beach","si_new_springville_bloomfield","si_oakwood_oakwood_beach","si_old_town_dongan_hills","si_park_cemetery_etc_staten","si_port_richmond","si_rossville_woodrow","si_stapleton_rosebank","si_todt_hill_emerson_hill","si_west_new_brighton_new","si_westerleigh","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Long Island City Business Improvement District","27-01 Queens Plaza North, Level B, Level B","Long Island City","NY","11101","2019","100","15","85","0","Community-based organization","Environment and sustainability","QN","No specific population","Bath Beach",,,,"Bensonhurst West",,"Brighton Beach",,,,,,,,,,,,,,,,,,,,,"Georgetown-Marine Park-Bergen Beach-Mill Basin","Gravesend",,,,,,,,,,,,,,"Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"QUEENS","40.750561","-73.939315","401","26","33","4005016","4004160010","Queensbridge-Ravenswood-Long Island City"
"Long Island University","1 University Plaza","Brooklyn","NY","11201","2019","400","0","0","0","College and/or university","Advocacy and organizing, Animals, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Environment and sustainability, Health and medicine, Homeless and shelter, Human rights, Human services, Immigrants and/or refugees, Justice-related, LGBTQIA+, People with disabilities, Senior Services, Women's issues","All Boroughs","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,"Borough Park",,,,,,,"Carroll Gardens-Columbia Street-Red Hook","Clinton Hill","Crown Heights North","Crown Heights South","Cypress Hills-City Line","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",,"East Flatbush-Farragut",,,,,,,,,"Gravesend",,,"Kensington-Ocean Parkway",,,,,,,,"Prospect Heights",,,,,,,"Sunset Park East",,,,,,,,,,,"Crotona Park East","East Concourse-Concourse Village",,,,,,,,"Melrose South-Mott Haven North",,"Mott Haven-Port Morris","Mount Hope",,,,,,,,"Schuylerville-Throgs Neck-Edgewater Park",,"Soundview-Castle Hill-Clason Point-Harding Park",,,,,,,,,,,,,,,"East Harlem North","East Harlem South",,"Gramercy",,"Hudson Yards-Chelsea-Flat Iron-Union Square",,,"Lower East Side","Manhattanville","Marble Hill-Inwood",,,"Murray Hill-Kips Bay",,,,,"Upper East Side-Carnegie Hill","Upper West Side",,"Washington Heights South",,"Yorkville",,,,,,,,,,,"Corona",,,,,,"Far Rockaway-Bayswater","Flushing",,,,,"Glendale",,,,,"Jamaica",,,,,,,,,,,,,,,,,,,,,,,"South Ozone Park","Springfield Gardens North",,,,,,,,,,,,,,,,,,,,,,,,"West New Brighton-New Brighton-St. George",,"BROOKLYN","40.69175","-73.981544","302","35","31","3338885","3020850001","Fort Greene"
"Long Term Care Ombudsman Program for New York City","841 Broadway, Suite 301","New York","NY","10003","2019","80","0","20","60","Federally Mandated Advocacy Program","Advocacy and organizing, People with disabilities, Senior Services","All Boroughs","Homeless, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Astoria",,,"Bayside-Bayside Hills",,,,,"College Point","Corona","Douglas Manor-Douglaston-Little Neck","East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth",,"Flushing","Forest Hills","Fresh Meadows-Utopia",,"Glen Oaks-Floral Park-New Hyde Park",,,,,"Jackson Heights","Jamaica","Jamaica Estates-Holliswood","Kew Gardens","Kew Gardens Hills",,,,,,"North Corona",,,"Ozone Park",,,"Queens Village",,,"Rego Park","Richmond Hill","Ridgewood",,,"South Ozone Park",,,,,"Whitestone",,"Woodside",,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.734243","-73.990896","102","2","61","1080132","1005650015","West Village"
"NYC Department of Health and Mental Hygiene","42-09 28th Street","Long Island City","NY","11101","2019","1358","0","0","0","City agency","Public Health","All Boroughs","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,"Bedford",,,,,,"Brownsville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunset Park East","Sunset Park West",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Concourse",,,,"Woodlawn-Wakefield",,"Central Harlem North-Polo Grounds","Central Harlem South","Chinatown",,"East Harlem North","East Harlem South",,,,,,,"Lower East Side",,,,"Morningside Heights",,,,,,,,"Washington Heights North","Washington Heights South",,,,"Astoria",,,,,,,,,,,,,"Elmhurst",,,"Flushing",,,,,,,,,"Jackson Heights","Jamaica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port Richmond",,,,,,"QUEENS","40.749641","-73.939135","402","26","19","4538327","4004207501","Hunters Point-Sunnyside-West Maspeth"
"United Yes We Can, Unidos Si Se Puede, Inc","230 E 123 street #804","New York","NY","10035","2019","68","23","37","8","Community-based organization","Advocacy and organizing, Arts and culture, Emergency management and disaster response, Homeless and shelter, Senior Services, Women's issues","MN","Homeless, Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Far Rockaway-Bayswater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.801798","-73.935371","111","8","194","1054629","1017870080","East Harlem North"
"Lower East Side Ecology Center","PO Box 20488","New York","NY","10009","2019","1754","0","0","0","Community-based organization","Advocacy and organizing, Education and literacy, Environment and sustainability","MN","Low-income populations, Older adults (60 or older), Youth (17 or under)",,"Bay Ridge","Bedford","Bensonhurst East","Bensonhurst West","Borough Park","Brighton Beach",,"Brownsville","Bushwick North","Bushwick South","Canarsie",,,"Crown Heights North","Crown Heights South","Cypress Hills-City Line","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Dyker Heights",,,,"East Williamsburg",,"Flatbush",,"Fort Greene",,,"Greenpoint",,,,,,"Ocean Hill","Ocean Parkway South","Park Slope-Gowanus","Park-cemetery-etc-Brooklyn","Prospect Heights",,,"Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",,"Stuyvesant Heights","Sunset Park East","Sunset Park West","West Brighton","Williamsburg",,,,,"Bronxdale",,,,,"East Tremont","Eastchester-Edenwald-Baychester",,,"Hunts Point",,,,,"Mott Haven-Port Morris","Mount Hope","North Riverdale-Fieldston-Riverdale","Norwood","park-cemetery-etc-Bronx","Parkchester","Pelham Bay-Country Club-City Island","Pelham Parkway","Rikers Island",,,,,"University Heights-Morris Heights","Van Cortlandt Village","Van Nest-Morris Park-Westchester Square","West Concourse",,"Westchester-Unionport","Williamsbridge-Olinville","Woodlawn-Wakefield","Battery Park City-Lower Manhattan",,"Central Harlem South","Chinatown",,"East Harlem North","East Harlem South","East Village","Gramercy",,"Hudson Yards-Chelsea-Flat Iron-Union Square","Lenox Hill-Roosevelt Island","Lincoln Square","Lower East Side","Manhattanville","Marble Hill-Inwood","Midtown-Midtown South","Morningside Heights",,"park-cemetery-etc-Manhattan","SoHo-TriBeCa-Civic Center-Little Italy","Stuyvesant Town-Cooper Village","Turtle Bay-East Midtown","Upper East Side-Carnegie Hill","Upper West Side","Washington Heights North","Washington Heights South","West Village","Yorkville","Airport","Astoria","Auburndale",,"Bayside-Bayside Hills","Bellerose","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Briarwood-Jamaica Hills","Cambria Heights","College Point","Corona","Douglas Manor-Douglaston-Little Neck","East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth","Far Rockaway-Bayswater","Flushing","Forest Hills","Fresh Meadows-Utopia","Ft. Totten-Bay Terrace-Clearview","Glen Oaks-Floral Park-New Hyde Park","Glendale","Hammels-Arverne-Edgemere","Hollis","Hunters Point-Sunnyside-West Maspeth","Jackson Heights","Jamaica","Jamaica Estates-Holliswood","Kew Gardens","Kew Gardens Hills","Laurelton","Lindenwood-Howard Beach","Maspeth","Middle Village","Murray Hill","North Corona","Oakland Gardens","Old Astoria","Ozone Park","park-cemetery-etc-Queens","Pomonok-Flushing Heights-Hillcrest","Queens Village","Queensboro Hill","Queensbridge-Ravenswood-Long Island City","Rego Park","Richmond Hill","Ridgewood","Rosedale","South Jamaica","South Ozone Park","Springfield Gardens North","Springfield Gardens South-Brookville","St. Albans","Steinway","Whitestone","Woodhaven","Woodside","Annadale-Huguenot-Prince's Bay-Eltingville","Arden Heights","Charleston-Richmond Valley-Tottenville","Grasmere-Arrochar-Ft. Wadsworth","Great Kills","Grymes Hill-Clifton-Fox Hills","Mariner's Harbor-Arlington-Port Ivory-Graniteville","New Brighton-Silver Lake","New Dorp-Midland Beach","New Springville-Bloomfield-Travis","Oakwood-Oakwood Beach","Old Town-Dongan Hills-South Beach","park-cemetery-etc-Staten Island","Port Richmond","Rossville-Woodrow","Stapleton-Rosebank","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","West New Brighton-New Brighton-St. George","Westerleigh",,,,,,,,,
"LSNC West 65th Street Center/NORC at Goddard Riverside Community Center","250 West 65th Street","New York","NY","10023","2019","100","20","50","30","Community-based organization, Senior Center","Senior Services","MN","Older adults (60 or older)","Bath Beach","Bay Ridge","Bedford","Bensonhurst East","Bensonhurst West","Borough Park","Brighton Beach","Brooklyn Heights-Cobble Hill","Brownsville","Bushwick North","Bushwick South","Canarsie","Carroll Gardens-Columbia Street-Red Hook","Clinton Hill","Crown Heights North","Crown Heights South","Cypress Hills-City Line","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Dyker Heights","East Flatbush-Farragut","East New York","East New York (Pennsylvania Ave)","East Williamsburg","Erasmus","Flatbush","Flatlands","Fort Greene","Georgetown-Marine Park-Bergen Beach-Mill Basin","Gravesend","Greenpoint","Homecrest","Kensington-Ocean Parkway","Madison","Midwood","North Side-South Side","Ocean Hill","Ocean Parkway South","Park Slope-Gowanus","Park-cemetery-etc-Brooklyn","Prospect Heights","Prospect Lefferts Gardens-Wingate","Rugby-Remsen Village","Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Starrett City","Stuyvesant Heights","Sunset Park East","Sunset Park West","West Brighton","Williamsburg","Windsor Terrace","Allerton-Pelham Gardens","Bedford Park-Fordham North","Belmont","Bronxdale","Claremont-Bathgate","Co-op City","Crotona Park East","East Concourse-Concourse Village","East Tremont","Eastchester-Edenwald-Baychester","Fordham South","Highbridge","Hunts Point","Kingsbridge Heights","Longwood","Melrose South-Mott Haven North","Morrisania-Melrose","Mott Haven-Port Morris","Mount Hope","North Riverdale-Fieldston-Riverdale","Norwood","park-cemetery-etc-Bronx","Parkchester","Pelham Bay-Country Club-City Island","Pelham Parkway","Rikers Island","Schuylerville-Throgs Neck-Edgewater Park","Soundview-Bruckner","Soundview-Castle Hill-Clason Point-Harding Park","Spuyten Duyvil-Kingsbridge","University Heights-Morris Heights","Van Cortlandt Village","Van Nest-Morris Park-Westchester Square","West Concourse","West Farms-Bronx River","Westchester-Unionport","Williamsbridge-Olinville","Woodlawn-Wakefield","Battery Park City-Lower Manhattan","Central Harlem North-Polo Grounds","Central Harlem South","Chinatown","Clinton","East Harlem North","East Harlem South","East Village","Gramercy","Hamilton Heights","Hudson Yards-Chelsea-Flat Iron-Union Square","Lenox Hill-Roosevelt Island","Lincoln Square","Lower East Side","Manhattanville","Marble Hill-Inwood","Midtown-Midtown South","Morningside Heights","Murray Hill-Kips Bay","park-cemetery-etc-Manhattan","SoHo-TriBeCa-Civic Center-Little Italy","Stuyvesant Town-Cooper Village","Turtle Bay-East Midtown","Upper East Side-Carnegie Hill","Upper West Side","Washington Heights North","Washington Heights South","West Village","Yorkville","Airport","Astoria","Auburndale","Baisley Park","Bayside-Bayside Hills","Bellerose","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Briarwood-Jamaica Hills","Cambria Heights","College Point","Corona","Douglas Manor-Douglaston-Little Neck","East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth","Far Rockaway-Bayswater","Flushing","Forest Hills","Fresh Meadows-Utopia","Ft. Totten-Bay Terrace-Clearview","Glen Oaks-Floral Park-New Hyde Park","Glendale","Hammels-Arverne-Edgemere","Hollis","Hunters Point-Sunnyside-West Maspeth","Jackson Heights","Jamaica","Jamaica Estates-Holliswood","Kew Gardens","Kew Gardens Hills","Laurelton","Lindenwood-Howard Beach","Maspeth","Middle Village","Murray Hill","North Corona","Oakland Gardens","Old Astoria","Ozone Park","park-cemetery-etc-Queens","Pomonok-Flushing Heights-Hillcrest","Queens Village","Queensboro Hill","Queensbridge-Ravenswood-Long Island City","Rego Park","Richmond Hill","Ridgewood","Rosedale","South Jamaica","South Ozone Park","Springfield Gardens North","Springfield Gardens South-Brookville","St. Albans","Steinway","Whitestone","Woodhaven","Woodside","Annadale-Huguenot-Prince's Bay-Eltingville","Arden Heights","Charleston-Richmond Valley-Tottenville","Grasmere-Arrochar-Ft. Wadsworth","Great Kills","Grymes Hill-Clifton-Fox Hills","Mariner's Harbor-Arlington-Port Ivory-Graniteville","New Brighton-Silver Lake","New Dorp-Midland Beach","New Springville-Bloomfield-Travis","Oakwood-Oakwood Beach","Old Town-Dongan Hills-South Beach","park-cemetery-etc-Staten Island","Port Richmond","Rossville-Woodrow","Stapleton-Rosebank","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","West New Brighton-New Brighton-St. George","Westerleigh","MANHATTAN","40.77501","-73.98689","107","6","151","1030340","1011560020","Lincoln Square"
"Macaulay Honors College","35 W 67th Street","New York","NY","10023","2019","1224","0","0","0","College and/or university","Various","All Boroughs","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Upper East Side-Carnegie Hill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.77351","-73.979392","107","6","153","1028237","1011200009","Lincoln Square"
"Maimonides Medical Center","4802 Tenth Avenue","Brooklyn","NY","11219","2019","1515","240","1081","194","Hospital","Advocacy and organizing, Children and youth related, Education and literacy, Emergency management and disaster response, Employment and workforce development, Health and medicine, Human services, People with disabilities, Senior Services, Women's issues","BK","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Annadale-Huguenot-Prince's Bay-Eltingville","Arden Heights","Charleston-Richmond Valley-Tottenville","Grasmere-Arrochar-Ft. Wadsworth","Great Kills","Grymes Hill-Clifton-Fox Hills","Mariner's Harbor-Arlington-Port Ivory-Graniteville","New Brighton-Silver Lake","New Dorp-Midland Beach","New Springville-Bloomfield-Travis","Oakwood-Oakwood Beach","Old Town-Dongan Hills-South Beach","park-cemetery-etc-Staten Island","Port Richmond","Rossville-Woodrow","Stapleton-Rosebank","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","West New Brighton-New Brighton-St. George","Westerleigh","BROOKLYN","40.639488","-73.998242","312","38","114","3336293","3056310038","Borough Park"
"Make - A - Wish Metro New York and Western New York","500 Fifth Avenue","New York","NY","10110","2019","1241","0","0","0","Community-based organization, Nonprofit/ Community-based organization","Children and youth related, Health and medicine, People with disabilities","All Boroughs","Youth (17 or under), 2 and a half to 18 yrs old",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Williamsbridge-Olinville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.753543","-73.980856","105","4","96","1034199","1012580034","Midtown-Midtown South"
"Mayor's Office of Data Analytics (MODA)","253 Broadway","New York","NY","10003","2019","16","0","16","0","City agency","Advocacy and organizing, Civic engagement (voting, voter registration), Education and literacy","All Boroughs","We serve users of the NYC Open Data Program and the constituents related to agencies we serve for analytics and data sharing efforts.","Bath Beach","Bay Ridge","Bedford","Bensonhurst East","Bensonhurst West","Borough Park","Brighton Beach","Brooklyn Heights-Cobble Hill","Brownsville","Bushwick North","Bushwick South","Canarsie","Carroll Gardens-Columbia Street-Red Hook","Clinton Hill","Crown Heights North","Crown Heights South","Cypress Hills-City Line","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Dyker Heights","East Flatbush-Farragut","East New York","East New York (Pennsylvania Ave)","East Williamsburg","Erasmus","Flatbush","Flatlands","Fort Greene","Georgetown-Marine Park-Bergen Beach-Mill Basin","Gravesend","Greenpoint","Homecrest","Kensington-Ocean Parkway","Madison","Midwood","North Side-South Side","Ocean Hill","Ocean Parkway South","Park Slope-Gowanus","Park-cemetery-etc-Brooklyn","Prospect Heights","Prospect Lefferts Gardens-Wingate","Rugby-Remsen Village","Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Starrett City","Stuyvesant Heights","Sunset Park East","Sunset Park West","West Brighton","Williamsburg","Windsor Terrace","Allerton-Pelham Gardens","Bedford Park-Fordham North","Belmont","Bronxdale","Claremont-Bathgate","Co-op City","Crotona Park East","East Concourse-Concourse Village","East Tremont","Eastchester-Edenwald-Baychester","Fordham South","Highbridge","Hunts Point","Kingsbridge Heights","Longwood","Melrose South-Mott Haven North","Morrisania-Melrose","Mott Haven-Port Morris","Mount Hope","North Riverdale-Fieldston-Riverdale","Norwood","park-cemetery-etc-Bronx","Parkchester","Pelham Bay-Country Club-City Island","Pelham Parkway",,"Schuylerville-Throgs Neck-Edgewater Park","Soundview-Bruckner","Soundview-Castle Hill-Clason Point-Harding Park","Spuyten Duyvil-Kingsbridge","University Heights-Morris Heights","Van Cortlandt Village","Van Nest-Morris Park-Westchester Square","West Concourse","West Farms-Bronx River","Westchester-Unionport","Williamsbridge-Olinville","Woodlawn-Wakefield","Battery Park City-Lower Manhattan","Central Harlem North-Polo Grounds","Central Harlem South","Chinatown","Clinton","East Harlem North","East Harlem South","East Village","Gramercy","Hamilton Heights","Hudson Yards-Chelsea-Flat Iron-Union Square","Lenox Hill-Roosevelt Island","Lincoln Square","Lower East Side","Manhattanville","Marble Hill-Inwood","Midtown-Midtown South","Morningside Heights","Murray Hill-Kips Bay","park-cemetery-etc-Manhattan","SoHo-TriBeCa-Civic Center-Little Italy","Stuyvesant Town-Cooper Village","Turtle Bay-East Midtown","Upper East Side-Carnegie Hill","Upper West Side","Washington Heights North","Washington Heights South","West Village","Yorkville","Airport","Astoria","Auburndale","Baisley Park","Bayside-Bayside Hills","Bellerose","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Briarwood-Jamaica Hills","Cambria Heights","College Point","Corona","Douglas Manor-Douglaston-Little Neck","East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth","Far Rockaway-Bayswater","Flushing","Forest Hills","Fresh Meadows-Utopia","Ft. Totten-Bay Terrace-Clearview","Glen Oaks-Floral Park-New Hyde Park","Glendale","Hammels-Arverne-Edgemere","Hollis","Hunters Point-Sunnyside-West Maspeth","Jackson Heights","Jamaica","Jamaica Estates-Holliswood","Kew Gardens","Kew Gardens Hills","Laurelton","Lindenwood-Howard Beach","Maspeth","Middle Village","Murray Hill","North Corona","Oakland Gardens","Old Astoria","Ozone Park","park-cemetery-etc-Queens","Pomonok-Flushing Heights-Hillcrest","Queens Village","Queensboro Hill","Queensbridge-Ravenswood-Long Island City","Rego Park","Richmond Hill","Ridgewood","Rosedale","South Jamaica","South Ozone Park","Springfield Gardens North","Springfield Gardens South-Brookville","St. Albans","Steinway","Whitestone","Woodhaven","Woodside","Annadale-Huguenot-Prince's Bay-Eltingville","Arden Heights","Charleston-Richmond Valley-Tottenville","Grasmere-Arrochar-Ft. Wadsworth","Great Kills","Grymes Hill-Clifton-Fox Hills","Mariner's Harbor-Arlington-Port Ivory-Graniteville","New Brighton-Silver Lake","New Dorp-Midland Beach","New Springville-Bloomfield-Travis","Oakwood-Oakwood Beach","Old Town-Dongan Hills-South Beach","park-cemetery-etc-Staten Island","Port Richmond","Rossville-Woodrow","Stapleton-Rosebank","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","West New Brighton-New Brighton-St. George","Westerleigh","MANHATTAN","40.713265","-74.007063","101","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy"
"Mayor's Office of Immigrant Affairs","253 Broadway, 14th floor","New York","NY","10007","2019","336","0","336","0","City agency","Advocacy and organizing, Immigrants and/or refugees, Justice-related, Legal services","All Boroughs","Immigrants and/or refugees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Upper West Side",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.713265","-74.007063","101","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy"
"Mayor's Office of Special Projects and Community Events","253 Broadway, 7th Floor","New York","NY","10007","2019","100","0","100","0","City agency","Special Events for the diverse communities of the City","All Boroughs","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), various communities within NYC including Asian-Americans, those who celebrate Diwali, Holiday Season, Faith Leaders, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Co-op City",,,"East Tremont",,,,"Hunts Point",,,,,,,,,,"Parkchester",,"Pelham Parkway",,,,"Soundview-Castle Hill-Clason Point-Harding Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.713265","-74.007063","101","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy"
