"cb_link_id","boro","community_board","council_district","latitude","longitude","link_installation_status","smallest_ppt","street_address","postcode","link_site_id","link_smoke_tested_and_activated_a","link_installation","neighborhood_tabulation_area_nta","building_identification_number_bin","borough_block_lot_bbl","census_tract_ct","cross_street_1","cross_street_2","ixn_corner","location"
"LINK-021928","Brooklyn","305","37","40.676994120000000","-73.898358420000000","Live","145937","2598 FULTON STREET","11207","bk-05-145937","2018-01-22T00:00:00.000","2017-09-23T00:00:00.000","East New York","3000000","3036680008","3119800","SHEFFIELD AVENUE","GEORGIA AVENUE","SW","(40.67699412, -73.89835842)"
"mn-08-120996","Manhattan","108","4","40.773006000000000","-73.958069000000000","Live","120996","1349 3 AVENUE","10075","mn-08-120996","2016-07-19T00:00:00.000","2016-07-08T00:00:00.000","Lenox Hill-Roosevelt Island","1044096","1014320001","1013400","EAST 77 STREET","EAST 78 STREET","NE","(40.773006, -73.958069)"
"mn-08-138320","Manhattan","108","4","40.766060000000000","-73.963554000000000","Live","138320","165 EAST 66 STREET","10065","mn-08-138320","2017-10-16T00:00:00.000","2017-07-29T00:00:00.000","Upper East Side-Carnegie Hill","1042464","1014010033","1012000","3 AVENUE","LEXINGTON AVENUE","NW","(40.76606, -73.963554)"
"mn-07-121306","Manhattan","107","6","40.787028000000000","-73.977832000000000","Live","121306","2315 BROADWAY","10024","mn-07-121306","2016-12-14T00:00:00.000","2016-11-02T00:00:00.000","Upper West Side","1032791","1012310055","1017100","WEST 84 STREET","WEST 83 STREET","SW","(40.787028, -73.977832)"
"bk-01-140988","Brooklyn","301","33","40.717770240000000","-73.957869080000000","Live","140988","182 BEDFORD AVENUE","11249","bk-01-140988","2019-01-29T00:00:00.000","2017-11-03T00:00:00.000","North Side-South Side","3062079","3023270022","3055300","NORTH 7 STREET","NORTH 6 STREET","SW","(40.71777024, -73.95786908)"
"mn-04-137461","Manhattan","104","3","40.767047360000000","-73.989933070000000","Live","137461","800 10 AVENUE","10019","mn-04-137461","2018-02-08T00:00:00.000","2017-09-23T00:00:00.000","Clinton","1088574","1010637503","1013300","WEST 54 STREET","WEST 53 STREET","SE","(40.76704736, -73.98993307)"
"LINK-020497","Bronx","201","8","40.806384850000000","-73.916245350000000","Live","146054","601 EAST 138 STREET","10454","bx-01-146054","2018-07-11T00:00:00.000","2018-02-12T00:00:00.000","Mott Haven-Port Morris","2003635","2025510065","2002702","ST ANN'S AVENUE","CYPRESS AVENUE","MIDBLOCK","(40.80638485, -73.91624535)"
"LINK-020994","Queens","402","26","40.744320490000000","-73.953483710000000","Live","146059","47-43 VERNON BOULEVARD","11101","qu-02-146059","2018-04-24T00:00:00.000","2018-01-17T00:00:00.000","Hunters Point-Sunnyside-West Maspeth","4000266","4000450002","4000700","48 AVENUE","47 ROAD","NE","(40.74432049, -73.95348371)"
"mn-03-133442","Manhattan","103","2","40.734127080000000","-73.989777980000000","Live","133442","145 4 AVENUE","10003","mn-03-133442","2016-11-10T00:00:00.000","2016-10-22T00:00:00.000","East Village","1077569","1005590009","1004200","EAST 14 STREET","EAST 13 STREET","SE","(40.73412708, -73.98977798)"
"LINK-020932","Queens","401","26","40.753640640000000","-73.918401660000000","Live","145954","43-40 NORTHERN BOULEVARD","11101","qu-01-145954","2017-11-07T00:00:00.000","2017-09-30T00:00:00.000","Hunters Point-Sunnyside-West Maspeth","4441943","4001430500","4017100","44 STREET","45 STREET","MIDBLOCK","(40.75364064, -73.91840166)"
"qu-02-128387","Queens","402","26","40.743062710000000","-73.920681500000000","Live","128387","45-02 44 STREET","11104","qu-02-128387","2017-02-02T00:00:00.000","2016-11-19T00:00:00.000","Hunters Point-Sunnyside-West Maspeth","4001993","4001680031","4018300","QUEENS BOULEVARD","47 AVENUE","NW","(40.74306271, -73.9206815)"
"bx-01-116415","Bronx","201","17","40.816751320000000","-73.922954810000000","Live","116415","522 MORRIS AVENUE","10451","bx-01-116415","2017-03-06T00:00:00.000","2017-01-21T00:00:00.000","Melrose South-Mott Haven North","2091151","2023300001","2006500","EAST 148 STREET","EAST 149 STREET","NE","(40.81675132, -73.92295481)"
"10332","Manhattan","106","2","40.739851540000000","-73.979326550000000","Live","121448","470 2 AVENUE","10016","mn-06-121448","2019-01-16T00:00:00.000","2018-08-09T00:00:00.000","Murray Hill-Kips Bay","1082730","1009340001","1006600","EAST 27 STREET","EAST 26 STREET","NE","(40.73985154, -73.97932655)"
"qu-09-124784","Queens","409","32","40.697562870000000","-73.836280400000000","Repair Pending","124784","112-01 JAMAICA AVENUE","11418","qu-09-124784","2017-07-31T00:00:00.000","2017-05-20T00:00:00.000","Richmond Hill","4192681","4092260034","4013000","112 STREET","113 STREET","NE","(40.69756287, -73.8362804)"
"mn-07-133404","Manhattan","107","6","40.781853290000000","-73.980835720000000","Live","133404","2160 BROADWAY","10023","mn-07-133404","2016-06-27T00:00:00.000","2016-05-25T00:00:00.000","Upper West Side","1030861","1011680022","1016300","WEST 76 STREET","WEST 77 STREET","NE","(40.78185329, -73.98083572)"
"qu-01-125170","Queens","401","22","40.765160190000000","-73.931427770000000","Live","125170","21-01 BROADWAY","11106","qu-01-125170","2017-05-17T00:00:00.000","2017-03-25T00:00:00.000","Astoria","4006385","4005540015","4007700","21 STREET","23 STREET","NE","(40.76516019, -73.93142777)"
"mn-05-121991","Manhattan","105","3","40.754311450000000","-73.988330040000000","Live","121991","550 7 AVENUE","10018","mn-05-121991","2017-01-18T00:00:00.000","2016-11-12T00:00:00.000","Midtown-Midtown South","1014501","1007890036","1011300","WEST 39 STREET","WEST 40 STREET","NW","(40.75431145, -73.98833004)"
"mn-12-120768","Manhattan","112","10","40.848082550000000","-73.934510060000000","Live","120768","1380 ST. NICHOLAS AVENUE","10033","mn-12-120768","2020-12-07T00:00:00.000","2018-04-14T00:00:00.000","Washington Heights South","1079911","1021530029","1026100","WEST 179 STREET","WEST 180 STREET","NE","(40.84808255, -73.93451006)"
"mn-06-138570","Manhattan","106","4","40.748672730000000","-73.973326380000000","Live","138570","245 EAST 40 STREET","10017","mn-06-138570","2018-04-04T00:00:00.000","2017-11-04T00:00:00.000","Turtle Bay-East Midtown","1037175","1013140021","1008800","2 AVENUE","TUNNEL EXIT STREET","NW","(40.74867273, -73.97332638)"
"mn-10-120046","Manhattan","110","9","40.812611000000000","-73.945458000000000","Live","120046","2215 ADAM CLAYTON POWELL JR. BOULEVARD","10027","mn-10-120046","2017-02-23T00:00:00.000","2016-12-06T00:00:00.000","Central Harlem North-Polo Grounds","1058070","1019150061","1022600","WEST 131 STREET","WEST 130 STREET","SE","(40.812611, -73.945458)"
"LINK-018403","Bronx","207","14","40.866765190000000","-73.897802780000000","Live","145933","2616 JEROME AVENUE","10468","bx-07-145933","2017-11-03T00:00:00.000","2017-09-16T00:00:00.000","Bedford Park-Fordham North","2014132","2031910020","2040100","EAST 193 STREET","EAST KINGSBRIDGE ROAD","SE","(40.86676519, -73.89780278)"
