"business_address","business_name_n_a_if_there","what_indicates_the_storefront","is_the_storefront_boarded","east_or_west_side_of_the","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","borough","postcode"
"356 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.717154","-74.003773","101","1","31","1001843","1001717501","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"3560 Broadway","The old Hamilton theater I believe it was called?","For Rent/For Lease/Retail Space Available","No","East","40.827194","-73.949879","109","7","233","1081831","1020780001","Hamilton Heights","MANHATTAN","10031"
"3569 Broadway","Apollo pharmacy","For Rent/For Lease/Retail Space Available","No","West","40.827325","-73.949807","109","7","233","1062398","1020930029","Hamilton Heights","MANHATTAN","10031"
"3571 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.827388","-73.949764","109","7","233","1062399","1020930034","Hamilton Heights","MANHATTAN","10031"
"3579 Broadway","Aden deli","For Rent/For Lease/Retail Space Available","No","West","40.827641","-73.949583","109","7","233","1062399","1020930034","Hamilton Heights","MANHATTAN","10031"
"358 Broadway","NYC Best Deal","Boarded Up","Yes","East","40.717223","-74.003716","101","1","31","1001840","1001710005","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"3587 Broadway","Hunter Roberts construction group field office","Empty","No","West","40.82797","-73.94934","109","7","233","1083037","1020940032","Hamilton Heights","MANHATTAN","10031"
"359 Broadway","Blood Manor","Boarded up","Yes","West","40.71725","-74.003716","101","1","33","1001906","1001740033","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"3596 Broadway","Food plaza inc","For Rent/For Lease/Retail Space Available","No","East","40.828203","-73.949145","109","7","233","1062006","1020790061","Hamilton Heights","MANHATTAN","10031"
"35th/36th on east side of Broadway","HSBC","Permanently Closed","No","East",,,,,,,,,,
"3600 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.828439","-73.948971","109","7","233","1062014","1020800001","Hamilton Heights","MANHATTAN","10031"
"3619 Broadway","Chase bank","For Rent/For Lease/Retail Space Available","No","West","40.828884","-73.948671","109","7","233","1062439","1020950033","Hamilton Heights","MANHATTAN","10031"
"3640 Broadway","N/A","We Moved","No","East","40.82969","-73.94806","109","7","237","1062137","1020820001","Hamilton Heights","MANHATTAN","10031"
"3641 Broadway","Raffis fashion","For Rent/For Lease/Retail Space Available","No","West","40.829468","-73.948248","109","7","233","1062444","1020960034","Hamilton Heights","MANHATTAN","10031"
"3642 Broadway","N/A","Empty","No","East","40.829745","-73.94802","109","7","237","1062137","1020820001","Hamilton Heights","MANHATTAN","10031"
"3644 Broadway","N/A","Empty","No","East","40.829797","-73.94798","109","7","237","1062137","1020820001","Hamilton Heights","MANHATTAN","10031"
"3646 Broadway","N/A","Empty","No","East","40.829852","-73.94794","109","7","237","1062137","1020820001","Hamilton Heights","MANHATTAN","10031"
"3646A Broadway","N/A","Empty","No","East","40.829852","-73.94794","109","7","237","1062137","1020820001","Hamilton Heights","MANHATTAN","10031"
"3648 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.829907","-73.947901","109","7","237","1062137","1020820001","Hamilton Heights","MANHATTAN","10031"
"3649 Broadway","Hi-end electronics","For Rent/For Lease/Retail Space Available","No","West","40.829822","-73.947987","109","7","237","1062449","1020970027","Hamilton Heights","MANHATTAN","10031"
"3649 Broadway","Vapor viper","For Rent/For Lease/Retail Space Available","No","West","40.829822","-73.947987","109","7","237","1062449","1020970027","Hamilton Heights","MANHATTAN","10031"
"3668 Broadway","Manny's restaurant and lounge","For Rent/For Lease/Retail Space Available","No","East","40.830555","-73.947427","109","7","237","1062209","1020830064","Hamilton Heights","MANHATTAN","10031"
"371 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.717744","-74.003297","101","1","33","1001937","1001757506","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"373 Broadway","Shane Townley Gallery","For Rent/For Lease/Retail Space Available","No","West","40.717799","-74.00325","101","1","33","1001936","1001750029","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"376 Broadway","Harley-Davidson of New York City","Covered Windows","No","East","40.717906","-74.003135","101","1","31","1001866","1001727501","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"1369 Broadway","V & S Gallery","For Rent/For Lease/Retail Space Available","No","West","40.752171","-73.987793","105","3","109","1015245","1008120056","Midtown-Midtown South","MANHATTAN","10018"
"1369 Broadway","N/A","Covered Windows","No","West","40.752171","-73.987793","105","3","109","1015245","1008120056","Midtown-Midtown South","MANHATTAN","10018"
"1359 Broadway","Wolfgang’s","Covered Windows","No","West","40.751704","-73.987599","105","3","109","1015240","1008120022","Midtown-Midtown South","MANHATTAN","10018"
"3801 Broadway","Coal diner","For Rent/For Lease/Retail Space Available","No","West","40.83478","-73.944366","112","7","247","1063301","1021360001","Washington Heights South","MANHATTAN","10032"
"381 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.71812","-74.00298","101","1","33","1002220","1001930050","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"3820 Broadway","Selena's wireless","Permanently Closed","No","East","40.8354","-73.943889","112","7","245","1062783","1021180001","Washington Heights South","MANHATTAN","10032"
"384 Broadway","Empire Apparel","Permanently Closed","No","East","40.718205","-74.002882","101","1","31","1002318","1001950002","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"3843 Broadway","El millon fashion","For Rent/For Lease/Retail Space Available","Yes","West","40.836078","-73.943418","112","7","245","1063350","1021370011","Washington Heights South","MANHATTAN","10032"
"3845 Broadway","Brothers fish market","For Rent/For Lease/Retail Space Available","No","West","40.836127","-73.943382","112","7","245","1063350","1021370011","Washington Heights South","MANHATTAN","10032"
"3849 Broadway","N/A","For Rent/For Lease/Retail Space Available","Yes","West","40.836226","-73.94331","112","7","245","1063350","1021370011","Washington Heights South","MANHATTAN","10032"
"3852 Broadway","Claudia's Fashion Bazaar, inc","For Rent/For Lease/Retail Space Available","No","East","40.836328","-73.943208","112","7","245","1062823","1021190005","Washington Heights South","MANHATTAN","10032"
"3856 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.836415","-73.943143","112","7","245","1062823","1021190005","Washington Heights South","MANHATTAN","10032"
"3880 Broadway","N/A","For Rent/For Lease/Retail Space Available","Yes","East","40.837269","-73.942521","112","7","245","1062922","1021220048","Washington Heights South","MANHATTAN","10032"
"3889 Broadway","New Alps cleaners","Empty","No","West","40.837494","-73.94238","112","7","245","1063363","1021370080","Washington Heights South","MANHATTAN","10032"
"3898 Broadway","Penny Jo's Uptown","Empty","Yes","East","40.837705","-73.942199","112","7","245","1062923","1021220052","Washington Heights South","MANHATTAN","10032"
"1385 Broadway","Cava","Closed Until Further Notice","No","West","40.752613","-73.987389","105","3","109","1015262","1008130055","Midtown-Midtown South","MANHATTAN","10018"
"1410 Broadway","Hale and Hearty","Closed Until Further Notice","No","East","40.753497","-73.987111","105","4","113","1015274","1008140052","Midtown-Midtown South","MANHATTAN","10018"
"1412 Broadway","Stub Hub","Closed Until Further Notice","No","East","40.753711","-73.987046","105","4","113","1080611","1008150014","Midtown-Midtown South","MANHATTAN","10018"
"1407 Broadway","Luke’s Lobster","Closed Until Further Notice","No","West","40.753439","-73.987151","105","3","113","1015265","1008140015","Midtown-Midtown South","MANHATTAN","10018"
"1407 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.753439","-73.987151","105","3","113","1015265","1008140015","Midtown-Midtown South","MANHATTAN","10018"
"1407 Broadway","Mighty Quinn’s BBQ","Closed Until Further Notice","No","West","40.753439","-73.987151","105","3","113","1015265","1008140015","Midtown-Midtown South","MANHATTAN","10018"
"1407 Broadway","Abigael’s on Broadway","Closed Until Further Notice","No","West","40.753439","-73.987151","105","3","113","1015265","1008140015","Midtown-Midtown South","MANHATTAN","10018"
"4 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.704297","-74.013215","101","1","9","1000029","1000110001","Battery Park City-Lower Manhattan","MANHATTAN","10004"
"4 Times Square","N/A","Covered Windows","No","East","40.756181","-73.986244","105","4","119","1085682","1009950005","Midtown-Midtown South","MANHATTAN","10036"
"4015 Broadway","Coogans","Surveyor Knowledge","No","West","40.841403","-73.939547","112","10","251","1063383","1021380102","Washington Heights South","MANHATTAN","10032"
"4021 Broadway","N/A","Empty","N/A","West","40.841796","-73.939333","112","10","253","1063394","1021380165","Washington Heights South","MANHATTAN","10032"
"4023 Broadway","N/A","Empty","No","West","40.841853","-73.939326","112","10","253","1081867","1021380159","Washington Heights South","MANHATTAN","10032"
"4027 Broadway","Uptown pharmacy and surgicals inc","Empty","N/A","West","40.841972","-73.939315","112","10","253","1081867","1021380159","Washington Heights South","MANHATTAN","10032"
"4029 Broadway","N/A","Empty","N/A","West","40.842029","-73.939308","112","10","253","1081867","1021380159","Washington Heights South","MANHATTAN","10032"
"4031 Broadway","N/A","Empty","No","West","40.84209","-73.9393","112","10","253","1081867","1021380159","Washington Heights South","MANHATTAN","10032"
"4031 Broadway","N/A","Empty","No","West","40.84209","-73.9393","112","10","253","1081867","1021380159","Washington Heights South","MANHATTAN","10032"
"4032 Broadway","N/A","Empty","No","West","40.842045","-73.938961","112","10","253","1063014","1021260001","Washington Heights South","MANHATTAN","10032"
"4035 Broadway","Gristedes","Empty","No","West","40.842205","-73.939289","112","10","253","1081867","1021380159","Washington Heights South","MANHATTAN","10032"
"4035 Broadway","N/A","Empty","No","West","40.842205","-73.939289","112","10","253","1081867","1021380159","Washington Heights South","MANHATTAN","10032"
"4039 Broadway","Gristedes","Empty","No","West","40.842323","-73.939275","112","10","253","1081866","1021380159","Washington Heights South","MANHATTAN","10032"
"404 Broadway","Origins NYC","We Moved","Yes","East","40.718826","-74.002359","101","1","31","1002337","1001960003","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"4051 Broadway","N/A","Empty","No","West","40.842861","-73.939224","112","10","253","1063475","1021420030","Washington Heights South","MANHATTAN","10032"
"4055 Broadway","Cocina - Bar","Empty","No","West","40.842984","-73.939209","112","10","253","1063475","1021420030","Washington Heights South","MANHATTAN","10032"
"406 Broadway","OMG","For Rent/For Lease/Retail Space Available","No","East","40.718886","-74.002309","101","1","31","1002337","1001960003","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"4062 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.843385","-73.939129","112","10","253","1063460","1021410013","Washington Heights South","MANHATTAN","10032"
"1450 Broadway","Paris Baguette","Covered Windows","No","East","40.754927","-73.98666","105","4","113","1022568","1009930047","Midtown-Midtown South","MANHATTAN","10018"
"1440 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.754611","-73.986761","105","4","113","1022563","1009930011","Midtown-Midtown South","MANHATTAN","10018"
"4103 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.844861","-73.938824","112","10","263","1063500","1021420130","Washington Heights South","MANHATTAN","10033"
"412 Broadway","N/A","Empty","No","East","40.71907","-74.00215","101","1","31","1002339","1001960007","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"4121 Broadway","Julie's Pharmacy","For Rent/For Lease/Retail Space Available","No","West","40.845608","-73.938639","112","10","263","1063518","1021420244","Washington Heights South","MANHATTAN","10033"
"4123 Broadway","Ivory Cleaners","Empty","No","West","40.84566","-73.938625","112","10","263","1063518","1021420244","Washington Heights South","MANHATTAN","10033"
"4124 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.845668","-73.938599","112","10","263","1063528","1021430026","Washington Heights South","MANHATTAN","10033"
"4130 Broadway","Vixius","For Rent/For Lease/Retail Space Available","No","East","40.845844","-73.938545","112","10","263","1063529","1021430029","Washington Heights South","MANHATTAN","10033"
"4186 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.848001","-73.937835","112","10","263","1063562","1021450026","Washington Heights South","MANHATTAN","10033"
"1466 Broadway","N/A","Covered Windows","No","East","40.755569","-73.986465","105","4","113","1022579","1009947502","Midtown-Midtown South","MANHATTAN","10036"
"6 Times Square","Jake’s Roasters","Closed Until Further Notice","No","East","40.755149","-73.986591","105","4","113","1022579","1009947502","Midtown-Midtown South","MANHATTAN","10036"
"421 Broadway","N/A","Gated","No","West","40.719564","-74.001753","102","1","47","1003013","1002310001","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"4232-B Broadway","JH Wine and Liquor","We Moved","No","East",,,,,,,,,,
"4240 Broadway","N/A","Empty","Yes","East","40.84963","-73.936293","112","10","271","1063921","1021630044","Washington Heights North","MANHATTAN","10033"
"4240 Broadway","N/A","Empty","Yes","East","40.84963","-73.936293","112","10","271","1063921","1021630044","Washington Heights North","MANHATTAN","10033"
"4240 Broadway","N/A","Empty","Yes","East","40.84963","-73.936293","112","10","271","1063921","1021630044","Washington Heights North","MANHATTAN","10033"
"4250 Broadway","N/A","For Rent/For Lease/Retail Space Available","Yes","East","40.849905","-73.936011","112","10","271","1081880","1021630053","Washington Heights North","MANHATTAN","10033"
"428 Broadway","N/A","Boarded Up","Yes","East","40.719753","-74.001569","102","1","45","1002680","1002090005","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"4290 Broadway","Social security administration","For Rent/For Lease/Retail Space Available","No","East","40.8512","-73.935193","112","10","271","1063925","1021640016","Washington Heights North","MANHATTAN","10033"
"Times Square Tower","The Counter","Closed Until Further Notice","No","West","40.756582","-73.989637","105","3","113","1000000","1009950001","Midtown-Midtown South","MANHATTAN","10036"
"433 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.720077","-74.00132","102","1","47","1090587","1002310014","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"441 Broadway","G-Star Raw","For Rent/For Lease/Retail Space Available","No","West","40.720258","-74.001165","102","1","47","1003024","1002310040","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"446 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.72036","-74.001053","102","1","45","1003029","1002320006","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"447 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.720393","-74.001053","102","1","47","1003022","1002310037","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"4470 Broadway","N/A","Empty","Yes","East","40.857127","-73.932404","112","10","283","1076754","1021700070","Washington Heights North","MANHATTAN","10040"
"449 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.720437","-74.001014","102","1","47","1003021","1002310036","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"4490 Broadway","Shape fair fresh","Empty","No","East","40.857618","-73.932146","112","10","283","1064057","1021700078","Washington Heights North","MANHATTAN","10040"
"1516 Broadway","Old Navy","Closed Until Further Notice","No","East","40.757424","-73.985742","105","4","119","1022624","1009970001","Midtown-Midtown South","MANHATTAN","10036"
"452 Broadway","Roozee Australia","For Rent/For Lease/Retail Space Available","No","East","40.720506","-74.000931","102","1","45","1003031","1002320009","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"454 Broadway","Mystique Boutique NYC","N/A","Yes","East","40.720555","-74.000891","102","1","45","1003032","1002320010","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"456 Broadway","Saga America","Covered Windows","No","East","40.720602","-74.000848","102","1","45","1003033","1002320011","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"1515 Broadway","T + Tissot","Empty","No","West","40.757636","-73.985804","105","3","119","1024714","1010160036","Midtown-Midtown South","MANHATTAN","10036"
"1515 Broadway","NY Line Friends","Closed Until Further Notice","No","West","40.757636","-73.985804","105","3","119","1024714","1010160036","Midtown-Midtown South","MANHATTAN","10036"
"463 Broadway","Wells Fargo","N/A","Yes","West","40.720989","-74.000548","102","1","47","1087559","1004747506","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"4660 Broadway","N/A","Empty","Yes","East","40.863095","-73.930011","112","10","287","1064218","1021750001","Washington Heights North","MANHATTAN","10040"
"1535 Broadway","Invicta","Closed Until Further Notice","No","West","40.758267","-73.985468","105","3","119","1024727","1010177501","Midtown-Midtown South","MANHATTAN","10036"
"47 Broadway","China Chalet","For Rent/For Lease/Retail Space Available","No","West","40.706443","-74.01279","101","1","13","1000805","1000200012","Battery Park City-Lower Manhattan","MANHATTAN","10006"
"47 Broadway","TGI Fridays","For Rent/For Lease/Retail Space Available","No","West","40.706443","-74.01279","101","1","13","1000805","1000200012","Battery Park City-Lower Manhattan","MANHATTAN","10006"
"4732 Broadway","Debut","For Rent/For Lease/Retail Space Available","No","East","40.864922","-73.928383","112","10","287","1064225","1021750039","Washington Heights North","MANHATTAN","10040"
"4740 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.8651","-73.92805","112","10","287","1064226","1021750045","Washington Heights North","MANHATTAN","10040"
"4768 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.865709","-73.926748","112","10","291","1064892","1022330005","Marble Hill-Inwood","MANHATTAN","10034"
"4791 Broadway","Dr. Jose Roberto Perez Diaz Salud Paratodos","For Rent/For Lease/Retail Space Available","No","West","40.866408","-73.92581","112","10","295","1064947","1022370059","Marble Hill-Inwood","MANHATTAN","10034"
"1565 Broadway","Swarovski","Boarded Up","Yes","West","40.759192","-73.985186","105","3","125","1024749","1010180139","Midtown-Midtown South","MANHATTAN","10036"
"1580-82 Broadway","N/A","Covered Windows","No","East","40.759691","-73.984984","105","4","125","1024757","1010197501","Midtown-Midtown South","MANHATTAN","10036"
"4869 Broadway","Vape Shack","Empty","No","West","40.866835","-73.923637","112","10","295","1064955","1022380023","Marble Hill-Inwood","MANHATTAN","10034"
"1585 Broadway","Fossil","Closed Until Further Notice","No","West","40.760216","-73.985334","105","3","125","1076193","1010197502","Midtown-Midtown South","MANHATTAN","10036"
"1606 Broadway","Sbarro","For Rent/For Lease/Retail Space Available","No","East","40.760556","-73.984615","105","4","125","1024779","1010200038","Midtown-Midtown South","MANHATTAN","10019"
"4927 Broadway","New Kennedy Gyro","For Rent/For Lease/Retail Space Available","No","West","40.867514","-73.921738","112","10","295","1064984","1022410024","Marble Hill-Inwood","MANHATTAN","10034"
"1605 Broadway","The Harrison Restaurant","Closed Until Further Notice","No","West","40.760537","-73.984644","105","3","125","1076195","1010200046","Midtown-Midtown South","MANHATTAN","10019"
"1605 Broadway","Crown Plaza Hotel","Closed Until Further Notice","No","West","40.760537","-73.984644","105","3","125","1076195","1010200046","Midtown-Midtown South","MANHATTAN","10019"
"1626 Broadway","Caroline’s","Closed Until Further Notice","No","East","40.761228","-73.984178","105","4","125","1024795","1010210026","Midtown-Midtown South","MANHATTAN","10019"
"1626 Broadway","Juniors","Closed Until Further Notice","No","East","40.761228","-73.984178","105","4","125","1024795","1010210026","Midtown-Midtown South","MANHATTAN","10019"
"5009 Broadway","Mara mana","Empty","No","West","40.869158","-73.917072","112","10","303","1065002","1022430030","Marble Hill-Inwood","MANHATTAN","10034"
"5009 Broadway","H and R Block","For Rent/For Lease/Retail Space Available","No","West","40.869158","-73.917072","112","10","303","1065002","1022430030","Marble Hill-Inwood","MANHATTAN","10034"
"5025 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.869396","-73.916616","112","10","303","1065009","1022430241","Marble Hill-Inwood","MANHATTAN","10034"
"5025 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.869396","-73.916616","112","10","303","1065009","1022430241","Marble Hill-Inwood","MANHATTAN","10034"
"5025 Broadway","Guacamole Taqueria","For Sale","No","West","40.869396","-73.916616","112","10","303","1065009","1022430241","Marble Hill-Inwood","MANHATTAN","10034"
"1619 Broadway","N/A","Covered Windows","No","West","40.761058","-73.98433","105","3","125","1024793","1010210019","Midtown-Midtown South","MANHATTAN","10019"
"1625 Broadway","Green Apple Gourmet Food","Covered Windows","No","West","40.761223","-73.984207","105","3","125","1024801","1010210043","Midtown-Midtown South","MANHATTAN","10019"
"1619 Broadway","The Brill at W. 49th St.","For Rent/For Lease/Retail Space Available","No","West","40.761058","-73.98433","105","3","125","1024793","1010210019","Midtown-Midtown South","MANHATTAN","10019"
"1634 Broadway","Winter Garden Theatre","Closed Until Further Notice","No","East","40.761566","-73.983944","105","4","131","1024810","1010220026","Midtown-Midtown South","MANHATTAN","10019"
"1650 Broadway","Iridium","Closed Until Further Notice","No","East","40.761964","-73.983684","105","4","131","1024811","1010220035","Midtown-Midtown South","MANHATTAN","10019"
"1650 Broadway","Stardust Diner","Closed Until Further Notice","No","East","40.761964","-73.983684","105","4","131","1024811","1010220035","Midtown-Midtown South","MANHATTAN","10019"
"205 W 50th St","Applebees","Closed Until Further Notice","No","East","40.761382","-73.983926","105","4","131","1024810","1010220026","Midtown-Midtown South","MANHATTAN","10019"
"510 Broadway","Stance","For Rent/For Lease/Retail Space Available","No","East","40.722446","-73.999286","102","1","45","1007233","1004830010","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"518 Broadway","Dune London","For Rent/For Lease/Retail Space Available","No","East","40.722619","-73.999141","102","1","45","1007236","1004830014","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"1675 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.762963","-73.983073","105","3","131","1076199","1010240015","Midtown-Midtown South","MANHATTAN","10019"
"1675 Broadway","Starbucks","Permanently Closed","No","West","40.762963","-73.983073","105","3","131","1076199","1010240015","Midtown-Midtown South","MANHATTAN","10019"
"1674 Broadway","Sapphire Gentleman’s Club","Covered Windows","No","East","40.762861","-73.983109","105","4","131","1024831","1010240131","Midtown-Midtown South","MANHATTAN","10019"
"1680 Broadway","Bank of America","Closed Until Further Notice","No","East","40.763034","-73.983005","105","4","131","1024828","1010240038","Midtown-Midtown South","MANHATTAN","10019"
"1681 Broadway","Broadway Theatre","Closed Until Further Notice","No","West","40.763117","-73.982979","105","3","131","1080865","1010240046","Midtown-Midtown South","MANHATTAN","10019"
"1675 Broadway","Apes and Peacocks Coffee Shop","Empty","No","West","40.762963","-73.983073","105","3","131","1076199","1010240015","Midtown-Midtown South","MANHATTAN","10019"
"1708 Broadway","N/A","Covered Windows","No","East","40.764181","-73.982405","105","4","137","1024850","1010260021","Midtown-Midtown South","MANHATTAN","10019"
"1701 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.763781","-73.982611","105","3","131","1024839","1010250044","Midtown-Midtown South","MANHATTAN","10019"
"1706 Broadway","N/A","Covered Windows","No","East","40.764137","-73.982423","105","4","137","1024850","1010260021","Midtown-Midtown South","MANHATTAN","10019"
"54th/55th on Broadway","N/A","Covered Windows","No","East",,,,,,,,,,
"1723 Broadway","99 Cent Fresh Pizza","Covered Windows","No","East","40.764522","-73.982304","105","3","137","1078860","1010267502","Midtown-Midtown South","MANHATTAN","10019"
"1710 Broadway","Bad Boy World","Covered Windows","No","East","40.764225","-73.982391","105","4","137","1024850","1010260021","Midtown-Midtown South","MANHATTAN","10019"
"54th/55th on Broadway","N/A","Covered Windows","No","East",,,,,,,,,,
"1717 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.764291","-73.982824","105","3","137","1024849","1010267501","Midtown-Midtown South","MANHATTAN","10019"
"565 Broadway","Pink Victoria's Secret","N/A","Yes","West","40.724013","-73.997987","102","1","49","1007573","1004980005","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"600 Houston St","Gilly Hicks","For Rent/For Lease/Retail Space Available","No","East",,,,,,,,,,
"611 Broadway","Crate & Barrel","N/A","No","West","40.725699","-73.996558","102","1","5501","1008240","1005230048","West Village","MANHATTAN","10012"
"637 Broadway","Cariloha","For Rent/For Lease/Retail Space Available","No","West","40.726286","-73.99606","102","1","5501","1008236","1005230038","West Village","MANHATTAN","10012"
"643 Broadway","Sweetwater Social","For Rent/For Lease/Retail Space Available","No","West","40.726634","-73.995768","102","1","5501","1008622","1005320025","West Village","MANHATTAN","10012"
"659 Broadway","Blades","N/A","Yes","West","40.72706","-73.995411","102","1","5501","1077826","1005320020","West Village","MANHATTAN","10012"
"670 Broadway","Bandier","N/A","Yes","East","40.727299","-73.995183","102","1","5502","1008467","1005300001","West Village","MANHATTAN","10012"
"670 Broadway","Barbara Sturm","N/A","Yes","East","40.727299","-73.995183","102","1","5502","1008467","1005300001","West Village","MANHATTAN","10012"
"687 Broadway","Infinity Shoes","N/A","Yes","West","40.728032","-73.994584","102","1","5501","1008629","1005357501","West Village","MANHATTAN","10012"
"753 Broadway","Papyrus","For Rent/For Lease/Retail Space Available","No","West","40.730461","-73.992535","102","1","57","1080855","1005487501","West Village","MANHATTAN","10003"
"870 Broadway","Roast Kitchen","For Rent/For Lease/Retail Space Available","No","East","40.737619","-73.990167","105","2","52","1016134","1008460054","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10003"
"881 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.738173","-73.990044","105","2","52","1080756","1008470062","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10003"
"890 Broadway","N/A","Empty","No","East","40.738604","-73.989911","105","2","52","1016163","1008487502","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10003"
"893 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.738865","-73.98986","105","2","52","1016162","1008480014","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10003"
"900 Broadway","Tender Greens","For Rent/For Lease/Retail Space Available","No","East","40.739109","-73.989773","105","2","52","1016184","1008480061","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10003"
"901 Broadway","Brooks Brothers Red Fleece Cafe","For Rent/For Lease/Retail Space Available","No","West","40.739112","-73.989795","105","2","52","1016185","1008480068","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10003"
"902 Broadway","Safavieh Home","We Moved","No","East","40.739279","-73.989726","105","2","52","1016201","1008490016","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10010"
"909 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.739463","-73.989701","105","2","52","1080763","1008490010","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10010"
"91 Leonard","N/A","For Rent/For Lease/Retail Space Available","No","West",,,,,,,,,,
"915 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.739644","-73.989654","105","2","52","1016226","1008490070","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10010"
"931 Broadway","Le Pain Quotidien","For Rent/For Lease/Retail Space Available","No","West","40.740259","-73.989488","105","2","56","1080766","1008500011","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10010"
"935 Broadway","N/A","For Rent/For Lease/Retail Space Available","Yes","West","40.740372","-73.989459","105","2","56","1016266","1008500075","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10010"
"938 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.740481","-73.989409","105","2","56","1016277","1008507502","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10010"
"949 Broadway","Argo Tea","For Rent/For Lease/Retail Space Available","Yes","West","40.740975","-73.989268","105","2","56","1016278","1008510001","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10010"
"958 Sixth Avenue","Desigual","Closed Until Further Notice","No","East","40.750351","-73.987353","105","4","76","1015882","1008360083","Midtown-Midtown South","MANHATTAN","10001"
"684 Broadway","N/A","N/A","Yes","East","40.727905","-73.994667","102","1","5502","1008506","1005310001","West Village","MANHATTAN","10012"
