"unique_id","publish_date","site_id","status","ppt_id","address","city","state","zip","boro","latitude","longitude","cross_street_1","cross_street_2","corner","install_date","active_date","wifi_status","tablet_status","phone_status","community_board","council_district","census_tract","nta","nta_name"
"20181120_041521.bk-08-127044","2018-11-20T04:15:21.000","bk-08-127044","Link Active!","127044","590 NOSTRAND AVENUE","New York","NY","11216","Brooklyn","40.67826808","-73.94979845","ATLANTIC AVENUE","PACIFIC STREET","SW","2017-02-03T00:00:00.000","2017-03-01T00:00:00.000","up","up","up","8","36","315","BK61","Crown Heights North"
"20181120_041521.bk-02-126904","2018-11-20T04:15:21.000","bk-02-126904","Link Installed; Connecting Power and Fiber","126904_126906","128 MONTAGUE STREET","New York","NY","11201","Brooklyn","40.69472554","-73.9942271","HENRY STREET","CLINTON STREET","SE","2017-11-10T00:00:00.000",,"Not Available","Not Available","Not Available","2","33","502","BK09","Brooklyn Heights-Cobble Hill"
"20181120_041521.bk-08-146009","2018-11-20T04:15:21.000","bk-08-146009","Link Active!","146009","795 WASHINGTON AVENUE","New York","NY","11238","Brooklyn","40.672748","-73.962694","LINCOLN PLACE","ST. JOHNS PLACE","NE","2017-12-02T00:00:00.000","2018-02-14T00:00:00.000","up","up","up","8","35","215","BK64","Prospect Heights"
"20181120_041521.bx-01-146075","2018-11-20T04:15:21.000","bx-01-146075","Link Active!","146075","250 BROOK AVENUE","New York","NY","10454","Bronx","40.80775593","-73.91900611","EAST 138 STREET","EAST 139 STREET","NE","2018-03-19T00:00:00.000","2018-05-21T00:00:00.000","up","up","up","1","8","39","BX39","Mott Haven-Port Morris"
"20181120_041521.qu-09-145911","2018-11-20T04:15:21.000","qu-09-145911","Link Active!","145911","87-26 JAMAICA AVENUE","New York","NY","11421","Queens","40.69260724","-73.8564538","88 STREET","87 STREET","SW","2017-08-19T00:00:00.000","2017-10-04T00:00:00.000","up","up","up","9","32","16","QN53","Woodhaven"
"20181120_041521.qu-01-136586","2018-11-20T04:15:21.000","qu-01-136586","Link Active!","136586","42-02 NORTHERN BOULEVARD","New York","NY","11101","Queens","40.75312176939255","-73.9207195339821","42 PLACE","42 STREET","SW","2018-01-17T00:00:00.000","2018-04-02T00:00:00.000","up","up","up","1","26","171","QN31","Hunters Point-Sunnyside-West Maspeth"
"20181120_041521.mn-03-115304","2018-11-20T04:15:21.000","mn-03-115304","Link Active!","115304_133989","19 1 AVENUE","New York","NY","10003","Manhattan","40.72357993","-73.9883901","EAST 1 STREET","EAST 2 STREET","NW","2017-04-02T00:00:00.000","2017-06-19T00:00:00.000","up","up","up","3","2","3602","MN22","East Village"
"20181120_041521.bx-01-146055","2018-11-20T04:15:21.000","bx-01-146055","Link Active!","146055","468 BROOK AVENUE","New York","NY","10455","Bronx","40.81284091","-73.91607435","EAST 146 STREET","EAST 147 STREET","SE","2018-02-12T00:00:00.000","2018-05-31T00:00:00.000","up","up","up","1","8","43","BX39","Mott Haven-Port Morris"
"20181120_041521.bx-04-119048","2018-11-20T04:15:21.000","bx-04-119048","Link Active!","119048","105 EAST 165 STREET","New York","NY","10452","Bronx","40.831467","-73.921747","WALTON AVENUE","GERARD AVENUE","NW","2016-05-12T00:00:00.000","2016-06-15T00:00:00.000","up","up","up","4","16","195","BX63","West Concourse"
"20181120_041521.qu-12-138097","2018-11-20T04:15:21.000","qu-12-138097","Link Active!","138097","160-05 JAMAICA AVENUE","New York","NY","11432","Queens","40.70389528","-73.79901751","160 STREET","161 STREET","NE","2016-08-18T00:00:00.000","2016-09-23T00:00:00.000","up","up","up","12","24","44601","QN61","Jamaica"
"20181120_041521.qu-03-146069","2018-11-20T04:15:21.000","qu-03-146069","Link Active!","146069","80-12 37 AVENUE","New York","NY","11372","Queens","40.74953249419341","-73.88583189674614","80 STREET","81 STREET","Midblock","2018-03-09T00:00:00.000","2018-04-12T00:00:00.000","up","up","up","3","25","283","QN28","Jackson Heights"
