"base_license_number","base_name","dba","year","month","month_name","total_dispatched_trips","total_dispatched_shared_trips","unique_dispatched_vehicles"
"B00210","HOWARD CAR SERVICE,INC.",,"2018","1","January","15","0","4"
"B02391","BAYRIDGE EXPRESS, INC",,"2020","10","October","173","0","2"
"B02754","TIGER CAR SERVICE INC.",,"2015","4","April","153","0","2"
"B01343","ALL PEOPLE CAR SERVICE INC.",,"2015","12","December","1","0","1"
"B01593","NOVAK GLOBAL, INC.","SKYWAY CAR SERVICE","2020","2","February","425","0","2"
"B00411","FONE-A-CAR INC",,"2021","7","July","532","0","147"
"B01469","BROTHERS CAR SERVICE, INC.",,"2020","12","December","5920","0","56"
"B02461","NEW HEAVEN RADIO DISPATCH CORP",,"2017","5","May","5379","0","73"
"B02468","GROUNDLINK HOLDINGS LLC","GROUNDLINK YOUR'E GOOD TO GO","2015","12","December","2685","0","53"
"B00802","BELL CAR SVC INC",,"2017","5","May","7989","0","37"
"B02814","BELL LX INC",,"2021","8","August","4016","0","22"
"B03177","BERNICE SERVICES INC",,"2021","5","May","1213","0","9"
"B03157","CAPRICE CAR SERVICE CORP.",,"2019","2","February","5335","0","35"
"B02003","AVALON CORPORATE CAR,INC.",,"2018","12","December","2018","0","71"
"B02342","QUEST INTERNATIONAL LIMOUSINE, INC.",,"2017","7","July","499","0","22"
"B01009","UNITED LIMO C/M SVC CORP",,"2020","10","October","378","0","7"
"LYFT","LYFT","LYFT","2018","5","May","3400356","540029","38628"
"b00802","BELL CAR SVC INC",,"2015","10","October","8326","0","44"
"B01311","DISCOUNT CAR SVCE",,"2019","10","October","954","0","10"
"B02408","PETER EXECUTIVE LIMOUSINE, CORP",,"2017","8","August","90","0","7"
"B02898","SANO CAR LLC",,"2020","9","September","2806","0","16"
"B02727","OSCAR LIMOUSINE INC",,"2020","2","February","289","0","5"
"B00448","DIAL CAR INC.",,"2018","8","August","5985","0","153"
"B03144","JUST A MOMENT CAR SERVICE INC",,"2022","4","April","91","0","3"
"B01231","GO CAR CORP.",,"2020","11","November","15595","0","170"
"B00381","BELL RADIO INC",,"2020","6","June","415","0","47"
"B03371","ALPACA TRANSPORTATION CORP",,"2022","6","June","312","0","4"
"B03171","HIGHLAND TRANSPORTATION MANAGEMENT CORP.",,"2021","9","September","3815","0","37"
"B01871","ALPINE LIMOUSINE SERVICE, INC.",,"2018","6","June","2376","0","82"
"B02689","OCS LIMO CORP.",,"2016","1","January","111","0","4"
"B02803","OUTSIDE'S CAR SERVICE INC.",,"2018","1","January","6601","0","49"
"B00221","PROFESSIONAL CAR SERVICE INC",,"2015","10","October","13684","0","104"
"B03367","SHOW LIMO CORP.",,"2021","8","August","105","0","10"
"B02727","OSCAR LIMOUSINE INC",,"2020","12","December","37","0","3"
"B02809","NBT TRANSPORTATION INC",,"2019","5","May","240","0","5"
"B03012","MEGA LIMO SERVICES INC.",,"2018","1","January","1939","0","12"
"B02352","SUPER FAST LIMOUSINE SERVICE, INC.",,"2022","3","March","1708","0","10"
"B01700","LINDEN EXPRESS CAR SERVICES INC.",,"2016","12","December","1379","0","7"
"B03002","REYNO,INC.",,"2018","8","August","7868","0","48"
"B03144","JUST A MOMENT CAR SERVICE INC",,"2021","11","November","175","0","4"
"B01482","SHORE TRANSPORTATION INC","SEASIDE CAR SERVICE","2017","11","November","4755","0","17"
"B01420","A.M.N. MANAGEMENT INC.","ALWAYS READY C/S","2017","9","September","1804","0","10"
"B00208","ERNEST SCHWARZ INC",,"2020","1","January","64","0","5"
"B02826","NEW BELL LUXURY CORP",,"2017","7","July","2994","0","36"
"B03382","ALONG CAR SERVICE CORP.",,"2022","3","March","660","0","3"
"B00412","NYC 2 WAY INTERNATIONAL LTD",,"2020","11","November","6553","0","100"
"B02217","PCS LIMOUSINE INC.",,"2016","2","February","529","0","9"
"B00987","MARLBORO CAR SERVICE INC.",,"2018","2","February","56","0","3"
"B02897","FC LIMOUSINE INC",,"2019","9","September","1034","0","35"
"B02803","OUTSIDE'S CAR SERVICE INC.",,"2018","4","April","6474","0","48"
"B02175","MURRAY'S LIMOUSINE SERVICE INC.",,"2018","4","April","51","0","8"
"B02462","TIFFANY'S CAR SERVICE INC.",,"2019","6","June","363","0","11"
"B00445","JOE M LEASING CORP","FOUR TWO'S PVT C/S","2021","3","March","4712","0","13"
"B00008","T-D MAINTENANCE CORP","FOUR ONES CAR SERVICE","2019","4","April","1454","0","19"
"B02426","TRISTAR SERVICES (US) INC.","TRISTAR WORLDWIDE CHAUFFEURED SERVICES","2019","3","March","1328","0","33"
"B01346","ARECIBO C/S INC",,"2022","1","January","890","0","9"
"B02285","VALERA GLOBAL, INC.",,"2017","12","December","3501","0","82"
"B00290","ZPI CORPORATION","NATIONAL HIGH CLASS","2021","2","February","190","0","2"
"B01183","ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.",,"2022","2","February","332","0","127"
"B02735","BEST DEAL CAR SERVICE 2,INC.",,"2016","4","April","4271","0","78"
"B02735","BEST DEAL CAR SERVICE 2,INC.",,"2022","2","February","20222","0","121"
"B00972","N.J.M.INC.","MID ISLAND CAR SVCE","2019","10","October","6086","0","17"
"B00628","CONCORD LIMOUSINE 1, LLC",,"2018","2","February","6581","0","267"
"B01326","DEBORAH C/L SVC INC",,"2019","7","July","112","0","21"
"B03094","JBE LIMO, INC",,"2018","11","November","40","0","4"
"B00445","JOE M LEASING CORP","FOUR TWO'S PVT C/S","2018","5","May","7896","0","21"
"B03356","UNIK TRANSPORTATION INC.",,"2022","2","February","2","0","1"
"B01995","NYMEX UNO EXECUTIVE SEDAN'S INC","NYMEX CAR SERVICE","2018","2","February","2230","0","13"
"B03157","CAPRICE CAR SERVICE CORP.",,"2020","10","October","3722","0","29"
"B02856","MARIACHI CAR SERVICE INC",,"2018","4","April","2939","0","12"
"B01351","HADERECH CAR SERVICE INC",,"2019","10","October","48","0","1"
"B01244","MASADA II C/L SVC INC",,"2018","11","November","938","0","7"
"B02133","TWR CAR & LIMO, INC.",,"2020","12","December","18066","0","158"
"B02841","SKYWAY EXECUTIVE SERVICE, INC",,"2019","6","June","284","0","9"
"B01351","HADERECH CAR SERVICE INC",,"2017","1","January","317","0","4"
"B02970","FLYTE LINE TRANSPORTATION LLC","ADDISON LEE","2020","12","December","293","0","18"
"B00149","RAINBOW RAD DISP INC",,"2018","10","October","734","0","6"
"B01639","HIGH CLASS LIMO CAR SVCE CORP",,"2020","7","July","5675","0","58"
"B02892","SEAMAN EXPRESS CORP.",,"2018","12","December","45","0","19"
"B02180","PEGASUS TRANSPORT SERVICE INC.",,"2017","2","February","767","0","38"
"B01734","AMERICAN DREAM CAR SERVICE INC.",,"2018","1","January","174","0","4"
"B01282","NEW LOTS C/S INC",,"2016","7","July","22435","0","79"
"B01667","NEW GOLDEN HORSE C/L SVC,INC.",,"2019","12","December","27070","0","186"
"b01069","RPO CAR AND LIMOUSINE SERVICE INC.",,"2015","12","December","2379","0","25"
"B01176","SANTO DOMINGO CAR LIMO SERVICES INC",,"2019","8","August","3405","0","19"
"B01196","DIPLO RAD DISP INC",,"2017","1","January","18375","0","138"
"B00619","HOLA CAR SERVICE,INC.",,"2016","7","July","617","0","6"
"B01466","FIVE STAR",,"2016","7","July","2637","0","11"
"B01846","ROMANTIQUE LIMOUSINE INC.",,"2018","1","January","19","0","6"
"B02535","LFS LIMO CORP.",,"2016","8","August","69","0","9"
"B02573","SUNSET PARK CAR SERVICE INC",,"2018","3","March","2452","0","14"
"B00039","BERMUDA LIMOUSINE SERVICE INC.",,"2019","3","March","832","0","32"
"B01653","ART'S PLACE INC.","ON TIME CAR SERVICE","2020","1","January","1801","0","16"
"B00149","RAINBOW RAD DISP INC",,"2017","12","December","5206","0","35"
"B02067","GROUP AMERICAR TRANSPORTATION,LLC.",,"2015","9","September","5494","0","90"
"B03017","SDR TRANSPORTATION CORP.",,"2021","8","August","5004","0","24"
"B02461","NEW HEAVEN RADIO DISPATCH CORP",,"2020","6","June","2467","0","33"
"B01479","PRATT CAR SERVICE INC",,"2017","1","January","971","0","7"
"B02285","VALERA GLOBAL, INC.",,"2017","5","May","4170","0","86"
"B02462","TIFFANY'S CAR SERVICE INC.",,"2019","10","October","393","0","10"
"B00859","PROMENADE CAR LEASE INC",,"2017","1","January","842","0","8"
"B03012","MEGA LIMO SERVICES INC.",,"2018","6","June","2033","0","11"
"B00727","RECHEV OF BROOKLYN INC",,"2017","9","September","1556","0","6"
"B02537","ALLTOWN LIMO CORP.",,"2018","12","December","10534","0","119"
"B02629","CARLUX LIMO INC.",,"2016","7","July","148","0","6"
"B02917","C & A BLACK CAR CORP.",,"2017","8","August","197","0","24"
"B03016","BEST DEAL BLACK INC.",,"2018","9","September","5923","365","37"
"B01485","FLAMINGO TRANSP. & LIMO. SERVICES INC.",,"2017","1","January","10931","0","65"
"B02627","A PEGASUS LIMOUSINE CORP.","APL LIMO","2020","10","October","23","0","2"
"B01239","BEST DEAL PVT C/S INC","BEST DEAL DOMINICAN C/S INC","2019","10","October","33586","0","207"
"B02799","CHURCH AVENUE EXPRESS INC",,"2017","2","February","2188","0","13"
"B01721","W.K. CAR & LIMO SERVICE INC",,"2021","11","November","307","0","4"
"B01469","BROTHERS CAR SERVICE, INC.",,"2021","11","November","6355","0","37"
"B01907","BEN'S LUXURY CAR & LIMOUSINE SERVICE INC",,"2015","9","September","2889","0","63"
"B01944","DAG NETWORK TRANSPORTATION,CORP",,"2021","11","November","110","0","7"
"B03017","SDR TRANSPORTATION CORP.",,"2019","11","November","7185","0","78"
"B02574","MTC LIMOUSINE & CORPORATE COACH,INC.",,"2018","2","February","1655","0","39"
"B02971","ULTRA BLACK CAR TRANSPORTATION, CORP.",,"2018","2","February","273","0","20"
"B03116","NAVI TRANSPORTATION INC.",,"2021","4","April","654","0","5"
"B00597","WAKEFIELD LSG MAINT CORP",,"2022","2","February","508","0","4"
"B02811","M.L TRIPS CORP.",,"2016","8","August","639","0","29"
"B01639","HIGH CLASS LIMO CAR SVCE CORP",,"2020","12","December","4237","0","53"
"B01803","V.I.P. CONNECTION, INC.","CARLINK","2020","2","February","2678","0","85"
"B01389","METRO LUXURY INC",,"2017","5","May","8581","0","127"
"B01332","SKYWAY CAR SERVICE EXPRESS INC.",,"2017","7","July","1901","0","20"
"B00446","COMMUNICAR INCORPORATED",,"2018","2","February","4017","0","89"
"B01306","R N D TRANSPORTATION, INC.","MALONES CAR SVCE","2020","5","May","6","0","2"
"b00984","P J CAR SVCE",,"2015","9","September","2542","0","9"
"B01339","R C AUDUBON SVC INC",,"2017","10","October","12961","0","110"
"B00991","BLUE LANE CAR SERVICE INC",,"2018","7","July","92","0","11"
"B00889","MEXICANA CAR SERVICE INC.",,"2020","8","August","2893","0","16"
"B00008","T-D MAINTENANCE CORP","FOUR ONES CAR SERVICE","2017","1","January","6153","0","37"
"B02423","77 EXPRESS CAR & LIMO SERVICE, INC.",,"2015","9","September","1187","0","4"
"B02293","XPRESS TRANSPORT & MULTI SERVICE INC.",,"2020","6","June","4049","0","23"
"B02694","CITY LIMOUSINE TRANSPORTATION INC.",,"2015","9","September","135","0","16"
"B01777","PREMIUM RADIO DISP & MULTI SVC",,"2019","10","October","1046","0","61"
"B02460","CABOT LIMO NY CORP.",,"2019","11","November","577","0","10"
"B02627","A PEGASUS LIMOUSINE CORP.","APL LIMO","2021","12","December","97","0","5"
"B00227","PARK WEST EXEC. SERVICES, INC.","TOWN CARS","2021","1","January","1169","0","33"
"B01843","VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.","VINCENT LIMOUSINE","2022","2","February","805","0","22"
"B02840","RAELEEN CAR CORP.",,"2021","5","May","204","0","4"
"B02531","CLEAN AIR CAR SERVICE AND PARKING CORP.",,"2015","12","December","4147","0","43"
"B02920","AMAZING CAR AND LIMO SERVICE INC",,"2018","8","August","1457","0","6"
"B02096","CET GROUP, INC",,"2015","5","May","274","0","64"
"B00319","AVENTINE AUTO RENTAL INC","SAFEWAY CAR SVCE","2020","4","April","61","0","1"
"B01540","ROCKAWAY VIP SERVICE INC.",,"2018","11","November","4684","0","17"
"B03028","CASTILLO CAR & LIMO INC",,"2022","5","May","1281","0","8"
"B01406","GOTHAM CAR SERVICE INC.","LEGEND CAR SERVICE","2019","8","August","3577","0","55"
"B01553","CITY LINE CAR SERVICE INC",,"2017","4","April","11907","0","61"
"B02463","MORENITA EXPRESS CAR SERVICE INC.",,"2019","8","August","1103","0","7"
"B01593","NOVAK GLOBAL, INC.","SKYWAY CAR SERVICE","2015","11","November","2067","0","12"
"B02248","HYBRID LIMO EXPRESS INC.",,"2021","6","June","356","0","2"
"B00056","TRANSIT PRIVATE CAR SERVICE INC.",,"2020","3","March","470","0","17"
"B00472","FARRELL'S LEASING CO.",,"2018","9","September","887","0","45"
"B01118","INTERNATIONAL CAR SERVICE INC.",,"2020","8","August","1170","0","32"
"B01768","NEW SUPERIOR RADIO GRP CORP",,"2021","6","June","1660","0","14"
"b01176","SANTO DOMINGO CAR LIMO SERVICES INC",,"2015","11","November","33442","0","90"
"B00837","CAREY LIMO N Y INC",,"2019","11","November","8778","0","159"
"B02677","A.T.B. CAR AND LIMOUSINE SERVICE, INC.",,"2019","2","February","7343","0","32"
"B01779","APEX CAR & LIMO SVCE INC",,"2021","12","December","450","0","9"
"B02803","OUTSIDE'S CAR SERVICE INC.",,"2016","12","December","2170","0","19"
"B02301","DOUBLE A CAR SERVICE INC.","UNITED CARS","2018","3","March","1589","0","64"
"B00280","FLEET RADIO DISPATCH CORP.","MINUTEMEN","2019","4","April","2914","0","58"
"B02711","TRANS CITY TRANSPORTATION INC","DIAL 7 ON DEMAND","2021","8","August","1","0","1"
"B01009","UNITED LIMO C/M SVC CORP",,"2021","10","October","317","0","5"
"B02710","GOLDEN AGE TRANSIT,LLC",,"2018","3","March","197","0","5"
"B01678","G.T.N.Y. CAR SERVICE, INC.",,"2019","5","May","140","0","15"
"B03030","Q-FIRST LIMOUSINE CORP.",,"2018","8","August","101","0","8"
"B02905","PUEBLA LUXURY CORP",,"2020","11","November","6715","0","37"
"B02731","EMES OF BOROPARK CAR SERVICE INC",,"2021","5","May","236","0","1"
"B02988","BED STAR DRIVERS ASSOCIATES, INC",,"2019","1","January","825","0","8"
"B00387","FORTUNE LIMOUSINES INC",,"2017","9","September","319","0","9"
"B01522","STM ENTERPRISES,INC","JAVA CAR & LIMOUSINE SERVICE","2018","3","March","688","0","16"
"B00248","YELLOWSTONE TRANSPORTATION INC.","YES CAR SERVICE","2020","2","February","7724","0","48"
"B00827","CASTLE CAR SERVICE, INC",,"2020","2","February","648","0","3"
"B02557","185 MALTA CAR SERVICE LLC",,"2016","4","April","145","0","9"
"B00271","UTOG 2-WAY RADIO INC","UTOG CORPORATE CAR SERVICE","2018","5","May","10598","0","174"
"B01726","SUPER CLASS RADIO DISP INC",,"2019","12","December","9522","0","55"
"B01288","NEW ELEGANTE CAR SVC INC","ELEGANTE","2017","7","July","4685","0","44"
"B02331","CHICO EXPRESS LIMO, INC.",,"2016","11","November","2637","0","12"
"B02747","LEGEND LUXURY LIMO INC.",,"2018","4","April","3371","0","43"
"B01065","EL BARRIO'S CAR SERVICE LLC",,"2022","2","February","6823","0","44"
"B03174","NEW HEAVEN LUXURY INC",,"2020","9","September","165","0","5"
"B02273","BENI'S LIMOUSINE SERVICE INC",,"2021","9","September","1","0","1"
"B00013","LOVE CORPORATE CAR INC",,"2016","2","February","7607","0","129"
"B01273","PUERTO RICO CAR SERVICE INC.",,"2016","3","March","7232","0","27"
"B02956","W.K.EXPRESS LIMO SERVICE INC",,"2017","7","July","1","0","1"
"B01231","GO CAR CORP.",,"2022","6","June","11043","0","121"
"B02687","ECO RIDE INC.","ELECTRIC BLUE CAR SERVICE","2020","1","January","1765","0","10"
"B00345","MARTIN'S BELLE HARBOR CAR SERVICE",,"2018","9","September","203","0","6"
"B00652","RESCUE C/S INC",,"2019","4","April","2295","0","15"
"B01527","NEW FAMILY RAD DISP INC",,"2018","7","July","3644","0","50"
"B03100","MORELOS CAR SERVICE INC.",,"2021","5","May","144","0","1"
"B02517","LOS PAISANOS LUXURY C/S INC.",,"2020","7","July","409","0","7"
"B02391","BAYRIDGE EXPRESS, INC",,"2015","12","December","287","0","3"
"B02228","SPECIAL RADIO DISP.CORP.",,"2018","8","August","1246","0","7"
"B03046","BEL-LINDA, INC","ISLANDER TRANS","2021","12","December","2255","0","20"
"B02298","NYG LIMOUSINE LLC",,"2020","8","August","27","0","1"
"B01843","VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.","VINCENT LIMOUSINE","2020","7","July","228","0","8"
"VIA","VIA","VIA","2019","6","June","930716","606442","6359"
"B02320","GDS TRANSPORTATION CORP.","UPPER CAR SERVICE","2017","11","November","2066","0","27"
"B00802","BELL CAR SVC INC",,"2022","4","April","3263","0","13"
"B02060","AMERICAN LIMOUSINE LLC","FLYTE TYME WORLDWIDE/ADDISON LEE/TRISTAR","2019","11","November","2776","0","144"
"B01341","A NEW DAY RAD DISP INC",,"2021","2","February","87","0","3"
"B02653","NEW COLLEGE CAR SVCE INC",,"2020","11","November","5891","0","33"
"B02899","NEW BLACK LUXURY CARS CORP",,"2019","6","June","14490","0","49"
"B02111","HUANG HOU CAR SERVICES INC.","HUANG HOU CAR SERVICES INC.","2020","6","June","1697","0","14"
"B01250","BELLE MANAGEMENT CORP.","GLEN BELLE CAR SERVICE","2018","9","September","459","0","17"
"B01711","FLUSHING LIMO TRANSP CORP",,"2016","5","May","8285","0","33"
"B01726","SUPER CLASS RADIO DISP INC",,"2019","9","September","7485","0","51"
"B01801","SHUTTLEUP LLC","HENRY LIMOUSINE","2017","4","April","517","0","13"
"B01606","LA MEXICANA EXPRESS INC.",,"2015","5","May","45938","0","145"
"B02594","FENIX MOBILE DISPATCHERS LTD",,"2021","1","January","261","0","3"
"B02196","N & T DOUBLE DIAMOND LIMOUSINES, INC.",,"2017","3","March","7","0","4"
"B02756","ALLY CAR SERVICE LLC","ACTIVE EXPRESS CAR & LIMO 2","2019","11","November","464","0","9"
"B03046","BEL-LINDA, INC","ISLANDER TRANS","2020","10","October","1768","0","19"
"B02096","CET GROUP, INC",,"2019","11","November","524","0","76"
"B01341","A NEW DAY RAD DISP INC",,"2017","3","March","8317","0","45"
"B01269","DIVISION CAR & LIMO INC.","NATANYA TRANSPORTATION","2019","9","September","885","0","4"
"B02929","OTTOMAN TRANSPORTATION INC.",,"2021","8","August","289","0","4"
"B00608","SUMMIT CORPORATE CAR INC.",,"2016","12","December","1852","0","45"
"B01328","DV LUXURY CAR SERVICE INC","RIDE SAFE CAR SERVICE","2020","2","February","3892","0","69"
"B01985","LUXURY WORLDWIDE TRANSPORTATION, LLC",,"2015","12","December","2876","0","83"
"B02825","GUADALUPANA II CAR & LIMO INC",,"2019","8","August","3412","0","18"
"B02157","REAGAN CONVEYANCE  CORP.","DELUX TRANSPORTATION SERVICES","2018","11","November","5177","0","144"
"B00693","BUSHWICK CAR SVCE INC",,"2018","12","December","776","0","5"
"B02355","BWJ GROUP INC",,"2018","12","December","639","0","3"
"B01727","CHAUFFEUR SERVICES, INC.","NICE GUYS LIMO","2018","8","August","16","0","1"
"B01623","JAMAICA EXPRESS CAR SERVICE INC.","SUNSHINE CAR SERVICE","2017","2","February","2094","0","10"
"B01730","LUCKY EXPRESS CORPORATION","GOOD LUCK CAR SVCE","2022","4","April","5251","0","65"
"LYFT","LYFT","LYFT","2020","2","February","5339549","1295327","43192"
"B02968","NEW GENERATION BLACK CAR TRANSPORTATION CORP.",,"2018","12","December","2796","0","14"
"B02634","VETERANS RADIO DISPATCHER CORP.",,"2020","7","July","4834","0","27"
"B00112","AYY&M TRANSPORTATION, LLC","HARBORVIEW CAR SERVICE","2019","12","December","5588","0","13"
"B02191","US LIMO SYSTEM INC",,"2021","1","January","10","0","2"
"B03346","ASHER TRANSPORTATION INC",,"2021","10","October","725","0","7"
"B02532","COZY RIDE LIMOUSINE INC","COZY TRANSIT","2017","7","July","3147","0","16"
"B01338","3210 WEBSTER AV PRESTIGE C/S",,"2016","5","May","60188","0","557"
"B01338","3210 WEBSTER AV PRESTIGE C/S",,"2022","5","May","19850","0","125"
"B01559","MUNKACS CAR SVC LTD",,"2020","5","May","1216","0","10"
"B00401","TREMONT DISPATCHING CORP",,"2019","9","September","803","0","4"
"B02480","WOODHAVEN LIMOUSINE INC",,"2016","12","December","747","0","31"
"B02899","NEW BLACK LUXURY CARS CORP",,"2021","3","March","78","0","32"
"B02401","NORTHSIDE BK LLC",,"2021","5","May","1827","0","35"
"B02339","SEDANZ INC.",,"2019","12","December","72","0","7"
"B01215","ECUADOOR CORP",,"2018","8","August","10671","0","47"
"B00325","CONTINENTAL RADIO DISPATCH CORP.",,"2018","3","March","213","0","6"
"B02003","AVALON CORPORATE CAR,INC.",,"2018","3","March","2898","0","80"
"B01452","AREAS TRANSP INC",,"2017","9","September","1346","0","14"
"B02163","JUNIORS EXPRESS CAR SERVICE INC.",,"2018","1","January","8241","0","10"
"B03267","MANGA TRANSPORTATION CORP",,"2022","5","May","1320","0","11"
"B01328","DV LUXURY CAR SERVICE INC","RIDE SAFE CAR SERVICE","2017","9","September","1937","0","49"
"B02980","ADVANTAGE LIMO OF NY INC",,"2017","3","March","392","0","6"
"B03187","A & J CAR SERVICE CORP",,"2020","4","April","1400","0","10"
"B02674","ELAL CAR LIMO SERVICE LLC","FIFTH AVENUE CAR LIMO SERVICE","2015","8","August","808","0","7"
"B00412","NYC 2 WAY INTERNATIONAL LTD","NYC TWO WAY INC.","2018","9","September","7798","0","108"
"B01803","V.I.P. CONNECTION, INC.","CARLINK","2018","2","February","3430","0","89"
"B03226","PAXXIA LUXURY CORP.",,"2021","6","June","419","0","8"
"B01009","UNITED LIMO C/M SVC CORP",,"2021","5","May","649","0","8"
"B00932","NATASHAS GRP CAR CORP",,"2020","10","October","974","0","8"
"B01445","J T TRANSPORTATION CO INC",,"2020","3","March","1457","0","65"
"B02285","VALERA GLOBAL, INC.",,"2016","2","February","4625","0","102"
"B02157","REAGAN CONVEYANCE  CORP.","DELUX TRANSPORTATION SERVICES","2018","7","July","4550","0","148"
"B02784","SMILE TRANSPORTATION GROUP INC",,"2016","5","May","5089","0","17"
"B00900","BIG Q CAR SVC. INC.",,"2019","12","December","31146","0","111"
"B02472","NEW BUSHWICK LUXURY INC.",,"2019","1","January","6356","0","38"
"B02095","COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",,"2021","12","December","370","0","21"
"B01846","ROMANTIQUE LIMOUSINE INC.",,"2019","12","December","52","0","9"
"B02653","NEW COLLEGE CAR SVCE INC",,"2019","1","January","10118","0","58"
"B02167","MADISON LIMOUSINE INC",,"2021","12","December","33","0","2"
"B02803","OUTSIDE'S CAR SERVICE INC.",,"2022","4","April","2896","0","24"
"B03031","ALLIANCE LIMOUSINE INC",,"2018","4","April","203","0","15"
"B02599","CMS LIMO INC.",,"2019","6","June","251","0","11"
"B02003","AVALON CORPORATE CAR,INC.",,"2019","4","April","2363","0","74"
"B00151","KINGSBAY CAR SERVICE INC",,"2018","6","June","203","0","17"
"B02782","NEW APP CAR & LIMO INC",,"2020","6","June","2191","0","14"
"B02856","MARIACHI CAR SERVICE INC",,"2019","9","September","545","0","11"
"B00235","ARISTACAR & LIMOUSINE, LTD.",,"2019","10","October","660","0","18"
"B02509","NY MINUTE CAR SERVICE INC.",,"2018","3","March","10378","0","108"
"B02127","CONTINENTAL RIDE, INC.","I + I TRANSPORTATION","2020","4","April","20","0","3"
"B00859","PROMENADE CAR LEASE INC",,"2016","12","December","881","0","7"
"B02989","GOOD FRIENDS CAR SERVICE INC",,"2021","2","February","3746","0","18"
"B01741","MONACO LIMO & CAR SERVICES INC.",,"2017","2","February","1974","0","14"
"B00619","HOLA CAR SERVICE,INC.",,"2018","11","November","179","0","5"
"B02303","MINEOLA TRANSPORTATION INC.",,"2015","10","October","246","0","3"
"B01020","MICHAELS CAR SERVICE INC.","UNION LIMO AND CAR SERVICE INC","2019","7","July","444","0","7"
"B00991","BLUE LANE CAR SERVICE INC",,"2017","6","June","421","0","27"
"B01710","79 MASADA III, INC.","MASADA III","2022","6","June","9871","0","40"
"B01313","JOY CAR SERVICES INC.",,"2015","9","September","580","0","70"
"B03284","MYLE WORLDWIDE INC",,"2022","1","January","73689","0","2263"
"B02285","VALERA GLOBAL, INC.",,"2020","9","September","1209","0","29"
"B01764","QUICK RIDE CORP.",,"2016","1","January","1055","0","12"
"B00987","MARLBORO CAR SERVICE INC.",,"2021","1","January","771","0","26"
"B02360","BRIDGES LIMOUSINE INC","EXCELLENT LIMOUSINE","2019","6","June","141","0","7"
"B00693","BUSHWICK CAR SVCE INC",,"2019","8","August","334","0","1"
"B02099","SUNNY'S LIMOUSINE SERVICE INC","SSS LIMO SERVICE","2016","7","July","2527","0","50"
"B03110","BETTER CAR & LIMOUSINE SERVICE INC","BELTWAY CAR SERVICE","2019","1","January","681","0","4"
"B03038","SOUTH BRONX TRANSPORTATION,INC.",,"2018","6","June","642","0","8"
"B02021","EASYRIDE CAR SERVICE INC.",,"2022","4","April","888","0","5"
"B02849","BROOKLYN RIDES CORP",,"2018","12","December","16980","0","126"
"B02175","MURRAY'S LIMOUSINE SERVICE INC.",,"2018","12","December","38","0","6"
"B02531","CLEAN AIR CAR SERVICE AND PARKING CORP.",,"2020","3","March","2534","0","29"
"B02110","OPTIMUM CAR & LIMO, INC.",,"2017","9","September","1295","0","6"
"B02613","NYC STAR LIMOUSINE & CAR SERVICES CORP.","NYS CAR SERVICE","2019","6","June","1254","0","11"
"B02016","PLANET LIMOUSINE LLC",,"2021","11","November","685","0","13"
"B03041","PUEBLA CITY INC.",,"2020","8","August","3319","0","13"
"B01800","EMPIRE INTERNATIONAL LTD.",,"2018","5","May","8892","0","260"
"B02852","OP CAR SERVICE INC.",,"2017","12","December","403","0","4"
"B03229","FVR TRANSPORTATION INC.",,"2022","2","February","404","0","11"
"B01048","HILLSIDE 24 HOURS RADIO DISPATCH INC",,"2017","4","April","1386","0","7"
"B02641","AVENUE X CAR SERVICE INC.","PRESTIGE CAR SERVICE","2017","2","February","4096","0","19"
"B03129","PHASE ONE TRANSPORT INC.",,"2019","3","March","14","0","2"
"B00350","CHAMPION CAR & LIMO SVC. INC.",,"2016","9","September","9460","0","48"
"B01194","440 CAR SERVICE INC.",,"2021","5","May","7","0","1"
"B00472","FARRELL'S LEASING CO.",,"2017","5","May","1206","0","56"
"B03104","GCC TRANSPORTATION LLC.",,"2019","11","November","208","0","5"
"B03042","BAYRIDGE EXPRESS LUXYRY INC",,"2017","9","September","1117","0","6"
"B02249","LA RAZA CAR SERVICE, INC.",,"2019","5","May","2744","0","16"
"B03158","SPOTON.PET LLC",,"2021","10","October","17","0","5"
"B03064","AP LUXURY LIMOUSINE INC",,"2018","4","April","135","0","9"
"B02825","GUADALUPANA II CAR & LIMO INC",,"2016","9","September","1817","0","8"
"B01989","ICS-NY, INC.",,"2017","12","December","607","0","27"
"B01146","CHURCH AVE C/S INC",,"2016","9","September","13423","0","59"
"B02849","BROOKLYN RIDES CORP",,"2018","10","October","17770","0","123"
"B02790","LAN TIAN CAR SERVICE, INC",,"2018","12","December","94","0","3"
"B01087","ELITE LIMO PLUS INC",,"2020","4","April","3399","0","73"
"B02391","BAYRIDGE EXPRESS, INC",,"2022","3","March","728","0","2"
"B02536","SEAGULL RIDE CORP",,"2020","2","February","2970","0","11"
"B02687","ECO RIDE INC.","ELECTRIC BLUE CAR SERVICE","2019","3","March","1745","0","9"
"B01197","TEL-A-CAR OF NEW YORK, LLC",,"2015","6","June","6573","0","111"
