"reporting_year","borough_block_lot","property_street_address_or","borough","zip_code","sold_date","vacant_on_12_31","construction_reported","vacant_6_30_or_date_sold","primary_business_activity","property_number","property_street","unit","borough_1","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","nbhd"
"2020 and 2021","1003091111","60 ORCHARD STREET","MANHATTAN","10002",,"NO",,,"MISCELLANEOUS OTHER SERVICE","60","ORCHARD STREET","1C","MANHATTAN","10002","0","0","3","1","16","1004003","1003091111","MN27","Chinatown"
"2020 and 2021","1003100007","48 LUDLOW STREET","MANHATTAN","10002",,"NO",,,"MISCELLANEOUS OTHER SERVICE","48","LUDLOW STREET",,"MANHATTAN","10002","40.7163492","-73.9900113","3","1","16","1004024","1003100007","MN27","Chinatown"
"2020 and 2021","1003100012","56 Ludlow Street","MANHATTAN","10002",,"NO",,,"INFORMATION SERVICES","56","LUDLOW STREET",,"MANHATTAN","10002","40.7165852","-73.9898886","3","1","16","1004028","1003100012","MN27","Chinatown"
"2020 and 2021","1000130005","11 Broadway","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","11","BROADWAY",,"MANHATTAN","10004","40.7052819","-74.0142719","1","1","13","1000044","1000130005","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000151002","17 BATTERY PLACE","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","17","BATTERY PLACE","2","MANHATTAN","10004","0","0","1","1","13","1082634","1000151002","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000160100","375N SOUTH END AVENUE","MANHATTAN","10280",,"NO",,,"HEALTH CARE or SOCIAL ASSISTANCE","345","SOUTH END AVENUE",,"MANHATTAN","10280","40.7110565","-74.0170361","1","1","317","1083378","1000160100","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000160100","375B SOUTH END AVENUE","MANHATTAN","10280",,"NO",,,"HEALTH CARE or SOCIAL ASSISTANCE","345","SOUTH END AVENUE",,"MANHATTAN","10280","40.7110565","-74.0170361","1","1","317","1083378","1000160100","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000160100","315 SOUTH END AVENUE","MANHATTAN","10280",,"NO",,,"FOOD SERVICES","345","SOUTH END AVENUE",,"MANHATTAN","10280","40.7110565","-74.0170361","1","1","317","1083378","1000160100","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000160100","301 SOUTH END AVENUE","MANHATTAN","10280",,"NO",,,"FOOD SERVICES","345","SOUTH END AVENUE",,"MANHATTAN","10280","40.7110565","-74.0170361","1","1","317","1083378","1000160100","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000160120","200 LIBERTY STREET","MANHATTAN","10281",,"NO",,,"FOOD SERVICES","200","LIBERTY STREET",,"MANHATTAN","10281","40.710645","-74.0155571","1","1","317","1000057","1000160120","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000160125","225 LIBERTY STREET","MANHATTAN","10280",,"NO",,,"RETAIL","225","LIBERTY STREET",,"MANHATTAN","10280","40.7124538","-74.015305","1","1","317","1000058","1000160125","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000170029","90 WASHINGTON STREET","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","90","WASHINGTON STREET",,"MANHATTAN","10006","40.7080732","-74.0148496","1","1","13","1000793","1000170029","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000171221","50 WEST STREET","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","50","WEST STREET","7D","MANHATTAN","10006","0","0","1","1","13","1090192","1000171221","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000181001","88 Greenwich Street","MANHATTAN","10006",,"NO",,,"RETAIL","88","GREENWICH STREET","CU","MANHATTAN","10006","0","0","1","1","13","1000794","1000181001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000181001","88 GREENWICH STREET","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","88","GREENWICH STREET","CU","MANHATTAN","10006","0","0","1","1","13","1000794","1000181001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000190018","44 Trinity Place","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","81","GREENWICH STREET",,"MANHATTAN","10006","40.7075958","-74.01345","1","1","13","1000798","1000190018","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000190019","46 TRINITY PLACE","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","46","TRINITY PLACE",,"MANHATTAN","10006","40.7076672","-74.0134031","1","1","13","1000799","1000190019","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000200004","39 BROADWAY","MANHATTAN","10006",,"NO",,,"FINANCE & INSURANCE","39","BROADWAY",,"MANHATTAN","10006","40.7063442","-74.0134281","1","1","13","1000803","1000200004","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000200009","17 Trinity Place","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","45","BROADWAY",,"MANHATTAN","10006","40.7065418","-74.0132658","1","1","13","1000804","1000200009","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000250027","40 EXCHANGE PLACE","MANHATTAN","10005",,"NO",,,"FOOD SERVICES","40","EXCHANGE PLACE",,"MANHATTAN","10005","40.7056858","-74.0102865","1","1","9","1000825","1000250027","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000251001","25 BROAD STREET","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","25","BROAD STREET","COM A","MANHATTAN","10004","0","0","1","1","9","1000824","1000251001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000260014","37 WALL STREET","MANHATTAN","10005",,"NO",,,"RETAIL","37","WALL STREET",,"MANHATTAN","10005","40.7063033","-74.0102289","1","1","7","1078992","1000260014","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000260021","45 WALL STREET","MANHATTAN","10005",,"NO",,,"FINANCE & INSURANCE","45","WALL STREET",,"MANHATTAN","10005","40.7062073","-74.0099187","1","1","7","1000826","1000260021","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000270009","63 WALL STREET","MANHATTAN","10005",,"NO",,,"FOOD SERVICES","63","WALL STREET",,"MANHATTAN","10005","40.7056282","-74.0087752","1","1","7","1000828","1000270009","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000270017","67 Wall St","MANHATTAN","10005",,"NO",,,"FOOD SERVICES","67","WALL STREET",,"MANHATTAN","10005","40.7055459","-74.0084001","1","1","7","1000829","1000270017","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000270017","67 Wall St","MANHATTAN","10005",,"NO",,,"FOOD SERVICES","67","WALL STREET",,"MANHATTAN","10005","40.7055459","-74.0084001","1","1","7","1000829","1000270017","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000271202","20 EXCHANGE PLACE","MANHATTAN","10005",,"NO",,,"OTHER","20","EXCHANGE PLACE","2","MANHATTAN","10005","0","0","1","1","7","1000830","1000271202","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000291001","48 BEAVER STREET","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","48","BEAVER STREET","2","MANHATTAN","10004","0","0","1","1","9","1078997","1000291001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000291102","1 HANOVER SQUARE","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","1","HANOVER SQUARE","2","MANHATTAN","10004","0","0","1","1","9","1000841","1000291102","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000300001","74 PEARL STREET","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","2","COENTIES SLIP",,"MANHATTAN","10004","40.7036574","-74.0104052","1","1","9","1079001","1000300001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000300033","42 Water Street","MANHATTAN","10004",,"NO",,,"RETAIL","42","WATER STREET",,"MANHATTAN","10004","40.7035586","-74.010178","1","1","9","1000857","1000300033","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000301001","7 HANOVER SQUARE","MANHATTAN",,,"YES","YES",,"NO BUSINESS ACTIVITY IDENTIFIED","7","HANOVER SQUARE","GU","MANHATTAN","10004","0","0","1","1","9","1000855","1000301001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000310001","10 Hanover Sq.","MANHATTAN","10005",,"NO",,,"RETAIL","10","HANOVER SQUARE",,"MANHATTAN","10005","40.7045688","-74.0088581","1","1","7","1000859","1000310001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000310001","110 Pearl St.","MANHATTAN","10005",,"NO",,,"RETAIL","10","HANOVER SQUARE",,"MANHATTAN","10005","40.7045688","-74.0088581","1","1","7","1000859","1000310001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000311349","75 Wall Street","MANHATTAN","10005",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","75","WALL STREET","CUIII","MANHATTAN","10005","0","0","1","1","7","1085950","1000311349","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000480001","140 BROADWAY","MANHATTAN","10005",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","140","BROADWAY",,"MANHATTAN","10005","40.7086501","-74.0101174","1","1","7","1001027","1000480001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000480001","140 BROADWAY","MANHATTAN","10005",,"NO",,,"LEGAL SERVICES","140","BROADWAY",,"MANHATTAN","10005","40.7086501","-74.0101174","1","1","7","1001027","1000480001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000490002","111 BROADWAY","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","111","BROADWAY",,"MANHATTAN","10006","40.7087131","-74.0116395","1","1","13","1001029","1000490002","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000500001","115 BROADWAY","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","115","BROADWAY",,"MANHATTAN","10006","40.7089355","-74.0114701","1","1","13","1001030","1000500001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000500001","115 BROADWAY","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","115","BROADWAY",,"MANHATTAN","10006","40.7089355","-74.0114701","1","1","13","1001030","1000500001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000510001","101 GREENWICH STREET","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","101","GREENWICH STREET",,"MANHATTAN","10006","40.7080871","-74.0131688","1","1","13","1001031","1000510001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000520010","137 GREENWICH STREET","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","137","GREENWICH STREET",,"MANHATTAN","10006","40.7095007","-74.0126532","1","1","13","1001038","1000520010","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000650010","9 MAIDEN LANE","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","9","MAIDEN LANE",,"MANHATTAN","10038","40.7096575","-74.0092627","1","1","15","1001098","1000650010","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000651002","65 NASSAU STREET","MANHATTAN","10038",,"NO",,,"OTHER","65","NASSAU STREET","COMM","MANHATTAN","10038","0","0","1","1","15","1001106","1000651002","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000651002","65 NASSAU STREET","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","65","NASSAU STREET","COMM","MANHATTAN","10038","0","0","1","1","15","1001106","1000651002","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000651101","180 BROADWAY","MANHATTAN","10038",,"NO",,,"RETAIL","180","BROADWAY","RETAI","MANHATTAN","10038","0","0","1","1","15","1001102","1000651101","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000670023","33 Maiden Lane","MANHATTAN","10038",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","56","NASSAU STREET",,"MANHATTAN","10038","40.7091224","-74.0084799","1","1","15","1001109","1000670023","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000680011","75 MAIDEN LANE","MANHATTAN","10038",,"NO",,,"MISCELLANEOUS OTHER SERVICE","75","MAIDEN LANE",,"MANHATTAN","10038","40.7077583","-74.0074374","1","1","15","1001112","1000680011","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000680036","100 WILLIAM STREET","MANHATTAN","10038",,"NO",,,"RETAIL","100","WILLIAM STREET",,"MANHATTAN","10038","40.7083457","-74.0071994","1","1","15","1001116","1000680036","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000681001","80 JOHN STREET","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","80","JOHN STREET","COM1","MANHATTAN","10038","0","0","1","1","15","1001115","1000681001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000760006","56 FULTON STREET","MANHATTAN","10038",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","56","FULTON STREET",,"MANHATTAN","10038","40.7085242","-74.0051687","1","1","15","1090416","1000760006","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000760028","76 Fulton Street","MANHATTAN","10038",,"NO",,,"OTHER","70","FULTON STREET",,"MANHATTAN","10038","40.7088782","-74.0055475","1","1","15","1001184","1000760028","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000761002","15 Cliff Street","MANHATTAN","10038",,"NO",,,"MISCELLANEOUS OTHER SERVICE","15","CLIFF STREET","2","MANHATTAN","10038","0","0","1","1","15","1085931","1000761002","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000761101","99 JOHN STREET","MANHATTAN","10038",,"NO",,,"MISCELLANEOUS OTHER SERVICE","99","JOHN STREET","C1","MANHATTAN","10038","0","0","1","1","15","1087867","1000761101","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000770001","85 JOHN STREET","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","85","JOHN STREET",,"MANHATTAN","10038","40.7085296","-74.0064275","1","1","15","1001185","1000770001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000780001","135 William","MANHATTAN","10038",,"NO",,,"RETAIL","135","WILLIAM STREET",,"MANHATTAN","10038","40.7094738","-74.006709","1","1","15","1001192","1000780001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000780004","123 WILLIAM STREET","MANHATTAN","10038",,"NO",,,"OTHER","123","WILLIAM STREET",,"MANHATTAN","10038","40.7093228","-74.0071418","1","1","15","1079063","1000780004","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000780042","88 NASSAU STREET","MANHATTAN","10038",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","88","NASSAU STREET",,"MANHATTAN","10038","40.710009","-74.0077623","1","1","15","1001204","1000780042","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000880018","225 Broadway","MANHATTAN","10007",,"NO",,,"FINANCE & INSURANCE","225","BROADWAY",,"MANHATTAN","10007","40.7119906","-74.0086534","1","1","21","1001241","1000880018","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1000890001","99 NASSAU STREET","MANHATTAN","10038",,"NO",,,"RETAIL","99","NASSAU STREET",,"MANHATTAN","10038","40.710514","-74.0077226","1","1","15","1001242","1000890001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000890001","99 NASSAU STREET","MANHATTAN","10038",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","99","NASSAU STREET",,"MANHATTAN","10038","40.710514","-74.0077226","1","1","15","1001242","1000890001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000890002","141 FULTON STREET","MANHATTAN","10038",,"NO",,,"OTHER","141","FULTON STREET",,"MANHATTAN","10038","40.7105277","-74.0079174","1","1","15","1001243","1000890002","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000890012","222 BROADWAY","MANHATTAN","10038",,"NO",,,"FINANCE & INSURANCE","222","BROADWAY",,"MANHATTAN","10038","40.7108708","-74.00839","1","1","15","1001245","1000890012","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000900017","113 Nassau Street","MANHATTAN","10038",,"NO",,,"RETAIL","113","NASSAU STREET",,"MANHATTAN","10038","40.7108763","-74.0073692","1","1","15","1089790","1000900017","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000900017","113 Nassau Street","MANHATTAN","10038",,"NO",,,"OTHER","113","NASSAU STREET",,"MANHATTAN","10038","40.7108763","-74.0073692","1","1","15","1089790","1000900017","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000901101","105 NASSAU STREET","MANHATTAN","10038",,"NO",,,"RETAIL","105","NASSAU STREET","1","MANHATTAN","10038","0","0","1","1","15","1001258","1000901101","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000970030","38 Peck Slip","MANHATTAN","10038",,"NO",,,"OTHER","36","PECK SLIP",,"MANHATTAN","10038","40.707517","-74.0017457","1","1","15","1079115","1000970030","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000971301","216 Front Street","MANHATTAN","10038",,"NO",,,"EDUCATIONAL SERVICES","214","FRONT STREET","HIST","MANHATTAN","10038","0","0","1","1","15","1086562","1000971301","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1001001002","150 NASSAU STREET","MANHATTAN","10038",,"NO",,,"RETAIL","150","NASSAU STREET","RETAIL","MANHATTAN","10038","0","0","1","1","15","1087756","1001001002","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1001060005","270 WATER STREET","MANHATTAN","10038",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","270","WATER STREET",,"MANHATTAN","10038","40.7087768","-74.0014211","1","1","15","1001360","1001060005","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1001070046","269 Water Street","MANHATTAN","10038",,"NO",,,"OTHER","269","WATER STREET",,"MANHATTAN","10038","40.7084227","-74.0011975","1","1","15","1001383","1001070046","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1001131001","375 Pearl St","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","375","PEARL STREET","PU","MANHATTAN","10038","0","0","1","1","29","1001389","1001131001","MN27","Chinatown"
"2020 and 2021","1001131002","375 Pearl St reet","MANHATTAN","10038",,"NO",,,"NO BUSINESS ACTIVITY IDENTIFIED","375","PEARL STREET","8THU","MANHATTAN","10038","0","0","1","1","29","1001389","1001131002","MN27","Chinatown"
"2020 and 2021","1001321001","275 GREENWICH STREET","MANHATTAN","10007",,"NO",,,"RETAIL","275","GREENWICH STREET","COMM","MANHATTAN","10007","0","0","1","1","21","1081076","1001321001","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001321001","275 GREENWICH STREET","MANHATTAN","10007",,"NO",,,"OTHER","275","GREENWICH STREET","COMM","MANHATTAN","10007","0","0","1","1","21","1081076","1001321001","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001330007","45 MURRAY STREET","MANHATTAN","10007",,"NO",,,"FOOD SERVICES","45","MURRAY STREET",,"MANHATTAN","10007","40.7142001","-74.0091732","1","1","21","1001435","1001330007","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001331303","37 MURRAY STREET","MANHATTAN","10007",,"NO",,,"RETAIL","37","MURRAY STREET","R","MANHATTAN","10007","0","0","1","1","21","1001434","1001331303","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001331303","37 MURRAY STREET","MANHATTAN","10007",,"NO",,,"RETAIL","37","MURRAY STREET","R","MANHATTAN","10007","0","0","1","1","21","1001434","1001331303","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001332019","136 Church Street","MANHATTAN","10007",,"NO",,,"FOOD SERVICES","37","WARREN STREET","C U 1","MANHATTAN","10007","0","0","1","1","21","1001444","1001332019","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001340021","15 WARREN STREET","MANHATTAN","10007",,"NO",,,"HEALTH CARE or SOCIAL ASSISTANCE","15","WARREN STREET",,"MANHATTAN","10007","40.7137995","-74.00764","1","1","21","1001458","1001340021","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001341002","253 broadway","MANHATTAN","10007",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","253","BROADWAY","RETL","MANHATTAN","10007","0","0","1","1","21","1082757","1001341002","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001401004","147 Reade","MANHATTAN","10013",,"NO",,,"RETAIL","303","GREENWICH STREET","C4","MANHATTAN","10013","0","0","1","1","21","1066317","1001401004","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001401201","137 READE STREET","MANHATTAN","10013",,"NO",,,"NO BUSINESS ACTIVITY IDENTIFIED","137","READE STREET","137-C","MANHATTAN","10013","0","0","1","1","21","1084396","1001401201","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001410021","188 DUANE STREET","MANHATTAN","10013",,"NO",,,"RETAIL","188","DUANE STREET",,"MANHATTAN","10013","40.7172687","-74.0102486","1","1","39","1001521","1001410021","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001411052","25 Hudson","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","166","DUANE STREET","1/FL","MANHATTAN","10013","0","0","1","1","39","1001531","1001411052","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001411601","138 READE STREET","MANHATTAN","10013",,"NO",,,"RETAIL","138","READE STREET","1COM","MANHATTAN","10013","0","0","1","1","39","1087486","1001411601","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001420025","330-028 Greenwich Street","MANHATTAN","10013",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","310","GREENWICH STREET",,"MANHATTAN","10013","40.7195193","-74.0108694","1","1","39","1083243","1001420025","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001420025","330-004 Greenwich Street","MANHATTAN","10013",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","310","GREENWICH STREET",,"MANHATTAN","10013","40.7195193","-74.0108694","1","1","39","1083243","1001420025","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001451301","97 READE STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","97","READE STREET","CE","MANHATTAN","10013","0","0","1","1","21","1001589","1001451301","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001460011","2nd Floor","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","112","READE STREET",,"MANHATTAN","10013","40.7160748","-74.0085494","1","1","33","1001598","1001460011","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001460018","142 DUANE STREET","MANHATTAN","10013",,"NO",,,"RETAIL","142","DUANE STREET",,"MANHATTAN","10013","40.7160584","-74.0078531","1","1","33","1001602","1001460018","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001461101","117 West Broadway","MANHATTAN","10013",,"NO",,,"RETAIL","150","DUANE STREET","COMM","MANHATTAN","10013","0","0","1","1","33","1001599","1001461101","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001461201","104 READE STREET","MANHATTAN","10013",,"NO",,,"EDUCATIONAL SERVICES","104","READE STREET","COM 1","MANHATTAN","10013","0","0","1","1","33","1001596","1001461201","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001471251","54 Thomas Street","MANHATTAN","10013",,"NO",,,"EDUCATIONAL SERVICES","129","DUANE STREET","1DCOM","MANHATTAN","10013","0","0","1","1","33","1001605","1001471251","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001471601","200 CHURCH STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","52","THOMAS STREET","COM","MANHATTAN","10013","0","0","1","1","33","1001619","1001471601","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001471702","139 Duane Street","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","137","DUANE STREET","C-2","MANHATTAN","10013","0","0","1","1","33","1001607","1001471702","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001620010","18 MOTT STREET","MANHATTAN","10013",,"NO",,,"MISCELLANEOUS OTHER SERVICE","18","MOTT STREET",,"MANHATTAN","10013","40.714313","-73.998503","3","1","29","1001687","1001620010","MN27","Chinatown"
"2020 and 2021","1001620015","28 mott street g/f","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","28","MOTT STREET",,"MANHATTAN","10013","40.7146369","-73.9985643","3","1","29","1001692","1001620015","MN27","Chinatown"
"2020 and 2021","1001620018","34 MOTT STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","34","MOTT STREET",,"MANHATTAN","10013","40.7148537","-73.9986761","3","1","29","1083326","1001620018","MN27","Chinatown"
"2020 and 2021","1001620023","23 Pell","MANHATTAN","10013",,"NO",,,"RETAIL","23","PELL STREET",,"MANHATTAN","10013","40.7147494","-73.9983082","3","1","29","1001698","1001620023","MN27","Chinatown"
"2020 and 2021","1001620026","15 DOYERS STREET","MANHATTAN","10013",,"NO",,,"MISCELLANEOUS OTHER SERVICE","15","DOYERS STREET",,"MANHATTAN","10013","40.714593","-73.9982685","3","1","29","1001700","1001620026","MN27","Chinatown"
"2020 and 2021","1001620028","11 DOYERS STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","11","DOYERS STREET",,"MANHATTAN","10013","40.7144557","-73.9982613","3","1","29","1001701","1001620028","MN27","Chinatown"
"2020 and 2021","1001620034","13 CHATHAM SQUARE","MANHATTAN","10038",,"NO",,,"RETAIL","13","CHATHAM SQUARE",,"MANHATTAN","10038","40.7141044","-73.9977996","3","1","29","1001704","1001620034","MN27","Chinatown"
"2020 and 2021","1001620038","5 DOYERS STREET","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","9","CHATHAM SQUARE",,"MANHATTAN","10038","40.7141785","-73.9981098","3","1","29","1001707","1001620038","MN27","Chinatown"
"2020 and 2021","1001640003","34 MULBERRY STREET","MANHATTAN","10013",,"NO",,,"OTHER","34","MULBERRY STREET",,"MANHATTAN","10013","40.7147192","-73.9994012","3","1","29","1001807","1001640003","MN27","Chinatown"
"2020 and 2021","1001640009","50B MULBERRY STREET","MANHATTAN","10013",,"NO",,,"OTHER","46","MULBERRY STREET",,"MANHATTAN","10013","40.7151255","-73.9994156","3","1","29","1079227","1001640009","MN27","Chinatown"
"2020 and 2021","1001640009","48A MULBERRY STREET","MANHATTAN","10013",,"NO",,,"OTHER","46","MULBERRY STREET",,"MANHATTAN","10013","40.7151255","-73.9994156","3","1","29","1079227","1001640009","MN27","Chinatown"
"2020 and 2021","1001640019","85A Bayard Street","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","66","MULBERRY STREET",,"MANHATTAN","10013","40.7157128","-73.9991415","3","1","29","1077449","1001640019","MN27","Chinatown"
"2020 and 2021","1001640019","91 Bayard Street","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","66","MULBERRY STREET",,"MANHATTAN","10013","40.7157128","-73.9991415","3","1","29","1077449","1001640019","MN27","Chinatown"
