"pops_number","borough_name","borocode","community_district","address_number","street_name","zip_code","building_address_with_zip","tax_block","tax_lot","building_name","building_location","year_completed","building_constructed","public_space_type","developer","building_architect","principal_public_space","size_required","hour_of_access_required","amenities_required","other_required","permitted_amenities","physically_disabled","latitude","longitude","xcoordinate","ycoordinate","council_district","census_tract","bin","bbl","nta","geocoded_column"
"M060083","Manhattan","1","6","137","EAST 36 STREET","10016","137 EAST 36 STREET, New York, NY 10016","892","25","Carlton Regency","Northeast corner of Lexington Avenue and East 36th Street","1966","Completed","Plaza",,"Lyras & Anaya","Lyras & Anaya","Plaza 3355.48 sf","24 Hours","None",,,"Full/Partial","40.747756","-73.978378","990241","211705","4","80","1018953","1008920025","Murray Hill-Kips Bay","POINT (-73.978378 40.747756)"
"M040004","Manhattan","1","4","825","EIGHTH AVENUE","10019","825 EIGHTH AVENUE, New York, NY 10019","1040","29","One Worldwide Plaza","Entire block bounded by Eighth Avenue, Ninth Avenue, West 49th Street and West 50th Street","1989","Completed","Elliptical Arcades; Plaza; Subway Access Areas","William Zeckendorf Jr./ZCWK Associates/NY Communications Developer","Skidmore, Owings & Merrill and Frank Williams & Asscociates (residential)","SWA Group; Mathews Nielsen Landscape Architects (for alteration in 2002)","Elliptical Arcades 0.00 sf; Plaza 26806.00 sf; Subway Access Areas 0.00 sf","24 Hours; Restricted Hours","Bicycle Parking; Drinking Fountain; Escalator; Food Service; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Programs; Restrooms; Retail Frontage; Seating; Subway; Tables; Trees on Street; Trees within Space; Water Feature","Plaza: pavilion on West 49th Street side of Plaza providing access for disabled persons to movies",,"Full/Partial","40.76223","-73.986943","987867","216978","3","127","1076203","1010400029","Clinton","POINT (-73.986943 40.76223)"
"M060087","Manhattan","1","6","410","EAST 58 STREET","10022","410 EAST 58 STREET, New York, NY 10022","1369","42","New Yorker East","South side of East 58th Street between Sutton Place South and First Avenue","1974","Completed","Plaza",,"Max Wechsler","Max Wechsler","Plaza 2709.30 sf","24 Hours","None",,,"Full/Partial","40.75847","-73.961984","994782","215610","5","106.01","1040554","1013690042","Turtle Bay-East Midtown","POINT (-73.961984 40.75847)"
"M060005","Manhattan","1","6","150","EAST 34 STREET","10016","150 EAST 34 STREET, New York, NY 10016","889","55","Dumont Plaza","South side of East 34th Street between Third and Lexington  Avenues","1987","Completed","Residential Plaza",,"Goldhammer Wittenstein Good","Anthony G. Piscopia","Residential Plaza 3516.00 sf","24 Hours","Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space; Water Feature","Primary Space: pavilion",,"Full/Partial","40.745895","-73.979288","989989","211027","2","72","1018507","1008890055","Murray Hill-Kips Bay","POINT (-73.979288 40.745895)"
"Q070001","Queens","4","7","138-35","39 AVENUE","11354","138-35 39 AVENUE, Queens, NY 11354","4978","7502","Flushing Commons",,,"Completed","Publicly Accessible Open Space",,,,,,,,,,"40.761235","-73.827713","1031978","216662","20","871","4607310","4049787502","Flushing","POINT (-73.827713 40.761235)"
"M060025","Manhattan","1","6","630","FIRST AVENUE","10016","630 FIRST AVENUE, New York, NY 10016","968","7501","Manhattan Place","Full blockfront on east side of First Avenue between East 36th and 37th Streets","1984","Completed","Residential Plaza","Jeffrey Glick, Ralph Mallin, Belmo Realty Co.","Philip Birnbaum & Associates","Balsley Associates","Residential Plaza 16390.45 sf","24 Hours","Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space; Water Feature",,,"None","40.745155","-73.971836","992054","210758","4","86.01","1022060","1009687501","Turtle Bay-East Midtown","POINT (-73.971836 40.745155)"
"M080093","Manhattan","1","8","1850","SECOND AVENUE","10128","1850 SECOND AVENUE, New York, NY 10128","1558","50",,"East side of Second Avenue between East 95th and 96th Streets. Original BBL: 1558/85.","1987","Completed","Arcade",,"Weisberg, Castro Associates","Weisberg, Castro Associates","Arcade 1500.00 sf","24 Hours","None",,,"Full/Partial","40.783875","-73.946954","998940","224868","5","156.01","1050342","1015580050","Yorkville","POINT (-73.946954 40.78387500000001)"
"M080044","Manhattan","1","8","182","EAST 95 STREET","10128","182 EAST 95 STREET, New York, NY 10128","1523","34","Highgate","Southwest corner of Third Avenue and East 95th Street. Additional lot: 1523/34-40.","1980","Completed","Residential Plaza",,"Jarmul, Brizee & Levitt","Jarmul, Brizee & Levitt","Residential Plaza 5220.00 sf","24 Hours","Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,"Full/Partial","40.784371","-73.950341","998002","225048","5","158.01","1087328","1015230034","Upper East Side-Carnegie Hill","POINT (-73.950341 40.784371)"
"M080004","Manhattan","1","8","188","EAST 64 STREET","10065","188 EAST 64 STREET, New York, NY 10065","1398","7501","Royale","Full blockfront on west side of Third Avenue between East 63rd and 64th Streets","1987","Completed","Residential Plaza",,"Schuman, Lichtenstein, Claman, Efron","Quennell Rothschild Associates","Residential Plaza 6667.00 sf","24 Hours","Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,"Full/Partial","40.764499","-73.964843","993989","217806","4","120","1042137","1013987501","Upper East Side-Carnegie Hill","POINT (-73.964843 40.764499)"
"M060072","Manhattan","1","6","300","EAST 59 STREET","10022","300 EAST 59 STREET, New York, NY 10022","1351","1","Landmark","Southeast corner of Second Avenue and East 59th Street","1974","Completed","Arcade; Plaza","Nathan Kalikow","Liebman Liebman Associates","Mark Morrison Assoc.","Arcade 1860.00 sf; Plaza 11600.00 sf","24 Hours","Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","154 sf gazebo, separate bus waiting area on East 59th Street with benches and seatwall",,"Full/Partial","40.760167","-73.964228","994160","216228","5","108","1040031","1013510001","Turtle Bay-East Midtown","POINT (-73.964228 40.760167)"
"M080062","Manhattan","1","8","300","EAST 93 STREET","10128","300 EAST 93 STREET, New York, NY 10128","1555","7501","Waterford","Southeast corner of Second Avenue and East 93rd Street. Original BBL: 1555/3 ,4, 5, 1101-1323.","1987","Completed","Residential Plaza",,"Beyer Blinder Belle","Thomas Balsley Associates","Residential Plaza 4962.00 sf","Restricted Hours","Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space; Water Feature",,,"Full/Partial","40.781993","-73.948325","998561","224182","5","154","1073539","1015557501","Yorkville","POINT (-73.948325 40.781993)"
"M010014","Manhattan","1","1","95","WALL STREET","10005","95 WALL STREET, New York, NY 10005","33","11",,"Full blockfront on east side of  Water Street between Gouverneur Lane and Wall Street","1969","Completed","Arcade; Plaza",,"Emery Roth & Sons","Emery Roth & Sons","Arcade 2446.00 sf; Plaza 1963.00 sf","24 Hours","None",,,"Full/Partial","40.704676","-74.007581","982148","196009","1","7","1000864","1000330011","Battery Park City-Lower Manhattan","POINT (-74.007581 40.704676)"
"M010024","Manhattan","1","1","7","HANOVER SQUARE","10004","7 HANOVER SQUARE, New York, NY 10004","30","7501",,"South side of Hanover Square between Water and Pearl Streets","1983","Completed","Arcade; Through Block Arcade",,"Emery Roth & Sons","Emery Roth & Sons","Arcade 5349.06 sf; Through Block Arcade 7467.13 sf","24 Hours","Lighting; None; Planting; Plaque/Sign; Retail Frontage",,,"Full/Partial","40.704056","-74.009659","981572","195783","1","9","1000855","1000307501","Battery Park City-Lower Manhattan","POINT (-74.009659 40.704056)"
"M050069","Manhattan","1","5","41","MADISON AVENUE","10010","41 MADISON AVENUE, New York, NY 10010","855","37","New York Merchandise Mart","Southeast corner of East 26th Street and Madison Avenue","1972","Completed","Arcade; Plaza","Samuel Rudin","Emery Roth & Sons","Emery Roth & Sons; Fox and Fowle Architects (for alteration in 2002)","Arcade 571.95 sf; Plaza 4785.00 sf","24 Hours","Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating",,,"Full/Partial","40.742383","-73.986269","988055","209747","2","56","1016749","1008550037","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.986269 40.742383)"
"M070029","Manhattan","1","7","639","WEST 59 STREET","10019","639 WEST 59 STREET, New York, NY 10019","1171","157","Riverside Center",,,,"Public Access Area",,,,,,,,,,"40.772677","-73.991804","986520","220784","6","151","1089374","1011710157","Lincoln Square","POINT (-73.991804 40.772677)"
"M010059","Manhattan","1","1","376","BROADWAY","10013","376 BROADWAY, New York, NY 10013","172","7501","Mandarin Plaza","East side of Broadway between White Street and Franklin Street","1990","Completed","Residential Plaza","Tommy Lee and William Co.","Daniel Pang Associates Architects and Planners","Daniel Pang Associates Architects and Planners, Engel/GGP Landscape Architects","Residential Plaza 3752.00 sf","24 Hours","Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","1 unenclosed pavilion",,"Full/Partial","40.717714","-74.002814","983470","200759","1","31","1001866","1001727501","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-74.002814 40.717714)"
"M050107","Manhattan","1","5","776","SIXTH AVENUE","10001","776 SIXTH AVENUE, New York, NY 10001","828","1","The Capitol at Chelsea","Full blockfront east side of Sixth Avenue between West 27th Street and West 26th Street. Original BBL: 828/1,4,5,74,77,80.","2002","Completed","Urban Plaza",,"Costas Kondylis","Thomas Balsley Associates","Urban Plaza 10147.00 sf","Restricted Hours","Artwork; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature","Yes",,"Full/Partial","40.744914","-73.990772","986807","210669","3","58","1015632","1008280001","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.990772 40.744914)"
"M060088","Manhattan","1","6","425","LEXINGTON AVENUE","10017","425 LEXINGTON AVENUE, New York, NY 10017","1298","23",,"Full blockfront on east side of Lexington Avenue between East 43rd and 44th Streets","1987","Completed","Urban Plaza","Olympia & York Properties","Murphy/Jahn","David Kenneth Spector","Urban Plaza 4548.12 sf","Restricted Hours","Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space",,,"Full/Partial","40.752246","-73.974948","991191","213341","4","92","1036162","1012980023","Turtle Bay-East Midtown","POINT (-73.974948 40.752246)"
"M010007","Manhattan","1","1","100","WILLIAM STREET","10038","100 WILLIAM STREET, New York, NY 10038","68","36",,"Full blockfront on east side of William Street bounded by Platt and John Streets","1973","Completed","Covered Pedestrian Space",,"Emery Roth & Sons","Emery Roth & Sons; Rogers Marvel Architects, PLLC (for alteration in 2010)","Covered Pedestrian Space 5242.00 sf","Restricted Hours","Lighting; Plaque/Sign; Retail Frontage; Seating",,,"Full/Partial","40.708346","-74.007199","982254","197346","1","15.02","1001116","1000680036","Battery Park City-Lower Manhattan","POINT (-74.007199 40.708346)"
"M050045","Manhattan","1","5","280","PARK AVENUE","10017","280 PARK AVENUE, New York, NY 10017","1284","33",,"West side of Park Avenue between East 48th and 49th Streets","1968","Completed","Plaza","Rose Associates","Emery Roth & Sons","Emery Roth & Sons; TSC Design (for alteration in 2009); Mathews Nielsen (for alteration in 2013)","Plaza 17603.00 sf","24 Hours","Bicycle Parking; Drinking Fountain; Food Service; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space",,"Open Air Cafe","Full/Partial","40.756418","-73.975094","991150","214861","4","94","1035441","1012840033","Midtown-Midtown South","POINT (-73.975094 40.756418)"
"M050075","Manhattan","1","5","135","WEST 52 STREET","10019","135 WEST 52 STREET, New York, NY 10019","1005","7501","Flatotel","North side of West 52nd Street between Sixth and Seventh Avenues","1985","Completed","Through Block Galleria","East/West Associates","Rafael Vinoly","Rafael Vinoly, MPFP Landscape Architects PLLC (for 2016 design change)","Through Block Galleria 6450.23 sf","Restricted Hours","Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Water Feature",,,"Full/Partial","40.762046","-73.980893","989543","216911","4","131","1023160","1010057501","Midtown-Midtown South","POINT (-73.980893 40.762046)"
"M010019","Manhattan","1","1","55","BROAD STREET","10004","55 BROAD STREET, New York, NY 10004","25","1",,"Northeast corner of Broad and Beaver Streets","1966","Completed","Arcade",,"Emery Roth & Sons","Emery Roth & Sons","Arcade 4089.00 sf","24 Hours","None",,,"Full/Partial","40.705277","-74.011047","981187","196228","1","9","1000821","1000250001","Battery Park City-Lower Manhattan","POINT (-74.011047 40.705277)"
"M040013","Manhattan","1","4","501","WEST 52 STREET","10019","501 WEST 52 STREET, New York, NY 10019","1081","29","Clinton Green","Approval consists of multiple BBL's including Block 1080, part of Lot 25; Block 1081, Lot 39 and part of Lot 29.",,,"Linear Open Space; Open Space",,,,,,,,,,"40.766241","-73.991004","986742","218439","3","135","1081740","1010810029","Clinton","POINT (-73.991004 40.766241)"
"M060034","Manhattan","1","6","950","THIRD AVENUE","10022","950 THIRD AVENUE, New York, NY 10022","1311","40",,"Southwest corner of Third Avenue and East 57th Street","1971","Completed","Plaza","Greenwich Savings Bank","Kahn and Jacobs","Kahn and Jacobs","Plaza 2305.00 sf","24 Hours","None",,,"Full/Partial","40.760198","-73.968094","993089","216239","4","112.03","1036882","1013110040","Turtle Bay-East Midtown","POINT (-73.968094 40.760198)"
"M060061","Manhattan","1","6","303","EAST 43 STREET","10017","303 EAST 43 STREET, New York, NY 10017","1336","7501","International Plaza","Northeast corner of Second Avenue and East 43rd Street","1984","Completed","Residential Plaza",,"Avinash Malhotra","Avinash Malhotra","Residential Plaza 3347.33 sf","24 Hours","Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,"Full/Partial","40.75056","-73.971256","992214","212727","4","88","1038674","1013367501","Turtle Bay-East Midtown","POINT (-73.971256 40.75056000000001)"
"M050112","Manhattan","1","5","432","PARK AVENUE","10022","432 PARK AVENUE, New York, NY 10022","1292","7502","432 Park Avenue","Southwest of East 57th Street between Madison Avenue and Park Avenue. Original BBL: 1292/33,41,42.","2017","Completed","Public Plaza","CIM Group, Macklowe Properties","Rafael Vinoly and SLCE Architects","Rafael Vinoly, SLCE Architects, and Zion Breen and Richardson","Public Plaza 6340.69 sf","24 Hours","Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space","decorative back painted glass panel",,"Full/Partial","40.7615","-73.971797","992063","216713","4","112.02","1088817","1012927502","Midtown-Midtown South","POINT (-73.971797 40.7615)"
"M080080","Manhattan","1","8","525","EAST 72 STREET","10021","525 EAST 72 STREET, New York, NY 10021","1484","16","One East River Place","North side of East 72nd Street between FDR Drive and York Avenue","1988","Completed","Public Park","Solow Building Co.","Davis, Brody & Associates","Davis, Brody & Associates","Public Park 4904.00 sf","Restricted Hours","Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Tables; Trees within Space; Water Feature","gate house at southeast corner; construction of ""Park/Overlook"" at termination of East 72nd Street",,"Full/Partial","40.766492","-73.952113","997515","218534","5","124","1000000","1014840016","Lenox Hill-Roosevelt Island","POINT (-73.952113 40.766492)"
"M010054","Manhattan","1","1","99","CHURCH STREET","10007","99 CHURCH STREET, New York, NY 10007","123","7502","30 Park Place","East side of Church Street between Park Place and Barclay Street","2017","Completed","Public Plaza","Silverstein Properties","Robert A.M. Stern","SLCE Architects and Lee Weintraub, Landscape Architect","Public Plaza 8403.00 sf","24 Hours","Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees within Space; Water Feature",,,"Full/Partial","40.712776","-74.009036","981745","198960","1","21","1089428","1001237502","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-74.009036 40.712776)"
"M050003","Manhattan","1","5","767","FIFTH AVENUE","10153","767 FIFTH AVENUE, New York, NY 10153","1294","1","General Motors Building","East side of Fifth Avenue between East 58th and 59th Streets","1968","Completed","Arcade; Plaza",,"Edward Durell Stone","Edward Durell Stone; Thomas Balsley Associates (for alteration in 1999); Moed de Armas & Shannon Architects P.C. (for alteration in 2004 and 2011); MPFP & Mathews Nielsen (for design change and reduction in 2017)","Arcade 1971.00 sf; Plaza 19730.00 sf","24 Hours","Artwork; Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees within Space; Water Feature",,,"Full/Partial","40.763609","-73.972435","991886","217481","4","112.02","1036082","1012940001","Midtown-Midtown South","POINT (-73.972435 40.763609)"
"M080039","Manhattan","1","8","171","EAST 84 STREET","10028","171 EAST 84 STREET, New York, NY 10028","1513","7501","Evans Tower","Northwest corner of Third Avenue and East 84th Street","1986","Completed","Residential Plaza","Legent Realty Co.","Philip Birnbaum","Philip Birnbaum; Thomas Balsley Associates","Residential Plaza 4249.74 sf","24 Hours","Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees within Space; Water Feature",,,"Full/Partial","40.777876","-73.955231","996649","222681","5","148.01","1047704","1015137501","Upper East Side-Carnegie Hill","POINT (-73.955231 40.777876)"
"M080033","Manhattan","1","8","900","PARK AVENUE","10075","900 PARK AVENUE, New York, NY 10075","1491","7501","Park 900","Northwest corner of Park Avenue and East 79th Street","1973","Completed","Plaza",,"Philip Birnbaum","Philip Birnbaum","Plaza 5076.00 sf","24 Hours","None",,,"Full/Partial","40.776088","-73.960695","995136","222029","4","142","1046471","1014917501","Upper East Side-Carnegie Hill","POINT (-73.960695 40.776088)"
"M070013","Manhattan","1","7","10","WEST 66 STREET","10023","10 WEST 66 STREET, New York, NY 10023","1118","22",,"South side of West 66th Street between Central Park West and Columbus Avenue","1969","Completed","Arcade; Plaza","Gettysburg Company","Ralph E. Leff","Ralph E. Leff","Arcade 530.41 sf; Plaza 9387.32 sf","24 Hours","None",,,"Full/Partial","40.772399","-73.979753","989858","220683","6","149","1028163","1011180022","Lincoln Square","POINT (-73.979753 40.772399)"
"M060029","Manhattan","1","6","780","THIRD AVENUE","10017","780 THIRD AVENUE, New York, NY 10017","1303","33",,"West side of Third Avenue between East 48th and 49th Streets","1984","Completed","Sidewalk Widening; Urban Plaza","Cohen Brothers; Cadillac Fairview","Skidmore, Owings & Merrill","Skidmore, Owings & Merrill","Sidewalk Widening 2882.00 sf; Urban Plaza 3745.50 sf","24 Hours","Lighting; Litter Receptacles; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,"None","40.755012","-73.971785","992067","214349","4","92","1036228","1013030033","Turtle Bay-East Midtown","POINT (-73.971785 40.755012)"
"M080023","Manhattan","1","8","300","EAST 74 STREET","10021","300 EAST 74 STREET, New York, NY 10021","1448","3",,"Southeast corner of Second Avenue and East 74th Street","1967","Completed","Plaza",,"H.I. Feldman","H.I. Feldman; Devon Architects, P.C. (for alteration in 2005)","Plaza 5960.00 sf","Restricted Hours","Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Seating",,,"Full/Partial","40.769607","-73.957212","996102","219668","5","126","1089033","1014480003","Lenox Hill-Roosevelt Island","POINT (-73.957212 40.769607)"
"M050065","Manhattan","1","5","3","PARK AVENUE","10016","3 PARK AVENUE, New York, NY 10016","889","7501","Three Park Avenue","Full blockfront on east side of Park Avenue between East 33rd and 34th Streets","1974","Completed","Arcade; Plaza",,"Shreve Lamb & Harmon","Shreve Lamb & Harmon","Arcade 2761.00 sf; Plaza 8862.00 sf","24 Hours","None",,,"Full/Partial","40.746511","-73.981075","989494","211251","2","72","1087537","1008897501","Murray Hill-Kips Bay","POINT (-73.981075 40.746511)"
"K020009","Brooklyn","3","2","203","JAY STREET","11201","203 JAY STREET, Brooklyn, NY 11201","107","7501",,"Building located on the east side of Jay Street between Concord Street and Nassau Street","0","Under Construction","Public Plaza",,,"Scape Landscape Architecture PLLC","Public Plaza 10405.00 sf","24 Hours","Artwork; Bicycle Parking; Drinking Fountain; Food Service; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,"Full/Partial","40.698099","-73.986566","987975","193613","33","13","3426023","3001077501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","POINT (-73.986566 40.698099)"
"M050102","Manhattan","1","5","151","WEST 54 STREET","10019","151 WEST 54 STREET, New York, NY 10019","1007","5","London Hotel","North side of West 54th Street between Sixth and Seventh Avenues. Additional lot: 1007/5, 58.","1990","Completed","Through Block Connection","William Zeckendorf, Jr.","Frank Williams & Associates","Frank Williams & Associates","Through Block Connection 3012.45 sf","Restricted Hours","Lighting; Plaque/Sign",,,"Full/Partial","40.763465","-73.980467","989661","217428","4","137","1069590","1010070005","Midtown-Midtown South","POINT (-73.980467 40.763465)"
"M010042","Manhattan","1","1","17","BATTERY PLACE","10004","17 BATTERY PLACE, New York, NY 10004","15","7501",,"Full blockfront on north side of Battery Plaza between Western Union International Plaza and West Street","1972","Completed","Arcade; Plaza",,"Morris Lapidus","Morris Lapidus","Arcade 6472.00 sf; Plaza 11534.37 sf","24 Hours","None",,,"Full/Partial","40.7056","-74.015837","979859","196346","1","13","1082634","1000157501","Battery Park City-Lower Manhattan","POINT (-74.015837 40.7056)"
"M080072","Manhattan","1","8","1520","YORK AVENUE","10028","1520 YORK AVENUE, New York, NY 10028","1577","1","Caldwell","Northeast corner of York Avenue and East 80th Street","1972","Completed","Plaza",,"Philip Birnbaum","Philip Birnbaum","Plaza 7385.52 sf","24 Hours","None",,,"Full/Partial","40.772184","-73.949394","998267","220608","5","136","1050869","1015770001","Yorkville","POINT (-73.949394 40.772184)"
"M050079","Manhattan","1","5","135","EAST 57 STREET","10022","135 EAST 57 STREET, New York, NY 10022","1312","15",,"Northwest corner of East 57th Street and Lexington Avenue","1987","Completed","Open Park Space; Plaza","Madison Lexington Venture","Kohn Pedersen Fox","Kohn Pedersen Fox; Thomas Balsley Associates (for Open Park Space, west of building)","Open Park Space 2500.00 sf; Plaza 4820.00 sf","24 Hours; Restricted Hours","Food Service; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Tables; Trees within Space; Water Feature","tempietto",,"Full/Partial","40.761387","-73.969367","992736","216672","4","112.03","1036904","1013120015","Turtle Bay-East Midtown","POINT (-73.969367 40.761387)"
"M050049","Manhattan","1","5","575","FIFTH AVENUE","10017","575 FIFTH AVENUE, New York, NY 10017","1282","7501",,"Southeast corner of East 47th Street and Fifth Avenue","1983","Completed","Covered Pedestrian Space","575 Fifth Associates","Emery Roth & Sons","Emery Roth & Sons; Gensler and Moed de Armas & Shannon Architects (for alteration in 2007)","Covered Pedestrian Space 3442.00 sf","Restricted Hours","Artwork; Climate Control; Drinking Fountain; Food Service; Lighting; Planting; Plaque/Sign; Restrooms; Retail Frontage; Seating; Tables",,"Other Permitted","Full/Partial","40.756268","-73.978242","990278","214806","4","94","1035407","1012827501","Midtown-Midtown South","POINT (-73.978242 40.756268)"
"M050015","Manhattan","1","5","590","MADISON AVENUE","10022","590 MADISON AVENUE, New York, NY 10022","1292","15",,"Southwest corner of East 57th Street and Madison Avenue","1982","Completed","Arcade; Covered Pedestrian Space; Seating Area; Through Block Arcade; Urban Plaza",,"Edward Larrabee Barnes","Edward Larrabee Barnes; Zion and Breen; Robert A. M. Stern (for alteration in 1995)","Arcade 1851.00 sf; Covered Pedestrian Space 8261.00 sf; Seating Area 0.00 sf; Through Block Arcade 4669.00 sf; Urban Plaza 1821.00 sf","24 Hours; Closing for Events; Restricted Hours","Artwork; Food Service; Lighting; Litter Receptacles; None; Other Required; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature","access from 8:00 am to 10:00 pm from Through Block Arcade to passageway connecting to adjacent Trump Tower and to Fifth Avenue",,"Full/Partial","40.762105","-73.973042","991718","216933","4","112.02","1035778","1012920015","Midtown-Midtown South","POINT (-73.973042 40.762105)"
"M080037","Manhattan","1","8","178","EAST 80 STREET","10075","178 EAST 80 STREET, New York, NY 10075","1508","38","Kenilworth","South side of East 80th Street between Third and Lexington Avenues","1972","Completed","Plaza","Kalikow Construction Corp.","Philip Birnbaum","Philip Birnbaum","Plaza 3655.00 sf","24 Hours","None",,,"Full/Partial","40.77489","-73.95736","996060","221593","5","140","1047479","1015080038","Upper East Side-Carnegie Hill","POINT (-73.95736 40.77489)"
"M060065","Manhattan","1","6","866","SECOND AVENUE","10017","866 SECOND AVENUE, New York, NY 10017","1339","7501","Dag Hammarskjold Plaza","East side of Second Avenue between East 46th and 47th Streets","1971","Completed","Arcade","Harry Macklowe","Raymond & Rado and Partners","Raymond & Rado and Partners","Arcade 2042.00 sf","24 Hours","None",,,"Full/Partial","40.752483","-73.96992","992584","213428","4","90","1038896","1013397501","Turtle Bay-East Midtown","POINT (-73.96992 40.752483)"
"M050031","Manhattan","1","5","51","WEST 52 STREET","10019","51 WEST 52 STREET, New York, NY 10019","1268","1","CBS","East Side of Sixth Avenue between West 52nd and 53rd Streets","1965","Completed","Plaza",,"Eero Saarinen/Kevin Roche John Dinkeloo and Associates","Eero Saarinen/Kevin Roche John Dinkeloo and Associates","Plaza 10731.60 sf","24 Hours","None",,,"Full/Partial","40.761227","-73.978746","990138","216613","4","104","1081406","1012680001","Midtown-Midtown South","POINT (-73.978746 40.761227)"
"M060030","Manhattan","1","6","800","THIRD AVENUE","10022","800 THIRD AVENUE, New York, NY 10022","1304","33",,"West side of Third Avenue between East 49th and 50th Streets","1972","Completed","Arcade; Plaza","Cohen, Levy & Wohl","Emery Roth & Sons","Emery Roth & Sons","Arcade 1626.67 sf; Plaza 6739.25 sf","24 Hours","None",,,"Full/Partial","40.755635","-73.971355","992186","214576","4","100","1036446","1013040033","Turtle Bay-East Midtown","POINT (-73.971355 40.755635)"
"M080051","Manhattan","1","8","200","EAST 90 STREET","10128","200 EAST 90 STREET, New York, NY 10128","1535","3",,"Southeast corner of Third Avenue and East 90th Street","1974","Completed","Plaza",,"Schuman, Lichtenstein, Claman & Efron","Schuman, Lichtenstein, Claman & Efron","Plaza 5937.71 sf","24 Hours","None",,,"Full/Partial","40.78099","-73.951976","997550","223816","5","154","1048876","1015350003","Yorkville","POINT (-73.951976 40.78099)"
"M020006","Manhattan","1","2","246","SPRING STREET","10013","246 SPRING STREET, New York, NY 10013","491","7503","The Dominick","Southeast corner of Varick and Spring Streets","2010","Completed","Arcade; Urban Plaza","Bayrock/Sapir Organization, LLC and Trump Luxury Real Estate","Handel Architects","Mathews Nielsen","Arcade 8616.00 sf; Urban Plaza 1731.00 sf","24 Hours","Lighting; Litter Receptacles; None; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space","green screen",,"None","40.725306","-74.005408","982751","203525","3","37","1088431","1004917503","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-74.005408 40.725306)"
"M050108","Manhattan","1","5","11","WEST 53 STREET","10019","11 WEST 53 STREET, New York, NY 10019","1269","20","Museum of Modern Art","North side of West 53rd Street between Fifth Avenue and Avenue of the Americas. Additional lots: 1269/11,12,13,14,20,58,165.","2004","Completed","Building Entrance Recess Areas; Through Block Lobby",,"Taniguchi and Associates","Taniguchi and Associates","Building Entrance Recess Areas 0.00 sf; Through Block Lobby 0.00 sf","Closing for Events; Restricted Hours","Artwork",,,"Full/Partial","40.761276","-73.976742","990693","216631","4","104","1081128","1012690020","Midtown-Midtown South","POINT (-73.97674200000002 40.761276)"
