"manhattan_condominiums_comparable_properties_boro_block_lot","manhattan_condominiums_comparable_properties_condo_section","manhattan_condominiums_comparable_properties_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","manhattan_condominiums_comparable_properties_neighborhood","manhattan_condominiums_comparable_properties_building_classification","manhattan_condominiums_comparable_properties_total_units","manhattan_condominiums_comparable_properties_year_built","manhattan_condominiums_comparable_properties_gross_sqft","manhattan_condominiums_comparable_properties_estimated_gross_income","manhattan_condominiums_comparable_properties_gross_income_per_sqft","manhattan_condominiums_comparable_properties_estimated_expense","manhattan_condominiums_comparable_properties_expense_per_sqft","manhattan_condominiums_comparable_properties_net_operating_income","manhattan_condominiums_comparable_properties_full_market_value","manhattan_condominiums_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_condo_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_condo_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_condo_in_miles"
"1-01171-7501","1058-R1","200 RIVERSIDE BOULEVARD","1","10069","40.779031","-73.988229","7","6","155","1085722","1011717501","Lincoln Square                                                             ","UPPER WEST SIDE (59-79)","R4-CONDOMINIUM","372","1997","512280","22673513","44.26","5609466","10.95","17064047","124320032","242.68","1-01171-0132","160 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","D6-ELEVATOR","459","1999","524466","23826702","45.43","5302879","10.11","18523823","139350000","265.7","0","1-01171-0133","140 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","D8-ELEVATOR","357","2002","367786","16276949","44.26","4117857","11.2","12159092","91546000","248.91","0","1-01139-0001","145 WEST 67 STREET","UPPER WEST SIDE (59-79)","D8-ELEVATOR","453","1986","568,001","25,139,281","44.26","6,219,744","10.95","18,919,537","142,445,000","250.78","0.46"
"1-01171-7502","1262-R1","220 RIVERSIDE BOULEVARD","1","10069","40.77969","-73.987882","7","6","159","1086065","1011717502","Lincoln Square                                                             ","UPPER WEST SIDE (59-79)","R4-CONDOMINIUM","422","2000","602694","26675236","44.26","6750173","11.2","19925063","146299972","242.74","1-01171-0132","160 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","D6-ELEVATOR","459","1999","524466","23826702","45.43","5302879","10.11","18523823","139350000","265.7","0","1-01139-0001","145 WEST 67 STREET","UPPER WEST SIDE (59-79)","D8-ELEVATOR","453","1986","568001","25139281","44.26","6219744","10.95","18919537","142445000","250.78","0.46","1-01171-0133","140 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","D8-ELEVATOR","357","2002","367,786","16,276,949","44.26","4,117,857","11.2","12,159,092","91,546,000","248.91","0"
"1-01171-7503","1401-R1","240 RIVERSIDE BOULEVARD","1","10069","40.780478","-73.987337","7","6","159","1087072","1011717503","Lincoln Square                                                             ","UPPER WEST SIDE (59-79)","R4-CONDOMINIUM","167","2004","322204","14260749","44.26","3608685","11.2","10652064","78319977","243.08","1-01171-0133","140 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","D8-ELEVATOR","357","2002","367786","16276949","44.26","4117857","11.2","12159092","91546000","248.91","0","1-01084-0025","511 WEST 55 STREET","CLINTON","D8-ELEVATOR","375","2002","390953","15512917","39.68","4605726","11.78","10907191","82455000","210.91","0.56","1-01118-9001","139 COLUMBUS AVENUE","UPPER WEST SIDE (59-79)","D8-ELEVATOR","325","1974","301,000","13,972,420","46.42","4,611,320","15.32","9,361,100","70,374,000","233.8","0.65"
"1-01171-7504","1463-R1","120 RIVERSIDE BOULEVARD","1","10069","40.776674","-73.98923","7","6","151","1086247","1011717504","Lincoln Square                                                             ","UPPER WEST SIDE (59-79)","R4-CONDOMINIUM","277","2004","263003","11640513","44.26","2945634","11.2","8694879","63910037","243","1-01171-0133","140 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","D8-ELEVATOR","357","2002","367786","16276949","44.26","4117857","11.2","12159092","91546000","248.91","0","1-01105-0029","839 11 AVENUE","CLINTON","D6-ELEVATOR","601","2003","375121","18981691","50.6","5038018","13.43","13943673","64631000","172.29","0.39","1-01118-9001","139 COLUMBUS AVENUE","UPPER WEST SIDE (59-79)","D8-ELEVATOR","325","1974","301,000","13,972,420","46.42","4,611,320","15.32","9,361,100","70,374,000","233.8","0.65"
"1-01171-7505","1807-R1","100 RIVERSIDE BOULEVARD","1","10069","40.776045","-73.989685","7","6","151","1087705","1011717505","Lincoln Square                                                             ","UPPER WEST SIDE (59-79)","R4-CONDOMINIUM","266","2006","388033","17174341","44.26","4345970","11.2","12828371","94270003","242.94","1-01171-0133","140 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","D8-ELEVATOR","357","2002","367786","16276949","44.26","4117857","11.2","12159092","91546000","248.91","0","1-01084-0025","511 WEST 55 STREET","CLINTON","D8-ELEVATOR","375","2002","390953","15512917","39.68","4605726","11.78","10907191","82455000","210.91","0.56","1-01171-0129","180 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","D6-ELEVATOR","523","1998","589,670","19,481,001","33.04","5,222,503","8.86","14,258,498","105,995,000","179.75","0"
"1-01171-7506","1988-R1","33 WEST END AVENUE","1","10023","40.77293","-73.989501","7","6","151","1087589","1011717506","Lincoln Square                                                             ","UPPER WEST SIDE (59-79)","RR-CONDOMINIUM","319","2006","287900","6595000","22.91","1763000","6.12","4832000","33166000","115.2","1-01171-0133","140 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","D8-ELEVATOR","357","2002","367786","16276949","44.26","4117857","11.2","12159092","91546000","248.91","0","1-01152-0013","229 WEST 60 STREET","UPPER WEST SIDE (59-79)","D6-ELEVATOR","302","2007","288000","12179520","42.29","3936960","13.67","8242560","62194000","215.95","0.38","1-01118-9001","139 COLUMBUS AVENUE","UPPER WEST SIDE (59-79)","D8-ELEVATOR","325","1974","301,000","13,972,420","46.42","4,611,320","15.32","9,361,100","70,374,000","233.8","0.65"
"1-01171-7507","1992-R1","80 RIVERSIDE BOULEVARD","1","10069","40.775485","-73.99023","7","6","151","1087720","1011717507","Lincoln Square                                                             ","UPPER WEST SIDE (59-79)","R4-CONDOMINIUM","271","2006","572768","25688645","44.85","6031247","10.53","19657398","147944993","258.3","1-01171-0132","160 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","D6-ELEVATOR","459","1999","524466","23826702","45.43","5302879","10.11","18523823","139350000","265.7","0","1-01139-0001","145 WEST 67 STREET","UPPER WEST SIDE (59-79)","D8-ELEVATOR","453","1986","568001","25139281","44.26","6219744","10.95","18919537","142445000","250.78","0.46",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01179-7501","0411-R1","165 WEST END AVENUE","1","10023","40.777093","-73.986467","7","6","155","1070746","1011797501","Lincoln Square                                                             ","UPPER WEST SIDE (59-79)","R9-CONDOMINIUM","403","1962","421100","16587129","39.39","6358610","15.1","10228519","53680000","127.48","1-01118-9001","139 COLUMBUS AVENUE","UPPER WEST SIDE (59-79)","D8-ELEVATOR","325","1974","301000","13972420","46.42","4611320","15.32","9361100","70374000","233.8","0.48","1-01171-0129","180 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","D6-ELEVATOR","523","1998","589670","19481001","33.04","5222503","8.86","14258498","105995000","179.75","0.25",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01179-7502","0412-R1","185 WEST END AVENUE","1","10023","40.777722","-73.986009","7","6","155","1070754","1011797502","Lincoln Square                                                             ","UPPER WEST SIDE (59-79)","R9-CONDOMINIUM","432","1962","383760","15116306","39.39","5794776","15.1","9321530","48950000","127.55","1-01118-9001","139 COLUMBUS AVENUE","UPPER WEST SIDE (59-79)","D8-ELEVATOR","325","1974","301000","13972420","46.42","4611320","15.32","9361100","70374000","233.8","0.48","1-01030-0058","240 CENTRAL PARK SOUTH","MIDTOWN WEST","D6-ELEVATOR","340","1940","387428","14066581","36.31","5333606","13.77","8732975","64383000","166.18","0.81",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01179-7503","0413-R1","205 WEST END AVENUE","1","10023","40.778573","-73.986377","7","6","155","1070766","1011797503","Lincoln Square                                                             ","UPPER WEST SIDE (59-79)","R9-CONDOMINIUM","543","1962","533710","21022837","39.39","8059021","15.1","12963816","92850000","173.97","1-01171-0129","180 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","D6-ELEVATOR","523","1998","589670","19481001","33.04","5222503","8.86","14258498","105995000","179.75","0.25","1-01118-9001","139 COLUMBUS AVENUE","UPPER WEST SIDE (59-79)","D8-ELEVATOR","325","1974","301000","13972420","46.42","4611320","15.32","9361100","70374000","233.8","0.48",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01182-7501","0547-R1","235 WEST END AVENUE","1","10023","40.778981","-73.985091","7","6","159","1076239","1011827501","Lincoln Square                                                             ","UPPER WEST SIDE (59-79)","R4-CONDOMINIUM","148","1930","152076","6010044","39.52","1961780","12.9","4048264","30607999","201.27","1-01158-0033","212 AMSTERDAM AVENUE","UPPER WEST SIDE (59-79)","D6-ELEVATOR","233","1926","160049","6325208","39.52","2064037","12.9","4261171","32218000","201.3","0.19","1-01162-0046","228 WEST 71 STREET","UPPER WEST SIDE (59-79)","D5-ELEVATOR","170","1917","106920","5128337","47.96","1655073","15.48","3473264","26081000","243.93","0.14","1-01124-0059","50 WEST 72 STREET","UPPER WEST SIDE (59-79)","D7-ELEVATOR","213","1927","143,791","5,072,576","35.28","1,698,857","11.81","3,373,719","24,948,000","173.5","0.49"
"1-01184-7501","1631-R1","22 RIVERSIDE DRIVE","1","10023","40.78213","-73.984917","7","6","163","1030996","1011847501","Upper West Side                                                            ","UPPER WEST SIDE (59-79)","R4-CONDOMINIUM","25","1931","45968","1431903","31.15","356712","7.76","1075191","5863003","127.55","1-01184-0089","306 WEST 75 STREET","UPPER WEST SIDE (59-79)","D1-ELEVATOR","30","1920","20130","627145","31.15","156190","7.76","470955","3517000","174.71","0","1-01183-0022","325 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7-ELEVATOR","29","1920","21960","604461","27.53","196108","8.93","408353","2944000","134.06","0.16","1-01184-0002","2 RIVERSIDE DRIVE","UPPER WEST SIDE (59-79)","D1-ELEVATOR","24","1963","12,656","417,697","33","144,421","11.41","273,276","2,032,000","160.56","0.1"
"1-01197-7501","0334-R1","20 WEST 84 STREET","1","10024","40.784306","-73.971101","7","6","169","1031254","1011977501","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","37","1924","55226","1721394","31.17","552812","10.01","1168582","7040006","127.48","1-01199-0001","519 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","D7-ELEVATOR","38","1907","47765","1940214","40.62","659635","13.81","1280579","9674000","202.53","0.1","1-01212-0053","150 WEST 82 STREET","UPPER WEST SIDE (79-96)","D3-ELEVATOR","60","1926","49977","1371767","27.45","414569","8.3","957198","6902000","138.1","0.2",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01198-7501","0675-R1","74 WEST 85 STREET","1","10024","40.78541","-73.971754","7","6","169","1031337","1011987501","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R2-CONDOMINIUM","10","1910","9075","309548","34.11","95560","10.53","213988","1110995","122.42","1-01198-0015","29 WEST 84 STREET","UPPER WEST SIDE (79-96)","C5-WALK-UP","18","1900","11988","356306","29.72","97674","8.15","258632","1938000","161.66","0","1-01197-0064","489 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","C7-WALK-UP","18","1910","10197","443647","43.51","119421","11.71","324226","1710000","167.7","0.05",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01198-7502","0909-R1","76 WEST 85 STREET","1","10024","40.785429","-73.971797","7","6","169","1031338","1011987502","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","52","1900","39438","1441459","36.55","458664","11.63","982795","7241001","183.6","1-01199-0001","519 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","D7-ELEVATOR","38","1907","47765","1940214","40.62","659635","13.81","1280579","9674000","202.53","0.05","1-01199-0061","531 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","D7-ELEVATOR","33","1910","47765","2535296","53.08","433157","9.07","2102139","15600000","326.6","0.05","1-01228-0013","2242 BROADWAY","UPPER WEST SIDE (79-96)","D6-ELEVATOR","49","1905","45,640","1,668,070","36.55","530,568","11.63","1,137,502","8,381,000","183.63","0.36"
"1-01199-7502","0481-R1","28 WEST 86 STREET","1","10024","40.785876","-73.970746","7","6","169","1083854","1011997502","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","20","1910","28600","929500","32.5","172744","6.04","756756","4399980","153.85","1-01199-0001","519 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","D7-ELEVATOR","38","1907","47765","1940214","40.62","659635","13.81","1280579","9674000","202.53","0","1-01200-0043","20 WEST 87 STREET","UPPER WEST SIDE (79-96)","D1-ELEVATOR","16","1910","17046","497150","29.17","114076","6.69","383074","2874000","168.6","0.06","1-01203-0031","293 CENTRAL PARK WEST","UPPER WEST SIDE (79-96)","D9-ELEVATOR","35","1925","21,960","775,354","35.31","250,357","11.4","524,997","3,882,000","176.78","0.21"
"1-01202-7501","0692-R1","279 CENTRAL PARK WEST","1","10024","40.786693","-73.968327","7","6","173","1031513","1012027501","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","36","1988","115502","5214915","45.15","1345598","11.65","3869317","29115002","252.07","1-01200-0011","37 WEST 86 STREET","UPPER WEST SIDE (79-96)","D9-ELEVATOR","167","1927","104893","3684295","35.12","1275171","12.16","2409124","17820000","169.89","0.1","1-01220-0029","60218 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","D6-ELEVATOR","170","1986","175436","9678460","55.17","1954109","11.14","7724351","57619000","328.43","0.17",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01203-7501","1000-R1","30 WEST 90 STREET","1","10024","40.78842","-73.968806","7","6","173","1031581","1012037501","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","47","1927","39942","1354433","33.91","348294","8.72","1006139","5092993","127.51","1-01203-0031","293 CENTRAL PARK WEST","UPPER WEST SIDE (79-96)","D9-ELEVATOR","35","1925","21960","775354","35.31","250357","11.4","524997","3882000","176.78","0","1-01199-0001","519 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","D7-ELEVATOR","38","1907","47765","1940214","40.62","659635","13.81","1280579","9674000","202.53","0.21",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01203-7502","1008-R1","291 CENTRAL PARK WEST","1","10024","40.787434","-73.967781","7","6","173","1031567","1012037502","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","11","1960","19902","763839","38.38","216733","10.89","547106","3156997","158.63","1-01196-0003","465 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","D6-ELEVATOR","21","1988","19303","799945","41.44","200368","10.38","599577","4527000","234.52","0.36","1-01199-0001","519 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","D7-ELEVATOR","38","1907","47765","1940214","40.62","659635","13.81","1280579","9674000","202.53","0.21",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01206-7501","1257-R1","327 CENTRAL PARK WEST","1","10025","40.789792","-73.966491","7","6","177","1031638","1012067501","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","85","1929","130259","4536921","34.83","1359904","10.44","3177017","23513999","180.52","1-01203-0031","293 CENTRAL PARK WEST","UPPER WEST SIDE (79-96)","D9-ELEVATOR","35","1925","21960","775354","35.31","250357","11.4","524997","3882000","176.78","0.15","1-01221-0029","620 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","D7-ELEVATOR","238","1986","239598","8230191","34.35","2882364","12.03","5347827","39619000","165.36","0.2",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01209-7501","0839-R1","353 CENTRAL PARK WEST","1","10025","40.791213","-73.965024","7","6","181","1031724","1012097501","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","18","1991","53656","2366766","44.11","698065","13.01","1668701","10238023","190.81","1-01868-0020","2560 BROADWAY","UPPER WEST SIDE (96-116)","D7-ELEVATOR","33","1925","53305","2351194","44.11","693446","13.01","1657748","12483000","234.18","0.3","1-01243-0042","2552 BROADWAY","UPPER WEST SIDE (79-96)","D7-ELEVATOR","52","1921","43340","2819883","65.06","831441","19.18","1988442","14719000","339.62","0.29","1-01868-0044","2568 BROADWAY","UPPER WEST SIDE (96-116)","D7-ELEVATOR","31","1910","57,300","2,252,918","39.32","802,569","14.01","1,450,349","10,968,000","191.41","0.3"
"1-01210-7501","0204-R1","402 COLUMBUS AVENUE","1","10024","40.782117","-73.975374","7","6","165","1031798","1012107501","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","147","1986","215942","9112752","42.2","2751101","12.74","6361651","48005006","222.31","1-01170-0012","2200 BROADWAY","UPPER WEST SIDE (59-79)","D6-ELEVATOR","117","1905","202586","6767501","33.41","2053654","10.14","4713847","35013000","172.83","0.14","1-01228-0061","424 WEST END AVENUE","UPPER WEST SIDE (79-96)","D8-ELEVATOR","235","1982","288631","13190917","45.7","3285337","11.38","9905580","74506000","258.14","0.23","1-01167-0011","2139 BROADWAY","UPPER WEST SIDE (59-79)","D6-ELEVATOR","224","1901","224,803","9,487,411","42.2","2,864,467","12.74","6,622,944","49,977,000","222.31","0.3"
"1-01210-7502","0669-R1","186 WEST 80 STREET","1","10024","40.783674","-73.977478","7","6","165","1082723","1012107502","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","91","1920","60653","2905885","47.91","626545","10.33","2279340","15749994","259.67","1-01210-0033","410 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","D7-ELEVATOR","52","1900","65814","4014679","61","1075546","16.34","2939133","21810000","331.39","0","1-01228-0013","2242 BROADWAY","UPPER WEST SIDE (79-96)","D6-ELEVATOR","49","1905","45640","1668070","36.55","530568","11.63","1137502","8381000","183.63","0.14",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01212-7501","0036-R1","101 WEST 81 STREET","1","10024","40.783432","-73.974958","7","6","165","1032052","1012127501","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R9-CONDOMINIUM","134","1900","148751","5838477","39.25","1929300","12.97","3909177","29561000","198.73","1-01129-0059","52 WEST 77 STREET","UPPER WEST SIDE (59-79)","D6-ELEVATOR","149","1903","113309","4874560","43.02","1589441","14.03","3285119","24756000","218.48","0.31","1-01232-0014","2326 BROADWAY","UPPER WEST SIDE (79-96)","D6-ELEVATOR","129","1925","104810","4113341","39.25","1359844","12.97","2753497","20822000","198.66","0.2","1-01170-0012","2200 BROADWAY","UPPER WEST SIDE (59-79)","D6-ELEVATOR","117","1905","202,586","6,767,501","33.41","2,053,654","10.14","4,713,847","35,013,000","172.83","0.2"
"1-01213-7503","0512-R1","125 WEST 82 STREET","1","10024","40.784293","-73.974968","7","6","169","1070806","1012137503","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","36","1912","35516","1064770","29.98","254650","7.17","810120","5955000","167.67","1-01212-0053","150 WEST 82 STREET","UPPER WEST SIDE (79-96)","D3-ELEVATOR","60","1926","49977","1371767","27.45","414569","8.3","957198","6902000","138.1","0.05","1-01228-0013","2242 BROADWAY","UPPER WEST SIDE (79-96)","D6-ELEVATOR","49","1905","45640","1668070","36.55","530568","11.63","1137502","8381000","183.63","0.16",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01213-7504","0722-R1","107 WEST 82 STREET","1","10024","40.78414","-73.9746","7","6","169","1081465","1012137504","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R9-CONDOMINIUM","59","1900","48846","1584076","32.43","544633","11.15","1039443","7736000","158.38","1-01453-0035","334 EAST 79 STREET","UPPER EAST SIDE (59-79)","D9-ELEVATOR","46","1920","27124","998731","36.82","270162","9.96","728569","5365000","197.8","1.39","1-01467-0018","425 EAST 72 STREET","UPPER EAST SIDE (59-79)","D9-ELEVATOR","49","1938","57375","1195707","20.84","223277","3.89","972430","6570000","114.51","1.59",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01213-7506","1455-R1","164 WEST 83 STREET","1","10024","40.785257","-73.975329","7","6","169","1087102","1012137506","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R2-CONDOMINIUM","10","1955","8563","296622","34.64","100273","11.71","196349","1455999","170.03","1-01213-0040","118 WEST 83 STREET","UPPER WEST SIDE (79-96)","C5-WALK-UP","21","1900","9905","343115","34.64","115953","11.71","227162","1362000","137.51","0","1-01213-0035","474 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","C7-WALK-UP","16","1900","10400","408145","39.24","89537","8.61","318608","2409000","231.63","0","1-01213-0034","472 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","C7-WALK-UP","16","1900","10,400","337,603","32.46","89,534","8.61","248,069","1,846,000","177.5","0"
"1-01216-7501","0391-R1","176 WEST 86 STREET","1","10024","40.787422","-73.974415","7","6","169","1070846","1012167501","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","47","1986","27600","974556","35.31","314640","11.4","659916","4879999","176.81","1-01196-0003","465 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","D6-ELEVATOR","21","1988","19303","799945","41.44","200368","10.38","599577","4527000","234.52","0.22","1-01203-0031","293 CENTRAL PARK WEST","UPPER WEST SIDE (79-96)","D9-ELEVATOR","35","1925","21960","775354","35.31","250357","11.4","524997","3882000","176.78","0.27","1-01200-0043","20 WEST 87 STREET","UPPER WEST SIDE (79-96)","D1-ELEVATOR","16","1910","17,046","497,150","29.17","114,076","6.69","383,074","2,874,000","168.6","0.18"
"1-01216-7502","0757-R1","110 WEST 86 STREET","1","10024","40.786656","-73.972602","7","6","169","1077848","1012167502","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","79","1929","88916","2995580","33.69","1246602","14.02","1748978","12984000","146.03","1-01200-0011","37 WEST 86 STREET","UPPER WEST SIDE (79-96)","D9-ELEVATOR","167","1927","104893","3684295","35.12","1275171","12.16","2409124","17820000","169.89","0.18","1-01217-0025","115 WEST 86 STREET","UPPER WEST SIDE (79-96)","D3-ELEVATOR","81","1931","83837","2824749","33.69","1069842","12.76","1754907","13028000","155.4","0.06","1-01216-0060","168 WEST 86 STREET","UPPER WEST SIDE (79-96)","D3-ELEVATOR","50","1923","100,042","2,835,051","28.34","895,398","8.95","1,939,653","13,951,000","139.45","0"
"1-01216-7503","1031-R1","160 WEST 86 STREET","1","10024","40.78731","-73.974144","7","6","169","1085582","1012167503","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","38","1998","70430","2568582","36.47","950805","13.5","1617777","11923000","169.29","1-01232-0014","2326 BROADWAY","UPPER WEST SIDE (79-96)","D6-ELEVATOR","129","1925","104810","4113341","39.25","1359844","12.97","2753497","20822000","198.66","0.14","1-01217-0025","115 WEST 86 STREET","UPPER WEST SIDE (79-96)","D3-ELEVATOR","81","1931","83837","2824749","33.69","1069842","12.76","1754907","13028000","155.4","0.06",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01219-7501","0242-R1","100 WEST 89 STREET","1","10024","40.788594","-73.971197","7","6","173","1032320","1012197501","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","108","1985","145070","5369041","37.01","1894614","13.06","3474427","25571996","176.27","1-01200-0019","21 WEST 86 STREET","UPPER WEST SIDE (79-96)","D7-ELEVATOR","157","1927","141498","4780943","33.79","1678225","11.86","3102718","23029000","162.75","0.2","1-01240-0052","2495 BROADWAY","UPPER WEST SIDE (79-96)","D6-ELEVATOR","146","2005","129000","6215220","48.18","1486080","11.52","4729140","35480000","275.04","0.29",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01220-7501","0252-R1","127 WEST 89 STREET","1","10024","40.78883","-73.971713","7","6","173","1032442","1012207501","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","47","1900","33570","1138359","33.91","292730","8.72","845629","5158990","153.68","1-01203-0031","293 CENTRAL PARK WEST","UPPER WEST SIDE (79-96)","D9-ELEVATOR","35","1925","21960","775354","35.31","250357","11.4","524997","3882000","176.78","0.17","1-01199-0001","519 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","D7-ELEVATOR","38","1907","47765","1940214","40.62","659635","13.81","1280579","9674000","202.53","0.27",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01220-7502","0521-R1","103 WEST 89 STREET","1","10024","40.788624","-73.971226","7","6","173","1070901","1012207502","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","13","1989","27389","967106","35.31","312235","11.4","654871","4841997","176.79","1-01196-0003","465 COLUMBUS AVENUE","UPPER WEST SIDE (79-96)","D6-ELEVATOR","21","1988","19303","799945","41.44","200368","10.38","599577","4527000","234.52","0.4","1-01203-0031","293 CENTRAL PARK WEST","UPPER WEST SIDE (79-96)","D9-ELEVATOR","35","1925","21960","775354","35.31","250357","11.4","524997","3882000","176.78","0.17","1-01200-0043","20 WEST 87 STREET","UPPER WEST SIDE (79-96)","D1-ELEVATOR","16","1910","17,046","497,150","29.17","114,076","6.69","383,074","2,874,000","168.6","0.23"
"1-01220-7503","0618-R1","107 WEST 89 STREET","1","10024","40.788659","-73.971309","7","6","173","1070900","1012207503","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","R4-CONDOMINIUM","26","1989","54778","2088685","38.13","678152","12.38","1410533","10675002","194.88","1-01309-0008","125 EAST 54 STREET","MIDTOWN CBD","D9-ELEVATOR","66","1977","56073","2703803","48.22","696287","12.42","2007516","15061000","268.6","2.04","1-01944-0036","2177 FRED DOUGLASS BOULEV","HARLEM-CENTRAL","D9-ELEVATOR","80","1989","54779","1535924","28.04","675153","12.33","860771","3795000","69.28","1.43",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
