"_2017_organization","project_address","project_title","council_district","community_board_1","_2017_award","postcode","borough","latitude","longitude","community_board_2","bin","bbl","nta"
"The Mott Hall School","71 Convent Avenue","STEAM Lab","Council
District 9 CM
Dickens","9","100000.00",,"Manhattan","40.815458","-73.952908","21703","1084067","1019570001","Manhattanville                                                             "
"NYS Office of Parks, Recreation and Historic Preservation, NYC Regional Office","163 West 125th Street, 17th Floor","Riverbank State Park Greenhouse","Council
District 7 CM
Levine","9","150000.00",,"Manhattan","40.808644","-73.947524","222","1081602","1019100001","Central Harlem South                                                       "
"The High School for Math, Science and Engineering @ CCNY","240 Convent Avenue","Rooftop Garden","Council
District 9 CM
Dickens","9","201000.00",,"Manhattan","40.82074","-73.949097","21703","1084085","1019570200","Manhattanville                                                             "
"Democracy Prep High School","212 West 120th Street","Bathroom Renovation","Council
District 9 CM
Dickens","10","175000.00",,"Manhattan","40.806063","-73.95134","220","1058447","1019250019","Central Harlem South                                                       "
"The New York Public Library","President's Office Stephen A. Schwarzman Building,  476 Fifth Avenue","Macomb's Bridge Library New Branch","Council
District 9 CM
Dickens","10","500000.00",,"Manhattan",,,,,,
"Mott Hall High School","6 Edgecombe Avenue, 4th Fl.","Classroom Technology Upgrade","Council
District 9 CM
Dickens","10","100000.00",,"Manhattan","40.817372","-73.947712","22102","1059460","1019600001","Central Harlem North-Polo Grounds                                          "
"Harlem Hospital","506 Lenox Avenue, 2nd Fl., Executive Suite","Medical Equipment Purchase","Council
District 9 CM
Dickens","10","85000.00",,"Manhattan","40.814358","-73.940659","212","1053899","1017330001","Central Harlem North-Polo Grounds                                          "
"P.S./M.S. 46 - The Arthur Tappan School","2987 - 8th Avenue","Classroom Technology Upgrade","Council
District 9 CM
Dickens","10","100000.00",,"Manhattan",,,,,,
"P.S. 76 - A. Philip Randolph Middle School","220 West 121 Street","Auditorium Restoration","Council
District 9 CM
Dickens","10","165000.00",,"Manhattan","40.806768","-73.951061","220","1058470","1019260017","Central Harlem South                                                       "
"C.S. 154 - Harriet Tubman Learning Center","250 West 127th Street","Auditorium Projection System Installation","Council
District 9 CM
Dickens","10","36000.00",,"Manhattan","40.810928","-73.948938","224","1058671","1019320010","Central Harlem North-Polo Grounds                                          "
"P.S. 175 - Henry Highland Garnet Elementary School","175 West 134th Street","Gymnasium Upgrade","Council
District 9 CM
Dickens","10","370000.00",,"Manhattan","40.814422","-73.943664","228","1058248","1019190006","Central Harlem North-Polo Grounds                                          "
"P.S./I.S. 180 - The Hugo Newman College Preparatory School","370 West 120th Street","Hydroponic and STEEM Lab","Council
District 9 CM
Dickens","10","107000.00",,"Manhattan","40.807843","-73.955569","257","1059111","1019460001","Central Harlem South                                                       "
"P.S. 194M - Countee Cullen School","244 West 144 Street","Library Upgrade","Council
District 9 CM
Dickens","10","275000.00",,"Manhattan","40.821535","-73.940941","232","1060432","1020290011","Central Harlem North-Polo Grounds                                          "
"P.S. 197 - John B. Russwurm School","2230 Fifth Avenue","Hydroponics Learning Infrastructure","Council
District 9 CM
Dickens","10","100000.00",,"Manhattan","40.813184","-73.937322","212","1076433","1017330017","Central Harlem North-Polo Grounds                                          "
"P.S. 242 - The Young Diplomats Magnet Academy","134 W 122nd Street","Classroom Technology Upgrade","Council
District 9 CM
Dickens","10","100000.00",,"Manhattan","40.8063","-73.948013","220","1057683","1019060011","Central Harlem South                                                       "
"P.S. 811 - Mickey Mantle School","34 West 118th Street","Schoolyard renovation and Garden","Council
District 9 CM
Dickens","10","250000.00",,"Manhattan","40.80247","-73.946716","190","1051434","1016010001","Central Harlem South                                                       "
"The Eagle Academy for Young Men of Harlem","6 Edgecombe Avenue","Internet Upgrade","Council
District 9 CM
Dickens","10","140000.00",,"Manhattan","40.817372","-73.947712","22102","1059460","1019600001","Central Harlem North-Polo Grounds                                          "
"Thurgood Marshall Academy Lower School","282 West 151st Street","Classroom Technology Upgrade","Council
District 9 CM
Dickens","10","100000.00",,"Manhattan","40.826164","-73.938075","236","1060597","1020360049","Central Harlem North-Polo Grounds                                          "
"The Frederick Douglass Academy I","2581 Adam Clayton Powell Jr. Blvd.","Digital Media and the Arts Auditorium","Council
District 9 CM
Dickens","10","100000.00",,"Manhattan","40.824319","-73.93712","236","1060198","1020160100","Central Harlem North-Polo Grounds                                          "
"Central Park East High School","1573 Madison Avenue","Classroom Technology Upgrade","Council District 8 CM Mark- Viverito","11","100000.00",,"Manhattan","40.793763","-73.949381","17401","1051515","1016120050","East Harlem South                                                          "
"Renaissance School of the Arts","319 East 117th  Street","Classroom Technology Upgrade","Council District 8 CM Mark- Viverito","11","100000.00",,"Manhattan","40.797302","-73.936365","188","1052986","1016890005","East Harlem North                                                          "
"P.S. 30M - Rafael Hernandez/Langston Hughes School","144 - 176 E. 128th Street","Mobile STEM Labs","Council
District 9 CM
Dickens","11","100000.00",,"Manhattan","40.805953","-73.935179","242","1054502","1017760020","East Harlem North                                                          "
"P.S. 38 - Roberto Clemente School","232 East 103rd Street","Classroom Technology Upgrade","Council District 8 CM Mark- Viverito","11","100000.00",,"Manhattan","40.788952","-73.944538","164","1052384","1016520016","East Harlem South                                                          "
"P.S./M.S. 050 - Vito Marcantonio School","433 East 100th Street","Auditorium Upgrade","Council District 8 CM Mark- Viverito","11","300000.00",,"Manhattan","40.785258","-73.941526","162","1083933","1016940001","East Harlem South                                                          "
"The Lexington Academy - 04M072","131 East 104th Street","Hydroponics Learning Infrastructure","Council District 8 CM Mark- Viverito","11","100000.00",,"Manhattan","40.791179","-73.947776","166","1081340","1016320011","East Harlem South                                                          "
"P.S. 83 - Luis Munoz Rivera School","219 East 109th Street","Classroom Technology Upgrade","Council District 8 CM Mark- Viverito","11","100000.00",,"Manhattan","40.793194","-73.942548","180","1052436","1016590012","East Harlem North                                                          "
"P.S./M.S. 096 - Joseph Lanzetta School","216 East 120th Street","Electrical Upgrade","Council District 8 CM Mark- Viverito","11","100000.00",,"Manhattan","40.800256","-73.937558","194","1074333","1017840012","East Harlem North                                                          "
"P.S. 102 - Jacques Cartier School","315 East 113th Street","Playground Upgrade","Council District 8 CM Mark- Viverito","11","100000.00",,"Manhattan","40.794872","-73.938719","180","1081366","1016840101","East Harlem North                                                          "
"P.S. 108 - Assemblyman Angelo Del Toro Educational Complex School","1615 Madison Avenue","Classroom Technology Upgrade","Council District 8 CM Mark- Viverito","11","100000.00",,"Manhattan","40.795146","-73.948368","17401","1051584","1016140021","East Harlem South                                                          "
"P.S. 155 - William Paca School","319 East 117th  Street","Classroom Technology Upgrade","Council District 8 CM Mark- Viverito","11","100000.00",,"Manhattan","40.797302","-73.936365","188","1052986","1016890005","East Harlem North                                                          "
"P.S./I.S. 171 - Patrick Henry Preparatory School","19 East 103 Street","Classroom Technology Upgrade","Council
District 8 CM Mark- Viverito","11","100000.00",,"Manhattan","40.792122","-73.951961","168","1051497","1016090007","East Harlem South                                                          "
"P.S. 182 - The Bilingual Bicultural Mini School","219 East 109th Street","Classroom Technology Upgrade","Council District 8 CM Mark- Viverito","11","100000.00",,"Manhattan","40.793194","-73.942548","180","1052436","1016590012","East Harlem North                                                          "
"P.S. 206 - Jose Celso Barbosa School","508 East 120th Street","Auditorium Upgrade","Council District 8 CM Mark- Viverito","11","200000.00",,"Manhattan","40.797467","-73.930868","192","1084005","1018160001","East Harlem North                                                          "
"P.S. 375 - Mosaic Preparatory Academy","141 East 111th Street","STEM Lab","Council District 8 CM Mark- Viverito","11","100000.00",,"Manhattan","40.79564","-73.94441","172","1081346","1016390003","East Harlem South                                                          "
"Park East High School/East Harlem Pride","230 East 105th Street","Auditorium Upgrade","Council District 8 CM Mark- Viverito","11","60000.00",,"Manhattan","40.790543","-73.944356","170","1075643","1016540033","East Harlem South                                                          "
"Poor Richard's Park Playground","2095 Second Avenue","Poor Richard's Park Playground Renovation","Council District 8 CM Mark- Viverito","11","200000.00",,"Manhattan","40.792082","-73.94139","170","1052433","1016560100","East Harlem South                                                          "
"The Talented and Gifted School for Young Scholars","240 East 109th Street","Classroom Technology Upgrade","Council District 8 CM Mark- Viverito","11","100000.00",,"Manhattan","40.79307","-73.942303","170","1052433","1016560100","East Harlem South                                                          "
"Dyckman Farmhouse Museum Alliance","4881 Broadway @ 204th Street","ADA Ramp and Bathroom Upgrade","Council
District 10 - CM
Rodrigue
z","12","375000.00",,"Manhattan","40.867125","-73.92283","295","1075616","1022410035","Marble Hill-Inwood                                                         "
"JHS 052 - Inwood","650  Academy Street","Classroom Technology Upgrade","Council
District 10 - CM
Rodrigue
z","12","100000.00",,"Manhattan","40.866053","-73.924835","291","1076776","1022330020","Marble Hill-Inwood                                                         "
"M.S. 322","4600 Broadway","Urban Community Garden","Council
District 10 - CM
Rodrigue
z","12","100000.00",,"Manhattan","40.86079","-73.930672","285","1076756","1021720016","Washington Heights North                                                   "
"M.S. 324 - Patria Mirabal School","21 Jumel Place","Classroom Technology Upgrade","Council
District 10 - CM
Rodrigue
z","12","100000.00",,"Manhattan","40.839305","-73.936159","249","1076741","1021120058","Washington Heights South                                                   "
"P.S. 189M School","2580 Amsterdam Avenue","All Purpose Room Upgrade","Council
District 10 - CM
Rodrigue
z","12","75000.00",,"Manhattan","40.852631","-73.927604","277","1076750","1021590051","Washington Heights North                                                   "
"P.S. 4 - Duke Ellington Elementary School","500 West 160th Street","Classroom Technology Upgrade","Council
District 7 CM
Levine","12","100000.00",,"Manhattan","40.834899","-73.941085","245","1062792","1021180022","Washington Heights South                                                   "
"P.S. 28M - The Wright Brothers School","475 West 155th Street","Hydroponics Learning Infrastructure","Council
District 7 CM
Levine","12","100000.00",,"Manhattan","40.831227","-73.942143","239","1076739","1021070026","Washington Heights South                                                   "
"P.S. 48M - Michael J. Buczek School","4360 Broadway","Hydroponics Learning Infrastructure","Council
District 10 - CM
Rodrigue
z","12","100000.00",,"Manhattan","40.853466","-73.934048","271","1076752","1021670029","Washington Heights North                                                   "
"P.S. 115 - Alexander Humbolt School","586 West 177 Street","Classroom Technology Upgrade","Council
District 10 - CM
Rodrigue
z","12","100000.00",,"Manhattan","40.846542","-73.935205","261","1063228","1021330040","Washington Heights South                                                   "
"P.S. 152M - The Dyckman Valley School","93 Nagle Avenue","Classroom Technology Upgrade","Council
District 10 - CM
Rodrigue
z","12","100000.00",,"Manhattan","40.860412","-73.927936","283","1064149","1021730001","Washington Heights North                                                   "
"P.S. 173","306 Fort Washington Avenue","A+ Stem labs","Council
District 10 - CM
Rodrigue
z","12","100000.00",,"Manhattan","40.845469","-73.940468","263","1063503","1021420154","Washington Heights South                                                   "
"P.S. 178 - Professor Juan Bosch School","12-18 Ellwood Street","Classroom Technology Upgrade","Council
District 10 - CM
Rodrigue
z","12","100000.00",,"Manhattan","40.859243","-73.927792","283","1064128","1021710036","Washington Heights North                                                   "
"P.S./I.S. 187 - Hudson Cliffs School","349 Cabrini Boulevard","Rooftop Playground and Exterior Safety Fence","Council
District 10 - CM
Rodrigue
z","12","200000.00",,"Manhattan","40.856693","-73.937093","273","1064371","1021790365","Washington Heights North                                                   "
"P.S. 314 - Muscota New School","4862 Broadway","Classroom Technology Upgrade","Council
District 10 - CM
Rodrigue z","12","100000.00",,"Manhattan","40.866706","-73.923948","291","1064900","1022340007","Marble Hill-Inwood                                                         "
"Riverside Park","West 72nd Street to St. Clair Place","Riverside Park Facilities Upgrade","Council District 6 & 7 - CM
Helen Rosentha l, CM
Levine",,"250000.00",,"Manhattan",,,,,,
