"organization","project_title","project_address","community_board","council_district","fy18_award","postcode","borough","latitude","longitude","census_tract","bin","bbl","nta"
"New-York Historical Society","The Citizenship Project Gallery","170 Central Park West","CB7","CD6","250000.00",,"Manhattan","40.779265","-73.973743","161","1028816","1011290029","Upper West Side                                                            "
"Northern Manhattan Coalition for
Immigrant Rights","NMCIR Digital Classrooms","5030 Broadway,
Suite 639","CB12","CD10","49000.00",,"Manhattan","40.869034","-73.917275","303","1064883","1022310001","Marble Hill-Inwood                                                         "
"Nuyorican Poets Cafe Inc.","Nuyorican Poets Cafe Renovation Project","236 East 3rd
Street 10009","CB3","CD2","450000.00","10009","Manhattan","40.722274","-73.982048","2202","1004592","1003850023","Lower East Side                                                            "
"NYC Health + Hospitals /
Bellevue","NYC Health + Hospitals/ Bellevue Equipment
Needs","462 First Ave, New York, NY 10016","CB6","CD4","160000.00","10016","Manhattan","40.739173","-73.976862","62","1086515","1009620100","Murray Hill-Kips Bay                                                       "
"NYC Health +
Hospitals/Metropo litan","5D Ultrasound for OB/GYN","1901 First Avenue,
New York, NY 10029","CB11","CD8","110000.00","10029","Manhattan","40.784557","-73.94378","15602","1083929","1016690001","East Harlem South                                                          "
"NYC Health and Hospitals/ Harlem Hospital","IT Upgrades / Harlem Hospital's Ron Brown Ambulatory Care
Center","530 W. 137th
Street, New York, NY 10037","CB10","CD9","118000.00","10037","Manhattan",,,,,,
"NYC Lab Middle School for Collaborative Studies","Computer Lab","333 West 17th Street,  New York, NY, 10011","CB4","CD3","200000.00","10011","Manhattan","40.742129","-74.002198","83","1079152","1007410010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"NYC Lab School for Collaborative Studies","Computer Lab/Classroom Technology Upgrade","333 West 17th Street, 3rd floor, NY, NY 10011","CB4","CD3","100000.00","10011","Manhattan","40.742129","-74.002198","83","1079152","1007410010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Pace High School","Classroom Technology Upgrades","100 Hester Street, New York, NY
10002","CB3","CD1","100000.00","10002","Manhattan","40.716553","-73.993092","16","1082489","1003010003","Chinatown                                                                  "
"Park East High School/East Harlem
Pride","Gymnasium/ auditorium renovation","230 East 105th Street","CB11","CD8","100000.00",,"Manhattan","40.790543","-73.944356","170","1075643","1016540033","East Harlem South                                                          "
"Performance Space 122, Inc.","LED Lighting Systems","150 First Avenue
10009","CB3","CD2","92000.00","10009","Manhattan","40.728261","-73.984785","34","1005894","1004370001","East Village                                                               "
"Pinehurst Avenue Staircases @ 181st
Street","Restoration of Plant Beds","181st Street and Pinehurst Ave.","CB12","CD10","225000.00",,"Manhattan",,,,,,
"Playwrights Horizons Inc.","Playwrights Horizons 440 Lafayette Stree","416 West 42nd
Street, 10036","CB4","CD3","75000.00","10036","Manhattan","40.758742","-73.993394","115","1026333","1010510041","Clinton                                                                    "
"Project Renewal, Inc.","Fort Washington Shelter Entryway","651 W 168th
Street","CB2","CD10","100000.00",,"Manhattan","40.841651","-73.941079","251","1063381","1021380079","Washington Heights South                                                   "
"PS 001  Alfred E. Smith Elementary School","Classroom Technology Upgrades","8 Henry Street, New York, New York, 10038","CB3","CD1","100000.00","10038","Manhattan","40.71276","-73.997489","27","1003375","1002790040","Chinatown                                                                  "
"PS 108M","The Modern Classroom","1615 Madison Avenue, New York, NY 10029","CB11","CD8","100000.00","10029","Manhattan","40.795146","-73.948368","17401","1051584","1016140021","East Harlem South                                                          "
"PS 111 - Adolph S. Ochs","Electrical Upgrade and Air Conditioning","440 west 53rd Street, New York, NY, 10019","CB4","CD3","200000.00","10019","Manhattan","40.765878","-73.988823","133","1026740","1010620003","Clinton                                                                    "
"PS 116 - Manhattan","Gym Floor Renovation","210 East 33rd Street, NY, NY 10016","CB6","CD2","150000.00","10016","Manhattan","40.744838","-73.978116","70","1020080","1009130007","Murray Hill-Kips Bay                                                       "
"PS 126","Bathroom Renovations (8)","80 Catherine St., New York, NY
10039","CB3","CD1","100000.00","10039","Manhattan","40.710729","-73.996631","25","1083357","1001110160","Chinatown                                                                  "
"PS 130","Auditorium Upgrade -
Audio/Visual/Lighting/T echnology","143 Baxter Street,
New York, NY 10013","CB2","CD1","150000.00","10013","Manhattan","40.718903","-73.998438","41","1003086","1002360038","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"PS 133","Playground Renovation","2121 5th Ave, Manhattan, NY, 10037","CB11","CD9","89000.00","10037","Manhattan","40.809672","-73.939872","206","1054276","1017550001","Central Harlem North-Polo Grounds                                          "
"PS 138M","Classroom Technology Upgrades","144 East 128th Street, New York, NY 10035","CB11","CD9","100000.00","10035","Manhattan","40.805953","-73.935179","242","1054502","1017760020","East Harlem North                                                          "
"PS 140 Nathan Straus","Classroom Technology Upgrades","123 Ridge Street, New York, NY
10002","CB3","CD1","35000.00","10002","Manhattan","40.71925","-73.983056","2201","1004091","1003440001","Lower East Side                                                            "
"PS 142","Classroom Technology Upgrades","100 Attorney
Street, New York,
NY 10002","CB3","CD1","35000.00","10002","Manhattan","40.718383","-73.984452","1402","1004080","1003430001","Lower East Side                                                            "
"PS 146 Anna M.
Short School","Classroom Technology Upgrade","421 East 106th Street New York, NY 10029","CB11","CD8","100000.00","10029","Manhattan","40.789295","-73.939262","162","1052999","1017000001","East Harlem South                                                          "
"PS 152M Dyckman Valley School","Auditorium Renovation","93 Nagle Avenue, New York, NY
10040","CB12","CD10","100000.00","10040","Manhattan","40.860412","-73.927936","283","1064149","1021730001","Washington Heights North                                                   "
"PS 158 The Bayard Taylor School","Security Camera System","1458 York Ave, New York, NY,
10075","CB8","CD5","100000.00","10075","Manhattan","40.770419","-73.951135","132","1046411","1014890001","Lenox Hill-Roosevelt Island                                                "
"PS 163 - Alfred E. Smith School","Bathroom and ADA Renovations","163 West  97th Street; New York, NY 10025","CB7","CD7","250000.00","10025","Manhattan","40.794264","-73.968706","185","1055908","1018520099","Upper West Side                                                            "
"PS 166 The Richard Rodgers School of the Arts and
Technology","Library Renovation","132 West 89th Street, New York, NY,10024","CB7","CD6","208000.00","10024","Manhattan","40.788865","-73.971847","173","1032308","1012190047","Upper West Side                                                            "
"PS 173","Manhattan STEM Initiative with A+ STEM Labs Inc.","306 Fort Washington Avenue, New York,
NY 10033","CB12","CD10","100000.00","10033","Manhattan","40.845469","-73.940468","263","1063503","1021420154","Washington Heights South                                                   "
"PS 175 Henry Highland Garnet","Auditorium Upgrade","175 W. 134th
Street, New York,
NY, 10030","CB10","CD9","80000.00","10030","Manhattan","40.814422","-73.943664","228","1058248","1019190006","Central Harlem North-Polo Grounds                                          "
"PS 175 Henry Highland Garnet","PreK and Kindergarten Playground","175 W. 134th
Street, New York, NY, 10030","CB10","CD9","150000.00","10030","Manhattan","40.814422","-73.943664","228","1058248","1019190006","Central Harlem North-Polo Grounds                                          "
"PS 178 Professor Juan Bosch School","STEM Initiative","12-18 Ellwood Street, New York, NY 10040","CB12","CD10","100000.00","10040","Manhattan","40.859243","-73.927792","283","1064128","1021710036","Washington Heights North                                                   "
"PS 182 The
Bilingual Bicultural Mini School","Playground Therapy: Staying Healthy and Happy","219 East 109th Street New York NY 10029","CB11","CD8","125000.00","10029","Manhattan","40.793194","-73.942548","180","1052436","1016590012","East Harlem North                                                          "
"PS 184M","Electrical upgrade","327 Cherry St.,
New York, NY 10002","CB3","CD1","200000.00","10002","Manhattan","40.711549","-73.986542","201","1003143","1002450007","Lower East Side                                                            "
"PS 189M","School Air Conditioning Wiring Upgrade","2580 Amsterdam Avenue, New York, NY 10040","CB12","CD10","60000.00","10040","Manhattan","40.852631","-73.927604","277","1076750","1021590051","Washington Heights North                                                   "
"PS 198M Parent Teacher Association","Auditorium A/V Equipment and Cafeteria Sound System
Upgrades","1700 Third Avenue, New York, NY 10128","CB8","CD5","150000.00","10128","Manhattan","40.784826","-73.949611","15801","1048492","1015240023","Upper East Side-Carnegie Hill                                              "
"PS 199 Parent Teacher Association","PS 199 Playground Renovations (Matthew
P. Sapolin Park)","270 West 70th Street, New York, New York, 10023","CB7","CD6","50000.00","10023","Manhattan","40.778059","-73.984449","155","1030351","1011580040","Lincoln Square                                                             "
"PS 212 - Midtown West","Classroom Technology Upgrades","328 W. 48th St,
New York, NY 10036","CB4","CD3","100000.00","10036","Manhattan","40.761448","-73.988019","127","1025092","1010380014","Clinton                                                                    "
"PS 241 - Stem Institute of Manhattan","M241 Playyard Renovation Project","240 West 113th Street New York, NY 10026","CB10","CD9","500000.00","10026","Manhattan","40.801689","-73.954908","216","1055111","1018280015","Central Harlem South                                                       "
"PS 3 - Charrette School","Outlet Project","490 Hudson Street, New York,
NY 10014","CB2","CD3","90000.00","10014","Manhattan","40.732593","-74.006466","73","1009872","1005850041","West Village                                                               "
"PS 30M Rafael Hernandez/Langsto n Hughes School","Moblie STEM Labs","144-176th St. New York, NY 10035","CB11","CD9","100000.00","10035","Manhattan",,,,,,
"PS 33 Chelsea Prep","Classroom Technology Upgrade","281 Ninth Avenue,
New York, NY 10001","CB4","CD3","100000.00","10001","Manhattan","40.748818","-73.999646","97","1012829","1007240023","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"PS 334 - The
Anderson School","Classroom Closets Upgrades","100 West 77th Street, New York, NY 10024","CB7","CD6","100000.00","10024","Manhattan","40.780822","-73.976855","161","1030178","1011480014","Upper West Side                                                            "
"PS 36 Margaret Douglas
Elementary School","Science Lab","123 Morningside Dr, New York, NY
10027","CB9","CD7","112000.00","10027","Manhattan","40.81027","-73.957482","19701","1055890","1018500002","Morningside Heights                                                        "
"PS 41 Greenwich Village School","One to One. Device for all children","116 W 11th Street","CB2","CD3","100000.00",,"Manhattan","40.735692","-73.999026","71","1010543","1006060049","West Village                                                               "
"PS 42M - Benjamin Altman School","Bathroom Upgrades","71 Hester Street","CB3","CD1","100000.00",,"Manhattan","40.715905","-73.990895","16","1003998","1003090001","Chinatown                                                                  "
"PS 452","Classroom Technology Upgrades","210 W 61st St,
New York, NY 10023","CB7","CD6","100000.00","10023","Manhattan","40.771925","-73.987328","147","1030320","1011520029","Lincoln Square                                                             "
"PS 527","Classroom Technology Upgrades","323 East 91 Street, New York, NY
10128","CB8","CD5","100000.00","10128","Manhattan","40.780763","-73.94869","154","1050217","1015540015","Yorkville                                                                  "
"PS 64 - Robert Simon School","Dance Studio","600 East 6 Street, New York, NY,
10009","CB3","CD2","225000.00","10009","Manhattan","40.72438","-73.98138","2601","1004627","1003870001","Lower East Side                                                            "
"PS 75 The Emily Dickinson School","Renovation of unfinished storage area into usable school
space","735 West End Avenue, New York, NY 10025","CB7","CD6","200000.00","10025","Manhattan","40.795157","-73.973292","183","1034190","1012530065","Upper West Side                                                            "
"PS 76","Classroom Technology Upgrade","220 West 121 Street, New York,
                                                                                         NY 10031                                                                                  ","CB10","CD9","100000.00",,"Manhattan","40.806768","-73.951061","220","1058470","1019260017","Central Harlem South                                                       "
"PS 77 Lower Lab School","Computer Room Electrical Upgrade","1700 Third Avenue, New York,
NY 10128","CB8","CD5","100000.00","10128","Manhattan","40.784826","-73.949611","15801","1048492","1015240023","Upper East Side-Carnegie Hill                                              "
"PS 811M Mickey Mantle School","Playground completion project","34 West 188th Street, New York, NY, 10026","CB10","CD9","250000.00","10026","Manhattan",,,,,,
"PS 84","Roof Repair and Courtyard STEAM
Space","32 West 92nd Street, New York,
NY 10025","CB7","CD6","150000.00","10025","Manhattan","40.789526","-73.967574","177","1081042","1012050006","Upper West Side                                                            "
"PS 9 - The Sarah Anderson School","Library Renovations","100 West 84th Street, New York, NY 10024","CB7","CD6","200000.00","10024","Manhattan","40.785287","-73.97343","169","1032119","1012140029","Upper West Side                                                            "
"PS 98
Shorackappock Elementary School","School Community Playground","212, New York, NY 10034","CB12","CD10","250000.00","10034","Manhattan",,,,,,
"PS/IS 171 Patrick Henry","Classroom Technology Upgrades","19 East 103 Street,
New York, NY 10029","CB11","CD8","100000.00","10029","Manhattan","40.792122","-73.951961","168","1051497","1016090007","East Harlem South                                                          "
"PS/IS180 The Hugo
Newman College Preparatory School","Classroom Technology Upgrades","370 West 120th,
New York, NY 10027","CB10","CD9","100000.00","10027","Manhattan",,,,,,
"PS/MS 206","Classroom Technology Upgrades","508 East 120th Street, New York, NY 10035","CB11","CD8","100000.00","10035","Manhattan","40.797467","-73.930868","192","1084005","1018160001","East Harlem North                                                          "
"PS/MS 278 The
Paula Hedbavny School","Science Lab","421 W. 219th St.,
New York, NY 10034","CB12","CD10","125000.00","10034","Manhattan","40.871245","-73.912141","299","1064704","1022150831","Marble Hill-Inwood                                                         "
"PS/MS 50 Vito Marcantonio School","Bee Leader Auditorium","433 E 100 th
Street, New York, New York, 10029","CB11","CD8","250000.00","10029","Manhattan",,,,,,
"PS/MS 96 Joseph Lanzetta","Auditorium Upgrade","216 East 120th Street, New York, NY 10035","CB11","CD8","100000.00","10035","Manhattan","40.800256","-73.937558","194","1074333","1017840012","East Harlem North                                                          "
"PS5 Ellen Lurie School","Computer Lab/Classroom
Modernization","3703 Tenth Avenue, New York,
NY 10034","CB12","CD10","100000.00","10034","Manhattan","40.85899","-73.922894","299","1084201","1021500030","Marble Hill-Inwood                                                         "
"Publicolor, Inc.","Passenger and Delivery Van","66 Sands Street
11201 (Vehicle Parking)","CB5","CD4","50000.00",,"Manhattan",,,,,,
"Quest to Learn","Classroom Technology Upgrade","351 W 18th Street, New York, NY
                                                                                         10011                                                                                        ","CB4","CD3","80000.00",,"Manhattan","40.742867","-74.002136","89","1013096","1007420007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Riverbend Housing Company, Inc.","Site Upgrade","2289, 2301, 2311
and 2333 Fifth Avenue, New York, NY (Harlem)","CB11","CD9","250000.00",,"Manhattan",,,,,,
"Riverside Park","Restore kayak dock","72nd Street and the Hudson River in Riverside Park, Manhattan","CB7","CD6","195000.00",,"Manhattan","40.714558","-74.021232","31703","1000000","1011100001","Battery Park City-Lower Manhattan                                          "
"Riverside Park","Staircase renovation","Riverside Drive 101st / 102nd Streets.","CB7","CD6","300000.00",,"Manhattan",,,,,,
"Robert F. Wagner Middle School","Science Lab Upgrade","220 East 76th Street, New York,
NY, 10021","CB8","CD4","100000.00","10021","Manhattan","40.77205","-73.958066","134","1044058","1014300005","Lenox Hill-Roosevelt Island                                                "
"Roundabout Theatre Company","American Airlines Induction Loop Project","239 West 39th
Street Suite 1200,
10018","CB5","CD3","100000.00","10018","Manhattan","40.754644","-73.989525","113","1014499","1007890021","Midtown-Midtown South                                                      "
"Sara D. Roosevelt Park","Reconstruction of Park Pathways","Chrystie St & Forsyth St, New York, NY 10002","CB3","CD1","200000.00","10002","Manhattan",,,,,,
"School of the Future","Classroom Technology Upgrades","127 East 22nd st New York, NY 10010","CB5","CD2","100000.00","10010","Manhattan","40.738952","-73.985479","68","1018014","1008780016","Gramercy                                                                   "
"Seaport Museum New York","Stabilization & Restoration of
Ambrose","12 Fulton Street,
10038","CB1","CD1","500000.00","10038","Manhattan","40.706631","-74.003495","1502","1085798","1000740001","Battery Park City-Lower Manhattan                                          "
"Second Stage Theatre, Inc.","Helen Hayes Theatre Renovation","1501 Broadway
Suite 518 New
York, NY  10036","CB5","CD3","400000.00","10036","Manhattan","40.757103","-73.986193","119","1024706","1010150029","Midtown-Midtown South                                                      "
"Seventh Regiment Armory
Conservancy, Inc.","Drill Hall North Waterproofing and
Roof","643 Park Avenue
10065","CB8","CD4","250000.00","10065","Manhattan","40.767491","-73.966448","120","1042460","1014010001","Upper East Side-Carnegie Hill                                              "
"Seward Park","Restoration of Schiff Fountain","Seward Park, East Broadway at Essex Street, New York, NY 10002","CB3","CD1","200000.00","10002","Manhattan","40.714801","-73.98929","1401",,,"Lower East Side                                                            "
"Society of Illustrators, Inc.","IT/Computer Equipment System","128 East 63rd
Street 10065","CB8","CD4","40000.00","10065","Manhattan","40.764897","-73.966774","11402","1042056","1013970060","Upper East Side-Carnegie Hill                                              "
"Soho Think Tank, Inc.","Audio/Visual System for New Ohio Theatre","154 Christopher
Street #1E, 10014","CB2","CD3","35000.00","10014","Manhattan","40.73273","-74.008129","69","1010421","1006040033","West Village                                                               "
"Sojourner Truth School","Playground Revitalitzation","41 West 117th Street, New York, NY 10026","CB10","CD9","350000.00","10026","Manhattan","40.802136","-73.947828","190","1051434","1016010001","Central Harlem South                                                       "
"South Bronx Overall Economic Development
Corp.(SoBRO)","Ft. George Hill","1769 Ft. George Hill","CB12","CD10","300000.00",,"Manhattan","40.861209","-73.924941","283",,,"Washington Heights North                                                   "
"Spanish Theatre Repertory
Company, Ltd.","New Linked Stage Lighting System",,"CB6","CD2","229000.00",,"Manhattan",,,,,,
"Special Music School High School","SMS Learning Environment/Lighting Upgrade","122 Amsterdam Avenue, New York, NY 10023","CB7","CD6","280000.00","10023","Manhattan","40.774351","-73.984753","151","1030343","1011570025","Lincoln Square                                                             "
"Spruce Street School","Classroom Technology Upgrades","12 Spruce Street, New York, NY, 10038","CB1","CD1","100000.00","10038","Manhattan","40.711313","-74.005472","1501","1087485","1001007502","Battery Park City-Lower Manhattan                                          "
"STRIVE
International, Inc.","STRIVE Relocation","205 East 122nd Street","CB11","CD8","189000.00",,"Manhattan","40.801606","-73.936823","194","1054626","1017870001","East Harlem North                                                          "
"Stuyvesant High School","Science Laboratory (Lab) Renovation and Upgrade","345 Chambers Street, New York, NY 10282","CB1","CD1","100000.00","10282","Manhattan","40.71759","-74.013748","31703","1084587","1000160215","Battery Park City-Lower Manhattan                                          "
"TAG PTA, Inc.","Poor Richard's Playground Renovation","240 East 109
Street, New York, NY, 10029","CB11","CD8","200000.00","10029","Manhattan","40.79307","-73.942303","170","1052433","1016560100","East Harlem South                                                          "
"Teatro Circulo. Ltd","64 East 4t St.","64 East 4th Street 10003","CB3","CD2","150000.00","10003","Manhattan","40.72667","-73.99058","38","1077965","1004590018","East Village                                                               "
"The  Mott Hall School","Wireless Laptop Carts Upgrades","71 Convent
Avenue, New York, NY 10027","CB9","CD9","100000.00","10027","Manhattan","40.815458","-73.952908","21703","1084067","1019570001","Manhattanville                                                             "
"The 122 Community Center,
Inc.","PV467-122 Phase 4","150 First Avenue
10009","CB3","CD2","35000.00","10009","Manhattan","40.728261","-73.984785","34","1005894","1004370001","East Village                                                               "
"The Children's Village","Harlem Building Initial Outfitting","2139 Adam Clayton Powell Jr.
Blvd","CB10","CD9","44000.00",,"Manhattan","40.81014","-73.947461","224","1000000","1019110061","Central Harlem North-Polo Grounds                                          "
"The City College of New York","Zahn Innovation Center Prototyping Lab, The
City College of New York","160 Convent Ave, New York, NY 10031","CB10","CD9","500000.00","10031","Manhattan","40.819196","-73.950221","21703","1084081","1019570200","Manhattanville                                                             "
"The Classical Theatre ofHarlem","Uptown Shakespeare in the Park","Mt Morris Park West New York,
NY 10027","CB10","CD7","50000.00","10027","Manhattan",,,,,,
"The Clemente Cultural and
Education Center","Code/Accessibility Renovations","107 Suffolk Street New York, NY
10002","CB3","CD1","250000.00","10002","Manhattan","40.718943","-73.986122","1402","1004301","1003530054","Lower East Side                                                            "
"The College Academy","Little Theater Revitilization","549 Audubon Ave, New York, NY
10040","CB12","CD10","250000.00","10040","Manhattan","40.855954","-73.927051","277","1076751","1021600018","Washington Heights North                                                   "
"The Computer School/M.S. 245","Bathroom Renovation","100 W. 77th
Street, New York, NY 10024","CB7","CD6","90000.00","10024","Manhattan","40.780822","-73.976855","161","1030178","1011480014","Upper West Side                                                            "
"The Equity Project Charter School","Nuestra Cocina: The Equity Kitchen","153-157 Sherman Avenue","CB12","CD10","375000.00",,"Manhattan","40.864644","-73.923094","291","1064765","1022210005","Marble Hill-Inwood                                                         "
"The Floating Hospital, Inc.","TFH Manhattan Transportation Project","41- 43 Crescent Street,
Long Island City, Queens, NY 11101","CB1","CD3","35000.00","11101","Manhattan",,,,,,
"The Frederick Douglass Academy 1","Classroom Technology Upgrades","2581 Adam Clayton Powell Jr. Blvd., New York, NY 10039","CB10","CD9","100000.00","10039","Manhattan","40.824319","-73.93712","236","1060198","1020160100","Central Harlem North-Polo Grounds                                          "
"The General Society of Mechanics and Tradesmen of the
City of New York","Library Skylight and Roof Restoration","20 West 44th
Street 10035","CB5","CD4","200000.00","10035","Manhattan","40.755156","-73.980848","96","1034214","1012590048","Midtown-Midtown South                                                      "
"The Graduate Center CUNY","IT Resources to
Support Teaching & Learning","365 Fifth Avenue,
New York, NY 10016","CB5","CD4","275000.00","10016","Manhattan","40.748822","-73.984268","74","1017097","1008647502","Midtown-Midtown South                                                      "
"The High School of Fashion Industries","Cooling of M600 School Auditorium","225 West 24th Street, New York, NY 10011","CB4","CD3","620000.00","10011","Manhattan","40.745156","-73.996074","91","1014174","1007740019","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"The Highline","Repairs and Renovations","820 Washington Street, New York, NY, 10014","CB2","CD3","100000.00","10014","Manhattan","40.739587","-74.008036","79","1089240","1006440010","West Village                                                               "
"The Hispanic Society of America","Museum Interior Renovation","613 West 155th
Street, 10032","CB12","CD7","250000.00","10032","Manhattan","40.833063","-73.946478","241","1081864","1021340008","Washington Heights South                                                   "
"The James Baldwin School","Classroom Technology Upgrades","351 West 18th Street, New York, NY 10011","CB4","CD3","100000.00","10011","Manhattan","40.742867","-74.002136","89","1013096","1007420007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"The James McCune Smith Community School","CS200 Technology request","2589 Adam Clayton Powell Jr. Blvd. NY, NY,
10039","CB10","CD9","100000.00","10039","Manhattan","40.824495","-73.936997","236","1060198","1020160100","Central Harlem North-Polo Grounds                                          "
"The Lower Eastside Girls Club","Girls Club 101 Avenue D Renovation","101 Avenue D","CB3","CD2","250000.00",,"Manhattan","40.723308","-73.976323","2602","1089381","1003777503","Lower East Side                                                            "
"The Metropolitian Museum of Art","ABC Skylight & Related Mech. Replacement","1000 Fifth Avenue,
10028","CB8","CD6","100000.00","10028","Manhattan","40.778633","-73.962546","143","1083810","1011110001","park-cemetery-etc-Manhattan                                                "
"The New 42nd Street","New 42 IT Network Security System","229 West 42nd
Street, 10036","CB5","CD3","120000.00","10036","Manhattan","40.756571","-73.98819","119","1024683","1010140017","Midtown-Midtown South                                                      "
"The Salome Urena School - I.S. 218","Classroom Technology Upgrades","4600 Broadway, New York, New York, 10040","CB12","CD10","100000.00","10040","Manhattan","40.86079","-73.930672","285","1076756","1021720016","Washington Heights North                                                   "
"The Studio Museum in Harlem","New Building Project","142 and 144 W 125th Street","CB10","CD9","250000.00",,"Manhattan",,,,,,
"The Symphony Space, Inc.","Symphony Space Renovation","2537 Broadway,
10025","CB7","CD6","100000.00","10025","Manhattan","40.793842","-73.972393","183","1033687","1012420055","Upper West Side                                                            "
"The Tank Ltd.","The Tank New Theatrical Equipment","151 West 46th street 8th floor 10036","CB5","CD4","85000.00","10036","Manhattan","40.757998","-73.983667","125","1022663","1009990009","Midtown-Midtown South                                                      "
"The Trust for Governor's Island","The Trust for Govenors Island  - Admiral's House Reconstruction","1 Barry Road, Governors Island, New York, NY
10004","CB1","CD1","335000.00","10004","Manhattan","40.690096","-74.012866","5","1086389","1000010010","park-cemetery-etc-Manhattan                                                "
"The Trust for Public Land","PS19 - Asher Levy School Schoolyard Renovation","185 First Avenue, New York, N.Y., 10003","CB3","CD2","350000.00","10003","Manhattan","40.729636","-73.983818","40","1006478","1004530034","East Village                                                               "
"The Urban Assembly School for Global
Commerce","Classroom Technology Upgrades","2005 Madison Avenue, New York, NY 10035","CB11","CD9","100000.00","10035","Manhattan","40.807383","-73.939433","206","1054156","1017520022","Central Harlem North-Polo Grounds                                          "
"The Urban Assembly School for Green Careers","Building Science Lab renovation","145 West 84th Street, New York, NY 10024","CB7","CD6","200000.00","10024","Manhattan","40.785803","-73.974614","169","1032128","1012150001","Upper West Side                                                            "
"The Urban Assembly School
for the Performing Arts","Library Upgrade","509 West 129th Street, New York, NY 10027","CB9","CD7","200000.00","10027","Manhattan","40.815256","-73.955325","219","1059723","1019840033","Manhattanville                                                             "
"Theater for the New City","Roof Replacement/Renovati
on","155 First Avenue
10003","CB3","CD2","250000.00","10003","Manhattan","40.728505","-73.984634","40","1006416","1004517502","East Village                                                               "
"Thurgood Marshall Academy for Learning and Social
Change","STEM for ALL","200 West 135th Street, New York, NY 10030","CB10","CD9","100000.00","10030","Manhattan","40.815509","-73.944202","228","1058843","1019400035","Central Harlem North-Polo Grounds                                          "
"Union Settlement","Gaylord White Community Center Renovation","237 East 104th Street, New York, NY 10029","CB11","CD8","300000.00","10029","Manhattan","40.789687","-73.944267","170","1080671","1016540011","East Harlem South                                                          "
"Union Square Academy for Health Sciences","A+ STEM Labs","40 Irving Place
Room 507, New
York, NY 10003","CB6","CD2","100000.00","10003","Manhattan","40.735494","-73.987659","50","1017828","1008720057","Gramercy                                                                   "
"Urban Assembly School of Design
and Construction","UASDC Fabrication Lab","525 W. 50th
Street., New York,
NY 10019","CB4","CD3","200000.00","10019","Manhattan","40.765184","-73.992953","135","1083802","1010790029","Clinton                                                                    "
"Urban Resource Institute","FY 18 Vehicle Purchase Project","75 Broad Street,
10004","CB1","CD1","114000.00","10004","Manhattan","40.704487","-74.011556","9","1000849","1000290070","Battery Park City-Lower Manhattan                                          "
"Vladeck Houses","Playground upgrades","356 Madison Street, New York
NY 10002","CB3","CD2","500000.00","10002","Manhattan","40.713392","-73.982166","202","1083389","1002600075","Lower East Side                                                            "
"Washington Heights Expeditionary Learning School
(WHEELS)","4th Floor Electrical Upgrade","511 W. 182nd St.,
New York, NY 10033","CB12","CD10","68000.00","10033","Manhattan","40.848908","-73.930948","269","1063703","1021550035","Washington Heights North                                                   "
"Washington Irving Educational Campus - Union
Square Academy for Health Sciences","Fitness Center Upgrade in B54 Gym","40 Irving Place, Room B54, New York, NY, 10003","CB6","CD2","300000.00","10003","Manhattan","40.735494","-73.987659","50","1017828","1008720057","Gramercy                                                                   "
"West End Secondary School","High School Technology and Media Center (TMC)","227 West 61st Street, New York, NY 10023","CB7","CD6","100000.00","10023","Manhattan","40.772007","-73.987479","151","1030328","1011540108","Lincoln Square                                                             "
