"houseofworship","streetaddress","city","state","postcode","entrydate","permitnumber","dateissue","dateexpiry","permitstatus","permittype","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","geocoded_column"
"Church of the Holy Apostles","296 Ninth Avenue","New York","NY","10001","2019-06-24T00:00:00.000","2021-6890","2021-07-01T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","1","40.74912","-73.999401","4","3","97","1013463","1007510076","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.999401 40.74912)"
"Church of The Holy Family","315 East 47th Street","New York","NY","10017","2008-05-02T00:00:00.000","2022-7388","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","1","40.752766","-73.969335","6","4","90","1038907","1013400013","Turtle Bay-East Midtown","POINT (-73.969335 40.752766)"
"Church of the Open Doors Inc","1374 Bedford Avenue","Brooklyn","NY","11216","2008-05-02T00:00:00.000","2021-7175","2021-12-13T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","3","40.676124","-73.953126","8","35","221","3030595","3012170043","Crown Heights North","POINT (-73.953126 40.676124)"
"Church of the Pilgrim Holiness","24 Arlington Place","Brooklyn","NY","11216","2008-05-02T00:00:00.000","2022-7265","2022-02-10T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","3","40.68105","-73.951215","3","36","245","3052973","3018420043","Bedford","POINT (-73.951215 40.68105)"
"Church of the Transfiguration-St James-St Joseph","29 Mott Street","New York","NY","10013","2020-11-04T00:00:00.000","2021-7109","2021-11-08T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","1","40.714725","-73.998838","3","1","29","1079244","1001640037","Chinatown","POINT (-73.998838 40.714725)"
"Church of The Virgin Mary","216 8th Avenue","Brooklyn","NY","11215","2008-05-02T00:00:00.000","2021-7126","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.670068","-73.975631","6","39","155","3025205","3010760046","Park Slope-Gowanus","POINT (-73.975631 40.670068)"
"City of Faith Church of God","3453 White Plains Road","Bronx","NY","10467","2016-12-20T00:00:00.000","2022-7206","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","2","40.876244","-73.866999","12","12","374","2056964","2046280043","Williamsbridge-Olinville","POINT (-73.866999 40.876244)"
"Community Baptist Church","46-19 206th Street","Bayside","NY","11361","2019-10-17T00:00:00.000","2022-7279","2022-02-28T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","4","40.755645","-73.775744","11","19","1447","4156758","4073080001","Bayside-Bayside Hills","POINT (-73.775744 40.755645)"
"Community Church of Astoria","14 42 Broadway","Astoria","NY","11106","2008-05-02T00:00:00.000","2022-7321","2022-03-11T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","4","40.765689","-73.932547","1","22","45","4005790","4005300006","Astoria","POINT (-73.932547 40.765689)"
"Community Church Of Christ","755 Home Street","Bronx","NY","10456","2010-09-07T00:00:00.000","2021-7022","2021-09-21T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","2","40.828126","-73.901726","3","17","135","2004735","2026620044","Morrisania-Melrose","POINT (-73.901726 40.828126)"
"Community Church of New York Unitarian Universalis","40 East 35th Street","New York","NY","10016","2008-05-02T00:00:00.000","2022-7426","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","1","40.748212","-73.981973","6","2","74","1017107","1008640047","Midtown-Midtown South","POINT (-73.981973 40.748212)"
"Community Protestant Church","1659 East Gun Hill Road","Bronx","NY","10469","2008-05-02T00:00:00.000","2022-7312","2022-03-07T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","2","40.866178","-73.837976","12","12","356","2121861","2048020009","Eastchester-Edenwald-Baychester","POINT (-73.837976 40.866178)"
"Community Torah Centers Synagogue","646 West End Avenue","New York","NY","10025","2011-02-17T00:00:00.000","2022-7243","2022-02-03T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","1","40.792347","-73.975316","7","6","179","1033581","1012390004","Upper West Side","POINT (-73.975316 40.792347)"
"Community United Methodist Church","81-10 35th Avenue","Jackson Heights","NY","11372","2010-04-23T00:00:00.000","2022-7480","2022-06-28T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","4","40.751703","-73.885406","3","25","283","4029684","4012810001","Jackson Heights","POINT (-73.885406 40.751703)"
"Concilio Estrellade Jacob Iglesia Cristiana Inc.","53 East 184th Street","Bronx","NY","10468","2014-02-25T00:00:00.000","2022-7342","2022-03-24T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","2","40.860167","-73.901318","5","14","239","2014017","2031840001","Fordham South","POINT (-73.901318 40.860167)"
"Cong. Chabad Lubavitch of Flatbush","1923 Ocean Ave","Brooklyn","NY","11230","2019-04-12T00:00:00.000","2022-7367","2022-04-11T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","3","40.614963","-73.95435","14","48","546","3210666","3076740025","Midwood","POINT (-73.95435 40.614963)"
"Congregation Adath Yeshurun","3416 Avenue N","Brooklyn","NY","11234","2012-07-08T00:00:00.000","2021-6981","2021-08-27T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.617543","-73.941993","18","45","646","3211708","3076960056","Georgetown-Marine Park-Bergen Beach-Mill Basin","POINT (-73.941993 40.617543)"
"Congregation Ahavas Yisroel","147-02 73rd Avenue","Kew Gardens","NY","11367","2008-05-05T00:00:00.000","2021-7042","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","4","40.725358","-73.818411","8","24","77907","4144466","4066820001","Kew Gardens Hills","POINT (-73.818411 40.725358)"
"Congregation Ahavath Chesed","309 West 89th St.","New York","NY","10024","2016-03-09T00:00:00.000","2021-6973","2021-08-26T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","1","40.791016","-73.976905","7","6","175","1034044","1012500086","Upper West Side","POINT (-73.976905 40.791016)"
"Congregation And Yeshiva Heichal Moshe","303 West 91st Street","New York","NY","10024","2013-05-03T00:00:00.000","2021-6968","2021-08-26T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","1","40.792185","-73.975785","7","6","179","1034100","1012510053","Upper West Side","POINT (-73.975785 40.792185)"
"Congregation Anshei Breslov","204 Lee Avenue","Brooklyn","NY","11206","2008-05-05T00:00:00.000","2022-7477","2022-06-27T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","3","40.701723","-73.955488","1","33","531","3061122","3022310038","Bedford","POINT (-73.955488 40.701723)"
"Congregation Bais Medrash Avreichim","1114 Avenue O","Brooklyn","NY","11230","2008-05-05T00:00:00.000","2022-7415","2022-05-16T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","3","40.612569","-73.962607","14","48","542","3000000","3067580006","Midwood","POINT (-73.962607 40.612569)"
"Congregation Baith Israel Anshei Emes","236 Kane St.","Brooklyn","NY","11231","2021-07-29T00:00:00.000","2021-6962","2021-08-03T00:00:00.000","2022-08-31T00:00:00.000","Active","New","3","40.685617","-73.994934","6","39","67","3336006","3003260028","Carroll Gardens-Columbia Street-Red Hook","POINT (-73.994934 40.685617)"
"Congregation Beth El Of Flatbush","2181 East 3rd Street","Brooklyn","NY","11223","2013-06-28T00:00:00.000","2022-7232","2022-01-24T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","3","40.596764","-73.968557","15","47","396","3192914","3071300171","Homecrest","POINT (-73.968557 40.596764)"
"Congregation Beth Israel-West Side Jewish Center","347 West 34th Street","New York","NY","10001","2010-07-27T00:00:00.000","2021-7010","2021-09-14T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","1","40.75277","-73.994817","4","3","111","1013557","1007580014","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.994817 40.75277)"
"Congregation Beth Jacob Ohev Sholom","284 Rodney Street","Brooklyn","NY","11211","2013-07-08T00:00:00.000","2022-7283","2022-03-01T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","3","40.707625","-73.956963","1","33","529","3059755","3021520002","Williamsburg","POINT (-73.956963 40.707625)"
"Congregation Bet Shmuel","1914 East 8th Street","Brooklyn","NY","11223","2014-10-21T00:00:00.000","2022-7313","2022-03-07T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.60215","-73.963808","15","47","416","3190519","3070890014","Homecrest","POINT (-73.963808 40.60215)"
"Congregation Bnai Avraham","117 Remsen Street","Brooklyn","NY","11201","2008-05-05T00:00:00.000","2022-7454","2022-06-01T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","3","40.693878","-73.993707","2","33","502","3002073","3002490012","Brooklyn Heights-Cobble Hill","POINT (-73.993707 40.693878)"
"Congregation Bnai Jeshurun","257 West 88th Street","New York","NY","10024","2013-06-17T00:00:00.000","2022-7447","2022-05-31T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","1","40.789945","-73.976302","7","6","175","1033290","1012360005","Upper West Side","POINT (-73.976302 40.789945)"
"Congregation Bnai Yosef","1616 Ocean Parkway","Brooklyn","NY","11223","2017-06-05T00:00:00.000","2022-7428","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","3","40.609151","-73.967647","15","44","422","3176091","3066370012","Homecrest","POINT (-73.967647 40.609151)"
"Congregation Bnei Shlomo","1610 52nd Street","Brooklyn","NY","11204","2016-05-22T00:00:00.000","2022-7427","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","3","40.629021","-73.986721","12","44","472","3256723","3054727501","Borough Park","POINT (-73.986721 40.629021)"
"Congregation Edmond J Safra","11 East 63rd Street","New York","NY","10065","2008-05-05T00:00:00.000","2021-7117","2021-11-22T00:00:00.000","2022-08-31T00:00:00.000","Active","Replace","1","40.76646","-73.97043","8","4","122","1078325","1013780010","Upper East Side-Carnegie Hill","POINT (-73.97043 40.76646)"
"Congregation Erste Lutowiska Machzik Hadas","262 Delancey Street","New York","NY","10002","2017-10-26T00:00:00.000","2022-7386","2022-04-25T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","1","40.716288","-73.981065","3","2","2201","1004069","1003330010","Lower East Side","POINT (-73.981065 40.716288)"
"Congregation Givath Shoul","5102 11th Ave","Brooklyn","NY","11219","2020-01-14T00:00:00.000","2022-7275","2022-02-18T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","3","40.63648","-73.997791","12","44","220","3138281","3056530041","Borough Park","POINT (-73.997791 40.63648)"
"Congregation Gvul Yaabetz","1580 Coney Island Avenue","Brooklyn","NY","11230","2008-05-05T00:00:00.000","2022-7244","2022-02-03T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","3","40.619009","-73.964091","12","44","454","3171998","3065460021","Ocean Parkway South","POINT (-73.964091 40.619009)"
"Congregation Kehilath Jeshurum","117 East 85th Street","New York","NY","10028","2008-05-05T00:00:00.000","2022-7391","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","1","40.779183","-73.956935","8","4","14801","1047929","1015140013","Upper East Side-Carnegie Hill","POINT (-73.956935 40.779183)"
"Congregation K'Hall Machzeka Hadass","1636 49th Street","Brooklyn","NY","11204","2008-05-05T00:00:00.000","2022-7190","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","3","40.630429","-73.984516","12","44","474","3129176","3054540024","Borough Park","POINT (-73.984516 40.630429)"
"Congregation Kollel Bnei Yeshivas","2402 Ave P","Brooklyn","NY","11229","2011-12-22T00:00:00.000","2021-7168","2021-12-07T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","3","40.611381","-73.949627","15","48","548","3182688","3067870001","Madison","POINT (-73.949627 40.611381)"
"Congregation Lev Bais Yaakov","3574 Nostrand Avenue","Brooklyn","NY","11229","2014-02-28T00:00:00.000","2022-7371","2022-04-11T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","3","40.59691","-73.941219","15","48","59402","3201581","3073860131","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","POINT (-73.941219 40.59691)"
"Congregation Machane Chodosh","67 - 29 108th St.","Forest Hills","NY","11375","2011-06-28T00:00:00.000","2021-6901","2021-07-02T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","4","40.72815","-73.84713","6","29","741","4051884","4021770006","Forest Hills","POINT (-73.84713 40.72815)"
"Congregation Nachlas Yisroel","1530 51st St","Brooklyn","NY","11219","2015-11-05T00:00:00.000","2021-7164","2021-12-03T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","3","40.630756","-73.988082","12","44","236","3129602","3054650020","Borough Park","POINT (-73.988082 40.630756)"
"Congregation Ohr Moshe","170-16 73rd Avenue","Fresh Meadows","NY","11366","2008-05-05T00:00:00.000","2021-7097","2021-11-03T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","4","40.728634","-73.799312","8","24","1241","4151025","4069780024","Pomonok-Flushing Heights-Hillcrest","POINT (-73.799312 40.728634)"
"Congregation Ohr Shraga D'veretzky","1102 Avenue L","Brooklyn","NY","11230","2016-06-08T00:00:00.000","2022-7423","2022-05-23T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.619994","-73.964101","14","44","768","3329237","3067310001","Midwood","POINT (-73.964101 40.619994)"
"Congregation Shaare Zion","2030 Ocean Parkway","Brooklyn","NY","11223","2008-05-06T00:00:00.000","2022-7464","2022-06-08T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","3","40.599264","-73.965762","15","47","394","3191944","3071080018","Homecrest","POINT (-73.965762 40.599264)"
"Congregation Shaari Tefilah of Kings Highway","1679 West 1 Street","Brooklyn","NY","11223","2014-09-18T00:00:00.000","2022-7375","2022-04-14T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.60708","-73.974693","11","44","424","3175854","3066310043","Bensonhurst East","POINT (-73.974693 40.60708)"
"Congregation Shomrei Emunah","5202 14th Avenue","Brooklyn","NY","11219","2010-01-22T00:00:00.000","2021-6899","2021-07-02T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.631929","-73.991768","12","44","238","3138738","3056630035","Borough Park","POINT (-73.991768 40.631929)"
"Congregation Sons Of Israel Of The Bronx","2521 Croger Ave.","Bronx","NY","10467","2011-10-26T00:00:00.000","2021-7080","2021-10-21T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew",,,,,,,,,,
"Congregation Yeshuos Chaim","1167 East 13th Street","Brooklyn","NY","11230","2008-05-06T00:00:00.000","2022-7389","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","3","40.6211","-73.962501","14","44","534","3180329","3067240060","Midwood","POINT (-73.962501 40.6211)"
"Congregation Yetev Lev D'Satmar","152-158 Rodney Street","Brooklyn","NY","11211","2008-05-06T00:00:00.000","2022-7188","2022-01-05T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","3","40.704722","-73.960431","1","33","535","3060123","3021930018","Williamsburg","POINT (-73.960431 40.704722)"
"Congregation Zemoch Zedek","241 East Broadway","New York","NY","10002","2014-10-28T00:00:00.000","2022-7213","2022-01-07T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","1","40.714362","-73.986458","3","1","201","1003729","1002860030","Lower East Side","POINT (-73.986458 40.714362)"
"Congregation Zichron Reb Shloma Fried","1915 Avenue Z","Brooklyn","NY","11235","2010-01-22T00:00:00.000","2022-7390","2022-05-03T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","3","40.588454","-73.949979","15","48","592","3204133","3074400049","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","POINT (-73.949979 40.588454)"
"Coptic Orthodox Church Of Archangel Michael & Sain","4095 Amboy Road","Staten Island","NY","10308","2012-08-07T00:00:00.000","2021-7078","2021-10-20T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","5","40.549354","-74.152882","3","51","14604","5070222","5054320001","Great Kills","POINT (-74.152882 40.549354)"
"Coptic Orthodox Patriarchate - Diocese of NY & NE","237-241 E. 62nd St.","New York","NY","10065","2020-09-30T00:00:00.000","2021-7177","2021-12-13T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","1","40.763055","-73.964295","8","4","110","1043837","1014170016","Lenox Hill-Roosevelt Island","POINT (-73.964295 40.763055)"
"Corona- Queens Seventh -day Adventist Church","40- 34 102 Street","Corona","NY","11368","2018-11-16T00:00:00.000","2021-7128","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","4","40.748883","-73.863756","4","21","407","4040329","4016100055","North Corona","POINT (-73.863756 40.748883)"
"Corona Seventh Day Adventist Church","35-30 103rd Street","Corona","NY","11368","2015-11-20T00:00:00.000","2022-7334","2022-03-21T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","4","40.754481","-73.86503","3","21","379","4043320","4017430020","North Corona","POINT (-73.86503 40.754481)"
"Corpus Christi Church","529 West 121st Street","New York","NY","10027","2008-05-06T00:00:00.000","2021-7154","2021-12-03T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","1","40.810419","-73.959678","9","7","203","1059650","1019760009","Morningside Heights","POINT (-73.959678 40.810419)"
"Cypress Hills Assembly of God","197-199 Highland Place","Brooklyn","NY","11208","2012-06-20T00:00:00.000","2021-6903","2021-07-02T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.680326","-73.880907","5","37","1174","3088177","3039590012","Cypress Hills-City Line","POINT (-73.880907 40.680326)"
"Danish Seamen's Church","102 Willow St","Brooklyn","NY","11201","2018-10-22T00:00:00.000","2021-7033","2021-09-24T00:00:00.000","2022-09-30T00:00:00.000","Active","New","3","40.697738","-73.995654","2","33","301","3001755","3002340045","Brooklyn Heights-Cobble Hill","POINT (-73.995654 40.697738)"
"Day Spring Baptist Church","1788 Amsterdam Avenue","New York","NY","10031","2017-05-02T00:00:00.000","2022-7429","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","1","40.827469","-73.945984","9","7","233","1062035","1020800032","Hamilton Heights","POINT (-73.945984 40.827469)"
"Dewitt Reformed Church","280 Rivington Street","New York","NY","10002","2010-04-26T00:00:00.000","2021-6931","2021-07-30T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","1","40.717468","-73.979726","3","2","1002","1004060","1003230073","Lower East Side","POINT (-73.979726 40.717468)"
"Diocese of the Armenian Church","630 Second Avenue","New York","NY","10016","2018-10-29T00:00:00.000","2022-7281","2022-03-01T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","1","40.745082","-73.975647","6","2","78","1081682","1009400001","Murray Hill-Kips Bay","POINT (-73.975647 40.745082)"
"Door of Faith Church and Bible School","136-27 35th Avenue","Flushing","NY","11354","2021-09-09T00:00:00.000","2021-7090","2021-10-28T00:00:00.000","2022-10-31T00:00:00.000","Active","New","4","40.764783","-73.830418","7","20","88901","4112031","4049510077","Flushing","POINT (-73.830418 40.764783)"
"Durga Shiva Mandir Inc","1120 Beach Ave","Bronx","NY","10472","2014-06-17T00:00:00.000","2021-7110","2021-11-10T00:00:00.000","2022-10-31T00:00:00.000","Active","Replace","2","40.828427","-73.865552","9","18","70","2092826","2037540016","Soundview-Bruckner","POINT (-73.865552 40.828427)"
"East 55th Street Conservative Synagogue","308 East 55th Street","New York","NY","10022","2008-05-27T00:00:00.000","2021-7044","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","1","40.757793","-73.965756","6","5","108","1071988","1013470047","Turtle Bay-East Midtown","POINT (-73.965756 40.757793)"
"East 7th Baptist Ministry- Graffiti Inc","205 East 7th Street","New York","NY","10009","2010-02-11T00:00:00.000","2022-7453","2022-06-01T00:00:00.000","2023-02-28T00:00:00.000","Active","Replace","1","40.724547","-73.979937","3","2","2602","1087567","1003900052","Lower East Side","POINT (-73.979937 40.724547)"
"East Midwood Jewish Center","1625 Ocean Avenue","Brooklyn","NY","11230","2008-05-06T00:00:00.000","2022-7481","2022-06-28T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","3","40.622341","-73.955743","14","45","760","3208316","3076200025","Midwood","POINT (-73.955743 40.622341)"
"East New York SDA Church","511 Elton Street","Brooklyn","NY","11208","2018-11-07T00:00:00.000","2021-7178","2021-12-13T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.670436","-73.882543","5","42","1164","3089787","3040500005","East New York","POINT (-73.882543 40.670436)"
"Ebenezer Gospel Tabernacle Christian Mission USA","223-25 Lenox Avenue","New York","NY","10027","2015-01-26T00:00:00.000","2021-6988","2021-09-01T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","1","40.805358","-73.947259","10","9","220","1057685","1019060029","Central Harlem South","POINT (-73.947259 40.805358)"
"Eben-Ezer Haitian Baptist Church","1058-60 President Street","Brooklyn","NY","11225","2016-11-18T00:00:00.000","2021-7182","2021-12-14T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","3","40.66847","-73.956505","9","35","325","3033459","3012800036","Crown Heights South","POINT (-73.956505 40.66847)"
"Eglise Baptiste De La Communion Fraternelle Inc.","2549 Church Avenue","Brooklyn","NY","11226","2008-05-06T00:00:00.000","2021-7031","2021-09-23T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","3","40.650647","-73.953313","17","40","822","3116923","3050900061","Prospect Lefferts Gardens-Wingate","POINT (-73.953313 40.650647)"
"Eglise Evangelique Du Reveil","580 Onderdonk Ave.","Ridgewood","NY","11385","2019-04-17T00:00:00.000","2022-7381","2022-04-25T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","4","40.705344","-73.909532","5","34","547","4082114","4034380029","Ridgewood","POINT (-73.909532 40.705344)"
"Eight Church Of Christ, Scientist","103 East 77TH Street","New York","NY","10021","2010-09-07T00:00:00.000","2021-7013","2021-09-14T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","1","40.774164","-73.961072","8","4","140","1043185","1014120005","Upper East Side-Carnegie Hill","POINT (-73.961072 40.774164)"
"Elmhurst Christian Gospel Church","90-41 Corona Avenue","Elmhurst","NY","11373","2008-04-29T00:00:00.000","2022-7392","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","4","40.742109","-73.874189","4","25","471","4039583","4015860037","Elmhurst","POINT (-73.874189 40.742109)"
"Emmanuel Temple","51-53 Rogers Avenue","Brooklyn","NY","11216","2008-05-07T00:00:00.000","2021-7045","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.675871","-73.952711","8","36","315","3030639","3012190002","Crown Heights North","POINT (-73.952711 40.675871)"
"Emmaus Bible Chapel Inc.","1250 East Gun Hill Road","Bronx","NY","10469","2011-08-16T00:00:00.000","2021-7027","2021-09-23T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","2","40.872343","-73.850657","11","12","348","2056810","2046190017","Allerton-Pelham Gardens","POINT (-73.850657 40.872343)"
"Eternal Love Baptist Church","54-07 99th Street","Corona","NY","11368","2011-03-23T00:00:00.000","2022-7258","2022-02-04T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","4","40.739448","-73.860618","4","21","44301","4047218","4019090032","Corona","POINT (-73.860618 40.739448)"
"Evangelical Church Mission And Seminary Internatio","41-42 College Point Boulevard, Unit 2B","Flushing","NY","11354","2019-09-19T00:00:00.000","2021-7152","2021-12-03T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","4","40.755301","-73.833334","7","20","849","4607290","4050637501","Flushing","POINT (-73.833334 40.755301)"
"Evangelical Church of God in New York Inc.","806 Jennings Street","Bronx","NY","10459","2011-04-18T00:00:00.000","2022-7299","2022-03-03T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","2","40.832076","-73.895512","3","16","153","2010430","2029720032","Crotona Park East","POINT (-73.895512 40.832076)"
"Evangelical Lutheran Church in America","1205 WoodyCrest Avenue","Bronx","NY","10452","2010-01-22T00:00:00.000","2021-6926","2021-07-30T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","2","40.837258","-73.924448","4","16","199","2003293","2025150049","Highbridge","POINT (-73.924448 40.837258)"
"Evangelical Lutheran Church Of Our Saviour","90-04 175th Street","Jamaica","NY","11432","2008-05-08T00:00:00.000","2022-7191","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","4","40.709765","-73.786654","12","27","462","4209889","4098100001","Jamaica","POINT (-73.786654 40.709765)"
"Evangelical Lutheran Emmaus Congregation","60-10 67th Avenue","Ridgewood","NY","11385","2008-05-08T00:00:00.000","2022-7245","2022-02-03T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","4","40.704773","-73.899982","5","30","585","4549124","4035120008","Ridgewood","POINT (-73.899982 40.704773)"
"Evangel Temple Inc.","227-10 Merrick Blvd.","Laurelton","NY","11413","2016-06-06T00:00:00.000","2021-6944","2021-07-30T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","4","40.67692","-73.742887","13","31","632","4281526","4131080027","Laurelton","POINT (-73.742887 40.67692)"
"Faith Assembly","120-13 101st Avenue","Richmond Hill","NY","11419","2008-05-07T00:00:00.000","2022-7210","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","4","40.690325","-73.824719","9","28","154","4199736","4094600028","Richmond Hill","POINT (-73.824719 40.690325)"
"Faith Assembly of God","2170 Bedford Avenue","Brooklyn","NY","11226","2008-05-07T00:00:00.000","2021-7026","2021-09-23T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","3","40.651107","-73.955893","14","40","79602","3116869","3050890041","Prospect Lefferts Gardens-Wingate","POINT (-73.955893 40.651107)"
"Faith Bible Inc","99-14 43rd Ave.","Corona","NY","11368","2008-05-07T00:00:00.000","2022-7302","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","4","40.7466","-73.864707","4","21","409","4314511","4016280031","North Corona","POINT (-73.864707 40.7466)"
"Faith Life Ministries","285 Buffalo Avenue","Brooklyn","NY","11213","2008-05-07T00:00:00.000","2022-7284","2022-03-01T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.669157","-73.925511","8","41","359","3037415","3013930007","Crown Heights North","POINT (-73.925511 40.669157)"
"Faith Pentecostal Tabernacle Mission","94 Lexington Ave","Brooklyn","NY","11238","2012-06-18T00:00:00.000","2021-7127","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.686833","-73.958202","3","35","229","3056420","3019700023","Clinton Hill","POINT (-73.958202 40.686833)"
"Father's Heart Church","543-545 East 11th Street","New York","NY","10009","2008-07-24T00:00:00.000","2021-6929","2021-07-30T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","1","40.728014","-73.980741","3","2","34","1005186","1004050041","East Village","POINT (-73.980741 40.728014)"
"Fellowship Baptist Church","1011 Faile Street","Bronx","NY","10459","2017-10-26T00:00:00.000","2022-7255","2022-02-03T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","2","40.823688","-73.889539","2","17","119","2006135","2027490056","Hunts Point","POINT (-73.889539 40.823688)"
"Fellowship Missionary Baptist Church","509 Van Siclen Ave.","Brooklyn","NY","11207","2011-10-28T00:00:00.000","2021-7129","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.667354","-73.88894","5","42","1160","3090004","3040580041","East New York","POINT (-73.88894 40.667354)"
"Fellowship Moravian Church","1950 Bedford Avenue","Brooklyn","NY","11225","2019-04-22T00:00:00.000","2022-7407","2022-05-04T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","3","40.65734","-73.956559","9","40","79601","3115676","3050450051","Prospect Lefferts Gardens-Wingate","POINT (-73.956559 40.65734)"
"Fenimore Street United Methodist Church","276 Fenimore Street","Brooklyn","NY","11225","2011-10-25T00:00:00.000","2022-7431","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","3","40.658475","-73.953808","9","40","802","3115569","3050430048","Prospect Lefferts Gardens-Wingate","POINT (-73.953808 40.658475)"
