BOOMSOORT,LATIJNSENA,STATUS,PLANTJAAR,HOOGTE,DIAMETER,EINDBEELD,VITALITEIT,LEVENSVERW,BEHEERDER,KORTETERM,OPPERVLAK,RANDLENGTE,LANGETERM,VTACONTROL,WEGTYPE,STANDPLAAT,GEOID,longitude,latitude
Wilg,Salix alba,Basis,1970,< 6,35 t/m 40,Knot,Basis,>15 jr,REB Stedelijk,Altijd,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Gazon,56029,5.4315979939,51.476818974300002
Es,Fraxinus angustifolia Elegantissima,Basis,1980,< 6,10 t/m 15,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,Eenrw.1 rijstr,Verharding,15180,5.50072482035,51.418915225299997
Populier,Populus euramericana,Basis,1975,> 24,60 t/m 65,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Gazon,105170,5.44816088213,51.424727812
Populier,Populus euramericana,Basis,1985,> 24,35 t/m 40,TR 4.20,Basis,>15 jr,REB Buitengebied,OhsA,0,0,Geen actie,C 1 x 5jr,Voetpad,Berm,46034,5.45733168301,51.489379543399998
Iep,Ulmus hollandica Commelin,Basis,1980,15-18,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,>2.5-5,0,Geen actie,C 1 x jr,DB 1 rijstr./rr,Verharding,52518,5.48098713582,51.481678323700002
Eik,Quercus robur,Basis,2009,< 6,5 t/m 10,TR 4.20,Geen,Geen,REB Stedelijk,BgsA,0,0,Advies rooien,C 1 x jr,EB>1 rijstr./rr,Berm,97207,5.40911593751,51.477246276499997
Eik,Quercus robur,Basis,1990,9-12,25 t/m 30,TR 4.20,Basis,>15 jr,REB Buitengebied,BgsV,0,0,Geen actie,C 1 x 5jr,NVT,Berm,67130,5.45647171831,51.493333508200003
,,,0,,,,,,Particulier,,,0,,,,,41198,5.50859774926,51.466594234900001
Peer,Pyrus calleryana Chanticleer,Basis,1980,6-9,10 t/m 15,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,10713,5.49425046261,51.413919803900001
Wilg,Salix alba,Basis,1985,< 6,20 t/m 25,Knot,Basis,>15 jr,REB Stedelijk,Altijd,0,0,Geen actie,C 1 x 3jr,EB 1 rijstr./rr,Berm,96968,5.51262484769,51.422558315800003
Iep,Ulmus hollandica Groeneveld,Basis,1975,12-15,25 t/m 30,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Beplanting,71654,5.46747108055,51.434433006699997
Eik,Quercus robur,Basis,1980,12-15,25 t/m 30,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,DB 1 rijstr./rr,Verharding,56151,5.43651243301,51.486694050099999
Lijsterbes,Sorbus hybrida,Basis,1985,< 6,20 t/m 25,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,11525,5.48324759864,51.421092463800001
Eik,Quercus robur,Monumentaal,1900,12-15,75 t/m 80,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,878,5.51989841356,51.425634916299998
Valse acasia,Robinia pseudoacacia Bessoniana,Waardevol,1940,12-15,60 t/m 65,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,>2.5-5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,49835,5.46001906557,51.471336773200001
Eik,Quercus robur,Basis,1975,12-15,35 t/m 40,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Beplanting,126030,5.44678070678,51.413096317600001
Eik,Quercus robur,Basis,1975,15-18,50 t/m 55,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Gazon,123745,5.48176555571,51.418937748099999
Linde,Tilia europaea Pallida,Basis,1970,12-15,55 t/m 60,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,>2.5-5,0,Geen actie,C 1 x 3jr,DB> 1 rijstr./rr,Verharding,64548,5.49630840362,51.425800318199997
Wilg,Salix alba Liempde,Basis,1980,< 6,20 t/m 25,Knot,Basis,>15 jr,REB Buitengebied,Altijd,0,0,Geen actie,C 1 x 5jr,Voetpad,Berm,42681,5.50879193794,51.466910065100002
Populier,Populus euramericana,Basis,1995,18-24,20 t/m 25,TR 4.20,Basis,>15 jr,REB Buitengebied,OhsB,0,0,Geen actie,C 1 x 5jr,Voetpad,Berm,57181,5.45460332305,51.4851017656
Berk,Betula utilis Jacquemontii,Basis,1980,6-9,25 t/m 30,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Beplanting,10969,5.48657044113,51.413524817199999
Linde,Tilia vulgaris europaea,Basis,1985,6-9,40 t/m 45,TR 3.00,Basis,>15 jr,REB Buitengebied,BgsA,0,0,Geen actie,C 1 x 5jr,Fietspad,Berm,124485,5.50810580424,51.456424333299999
Eik,Quercus palustris,Waardevol,1960,18-24,45 t/m 50,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Beplanting,82308,5.43968832736,51.4198176222
Eik,Quercus robur,Basis,1975,15-18,55 t/m 60,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,NVT,Beplanting,44495,5.46227777342,51.479859562500003
Esdoorn,Acer negundo,Basis,1965,15-18,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Gazon,86586,5.46073811739,51.4168556188
Es,Fraxinus excelsior,Basis,1970,15-18,35 t/m 40,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Beplanting,74560,5.47429425913,51.479227287000001
Peer,Pyrus calleryana Chanticleer,Waardevol,1995,6-9,10 t/m 15,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,82412,5.46364423206,51.427279654899998
Sierappel,Malus Liset,Basis,1990,< 6,10 t/m 15,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,50207,5.44605125166,51.488243926300001
Els,Alnus glutinosa,Basis,1980,9-12,45 t/m 50,Vrij uitgroei,Basis,>15 jr,REB Buitengebied,OhsA,0,0,Geen actie,C 1 x 5jr,NVT,Berm,123466,5.52380492387,51.455677935300002
Eik,Quercus palustris,Basis,2001,9-12,20 t/m 25,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,2.5,4,Geen actie,C 1 x 3jr,Voetpad,Gazon,36031,5.52147984563,51.442036717500002
Eik,Quercus robur,Waardevol,1940,18-24,65 t/m 70,Vrij uitgroei,Hoog,>15 jr,REB Buitengebied,OhsA,0,0,Geen actie,C 1 x 5jr,NVT,Anders,58639,5.45619689587,51.493546432599999
Peer,Pyrus calleryana Chanticleer,Basis,2005,,,TR 3.00,,,REB Stedelijk,BgsB,,0,Geen actie,C 1 x 3jr,,Beplanting,106302,5.4516483589,51.423460181199999
Eik,Quercus robur,Monumentaal,1930,18-24,60 t/m 65,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x jr,DB> 1 rijstr./rr,Berm,60970,5.4830742693,51.415391770600003
Esdoorn,Acer platanoides,Basis,1975,6-9,25 t/m 30,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Beplanting,83322,5.45587246686,51.422069632499998
Plataan,Platanus hispanica,Basis,1970,12-15,35 t/m 40,TR 4.20,Laag,10-15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,98792,5.44602001529,51.477652576700002
Eik,Quercus robur,Waardevol,1970,15-18,30 t/m 35,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Berm,20191,5.52972110879,51.4321959635
Kers,Prunus serrulata Kanzan,Basis,1990,6-9,20 t/m 25,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,NVT,Beplanting,135619,5.47342967241,51.4330928567
Eik,Quercus robur,Waardevol,2005,< 6,5 t/m 10,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Berm,53846,5.46472948702,51.485871564
Plataan,Platanus acerifolia,Basis,1975,12-15,45 t/m 50,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,DB 1 rijstr./rr,Gazon,73610,5.4860858995,51.476718059
Esdoorn,Acer campestre Queen Elizabeth,Basis,1990,< 6,5 t/m 10,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,Voetpad,Verharding,51556,5.47495235332,51.488979645100002
Linde,Tilia tomentosa,Basis,1965,15-18,50 t/m 55,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,>2.5-5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,9336,5.49445153225,51.434049856800002
Eik,Quercus mauri,Basis,2011,,,,,,REB Stedelijk,BgsB,,0,Geen actie,C 1 x 3jr,,Verharding,95405,5.47786463119,51.478920890700003
Eik,Quercus robur,Basis,1970,15-18,45 t/m 50,TR 3.00,Basis,10-15 jr,Sportparken,OhsB,0,0,Geen actie,C 1 x jr,Fietspad,Berm,13594,5.47620282158,51.406791916400003
Els,Alnus spaethii,Waardevol,1980,15-18,50 t/m 55,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Berm,132290,5.46695566469,51.422162024400002
Linde,Tilia europaea Euchlora,Basis,1985,9-12,30 t/m 35,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Beplanting,137231,5.44780854713,51.415372370599997
Esdoorn,Acer rubrum Scanlon,Basis,1970,9-12,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,65872,5.42949066991,51.482067326900001
Els,Alnus cordata,Basis,1990,9-12,25 t/m 30,TR 3.00,Basis,10-15 jr,Sportparken,BgsA,0,0,Geen actie,C 1 x 3jr,NVT,Beplanting,120278,5.47692414056,51.415597435700001
Esdoorn,Acer saccharinum Pyramidale,Basis,1950,18-24,85 t/m 90,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,>5,0,Geen actie,C 1 x 3jr,Eenrw.1 rijstr,Verharding,20570,5.49527561195,51.424289967599996
Es,Fraxinus excelsior Diversifolia,Basis,2000,< 6,5 t/m 10,TR 4.20,Laag,10-15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,106858,5.46042352572,51.418801994699997
Plataan,Platanus acerifolia,Basis,2000,< 6,10 t/m 15,Lei,Hoog,>15 jr,Sportparken,OhsB,2.5,2,Geen actie,C 1 x 3jr,Voetpad,Verharding,79217,5.47757761071,51.413033776799999
Berk,Betula pendula,Basis,1970,15-18,35 t/m 40,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,NVT,Beplanting,74585,5.47068375406,51.478330399199997
Honingboom,Sophora japonica,Basis,1970,15-18,55 t/m 60,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsA,0,0,Geen actie,C 1 x 3jr,EB 1 rijstr./rr,Beplanting,29320,5.48850949282,51.464734034000003
Es,Fraxinus biltmoreana,Basis,1965,12-15,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,DB> 1 rijstr./rr,Gazon,46472,5.44731123379,51.478433354899998
Es,Fraxinus angustifolia,Basis,1980,12-15,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,DB 1 rijstr./rr,Beplanting,97026,5.46984044043,51.481616561099997
Eik,Quercus cerris,Basis,1980,18-24,40 t/m 45,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsA,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Gazon,118955,5.49045079269,51.459580339200002
Eik,Quercus robur,Basis,1950,18-24,70 t/m 75,TR 3.00,Basis,10-15 jr,Sportparken,OhsB,0,0,Geen actie,C 1 x jr,Fietspad,Berm,13733,5.4760925451,51.407639095599997
Kers,Prunus serrulata Kanzan,Basis,1970,< 6,45 t/m 50,TR 3.00,Laag,10-15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Eenrw.1 rijstr,Gazon,27577,5.50611719052,51.436597871300002
Trompetboom,Catalpa speciosa,Waardevol,1940,12-15,65 t/m 70,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,NVT,Verharding,38955,5.46840704076,51.4709752849
Eik,Quercus robur,Waardevol,1985,18-24,25 t/m 30,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Eenrw.1 rijstr,Berm,12881,5.52268019339,51.432881571499998
Linde,Tilia europaea Pallida,Waardevol,1980,6-9,25 t/m 30,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,15914,5.49472436162,51.421851701900003
Paardenkastanje,Aesculus hippocastanum Baumannii,Basis,1940,15-18,65 t/m 70,TR 4.20,Basis,5-10 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Gazon,25932,5.49726736022,51.437597823600001
Esdoorn,Acer platanoides Erectum,Basis,1970,12-15,50 t/m 55,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Beplanting,72704,5.50172713644,51.481865845500003
Lijsterbes,Sorbus austriaca,Basis,1980,< 6,20 t/m 25,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,124104,5.42643761736,51.477409704000003
Eik,Quercus robur,Waardevol,1960,18-24,70 t/m 75,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,NVT,Beplanting,40470,5.45614177065,51.468912644100001
Amberboom,Liquidambar styraciflua,Basis,2005,< 6,5 t/m 10,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,3,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Gazon,120644,5.4196151165,51.484199795199999
Esdoorn,Acer platanoides Olmsted,Basis,2005,6-9,10 t/m 15,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Beplanting,9154,5.48928199186,51.427964774800003
Plataan,Platanus hispanica,Basis,1984,12-15,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,26135,5.50297288933,51.436696255800001
Linde,Tilia europaea Pallida,Basis,1965,15-18,50 t/m 55,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,>2.5-5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,64649,5.49480181251,51.433779243899998
Berk,Betula pendula Crispa,Basis,1995,< 6,10 t/m 15,TR 3.00,Laag,10-15 jr,REB Stedelijk,BgsB,2.5,3,Geen actie,C 1 x jr,EB geen rijstr.ind,Gazon,19553,5.51473414038,51.418956196400003
Eik,Quercus cerris,Waardevol,1960,18-24,50 t/m 55,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Gazon,90307,5.4446583273,51.442451571699998
Esdoorn,Acer platanoides Deborah,Basis,1985,6-9,20 t/m 25,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Beplanting,56866,5.46187582888,51.485523634800003
Linde,Tilia europaea Zwarte Linde,Basis,1975,18-24,50 t/m 55,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,>2.5-5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,35525,5.46777411719,51.461479263100003
Peer,Pyrus calleryana Chanticleer,Basis,1988,< 6,10 t/m 15,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,7783,5.49151975959,51.433044842900003
Amberboom,Liquidambar styraciflua,Basis,2010,,,TR 4.20,,,REB Stedelijk,BgsB,,0,Geen actie,C 1 x 3jr,,Verharding,77782,5.44487698752,51.4178989555
Kers,Prunus serrulata Pink Perfection,Basis,1970,< 6,20 t/m 25,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,62996,5.4521463724,51.485815305599999
Beuk,Fagus sylvatica,Basis,1985,12-15,25 t/m 30,TR 4.20,Basis,>15 jr,REB Buitengebied,BgsA,0,0,Geen actie,C 1 x 5jr,EB geen rijstr.ind,Beplanting,65489,5.50374715996,51.457974034999999
Eik,Quercus robur,Waardevol,1960,18-24,50 t/m 55,TR 4.20,Basis,>15 jr,REB Buitengebied,OhsA,0,0,Geen actie,C 1 x 5jr,EB geen rijstr.ind,Berm,75828,5.49004241826,51.493729422299999
Eik,Quercus robur,Basis,1975,15-18,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,26768,5.52304775866,51.44719276
Plataan,Platanus hispanica,Basis,1950,15-18,65 t/m 70,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Beplanting,6790,5.4907843826,51.443125588699999
Plataan,Platanus hispanica,Basis,1935,15-18,60 t/m 65,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsA,>2.5-5,0,Geen actie,C 1 x jr,EB geen rijstr.ind,Verharding,16969,5.4926158205,51.441745594399997
Berk,Betula pubescens,Basis,1980,15-18,15 t/m 20,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,NVT,Berm,54234,5.47851605976,51.492305656200003
Eik,Quercus robur,Basis,1965,15-18,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,DB> 1 rijstr./rr,Beplanting,51154,5.4480041647,51.477343165400001
Eik,Quercus robur,Basis,1980,12-15,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,132848,5.53213603047,51.448363562799997
Eik,Quercus robur,Waardevol,2006,6-9,10 t/m 15,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Berm,105406,5.53481901038,51.438834461399999
Lijsterbes,Sorbus latifolia Atrovirens,Basis,1980,< 6,20 t/m 25,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,Voetpad,Verharding,27892,5.5266407608,51.441836958800003
Linde,Tilia cordata Rancho,Basis,1985,9-12,35 t/m 40,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,101510,5.51492262395,51.4379952082
Haagbeuk,Carpinus betulus Fastigiata,Basis,1970,12-15,40 t/m 45,TR 4.20,Laag,10-15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x jr,EB geen rijstr.ind,Verharding,18548,5.51547101349,51.427203261099997
Paardenkastanje,Aesculus hippocastanum,Waardevol,1990,6-9,20 t/m 25,TR 4.20,Basis,5-10 jr,REB Stedelijk,BgsA,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,81232,5.46160530561,51.422099725800003
Populier,Populus Canadensis Gelrica,Waardevol,1970,> 24,55 t/m 60,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,NVT,Berm,64590,5.51341713072,51.452054636
Populier,Populus euramericana,Waardevol,1980,15-18,35 t/m 40,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,131760,5.47290695034,51.419732591799999
Linde,Tilia vulgaris europaea,Waardevol,1975,15-18,45 t/m 50,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Beplanting,100430,5.45874068698,51.427174467699999
Meidoorn,Crataegus prunifolia Splendens,Basis,1980,< 6,20 t/m 25,TR 4.20,Laag,10-15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,Eenrw.> 1 rijstr,Verharding,93628,5.49879461473,51.479671537900003
Valse Tulpenboom,Magnolia kobus,Basis,1980,< 6,15 t/m 20,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,Voetpad,Verharding,33521,5.52658979675,51.444075607000002
Iep,Ulmus hollandica Commelin,Basis,1970,15-18,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,DB> 1 rijstr./rr,Gazon,46987,5.44876627999,51.476653541700003
Eik,Quercus robur,Monumentaal,1910,18-24,90 t/m 95,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Beplanting,12176,5.48360127069,51.4275701408
,,Basis,1965,< 6,40 t/m 45,Vrij uitgroei,,,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,NVT,Berm,51006,5.43779679975,51.476085584700002
Eik,Quercus palustris,Waardevol,2000,9-12,15 t/m 20,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Beplanting,73378,5.48809706431,51.471568986800001
Linde,Tilia platyphyllos,Basis,1986,12-15,30 t/m 35,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Beplanting,127797,5.51070025865,51.454095082499997
Linde,Tilia europaea Pallida,Waardevol,1968,12-15,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB 1 rijstr./rr,Verharding,20982,5.49461966655,51.424927441199998
Eik,Quercus robur,Waardevol,1985,9-12,25 t/m 30,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,128348,5.53383817502,51.436953540099999
Iep,Ulmus hollandica Commelin,Basis,1990,12-15,35 t/m 40,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Beplanting,84251,5.44698258152,51.413470961599998
Valse Tulpenboom,Magnolia kobus,Basis,1990,< 6,0 t/m 5,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,52781,5.46549408979,51.484876799699997
Kers,Prunus Umineko,Basis,1980,< 6,20 t/m 25,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,15025,5.5109753547,51.417856897999997
Populier,Populus alba,Basis,1985,< 6,0 t/m 5,TR 3.00,Geen,Geen,REB Stedelijk,BgsA,0,0,Boomspiegel verwijderen,C 1 x 3jr,Voetpad,Beplanting,82069,5.4343008466,51.410547196400003
Esdoorn,Acer campestre Elsrijk,Basis,1975,12-15,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,19025,5.50861648302,51.428140020100003
Es,Fraxinus excelsior Westhofs Glorie,Basis,1975,12-15,45 t/m 50,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsA,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Gazon,34112,5.49289840818,51.464599889600002
Es,Fraxinus ornus,Basis,1990,9-12,20 t/m 25,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,135114,5.47046783475,51.4306557803
Eik,Quercus palustris,Waardevol,1935,18-24,65 t/m 70,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Beplanting,81789,5.44033751969,51.415945503099998
Japanse Noteboom,Ginkgo biloba,Basis,2000,6-9,10 t/m 15,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,DB 1 rijstr./rr,Verharding,101576,5.46638814624,51.481176546299999
Eik,Quercus robur,Basis,1986,6-9,15 t/m 20,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,12183,5.48629880031,51.428146630999997
,,Basis,1975,< 6,25 t/m 30,Vrij uitgroei,,,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,NVT,Berm,44270,5.43828802816,51.476228109899999
Populier,Populus euramericana,Basis,1975,> 24,50 t/m 55,TR 4.20,Basis,>15 jr,REB Buitengebied,OhsA,0,0,Geen actie,C 1 x 5jr,Voetpad,Berm,57958,5.45524304638,51.486751404400003
Plataan,Platanus hispanica,Waardevol,1975,18-24,70 t/m 75,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,DB> 1 rijstr./rr,Gazon,135110,5.46456637889,51.427558998199999
Els,Alnus cordata,Basis,1970,18-24,60 t/m 65,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,Voetpad,Gazon,1803,5.52504553801,51.443440595600002
Eik,Quercus rubra,Waardevol,1950,> 24,50 t/m 55,TR 4.20,Basis,>15 jr,REB Buitengebied,OhsA,0,0,Geen actie,C 1 x 5jr,EB geen rijstr.ind,Berm,2128,5.508543256,51.459558831599999
Eik,Quercus robur,Basis,1960,12-15,45 t/m 50,TR 3.00,,,REB Buitengebied,BgsB,0,0,Geen actie,C 1 x 5jr,EB geen rijstr.ind,Berm,127327,5.51835029358,51.457172734899999
Amberboom,Liquidambar styraciflua,Basis,2005,< 6,5 t/m 10,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,3,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Gazon,120730,5.41982136217,51.482500477999999
Linde,Tilia vulgaris europaea,Basis,1970,15-18,45 t/m 50,Kandelaber,Basis,>15 jr,Sportparken,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,20630,5.4786034974,51.412984967200003
