Leverancier;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Cultuurtechniek H.G. van Dorresteijn B.V.;2;;;;2
Cuppens en Zn. Aannemers B.V.;7;;;;7
Curacao Swimming Pool Sales en Services N.V.;1;;;;1
Curacaose Wegenbouw Mij. B.V.;1;;;;1
Cushman & Wakefield V.O.F.;2;;;;2
CWS Nederland;2;;;;2
Cyclus Vastgoedonderhoud;5;;;;5
D en W Elektrotechniek B.V.;1;;;;1
D. van der Steen B.V.;3;;;;3
Daad Architecten;2;;;;2
Daan Spaansen;2;;;;2
Daan Steijnen van Eck;1;;;;1
DÃƒÂ© Vastgoedbeschermer B.V.;;;;2;2
Dakbedekkingsbedrijf Boko B.V.;3;;;;3
Dakbedekkingsbedrijf Elro;6;;;;6
Dakdekkersbedrijf Rudde B.V.;2;;;;2
Dakindex;2;;;;2
Damstra Service & Onderhoud;4;;;;4
DAP Advies B.V.;5;;;;5
Dassen Bouw B.V.;4;;;;4
DBH Business Services International B.V.;;;;1;1
DC16 B.V.;;;;9;9
DDC Consulting Gevelraad;4;;;;4
de Architekten Cie. B.V.;7;;;;7
De Beeldunie;1;;;;1
De Bloemenvink;1;;;;1
De Bosman Bedrijven B.V.;1;;;;1
De Comme B.V.;5;;;;5
De Dakdokters B.V.;1;;;;1
De Goede Inspecties;3;;;;3
De Gooijer B.V.;2;;;;2
De Graaf en van Stijn B.V.;2;;;;2
De Groene Ruimte B.V.;1;;;;1
De Groot Brandwachten B.V.;4;;;;4
De Groot Luchtkanalen B.V.;2;;;;2
De Groot Vroomshoop Bouwsystemen B.V.;6;;;;6
De Haan Westerhoff Projecten B.V.;2;;;;2
De Huiszwaluw;1;;;;1
De Jager Totaal B.V.;4;;;;4
De Jong Construction N.V.;2;;;;2
De Jufferen Lunsingh V.O.F.;;;;1;1
De Kabath Vastgoedbescherming B.V.;;;;1;1
De Keizer Vechtstreek makelaars;;;;1;1
De Kerf & Van Sprang Notarissen B.V.;;;;1;1
De Kok Bouwgroep;7;;;;7
De Kompaszaal;1;;;;1
De Kookfabriek Utrecht B.V.;1;;;;1
De Leeuw Protection Systems B.V.;2;;;;2
De Meervaart;2;;;;2
De Meeuw Oirschot B.V.;1;;;2;2
De Meeuw Verhuur Nederland B.V.;;;;4;4
De Noordhoek;5;;;;5
De Raad Vastgoed B.V.;1;;;;1
De Raat Security Products B.V.;1;;;;1
De Rietwood Stichting;3;;;;3
De Roever Milieuadvisering;2;;;;2
De Specialisten Groep B.V.;1;;;;1
De Spijker VBA Bouwbedrijf;2;;;;2
De Utrechtse Haven B.V.;1;;;;1
De Visser Netherlands B.V.;1;;;;1
De Vlieg Techniek B.V.;7;;;;7
De Vroome Advies B.V.;2;;;;2
De Wijde Blik B.V.;;;;1;1
DE WIT datacenterkoeling B.V.;2;;;;2
De Zee Schilderwerken;;;;1;1
De Zwarte Hond Groningen B.V.;2;;;;2
DECO N.V.;4;;;;4
Deerns Nederland B.V.;7;;;;7
Defesche Van den Putte B.V.;5;;;;5
Degenaar Gevelonderhoud B.V.;;1;;;1
Deka Immobilien Investment Netherlands;;2;;9;9
Dekker Schildersbedrijf B.V.;3;;;;3
Dela Vastgoed B.V.;;5;;6;7
Delmeco Raadgevend Ingenieursbureau B.V.;2;;;;2
DELVA Landscape Architects;1;;;;1
Demton B.V.;;;;2;2
Den Helder Airport C.V.;;1;;2;2
Den Hoed Aannemers B.V.;1;;;;1
Den Ouden Aannemingsbedrijf B.V.;6;;;;6
Den Ouden-Woonflair;2;;;;2
Design and Construct TuenterB.V.;1;;;;1
Dgi Dak & Gevel Ingenieurs B.V.;3;;;;3
DGMR Bouw B.V.;6;;;;6
Dieptescherpte B.V.;4;;;;4
Dion Kraft woning & project stoffering;2;;;;2
Discountoffice.nl B.V.;1;;;;1
Dit is Plek;2;;;;2
Django Music;;;;1;1
DKC Elektrotechniek B.V.;4;;;;4
DKC Koudetechniek B.V.;3;;;;3
DKC Service & Onderhoud B.V.;5;;;;5
DLR Adviesgroep B.V.;1;;;;1
Dolfsma Dakbedekkingen;4;;;;4
Dolmans Landscaping Limburg;1;;;;1
Dolmans Landscaping Services Noord;5;;;;5
Dolmans Wieringen Prins B.V.;2;;;;2
Dombosch Bouw B.V.;7;;;;7
Donker Inspecties B.V.;1;;;;1
donkergroen;1;;;;1
Donkergroen B.V.;1;;;;1
Doornebal Interieurs B.V.;5;;;;5
Doors and More B.V.;2;;;;2
Doors 'N More Nv d.b.a. Rollfix;1;;;;1
dormakaba Nederland B.V.;2;;;;2
Dostal Wegenbouw B.V.;7;;;;7
Double U Building B.V.;;3;;5;6
DPA Cauberg-Huygen B.V.;1;;;;1
dpcp B.V.;6;;;;6
DPI Animation House B.V.;1;;;;1
Dr. Josepha Kempl - Muurpathologie;1;;;;1
draaijer+partners B.V.;1;;;;1
Dräger Safety Nederland B.V.;1;;;;1
Drees & Sommer Netherlands B.V.;3;;;;3
Drieborgh C.V.;;2;;7;7
DSS-de Swart Services B.V.;4;;;;4
DTV Consultants B.V.;1;;;;1
Duif Advies;2;;;;2
Duijndam Holding B.V.;1;;;;1
Duijvelaar Pompen;2;;;;2
Duikbedrijf C.O.W. B.V.;1;;;;1
Dukers & De Cock Eindhoven B.V.;3;;;;3
Dunea N.V.;3;4;;3;5
Duo2 B.V.;;;;9;9
Dura Vermeer Bouw Hengelo B.V.;7;;;;7
Dura Vermeer Bouw Heyma B.V.;9;;;;9
Dura Vermeer Divisie Bouw en Vastgoed B.V.;8;;;7;9
Dura Vermeer Infra Milieu B.V.;2;;;;2
Dura Vermeer Vastgoed B.V.;3;;;;3
Durable Water Solutions B.V.;2;;;;2
DuraEquipe B.V.;3;;;;3
DURO Ruimtelijke Ontwikkeling;1;;;;1
DURVT B.V.;2;;;;2
Dusseldorp Infra, Sloop en Mil.techn. B.V.;3;;;;3
Dutch Water Tech B.V.;1;;;;1
DuurzaamNL B.V.;8;;;2;8
DVP B.V.;4;;;;4
DWA B.V.;6;;;;6
dWb Construction B.V.;2;;;;2
DWESAM Engineering bvba;2;;;;2
Dynaf Caribbean;4;;;;4
Dynaf N.V.;3;;;;3
Dynamic No-Break B.V.;1;;;;1
Dynamis Taxaties Nederland B.V.;1;;;;1
Dynatherm;4;;;;4
E.F.P.C.;2;;;;2
E.M.N.;;;;1;1
E.v.M Onderhoudsbedrijf/Logistiek;;;2;;2
Eco Assist;1;;;;1
Eco Reest B.V.;1;;;;1
Eco-bon-air;1;;;;1
Ecocert B.V.;2;;;;2
Ecogroen B.V.;1;;;;1
Ecologica B.V.;1;;;;1
Ecologisch Adviesbureau Viridis B.V.;3;;;;3
ECONNETIC B.V.;1;;;;1
Econsultancy B.V.;1;;;1;2
EcoReno B.V.;2;;;;2
ECORYS Nederland B.V.;;;;1;1
Edese Schaapskudde;2;;;;2
Edu4Install;1;;;;1
Eemshaven Real Estate B.V.;;;;5;5
Eetcafé Movies;1;;;;1
Efectis Nederland B.V.;2;;;;2
EGM Architecten B.V.;4;;;;4
Eighty 2 Concepts B.V.;1;;;;1
Eijkelboom B.V.;8;;;;8
Eijsbouts Fabriek van Torenuurwerken B.V.;3;;;;3
Eindhoven Airport N.V.;;4;;4;5
Ekwadraat Advies B.V.;2;;;;2
Elan Notarissen Praktijkvennootschap B.V.;;;;1;1
Eldon Labasti Elite Technology;1;;;;1
Electra Spark N.V.;5;;;;5
Electro-Technisch Install.bdr. 'Leerkes' B.V.;2;;;;2
Electrotechnisch Installatiebedrijf Schut BV;1;;;;1
Elektro-Herrmann GmbH;1;;;;1
Elektroraad Expertise B.V.;2;;;;2
Elektrotechniek Schuurmans B.V.;6;;;;6
Elektrotechnisch Inspectie Instituut;2;;;;2
Element Breda;1;;;;1
Eliëns Interieur Projecten B.V.;2;;;;2
Elinex Power Solutions B.V.;4;;;;4
Elite liften en roltrappen B.V.;2;;;;2
Elro Dakbedekking B.V.;;;;1;1
Else.com;1;;;;1
Elsenga Installatietechniek B.V.;2;;;;2
Elycio Vertalers;1;;;;1
Emmy de Groot advies, conservering,restaurat;1;;;;1
Emondt Multiclima;2;;;;2
Endenburg Elektrotechniek B.V.;7;;;;7
Endevoets Dakbedekkingen;4;;;;4
Endress + Hauser B.V.;1;;;;1
Eneco B.V.;;4;;;4
Eneco Services B.V.;1;;;2;2
Eneco Warmte & Koude Leveringsbedrijf B.V.;4;;;;4
Eneco Warmteproductie Utrecht B.V.;;;;2;2
Eneco Zakelijk;;4;;;4
Enerdeco B.V.;2;;;;2
Energie Service Dijkstra;;;;1;1
Energy Containment Concepts Ltd;2;;;;2
Enexis Netbeheer B.V.;;;;1;1
Engelen-Groen Uden B.V.;7;;;;7
Engelsman Hoveniers B.V.;7;;;;7
ENGIE Infra & Mobility B.V.;6;;;;6
ENGIE Services Noord locatie Leeuwarden;7;;;;7
ENGIE Services West B.V.;9;;;;9
ENGIE Services Zuid B.V.;8;;;;8
Entech B.V.;3;;;;3
Enviro Tech B.V.;1;;;;1
EPM B.V.;2;;;;2
Eputan Kunststoftechniek B.V.;3;;;;3
Equitrend;1;;;;1
Ergolift Services B.V.;1;;;;1
Ergoquip Nederland B.V.;1;;;;1
Erik Jansen Fotografie;1;;;;1
ERIKS Servicecenter Gelderland;4;;;;4
ESJ Vastgoedonderhoud;2;;;;2
Eskay Enterprises N.V.;1;;;;1
Essent Retail Energie B.V.;;1;;1;1
Eureka Internationaal B.V.;1;;;;1
Eurocarbo Benelux B.V.;1;;;;1
Eurodunk;1;;;;1
Eurofiber Holding B.V.;2;;;;2
Eurofins Agro Testing Benelux Holding B.V.;1;;;;1
Euromate B.V.;1;;;;1
Eurosafe Solutions B.V.;4;;;;4
Eurotempest B.V.;4;;;;4
Eurotrapliften B.V.;2;;;;2
EusebiusBS (Arnhem) B.V.;;1;;7;7
Eussen Bouw B.V.;4;;;;4
EV Consult B.V.;2;;;;2
Eva Holding B.V.;2;;;;2
EV-Box;;;;;
Evelien van Es;;;;2;2
EversPartners B.V.;3;;;;3
Ex Interiors B.V.;2;;;;2
Exceloplossing B.V.;1;;;;1
Ex-Ox-Tox;2;;;;2
Expedio Arbori;1;;;;1
Expertise Bureau Noord B.V.;1;;;;1
Exploitatie Dwarstocht 6 Zaandam B.V.;;;;3;3
Exploitatie Maatschappij Komfort B.V.;6;;;;6
Exploitatiebedrijf Wierts B.V.;1;;;;1
Exploitatiemaatschappij Busio B.V.;;;;4;4
Exploitatiemaatschappij CDR N.V.;3;;;;3
Exploitatiemaatschappij Mubutex B.V.;;;;3;3
Exploitatiemij. Grand Hotel Karel V B.V.;1;;;;1
Exploitatiemij. Havencompl. Lauwersoog B.V.;;;;2;2
Explosive Clearance Group B.V.;3;;;;3
Express Cargo Service N.V.;1;;;;1
Eye D Transport & More VBA;1;;;;1
Eyefly B.V.;1;;;;1
F.C.D. van Wageningen Architecten B.V.;2;;;;2
F.M.T. Beheer B.V.;1;;;;1
Fa. Jimmink Julianadorp;1;;;;1
Fa. Van Effrink & Malestein;5;;;;5
FAAD Electrical;7;;;;7
FaberExposize B.V.;1;;;;1
Facilicom PPS B30 B.V.;6;;;8;8
Facilicom PPS Doetinchem Exploitatie B.V.;;;;7;7
Facilicom Solutions B.V.;8;;;;8
Fair Price;1;;;;1
Fakton Executives B.V.;;;;2;2
Falco B.V.;1;;;;1
Farraig C.V.;;;;3;3
Federatie Ruimtelijke Kwaliteit;1;;;;1
Feld Technische Dienst en Groen Onderhoud;;;;1;1
Felixx Landscape Architects & Planners;2;;;;2
Felixx Landscape Architects & Planners B.V.;2;;;;2
FENEXIS;;2;;;2
Feuerstein Holding B.V.;6;;;;6
Fewiro Wijchen B.V.;7;;;;7
Fides Expertise B.V.;1;;;;1
Fieten & Roos B.V.;4;;;;4
Fietscentrum Overdevest B.V.;;;;1;1
Figo Figo Heavy Equipment;2;;;;2
Fire Protection Support;3;;;;3
Fire Safety First B.V.;4;;;;4
Firesol B.V.;1;;;;1
Firma Schuurmans;5;;;;5
Firma Van Es Boomverzorging;2;;;;2
Flash Rental Services B.V.;3;;;;3
Flora Nova Hoven.- en Groenvoorzieningen B.V.;1;1;;;1
Flores B.V.;;;;5;5
Floriaan B.V.;2;;;;2
Florian Braakman Fotografie & Beeldbewerking;1;;;;1
Florie Makelaardij;;;;2;2
Florisse De Maas B.V.;;5;;7;7
Flux Landscape Architecture B.V.;2;;;;2
FN2 B.V.;;4;;7;7
Formabouw B.V.;2;;;;2
Foster en Gamko;1;;;;1
Fotex Netherlands B.V.;;;;7;7
Foto Jan Bouwhuis;1;;;;1
Fotografie Siebe Swart;;;;1;1
Franke Koffieservices;1;;;;1
Fransje Killaars;1;;;;1
Frens Construction N.V.;5;;;;5
Frensly J.E. Constancia Jefcon Airconditioning;2;;;;2
Freyssinet Oost B.V.;2;;;;2
Frimex Service;3;;;;3
Fris Bedrijfsmakelaars B.V.;;;;2;2
Frits de Wind Logistiek advies;2;;;;2
Frontwise Facades;2;;;;2
Fudura B.V.;;1;;;1
Fugro NL Land B.V.;2;;;;2
Fuhler Wegenbouw;1;;;;1
Fundashon Cas Bonairiano;;;;2;2
G & B Beheer B.V.;1;;;;1
G & C Holding B.V.;;;;2;2
G. van den Bos Loon- en Grondverzetbedrijf;1;;;;1
G.J.M, M.A.J. v.den Berg en J.A.J. v.den Berg;1;;;;1
Gaari General Contractor;6;;;;6
Gacom B.V.;2;;;;2
Galjema B.V. Technisch Adviesbureau;5;;;;5
Gardeluxe B.V.;2;;;;2
Garnet Bonaire B.V.;4;;;;4
Gasunie BBL B.V.;;;;1;1
Gate2 Vastgoed B.V.;;5;;5;6
gAvilar B.V.;1;;;;1
GEA Westfalia Separator Nederland B.V.;1;;;;1
Gebiedsmanagers B.V.;1;;;;1
Gebr. Griekspoor B.V.;7;;;;7
Gebr. Meijer Luchttechniek B.V.;1;;;;1
Gebr. Van der Veekens B.V.;;1;;2;2
Gebr. van Kessel B.V.;5;;;;5
Gebr. Van Kessel Spec. Techn. en Prod. B.V.;2;;;;2
Gehlen Zonwering B.V.;1;;;;1
Geleijns B.V.;1;;;;1
Generation Energy B.V.;3;;;;3
GenKoo B.V.;2;;;;2
Geo.xyz B.V.;2;;;;2
Geofox-Lexmond B.V.;1;;;;1
Geomaat B.V.;1;;;;1
Geomet B.V.;2;;;;2
Geomij B.V.;;;;1;1
Geopoints;1;;;;1
Georg Fromm Batavia-Haven;1;;;;1
Geotron Caribbean, onderzoeksburo voor Grond;1;;;;1
Gerco Brandpreventie B.V.;4;;;;4
Gerrits Glas- en Schilderwerken;5;;;;5
Gerrits Glas- en Schilderwerken B.V.;2;;;;2
Geurts Civiele Techniek;2;;;;2
Geveke B.V.;1;;;;1
Gevelliften.nl B.V.;1;;;;1
Geveltechniek Mexim Aruba Operations vba;2;;;;2
GGB inBalans B.V.;2;;;9;9
GHG B.V.;1;4;;5;6
Giesbers Servicebouw B.V.;7;;;;7
Gijsbert van der Wal;1;;;;1
GL events World Forum Convention Center B.V.;3;;;;3
Glasbedrijf Rob Beekman;;;;2;2
Glaspunt B.V.;1;;;;1
Global Newspace B.V.;4;;;;4
GMB Rioleringstechnieken B.V.;7;;;;7
Gom Schoonhouden;3;;;;3
Gomperts Cooling Service N.V.;3;;;;3
Good Lock and Key Service;1;;;;1
Gorissen Bedrijfskeukens B.V.;2;;;;2
Goudappel Coffeng B.V.;2;;;;2
Gouweloos Elektrotechniek B.V.;7;;;;7
Gouwenberg vloeren.gordijnen.zonwering;4;;;;4
Govers B.V.;1;;;;1
Gppc Fons Bergmans;1;;;;1
Grand Cafe Groningen;1;;;;1
Grand Café Hermes B.V.;1;;;;1
Gras- en Groenvoeders Hoogland Marrum B.V.;5;;;;5
GrausBouw B.V.;2;;;;2
Greenchoice;;7;;;7
GripFactory B.V.;1;;;;1
Groenservice Noord B.V.;2;;;;2
Grondboorbedrijf Haitjema B.V.;5;;;;5
Groningen Airport Eelde N.V.;;3;;3;4
Groningen Seaports N.V.;;;;1;1
Groothandelsgebouwen N.V.;1;3;;4;4
Grottendieck Maatwerk;;;;1;1
GS Consultancy;4;;;;4
Gufler Universe;3;;;;3
Gullimex B.V.;2;;;;2
Gunnebo Nederland B.V.;4;;;;4
H. Rennings GmbH;1;;;;1
H.H Catering;1;;;;1
H.O.D. Nederland B.V.;;;;1;1
H.O.D. Presentie B.V.;;;;2;2
H.P.V. Lumiere Classique B.V.;1;;;;1
H+N+S B.V.;2;;;;2
H4a Groen B.V.;2;;;;2
Haagevents Signing & Logistics B.V.;1;;;;1
Haarsma Infra & Milieu B.V.;7;;;;7
Hacousto Videotechniek B.V.;5;;;;5
Hafkamp Installatietechniek B.V.;2;;;;2
Hage Historisch Interieur Advies;1;;;;1
Hagemann & Henrichsmann;1;;;;1
Hakvoort Professional Zeeland B.V.;1;;;;1
Halvermuhlen Onr. Goed & Exploit. Mij.;5;2;;4;5
Halverstad archeologie en bouwhistorie;1;;;;1
Hamer B.V.;4;;;;4
Hammer Fachmârkte für Heim-Ausstattung GmbH & Co. Betriebs KG Wesel;1;;;;1
Handelsmij Kaya Amsterdam BV;2;;;;2
Handelsonderneming Bechtold;3;;;;3
Handelsonderneming Gebrs. Van Walraven B.V.;1;;;;1
Handwerksservice;1;;;;1
Hans Kollhoff & Alexander Pols architecten;2;;;;2
Hans van de Veerdonk en Zoon;2;;;;2
Hanze Luchttechniek B.V.;1;;;;1
Hanzevast Real Estate;;3;;6;6
Happel Cornelisse Verhoeven B.V.;5;;;;5
Harry Cock Fotografie C.V.;2;;;;2
Harvado B.V.;2;;;;2
Harwig Communicatie & Veiligheid B.V.;6;;;;6
HaskoningDHV Nederland B.V.;7;;;;7
Hatenboer-Water B.V.;2;;;;2
Havenbedrijf Eemshaven B.V.;;;;1;1
Hazenberg Bouw B.V.;7;;;;7
HBK 2000 Besturingstechniek B.V.;6;;;;6
He Adviseurs;1;;;;1
Heezen Sloopwerken B.V.;7;;;;7
Hefas Branddetectie B.V.;1;;;;1
Hegeman Bouw & Infra B.V.;7;;;;7
Heibrink Telecom Support B.V.;2;;;;2
Heijmans Utiliteit;12;;;3;12
Heijmans Wegen B.V.;7;;;;7
Heilijgers Bouw B.V.;6;;;;6
Heinen & Partners B.V.;2;;;;2
Heldoorn Eggels Netwerk Notarissen;;;;1;1
Helm bouwregie;3;;;;3
Héman Verhuurservice B.V.;1;;;;1
Hembrug Zaandam B.V.;;;;1;1
Henri Culinair;1;;;;1
Henriquez Enterprises N.V.;;;;2;2
Hep' Heij Elektronische Produkten;1;;;;1
Heras B.V.;9;;;1;9
Heras Ridderkerk;3;;;;3
Heras Zwolle;2;;;;2
Herbert Electrical Services;1;;;;1
HermanDeGroot Ingenieurs en Vastgoedstrategen;1;;;;1
Herruer Grond- Weg- en Waterbouw;2;;;;2
Herruer Holding B.V.;5;;;;5
Hertek B.V.;1;;;;1
Hesuma B.V.;3;;;;3
Het Bakkertje;1;;;;1
Het kleine verschil B.V.;3;;;;3
Het NIC B.V.;1;;;;1
Het Notarieel Emmeloord B.V.;;;;1;1
Het Notarieel Zwolle B.V.;;;;1;1
Het Zuid-Hollands Landschap';;;;1;1
Heuer & Lobel GMBH;1;;;;1
Heuft Historische Binnenruimten;1;;;;1
Hexta Hekwerk B.V.;3;;;;3
HFB B.V.;2;;;;2
High Lines Holland B.V.;1;;;;1
Hinke Fongers Beheer Tupla B.V.;;4;;7;7
HITA- Caribbean B.V.;1;;;;1
Hitess Bonaire N.V.;2;;;;2
Hivacuflex B.V.;1;;;;1
Hobart GMBH;1;;;;1
Hobéon SKO B.V.;2;;;;2
Hoefnagels Branddeuren B.V.;4;;;;4
Hoefnagels Safety Services B.V.;2;;;;2
Hoek Voorhout B.V.;1;;;;1
Hof van Duivenvoorde B.V.;1;;;;1
Hofman Vastgoed B.V.;;;;4;4
Holding van Landschoot B.V.;;;;4;4
Holland Conditioning Parkeersystemen B.V.;1;;;;1
Holland Shielding Systems B.V.;3;;;;3
Hollandse Hoogte B.V.;1;;;;1
Holscher GmbH;1;;;;1
Homij Technische Installaties B.V.;7;;;;7
Honeywell;1;;;;1
Honeywell Building Solutions;8;;;;8
Hoog Catharijne Mall of the Netherlands B.V.;;2;;3;3
Hooijer Milieu B.V.;1;;;;1
Hootsmans Architectuurbureau B.V.;4;;;;4
HooVos Projecten B.V.;4;;;;4
Hortus Horeca en Catering B.V.;;;;1;1
Hospitality Design B.V.;4;;;;4
Hotel Spoorzicht & Spa B.V.;1;;;;1
Hotel-Café-Restaurant Haarhuis;1;;;;1
House of Lords B.V.;2;;;;2
Houthandel Lemmens;1;;;;1
Houthoff Coöperatief U.A.;9;;;;9
Hoveniersbedrijf Hendriksen B.V.;2;;;;2
Hoveniersbedrijf Kruisinga;1;;;;1
Hoveniersbedrijf VITIS N.V.;2;;;;2
Howards Enterprises N.V.;4;;;;4
HR Groep;1;;;;1
HR Groep Streetcare B.V.;2;;;;2
Hudson Cybertec B.V.;2;;;;2
Huitink Media;2;;;;2
Huizer Constructions N.V.;6;;;;6
HulstFlier Installateurs Elburg B.V.;2;;;;2
Humankind;1;;;;1
HumbleTech;4;;;;4
Hurenkamp Architecten;2;;;;2
Huys te Voorn Vastgoed B.V.;;3;;6;6
HVB Constructie B.V.;2;;;;2
HVC Warmte B.V.;5;;;;5
Hydroscope B.V.;3;;;;3
I.B.V. NV;2;;;;2
I.O.S. Boiten B.V.;3;;;;3
IBO Bonaire N.V.;1;;;;1
Icat Textielrestauratie B.V.;1;;;;1
ICS Adviseurs;1;;;;1
ID bouwen van architectuur B.V.;2;;;;2
ID Ware International B.V.;2;;;;2
Iedema Projectstoffering Wateringen B.V.;4;;;;4
If Technology B.V.;3;;;;3
ifsa;2;;;;2
IGG bouweconomie;2;;;;2
IJbouw B.V.;7;;;;7
IJzerman Gerechtsdeurwaarders & Incasso;;;;1;1
IKA Nederland;1;;;4;4
Ilja Meefout Photography;1;;;;1
Image Building B.V.;;1;;;1
IMD Raadgevende Ingenieurs;4;;;;4
IMI Aero-Dynamiek B.V.;2;;;;2
IMI Hydronic Engineering B.V.;1;;;;1
Imming Logistics Fine Art B.V.;2;;;;2
Immolab B.V.;2;;;;2
In Person Personeelsgroep B.V.;2;;;;2
Inbo;2;;;2;3
Incendio B.V.;1;;;;1
Independent Consulting Engineers N.V.;1;;;;1
Independent Solar Systems B.V.;1;;;;1
Indri Vloersystemen B.V.;2;;;;2
Industech B.V.;1;;;;1
Industrial Solutions Zuid-Oost B.V.;4;;;;4
Industrieel Klimmen B.V.;1;;;;1
inElements;1;;;;1
Infoplaza B.V.;2;;;;2
Infrabouw B.V.;5;;;;5
Infrasoil B.V.;1;;;;1
Infrastructure Services & Projects B.V.;5;;;;5
Ing.bur. Beton en Staalkonstr. A. Palte B.V.;2;;;;2
Ing.bur. Bouwtechn. Goudstikker-de Vries B.V.;2;;;;2
Ing.bur. en Techn. Hand.ondernem. Autron B.V.;5;;;;5
Ingenieursbureau Haboldt B.V.;4;;;;4
Ingenieursbureau Inpijn-Blokpoel Son B.V.;1;;;;1
Ingenieursbureau International N.V.;1;;;;1
Ingenieursbureau van Oossanen;1;;;;1
Ingenieursbureau Wassenaar B.V.;4;;;;4
Ingenieursburo van Ierssel B.V.;1;;;;1
Inh. Andreas Bölter;1;;;;1
Initial B.V.;1;;;;1
Inlumen B.V.;2;;;;2
Inmix B.V.;1;;;;1
Inpijn-Blokpoel Son Milieu B.V.;1;;;;1
Inprevo;2;;;;2
InPublic B.V.;2;;;;2
Inside Outside B.V.;2;;;;2
Insignium B.V.;2;;;;2
Inspexx B.V.;6;;;;6
Insta Zuid B.V.;4;;;;4
Instaan B.V.;2;;;;2
Installatiebedrijf Embrechts B.V.;3;;;;3
Installatiebedrijf Wals V.O.F.;2;;;;2
Installatiebureau Maigret B.V.;2;;;;2
Installation Technologies N.V.;2;;;;2
Instaver Systems B.V.;1;;;;1
Insted B.V.;2;;;;2
Instituut voor Agrarisch Recht;;;;1;1
Interboor Midsland B.V.;2;;;;2
Interflow B.V.;1;;;;1
Interfurn B.V.;4;;;;4
Intern. Transp. en Exp. Bedr. H. Rensink B.V.;2;;;;2
Interparking Nederland B.V.;;;;6;6
Intersafe Groeneveld B.V.;4;;;;4
Interswitch;2;;;;2
Intertraining B.V.;2;;;;2
Interwabo B.V.;1;;;;1
Int'l Airconditioning Supplies & Services;6;;;;6
Intra Interieurbouw B.V.;2;;;;2
Iolan B.V.;5;;;;5
IOSense Rotterdam B.V.;3;;;;3
IPR Vastgoedmanagement B.V.;2;;;;2
Isocool N.V.;4;;;;4
ista Nederland B.V.;;;;1;1
ITH Kozijn & Geveltechniek B.V.;1;;;;1
ITN Installatietechniek B.V.;5;;;;5
Ivast B.V.;;;;5;5
J. & H. van 't Klooster;1;;;;1
J. van Esch B.V.;7;;;1;7
J.E. van Reekum, restauratie metalen kunstv.;1;;;;1
J.H. Oosterbeek Milieu en Asbest B.V.;1;;;;1
Jac Ruijters Schildersbedrijf B.V.;5;;;;5
Jac. Boiten B.V.;4;;;;4
Jacco Maris Design;1;;;;1
Jacobs Architekten B.V.;2;;;;2
Jacot Audiovisueel Rental B.V.;1;;;;1
Jan de Bruijn Bestratingen;2;;;;2
Jan van de Pavert;2;;;;2
Jan van Limborgh Afbouw;1;;;;1
Jansen Bartels Installatietechniek;2;;;;2
Jansma en Van Dijk B.V.;4;;;;4
Jaro B.V.;1;;;;1
Jelsma Koelma Netwerk Notarissen;;;;3;3
Jet Dock Systems, inc.;2;;;;2
JHK Architecten;4;;;;4
Jimmink Kolhorn B.V.;3;;;;3
John's Handyman Services;2;;;;2
Johnson Controls Systems & Service B.V.;2;;;;2
Jongejan Asbestinventarisatie B.V.;2;;;;2
Jongerenplatform Young & Connected B.V.;2;;;;2
Jongste Projectmanagement & Advies;1;;;1;1
Jonker. Restaurateur/Decorateur;1;;;;1
Jonkheer Sound & Light B.V.;;;;1;1
Josefien & co;1;;;;1
Josine Verdegaal-Hoefhamer;1;;;;1
Joss B.V.;;;;2;2
Joulz Infradiensten B.V.;5;2;;;5
JOVI Investments Events & Business Company II;;2;;6;6
Judith Bohan Interieur Restauratie;2;;;;2
Junior Construction;4;;;;4
Jurriëns Midden B.V.;7;;;;7
Jurriëns Noord;8;;;;8
Jurriëns West B.V.;7;;;;7
Jurry Projects;2;;;;2
JvandeW;1;;;;1
JW Onroerend Goed B.V.;;;;2;2
jw-starpoint;2;;;;2
K.T.D. Klimaatbeheersing B.V.;1;;;;1
Kalisvaart Technisch Beheer B.V.;4;;;;4
Kalsbeek B.V.;1;;;;1
Kanters B.V.;5;;;;5
Kapulanthis B.V.;;;;7;7
Karpinteria & Pintura El Caribe B.V.;4;;;;4
Karres en Brands Landschapsarchitecten B.V.;3;;;;3
Kayana Szymczak Photography;1;;;;1
Kees van de Veen;1;;;;1
KEI-Advies B.V.;;;;1;1
Kemkens Gasservice B.V.;1;;;;1
Kemkens Utiliteit B.V.;4;;;;4
Kemp Schalkwijk B.V.;2;;;;2
Kemtec B.V.;2;;;;2
Kennelbouw Exclusief V.O.F.;4;;;;4
Kennis van Pompen B.V.;2;;;;2
Kenter;3;1;;1;3
Kerkhof Technische Installaties Leersum B.V.;4;;;;4
Keurmijnwoning.nl;;;;1;1
KG Parkmanagement B.V.;1;;;;1
Kilowatt Electrical Company N.V.;2;;;;2
Kim Lewis;2;;;;2
KIM Plus Delta B.V.;2;;;3;3
Kimsma Bouwbedrijf B.V.;6;;;;6
KINEPOLIS UBOS B.V.;1;;;;1
Kiwa ISA Sport;2;;;;2
Kiwa KOAC;2;;;;2
Kiwa Nederland B.V.;1;;;;1
Klaber ausbert Andre;5;;;;5
