Ministerie;Handelsnaam;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9410 - Lokale belastingen - waterschapslasten;9500 - AZ specifiek;9510 - BZ specifiek;9520 - BZK specifiek;9530 - DEF specifiek;9540 - EZ specifiek;9550 - Fin specifiek;9560 - I&M specifiek;9570 - OCW specifiek;9580 - SZW specifiek;9590 - V&J specifiek;9600 - VWS specifiek;Eindtotaal
BZK;Demenint Kienhuis Notariaat B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Den Engelsen Milieudiensten;;;;;;;;;1;;;;;;;;;1
BZK;Dendrologic;;;;;;;;;1;;;;;;;;;1
BZK;Desarc Designers en Architecten Bureau B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Deventer Uitvaartzorg;;;;;;;;;1;;;;;;;;;1
BZK;DGMR Industrie Verkeer en Milieu B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Diep;;;;;;;;;;1;;;;;;;;1
BZK;DIG - Design Innovation Group B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Dijkstra Sutter Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Dineke de Ruiter Uitvaartzorg;;;;;;;;;1;;;;;;;;;1
BZK;Divario;;;;;;;;;1;;;;;;;;;1
BZK;Diversey B.V.;;;;;;;;;;1;;;;;;;;1
BZK;DJVDL Architecten B.V.;;;;;;;;;;1;;;;;;;;1
BZK;DK Houtwerken;;;;;;;;;1;;;;;;;;;1
BZK;DLA Piper Nederland N.V.;;;;;;;;;1;;;;;;;;;1
BZK;DLVS B.V.;;;;;;;;;1;;;;;;;;;1
BZK;DNV GL Netherlands B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Dolmans Groep B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Dräger Nederland B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Duijndam Holding B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Duinwijck;;;;;;;;;;1;;;;;;;;1
BZK;Dunea N.V.;;;;;;;;;1;;;;;;;;;1
BZK;Dura Vermeer Bouw Zuid B.V.;;;;;;;;;;1;;;;;;;;1
BZK;DuretTrip Notarissen N.V.;;;;;;;;;1;;;;;;;;;1
BZK;DURO Ruimtelijke Ontwikkeling;;;;;;;;;1;;;;;;;;;1
BZK;DWR Notarissen B.V.;;;;;;;;;1;;;;;;;;;1
BZK;easy2rent B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Ecopart B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Ecoresult B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Eelerwoude B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Elektro Service Schoonhoven B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Elektrotechnik Ralf Frenking;;;;;;;;;;1;;;;;;;;1
BZK;Emmius Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Endenburg Elektrotechniek B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Eneco Services B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Energie Service Dijkstra;;;;;;;;;1;;;;;;;;;1
BZK;EnergieLabel West-Friesland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Erkamp Boot Willemsen Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Eurosafe Solutions B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Evides N.V.;;;;;;;;;1;;;;;;;;;1
BZK;Exploit.maatsch. A.J. van der Tol Bunnik B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Eyes On Media;;;;;;;;;1;;;;;;;;;1
BZK;FAAC B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Faber Uitvaartzorg B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Facta Pomp- en Besturingstechniek B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Feestgastenboek.nl;;;;;;;;;1;;;;;;;;;1
BZK;Felixx Landscape Architects & Planners;;;;;;;;;;1;;;;;;;;1
BZK;Fiction Factory B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Flanderijn & Verdult Gerechtsdeurwaard. B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Flanderijn Invordering B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Floriaan B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Florius B.V.;;;;;;;;;1;;;;;;;;;1
BZK;FM Koeriers;;;;;;;;;1;;;;;;;;;1
BZK;Fokkema Linssen;;;;;;;;;1;;;;;;;;;1
BZK;FOKKEMA NOTARISKANTOOR;;;;;;;;;1;;;;;;;;;1
BZK;Frank Havermans;;;;;;;;;;1;;;;;;;;1
BZK;Frenken & Moers notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Fugro GeoServices B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Fugro NL Land B.V.;;;;;;;;;;1;;;;;;;;1
BZK;G. Hellinga B.V.;;;;;;;;;;1;;;;;;;;1
BZK;GA Makelaars B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Gapph B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Geelhoed Engineering B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Geelink Mechanisatie B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Gemeente Arlon;;;;;;;;;1;;;;;;;;;1
BZK;Gemeente De Fryske Marren;;;;;;;;;1;;;;;;;;;1
BZK;Geocontrol;;;;;;;;;;1;;;;;;;;1
BZK;Geomaat B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Geonius Geotechniek B.V.;;;;;;;;;;1;;;;;;;;1
BZK;GeoPhy B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Gerrits & Van Gulick Notarissen c.s. Uden;;;;;;;;;1;;;;;;;;;1
BZK;Geurts Civiele Techniek;;;;;;;;;;1;;;;;;;;1
BZK;GGN Mastering Credit N.V.;;;;;;;;;1;;;;;;;;;1
BZK;Gids Patrick;;;;;;;;;1;;;;;;;;;1
BZK;Gijs van Vaerenbergh;;;;;;;;;;1;;;;;;;;1
BZK;Gijs vd Sande Adv. in Bosbouw en Natuurbeheer;;;;;;;;;;1;;;;;;;;1
BZK;Glaspunt B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Gloudemans;;;;;;;;;;1;;;;;;;;1
BZK;Goedegebuure Notariaat;;;;;;;;;1;;;;;;;;;1
BZK;Gosi Design B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Gouwenberg vloeren.gordijnen.zonwering;;;;;;;;;;1;;;;;;;;1
BZK;Grada Jager Makelaardij;;;;;;;;;1;;;;;;;;;1
BZK;Graydon Incasso B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Grimbergen & Van Putten Elektrotechniek B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Groeneveld Eten;;;;;;;;;1;;;;;;;;;1
BZK;Groenvoorziening;;;;;;;;;;1;;;;;;;;1
BZK;Grontmij Nederland B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Guliker's Gas- en Oliehandel B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Gunnebo Nederland B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Gunters en Meuser B.V.;;;;;;;;;;1;;;;;;;;1
BZK;H. Bulten Groenbeheer;;;;;;;;;1;;;;;;;;;1
BZK;H.O.D. Nederland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;H.R. Guest Fotografie;;;;;;;;;1;;;;;;;;;1
BZK;Hageman Installatietechniek V.O.F.;;;;;;;;;1;;;;;;;;;1
BZK;HamansBlocks;;;;;;;;;1;;;;;;;;;1
BZK;Hamer B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Hampshire Hotel - Emmen;;;;;;;;;1;;;;;;;;;1
BZK;Harma Bodde Uitvaartverzorging;;;;;;;;;1;;;;;;;;;1
BZK;Healthy Food Vision;;;;;;;;;;1;;;;;;;;1
BZK;Heemskerk & Feijen Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Heezen Sloopwerken B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Hefas Branddetectie B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Helder/notarissen B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Hellema Notaris B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Heras B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Hermans Asbest B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Hermans B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Herruer Grond- Weg- en Waterbouw;;;;;;;;;1;;;;;;;;;1
BZK;Heuvelrugnotarissen;;;;;;;;;1;;;;;;;;;1
