OBJECTID,REF_FUNCTIONELE_SPOORTAK_NAAM,REF_FUNCTIONELE_SPOORTAK_PUIC,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,KM_SPOORTAK_VAN,KM_SPOORTAK_VAN_T,KM_SPOORTAK_TOT,KM_SPOORTAK_TOT_T
361,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
362,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
363,,,Kunstwerken,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
364,,,Baan,Den Haag,110,Den Haag,2,VolkerRail,,,,
365,,,Baan,Den Haag,110,Den Haag,2,VolkerRail,,,,
366,,,BVL,Gelre,400,Achterhoek,30,ASSET Rail,,,,
367,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
368,,,3kv,Drenthe,440,Overijssel,34,ASSET Rail,,,,
369,,,Seinwezen,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
370,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
371,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
372,,,Kunstwerken,,,,,,,,,
373,,,Basis,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
374,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
375,,,Seinwezen,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
376,,,3kv,De Peel,300,Eindhoven,24,ASSET Rail,,,,
377,,,Kunstwerken,Den Haag,110,Den Haag,2,VolkerRail,,,,
378,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
379,,,BVL,Eemland,200,Maarn,16,ASSET Rail,,,,
380,,,Baan,Limburg,340,Roermond,25,Strukton Rail,,,,
381,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
382,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
383,,,Kunstwerken,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
384,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
385,,,Basis,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
386,,,BVL,Brabant,330,Boxtel,23,ASSET Rail,,,,
387,,,Kunstwerken,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
388,,,Kunstwerken,Limburg,340,Maastricht,26,Strukton Rail,,,,
389,,,Telecom,De Peel,300,Eindhoven,24,ASSET Rail,,,,
390,,,Baan,Den Haag,110,Den Haag,2,VolkerRail,,,,
391,,,BVL,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
392,,,Seinwezen,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
393,,,3kv,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
394,,,Seinwezen,De Peel,300,Venlo,27,ASSET Rail,,,,
395,,,Telecom,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
396,,,Baan,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
397,,,Baan,Den Haag,110,Den Haag,2,VolkerRail,,,,
398,,,Seinwezen,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
399,,,Basis,Wadden,420,Friesland,36,Strukton Rail,,,,
400,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
401,,,Telecom,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
402,,,Seinwezen,Limburg,340,Maastricht,26,Strukton Rail,,,,
403,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
404,,,Kunstwerken,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
405,,,Telecom,Zeeland,310,Goes,18,Strukton Rail,,,,
406,,,3kv,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
407,,,Telecom,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
408,,,Kunstwerken,Wadden,420,Groningen,37,Strukton Rail,,,,
409,,,BVL,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
410,,,BVL,Twente,410,Twente,32,VolkerRail,,,,
411,,,BVL,Hollands Noorderkwartier,210,Heerhugowaard,6,VolkerRail,,,,
412,,,Telecom,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
413,,,Basis,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
414,,,Telecom,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
415,,,3kv,Den Haag,110,Den Haag,2,VolkerRail,,,,
416,,,Telecom,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
417,,,Basis,Eemland,200,Amersfoort,12,ASSET Rail,,,,
418,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
419,,,Baan,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
420,,,Baan,Den Haag,110,Den Haag,2,VolkerRail,,,,
421,,,Basis,Eemland,200,Amersfoort,12,ASSET Rail,,,,
422,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
423,,,Basis,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
424,,,Basis,Drenthe,440,Drenthe,35,ASSET Rail,,,,
425,,,Seinwezen,De Peel,300,Eindhoven,24,ASSET Rail,,,,
426,,,3kv,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
427,,,3kv,Drenthe,440,Overijssel,34,ASSET Rail,,,,
428,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
429,,,Basis,Den Haag,110,Den Haag,2,VolkerRail,,,,
430,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
431,,,Telecom,Wadden,420,Friesland,36,Strukton Rail,,,,
432,,,3kv,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
433,,,Seinwezen,Drenthe,440,Drenthe,35,ASSET Rail,,,,
434,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
435,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
436,,,BVL,Eemland,200,Amersfoort,12,ASSET Rail,,,,
437,,,3kv,Gelre,400,Achterhoek,30,ASSET Rail,,,,
438,,,3kv,Drenthe,440,Drenthe,35,ASSET Rail,,,,
439,,,Kunstwerken,Den Haag,110,Den Haag,2,VolkerRail,,,,
440,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
441,,,Seinwezen,Zeeland,310,Goes,18,Strukton Rail,,,,
442,,,Kunstwerken,Den Haag,110,Den Haag,2,VolkerRail,,,,
443,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
444,,,Seinwezen,Limburg,340,Maastricht,26,Strukton Rail,,,,
445,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
446,,,Seinwezen,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
447,,,Kunstwerken,Eemland,200,Amersfoort,12,ASSET Rail,,,,
448,,,Seinwezen,Limburg,340,Maastricht,26,Strukton Rail,,,,
449,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
450,,,Telecom,Limburg,340,Roermond,25,Strukton Rail,,,,
451,,,Basis,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
452,,,Baan,Eemland,200,Amersfoort,12,ASSET Rail,,,,
453,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
454,,,Kunstwerken,Eemland,200,Amersfoort,12,ASSET Rail,,,,
455,,,3kv,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
456,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
457,,,BVL,Limburg,340,Roermond,25,Strukton Rail,,,,
458,,,Basis,Wadden,420,Friesland,36,Strukton Rail,,,,
459,,,BVL,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
460,,,BVL,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
461,,,Basis,Den Haag,110,Den Haag,2,VolkerRail,,,,
462,,,Telecom,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
463,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
464,,,Kunstwerken,De Peel,300,Eindhoven,24,ASSET Rail,,,,
465,,,Kunstwerken,,,,,,,,,
466,,,3kv,Drenthe,440,Overijssel,34,ASSET Rail,,,,
467,,,BVL,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
468,,,Seinwezen,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
469,,,Basis,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
470,,,Basis,Hollands Noorderkwartier,210,Heerhugowaard,6,VolkerRail,,,,
471,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
472,,,Seinwezen,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
473,,,Kunstwerken,Den Haag,110,Den Haag,2,VolkerRail,,,,
474,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
475,,,3kv,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
476,,,Kunstwerken,Neerlands Midden,250,Woerden,14,ASSET Rail,,,,
477,,,Kunstwerken,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
478,,,Telecom,De Peel,300,Eindhoven,24,ASSET Rail,,,,
479,,,Basis,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
480,,,Seinwezen,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
481,,,Basis,Den Haag,110,Den Haag,2,VolkerRail,,,,
482,,,Baan,Zee-Zevenaar,130,A15trace,71,VolkerRail,,,,
483,,,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
484,,,Seinwezen,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
485,,,Seinwezen,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
486,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
487,,,Seinwezen,Gelre,400,Achterhoek,30,ASSET Rail,,,,
488,,,Baan,Wadden,420,Groningen,37,Strukton Rail,,,,
489,,,Telecom,Eemland,200,Amersfoort,12,ASSET Rail,,,,
490,,,Seinwezen,Eemland,200,Amersfoort,12,ASSET Rail,,,,
491,,,Kunstwerken,Drenthe,440,Overijssel,34,ASSET Rail,,,,
492,,,3kv,Limburg,340,Roermond,25,Strukton Rail,,,,
493,,,Baan,Twente,410,Twente,32,VolkerRail,,,,
494,,,Baan,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
495,,,Basis,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
496,,,BVL,Den Haag,110,Den Haag,2,VolkerRail,,,,
497,,,Basis,De Peel,300,Venlo,27,ASSET Rail,,,,
498,,,BVL,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
499,,,Kunstwerken,Wadden,420,Groningen,37,Strukton Rail,,,,
500,,,Seinwezen,Hollands Noorderkwartier,210,Heerhugowaard,6,VolkerRail,,,,
501,,,Seinwezen,Zeeland,310,Goes,18,Strukton Rail,,,,
502,,,3kv,Limburg,340,Maastricht,26,Strukton Rail,,,,
503,,,Seinwezen,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
504,,,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
505,,,BVL,Rijn en Gouwe,100,Leiden,1,BAM Rail,,,,
506,,,Baan,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
507,,,Telecom,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
508,,,Telecom,De Peel,300,Eindhoven,24,ASSET Rail,,,,
509,,,BVL,Wadden,420,Friesland,36,Strukton Rail,,,,
510,,,BVL,Eemland,200,Amersfoort,12,ASSET Rail,,,,
511,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
512,,,3kv,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
513,,,Basis,Drenthe,440,Drenthe,35,ASSET Rail,,,,
514,,,Seinwezen,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
515,,,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
516,,,3kv,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
517,,,Baan,De Peel,300,Eindhoven,24,ASSET Rail,,,,
518,,,Baan,Eemland,200,Amersfoort,12,ASSET Rail,,,,
519,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
520,,,Kunstwerken,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
521,,,Seinwezen,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
522,,,3kv,Brabant,330,Breda,20,ASSET Rail,,,,
523,,,Seinwezen,Limburg,340,Maastricht,26,Strukton Rail,,,,
524,,,BVL,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
525,,,Seinwezen,Gelre,400,Achterhoek,30,ASSET Rail,,,,
526,,,3kv,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
527,,,3kv,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
528,,,Kunstwerken,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
529,,,Seinwezen,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
530,,,Basis,Eemland,200,Amersfoort,12,ASSET Rail,,,,
531,,,3kv,Twente,410,Twente,32,VolkerRail,,,,
532,,,3kv,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
533,,,Telecom,Zee-Zevenaar,130,A15trace,71,VolkerRail,,,,
534,,,Basis,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
535,,,Kunstwerken,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
536,,,Telecom,Limburg,340,Roermond,25,Strukton Rail,,,,
537,,,Telecom,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
538,,,BVL,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
539,,,Telecom,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
540,,,BVL,Drenthe,440,Drenthe,35,ASSET Rail,,,,
541,,,Telecom,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
542,,,Baan,Drenthe,440,Drenthe,35,ASSET Rail,,,,
543,,,Baan,Den Haag,110,Den Haag,2,VolkerRail,,,,
544,,,Kunstwerken,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
545,,,Seinwezen,Gelre,400,Achterhoek,30,ASSET Rail,,,,
546,,,BVL,Eemland,200,Amersfoort,12,ASSET Rail,,,,
547,,,Seinwezen,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
548,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
549,,,Basis,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
550,,,Telecom,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
551,,,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,,,,
552,,,Basis,Den Haag,110,Den Haag,2,VolkerRail,,,,
553,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
554,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
555,,,3kv,Amstelsepoort,230,Duivendrecht,10,Strukton Rail,,,,
556,,,Kunstwerken,Limburg,340,Maastricht,26,Strukton Rail,,,,
557,,,BVL,Drenthe,440,Overijssel,34,ASSET Rail,,,,
558,,,Kunstwerken,De Peel,300,Venlo,27,ASSET Rail,,,,
559,,,Seinwezen,Limburg,340,Maastricht,26,Strukton Rail,,,,
560,,,Baan,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
561,,,Telecom,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
562,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
563,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
564,,,Baan,Den Haag,110,Den Haag,2,VolkerRail,,,,
565,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
566,,,Baan,Den Haag,110,Den Haag,2,VolkerRail,,,,
567,,,Seinwezen,Den Haag,110,Den Haag,2,VolkerRail,,,,
568,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
569,,,Kunstwerken,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
570,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
571,,,3kv,Eemland,200,Amersfoort,12,ASSET Rail,,,,
572,,,3kv,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
573,,,3kv,De Peel,300,Venlo,27,ASSET Rail,,,,
574,,,Basis,Brabant,330,Breda,20,ASSET Rail,,,,
575,,,Telecom,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
576,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
577,,,3kv,Eemland,200,Amersfoort,12,ASSET Rail,,,,
578,,,Basis,Wadden,420,Friesland,36,Strukton Rail,,,,
579,,,Basis,Zee-Zevenaar,130,A15trace,71,VolkerRail,,,,
580,,,BVL,Limburg,340,Maastricht,26,Strukton Rail,,,,
581,,,3kv,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
582,,,Seinwezen,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
583,,,BVL,Eemland,200,Amersfoort,12,ASSET Rail,,,,
584,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
585,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
586,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
587,,,Kunstwerken,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
588,,,Seinwezen,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
589,,,Basis,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
590,,,Baan,Rijn en Gouwe,100,Rijn en Gouwe,81,BAM Rail,,,,
591,,,Kunstwerken,Limburg,340,Maastricht,26,Strukton Rail,,,,
592,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
593,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
594,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
595,,,Basis,,,,,,,,,
596,,,Seinwezen,Den Haag,110,Den Haag,2,VolkerRail,,,,
597,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
598,,,Baan,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
599,,,Baan,Wadden,420,Groningen,37,Strukton Rail,,,,
600,,,Basis,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
601,,,Kunstwerken,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
602,,,Kunstwerken,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
603,,,Basis,Limburg,340,Maastricht,26,Strukton Rail,,,,
604,,,Kunstwerken,Limburg,340,Maastricht,26,Strukton Rail,,,,
605,,,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
606,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
607,,,BVL,De Peel,300,Venlo,27,ASSET Rail,,,,
608,,,Seinwezen,Gelre,400,Achterhoek,30,ASSET Rail,,,,
609,,,Basis,Drenthe,440,Drenthe,35,ASSET Rail,,,,
610,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
611,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
612,,,Telecom,Limburg,340,Maastricht,26,Strukton Rail,,,,
613,,,Basis,Den Haag,110,Den Haag,2,VolkerRail,,,,
614,,,Kunstwerken,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
615,,,Telecom,Zeeland,310,Goes,18,Strukton Rail,,,,
616,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
617,,,Kunstwerken,De Peel,300,Eindhoven,24,ASSET Rail,,,,
618,,,3kv,Den Haag,110,Den Haag,2,VolkerRail,,,,
619,,,Telecom,De Peel,300,Eindhoven,24,ASSET Rail,,,,
620,,,Basis,Neerlands Midden,250,Woerden,14,ASSET Rail,,,,
621,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
622,,,Kunstwerken,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
623,,,BVL,Eemland,200,Amersfoort,12,ASSET Rail,,,,
624,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
625,,,Telecom,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
626,,,Telecom,Drenthe,440,Drenthe,35,ASSET Rail,,,,
627,,,Kunstwerken,Limburg,340,Roermond,25,Strukton Rail,,,,
628,,,Baan,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
629,,,BVL,Eemland,200,Amersfoort,12,ASSET Rail,,,,
630,,,Telecom,Den Haag,110,Den Haag,2,VolkerRail,,,,
631,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
632,,,Baan,Drenthe,440,Overijssel,34,ASSET Rail,,,,
633,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
634,,,BVL,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
635,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
636,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
637,,,Basis,Den Haag,110,Den Haag,2,VolkerRail,,,,
638,,,Seinwezen,Hollands Noorderkwartier,210,Heerhugowaard,6,VolkerRail,,,,
639,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
640,,,Kunstwerken,Twente,410,Twente,32,VolkerRail,,,,
641,,,BVL,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
642,,,Seinwezen,Amstelsepoort,230,Duivendrecht,10,Strukton Rail,,,,
643,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
644,,,Basis,Limburg,340,Maastricht,26,Strukton Rail,,,,
645,,,Seinwezen,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
646,,,Seinwezen,De Peel,300,Eindhoven,24,ASSET Rail,,,,
647,,,BVL,De Peel,300,Venlo,27,ASSET Rail,,,,
648,,,Kunstwerken,Wadden,420,Groningen,37,Strukton Rail,,,,
649,,,Basis,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
650,,,BVL,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
651,,,Telecom,Zeeland,310,Goes,18,Strukton Rail,,,,
652,,,Seinwezen,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
653,,,Seinwezen,Eemland,200,Amersfoort,12,ASSET Rail,,,,
654,,,Seinwezen,Limburg,340,Roermond,25,Strukton Rail,,,,
655,,,Kunstwerken,Limburg,340,Maastricht,26,Strukton Rail,,,,
656,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
657,,,BVL,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
658,,,3kv,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
659,,,Telecom,Wadden,420,Groningen,37,Strukton Rail,,,,
660,,,BVL,Limburg,340,Maastricht,26,Strukton Rail,,,,
661,,,Basis,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
662,,,Telecom,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
663,,,Seinwezen,Zeeland,310,Goes,18,Strukton Rail,,,,
664,,,Basis,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
665,,,Seinwezen,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
666,,,3kv,Zeeland,310,Goes,18,Strukton Rail,,,,
667,,,Baan,Zee-Zevenaar,130,A15trace,71,VolkerRail,,,,
668,,,Basis,De Peel,300,Eindhoven,24,ASSET Rail,,,,
669,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
670,,,Seinwezen,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
671,,,Seinwezen,Twente,410,Twente,32,VolkerRail,,,,
672,,,BVL,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
673,,,Telecom,Limburg,340,Maastricht,26,Strukton Rail,,,,
674,,,Seinwezen,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
675,,,Seinwezen,Twente,410,Twente,32,VolkerRail,,,,
676,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
677,,,Kunstwerken,Wadden,420,Friesland,36,Strukton Rail,,,,
678,,,Kunstwerken,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
679,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
680,,,3kv,Zeeland,310,Goes,18,Strukton Rail,,,,
681,,,Telecom,Limburg,340,Maastricht,26,Strukton Rail,,,,
682,,,Baan,Drenthe,440,Drenthe,35,ASSET Rail,,,,
683,,,Kunstwerken,Limburg,340,Maastricht,26,Strukton Rail,,,,
684,,,Baan,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
685,,,Basis,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
686,,,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
687,,,Basis,Amstelsepoort,230,Duivendrecht,10,Strukton Rail,,,,
688,,,3kv,Wadden,420,Groningen,37,Strukton Rail,,,,
689,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
690,,,BVL,Wadden,420,Groningen,37,Strukton Rail,,,,
691,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
692,,,Seinwezen,Den Haag,110,Den Haag,2,VolkerRail,,,,
693,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
694,,,Telecom,Eemland,200,Amersfoort,12,ASSET Rail,,,,
695,,,3kv,,,,,,,,,
696,,,Basis,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
697,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
698,,,Basis,Brabant,330,Breda,20,ASSET Rail,,,,
699,,,Basis,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
700,,,Baan,Drenthe,440,Overijssel,34,ASSET Rail,,,,
701,,,Baan,Drenthe,440,Overijssel,34,ASSET Rail,,,,
702,,,Baan,Hollands Noorderkwartier,210,Heerhugowaard,6,VolkerRail,,,,
703,,,Seinwezen,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
704,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
705,,,Kunstwerken,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
706,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
707,,,BVL,Gelre,400,Achterhoek,30,ASSET Rail,,,,
708,,,Seinwezen,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
709,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
710,,,Kunstwerken,Den Haag,110,Den Haag,2,VolkerRail,,,,
711,,,Kunstwerken,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
712,,,Telecom,Eemland,200,Amersfoort,12,ASSET Rail,,,,
713,,,BVL,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
714,,,Baan,Den Haag,110,Den Haag,2,VolkerRail,,,,
715,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
716,,,Seinwezen,Zeeland,310,Goes,18,Strukton Rail,,,,
717,,,Telecom,Wadden,420,Friesland,36,Strukton Rail,,,,
718,,,Kunstwerken,Den Haag,110,Den Haag,2,VolkerRail,,,,
719,,,Telecom,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
720,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
721,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
722,,,Seinwezen,De Peel,300,Venlo,27,ASSET Rail,,,,
723,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
