Ministerie;Handelsnaam;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
EZK;Eco-Plus Bouw B.V.;;;1;;;;;1
EZK;Ecovia Intelligence;;;1;;;;;1
EZK;Edelmetaal Waarborg Nederland B.V.;;;1;;;;;1
EZK;E-Democracy B.V.;;;1;;;;;1
EZK;Edurne Quincoces;;;1;;;;;1
EZK;EdwiseConsult;;;1;;;;;1
EZK;EED Advisory;;;1;;;;;1
EZK;El NiÃ±o B.V.;;;1;;;;;1
EZK;Elba Media B.V.;;;1;;;;;1
EZK;Elektrotechnische Studievereniging Scintilla;;;1;;;;;1
EZK;Emergent B.V.;;;1;;;;;1
EZK;Employee Performance Group B.V.;;;1;;;;;1
EZK;Energeo B.V.;;;1;;;;;1
EZK;EPB-research - Dick van Dijk;;;1;;;;;1
EZK;ER;;;1;;;;;1
EZK;Erik Jansen Fotografie;;;1;;;;;1
EZK;Esri Nederland;;;1;;;;;1
EZK;Essent Retail Energie B.V.;;;1;;;;;1
EZK;Eufores;;;1;;;;;1
EZK;EV Consult B.V.;;;1;;;;;1
EZK;Evangelische Gemeente Ten Boer;;;1;;;;;1
EZK;Exploitatiemaatschappij Hotel Best B.V.;;;1;;;;;1
EZK;Expo-id;;;1;;;;;1
EZK;Eyckveld B.V.;;;1;;;;;1
EZK;Eyefun B.V.;;;1;;;;;1
EZK;Fair & Sustainable Consulting B.V.;;;1;;;;;1
EZK;FairMatch Support West Africa;;;1;;;;;1
EZK;Federación Española Del Vino;;;1;;;;;1
EZK;Federatie Creatieve Industrie;;;1;;;;;1
EZK;Federatie Nederlandse Vakbeweging;;;;;1;;;1
EZK;Fichtner GmbH & Co 49;;;1;;;;;1
EZK;Fiduciaria Colombiana de Comercio Exterior S.A FIDUCOLDEX;;;1;;;;;1
EZK;Fier B.V.;;;1;;;;;1
EZK;Finanzas Comercio e Inversion, S.A. de C.V.;;;1;;;;;1
EZK;Fotografie : Paul Voorham;;;1;;;;;1
EZK;Fraunhofer - Gesellschaft;;;1;;;;;1
EZK;Fraunhofer IAO;;;1;;;;;1
EZK;Geelen Infinitus Energy Solutions;;;1;;;;;1
EZK;Geonius Geotechniek B.V.;;;1;;;;;1
EZK;Geotec;;;1;;;;;1
EZK;Gereformeerde kerk de Hoeksteen;;;1;;;;;1
EZK;Geschreven en Gedrukt;;;1;;;;;1
EZK;Getty Images (Netherlands) B.V.;;;1;;;;;1
EZK;Global Enchanting Safety and Management Training Centre;;;1;;;;;1
EZK;Goede Executive Search B.V.;;;1;;;;;1
EZK;Going Places Tours & Travel, Zambia;;;1;;;;;1
EZK;Golfstromen;;;1;;;;;1
EZK;Grand Cafe Lubeck;1;;;;;;;1
EZK;Grand Hotel Amstelveen B.V.;;;1;;;;;1
EZK;Grant Thornton Accountants en Adviseurs B.V.;;;1;;;;;1
EZK;Green Heart Tourism;;;1;;;;;1
EZK;Green Protein Alliance;;;1;;;;;1
EZK;Groene Vaert B.V.;;;1;;;;;1
EZK;Grupo Estructurando SAS;;;1;;;;;1
EZK;GuruScan B.V.;;;1;;;;;1
EZK;H.C.R. Lands End B.V.;;;1;;;;;1
EZK;H.R. Guest Fotografie;;;1;;;;;1
EZK;Haagse Beek organisatieadvies B.V.;;;1;;;;;1
EZK;Hampshire Exploitatie I B.V.;;;1;;;;;1
EZK;Handelshuis Atlantis B.V.;;;1;;;;;1
EZK;Hans Roggen Fotografie;;;1;;;;;1
EZK;Hans Tak;;;1;;;;;1
EZK;Hans Vos Advies;;;1;;;;;1
EZK;Harm Draaijer Schrijft;;;1;;;;;1
EZK;Havenbedrijf Amsterdam N.V.;;;1;;;;;1
EZK;Havenga Bouw V.O.F.;;;1;;;;;1
EZK;HCP international;;;1;;;;;1
EZK;Hellenthal Studios;;;1;;;;;1
EZK;Het Is Mooi Werk B.V.;;;1;;;;;1
EZK;Het Lam Advocaten B.V.;;;;;1;;;1
EZK;Het Muntgebouw-Utrecht B.V.;;;1;;;;;1
EZK;Het NIC B.V.;;;1;;;;;1
EZK;Het Steenen Paert B.V.;;;1;;;;;1
EZK;Hewlett-Packard Nederland B.V.;1;;;;;;;1
EZK;Hogeschool Domstad Facilitaire Zaken B.V.;;;1;;;;;1
EZK;Hogeschool Zuyd;;;1;;;;;1
EZK;Hokra B.V.;;;1;;;;;1
EZK;Holland GreenTech;;;1;;;;;1
EZK;Holland House Waste Window;;;1;;;;;1
EZK;Holland Innovation Team B.V.;;;1;;;;;1
EZK;Holland Reklame en Standbouw B.V.;;;1;;;;;1
EZK;Holland Webshops B.V.;;;1;;;;;1
EZK;Hollandse Hoogte B.V.;;;1;;;;;1
EZK;Hostnet B.V.;;;;;;1;;1
EZK;Hotel Des Indes B.V.;;;1;;;;;1
EZK;Hotel Gorinchem B.V.;;;1;;;;;1
EZK;Hotel Hoorn B.V.;;;1;;;;;1
EZK;Hotel Ridderkerk B.V.;;;1;;;;;1
EZK;Hotel Spoorzicht & Spa B.V.;;;1;;;;;1
EZK;Hotel YUME Hoogeveen B.V.;;;1;;;;;1
EZK;Hotel-CafÃ©-Restaurant 'Zwolle' B.V.;;;1;;;;;1
EZK;Hotelexplotitatiemaatschappij Leijenberghlaan;;;1;;;;;1
EZK;House of Lords B.V.;;;1;;;;;1
EZK;House of Sports;;;1;;;;;1
EZK;HowAboutYou B.V.;;;1;;;;;1
EZK;HTCE Site Management B.V.;;;1;;;;;1
EZK;Huis van Verbeelding;;;1;;;;;1
EZK;Huisers.NL B.V.;;;1;;;;;1
EZK;ICO Communicatie;;;1;;;;;1
EZK;Iea SHC / Australian PV Institute;;;1;;;;;1
EZK;Iftech International B.V.;;;1;;;;;1
EZK;IMC Consult;;;1;;;;;1
EZK;Incassobureau Plaggemars;;;1;;;;;1
EZK;INCLSVE B.V.;;;1;;;;;1
EZK;Indisch Restaurant Garoeda;;;1;;;;;1
EZK;Infinity;;;1;;;;;1
EZK;Ingenieurb?ro Heitfeld - Schetelig;;;1;;;;;1
EZK;Ingenieursbureau BT Geoconsult B.V.;;;1;;;;;1
EZK;Ingenieursbureau Dijkhuis B.V.;;;1;;;;;1
