;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal;
Gas and Oil technologies Collaboration Program (GOT CP);;;2;;;;;2;
Gasunie Engineering B.V.;;;2;;;;;2;
Geelen Infinitus Energy Solutions;;;2;;;;;2;
Gendika B.V.;;;1;;;;;1;
General Secreteriat for Research and Technology;;;1;;;;;1;
Generation Energy B.V.;;;2;;;;;2;
Genootschap Onze Taal;;;1;;;;;1;
Geoconsult Noord B.V.;;;3;;;;;3;
Geodan B.V.;;;1;;;;;1;
Geonius Geotechniek B.V.;;;1;;;;;1;
Geoserve B.V.;;;4;;;;;4;
Geostructures;;;1;;;;;1;
Gereformeerde kerk de Hoeksteen;;;1;;;;;1;
Gerrits Advocaten B.V.;;;1;;2;;;2;
GerVin Enterprise;;;1;;;;;1;
Gesprek in Beweging;;;1;;;;;1;
Getbyte S.A.C.;;;2;;;;;2;
GFK Panel Services Benelux;;;2;;;;;2;
GGNI International B.V.;;;4;;;;;4;
GH+O;;;5;;;;;5;
Ghana Design Network;;;2;;;;;2;
Ghana Netherlands Business & Culture Council;;;1;;;;;1;
Ghana Netherlands Business and Culture Council;;;1;;;;;1;
Giarte Services B.V.;1;;;;;;;1;
Giraffe Consulting Limited;;;2;;;;;2;
Global Experience Specialists (GES) Limited;;;1;;;;;1;
Global Fresh Solutions;;;1;;;;;1;
Global Intelligence Alliance Germany GmbH;;;1;;;;;1;
Global Public Management Consulting B.V.;;;1;;;;;1;
Global Resilient Cities Network;;;2;;;;;2;
Globally Cool B.V.;;;5;;;;;5;
Gloudemans;;;2;;;;;2;
GNKS Consult B.V.;;;3;;;;;3;
Go Global Egypt;;;1;;;;;1;
Go! Good Opportunity;;;4;;;;;4;
Goan Peng International;;;2;;;;;2;
Goeije Communicatie;;;2;;;;;2;
Goodwell Investments B.V.;;;2;;;;;2;
Grand Hôtel Amrâth Kurhaus B.V.;;;1;;;;;1;
Grazie Grazie B.V.;;;1;;;;;1;
Green Giraffe Capital Partners B.V.;;;2;;;;;2;
Green Heart Tourism;;;1;;;;;1;
Green Wave;;;2;;;;;2;
Green Works Consultancy;;;1;;;;;1;
Greenvis B.V.;;;1;;;;;1;
Groenendijk Notulistenservice;;;1;;;;;1;
Groeneveld B.V.;;;1;;;;;1;
Groenholland: Geo-Energiesystemen B.V.;;;1;;;;;1;
Grp. Fabr. van Mach. v.d. Voed. Genotm.ind.;;;4;;;;;4;
Grupo Estructurando SAS;;;1;;;;;1;
GT-Advies;;;1;;;;;1;
GTAP Center for Global Trade Analyses Dep of Agr Ec Purdue University;;;;;;1;;1;
Guido de Ruiter Advies & Procesmanagement;;;1;;;;;1;
Gustavo Ferro Consulting;;;1;;;;;1;
H.J.M. Zonderland Fotografie;;;1;;;;;1;
H+N+S B.V.;;;2;;;;;2;
Handelshuis Atlantis B.V.;;;1;;;;;1;
Hans Vos Advies;;;1;;;;;1;
Harmelink Consulting & Projectmanagement;;;1;;;;;1;
Hart Optreden;;;1;;;;;1;
Haskoning B.V.;;;2;;;;;2;
HASKONINGDHV MYANMAR CO., LTD.;;;2;;;;;2;
HaskoningDHV Nederland B.V.;;;6;;;;;6;
Hatam & Nouri LLC;;;2;;;;;2;
Haute Equipe;;;2;;;;;2;
HCP international;;;1;;;;;1;
HD Cotterell B.V.;;;2;;;;;2;
HE Den Haag B.V.;;;1;;;;;1;
HeadFirst B.V.;7;2;;;;4;;7;
Heavenswater B.V.;;;2;;;;;2;
Hekkelman Advocaten N.V.;;;1;;;;;1;
Helder en Duidelijk;;;1;;;;;1;
Hemelrijk Lelystad B.V.;;;1;;;;;1;
Hera;;;2;;;;;2;
Herrmann;;;2;;;;;2;
Hervormd Verenigings Gebouw;;;1;;;;;1;
Het Gegevenshuis;;;2;;;;;2;
Het Muntgebouw-Utrecht B.V.;;;2;;;;;2;
Het Nederlands Openluchtmuseum;;;2;;;;;2;
Het Nederlandse Rode Kruis Afdeling Lelystad;;;2;;;;;2;
Het NIC B.V.;;;2;;;;;2;
Het Pleidooi;;;1;;;;;1;
Het Scheepvaartmuseum Enterprise B.V.;;;2;;;;;2;
HEYDAY Consultancy & Detachering B.V.;2;;;;;;;2;
HJ Water & Food;;;3;;;;;3;
HKV Lijn in Water B.V.;;;4;;;;;4;
Hoeve Advies B.V.;;;1;;;;;1;
Hogeschool Zeeland/Hogeschool Zeeland (WEB);;;3;;;;;3;
Hokra B.V.;;;1;;;;;1;
Holding Beheermaatschappij Ropeni B.V.;;;1;;;;;1;
Holding Company for Water & Wastewater;;;1;;;;;1;
Holland GreenTech;;;2;;;;;2;
Holland Promotion B.V.;;;1;;;;;1;
Holland Promotions;;;1;;;;;1;
Holland Solar;;;1;;;;;1;
Holland Webshops B.V.;;;1;;;;;1;
HollandDoor Coöperatie UA;;;3;;;;;3;
Hollandia Wassenaar B.V.;;;2;;;;;2;
Hollandse Hoogte B.V.;;;1;;;;;1;
Homad B.V.;;;2;;;;;2;
Hondentrimsalon Takkie;;;1;;;;;1;
Hong Kong Head;;;6;;;;;6;
Hoogendoorn Automatisering B.V.;;;2;;;;;2;
Horeca Exploitatie West-Ende B.V.;;;1;;;;;1;
Horizon Marktonderzoek;;;1;;;;;1;
Hostellerie Munten B.V.;;;1;;;;;1;
Hotel Akersloot;;;1;;;;;1;
Hotel Exploit. Maatschappij Bluefinger B.V.;;;1;;;;;1;
Hotel Lunchroom Hendriks B.V.;;;1;;;;;1;
Hotel Spoorzicht & Spa B.V.;;;1;;;;;1;
Hotel Tiel;;;1;;;;;1;
Hotel Uden-Veghel Exploitatie B.V.;;;1;;;;;1;
Hotel Villa Ruimzicht B.V.;;;1;;;;;1;
Hotel YUME Hoogeveen B.V.;;;1;;;;;1;
Hotel-Café-Restaurant 'West-End' Expl. B.V.;;;1;;;;;1;
Hotel-Café-Restaurant 'Zwolle' B.V.;;;1;;;;;1;
Hotel-restaurant 'Het Gemeentehuis';;;1;;;;;1;
House of Performance B.V.;;;2;;;;;2;
HowAboutYou B.V.;;;1;;;;;1;
HPVL Consult;;;2;;;;;2;
Huis van Verbeelding;;;;;;1;;1;
Human Rights at Work;;;2;;;;;2;
Hutten Catering B.V.;;;1;;;;;1;
Huygen Ingenieurs & Adviseurs B.V.;;;1;;;;;1;
Hydriade;;;2;;;;;2;
Hydrocapacity;;;2;;;;;2;
I & O Research B.V.;;;3;;;;;3;
I.D. Image Development;;;2;;;;;2;
I2L, instituut voor innovatie en leren;;;2;;;;;2;
IAF;;;2;;;;;2;
IBM Belgium/Luxembourg;;;2;;;;;2;
IBM Nederland B.V.;5;;;;;;;5;
IBR Holding B.V.;;;1;;;;;1;
ICI Business;;;4;;;;;4;
ICLEI European Secretariat GmbH;;;2;;;;;2;
ICUC Consultants Pvt. Ltd.;;;2;;;;;2;
ID & G Management Consultancy;;;1;;;;;1;
id&dn;;;1;;;;;1;
Ideeaanzee B.V.;;;1;;;;;1;
IdeiaLab;;;2;;;;;2;
Iea Environmental Projects Ltd.;;;2;;;;;2;
Iea Hia Secretariat;;;2;;;;;2;
IEA International Energy Agency;;;2;;;;;2;
Iea SHC / Australian PV Institute;;;1;;;;;1;
If Technology B.V.;;;2;;;;;2;
IJsbrand Design;;;2;;;;;2;
IJsfontein Gamewise B.V.;;;2;;;;;2;
Imago Bouwers;;;2;;;;;2;
iMPACT Booster Holding B.V.;;;2;;;;;2;
Impact Energy AG;;;2;;;;;2;
Improven B.V.;;;2;;;;;2;
Impuls;;;1;;;;;1;
Imthorn Civiel B.V.;;;2;;;;;2;
In Excelsis;;;2;;;;;2;
IN2;;;1;;;;;1;
in60seconds B.V.;;;3;;;;;3;
Infra Kompas B.V.;;;2;;;;;2;
Inge Diepman B.V.;;;1;;;;;1;
Ingenieurb?ro Heitfeld - Schetelig;;;2;;;;;2;
Ingenieursbureau BT Geoconsult B.V.;;;1;;;;;1;
Ingenieursbureau Land B.V.;;;1;;;;;1;
Ingenieursburo Heitfeld-Schetelig GmbH;;;2;;;;;2;
Initiative Media B.V.;;;2;;;;;2;
Inive;;;1;;;;;1;
INNAX gebouw & omgeving B.V.;;;4;;;;;4;
Innoforte;;;1;;;;;1;
Innomics B.V.;;;2;;;;;2;
Innopay NL B.V.;;;4;;;;;4;
Innovatie en Duurzaamheid B.V.;;;4;;;;;4;
InnovationQuarter;;;1;;;;;1;
Innoveins B.V.;;;2;;;;;2;
Inscene Company B.V.;;;1;;;;;1;
Inspire to Act;;;1;;;;;1;
Inst. for Hous. and Urban Devel. Stud. B.V.;;;1;;;;;1;
Instituto de Ingenieria;;;2;;;;;2;
Instituut Maatschappelijke Innovatie;;;2;;;1;;2;
Instituut voor Beleid en Management in de gezondheidszorg;;;2;;;;;2;
Instituut voor Veiligheid en Milieu B.V.;;;1;;;;;1;
Interlinks Consulting Group S.A.C.;;;1;;;;;1;
International Procurement Agency B.V.;;;2;;;;;2;
Interseco Investigations;;;2;;;;;2;
INTI Harvest;;;2;;;;;2;
Intraservice Dienstverlening B.V.;;;4;;;;;4;
inVision Ondertiteling;;;1;;;;;1;
INVISO Communications;;;1;;;;;1;
IRC GHANA;;;2;;;;;2;
Isah B.V.;;;2;;;;;2;
ISGAN;;;2;;;;;2;
IT Equals 3 B.V.;;;1;;;;;1;
Itds Groep B.V.;;;2;;;;;2;
IVA Onderwijs B.V.;;;2;;;;;2;
IVN, Instituut voor Nat.educ. en duurzaamheid;;;4;;;;;4;
J. Kamminga;;;2;;;;;2;
J. Tellinga;;;1;;;;;1;
Jaarbeurs B.V.;;;1;;;;;1;
Jacqueline Spaans Fotografie;;;2;;;;;2;
Jahae Raymakers;;;;;3;;;3;
Jan Deelstra Advies;;;1;;;;;1;
Jan Peeters;;;1;;;;;1;
JBBouwadvies;;;1;;;;;1;
jClarity;1;;;;;;;1;
JCM Context B.V.;;;2;;;;;2;
JMA B.V.;;;1;;;;;1;
jobdronkers;;;2;;;;;2;
Joep Vonk Consulting;;;1;;;;;1;
Jonge Honden 18 C.V.;;;2;;;;;2;
Jonge Honden 2 C.V.;;;2;;;;;2;
Jonge Honden 4 C.V.;;;2;;;;;2;
Jonge Honden B.V.;;;4;;;;;4;
Jongejan Risk Management Consulting B.V.;;;2;;;;;2;
Joost Haenen Strategisch Advies;;;2;;;;;2;
Joost Pierrot Consultancy;;;3;;;;;3;
Jorg Leijten Media;;;;;1;;;1;
Jorritsma Bouw B.V.;;;4;;;;;4;
Jos Feijtel Interimmanagement en Advies;;;3;;;;;3;
JOYConcepts B.V.;;;1;;;;;1;
jskwadraat;;;2;;;;;2;
Judo B.V.;;;1;;;;;1;
Juridisch Adviesbureau Noordhuis;;;;;1;;;1;
JVK-Fotografie;;;1;;;;;1;
KaapZ B.V.;;;1;;;;;1;
Kamangir B.V.;;;2;;;;;2;
Kamphof Veetransport;;;3;;;;;3;
Kampus Dierenhotel;;;1;;;;;1;
Kanai;;;1;;;;;1;
Kansrijp;;;2;;;;;2;
Kantar Netherlands B.V.;;;3;;;;;3;
Kantelingen B.V.;;;2;;;;;2;
Kassing-de Raaphof B.V.;;;4;;;;;4;
Kattenkliniek Felicare;;;1;;;;;1;
KAV Autoverhuur B.V.;;;1;;;;;1;
KAW architecten en adviseurs 1;;;2;;;;;2;
KAW-a B.V.;;;1;;;;;1;
KCM Survey B.V.;;;2;;;;;2;
KEMA International B.V.;;;1;;;;;1;
KEPSA – Sustainable Inclusive Business Kenya;;;2;;;;;2;
Kinepolis Bioscopen Holding B.V.;;;1;;;;;1;
Kingsquare B.V.;;;1;;;;;1;
Kiwa Technology;;;3;;;;;3;
Klasen Geoconsultancy;;;2;;;;;2;
Kleffmann Group Ukraine;;;2;;;;;2;
Klinckenberg Consultants B.V.;;;3;;;;;3;
KLM Health Services B.V.;;;1;;;;;1;
KNN Advies B.V.;;;2;;;;;2;
Koel- en Vrieshuis Klaas de Jong B.V.;;;1;;;;;1;
Kon. Nederlandse Hippische Sportfederatie;;;1;;;;;1;
Kon. Ver. 'Het Ned. Trekpaard & de Haflinger';;;1;;;;;1;
Kon. Ver. Warmbloed Paardenstamboek Nederland;;;1;;;;;1;
Koninkl. Ver. van Nederl. Houtondernemingen;;;2;;;;;2;
Koninklijk Instituut voor de Tropen;;;2;;;;;2;
Koninklijke Burgers' Zoo;;;1;;;;;1;
Koninklijke Haskoning DHV Groep B.V.;;;5;;;;;5;
Koninklijke Metaalunie';;;3;;;;;3;
Koninklijke Nederl. Baseball en Softball Bond;;;1;;;;;1;
Koopman-works;;;3;;;;;3;
Koos B.V.;;;2;;;3;;3;
Korea National Committee Of International Institute Of Refrigeration;;;1;;;;;1;
Korn Ferry Advisory (NL) B.V.;;;1;;;;;1;
Koumans & Partners B.V.;;;2;;;;;2;
KplusV organisatieadvies B.V.;;;2;;;;;2;
KPMG;;;2;;;;;2;
KPMG Advisory N.V.;;;5;;;2;;5;
KPMG Staffing & Facility Services B.V.;3;;2;;;;;3;
KPN B.V.;;;7;;;;;7;
KPN Consulting B.V.;6;;;;;;;6;
Krajowa Agencje Poszanowania Energii S.A.;;;2;;;;;2;
Kruger Swart & Associates;;;1;;;;;1;
Krull Advies;;;1;;;;;1;
Krystel Singh;;;2;;;;;2;
KSG Trainers & Consultants;;;2;;;;;2;
KSO Water Affairs;;;2;;;;;2;
Kuilderd Consulting Ltd;;;1;;;;;1;
Kwa Bedrijfsadviseurs B.V.;;;4;;;;;4;
Kwink Groep B.V.;;;4;;;;;4;
KWR Water B.V.;;;2;;;;;2;
Kyboko Business Development;;;2;;;;;2;
Kyos Energy Consulting B.V.;;;2;;;;;2;
Lagarde Advies B.V.;;;1;;;;;1;
Laheij Gespreksleiding;;;1;;;;;1;
Lammers & van Damme Bouw- en Onderh.bedr.;;;2;;;;;2;
Lamoree Management en Advies;;;4;;;;;4;
Landeshochschulkasse Mainz;;;4;;;;;4;
Landgoed de Uitkijk B.V.;1;;;;;;;1;
Landhotel de IJsvogel;;;1;;;;;1;
Langejan Advies;;;1;;;;;1;
Larive International B.V.;;;2;;;;;2;
Latitud Diez Servicios Integrados S.A.;;;1;;;;;1;
Laura Termeer;;;1;;;;;1;
Laxmi B.V.;;;2;;;;;2;
LBP Sight B.V.;;;4;;;;;4;
Le Bistroquet B.V.;;;1;;;;;1;
Le Mat Consultancy & Advisory;;;2;;;;;2;
Learning Vision;;;1;;;;;1;
Leene Communicatie;;;2;;;;;2;
Lentiz Cursus & Consult B.V.;;;3;;;;;3;
Leuveld Managementsystemen;;;1;;;;;1;
Levin Sources;;;2;;;;;2;
Lex Arkesteijn Advies;;;2;;;;;2;
License Consulting B.V.;2;;;;;;;2;
Ligteringen Advies;;;1;;;;;1;
LijnSpel Coöperatie UA;;;2;;;;;2;
Lingehoeve Diergeneeskunde B.V.;;;1;;;;;1;
Lingeman/Ritsema Rentmeesters en Makel. B.V.;;;;;1;;;1;
LINKIT B.V.;6;;;;;;;6;
Live Action Play;;;1;;;;;1;
Livewords;;;2;1;;;;2;
Local Works;;;1;;;;;1;
LogoChoc B.V.;;;1;;;;;1;
Lohrmann Riehle Lätsch Durach & Partner;;;1;;;;;1;
Loof training en advies B.V.;;;1;;;;;1;
L'Orèl Consultancy B.V.;;;2;;;;;2;
Louk Grauwen Design;;;2;;;;;2;
Loyens & Loeff N.V.;2;;;;;;;2;
Lucalocatelli Ltd;;;2;;;;;2;
LVA INDICES SA;;;1;;;;;1;
Lysias Consulting Group B.V.;;;3;;;;;3;
Maatschap de Vries-Slingerland;;;1;;;;;1;
Maatschap Dierenartsenpraktijk Oost Groningen;;;1;;;;;1;
Maatschap Dierenartsenpraktijk Westerbork;;;1;;;;;1;
MACHI - Asia & Sustainability Consulting;;;2;;;;;2;
Machteld Ooijens - Partnering for Social Imp.;;;3;;;;;3;
Madras Terrace;;;2;;;;;2;
Madurodam B.V.;;;1;;;;;1;
MAEXchange B.V.;;;2;;;;;2;
Makmende Media B.V.;;;1;;;;;1;
MANGO Consult;;;2;;;;;2;
Mannakin Ltd.;;;1;;;;;1;
Mannen met plannen;;;2;;;;;2;
MAP Consultancy;;;1;;;;;1;
MAP traffic management B.V.;;;2;;;;;2;
Marcelien, Media & Presentatie;;;1;;;;;1;
Mare Holland B.V.;;;4;;;;;4;
Maren Bruin;;;1;;;;;1;
Marence & Co;;;1;;;;;1;
Margo Potma Impact Consultancy;;;1;;;;;1;
Maria Margarida Soares de Albergaria Ambar;;;2;;;;;2;
Marianne Zuur;;;1;;;;;1;
Marije Vogelzang;;;1;;;;;1;
Maritime & Transport Business Solutions;;;3;;;;;3;
Marketing for Impact;;;1;;;;;1;
Marmaris Restaurant;;;1;;;;;1;
Martine Coevert Advies;;;1;;;;;1;
Masters catering;;;1;;;;;1;
Mathematical Methods and Models for Engineering M3E s.r.l.;;;3;;;;;3;
Maverick;;;1;;;;;1;
Mavim B.V.;;;2;;;;;2;
Max Value;;;1;;;;;1;
Maycroft Consultancy Services;;;1;;;;;1;
Mayflower Marketing;;;4;;;;;4;
Mazars Forensic Services (Pty) Ltd;;;1;;;;;1;
M-Brain GMBH;;;3;;;;;3;
MCISE Marocco;;;2;;;;;2;
McKinsey & Company Netherlands;;;4;;;;;4;
MDA Geospatial Services;;;6;;;;;6;
MDF Training en Consultancy B.V.;;;4;;;;;4;
Measuremen B.V.;;;1;;;;;1;
Mediamixx GmbH;;;1;;;;;1;
MediQuest B.V.;;;1;;;;;1;
Meetingselect Holding B.V.;;;2;;;;;2;
Meged Engineering & Consultancy;;;3;;;;;3;
Meijaard Innovation Realization;;;4;;;;;4;
Meijburg & Co;;;2;;;;;2;
Mercadero;;;1;;;;;1;
Merijn Hillen;;;1;;;;;1;
Metabolic Coöperatief UA;;;1;;;;;1;
Metis IT Support B.V.;6;;;;;;;6;
Metri B.V.;;;;;;2;;2;
MetrixLab B.V.;;;2;;;;;2;
MetrixLab Nederland B.V.;;;2;;;;;2;
Mett;;;1;;;;;1;
MI Haddad;;;1;;;;;1;
Mies/Tekst en Training;;;1;;;;;1;
Mijnbouwkundig adviseur ir J.P.A.Roest;;;2;;;;;2;
Missing Chapter Foundation;;;1;;;;;1;
Missing Link Projects;;;1;;;;;1;
Misteli creative agency B.V.;;;2;;;;;2;
MLA+ B.V.;;;2;;;;;2;
MMT Sweden AB;;;7;;;;;7;
Mobius Consult B.V.;;;4;;;;;4;
Modint B.V.;;;2;;;;;2;
Moduli Print B.V.;;;1;;;;;1;
Mondial Movers B.V.;;;1;;;;;1;
Monumenten Adviesbureau Klaas Schoots MAKS;;;1;;;;;1;
Mooi Werk;;;1;;;;;1;
More Dutch Design;;;4;;;;;4;
Motivaction International B.V.;;;4;;;;;4;
Mouseion B.V.;;;1;;;;;1;
MPC Meijer Project Consultancy;;;2;;;;;2;
MSG Sustainable Strategies;;;3;;;;;3;
Munckhof Business Travel;;;3;;;;;3;
Munckhof Reizen B.V.;;;1;;;;;1;
Munckhof Taxi B.V.;;;1;;;;;1;
Muy Management B.V.;;;1;;;;;1;
MVO-Manager B.V.;;;2;;;;;2;
Myanmar Tourism Marketing;;;2;;;;;2;
Myler;7;;;;;;;7;
N&S del Tropico S.A.;;;4;;;;;4;
N&S del Tropico SA;;;2;;;;;2;
N.V. HVC;;;1;;;;;1;
Nabla V.O.F.;;;1;;;;;1;
Naco, Netherlands Airport Consultants B.V.;;;2;;;;;2;
Naktuinbouw;;;3;;;;;3;
National Quality Institute (NQI);;;1;;;;;1;
Nature at Sight;;;2;;;;;2;
Natuur en Milieufederatie Flevoland;;;2;;;;;2;
Natuur en Recht;;;;;1;;;1;
Navigant Netherlands B.V.;;5;5;3;;;;6;
Navigant WTTS B.V.;;;2;;;;;2;
Navingo B.V.;;;2;;;;;2;
NEC B.V.;;;4;;;;;4;
Ned. Inst. v. Bouwbiol.&Ecol., Nibe Res. B.V.;;;2;;;;;2;
Ned. Ver. tot Bescherming van Dieren;;;3;;;;;3;
Ned. Vereniging voor Luchtvaarttechniek;;;4;;;;;4;
Ned.Org.voor toegepast-nat.wetensch. o.z. TNO;;;7;;;;;7;
Nederl. Branchever. voor de Timmerindustrie;;;2;;;;;2;
NederlandBovenWater UA;;;2;;;;;2;
Nederlands Debat Instituut Holding B.V.;;;1;;;;;1;
Nederlands Instituut voor Biologie;;;2;;;;;2;
Nederlands Mini Paarden Registratie Stamboek;;;1;;;;;1;
Nederlands Shetland Pony Stamboek;;;1;;;;;1;
Nederlandse Vereniging van Banken;;;2;;;;;2;
Need Staffing;5;;;;;;;5;
NEMO Science Museum;;;4;;;;;4;
Neo, Netherl. Geomat. & Earth Observat. B.V.;;;2;;;;;2;
Netherlands Business Hub;;;1;;;;;1;
Netherlands embassy in Helsinki, Finland;;;2;;;;;2;
Netherlands.Info;;;4;;;;;4;
Netrex Internet Solutions;;;2;;;;;2;
Netto4concepts;;;4;;;;;4;
Nevi B.V.;;;2;;;;;2;
New Babylon Meeting Center B.V.;;;1;;;;;1;
New Pi Initiatives LLC;;;2;;;;;2;
New-Energy TV B.V.;;;3;;;;;3;
Newington Communications Limited;;;2;;;;;2;
NIBC Bank N.V.;;;4;;;;;4;
Nick Ashton-Hart;;;1;;;;;1;
Nicolai Praktijk B.V.;;;;;2;;;2;
Nieja;;;3;;;;;3;
Niels Bouwman Event Management;;;4;;;;;4;
Nieman Groep B.V.;;;4;;;;;4;
Nieman Raadgevende Ingenieurs B.V.;;;2;;;;;2;
Nienke Schutte;;;2;;;;;2;
Nieuw Land Poldermuseum;;;1;;;;;1;
NIRAS Mozambique Lda.;;;2;;;;;2;
NL Ver. v.h. Onderw. in de Natuurwetenschapp.;;;1;;;;;1;
NMi Certin B.V.;;;5;;;;;5;
NOM;;;1;;;;;1;
Non-governmental union “Foundation for support of reforms in Ukraine”;;;2;;;;;2;
Noorden Duurzaam;;;1;;;;;1;
Noorderwind;;;2;;;;;2;
Noordtij B.V.;;;1;;;;;1;
NoProblemMusic;;;1;;;;;1;
North-Holland (Publishing);;;2;;;;;2;
Northwave B.V.;2;;;;;;;2;
Notebomers Bouw B.V.;;;4;;;;;4;
NOVO Labels;;;1;;;;;1;
Novotel Rotterdam Brainpark;;;1;;;;;1;
NPK Design B.V.;;;2;;;;;2;
NREL;;;2;;;;;2;
NTIO;;;3;;;;;3;
Nubis Online Marketing B.V.;;;1;;;;;1;
Nuffic Neso South Africa;;;2;;;;;2;
Nutriënten Management Instituut NMI B.V.;;;2;;;;;2;
NutriSuin;;;2;;;;;2;
O&i management consultants B.V.;;;1;;;;;1;
O&O Civieltechnisch Advies B.V.;;;2;;;;;2;
O3-Effect;;;1;;;;;1;
Oberon B.V.;;;1;;;;;1;
Obvious Advisory;;;2;;;;;2;
Ochtman Gouda B.V.;;;1;;;;;1;
Ockham Groep B.V.;;;3;;;;;3;
ODB Technologies LTD / Iea Bioenergy TR;;;4;;;;;4;
Odura advies en projecten B.V.;;;2;;;;;2;
OECD International Energy Agency Bookshop;;;2;;;;;2;
Office Support Midden Holland B.V.;;;1;;;;;1;
offSURE B.V.;;;1;;;;;1;
OL Group B.V.;;;;;1;;;1;
Oldbaum Services Ltd;;;3;;;;;3;
Oleica Technological & Safety;;;2;;;;;2;
Oliver Wyman B.V.;;;2;;;;;2;
One Architecture & Urbanisme, Inc;;;2;;;;;2;
Online Seminar B.V.;;;2;;;;;2;
Ons Dorpshuis;;;1;;;;;1;
Ontwikkelingsbedrijf Noord-Holland Noord N.V.;;;2;;;;;2;
Ontwikkelingsmaatschappij Oost-Nederland N.V.;;;2;;;;;2;
Ooze V.O.F.;;;3;;;;;3;
Op Noord B.V.;;;1;;;;;1;
Open Europa;;;4;;;;;4;
Open Now B.V.;;;3;;;;;3;
Optima Forma B.V.;;;2;;;;;2;
Orange Health Consultants;;;2;;;;;2;
Ordina Beheer & Outsourcing;5;;;;;;;5;
Ordina Nederland B.V.;;;;;;3;;3;
Org.-id B.V.;;;2;;;;;2;
Organisatieregie B.V.;;;2;;;;;2;
Organisation for Economic Co-operation and Development;;;1;;;;;1;
Origame B.V.;;;3;;;;;3;
Oscar van der Ende;;;1;;;;;1;
Oudaen B.V.;;;1;;;;;1;
Ouëndag & Silberman;;;1;;;;;1;
Out of Harm's Way;;;3;;;;;3;
Outside Inc. B.V.;;;2;;;;;2;
Over Morgen;;;3;;;;;3;
Overheidenonderwijs B.V.;2;;;;;;;2;
Overview2020;;;2;;;;;2;
Oxera Consulting Limited;;;1;;;;;1;
OXFAM Cuba;;;2;;;;;2;
Oxfam Novib;;;3;;;;;3;
P. Glerum Consultancy;;;1;;;;;1;
P. van Hofwegen IMC;;;2;;;;;2;
P.C. van Staalduinen Advies;;;1;;;;;1;
PA consulting Group Services Limited;;;3;;;;;3;
PA Consulting Services B.V.;;;2;;;;;2;
Paardenkliniek Hollands Kroon C.V.;;;1;;;;;1;
Paauw Services;;;1;;;;;1;
PACT Public Affairs B.V.;;;2;;;;;2;
Palladium Europe;;;4;;;;;4;
PALMA MARKET INTRODUCTIONS SL;;;3;;;;;3;
Pam B.V.;;;2;;;;;2;
Panteia B.V.;;;5;;;;;5;
Particip GmbH;;;1;;;;;1;
Partnering with Purpose B.V.;;;2;;;;;2;
Partners for Innovation B.V.;;;2;;;;;2;
Paul van Meel Water Management;;;2;;;;;2;
PBLQ B.V.;1;;1;;;;;2;
Pegasys;;;1;;;;;1;
Pels Rijcken & Droogleever Fortuijn N.V.;1;;6;;8;;;8;
Perfect Web Team;;;1;;;;;1;
Periplus Archeomare B.V.;;;2;;;;;2;
Pernosco;;;2;;;;;2;
Perpetear - Communicatie- & projectadvies;;;1;;;;;1;
Personal Fitness Delft;;;2;;;;;2;
Perspectivity;;;2;;;;;2;
Perspektyviniu Technologiju Taikomuji Tyrimu Institutas;;;2;;;;;2;
Peter Beereboom Licht, Geluid en Beeld;;;1;;;;;1;
PGGM Strategic Advisory Services B.V.;;;1;;;;;1;
Phaff Export Marketing B.V.;;;1;;;;;1;
Phaos Advies B.V.;;;2;;;;;2;
PHI Factory B.V.;;;2;;;;;2;
Pieter van Geel Consultancy;;;1;;;;;1;
Pieters Bouwtechniek Haarlem B.V.;;;1;;;;;1;
Pii B.V.;;;2;;;;;2;
Pinch of Pepper B.V.;;;1;;;;;1;
PingPong Design B.V.;;;1;;;;;1;
Pitch Professional;;;1;;;;;1;
Pixelware, S.A.;;;4;;;;;4;
PKOrt-Services;;;2;;;;;2;
Plaatselijk Belang;;;2;;;;;2;
Plaatwerk, Fotografen;;;1;;;;;1;
PLANAIR;;;1;;;;;1;
Planmaat;;;2;;;;;2;
PlasBossinade Notarissen N.V.;;;1;;;;;1;
Platform Duurzame Biobrandstoffen;;;2;;;;;2;
PMI - Palma Market Introductions S.L.;;;2;;;;;2;
Podium Bur. voor Educatieve Communicatie B.V.;;;2;;;;;2;
Polpo B.V.;;;2;;;;;2;
Pondera Consult B.V.;;;4;;;;;4;
Port Consultants Rotterdam B.V.;;;3;;;;;3;
Port of Amsterdam International B.V.;;;2;;;;;2;
Portland Pr Limited;;;3;;;;;3;
Pöyry Deutschland GmbH;;;4;;;;;4;
Pöyry Management Consulting Ltd;;;3;;;;;3;
PPD Consultants Limited;;;1;;;;;1;
Prakken d'Oliveira Human Rights Law. Coöp. UA;;;;;1;;;1;
Praktijk voor Nieuwe Landbouw;;;1;;;;;1;
PRCS Performance Delivery B.V.;;;2;;;;;2;
Précon Consulting Group B.V.;;;2;;;;;2;
Pricewaterhousecoopers Advisory N.V.;;;7;;;;;7;
Primo Marine Group B.V.;;;2;;;;;2;
