OBJECTID,NAAM,DIENSTREGELPUNT_TYPE,LANDCODE,STATIONSGROOTTE,HEEFT_TANKPLAATS,HEEFT_WERKPLAATS,BLOKPUNT_INDICATIE,BEDIEND,AFKORTING,DOORKOMST_VERPLICHT,BEDIENINGSCODE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,GELDIG_VANAF,PUBLICATIEDATUM,PPLG_PUIC,PPLG_NAAM,VLPOST_PUIC,VLPOST_NAAM,PPLG_OMSCHRIJVING,VLPOST_OMSCHRIJVING,REF_DIENSTREGELPUNT_PUIC
181,Lekbrug aansl.,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Lek,Nee,OA Overloop-aansluiting,Ut-Btl,Utrecht Centraal - Boxtel ,117,,117,117__,Lunetten - Geldermalsen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,e560277d-5604-4489-b4fc-2c11bdb5def4,LEK,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Lekbrug aansl.,Utrecht Centraal,913df335-43a9-414f-8742-7fc56fb9c9d8
182,Woerden,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Wd,Ja,Stop-station,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,533,,533,533__,Woerden,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,82c19fd9-06b8-4beb-8ddd-c847d0a68ee0,WD,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Woerden,Utrecht Centraal,fa6cb638-c593-4fbb-84be-51055c00f18f
183,Tiel Passewaaij,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Tpsw,Ja,Stop-station,Est-Gdm,Elst - Geldermalsen ,043,,43,043__,Kesteren - Geldermalsen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,,Utrecht Centraal,8476b69a-7b20-496c-8af4-e76a346543e5
184,Veenendaal-De Klomp,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Klp,Ja,Stop-station,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,108,,108,108__,De Haar Aansl. - Ede=Wageningen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,,Utrecht Centraal,42f00ca2-caa1-4c9f-8a67-f4b5f4439f87
185,Utrecht Leidsche Rijn,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Utlr,Ja,Stop-station,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,100,,100,100__,Utrecht Centraal - Harmelen Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,babb6ecb-afc8-4371-b2ee-31f7979e496c,VTN,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Vleuten,Utrecht Centraal,9a7bad58-fa42-4e63-abf1-3ab75d80d32c
186,Utrecht Woerden Aansluiting,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Utwa,Nee,AS Aansluiting/splitsing,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,531,d,531,531_d,Utrecht Centraal,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f1fb38d7-03fa-475e-8e96-4db274451285,UT,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Utrecht Centraal,Utrecht Centraal,fdc13fe3-3ff2-4959-960a-3a1c9a771b2c
187,Veenendaal West Overloopwissels,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Vndwo,Ja,OV Overige,Rhn-Har,Rhenen - De Haar Aansl. ,109,,109,109__,Rhenen - De Haar Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,e121398f-4a2c-429c-bf4f-f4f619b65d9a,VNDC,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Veenendaal Centrum,Utrecht Centraal,c3f8a03b-2030-4591-8c1c-382df7af14fa
188,Harmelen_Vleuten aansl,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Hmlva,Ja,OV Overige,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,100,,100,100__,Utrecht Centraal - Harmelen Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,c7e72fce-eb38-4ce9-a242-f654ae8e76ad,HMLA,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Harmelen aansl.,Utrecht Centraal,3e18f8e7-86c5-435a-9fe9-a42609fc5d97
189,Lunteren,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Ltn,Ja,Stop-station,Bnn-Ed,Barneveld Noord - Ede=Wageningen ,211,,211,211__,Barneveld Noord - Ede=Wageningen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f09963cb-b79c-4d41-a886-1bb025cd10bc,LTN,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Lunteren,Utrecht Centraal,b775a9ef-059a-4832-80e0-05c147036e9a
190,De Haar aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Har,Ja,OA Overloop-aansluiting,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,562,b,562,562_b,De Haar Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,4d29bbf3-0204-4845-9624-8b6d398dfb37,HAR,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,De Haar aansl.,Utrecht Centraal,079e4c66-9e16-4188-8480-25e2e24af3df
191,Utrecht Lunetten,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Utln,Ja,Stop-station,Ut-Btl,Utrecht Centraal - Boxtel ,547,a,547,547_a,Lunetten Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,,Utrecht Centraal,931890d9-02e1-4622-ae09-7217ace413e1
192,Gouda Goverwelle,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Gdg,Ja,Stop-station,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,105,,105,105__,Woerden - Gouda,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,7f8712dd-1e93-4e5d-ae52-3c83774f2c56,GDG,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Gouda Goverwelle,Utrecht Centraal,8746905f-6b5d-4e22-b3bf-259427a6bf3e
193,Gouwebrug - bij Gouda,Brug,Nederland,Onbekend,Nee,Nee,Nee,Ja,Gwbr,Ja,BR Beweegbare brug,Gd-Apn,Gouda - Alphen a/d Rijn ,106,,106,106__,Gouda - Moordrecht Aansl. Noord,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,3431b9be-2237-4532-8a71-259fef8c1d54,GD,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Gouda,Utrecht Centraal,21d1071a-4bd2-4487-9d52-db8e407a5871
194,Leiden goed.,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Ld,Ja,Goederen emplacement,Wd-Ledn,Woerden - Leiden Centraal ,103,,103,103__,Alphen a/d Rijn - Leiden Centraal,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,04ba1270-fdcd-4595-a73b-e3edeb059ed0,LEDN,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Leiden Centraal,Den Haag HS,bdf44ec5-c564-4a16-af6c-638a98ffa44c
195,Leidschendam,Goederen Emplacement,Nederland,Onbekend,Ja,Ja,Nee,Ja,Ldd,Nee,Goederen emplacement,Ldvn-Ldvwpl,Leidschenveen - Leidschendam werkplaats ,143,,143,143__,Leidschenveen - Leidschendam Lijnwerkplaats,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,4faa56bc-ef04-460f-8f39-87c74020a194,LDD,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Leidschendam,Den Haag HS,363a828b-91dc-4eef-81fc-e14f2f113108
196,Rijswijk,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Rsw,Ja,Stop-station,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,112,,112,112__,Den Haag HS - Schiedam Centrum,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,,Den Haag HS,e0e01434-3c47-402f-8d0c-cd810fcecb5d
197,Den Haag Mariahoeve,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Gvm,Ja,Stop-station,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,563,,563,563__,Den Haag Mariahoeve,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,b4f1047b-a6fb-403b-96fa-fc271a563f49,GVM,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Den Haag Mariahoeve,Den Haag HS,0de06f14-2ddc-42f0-b181-42a5fa85c159
198,Lansingerland-Zoetermeer,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Llzm,Ja,Stop-station,Gd-Gvc,Gouda - Den Haag Centraal ,107,,107,107__,Moordrecht Aansl. - Den Haag Binckhorst,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,,Den Haag HS,c95209a1-9805-4824-8489-4a8ae478c95c
199,Sassenheim,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Ssh,Ja,Stop-station,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,,Den Haag HS,bb4d0d77-2a14-4fbc-add1-41ff1e130886
200,Den Haag Laan van NOI,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Laa,Ja,Stop-station,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,561,,561,561__,Den Haag Laan van NOI,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,efb9180d-9a70-492e-90b8-0d6a6b484f9c,LAA,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Laan van NOI (Den Haag ),Den Haag HS,ebaba4a8-749f-4523-bc66-90a04195206d
201,"Hoendiep, brug o/h - bij Groningen",Brug,Nederland,Onbekend,Nee,Nee,Nee,Nee,Hdp,Ja,BR Beweegbare brug,Hlg-Nscg,Harlingen - Nieuweschans Grens ,002,,2,002__,Leeuwarden - Groningen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,cbcc8207-f56b-464f-8501-e7954a4cda59
202,Groningen,Station,Nederland,Groot,Ja,Nee,Ja,Ja,Gn,Ja,IC Intercity-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,501,,501,501__,Groningen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,bf29d4dc-3dec-4be6-94ab-d591f4cce41f,GN,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Groningen,Groningen,79ae7c00-d789-41ee-9706-a80971326a37
203,Delfzijl West,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Dzw,Ja,Stop-station,Gn-Dz,Groningen - Delfzijl ,201,,201,201__,Sauwerd - Delfzijl,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,c6e45dd0-7402-48bd-8b10-1fbd31631cea
204,Stadskanaal Hoofdstation,Station,Nederland,Onbekend,Nee,Nee,Nee,Nee,Skn,Nee,Stop-station,Skn-Mkv,Stadskanaal Hoofdstation - Musselkanaal-Valthermond ,463,,463,463__,Stadskanaal Hoofdstation - Musselkanaal=Valthermond,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,bbd0023f-d3e9-4c19-b269-c85f3e5919bc
205,Nieuw Buinen,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Nee,Nbn,Nee,Goederen emplacement,Skn-Mkv,Stadskanaal Hoofdstation - Musselkanaal-Valthermond ,463,,463,463__,Stadskanaal Hoofdstation - Musselkanaal=Valthermond,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,2dbd1d8e-6bad-481b-b864-e1defbdd08e5
206,Zuidbroek,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Zb,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,653,a,653,653_a,Zuidbroek,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,3673f0dd-73ea-4c7e-9775-24eb37c48bfe,ZB,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Zuidbroek,Groningen,5b98486e-60e5-4b8d-8ea4-caa44ba7ef82
207,Wildervankkanaalbrug,Brug,Nederland,Onbekend,Nee,Nee,Nee,Nee,Wdvb,Ja,BR Beweegbare brug,Hlg-Nscg,Harlingen - Nieuweschans Grens ,005,,5,005__,Zuidbroek - Nieuweschans Grens,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,cb2317e0-3d03-4cbd-8615-0b9a74cd2c80
208,Scheemda,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Sda,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,005,,5,005__,Zuidbroek - Nieuweschans Grens,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,234b1069-111e-4fb0-8ee5-d4af952d029c,SDA,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Scheemda,Groningen,dde548eb-6778-4f46-9dbc-8bb6b759b7ce
209,Buitenpost,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Bp,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,002,,2,002__,Leeuwarden - Groningen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f42c7206-dea7-4971-a43c-1b8477719f07,BP,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Buitenpost,Groningen,eec52827-35b4-49ce-a8a5-2bf9f61ca755
210,"Rensel, brug o/d - tussen Winschoten en Nieuweschans",Brug,Nederland,Onbekend,Nee,Nee,Nee,Nee,Rsl,Ja,BR Beweegbare brug,Hlg-Nscg,Harlingen - Nieuweschans Grens ,005,,5,005__,Zuidbroek - Nieuweschans Grens,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,18986ef9-17c2-4f75-9960-7d4bcfdf5087
211,Bad Nieuweschans,Station,Nederland,Klein,Nee,Nee,Ja,Ja,Nsch,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,005,,5,005__,Zuidbroek - Nieuweschans Grens,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,8541d771-aad5-4c85-a2a9-150d0a64330e,NSCH,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Nieuweschans,Groningen,f82d2cb4-f92b-4b4f-889d-978081243bfa
212,Roodeschool Aardgascondensaat verlaadstation,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Rdac,Nee,Goederen emplacement,Swd-Rd,Sauwerd - Roodeschool ,200,,200,200__,Winsum - Roodeschool,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f7c9e885-d28d-4545-9830-f56a0028b1ca,RD,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Roodeschool,Groningen,a9127aa1-108c-4b7c-8c9e-261f249a952a
213,Onnen,Goederen Emplacement,Nederland,Onbekend,Nee,Ja,Ja,Ja,On,Ja,Goederen emplacement,Mp-Gn,Meppel - Groningen ,011,,11,011__,Assen - Haren,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,415a5915-5031-42fc-88f9-b5ef2674b768,ONN,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Onnen Noord,Groningen,a6f76871-728e-40ab-83a2-b969b05ad3bf
214,Loppersum,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Lp,Ja,Stop-station,Gn-Dz,Groningen - Delfzijl ,201,,201,201__,Sauwerd - Delfzijl,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,403619de-c6e0-4b4f-a99e-1133fbfcf4e0,LP,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Loppersum,Groningen,96b53a29-5136-4461-8269-c44d312903b2
215,Koudum-Molkwerum,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Kmw,Ja,Stop-station,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,57a07552-364c-4262-952f-39f3a9546760
216,Groningen Vork opstelterrein Noord,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Gnvon,Nee,Goederen emplacement,Hlg-Nscg,Harlingen - Nieuweschans Grens ,003,,3,003__,Groningen Losplaats - Waterhuizen Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,da0ace23-ce45-4c12-8182-20e593cf38fe,GNL,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Groningen Losplaats,Groningen,717fc038-d288-416f-8a6b-d92620063153
217,Warffum,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Wfm,Ja,Stop-station,Swd-Rd,Sauwerd - Roodeschool ,200,,200,200__,Winsum - Roodeschool,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,fddb1db0-c279-48e0-9b30-4b2c37373145,WFM,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Warffum,Groningen,dc964307-6230-40e4-b8e7-2d37ed643cba
218,Groningen Losplaats,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Gnl,Nee,OA Overloop-aansluiting,Hlg-Nscg,Harlingen - Nieuweschans Grens ,552,b,552,552_b,Groningen Losplaats,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,da0ace23-ce45-4c12-8182-20e593cf38fe,GNL,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Groningen Losplaats,Groningen,ed00ed5b-1a2e-4d54-abd5-89f19b745a7e
219,Eemshaven Industrie Aansl,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Eemia,Nee,AS Aansluiting/splitsing,Rda-Eem,Rodeschool Aansl. - Eemshaven ,815,a,815,815_a,Roodeschool Eemshaven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,4f57347d-1fa4-4453-8e19-85c5a4b8fc10,EEMIA,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Eemshaven Industrie Aansl,Groningen,b2e855d7-cc8d-40e7-8305-53b78f3e2231
220,Sneek Noord,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Sknd,Ja,Stop-station,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a1594df5-b7c0-4e7a-a11f-f2e1a78a22a7,SKND,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Sneek Noord,Groningen,aaf6fd37-4c40-400e-8e43-c813216dda26
221,'s-Hertogenbosch Diezebrug aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Htda,Ja,OA Overloop-aansluiting,Ut-Btl,Utrecht Centraal - Boxtel ,614,c,614,614_c,s Hertogenbosch,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a505cd4d-1f73-48f5-97d0-6f244b1baff1,HT,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,'s-Hertogenbosch,Eindhoven,982f8dfe-28e8-456e-bc95-9ec32897b164
222,Eindhoven Centraal,Station,Nederland,Groot,Nee,Nee,Ja,Ja,Ehv,Ja,IC Intercity-station,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a221b8fc-37b8-4f98-91c7-77d86f5f02b2,EHV,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Eindhoven,Eindhoven,aac6fcf8-52b7-4812-b444-5c91e17b054e
223,Eindhoven Stadion,Evenementen Halte,Nederland,Klein,Nee,Nee,Nee,Ja,Ehst,Nee,Stop-station,Bd-Ehv,Breda - Eindhoven ,618,c,618,618_c,Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a221b8fc-37b8-4f98-91c7-77d86f5f02b2,EHV,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Eindhoven,Eindhoven,b8947ade-87b4-4bd9-90e6-aa99195a686c
224,Venlo,Station,Nederland,Groot,Ja,Nee,Ja,Ja,Vl,Ja,Stop-station,Mt-Vl,Maastricht - Venlo ,517,b,517,517_b,Venlo,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,1ce9fe22-8eac-41a1-86a4-57781f732b88,VL,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Venlo,Eindhoven,1b82def6-50a1-47ea-82e6-07c7d06c0cc4
225,Acht,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,At,Ja,Goederen emplacement,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,5830110d-ed75-414b-84d1-f1fb193efbf9,AT,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Acht,Eindhoven,a618fd94-a507-46b3-a3e9-83326e854040
226,Gekkengraaf Oost aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Gkgoa,Nee,AS Aansluiting/splitsing,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a2ad7c21-9898-43b9-a51b-7f05208ee9f5,GKGF,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Gekkengraaf,Eindhoven,ca7b69a5-fa32-436c-b702-20079463f087
227,Vierlingsbeek,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Vlb,Ja,Stop-station,Ah-Vl,Arnhem - Venlo ,052,,52,052__,Beugen - Blerick,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,4be77790-2c26-43ab-a5ad-770a7e5faecb,VLB,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Vierlingsbeek,Eindhoven,76c87d9a-f6a5-4cf2-aac5-624ad571eb86
228,Beugen kruispunt,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Bgk,Ja,OA Overloop-aansluiting,Ah-Vl,Arnhem - Venlo ,756,,756,756__,Beugen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,4debad14-33a4-4f4b-a2a2-b51b3264aed9,BGK,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Beugen kruispunt,Eindhoven,c6f14bf4-a1d8-4572-9bc3-78d1f4191d97
229,Helmond,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Hm,Ja,IC Intercity-station,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,33c85781-6c3a-4c56-84f0-cdc5c7f3f8e3,HM,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Helmond,Eindhoven,bafefcca-23c0-4766-a0ac-e41dd36cd299
230,Tilburg Universiteit,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Tbu,Ja,Stop-station,Bd-Ehv,Breda - Eindhoven ,123,,123,123__,Breda - Tilburg,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,d1033d7d-52d7-488f-80d4-aa128e59e35f,TBU,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Tilburg Universiteit,Eindhoven,ef34beda-cfc6-4a00-8988-b08b8c4f0c93
231,Tilburg Reeshof,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Tbr,Ja,Stop-station,Bd-Ehv,Breda - Eindhoven ,123,,123,123__,Breda - Tilburg,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,,Eindhoven,781ca39a-60e5-4a21-bf56-ca53777182b7
232,Singelgracht aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Sgra,Ja,OA Overloop-aansluiting,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f5cb0b4b-fc48-4ce6-bddb-3e5f7860059d,SGRA,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Singelgracht aansl.,Amsterdam Centraal,f55bf0f0-9422-458e-8059-0dfb65a18753
233,Almere Poort,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Ampo,Ja,Stop-station,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,,Amsterdam Centraal,a3dedf2c-c113-4639-8c51-8fc3ccd6758f
234,Duivendrecht,Station,Nederland,Middel,Nee,Nee,Nee,Ja,Dvd,Ja,IC Intercity-station,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,589,b,589,589_b,Duivendrecht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,86d43799-58c9-4cbb-8803-24f7a3efa0a2,DVD,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Duivendrecht,Amsterdam Centraal,16fba04b-1859-481a-9162-04644b518b23
235,Duivendrecht Aansluiting Zuid,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Dvaz,Ja,AS Aansluiting/splitsing,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,589,b,589,589_b,Duivendrecht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,86d43799-58c9-4cbb-8803-24f7a3efa0a2,DVD,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Duivendrecht,Amsterdam Centraal,9ec76991-6b53-4b1f-a5bb-1ab520eb7658
236,Amsterdam Centraal,Knooppunt,Nederland,Groot,Nee,Nee,Ja,Ja,Asd,Ja,EC -Eurocity-station,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,894eb1d9-0e9b-467c-b482-f3827ce5a4a7,ASD,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Centraal,Amsterdam Centraal,b44278b3-1649-4785-a3c9-e7b538487694
237,Oosterdoksdoorvaart,Brug,Nederland,Onbekend,Nee,Nee,Nee,Ja,Ods,Nee,BR Beweegbare brug,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,894eb1d9-0e9b-467c-b482-f3827ce5a4a7,ASD,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Centraal,Amsterdam Centraal,e4b8f626-2359-47a2-8a7d-05d43be21137
