Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK,Stadspas,x,y
Voetbal,sc Badhoevedorp,www.scbdorp.nl,Sportcomplex de Sporthoeve,Sportlaan 2,1171EH,Badhoevedorp,Buiten Amsterdam,,40594223,,52.33321808,4.78419081
Voetbal,AMVJ,www.amvjvoetbal.nl,Sportpark 't Loopveld,Aanloop 2,1183SZ,Amstelveen,Buiten Amsterdam,,40533621,ja,52.32047213,4.88479553
Voetbal,RAP,www.svrap.nl,Sportpark 't Loopveld,Aanloop 4,1183SZ,Amstelveen,Zuid,,40531910,,52.31935266,4.88793439
Voetbal,Amsterdamse Bos FC,www.fcamsterdamsebos.nl,Sportpark Amsterdamse Bos,Jan Tooroplaan 48,1182AE,Amstelveen,Buiten Amsterdam,,40531279,,52.31829094,4.85459264
Voetbal,Roda '23,www.roda23.nl,Sportpark Bovenkerk,Noorddammerweg 48C,1187ZT,Amstelveen,Buiten Amsterdam,,,,52.28941616,4.8317645
Voetbal,De Volewijckers,www.volewijckers.nl,Sportpark Buiksloterbanne,Baron de Coubertinlaan 1,1034ZK,Amsterdam,Noord,,58547924,ja,52.4012088,4.91816595
Voetbal,sc Buitenveldert,www.buitenveldert.com,Sportpark Buitenveldert,Gustav Mahlerlaan 2009,1081LB,Amsterdam,Zuid,,40530943,,52.33570402,4.86399861
Voetbal,IVV Landsmeer,www.ivvlandsmeer.nl,Sportpark De Breek,Sportlaan 1,1121CB,Landsmeer,Buiten Amsterdam,,,,52.43106235,4.91307232
Voetbal,Diemen,www.svdiemen.nl,Sportpark De Diemen,Sportlaan 13,1111PX,Diemen,Buiten Amsterdam,,40532354,,52.33857171,4.97862218
Voetbal,Atletico,www.ac-amsterdam.com,Sportpark De Eendracht,Bok de Korverweg 12,1067HR,Amsterdam,Nieuw-West,,66130255,ja,52.3792899,4.78366223
Voetbal,SC Eendracht '82,geen website,Sportpark De Eendracht,Bok de Korverweg 12,1067HR,Amsterdam,Nieuw-West,,40533717,,52.3792899,4.78366223
Voetbal,Nieuw-West United,www.sportparkdeeendracht.nl/sporten/voetbal/real-united.html,Sportpark De Eendracht,Bok de Korverweg 14,1067HR,Amsterdam,Nieuw-West,,33301848,ja,52.38009919,4.78373934
Voetbal,Parkstad,geen website,Sportpark De Eendracht,Bok de Korverweg 16,1067HR,Amsterdam,Nieuw-West,,34123389,,52.38009634,4.78494371
Voetbal,Lazio Academie,,Sportpark De Eendracht,Bok de Korverweg 4,1067HR,Amsterdam,Nieuw-West,,77327802,ja,52.37972092,4.78712247
Voetbal,Germaan/De Eland,www.germaandeeland.nl,Sportpark De Eendracht,Bok de Korverweg 8,1067HR,Amsterdam,Nieuw-West,,40532710,,52.37814568,4.78488208
Voetbal,Urban Voetbal School,www.urbanvoetbalschool.nl/contact.html,Sportpark De Eendracht,Tom Schreursweg 10,1067MC,Amsterdam,Nieuw-West,,60186127,,52.38206168,4.78435888
Voetbal,Abcoude,www.fcabcoude.nl,Sportpark De Hollandse Kade,Ruwelspad 1,1391JA,Abcoude,Buiten Amsterdam,,40476754,,52.27983528,4.9706876
Voetbal,CTO '70,www.vvcto70.nl,Sportpark De Hoop,Biesbosch 39,1115HE,Duivendrecht,Buiten Amsterdam,,40530159,ja,52.32713972,4.94160143
Voetbal,Legmeervogels,www.legmeervogels.nl,Sportpark De Randhoorn,Randhoornweg 100,1422NE,Uithoorn,Buiten Amsterdam,,40538909,,52.25478082,4.80824864
Voetbal,Arsenal,www.asvarsenal.nl,Sportpark De Schinkel,IJsbaanpad 50,1076CV,Amsterdam,Zuid,,40530771,,52.34237381,4.85143544
Voetbal,Pancratius,www.pancratius.com,Sportpark De Schuilhoeve,Lindberghstraat 50,1171GC,Badhoevedorp,Buiten Amsterdam,,40594856,,52.33148511,4.78172062
Voetbal,Ajax,www.ajax.nl,Sportpark De Toekomst,Borchlandweg 16,1114BD,Amsterdam-Duivendrecht,Buiten Amsterdam,,33302453,,52.31371622,4.93091617
Voetbal,JOS/Watergraafsmeer,www.joswgm.nl,Sportpark Drie Burg,Drie Burgpad 3,1097HK,Amsterdam,Oost,,40531693,,52.34105234,4.93150923
Voetbal,De Meer,svdemeer.nl,Sportpark Drie Burg,Drie Burgpad 9,1097HK,Amsterdam,Oost,,40531005,,52.33963613,4.93485464
Voetbal,TABA,www.afctaba.nl,Sportpark Drie Burg,Fizeaustraat 10,1097SC,Amsterdam,Oost,,40531411,ja,52.34281351,4.92906986
Voetbal,FIT,www.avvfit.com,Sportpark Drie Burg,Kruislaan 4,1097EC,Amsterdam,Oost,,40531191,,52.34061274,4.92955489
Voetbal,Wartburgia,www.asvwartburgia.nl,Sportpark Drie Burg,Kruislaan 4,1097EC,Amsterdam,Oost,,40530239,,52.34061274,4.92955489
Voetbal,DRC,www.drc.nl,Sportpark Durgerdam,Durgerdammerdijk 76,1026CB,Amsterdam,Noord,,40531026,,52.37834006,4.98815289
Voetbal,RKAVIC,www.rkavic.nl,Sportpark Escapade,Escapade 5,1183NM,Amstelveen,Buiten Amsterdam,,,,52.30423916,4.88501412
Voetbal,AFC,www.afc.nl,Sportpark Goed Genoeg,Beethovenstraat 801,1082PR,Amsterdam,Zuid,,40532231,,52.33645518,4.87963062
Voetbal,A.F.C. IJburg,www.afcijburg.com,Sportpark IJburg,Dick Hilleniuspad 2,1087BZ,Amsterdam,Oost,,34317785,ja,52.35701515,4.98047634
Voetbal,Kadoelen SV,www.svkadoelen.nl,Sportpark Kadoelen,Vikingpad 44,1034VG,Amsterdam,Noord,,34114359,ja,52.41527239,4.91538602
voetbal,Skills2000,www.facebook.com/SKILLS2000/,Sportpark Laan van Spartaan,Laan van spartaan 1,1061 MA,Amsterdam,west,,68962088,ja,52.37381337,4.83883018
Voetbal,VVA/Spartaan,www.vva-spartaan.nl,Sportpark Laan van Spartaan,Laan van Spartaan 1,1061MA,Amsterdam,West,,40536509,ja,52.37381337,4.83883018
Voetbal,Zeeburgia,www.zeeburgia.nl,Sportpark Middenmeer,Kruislaan 244,1098SM,Amsterdam,Oost,,40531920,ja,52.35131057,4.9499215
Voetbal,TOS Actief,www.tos-actief.nl,Sportpark Middenmeer,Radioweg 63,1098NG,Amsterdam,Oost,,40531052,,52.35012502,4.94682687
Voetbal,WV HEDW,www.wvhedw.nl,Sportpark Middenmeer,Radioweg 65,1098NG,Amsterdam,Oost,,40531298,,52.34996592,4.94754762
Voetbal,Real Sranang,www.realsranang.com,Sportpark Middenmeer,Radioweg 67,1098NG,Amsterdam,Oost,,40533791,,52.34951846,4.94806573
Voetbal,TOG,www.avvtog.nl,Sportpark Middenmeer,Radioweg 69,1098NG,Amsterdam,Oost,,40532089,,52.34923162,4.94827404
Voetbal,Joga Fortius,www.asv-fortius.nl,Sportpark Middenmeer,Radioweg 77,1098NG,Amsterdam,Oost,,40531721,ja,52.34846485,4.94994006
Voetbal,Ankaraspor,www.fc-ankaraspor.nl,Sportpark Middenmeer,Radioweg 96,1098NJ,Amsterdam,Oost,,34190641,,52.34682501,4.94401249
Voetbal,Overamstel,www.sc-overamstel.nl,Sportpark Middenmeer,Radioweg 96,1098NJ,Amsterdam,Oost,,34340989,,52.34682501,4.94401249
Voetbal,Sloterdijk,www.avvsloterdijk.nl,Sportpark Multatuliweg,De Roos van Dekamaweg 1,1061HR,Amsterdam,West,,40530491,,52.38318381,4.84349222
Voetbal,Swift,www.avvswift.nl,Sportpark Olympiaplein,Olympiaplein 31,1077CL,Amsterdam,Zuid,,40530225,,52.34835067,4.86686479
Voetbal,AGB (Amsterdam Gencler Birligi),www.vv-agb.nl,Sportpark Ookmeer,Abe Lenstralaan 6,1067MV,Amsterdam,Nieuw-West,,40535133,,52.37207627,4.79865032
Voetbal,OSC,www.osc-amsterdam.nl,Sportpark Ookmeer,Dokter Meurerlaan 5,1067SM,Amsterdam,Nieuw-West,,40532340,,52.36709184,4.8048685
Voetbal,Vlug en Vaardig,www.cvv-vlugenvaardig.nl,Sportpark Ookmeer,Han Hollanderlaan 2,1067BB,Amsterdam,Nieuw-West,,40530104,,52.36954948,4.79840486
Voetbal,ZSGOWMS,sites.google.com/site/avvzsgowms,Sportpark Ookmeer,Han Hollanderlaan 3,1067BB,Amsterdam,Nieuw-West,,40539454,,52.37008387,4.79562255
Voetbal,DEVO '58,www.devo58.nl,Sportpark Ookmeer,Herman Bonpad 4,1067SN,Amsterdam,Nieuw-West,,40533477,,52.3678107,4.79577033
Voetbal,DCG,www.rksv-dcg.nl,Sportpark Ookmeer,Herman Bonpad 7,1067SN,Amsterdam,Nieuw-West,,40532244,ja,52.36626025,4.7984632
Voetbal,OSV,www.osv-amsterdam.nl,Sportpark Oostzanerwerf,Sportpark Oostzanerwerf 1,1035EW,Amsterdam,Noord,,40531421,ja,52.42209602,4.88103102
Voetbal,TOB,www.rksv-tob.nl / www.tobvoetbal.nl / www.tobtennis.nl,Sportpark Oostzanerwerf,Sportpark Oostzanerwerf 2,1035EW,Amsterdam,Noord,,40530737,,52.42143278,4.87936273
Voetbal,Ouderkerk,www.svouderkerk.com,Sportpark Ouderkerk,Wethouder Koolhaasweg 4,1191EB,Ouderkerk aan de Amstel,Buiten Amsterdam,,,,52.30163709,4.91970709
Voetbal,APGS,www.apgs-voetbal.nl,Sportpark Overamstel,Ouderkerkerdijk 150,1096CR,Amsterdam,Oost,,40530092,,52.3276652,4.9054468
Voetbal,Sporting Martinus,www.sportingmartinus.nl,Sportpark Overburg,Amsterdamseweg 247,1182GZ,Amsterdam,Buiten Amsterdam,,40531636,,52.31329703,4.84453289
Voetbal,FC Weesp,www.fcweesp.nl,Sportpark Papelaan,Papelaan 153,1382RL,Weesp,Buiten Amsterdam,,,ja,52.31637513,5.03026638
Voetbal,Weesp FC,www.fcweesp.nl,Sportpark Papelaan,Papelaan 153,1382RL,Weesp,Buiten Amsterdam,,32097047,,52.31637513,5.03026638
Voetbal,De Dijk,www.asvdedijk.nl,Sportpark Schellingwoude,Schellingwouderdijk 220,1023NL,Amsterdam,Noord,,34127751,ja,52.38474836,4.95984949
Voetbal,Portugal Amsterdam FC,www.fcportugalamsterdam.nl,Sportpark Sloten,Sloterweg 1043D,1066CC,Amsterdam,Nieuw-West,,40531341,,52.33806733,4.80428079
Voetbal,sv Nieuw Sloten ,www.nieuw-sloten.nl,Sportpark Sloten,Sloterweg 1043H,1066CC,Amsterdam,Nieuw-West,,34205819,ja,52.33560331,4.80400503
Voetbal,Blauw-Wit Beursbengels,www.fcblauwwitamsterdam.nl,Sportpark Sloten,Sloterweg 1045,1066CD,Amsterdam,Nieuw-West,,40531955,ja,52.33961512,4.80649086
Voetbal,DWS,www.dws.amsterdam,Sportpark Spieringhorn,Sportpark Spieringhorn 1,1043AA,Amsterdam,Nieuw-West,,40531185,ja,52.38651666,4.82203466
Voetbal,Footy,www.footy.eu,Sportpark Spieringhorn,Sportpark Spieringhorn 10,1043AA,Amsterdam,Nieuw-West,,62063928,,52.38610434,4.82924112
Voetbal,SDW,www.ascsdw.nl,Sportpark Spieringhorn,Sportpark Spieringhorn 11,1043AA,Amsterdam,Nieuw-West,,40532972,ja,52.38633773,4.82979275
Voetbal,Nautilus,www.afcnautilus.nl,Sportpark Sportlaan,Sportlaan 11,1185TB,Amstelveen,Buiten Amsterdam,,40531995,,52.29159597,4.847218
Voetbal,NFC,www.nfc.nl,Sportpark Sportlaan,Sportlaan 23,1185TB,Amstelveen,Buiten Amsterdam,,,,52.29014612,4.8493892
Voetbal,Amstelveen/Heemraad,www.amstelveenheemraad.nl,Sportpark Sportlaan-Oost,Sportlaan 33,1185TB,Amstelveen,Buiten Amsterdam,,,,52.28967829,4.85803334
Voetbal,Amsterdam FC,www.fc-amsterdam.nl,Sportpark Strandvliet,De passage 5,1114BH,Amsterdam-Duivendrecht,Buiten Amsterdam,,40531876,,52.31684888,4.93695556
Voetbal,SDZ,www.avv-sdz.nl,Sportpark Transformatorweg,Transformatorweg 10,1014AK,Amsterdam,West,,40531311,ja,52.3936135,4.86027412
Voetbal,De Meteoor,www.svdemeteoor.nl,Sportpark Tuindorp-Oostzaan,Kometensingel 3,1033BA,Amsterdam,Noord,,40531352,ja,52.41273961,4.89374857
Voetbal,Rood-Wit Zaanstad,www.roodwitzaanstad.nl,Sportpark Vijfhoek,Poelenburg 464,1504NW,Zaandam,Buiten Amsterdam,,,,52.42974533,4.8545657
Voetbal,GeuzenMiddenmeer,www.geumid.nl,Sportpark Voorland,Voorlandpad 15,1098TZ,Amsterdam,Oost,,40539567,ja,52.34784196,4.95408487
Voetbal,V.V.G.A.,www.vvga.nl,Sportpark Voorland,Wembleylaan 5,1098WG,Amsterdam,Oost,,40532889,,52.3446218,4.9485104
Voetbal,HBOK,www.hbok.nl,Sportpark Zunderdorp,Termietergouw 8,1027AD,Amsterdam,Noord,,40531752,,52.41041709,4.95986649
Voetbal,Zwanenburg,www.vvzwanenburg.nl,Sportpark Zwanenburg,Populierenlaan 44,1161SP,Zwanenburg,Buiten Amsterdam,,,,52.37308715,4.75249757
Voetbal,Voetjebal,www.amsterdam.panasj.nl,Sportzaal Eva Besnyöstraat 491,Eva Besnyöstraat 491,1087LG,Amsterdam,West,,60501057,ja,52.35008822,5.00795858
Voetbal,Voetjebal,www.amsterdam.panasj.nl,Sportzaal J.F. van Hengelstraat,J.F. van Hengelstraat 100,1019DC,Amsterdam,Oost,,60501057,ja,52.37440571,4.9457341
Voetbal,SPC Sport,www.developmentperformancecenter.nl,Sportzaal Klateringpad 1-3,Klateringpad 1-3,1104KW,Amsterdam,Zuidoost,,68422105,ja,52.31497894,4.97310349
Voetbal,Volendam FC,www.fcvolendam.nl,Stadion Volendam,Sportlaan 10,1131BK,Volendam,Buiten Amsterdam,,41234129,,52.49423034,5.06687081
Voetbal,Voetjebal,www.amsterdam.panasj.nl,Vinse School,Haarlemmerstraat 132-136,1013EX,Amsterdam,West,,60501057,ja,52.38110209,4.89038566
Volleybal,US Jeugd Volleybal,www.usvolleybal.nl,Amstelcampus sporthal,Tweede Boerhaavestraat 10,1091AN,Amsterdam,Oost,,40531993,,52.35863353,4.91002045
Volleybal,US Volleybal,www.usvolleybal.nl,Amstelcampus sporthal,Tweede Boerhaavestraat 10,1091AN,Amsterdam,Oost,,40531993,,52.35863353,4.91002045
Volleybal,Agoeti,www.agoeti.nl,Gymzaal Scholengemeenschap Ir. Lely Lyceum (Reigersbos),Ravenswaaipad 3,1106AW,Amsterdam,Zuidoost,,40539634,,52.29714626,4.97800459
Volleybal,S.V. Grasrijk,www.svgrasrijk.nl,Gymzalen Willem Witsenstraat 6-8,Willem Witsenstraat 6-8,1077AZ,Amsterdam,Zuid,,40535658,,52.35123583,4.87034696
Volleybal,De Spuyt,www.despuyt.nl/volleybal,Het Marnix,Marnixplein 1,1015ZN,Amsterdam,Centrum,,40536195,,52.3779916,4.87847974
Volleybal,V.C.Waterland,www.vcwaterland.nl,I.C. Landsmeer,Zuideinde 6,1121CL,Landsmeer,Buiten Amsterdam,,40530257,,52.42895563,4.91320538
Volleybal,SV Abcoude,svabcoudevolleybal.nl,Kees Bon zaal,Holendrecht 55,1391VT,Abcoude,Buiten Amsterdam,,,,52.27208384,4.97184786
Volleybal,sv West!,www.svwest.nl,Sportcentrum Caland,Eliza van Calcarstraat 2,1068RR,Amsterdam,Nieuw-West,,40532344,ja,52.35443917,4.80713356
Volleybal,Armixtos,www.armixtos.nl,Sportcentrum De Pijp,Lizzy Ansinghstraat 88,1072RD,Amsterdam,Zuid,,40534918,,52.34975372,4.89371511
Volleybal,K.V.A.,www.kvavolleybal.nl,Sportcentrum De Pijp,Lizzy Ansinghstraat 88,1072RD,Amsterdam,Zuid,,40531797,,52.34975372,4.89371511
Volleybal,Xenon,www.vvxenon.nl,Sportcentrum Hogendorp,Van Hogendorpstraat 921,1051CE,Amsterdam,West,,40530454,,52.38164722,4.86758379
Volleybal,S.V.U.,www.svuvolleybal.nl,Sportcentrum V.U.,Uilenstede 100,1183AM,Amstelveen,Buiten Amsterdam,,,,52.3204219,4.87171296
Volleybal,Volleybalvereniging Amsterdam,www.vvamsterdam.nl,Sporthal Blauw Wit,Joos Banckersweg 18 A,1056EP,Amsterdam,West,,40536650,ja,52.3757839,4.85669711
Volleybal,Vono,www.vono.nl,Sporthal De Weeren,Beemsterstraat 1,1023TH,Amsterdam,Noord,,40532232,ja,52.39029624,4.94582561
Volleybal,Smashing '72,www.smashing72.nl,Sporthal Diemen,Prins Bernhardlaan 2,1111ET,Diemen,Buiten Amsterdam,,,,52.3384643,4.96858557
Volleybal,VV Arena,www.volleybalverenigingarena.nl,Sporthal Gaasperdam,Ravenswaaipad 5,1106AW,Amsterdam,Zuidoost,,40537837,,52.29676965,4.97825726
Volleybal,Albatros,www.albatros-amsterdam.nl,Sporthal Wethouder Verheij,Polderweg 300,1093KP,Amsterdam,Oost,,40532984,ja,52.35788575,4.93135106
Volleybal,Netzo,www.netzo-amsterdam.nl,Sporthal Zeeburg,Insulindeweg 1001,1095DH,Amsterdam,Oost,,40536242,,52.36594199,4.95130945
Volleybal,Volleybal Amsterdam Oost (Volamos),www.volamos.amsterdam,Sporthal Zeeburgereiland,Foekje Dillemastraat 118,1095MK,Amsterdam,Oost,,67216765,,52.37236218,4.96866457
Volleybal,C.T.O.'70,www.svcto70.nl,Sportpark De Hoop,Biesbosch 39,1115HE,Duivendrecht,Buiten Amsterdam,,66369517,ja,52.32713972,4.94160143
Volleybal,UvO Amsterdam,www.uvo-amsterdam.nl,USC Universum,Science Park 306,1098XH,Amsterdam,Oost,,33299215,,52.35564969,4.95629984
Wandelsport,Pontania,www.pontania.nl,Gebouw Pontania,Roomtuintjes 233,1093TD,Amsterdam,Oost,,,,52.36541781,4.92911542
Wandelsport,Ons Genoegen,www.asv-onsgenoegen.com,Verenigingsgebouw,Elandsstraat 101,1016RX,Amsterdam,Centrum,,,,52.37045087,4.88082514
Wandelsport,Sportwandelschool,www.sportwandelschool.nl,Vondelpark,Oranje Nassaulaan t/o 84,1075AS,Amsterdam,Zuid,,36053796,,52.35464277,4.85725495
Waterpolo,Abcouder Zwem- en Polovereniging de Meerkoeten,www.demeerkoeten.nl,Bijlmer Sportcentrum,Anton de Komplein 157,1102DR,Amsterdam,Zuidoost,,40477294,,52.31527429,4.95762875
Waterpolo,Abcouder Zwem- en Polovereniging de Meerkoeten,www.demeerkoeten.nl,De Mirandabad,De Mirandalaan 9,1079PA,Amsterdam,Zuid,,40477294,,52.33873416,4.90227468
Waterpolo,Het Y,www.het-y.nl,Noorderparkbad,Sneeuwbalweg 5,1032VS,Amsterdam,Noord,,40531843,ja,52.39826964,4.91872836
Waterpolo,De Dolfijn ,www.dedolfijn.com,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,40532114,ja,52.37001857,4.81712029
Waterpolo,JAWS Amsterdam,www.jawswaterpolo.nl,Sportfondsenbad Amsterdam-Oost,Land van Cocagneplein 44,1093NB,Amsterdam,Oost,,55520987,,52.35664337,4.92848672
Waterpolo,Het Y,www.het-y.nl,Sportfondsenbad Oost,Land van Cocagneplein 44,1093NB,Amsterdam,Oost,,40531843,ja,52.35664337,4.92848672
Waterpolo,De Waterwolf,www.zvdewaterwolf.nl,Sportplaza De Sporthoeve,Snelliuslaan 1,1171CZ,Badhoevedorp,Buiten Amsterdam,,,,52.34306669,4.7747698
Wielrennen,Amsterdamse Fietsgroepen,www.fietsgroepen.nl,naast Sportcentrum De Pijp,Lizzy Ansinghstraat 88,1072RD,Amsterdam,Zuid,,,,52.34975372,4.89371511
Wielrennen,WTC de Amstel,wtcdeamstel.net,Peter Postbaan,Startbaan 3,1185XP,Amstelveen,Buiten Amsterdam,,,,52.28736891,4.85464877
Wielrennen,Skits,www.skits.nl,Sportcentrum V.U.,Uilenstede 100,1183AM,Amstelveen,Buiten Amsterdam,,,,52.3204219,4.87171296
Wielrennen,ARC Ulysses,www.arc-ulysses.nl,Sportpark De Weeren,Beemsterstraat 654,1027ED,Amsterdam,Noord,,40532046,ja,52.40104468,4.96021921
Wielrennen,RTC Express,www.facebook.com/M.AHeilbron,Sportpark De Weeren,Volendammerweg 310,1027EA,Amsterdam,Noord,,40539378,,52.39415982,4.96525339
Wielrennen,Olympia ASC,www.ascolympia.nl,Sportpark Sloten,Sloterweg 1045,1066CD,Amsterdam,Nieuw-West,,40533011,ja,52.33961512,4.80649086
Wielrennen,Rijwiel Toer Club Olympia,www.olympiaamsterdam.punt.nl,Sportpark Sloten,Sloterweg 1045,1066CD,Amsterdam,Nieuw-West,,,,52.33961512,4.80649086
Wielrennen,Amsterdam Roller Derby,www.amsterdamrollerderby.nl,Velodrome,Sloterweg 1045,1066CD,Amsterdam,Nieuw-West,,51861909,,52.33961512,4.80649086
Wielrennen,Halfwegse Sportclub De Bataaf,www.bataaf.com,wielercircuit,Kinheim 7,1161AN,Zwanenburg,Buiten Amsterdam,,,,52.38184973,4.73477967
Yoga,Bikram Yoga,www.bikramyoga.nl,Bikram Yoga Ceintuurbaan,Ceintuurbaan 426,1074EB,Amsterdam,Zuid,,,,52.35501151,4.90240508
Yoga,Bikram Yoga,www.bikramyoga.nl,Bikram Yoga Korte Prinsengracht,Korte Prinsengracht 91,1013GR,Amsterdam,Centrum,,,,52.38088619,4.88918286
Yoga,City Yoga,www.cityyoga.nl,City Yoga Amsterdam,Johannes Verhulststraat 18,1071ND,Amsterdam,Zuid,,34350801,,52.35576568,4.87656208
Yoga,Yoga Lounge,www.yogameditationlounge.nl,Dansstudio Solebay,Livornostraat 22,1055ZZ,Amsterdam,West,,,,52.38426357,4.8536433
Yoga,Kinderyogatuin,www.dekinderyogatuin.nl,De Roos,Pieter Cornelisz Hooftstraat 183,1071BW,Amsterdam,Zuid,,55794750,,52.35877217,4.87554393
Yoga,Hindu Swayamse vac Sangh,www.hssnl.org,Holendrechtschool,Holendrechtplein 39-40,1106LP,Amsterdam,Zuidoost,,,,52.29880845,4.96505921
Yoga,Critical Alignment Yoga ,www.huisvandewijkrivierenbuurt.nl,Huis van de Wijk Rivierenbuurt,Pres. Kennedylaan 142,1079NK,Amsterdam,Zuid,,,,52.34068604,4.90692998
Yoga,Spark United,www.sparkunited.nl/gebruikers/spark-united-buurtsportvereniging,Sportpark De Eendracht,Bok de Korverweg 20,1067HR,Amsterdam,Nieuw-West,,55541542,,52.37924265,4.78522141
Yoga,Yoga Lite,www.yogalite.nl,Yoga Lite,Peelstraat 71,1079RN,Amsterdam,Zuid,,34281978,,52.33891718,4.90087872
Yoga,Yoga Padma,www.yogapadma.nl,Yoga Padma,Bovenover 62,1025JW,Amsterdam,Noord,,36038644,,52.39660554,4.93392077
Yoga,Yoga-Yoga,www.yogayoga.nl,Yoga studio,Amaliastraat 5,1052GM,Amsterdam,West,,,,52.37935777,4.87432243
Yoga,Tula Yoga Studio,www.tula-amsterdam.nl,Yoga studio,Houtrijkstraat 38,1013VD,Amsterdam,West,,,,52.38907509,4.87886671
Zaalvoetbal,Stichting Cluppi,www.cluppi.nl ,Cluppi Indoor Soccer,Johan Huizingalaan 91,1065HW,Amstedam,West,,,,52.36303477,4.827525564
Zaalvoetbal,Movendi,www.movendi.nl,Cornelis Vrijschool,Van de Veldestraat 3,1071CW,Amsterdam,Zuid,,34184249,,52.35959043,4.87980641
Zaalvoetbal,Universitair Sportcentrum,www.usc.uva.nl,Sportcentrum Universum (USC),Science Park 306,1098XH,Amsterdam,Oost,,34239339,,52.35564969,4.95629984
Zaalvoetbal,sc Badhoevedorp,www.scbdorp.nl,Sportcomplex de Sporthoeve,Sportlaan 2,1171EH,Badhoevedorp,Buiten Amsterdam,,40594223,,52.33321808,4.78419081
Zaalvoetbal,Sportende Chinezen in Amsterdam,www.vsca.net,Sporthal Calvijn,Pieter Calandlaan 3,1065KH,Amsterdam,Zuidoost,,,,52.35609532,4.83152234
Zaalvoetbal,Vedette zvv / De Remise,www.facebook.com/vedette.remise,Sporthal Landsmeer,Marktplein 11,1121GL,Landsmeer,Buiten Amsterdam,,,,52.42856997,4.91197127
Zaalvoetbal,Comoro Stichting,www.comoro.nl,Sporthal Wethouder Verheij,Polderweg 300,1093KP,Amsterdam,Oost,,34222222,,52.35788575,4.93135106
Zaalvoetbal,Amstelglorie,www.amstelglorie.nl,Sporthallen Zuid,Burgerweeshuispad 54,1076EP,Amsterdam,Zuid,,,,52.33997926,4.85410708
Zaalvoetbal,ASV Lebo,www.aorc-lebovastgoed.nl,Sporthallen Zuid,Burgerweeshuispad 54,1076EP,Amsterdam,Zuid,,40530947,ja,52.33997926,4.85410708
Zaalvoetbal,D.E.S. Adamsnood,www.desadamsnood.nl,Sporthallen Zuid,Burgerweeshuispad 54,1076EP,Amsterdam,Zuid,,,,52.33997926,4.85410708
Zaalvoetbal,Golden Stars FC ,www.fcgoldenstars.nl,Sporthallen Zuid,Burgerweeshuispad 54,1076EP,Amsterdam,Zuid,,34248002,,52.33997926,4.85410708
Zaalvoetbal,Plein '83,www.plein83.nl,Sporthallen Zuid,Burgerweeshuispad 54,1076EP,Amsterdam,Zuid,,,,52.33997926,4.85410708
Zaalvoetbal,Zaalvoetbalclub ABN-Amro,www.pvabnamro.nl/zaalvoetbalclub,Sporthallen Zuid,Burgerweeshuispad 54,1076EP,Amsterdam,Zuid,,,,52.33997926,4.85410708
Zaalvoetbal,Os Lusitanos,www.oslusitanos-zaalvoetbal.nl,Sportpark De Eendracht,Tom Schreursweg 10,1067MC,Amsterdam,Nieuw-West,,,,52.38206168,4.78435888
Zaalvoetbal,RKSV T.O.B.,www.rksv-tob.nl / www.tobvoetbal.nl / www.tobtennis.nl,Sportpark Oostzanerwerf,Sportpark Oostzanerwerf 2,1035EW,Amsterdam,Noord,,40530737,,52.42143278,4.87936273
Zaalvoetbal,vv de Beursbengels,www.beursbengels.nl,Sportpark Sloten,Sloterweg 1045,1066CD,Amsterdam,Nieuw-West,,40531955,,52.33961512,4.80649086
Zaalvoetbal,A.Z.V.,www.zv-azv.nl,Theo Thijssenschool,Palmstraat 13,1015HP,Amsterdam,Centrum,,,,52.38166558,4.88432725
Zeilen,WV Amsterdam,www.wvamsterdam.com,Amsterdamse watersportvereniging,Punterspad 15,1081KB,Amsterdam,Zuid,,40532898,,52.33664874,4.84819981
Zeilen,Gaasperplas,www.zeilvereniging-gaasperplas.nl,Clubhuis,Langbroekpad 2,1108EA,Amsterdam,Zuidoost,,40533116,,52.30497207,4.97986793
Zeilen,Z.V. Het Y,www.zvhety.nl,Clubschip en haven,Durgerdammerdijk 116B,1026CG,Amsterdam,Noord,,40532170,,52.3777496,4.99224363
Zeilen,WSV De Doordrijvers,www.doordrijvers.nl,De Doordrijvers,Uitdammerdijk 14,1026CP,Amsterdam,Noord,,40532068,,52.38595898,5.01782904
Zeilen,Z.V. de Roerkoning,www.roerkoning.nl,De Roerkoning,Kalkovens 10,1398EK,Muiden,Buiten Amsterdam,,,,52.32794569,5.07094773
Zeilen,Watersportcentrum Sloterplas,www.watersportcentrumsloterplas.nl,Jachthaven/clubhuis,Christoffel Plantijngracht 4,1065DA,Amsterdam,Nieuw-West,,34366966,,52.36028789,4.81589472
Zeilen,W.V. De Koenen,www.wvdekoenen.nl,Jachthaven/clubhuis W.V. De Koenen,Jollenpad 13,1081KC,Amsterdam,Zuid,,40531960,,52.33476515,4.85102501
Zeilen,Sportmomentje,www.sportmomentje.nl,Jeugdland Amsterdam,Valentijnkade 131,1095KH,Amsterdam,Oost,,63649055,,52.35901971,4.95573736
Zeilen,Zeilschool Nautiek,www.nautiek.com,Nautiek,Veemkade 267,1019CZ,Amsterdam,Centrum,,53280539,,52.37427222,4.93897434
