Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK,Stadspas,x,y
Roeien,A.A.S.R. Skøll,www.skoll.nl,Skøll,Jan Vroegopsingel 6,1096CN,Amsterdam,Oost,,40531954,,52.33643242,4.90868233
Rugby,A.S.R.V. Ascrum,www.ascrum.nl,Sportpark De Eendracht,Bok de Korverweg 4,1067HR,Amsterdam,Nieuw-West,,40531278,,52.37972092,4.78712247
Rugby,AAC Rugby,www.aacrugby.com,Sportpark De Eendracht,Bok de Korverweg 6A,1067HR,Amsterdam,Nieuw-West,,40538624,ja,52.37810716,4.78614563
Rugby,Praetor Rugbyclub Amsterdam,www.praetor-rugby.nl,Sportpark Sloten,Sloterweg 1045,1066CD,Amsterdam,Nieuw-West,,74526685,,52.33961512,4.80649086
Rugby,Rugbyclub Amsterdam,www.rugbyclub.amsterdam,Sportpark Tuindorp-Oostzaan,Perenpad 3,1033TB,Amsterdam,Noord,,72141743,,52.41379668,4.89507432
Schaatsen,IJsclub Hard Gaat Ie,www.hardgaatie.nl,Clubgebouw IJsclub Hard Gaat Ie,Zuideinde 33,1121CJ,Landsmeer,Oost,,40531701,,52.42512208,4.91190366
Schaatsen,Zunderdorp,www.ijsclubzunderdorp.nl,IJsbaan aan 't Zwet,Termietergouw 7,1027AD,Amsterdam,Noord,,,,52.40961918,4.96041796
Schaatsen,A.S.S.V. Hogerop,www.hogerop.org,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,40538504,,52.34897301,4.94536705
Schaatsen,Amsterdam Hardrijders Club Amsterdam (H.C.A.),www.sv-hca.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,,,52.34897301,4.94536705
Schaatsen,Amsterdamse Schaats Club Jaap Eden,www.ascjaapeden.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,40533761,,52.34897301,4.94536705
Schaatsen,Amsterdamse Ski Vereniging,www.ski-amsterdam.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,40539152,,52.34897301,4.94536705
Schaatsen,AMVJ,www.amvj-schaatsen.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,,,52.34897301,4.94536705
Schaatsen,Baambrugge Y.C,www.baambruggeschaatst.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,,,52.34897301,4.94536705
Schaatsen,Diemer IJsclub,www.diemerijsclub.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,40533656,,52.34897301,4.94536705
Schaatsen,Duo Sport,www.duosport.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,,,52.34897301,4.94536705
Schaatsen,IJsclub Gein en omstreken,www.geinenomstreken.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,40532715,,52.34897301,4.94536705
Schaatsen,SKITS,www.skits.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,52955214,,52.34897301,4.94536705
Schaatsen,STG Afterskate,www.stgafterskate.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,,,52.34897301,4.94536705
Schaatsen,ZTIKZ,www.ztikz.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,,,52.34897301,4.94536705
Schaatsen,Holysloot,geen website,Natuurijsbaan,Dorpsstraat Holysloot 5,1028BB,Amsterdam,Buiten Amsterdam,,,,52.4135273,5.02474241
Schaatsen,Diemer IJsclub,www.diemerijsclub.nl,Natuurijsbbaan Diemen,Keulse Vaart 136,1111RN,Diemen,Diemen,,40533656,,52.33473156,4.97666696
Schaatsen,De Poelster,www.poelster.nl,Poelzicht,Doorweg 2,1182JL,Amstelveen,Buiten Amsterdam,,,,52.30333645,4.84358849
Schaatsen,Kunstrijvereniging Figure Skating Amsterdam (FSA),www.figureskatingamsterdam.com,Schaatsbaan Jaap Eden,Radioweg 64,1098NJ,Amsterdam,Oost,,34216644,,52.34897301,4.94536705
Schaatsen,Skits,www.skits.nl,USC Science Park,Science Park 306,1098XH,Amsterdam,Oost,,34196530,,52.35564969,4.95629984
Schaken,Schaakvereniging Amsterdam West,www.svamsterdamwest.nl,ASV Bilderdijkpark,Bilderdijkpark 10,1052SB,Amsterdam,West,,,,52.37164057,4.86887575
Schaken,Schaakclub ZZ,www.schaakclubzz.nl,Buurthuis De Havelaar,Douwes Dekkerstraat 2,1053SX,Amsterdam,West,,,,52.36917169,4.86540997
Schaken,Chaturanga,www.chaturanga.nl,BuurtHuis Gein,Wisseloord 83,1107NB,Amsterdam,Zuidoost,,58768947,,52.29594587,4.98704558
Schaken,SOPSWEPS'29,www.sopsweps29.nl,Café Batavia,Prins Hendrikkade 85,1012AE,Amsterdam,Centrum,,,,52.37670484,4.90166866
Schaken,Fischer Z.,www.fischerz.nl,Café Batavia 1920,Prins Hendrikkade 85,1012AE,Amsterdam,Centrum,,,,52.37670484,4.90166866
Schaken,Café De Laurierboom,www.laurierboom.cafe,Café de Laurierboom,Laurierstraat 76,1016PN,Amsterdam,Centrum,,,,52.37227728,4.88101225
Schaken,Bijlmer Schaakvereniging Isolani,isolanischaken.wordpress.com,Collectieve ruimte Wooncomplex Groenhoven,Groenhoven 650,1103LT,Amsterdam,Zuidoost,,,,52.32624322,4.97643104
Schaken,VAS,www.euronet.nl/users/cor/vas.html,Cygnus Gymnasium,Vrolikstraat 8,1091VG,Amsterdam,Centrum,,,,52.3549356,4.91250476
