OBJECTID,GZNIDENT,GZNOMSCH,GZNSOORT,GLOBALID,LEG_ZIENSWIJZE,LEG_GEREED_VOOR_CL,KWKSTATU,WSZDEELGEBIED,Shape__Area,Shape__Length
217,BC10425,zone WGS,18,c628022d-6d0b-4635-9729-c06513aa0c66,,,300,,459.157722473145,137.598989178463
218,BC10428,zone WGS,18,70fa7817-bf0c-440a-a6b3-0c1e0d4bab6b,,,300,,6301.55870819092,1012.16001843792
219,BC10439,zone WGS,18,c22012a1-536f-402c-928d-41f50549a691,,,300,,34.5801086425781,46.3543770351694
220,BC10772,zone WGS,18,86d249f8-82b3-4d60-b57c-bb11bb458a2d,,,300,,1708.48738861084,1528.97017458023
221,BC10774,zone WGS,18,93ab1aac-2842-4f2b-9f48-d1885b192735,,,300,,2502.63059997559,1575.38709691177
222,BC10796,zone WGS,18,9325054f-07ea-41ec-9dda-fa49b7eb26af,,,300,,50846.5467681885,7681.10384953068
223,BC10814,zone WGS,18,b16be4ca-ae68-4800-9bdd-3345b45b577c,,,300,,80629.3721923828,4751.08091534641
224,BC10818,zone WGS,18,98ff4683-560e-4306-bd02-bf4c1ab1a054,,,300,,24052.343208313,1761.54116321292
225,BC10820,zone WGS,18,f8e1fe09-27bb-4a1d-a6bc-ad39a1680402,,,300,,17277.1624221802,2635.25684384878
226,BC10834,zone WGS,18,84768979-4b38-4d89-900f-88b982b74ae6,,,300,,165.751625061035,70.514872861693
227,BC10838,zone WGS,18,f9f22307-bbd6-4800-885a-ee74675de02c,,,300,,6635.7646484375,1491.66524213368
228,BC10842,zone WGS,18,7f0bf040-47d0-4881-8115-88ef1c9c7874,,,300,,452.846458435059,254.275487017575
229,BC10847,zone WGS,18,a5ced809-9162-471d-842f-f267e711f985,,,300,,3474.64826202393,1019.20428428483
230,BC10850,zone WGS,18,f90affcf-6a7b-4b8d-8a1a-8ce653d4baf9,,,300,,656.667037963867,128.138978055828
231,BC10857,zone WGS,18,441e6f95-410f-4804-830d-96d4988827d4,,,300,,371.823143005371,270.55864709543
232,BC10866,zone WGS,18,2525f510-6b6a-43d3-81e8-1a7214de6f20,,,300,,9459.50854492188,3091.03420983145
233,BC10868,zone WGS,18,d8fe87f0-40a1-4b79-a1c5-e1e6ec5551ed,,,300,,7527.8260345459,1118.47286207166
234,BC10878,zone WGS,18,5cede52e-3d3d-42ad-82b4-d85f207af294,,,300,,50.7325057983398,42.2936142129684
235,BC10905,zone WGS,18,33a66481-4fb2-4305-be1e-44da627a6b95,,,300,,24928.4118041992,4911.66200138297
236,BC10909,zone WGS,18,6ca55afd-fc6c-4122-a8d5-80702f829b04,,,300,,1.86540222167969,33.2684740766097
237,BC10917,zone WGS,18,ef3d44b4-d6a1-4804-a75a-728abd3be3a7,,,300,,15431.372215271,2958.9921660644
238,BC10920,zone WGS,18,9e4914ee-5080-4d03-9862-83b29b134cad,,,300,,56.0210952758789,84.8327423293148
239,BC25492,Buiten Beschermingszone_85 WRW,12,2bffabc2-c6ae-4cca-a12a-161c0da048a1,,,300,,503962.753738403,4109.17035000869
240,BC25494,Buiten Beschermingszone_85 WRW,12,a57213fb-84ba-466e-8740-0c7a03c8d4df,,,300,,9926324.39102936,85122.5467622298
241,BC25812,Binnentalud WRW,10,15417269-0a15-4536-9012-9442d76fc9d1,,,300,,33806.29271698,10013.0308195717
242,BC25819,Buitentalud WRW,10,f49db065-8161-4086-b48e-19aaa8d34f08,,,300,,57333.0356674194,10016.6124826864
243,BC25837,Buitentalud WRW,10,9a94417f-e023-4f85-b566-27e786c0be72,,,300,,287167.307182312,32837.1562375405
244,BC25838,Binnentalud WRW,10,cc324c81-2e16-4beb-9ab5-89329244db3b,,,300,,592.575553894043,181.85638327761
245,BC25840,Binnentalud WRW,10,edec8bae-6608-47b2-b410-774d4257b149,,,300,,42.4988021850586,72.0229623308203
246,BC25847,Buitentalud WRW,10,81489502-a1b1-4236-9d9b-7cb1b03c658e,,,300,,4775.6456451416,4449.20324293602
247,BC25850,Binnentalud WRW,10,dc12d39f-45a8-4b2d-adc1-cacb1b9bd945,,,300,,30.81640625,34.625694388605
248,BC25854,Kruin WRW,10,b9348764-5f81-40e2-8641-48f3835650f8,,,300,,66960.6150436401,13122.385670366
249,BC25865,Buitentalud WRW,10,69b6cc26-cf26-4ee2-969f-74efcabfec31,,,300,,57867.7521743774,5762.08837047443
250,BC25866,Binnentalud WRW,10,7b6503cd-e29e-4e83-9b5e-892fd1e84602,,,300,,1141.80332946777,893.215937383301
251,178362,zone WGS,19,3faeb268-6a8d-4418-a6eb-2137267a3bd2,,,300,,80951.675994873,1933.48650961938
252,178364,zone WGS,19,1b40c028-0d21-4828-9a14-f31de617ad47,,,300,,1323004.05981445,31424.5590720121
253, ,Zonering Reeve Diep_Prorail,20,d009da39-fbd0-4329-bf54-37f4c26778d1,,,300,,10930.0493621826,439.956504913336
254,215466,Beschermingszone_15 WRW,11,0ca5907f-0640-4632-8e70-39f518f4e108,,,300,,98059.9755859375,13057.1422148629
255,215469,Buiten Beschermingszone_85 WRW,12,8fc1d43e-64e2-41d3-9bb3-3805a5772672,,,300,,729439.657089233,7320.27859742689
256,217396,zone WGS,19,7fe84bfa-20f1-42a4-b65c-b57aeacc5f37,,,300,,10.6777191162109,15.9674319631714
257,217397,zone WGS,19,c90c1af8-cec7-42a4-912c-1991f181d846,,,300,,201718.539657593,4503.21069431493
