Gebrek identificatie,Ingangsdatum gebrek,Einddatum gebrek,Gebrek paragraaf nummer,Gebrek artikel nummer,Gebrek omschrijving,Ingangsdatum gebrek DT,Einddatum gebrek DT
285,20170401,,,5.*.31,Bewegingsmogelijkheden remonderdeel beperkt,04/01/2017 12:00:00 AM,
286,20170401,,,5.*.31,Bewegingsmogelijkheden parkeerrem beperkt,04/01/2017 12:00:00 AM,
287,20170401,,,5.*.31,Draaipunt van bedrijfsrem of handrem zit te strak,04/01/2017 12:00:00 AM,
288,20170401,,,5.*.31,Rempedaalslag beperkt,04/01/2017 12:00:00 AM,
289,20170401,,,5.*.31,"Schijf-, trommelrem loopt niet vrij",04/01/2017 12:00:00 AM,
290,20170401,,,5.*.31,"Schijf-, trommelrem loopt onvoldoende vrij",04/01/2017 12:00:00 AM,
291,20170401,,,5.*.31,Compressor niet goed bevestigd,04/01/2017 12:00:00 AM,
292,20170401,,,5.*.31,Compressor werkt niet goed,04/01/2017 12:00:00 AM,
293,20170401,,,5.*.31,Drukregelaar treedt niet tijdig in werking,04/01/2017 12:00:00 AM,
294,20170401,,,5.*.31,Ernstige luchtlekkage reminrichting,04/01/2017 12:00:00 AM,
295,20170401,,,5.*.31,Luchtlekkage reminrichting,04/01/2017 12:00:00 AM,
296,20170401,,,5.*.31,Ernstige remvloeistoflekkage reminrichting,04/01/2017 12:00:00 AM,
297,20170401,,,5.*.31,Remvloeistoflekkage reminrichting,04/01/2017 12:00:00 AM,
298,20170401,,,5.*.31,Luchtlekkage  systeemfunctionaliteit aangetast,04/01/2017 12:00:00 AM,
299,20170401,,,5.*.31,Rembekrachtiger werkt niet goed,04/01/2017 12:00:00 AM,
300,20170401,,,5.*.31,Rembekrachtiger werkt niet,04/01/2017 12:00:00 AM,
301,20170401,,,5.*.31,Remkrachtregelaar werkt niet goed,04/01/2017 12:00:00 AM,
302,20170401,,,5.*.31,Remkrachtregelaar werkt niet,04/01/2017 12:00:00 AM,
303,20170401,,,5.*.31,Remleiding ernstig beschadigd,04/01/2017 12:00:00 AM,
304,20170401,,,5.*.31,Remleiding ernstig gecorrodeerd,04/01/2017 12:00:00 AM,
305,20170401,,,5.*.31,"Remleiding, dreigend gevaar voor defecten en breuken",04/01/2017 12:00:00 AM,
306,20170401,,,5.*.31,(Kunststof) remleiding geknikt,04/01/2017 12:00:00 AM,
307,20170401,,,5.*.31,"Remslang beschadigd, wapeningsmateriaal zichtbaar",04/01/2017 12:00:00 AM,
308,20170401,,,5.*.31,"Remslang ernstig beschadigd, wapeningsmateriaal beschadigd",04/01/2017 12:00:00 AM,
309,20170401,,,5.*.31,Remslang ernstig misvormd,04/01/2017 12:00:00 AM,
30A,20220101,,,TA.1I,Onjuist serienummer VU ingevoerd,01/01/2022 12:00:00 AM,
31,20220101,,,TA.1J,Geheel afwijkend serienummer unieke zegel(s) ingevoerd.,01/01/2022 12:00:00 AM,
310,20170401,,,5.*.31,Remslang schuurt langs enig deel,04/01/2017 12:00:00 AM,
311,20170401,,,5.*.31,Drager/bevestigingsmiddel van remvoering raakt trommel/schij,04/01/2017 12:00:00 AM,
312,20170401,,,5.*.31,Remschijf ernstig gecorrodeerd,04/01/2017 12:00:00 AM,
313,20170401,,,5.*.31,Remschijf vertoont slijtage met kans op breuk,04/01/2017 12:00:00 AM,
314,20170401,,,5.*.31,Rem- of parkeerremkabel / buitenkabel ondeugdelijk,04/01/2017 12:00:00 AM,
315,20170401,,,5.*.31,Rem- of parkeerremkabel gebroken,04/01/2017 12:00:00 AM,
316,20170401,,,5.*.31,Remcilinder defect/ondeugdelijk/kans op scheuren,04/01/2017 12:00:00 AM,
317,20170401,,,5.*.31,Remcilinder vertoont te veel corrosie,04/01/2017 12:00:00 AM,
318,20170401,,,5.*.31,Remcilinder zit los of is niet goed gemonteerd,04/01/2017 12:00:00 AM,
319,20170401,,,5.*.31,Stofhoezen remcilinders niet aanwezig,04/01/2017 12:00:00 AM,
320,20170401,,,5.*.31,Stofhoezen remcilinders ernstig beschadigd,04/01/2017 12:00:00 AM,
321,20170401,,,5.*.31,Waarschuwingsinrichting antiblokkeersysteem geeft defect aan,04/01/2017 12:00:00 AM,
322,20170401,,,5.*.31,Onderdeel van antiblokkeersysteem beschadigd/gescheurd/gebro,04/01/2017 12:00:00 AM,
323,20170401,,,5.*.31,Onderdelen antiblokkeersysteem door corrosie aangetast,04/01/2017 12:00:00 AM,
324,20170401,,,5.*.31,Onderdelen antiblokkeersysteem ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
325,20180520,,,5.*.31,Wielsnelheidssensoren ontbreken/beschadigd/ondeugdelijk,05/20/2018 12:00:00 AM,
326,20180520,,,5.*.32,Passende dop van remvloeistofreservoir ontbreekt,05/20/2018 12:00:00 AM,
327,20170401,,,5.*.32,Geen remvloeistof in reservoir,04/01/2017 12:00:00 AM,
328,20170401,,,5.*.32,Onvoldoende remvloeistof in reservoir,04/01/2017 12:00:00 AM,
329,20170401,,,5.*.31,Remvloeistofreservoir zit los of onjuist gemonteerd,04/01/2017 12:00:00 AM,
32A,20220101,,,TA.1K,Onjuist serienummer unieke zegels ingevoerd,01/01/2022 12:00:00 AM,
330,20170401,,,5.*.35,"Drukreservoirs ondeugdelijk, beschadigd, verroest of lek",04/01/2017 12:00:00 AM,
331,20170401,,,5.*.35,Drukmeetpunt ontbreekt of defect,04/01/2017 12:00:00 AM,
332,20170401,,,5.*.35,Meerkringsbeveiligingsventiel werkt niet goed,04/01/2017 12:00:00 AM,
333,20170401,,,5.*.35,Ontwateringsventiel op reservoir werkt niet goed,04/01/2017 12:00:00 AM,
334,20170401,,,5.*.31,Voertuig niet voorzien van automatische remstellers,04/01/2017 12:00:00 AM,
335,20170401,,,5.*.33,Waarschuwingsinrichting drukluchtremsysteem werkt niet goed,04/01/2017 12:00:00 AM,
336,20170401,,,5.*.34,Waarschuwingsinrichting veerrem werkt niet goed,04/01/2017 12:00:00 AM,
337,20170401,,,5.*.35,Afstelplaat remkrachtregelaar onleesbaar/ontbreekt,04/01/2017 12:00:00 AM,
338,20170401,,,5.*.35,Afstelling remkrachtregelaar wijkt af,04/01/2017 12:00:00 AM,
339,20170401,,,5.*.35,"Afstelling remkrachtregelaar wijkt af (?2,0 bar)",04/01/2017 12:00:00 AM,
33A,20220101,,,TA.1L,Onjuist K-factor ingevoerd.,01/01/2022 12:00:00 AM,
340,20170401,,,5.*.35,"Remkrachtregelaar ontbreekt, plaat aanwezig",04/01/2017 12:00:00 AM,
341,20170401,,,5.*.35,Remkrachtregelaar werkt niet,04/01/2017 12:00:00 AM,
342,20170401,,,5.*.35,"Remkrachtregelaar werkt niet goed, volgens afstelplaat afges",04/01/2017 12:00:00 AM,
343,20170401,,,5.*.36,Slag remcilinder is beperkt door enig deel,04/01/2017 12:00:00 AM,
344,20170401,,,5.*.36,Vrije slag remcilinder te groot,04/01/2017 12:00:00 AM,
345,20170401,,,5.*.37,Automatische afsluiters ontbreken of werken niet goed,04/01/2017 12:00:00 AM,
346,20170401,,,5.*.37,Druk in voorraad-/commandoleiding wijkt af,04/01/2017 12:00:00 AM,
347,20170401,,,5.*.37,"Druk in voorraad-/commandoleiding wijkt af (>0,5 bar)",04/01/2017 12:00:00 AM,
348,20170401,,,5.*.37,Eenleidingremsysteem niet toegestaan,04/01/2017 12:00:00 AM,
349,20170401,,,5.*.37,Extra rembediening voor rem aanhangwagen niet toegestaan,04/01/2017 12:00:00 AM,
34A,20220101,,,TA.1M,Onjuist serienummer bewegingssensor ingevoerd.,01/01/2022 12:00:00 AM,
350,20170401,,,5.*.37,Handafsluiter commando-/voorraadleiding niet toegestaan,04/01/2017 12:00:00 AM,
351,20170401,,,5.*.38,Remvertraging bedrijfsrem onvoldoende (< 100% >= 95% awet),04/01/2017 12:00:00 AM,
352,20170401,,,5.*.38,Remvertraging bedrijfsrem onvoldoende (< 95% >= 90% awet),04/01/2017 12:00:00 AM,
353,20170401,,,5.*.38,Remvertraging bedrijfsrem onvoldoende (< 90% >= 50% awet),04/01/2017 12:00:00 AM,
354,20170401,,,5.*.38,Remvertraging bedrijfsrem slecht (< 50% awet),04/01/2017 12:00:00 AM,
355,20170401,,,5.*.39,Remvertraging / remwerking parkeerrem onvoldoende,04/01/2017 12:00:00 AM,
356,20170401,,,5.*.39,Bedieningsorgaan parkeerrem niet vergrendelbaar,04/01/2017 12:00:00 AM,
357,20170401,,,5.*.39,Parkeerrem werkt niet op 2 wielen,04/01/2017 12:00:00 AM,
358,20170401,,,5.*.38,Bedrijfsrem werkt niet op alle wielen,04/01/2017 12:00:00 AM,
359,20170401,,,5.*.38,Een wiel remt niet,04/01/2017 12:00:00 AM,
360,20170401,,,5.*.38,Een wiel van bestuurbare as remt niet,04/01/2017 12:00:00 AM,
361,20170401,,,5.*.38,Remverschil op 1 as te groot,04/01/2017 12:00:00 AM,
362,20170401,,,5.*.38,"Remverschil op 1 as te groot, >50%",04/01/2017 12:00:00 AM,
363,20170401,,,5.*.38,Voertuig breekt uit door verschil in remwerking,04/01/2017 12:00:00 AM,
364,20170401,,,5.*.39,Parkeerrem ontbreekt op een niet hefbare as,04/01/2017 12:00:00 AM,
365,20170401,,,5.*.40,Losbreekreminrichting aanhangwagen werkt niet goed,04/01/2017 12:00:00 AM,
366,20170401,,,5.*.40,Losknop werkt niet goed,04/01/2017 12:00:00 AM,
367,20170401,,,5.*.40,Losknop werkt niet of blijft in stand lossen staan,04/01/2017 12:00:00 AM,
368,20170401,,,5.*.40,Reminrichting komt niet automatisch in bedrijfstoestand,04/01/2017 12:00:00 AM,
369,20170401,,,5.*.39,Vastzetinrichting ontbreekt of werkt niet,04/01/2017 12:00:00 AM,
36A,20220101,,,TA.1O,Tellerstand wijkt >500 km af t.o.v. voertuig.,01/01/2022 12:00:00 AM,
370,20170401,,,5.*.39,Hefas zakt niet na activering vastzetinrichting,04/01/2017 12:00:00 AM,
371,20170401,,,5.*.39,Vastzetinrichting werkt niet goed,04/01/2017 12:00:00 AM,
373,20170401,,,5.*.41,Deur niet op normale wijze te openen,04/01/2017 12:00:00 AM,
374,20170401,,,5.*.41,Deur of  laadbakklep van laadruimte sluit niet goed,04/01/2017 12:00:00 AM,
375,20170401,,,5.*.41,Deur sluit niet goed,04/01/2017 12:00:00 AM,
376,20170401,,,5.*.41,Roestschade scharnierbevestiging van deur,04/01/2017 12:00:00 AM,
377,20170401,,,5.*.41,"Roestschade scharnierbevestiging motorkap, kofferdeksel",04/01/2017 12:00:00 AM,
380,20170401,,,5.*.41,"Roestschade deurstijl, scharnier, slot",04/01/2017 12:00:00 AM,
381,20170401,,,5.*.41,Een van meerdere bevestigingsmiddelen zit los/ontbreekt,04/01/2017 12:00:00 AM,
382,20170401,,,5.*.41,Bevestiging slot/scharnier deur/motorkap/kofferdeksel ondeug,04/01/2017 12:00:00 AM,
383,20170401,,,5.*.41,Slot of scharnier(en) van motorkap en kofferdeksel ondeugdel,04/01/2017 12:00:00 AM,
384,20170401,,,5.*.42,Beschadiging of verkleuring achterruit,04/01/2017 12:00:00 AM,
385,20170401,,,5.*.42,Ruit beschadigd of verkleurd,04/01/2017 12:00:00 AM,
386,20170401,,,5.*.42,Voorruit ernstig beschadigd in directe gezichtsveld,04/01/2017 12:00:00 AM,
387,20170401,,,5.*.42,Voorruit beschadigd indirecte of directe gezichtsveld,04/01/2017 12:00:00 AM,
388,20170401,,,5.*.43,Ruitenwisserinstallatie werkt niet,04/01/2017 12:00:00 AM,
389,20170401,,,5.*.43,Ruitenwisserinstallatie werkt niet goed,04/01/2017 12:00:00 AM,
38A,20220101,,,TA.3B,Prints niet (goed) leesbaar items worden onvolledig weergege,01/01/2022 12:00:00 AM,
390,20170401,,,5.*.43,Ruitenwisserinstallatie ontbreekt,04/01/2017 12:00:00 AM,
391,20170401,,,5.*.43,Ruitenwisserinstallatie geeft onvoldoende zicht,04/01/2017 12:00:00 AM,
392,20170401,,,5.*.43,Ruitensproeierinstallatie werkt niet,04/01/2017 12:00:00 AM,
393,20170401,,,5.*.43,Ruitensproeierinstallatie werkt niet goed,04/01/2017 12:00:00 AM,
394,20170401,,,5.*.43,Ruitensproeierinstallatie ontbreekt,04/01/2017 12:00:00 AM,
395,20170401,,,5.*.44,Voorruitontdooiing en ontwaseming werkt niet,04/01/2017 12:00:00 AM,
396,20170401,,,5.*.44,Voorruitontdooiing en ontwaseming werkt niet goed,04/01/2017 12:00:00 AM,
397,20170401,,,5.*.44,Voorruitontdooiing en ontwaseming ontbreekt,04/01/2017 12:00:00 AM,
398,20170401,,,5.*.45,Spiegel of gezichtsveldverbeterende voorziening ontbreekt,04/01/2017 12:00:00 AM,
399,20170401,,,5.*.45,Gezichtsveldverbeterende voorziening werkt niet (goed),04/01/2017 12:00:00 AM,
400,20170401,,,5.*.45,Spiegel ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
401,20170401,,,5.*.45,Spiegelglas beschadigd of verweerd,04/01/2017 12:00:00 AM,
402,20170401,,,5.*.45,Trottoirspiegel niet juist gemonteerd,04/01/2017 12:00:00 AM,
403,20170401,,,5.*.46,Bestuurderszitplaats of -rugleuning ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
404,20170401,,,5.*.46,Een van meerdere bevestigingsmiddelen van bestuurderszitplaa,04/01/2017 12:00:00 AM,
405,20170401,,,5.*.46,Roestschade bevestiging bestuurderszitplaats,04/01/2017 12:00:00 AM,
406,20170401,,,5.*.46,Verstelinrichting bestuurderszitplaats of -rugleuning niet a,04/01/2017 12:00:00 AM,
407,20170401,,,5.*.46,Verstelinrichting bestuurderszitplaats of -rugleuning vergre,04/01/2017 12:00:00 AM,
408,20170401,,,5.*.46,Zitplaats of rugleuning ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
409,20170401,,,5.*.46,Een van meerdere bevestigingsmiddelen van zitplaats los,04/01/2017 12:00:00 AM,
40A,20220101,,,TA.3W,Verplichte verzegeling ontbreekt,01/01/2022 12:00:00 AM,
410,20170401,,,5.*.46,Roestschade bevestiging zitplaats,04/01/2017 12:00:00 AM,
411,20170401,,,5.*.46,Verstelinrichting zitplaats of rugleuning niet aanwezig,04/01/2017 12:00:00 AM,
412,20170401,,,5.*.46,Verstelinrichting zitplaats of rugleuning vergrendeld niet,04/01/2017 12:00:00 AM,
413,20170401,,,5.*.46,Voertuig voorzien van zijdelings gerichte zitplaatsen,04/01/2017 12:00:00 AM,
414,20170401,,,5.*.47,Gordel beschadigd,04/01/2017 12:00:00 AM,
415,20170401,,,5.*.47,Gordel ernstig beschadigd,04/01/2017 12:00:00 AM,
416,20170401,,,5.*.47,Gordelsluiting weigert soms,04/01/2017 12:00:00 AM,
417,20170401,,,5.*.47,Gordelsluiting werkt niet,04/01/2017 12:00:00 AM,
418,20170401,,,5.*.47,Gordel ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
419,20170401,,,5.*.47,Blokkering gordel werkt niet (goed),04/01/2017 12:00:00 AM,
41A,20220101,,,TA.3X,Onjuiste type/versie 1e generatie voertuigunit gemonteerd.,01/01/2022 12:00:00 AM,
420,20170401,,,5.*.47,Oprolmechanisme gordel werkt niet goed,04/01/2017 12:00:00 AM,
421,20170401,,,5.*.47,Oprolmechanisme gordel werkt niet,04/01/2017 12:00:00 AM,
422,20170401,,,5.*.47,Verplichte gordel ontbreekt,04/01/2017 12:00:00 AM,
423,20180520,,,5.*.10a,Vulaansluiting CNG/LNG onjuist geplaatst,05/20/2018 12:00:00 AM,
424,20180520,,,5.*.10a,Gasdichte behuizing CNG/LNG mondt niet uit in buitenlucht,05/20/2018 12:00:00 AM,
425,20180520,,,5.*.10a,Gasdichte behuizing CNG/LNG ontbreekt of ondeugdelijk,05/20/2018 12:00:00 AM,
426,20180519,,,5.*.47,Waarschuwingsinrichting gordelsysteem geeft defect aan,05/19/2018 12:00:00 AM,
427,20180520,,,5.*.47,Waarschuwingsinrichting airbagsysteem geeft defect aan,05/20/2018 12:00:00 AM,
428,20170401,,,5.*.48,Wiel of band loopt aan,04/01/2017 12:00:00 AM,
429,20170401,,,5.*.48,Wiel of band niet goed afgeschermd,04/01/2017 12:00:00 AM,
430,20170401,,,5.*.48,Wielafscherming ontbreekt,04/01/2017 12:00:00 AM,
431,20170401,,,5.*.48,Opspatafscherming ontbreekt,04/01/2017 12:00:00 AM,
432,20170401,,,5.*.48,Zijdelingse afscherming ontbreekt,04/01/2017 12:00:00 AM,
433,20170401,,,5.*.48,Zijdelingse afscherming niet volgens voorschriften,04/01/2017 12:00:00 AM,
434,20170401,,,5.*.48,Gevaar losraken deel aan buitenzijde,04/01/2017 12:00:00 AM,
435,20170401,,,5.*.48,Scherpe delen aan buitenzijde,04/01/2017 12:00:00 AM,
436,20170401,,,5.*.49,Afmeting of plaats stootbalk onjuist,04/01/2017 12:00:00 AM,
437,20170401,,,5.*.49,Ernstig functieverlies > 25% van stootbalk/ -bevestiging,04/01/2017 12:00:00 AM,
438,20170401,,,5.*.49,Functieverlies van stootbalk/ -bevestiging,04/01/2017 12:00:00 AM,
439,20170401,,,5.*.49,Stootbalk naar achteren omgebogen,04/01/2017 12:00:00 AM,
440,20170401,,,5.*.49,Stootbalk ondeugdelijk,04/01/2017 12:00:00 AM,
441,20170401,,,5.*.49,Stootbalk ontbreekt,04/01/2017 12:00:00 AM,
442,20170401,,,5.*.50,Frontbeschermingsinrichting niet goedgekeurd,04/01/2017 12:00:00 AM,
469,20170401,,,5.*.55,Achterlicht afgeschermd,04/01/2017 12:00:00 AM,
46A,20220310,,,TA.1Q,Geen Manipulatieformulier afgegeven (Alleen toezichthouders),03/10/2022 12:00:00 AM,
470,20170401,,,5.*.55,Achterlicht glas lichtarmatuur ernstig beschadigd of verwijd,04/01/2017 12:00:00 AM,
471,20170401,,,5.*.55,Achterlicht glas gerepareerd of bewerkt,04/01/2017 12:00:00 AM,
472,20170401,,,5.*.55,Achterlicht lichtoppervlak  > 25% afgenomen,04/01/2017 12:00:00 AM,
473,20170401,,,5.*.55,Achterlicht ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
474,20170401,,,5.*.55,Achterlicht schakelaar ondeugdelijk,04/01/2017 12:00:00 AM,
475,20170401,,,5.*.55,Achterlicht werkt niet (goed),04/01/2017 12:00:00 AM,
476,20170401,,,5.*.51,Achterlicht  aantal niet juist volgens voorschriften,04/01/2017 12:00:00 AM,
477,20170401,,,5.*.55,Achterlicht  asymmetrische plaatsing  t.o.v. midden,04/01/2017 12:00:00 AM,
478,20170401,,,5.*.53,Achterlicht kleur wijkt af of niet toegestaan,04/01/2017 12:00:00 AM,
479,20170401,,,5.*.61,Achterlicht niet juist aangebracht,04/01/2017 12:00:00 AM,
47A,20220301,,,TA.3K,Verzegeling aangebracht zonder goedkeuring (T-logo),03/01/2022 12:00:00 AM,
480,20170401,,,5.*.55,Achterlicht niet van gelijke grootte/sterkte/kleur,04/01/2017 12:00:00 AM,
481,20170401,,,5.*.51,Achterlicht ontbreekt,04/01/2017 12:00:00 AM,
482,20170401,,,5.*.55,Achteruitrijlicht afgeschermd,04/01/2017 12:00:00 AM,
483,20170401,,,5.*.55,"Achterruitrijlicht glas gerepareerd, bewerkt of verwijderd",04/01/2017 12:00:00 AM,
484,20170401,,,5.*.55,Achterruitrijlicht lichtoppervlak >25% afgenomen,04/01/2017 12:00:00 AM,
485,20170401,,,5.*.55,Achteruitrijlichten ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
486,20170401,,,5.*.55,Achteruitrijlichten schakelaar ondeugdelijk,04/01/2017 12:00:00 AM,
487,20170401,,,5.*.55,Achteruitrijlicht werkt niet (goed),04/01/2017 12:00:00 AM,
488,20170401,,,5.*.51,Achteruitrijlicht  aantal niet juist volgens voorschriften,04/01/2017 12:00:00 AM,
489,20170401,,,5.*.55,Achteruitrijlichten asymmetrische plaatsing t.o.v. het midde,04/01/2017 12:00:00 AM,
48A,20230101,,,5.*.66,Trekoogbus gescheurd,01/01/2023 12:00:00 AM,
490,20170401,,,5.*.53,Achteruitrijlicht kleur wijkt af of niet toegestaan,04/01/2017 12:00:00 AM,
491,20170401,,,5.*.55,Achteruitrijlichten niet van gelijke grootte/sterkte/kleur,04/01/2017 12:00:00 AM,
492,20170401,,,5.*.51,Achteruitrijlicht ontbreekt,04/01/2017 12:00:00 AM,
493,20170401,,,5.*.53,Kentekenplaatverlichting kleur wijkt af/niet toegestaan,04/01/2017 12:00:00 AM,
494,20170401,,,5.*.55,Kentekenplaatverlichting ondeugdelijk (bevestigd),04/01/2017 12:00:00 AM,
495,20170401,,,5.*.53,Kentekenplaatverlichting straalt licht naar achter,04/01/2017 12:00:00 AM,
496,20170401,,,5.*.55,Kentekenplaatverlichting niet volgens voorschriften,04/01/2017 12:00:00 AM,
497,20170401,,,5.*.55,Kentekenplaatverlichting werkt niet (goed) / ontbreekt,04/01/2017 12:00:00 AM,
498,20170401,,,5.*.55,"Dim-, grootlicht afgeschermd",04/01/2017 12:00:00 AM,
499,20170401,,,5.*.55,"Dim-, grootlicht; glas lichtarmatuur ernstig beschadigd of v",04/01/2017 12:00:00 AM,
49A,20230101,,,TA.2I,Identificatie niet uitgevoerd a.d.h.v. kentekenregister/kent,01/01/2023 12:00:00 AM,
500,20170401,,,5.*.55,"Dim-, grootlicht; glas gerepareerd of bewerkt",04/01/2017 12:00:00 AM,
501,20170401,,,5.*.55,"Dim-, grootlicht  lichtoppervlak  >25% afgenomen",04/01/2017 12:00:00 AM,
502,20170401,,,5.*.55,"Dim-, grootlicht ondeugdelijk bevestigd",04/01/2017 12:00:00 AM,
503,20170401,,,5.*.55,"Dim-, grootlicht  schakelaar ondeugdelijk",04/01/2017 12:00:00 AM,
504,20170401,,,5.*.62,Grootlicht optisch signaal ontbreekt of defect,04/01/2017 12:00:00 AM,
505,20180520,,,5.*.31,Waarschuwingsinrichting elektronisch remsysteem geeft defect,05/20/2018 12:00:00 AM,
506,20180519,,,5.*.71,Waarschuwingsinrichting eCall-boordsysteem geeft defect aan,05/19/2018 12:00:00 AM,
507,20170401,,,5.*.55,"Dim-, grootlicht werkt niet (goed)",04/01/2017 12:00:00 AM,
508,20170401,,,5.*.51,Gasontladingsdimlichten gaan uit bij inschakelen groot licht,04/01/2017 12:00:00 AM,
509,20170401,,,5.*.55,Inrichting voor aanpassing dimlichtafstelling werkt niet (go,04/01/2017 12:00:00 AM,
50A,20230101,,,5.*.11,"Roetfilter werkt niet (goed), aantal deeltjes > 1 miljoen en",01/01/2023 12:00:00 AM,
510,20170401,,,5.*.61,Dimlicht niet juist aangebracht,04/01/2017 12:00:00 AM,
511,20170401,,,5.*.51,"Dim-, grootlicht  aantal niet juist volgens voorschriften",04/01/2017 12:00:00 AM,
512,20170401,,,5.*.55,"Dim-, grootlicht  asymmetrische plaatsing t.o.v. midden",04/01/2017 12:00:00 AM,
513,20170401,,,5.*.53,"Dim-, grootlicht  kleur wijkt af of niet toegestaan",04/01/2017 12:00:00 AM,
514,20170401,,,5.*.55,"Dim-, grootlicht niet van gelijke grootte/sterkte/kleur",04/01/2017 12:00:00 AM,
515,20170401,,,5.*.51,"Dim-, grootlicht ontbreekt",04/01/2017 12:00:00 AM,
516,20170401,,,5.*.56,Dimlicht onjuist afgesteld,04/01/2017 12:00:00 AM,
517,20170401,,,5.*.56,Dimlicht onjuist afgesteld (>40mm / tussen 0 en -5mm),04/01/2017 12:00:00 AM,
518,20170401,,,5.*.56,"Dimlicht verblindend, boven de nullijn",04/01/2017 12:00:00 AM,
519,20170401,,,5.*.56,Dimlicht verblindend (boven nullijn),04/01/2017 12:00:00 AM,
51A,20230101,,,TA.2J,Afwijkende verplichte parameter ingevoerd in VU,01/01/2023 12:00:00 AM,
520,20170401,,,5.*.56,Koplamp met afwijkend lichtbeeld onjuist afgesteld,04/01/2017 12:00:00 AM,
521,20170401,,,5.*.56,Koplamp met afwijkend lichtbeeld onjuist afgesteld,04/01/2017 12:00:00 AM,
522,20170401,,,5.*.56,Licht- donkerscheiding dimlicht onduidelijk,04/01/2017 12:00:00 AM,
524,20170401,,,5.*.56,Lichtbeeld dimlicht onjuist,04/01/2017 12:00:00 AM,
525,20170401,,,5.*.55,Mistachterlicht afgeschermd,04/01/2017 12:00:00 AM,
526,20170401,,,5.*.62,Mistachterlicht optisch signaal ontbreekt of defect,04/01/2017 12:00:00 AM,
527,20170401,,,5.*.55,Mistachterlicht glas lichtarmatuur ernstig beschadigd of ver,04/01/2017 12:00:00 AM,
528,20170401,,,5.*.55,Mistachterlicht glas gerepareerd of bewerkt,04/01/2017 12:00:00 AM,
529,20170401,,,5.*.55,Mistachterlicht lichtoppervlak >25% afgenomen,04/01/2017 12:00:00 AM,
530,20170401,,,5.*.55,Mistachterlicht ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
531,20170401,,,5.*.55,Mistachterlichten schakelaar ondeugdelijk,04/01/2017 12:00:00 AM,
532,20170401,,,5.*.55,Mistachterlicht werkt niet (goed),04/01/2017 12:00:00 AM,
533,20170401,,,5.*.51,Mistachterlichten; aantal niet juist volgens voorschriften,04/01/2017 12:00:00 AM,
534,20170401,,,5.*.55,Mistachterlicht asymmetrische plaatsing t.o.v. midden,04/01/2017 12:00:00 AM,
535,20170401,,,5.*.53,Mistachterlicht kleur wijkt af/niet toegestaan,04/01/2017 12:00:00 AM,
536,20170401,,,5.*.55,Mistachterlicht niet van gelijke grootte/sterkte/kleur,04/01/2017 12:00:00 AM,
537,20170401,,,5.*.51,Mistachterlicht ontbreekt,04/01/2017 12:00:00 AM,
538,20170401,,,5.*.55,Retroreflectoren asymmetrische plaatsing t.o.v. midden,04/01/2017 12:00:00 AM,
539,20170401,,,5.*.55,Retroreflector(en) afgeschermd,04/01/2017 12:00:00 AM,
540,20170401,,,5.*.51,Retroreflector ontbreekt,04/01/2017 12:00:00 AM,
541,20170401,,,5.*.55,Retroreflector ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
542,20170401,,,5.*.55,Retroreflector vertoont gebrek,04/01/2017 12:00:00 AM,
543,20170401,,,5.*.51,Kleur retroreflector wijkt af of niet toegestaan,04/01/2017 12:00:00 AM,
544,20170401,,,5.*.61,Retroreflector niet juist aangebracht,04/01/2017 12:00:00 AM,
545,20170401,,,5.*.51,Retroreflector (zijkant) niet juist aangebracht,04/01/2017 12:00:00 AM,
546,20170401,,,5.*.51,Retroreflector (zijkant) aantal niet volgens voorschriften,04/01/2017 12:00:00 AM,
547,20170401,,,5.*.51,Lijnmarkering niet volgens voorschriften,04/01/2017 12:00:00 AM,
548,20170401,,,5.*.51,Lijnmarkering ontbreekt,04/01/2017 12:00:00 AM,
549,20170401,,,5.*.55,Remlicht afgeschermd,04/01/2017 12:00:00 AM,
550,20170401,,,5.*.55,Remlicht glas lichtarmatuur ernstig beschadigd of verwijderd,04/01/2017 12:00:00 AM,
551,20170401,,,5.*.55,Remlicht glas gerepareerd of bewerkt,04/01/2017 12:00:00 AM,
552,20170401,,,5.*.55,Remlicht lichtoppervlak >25% afgenomen,04/01/2017 12:00:00 AM,
553,20170401,,,5.*.55,Remlicht ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
554,20170401,,,5.*.55,Remlicht schakelaar ondeugdelijk,04/01/2017 12:00:00 AM,
555,20170401,,,5.*.55,Remlichten (alle) werken niet,04/01/2017 12:00:00 AM,
556,20170401,,,5.*.55,Remlicht werkt niet (goed),04/01/2017 12:00:00 AM,
558,20170401,,,5.*.51,Remlichten; aantal niet juist volgens voorschriften,04/01/2017 12:00:00 AM,
559,20170401,,,5.*.55,Remlichten asymmetrische plaatsing t.o.v. midden,04/01/2017 12:00:00 AM,
