woonplaats;wijk;buurt;periode;aantal_ritten_in_periode;aantal_passagiers_in_periode;aantal_kilometers_per_periode;gemiddeld_aantal_km_per_rit
;;;201507;95;105;1011.80;10.7
Krommenie;Krommenie West;Noorderham;201812;87;;958.65;11.0
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201601;315;315;1918.70;6.1
Zaandam;Oude Haven;Het Eiland;201902;86;;480.00;5.6
;;;201707;91;94;840.30;9.2
Zaandijk;Rooswijk;Rooswijk Noord;201611;157;157;1036.70;6.6
Zaandam;Oude Haven;Het Eiland;201803;125;125;579.60;4.6
Zaandam;Kogerveldwijk;Kogerveld;201712;109;109;545.70;5.0
Krommenie;Krommenie Oost;Rosariumbuurt;201804;162;165;1560.99;9.6
Koog aan de Zaan;Westerkoog;Westerkoog;201809;359;;3218.48;9.0
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201509;69;69;625.60;9.1
Westknollendam;Wormerveer;Westknollendam;201705;29;29;483.60;16.7
Zaandam;Nieuw West;Westerwatering;201801;178;181;1316.75;7.4
Westzaan;Westzaan;J.J. Allanbuurt;201702;8;8;46.00;5.8
Assendelft;Assendelft-Noord;Parkrijk;201606;126;126;1260.80;10.0
Krommenie;Krommenie Oost;Rosariumbuurt;201609;158;158;1096.70;6.9
Krommenie;Krommenie Oost;Snuiverbuurt;201608;169;170;1535.20;9.1
Krommenie;Krommenie Oost;Snuiverbuurt;201711;170;172;1449.30;8.5
Zaandam;Zaandam West;Spoorbuurt;201602;50;53;507.60;10.2
Zaandam;Zaandam Noord;Zaanse Schans;201707;2;2;8.40;4.2
Zaandam;Oude Haven;Russische buurt;201509;81;81;683.20;8.4
Krommenie;Krommenie West;Willis;201803;2;2;29.30;14.7
Krommenie;Krommenie Oost;Rosariumbuurt;201704;176;176;1631.00;9.3
Zaandam;Zaandam Noord;Zaanse Schans;201507;6;6;55.60;9.3
Krommenie;Krommenie West;Zuiderham;201808;146;;1355.06;9.3
Zaandam;Zaandam West;Oud West;201601;182;183;1140.60;6.3
Westzaan;Westzaan;J.J. Allanbuurt;201504;11;11;71.50;6.5
Assendelft;Assendelft-Zuid;De Zuid;201601;55;55;564.90;10.3
Zaandam;Zaandam Noord;Kalf;201604;240;244;1650.30;6.9
Assendelft;Assendelft-Noord;Waterrijk;201812;104;;1064.76;10.2
Zaandijk;Oud Zaandijk;Oud Zaandijk;201505;167;167;1103.10;6.6
Krommenie;Krommenie West;Willis;201902;10;;117.60;11.8
Westknollendam;Wormerveer;Westknollendam;201809;11;;98.10;8.9
Zaandam;Poelenburg;Poelenburg;201709;276;286;2024.10;7.3
Koog aan de Zaan;Westerkoog;Westerkoog;201705;348;350;3005.30;8.6
Zaandijk;Rooswijk;Rooswijk Noord;201508;178;178;1086.00;6.1
Zaandam;Nieuw West;Westerwatering;201605;195;198;1430.40;7.3
Assendelft;Assendelft-Noord;Langeheit;201810;81;;808.30;10.0
Zaandam;Zaandam Noord;Zaanse Schans;201502;10;10;66.30;6.6
Zaandam;Poelenburg;Poelenburg;201710;309;315;1974.70;6.4
Zaandijk;Rooswijk;Rooswijk Noord;201706;162;169;1252.00;7.7
Wormerveer;Wormerveer;Wormerveer Noord;201501;738;757;5766.30;7.8
Wormerveer;Wormerveer;Wormerveer Noord;201512;630;639;6016.50;9.6
Westzaan;Westzaan;Middel;201511;1;1;6.00;6.0
Zaandam;Pelders- en Hoornseveld;Peldersveld;201705;216;219;1251.80;5.8
Assendelft;Assendelft-Zuid;Centrum;201604;266;266;2811.70;10.6
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201603;229;232;1163.60;5.1
Zaandam;Zaandam Noord;Kalf;201701;245;245;1736.60;7.1
Zaandam;Pelders- en Hoornseveld;Peldersveld;201703;188;201;1278.20;6.8
Krommenie;Krommenie Oost;Rosariumbuurt;201902;201;;1664.30;8.3
Assendelft;Assendelft-Zuid;Centrum;201708;122;124;1216.50;10.0
Zaandam;Oude Haven;Havenbuurt;201801;65;65;315.30;4.9
Zaandijk;Oud Zaandijk;Oud Zaandijk;201810;198;;1486.93;7.5
;;;201610;129;129;1094.70;8.5
Assendelft;Assendelft-Zuid;Centrum;201806;146;151;1843.12;12.6
Zaandam;Zaandam Noord;Zaanse Schans;201607;8;8;46.40;5.8
Wormerveer;Wormerveer;Wormerveer Noord;201812;635;;5826.31;9.2
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201608;61;62;534.40;8.8
Krommenie;Krommenie West;Willis;201609;4;4;59.50;14.9
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201711;48;48;449.90;9.4
Krommenie;Krommenie Oost;Rosariumbuurt;201803;201;202;1676.85;8.3
Krommenie;Krommenie West;Willis;201704;9;9;87.80;9.8
Westzaan;Westzaan;J.J. Allanbuurt;201710;7;7;40.20;5.7
Zaandam;Oude Haven;Het Eiland;201804;114;115;682.90;6.0
Zaandijk;Rooswijk;Rooswijk Noord;201506;170;170;964.30;5.7
Westzaan;Westzaan;J.J. Allanbuurt;201709;11;11;67.40;6.1
Assendelft;Assendelft-Noord;Waterrijk;201512;63;63;928.90;14.7
Assendelft;Assendelft-Noord;Waterrijk;201501;47;47;482.20;10.3
Westknollendam;Wormerveer;Industriebuurt;201507;2;2;27.00;13.5
Zaandam;Zaandam Noord;Kalf;201806;232;232;2135.52;9.2
Zaandijk;Rooswijk;Rooswijk;201608;117;117;837.50;7.2
Zaandijk;Rooswijk;Rooswijk;201711;157;157;1387.20;8.8
Koog aan de Zaan;Westerkoog;Westerkoog;201703;432;433;3898.00;9.0
Westknollendam;Wormerveer;Westknollendam;201612;4;4;73.60;18.4
Westknollendam;Wormerveer;Industriebuurt;201707;1;1;13.60;13.6
Zaandam;Zaandam West;Spoorbuurt;201510;60;62;639.10;10.7
Zaandam;Oude Haven;Het Eiland;201811;56;;313.60;5.6
Assendelft;Assendelft-Noord;Langeheit;201505;37;37;235.20;6.4
Wormerveer;Wormerveer;Wormerveer Zuid;201808;152;;1358.67;8.9
Westzaan;Westzaan;Westzaan Zuid;201509;20;20;188.50;9.4
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201603;12;12;72.60;6.1
Zaandam;Zaandam West;Oud West;201807;232;;2264.53;9.8
Assendelft;Assendelft-Zuid;Centrum;201701;147;150;1575.30;10.7
Assendelft;Assendelft-Zuid;De Zuid;201807;15;;179.60;12.0
Zaandam;Poelenburg;Poelenburg;201504;337;344;2695.40;8.0
Zaandam;Zaandam Noord;Kalf;201708;241;244;1731.90;7.2
Koog aan de Zaan;Westerkoog;Westerkoog;201612;355;357;2838.10;8.0
Westknollendam;Wormerveer;Westknollendam;201703;17;17;312.80;18.4
Zaandam;Poelenburg;Poelenburg;201702;251;260;1978.10;7.9
Krommenie;Krommenie West;Noorderham;201501;68;68;842.60;12.4
Krommenie;Krommenie West;Krommeniedijk;201712;4;4;29.60;7.4
Krommenie;Krommenie West;Noorderham;201512;45;45;371.90;8.3
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201807;536;;3852.14;7.2
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201808;89;;1196.85;13.4
Zaandam;Oude Haven;Havenbuurt;201605;34;34;212.70;6.3
Wormerveer;Wormerveer;Industriebuurt;201809;1;;9.00;9.0
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201606;283;285;1749.10;6.2
Krommenie;Krommenie West;Willis;201811;8;;105.20;13.2
Zaandijk;Rooswijk;Rooswijk;201808;120;;943.70;7.9
Westzaan;Westzaan;Westzaan Noord;201510;86;87;806.10;9.4
Zaandam;Pelders- en Hoornseveld;Peldersveld;201612;211;220;1167.00;5.5
Krommenie;Krommenie West;Willis;201804;9;9;101.00;11.2
Assendelft;Assendelft-Noord;Parkrijk;201511;140;140;1502.50;10.7
Zaandam;Oude Haven;Het Eiland;201704;118;118;586.60;5.0
;;;201901;224;;1625.80;7.3
Zaandam;Oude Haven;Het Eiland;201609;135;135;776.50;5.8
Zaandam;Poelenburg;Poelenburg;201802;199;201;1478.68;7.4
Westzaan;Westzaan;J.J. Allanbuurt;201503;17;17;121.40;7.1
Zaandam;Zaandam Noord;Zaanse Schans;201610;4;4;16.80;4.2
;;;201607;106;108;953.60;9.0
Zaandam;Nieuw West;Westerspoor;201512;91;91;660.00;7.3
Zaandam;Zaandam Zuid;Bomenbuurt;201810;158;;1439.90;9.1
Zaandam;Nieuw West;Westerspoor;201501;104;105;793.70;7.6
Wormerveer;Wormerveer;Wormerveer Zuid;201608;136;137;898.50;6.6
Wormerveer;Wormerveer;Wormerveer Zuid;201711;179;185;1515.20;8.5
Zaandam;Nieuw West;Westerwatering;201902;248;;1887.90;7.6
Wormerveer;Wormerveer;Wormerveer Zuid;201611;132;137;1109.40;8.4
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201512;79;83;707.90;9.0
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201501;101;104;789.90;7.8
Zaandam;Zaandam West;Spoorbuurt;201511;50;50;537.20;10.7
Zaandam;Oude Haven;Havenbuurt;201804;83;83;390.90;4.7
Assendelft;Assendelft-Noord;Langeheit;201610;15;15;123.60;8.2
Koog aan de Zaan;Westerkoog;Westerkoog;201504;298;299;2404.20;8.1
Zaandam;Zaandam Zuid;Bomenbuurt;201502;140;140;911.40;6.5
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201701;291;295;2409.10;8.3
Zaandam;Nieuw West;Westerwatering;201803;260;262;1875.80;7.2
Zaandam;Poelenburg;Poelenburg;201703;240;249;1812.80;7.6
Westzaan;Westzaan;J.J. Allanbuurt;201705;9;9;51.70;5.7
Zaandam;Oude Haven;Het Eiland;201801;127;128;718.88;5.7
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201712;35;35;221.80;6.3
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201508;59;60;550.40;9.3
Zaandijk;Rooswijk;Rooswijk;201706;120;120;817.10;6.8
Westknollendam;Wormerveer;Westknollendam;201702;21;21;376.70;17.9
Westknollendam;Wormerveer;Westknollendam;201802;26;26;395.80;15.2
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201806;508;513;4060.09;8.0
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201712;167;169;932.20;5.6
Zaandam;Zaandam Zuid;Bomenbuurt;201707;166;166;1199.20;7.2
Zaandam;Zaandam Zuid;Bomenbuurt;201507;113;116;744.90;6.6
Zaandam;Pelders- en Hoornseveld;Peldersveld;201504;251;259;1356.20;5.4
Zaandijk;Rooswijk;Rooswijk;201508;135;135;1029.20;7.6
;;;201505;112;113;999.60;8.9
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201706;17;17;155.70;9.2
Krommenie;Krommenie West;Willis;201605;9;9;64.20;7.1
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201708;283;288;2505.30;8.9
Zaandam;Oude Haven;Havenbuurt;201811;100;;489.70;4.9
Krommenie;Krommenie Oost;Snuiverbuurt;201506;199;211;2187.90;11.0
Koog aan de Zaan;Westerkoog;Westerkoog;201802;367;368;2864.37;7.8
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201602;230;231;1964.40;8.5
Zaandam;Oude Haven;Het Eiland;201605;138;138;726.10;5.3
Zaandam;Zaandam Noord;Zaanse Schans;201505;21;21;128.30;6.1
Zaandam;Zaandam Zuid;Achtersluispolder;201706;4;4;69.40;17.4
Assendelft;Assendelft-Zuid;De Zuid;201806;22;22;255.30;11.6
Wormerveer;Wormerveer;Wormerveer Zuid;201706;146;146;1208.00;8.3
Zaandam;Zaandam West;Oud West;201806;235;247;2143.04;9.1
Wormerveer;Wormerveer;Wormerveer Noord;201509;636;656;6131.70;9.6
Assendelft;Assendelft-Noord;Parkrijk;201510;166;166;2042.90;12.3
Westzaan;Westzaan;Westzaan Noord;201511;121;121;941.70;7.8
Assendelft;Assendelft-Zuid;De Zuid;201708;18;18;200.10;11.1
Zaandam;Zaandam West;Oud West;201708;174;174;1109.90;6.4
Zaandam;Zaandam Noord;Kalf;201807;241;;2337.18;9.7
Zaandijk;Oud Zaandijk;Oud Zaandijk;201707;151;151;857.10;5.7
Zaandijk;Oud Zaandijk;Oud Zaandijk;201507;164;165;1032.50;6.3
Zaandam;Pelders- en Hoornseveld;Peldersveld;201702;217;220;1153.90;5.3
Zaandijk;Rooswijk;Rooswijk;201611;142;143;1033.80;7.3
Zaandam;Pelders- en Hoornseveld;Peldersveld;201802;182;182;1042.90;5.7
Assendelft;Assendelft-Noord;Langeheit;201607;14;14;77.70;5.6
Zaandam;Zaandam West;Oud West;201701;184;190;1394.00;7.6
Assendelft;Assendelft-Zuid;De Zuid;201701;65;65;562.90;8.7
Assendelft;Assendelft-Zuid;Centrum;201807;210;;2616.47;12.5
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201611;89;91;655.60;7.4
Westzaan;Westzaan;Westzaan Zuid;201812;18;;131.60;7.3
Krommenie;Krommenie West;Krommeniedijk;201603;9;9;44.30;4.9
Krommenie;Krommenie West;Willis;201801;5;5;53.80;10.8
Assendelft;Assendelft-Noord;Langeheit;201901;80;;830.80;10.4
Zaandam;Oude Haven;Russische buurt;201512;110;110;1106.00;10.1
Zaandam;Oude Haven;Havenbuurt;201609;34;34;160.80;4.7
Wormerveer;Wormerveer;Wormerveer Zuid;201508;118;119;912.00;7.7
Zaandam;Poelenburg;Poelenburg;201612;300;311;2359.10;7.9
Zaandam;Oude Haven;Russische buurt;201501;205;207;1808.50;8.8
Krommenie;Krommenie West;Zuiderham;201506;180;184;1769.20;9.8
Koog aan de Zaan;Westerkoog;Westerkoog;201702;365;366;3071.50;8.4
Zaandijk;Oud Zaandijk;Oud Zaandijk;201502;155;157;907.50;5.9
Zaandam;Oude Haven;Havenbuurt;201704;15;15;52.00;3.5
Westknollendam;Wormerveer;Westknollendam;201709;30;34;579.80;19.3
Zaandam;Rosmolenwijk;Rosmolenbuurt;201712;490;494;3796.00;7.7
Zaandam;Poelenburg;Poelenburg;201809;242;;2189.55;9.0
Westzaan;Westzaan;Westzaan Zuid;201501;20;22;244.00;12.2
Zaandijk;Oud Zaandijk;Oud Zaandijk;201607;89;89;737.50;8.3
Krommenie;Krommenie West;Zuiderham;201508;128;128;1017.20;7.9
Westzaan;Westzaan;Westzaan Zuid;201512;15;15;110.90;7.4
Wormerveer;Wormerveer;Wormerveer Zuid;201506;119;126;1023.10;8.6
Westzaan;Westzaan;J.J. Allanbuurt;201612;16;16;133.80;8.4
Zaandam;Nieuw West;Westerwatering;201811;198;;1561.33;7.9
Assendelft;Assendelft-Zuid;Centrum;201601;206;206;1930.10;9.4
Zaandam;Kogerveldwijk;Kogerveld;201603;86;86;760.50;8.8
Zaandam;Oude Haven;Russische buurt;201812;121;;1503.36;12.4
Zaandijk;Rooswijk;Rooswijk Noord;201808;56;;616.80;11.0
Zaandijk;Oud Zaandijk;Oud Zaandijk;201901;306;;1877.40;6.1
Zaandam;Pelders- en Hoornseveld;Peldersveld;201503;236;241;1457.00;6.2
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201805;488;492;3731.94;7.6
Assendelft;Assendelft-Noord;Langeheit;201502;31;31;162.70;5.2
Assendelft;Assendelft-Noord;Waterrijk;201509;48;49;571.10;11.9
Westzaan;Westzaan;Westzaan Noord;201606;105;107;1064.40;10.1
Zaandam;Zaandam Zuid;Bomenbuurt;201610;90;91;585.90;6.5
Zaandam;Zaandam Noord;Kalf;201601;233;233;1296.60;5.6
Assendelft;Assendelft-Zuid;De Zuid;201604;55;55;552.20;10.0
Zaandam;Zaandam West;Oud West;201604;213;216;1525.00;7.2
Assendelft;Assendelft-Noord;Parkrijk;201602;195;198;1982.20;10.2
Zaandam;Oude Haven;Havenbuurt;201803;63;63;303.90;4.8
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201510;281;283;2110.00;7.5
Assendelft;Assendelft-Noord;Langeheit;201707;28;28;308.50;11.0
Zaandam;Oude Haven;Havenbuurt;201902;49;;237.40;4.8
Krommenie;Krommenie Oost;Snuiverbuurt;201611;155;155;1454.70;9.4
Krommenie;Krommenie Oost;Rosariumbuurt;201801;185;189;1462.32;7.9
Koog aan de Zaan;Westerkoog;Westerkoog;201503;315;318;2677.00;8.5
Krommenie;Krommenie West;Zuiderham;201706;72;72;672.00;9.3
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201603;233;234;2025.80;8.7
Assendelft;Assendelft-Noord;Langeheit;201507;18;18;107.30;6.0
Zaandam;Nieuw West;Westerwatering;201804;268;275;1920.77;7.2
Westknollendam;Wormerveer;Westknollendam;201710;28;30;472.20;16.9
Zaandam;Nieuw West;Westerspoor;201509;82;83;663.60;8.1
Zaandam;Pelders- en Hoornseveld;Peldersveld;201709;258;262;1851.00;7.2
Krommenie;Krommenie Oost;Snuiverbuurt;201508;258;261;2822.90;10.9
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201604;366;370;2469.50;6.7
Zaandam;Nieuw West;Westerwatering;201704;211;213;1709.30;8.1
Zaandam;Nieuw West;Westerwatering;201609;142;142;1036.80;7.3
Zaandijk;Rooswijk;Rooswijk;201506;159;165;1341.80;8.4
Zaandijk;Rooswijk;Rooswijk Noord;201608;130;130;774.50;6.0
Zaandijk;Rooswijk;Rooswijk Noord;201711;190;193;1191.50;6.3
Koog aan de Zaan;Westerkoog;Westerkoog;201710;360;362;2778.00;7.7
Zaandam;Zaandam West;Spoorbuurt;201606;55;55;669.00;12.2
Koog aan de Zaan;Westerkoog;Westerkoog;201709;353;360;2805.00;7.9
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201506;98;98;770.70;7.9
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201812;66;;544.40;8.2
Zaandam;Zaandam Zuid;Bomenbuurt;201901;155;;1292.30;8.3
Wormerveer;Wormerveer;Industriebuurt;201504;4;4;46.20;11.6
Westzaan;Westzaan;J.J. Allanbuurt;201703;6;6;34.50;5.8
Zaandam;Poelenburg;Poelenburg;201705;249;266;1880.30;7.6
Zaandijk;Oud Zaandijk;Oud Zaandijk;201610;122;122;798.60;6.5
Krommenie;Krommenie Oost;Rosariumbuurt;201605;138;141;1263.70;9.2
Krommenie;Krommenie West;Noorderham;201509;46;48;563.60;12.3
;;;201810;112;;991.90;8.9
Krommenie;Krommenie West;Zuiderham;201611;105;110;1042.20;9.9
Zaandam;Zaandam Zuid;Bomenbuurt;201607;109;109;897.30;8.2
Krommenie;Krommenie Oost;Snuiverbuurt;201706;159;159;1728.00;10.9
Zaandam;Zaandam West;Oud West;201805;220;238;2081.93;9.5
Zaandam;Pelders- en Hoornseveld;Peldersveld;201710;206;212;1409.30;6.8
Assendelft;Assendelft-Zuid;De Zuid;201805;32;32;426.19;13.3
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201508;300;303;1858.00;6.2
Koog aan de Zaan;Westerkoog;Westerkoog;201603;338;338;2959.40;8.8
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201503;291;293;2662.70;9.2
Zaandam;Nieuw West;Westerspoor;201502;125;125;868.90;7.0
Zaandam;Zaandam Noord;Kalf;201804;247;253;1896.74;7.7
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201801;446;449;2922.84;6.6
Assendelft;Assendelft-Zuid;Centrum;201811;158;;1389.80;8.8
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201810;72;;566.40;7.9
Zaandam;Nieuw West;Westerwatering;201601;162;162;1212.50;7.5
Zaandam;Poelenburg;Poelenburg;201712;283;297;1990.90;7.0
Zaandam;Rosmolenwijk;Rosmolenbuurt;201809;406;;2947.49;7.3
Wormerveer;Wormerveer;Wormerveer Noord;201610;546;555;4784.10;8.8
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201703;61;61;486.00;8.0
Krommenie;Krommenie West;Noorderham;201707;81;81;825.00;10.2
Assendelft;Assendelft-Noord;Parkrijk;201506;162;164;1780.70;11.0
Zaandam;Oude Haven;Het Eiland;201701;130;132;599.00;4.6
Krommenie;Krommenie West;Noorderham;201507;41;41;616.00;15.0
;;;201812;110;;977.29;8.9
Zaandam;Nieuw West;Westerspoor;201707;66;66;423.90;6.4
Zaandam;Pelders- en Hoornseveld;Peldersveld;201603;194;208;1206.70;6.2
Zaandam;Kogerveldwijk;Kogerveld;201503;73;73;492.70;6.7
Zaandam;Nieuw West;Westerspoor;201507;92;93;856.70;9.3
Zaandam;Oude Haven;Het Eiland;201708;133;135;717.90;5.4
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201703;192;194;967.90;5.0
Krommenie;Krommenie West;Zuiderham;201510;160;160;1418.80;8.9
Krommenie;Krommenie Oost;Rosariumbuurt;201805;166;169;1776.81;10.7
Krommenie;Krommenie West;Krommeniedijk;201802;2;2;7.30;3.7
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201706;284;289;1953.30;6.9
Zaandam;Oude Haven;Het Eiland;201806;75;75;417.30;5.6
Wormerveer;Wormerveer;Wormerveer Zuid;201602;83;85;603.10;7.3
Krommenie;Krommenie West;Noorderham;201502;36;36;364.80;10.1
Zaandam;Zaandam West;Oud West;201605;196;200;1430.80;7.3
Assendelft;Assendelft-Zuid;De Zuid;201605;64;64;627.20;9.8
Assendelft;Assendelft-Zuid;Centrum;201804;195;201;1806.74;9.3
Zaandam;Zaandam Noord;Kalf;201811;279;;2355.89;8.4
Krommenie;Krommenie West;Willis;201806;4;4;51.50;12.9
Assendelft;Assendelft-Zuid;Centrum;201704;173;173;1817.10;10.5
Assendelft;Assendelft-Zuid;Centrum;201609;148;148;1694.00;11.4
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201612;144;150;777.70;5.4
Zaandam;Kogerveldwijk;Kogerveld;201710;71;71;296.10;4.2
Zaandijk;Rooswijk;Rooswijk Noord;201511;176;179;1017.60;5.8
Assendelft;Assendelft-Noord;Waterrijk;201502;49;50;480.30;9.8
Assendelft;Assendelft-Noord;Langeheit;201509;38;38;172.80;4.5
Zaandam;Oude Haven;Havenbuurt;201807;110;;584.00;5.3
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201605;325;327;2379.90;7.3
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201709;163;164;1276.40;7.8
Westzaan;Westzaan;Westzaan Zuid;201505;18;18;197.40;11.0
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201602;60;60;408.20;6.8
Westknollendam;Wormerveer;Westknollendam;201603;1;1;22.60;22.6
Krommenie;Krommenie West;Krommeniedijk;201504;12;12;73.00;6.1
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201710;152;152;1426.90;9.4
Assendelft;Assendelft-Zuid;De Zuid;201801;28;28;372.40;13.3
Zaandam;Zaandam West;Oud West;201801;210;211;1818.00;8.7
Zaandijk;Rooswijk;Rooswijk;201602;118;118;809.20;6.9
Krommenie;Krommenie West;Willis;201701;9;9;90.00;10.0
Wormerveer;Wormerveer;Wormerveer Noord;201901;565;;4628.60;8.2
Krommenie;Krommenie Oost;Snuiverbuurt;201510;210;212;2067.20;9.8
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201611;233;244;2022.00;8.7
Krommenie;Krommenie Oost;Rosariumbuurt;201604;173;174;1257.70;7.3
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201612;47;47;357.90;7.6
Zaandam;Kogerveldwijk;Kogerveld;201709;99;100;459.20;4.6
Assendelft;Assendelft-Noord;Waterrijk;201507;61;63;545.50;8.9
Westknollendam;Wormerveer;Industriebuurt;201501;2;2;24.00;12.0
Zaandam;Zaandam Noord;Kalf;201704;229;232;1956.00;8.5
Assendelft;Assendelft-Noord;Waterrijk;201707;63;65;653.20;10.4
Zaandam;Rosmolenwijk;Rosmolenbuurt;201705;461;468;3017.90;6.5
Wormerveer;Wormerveer;Wormerveer Noord;201607;536;542;4575.30;8.5
Zaandam;Zaandam Noord;Kalf;201609;184;184;1615.30;8.8
Zaandam;Oude Haven;Russische buurt;201810;130;;1500.22;11.5
Zaandam;Zaandam West;Spoorbuurt;201608;38;43;542.70;14.3
Zaandam;Zaandam West;Spoorbuurt;201711;27;28;160.80;6.0
Krommenie;Krommenie Oost;Rosariumbuurt;201708;109;109;1086.30;10.0
Westzaan;Westzaan;Westzaan Zuid;201810;37;;288.70;7.8
Zaandam;Oude Haven;Het Eiland;201805;88;88;546.00;6.2
Zaandijk;Rooswijk;Rooswijk;201510;161;162;1146.20;7.1
Zaandijk;Rooswijk;Rooswijk Noord;201606;134;134;859.50;6.4
Krommenie;Krommenie Oost;Snuiverbuurt;201602;180;180;1609.00;8.9
Wormerveer;Wormerveer;Wormerveer Noord;201502;660;679;5430.20;8.2
Assendelft;Assendelft-Zuid;Centrum;201902;150;;1256.90;8.4
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201809;59;;440.10;7.5
Zaandam;Rosmolenwijk;Rosmolenbuurt;201703;472;478;2955.30;6.3
Westzaan;Westzaan;Westzaan Noord;201808;127;;1318.00;10.4
Krommenie;Krommenie West;Krommeniedijk;201709;2;2;13.50;6.8
Assendelft;Assendelft-Zuid;Centrum;201803;147;149;1645.82;11.2
Assendelft;Assendelft-Noord;Parkrijk;201611;121;121;1538.20;12.7
Zaandam;Zaandam Noord;Zaanse Schans;201512;7;7;35.80;5.1
Krommenie;Krommenie Oost;Rosariumbuurt;201806;186;189;2097.97;11.3
Zaandam;Zaandam Noord;Zaanse Schans;201501;9;9;57.10;6.3
Zaandam;Nieuw West;Westerspoor;201610;64;64;599.80;9.4
Zaandam;Kogerveldwijk;Kogerveld;201504;97;97;564.90;5.8
Zaandam;Zaandam Noord;Kalf;201803;189;189;1308.14;6.9
Wormerveer;Wormerveer;Wormerveer Noord;201507;496;513;4464.50;9.0
Zaandam;Oude Haven;Russische buurt;201505;139;141;1258.30;9.1
Zaandam;Oude Haven;Havenbuurt;201601;46;46;300.40;6.5
Krommenie;Krommenie West;Willis;201604;11;11;84.70;7.7
Assendelft;Assendelft-Noord;Waterrijk;201607;41;41;401.30;9.8
Krommenie;Krommenie West;Noorderham;201610;59;59;563.00;9.5
Wormerveer;Wormerveer;Wormerveer Noord;201707;412;419;3620.50;8.8
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201504;246;250;2591.70;10.5
Zaandijk;Oud Zaandijk;Oud Zaandijk;201509;125;127;872.00;7.0
Zaandam;Zaandam Noord;Kalf;201902;315;;2645.00;8.4
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201510;63;63;567.70;9.0
Krommenie;Krommenie Oost;Rosariumbuurt;201701;185;186;1387.80;7.5
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201809;179;;1009.84;5.6
Assendelft;Assendelft-Noord;Waterrijk;201901;115;;1174.00;10.2
Krommenie;Krommenie West;Noorderham;201607;48;48;477.90;10.0
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201702;174;175;1406.00;8.1
Zaandam;Zaandam Zuid;Bomenbuurt;201509;96;96;497.10;5.2
Westzaan;Westzaan;Westzaan Noord;201608;90;91;1021.00;11.3
Assendelft;Assendelft-Noord;Waterrijk;201610;93;93;978.50;10.5
Westzaan;Westzaan;Westzaan Noord;201711;148;148;1366.70;9.2
Krommenie;Krommenie West;Zuiderham;201602;146;148;1201.40;8.2
Zaandam;Zaandam West;Spoorbuurt;201808;42;;278.10;6.6
Zaandam;Zaandam Zuid;Achtersluispolder;201510;2;2;11.40;5.7
Krommenie;Krommenie West;Noorderham;201901;100;;1086.00;10.9
Wormerveer;Wormerveer;Wormerveer Zuid;201510;94;96;704.70;7.5
Zaandam;Kogerveldwijk;Kogerveld;201802;133;135;571.80;4.3
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201505;81;81;835.40;10.3
