LOCATIE;VINDPLAATSNUMMER;PERIODE_AARD;PROJECT;OBJECTID;X;Y;LONG;LAT
Rotterdamsebaan ;193;"ROMM, Nederzetting; MEL, Steenbouw en gracht";ROT10p, RBC14o, RBA14p, RBH15p, RHA18p;174;83997.0978999995;451879.287999999;4.352066038290949;52.05067179222167
Rotterdamsebaan ;194;"ROMM, Steenbouw, Nederzetting; MEL, Steenbouw en gracht";RBF15o, RBE15p, RBK16o, RBM18p, RHC18o;175;84316.2093999982;451910.4509;4.356711119846281;52.050992635541675
Rotterdamsebaan ;195;"ROMM, Nederzetting; MEL, NTV, Steenbouw en gracht";RBB15o, RBI15o, RBO15p, RHB18o, RHD18o;176;84181.3165999986;451840.458000002;4.354759349353219;52.05034639682426
De Rhijenhof 14/16 ;196;"ROM, Verkaveling; MEL, Huisplaats; NT, Boerderij De Rhijenhof";RHY05w, RHY14b, RHY16p, RHY17o, RHY20o;177;78673.2549000011;450345.324600002;4.274806923561025;52.03617875060025
Spui 24-28a*;197;MEL, NT, Steenbouw;SPU12o;178;81486.8966999985;454974.8633;4.314809883424092;52.078163862499395
Zuidwal 1 / Paviljoensgracht 139*;198;NT, Steenbouw;ZWL12p;179;81402.5322000012;454393.3592;4.3137048263904365;52.0729268055348
Pompstationsweg ;199;MEV, Akker, Weg;PSW09w;180;81173.0201000013;459382.786300004;4.309277030363416;52.11773493259218
Scheveningseweg (tolhuis) ;200;NTL, Tolhuis Scheveningseweg;SCH18a;181;80222.2919999994;456095.741099999;4.2961195434507315;52.088067544867116
Ockenburghstraat (tennispark) ;201;BRONSM, Nederzetting;OBS17p,  OBS18o;182;75346.0482000001;453164.884;4.225667792174967;52.0610489023263
Westduinpark (Natte pan);202;IJZL, Nederzetting;WEP11a;183;75849.5639999993;454375.074100003;4.232728187895659;52.071996580601336
