FID,type,categorie,geometrie
O10002_Speelomgeving_OD.65,Asfalt,speelondergrond,"MULTIPOLYGON (((175882.595 496372.846, 175897.198 496356.454, 175928.629 496384.4, 175914.011 496400.692, 175882.595 496372.846)))"
O10002_Speelomgeving_OD.66,Dekowood,speelondergrond,"MULTIPOLYGON (((177636.817 503652.783, 177636.217 503652.758, 177635.837 503652.71, 177635.433 503652.632, 177634.779 503652.442, 177634.24 503652.221, 177633.77 503651.975, 177633.304 503651.674, 177632.817 503651.286, 177632.429 503650.91, 177632.085 503650.511, 177631.751 503650.041, 177631.491 503649.596, 177631.218 503648.998, 177631.041 503648.474, 177630.891 503647.812, 177630.815 503647.108, 177630.825 503646.383, 177630.898 503645.797, 177631.033 503645.208, 177631.244 503644.59, 177631.513 503644.016, 177631.761 503643.595, 177632.09 503643.136, 177632.457 503642.713, 177632.779 503642.401, 177633.259 503642.011, 177633.705 503641.716, 177634.202 503641.45, 177634.599 503641.278, 177635.211 503641.076, 177635.737 503640.959, 177636.418 503640.88, 177637.001 503640.875, 177637.768 503640.955, 177638.394 503641.097, 177638.967 503641.292, 177639.545 503641.558, 177640.064 503641.867, 177640.525 503642.206, 177640.944 503642.581, 177641.441 503643.136, 177641.793 503643.631, 177642.153 503644.285, 177642.436 503645.003, 177642.607 503645.662, 177642.707 503646.402, 177642.712 503647.183, 177642.621 503647.92, 177642.456 503648.588, 177642.291 503649.053, 177641.939 503649.779, 177641.479 503650.469, 177641.017 503650.999, 177640.47 503651.491, 177639.913 503651.884, 177639.488 503652.125, 177638.957 503652.365, 177638.451 503652.54, 177637.956 503652.663, 177637.349 503652.754, 177636.817 503652.783)))"
O10002_Speelomgeving_OD.67,Kunstgras,speelondergrond,"MULTIPOLYGON (((174955.986 505654.575, 174956.73 505650.97, 174958.761 505651.43, 174958.016 505655.023, 174955.986 505654.575)))"
O10002_Speelomgeving_OD.69,Dekowood,speelondergrond,"MULTIPOLYGON (((172358.407 508422.536, 172355.605 508418.335, 172362.318 508413.707, 172365.159 508417.888, 172358.407 508422.536)))"
O10002_Speelomgeving_OD.70,Dekowood,speelondergrond,"MULTIPOLYGON (((172165.787 508535.795, 172164.613 508535.658, 172163.865 508535.418, 172163.098 508535.027, 172162.226 508534.342, 172161.67 508533.697, 172161.199 508532.909, 172160.877 508532.044, 172160.725 508531.232, 172160.715 508530.296, 172160.893 508529.31, 172161.219 508528.463, 172161.897 508527.424, 172162.672 508526.682, 172163.355 508526.236, 172164.132 508525.894, 172164.985 508525.681, 172165.787 508525.617, 172166.477 508525.664, 172167.212 508525.821, 172167.876 508526.066, 172168.478 508526.387, 172169.035 508526.788, 172169.645 508527.387, 172170.126 508528.047, 172170.563 508528.95, 172170.829 508530.014, 172170.858 508531.134, 172170.674 508532.126, 172170.296 508533.065, 172169.909 508533.69, 172169.42 508534.27, 172168.863 508534.76, 172168.095 508535.242, 172167.161 508535.606, 172166.599 508535.73, 172165.787 508535.795)))"
O10002_Speelomgeving_OD.71,Zand,speelondergrond,"MULTIPOLYGON (((175344 505559, 175343.683 505560.735, 175342.325 505562.591, 175340.806 505563.829, 175339.188 505564.468, 175337.809 505564.748, 175336.5 505564.59, 175335.216 505564.441, 175334 505564, 175332.918 505563.292, 175332.028 505562.354, 175330.757 505560.395, 175330.916 505557.4, 175331.875 505555.563, 175332.854 505554.725, 175333.873 505554.106, 175334.912 505553.766, 175336.051 505553.527, 175337.35 505553.347, 175338.149 505553.487, 175339.863 505554.094, 175341.514 505555.486, 175343.484 505557.22, 175344 505559)))"
O10002_Speelomgeving_OD.72,Tegels,speelondergrond,"MULTIPOLYGON (((171440.159 509433.245, 171441.33 509433.564, 171463.782 509439.671, 171462.585 509443.901, 171463.836 509444.267, 171463.115 509447.186, 171461.743 509446.861, 171460.638 509451.095, 171437.158 509444.383, 171438.404 509439.98, 171437.305 509439.678, 171437.93 509437.127, 171439.151 509437.466, 171440.159 509433.245)))"
O10002_Speelomgeving_OD.73,Dekowood,speelondergrond,"MULTIPOLYGON (((172167.505 508540.2, 172167.471 508539.435, 172167.571 508538.664, 172167.845 508537.868, 172168.317 508537.135, 172169.051 508536.587, 172169.997 508536.314, 172171.055 508536.277, 172172.1 508536.538, 172172.884 508537.06, 172173.456 508537.905, 172173.767 508538.676, 172173.767 508539.509, 172173.518 508540.554, 172173.157 508541.312, 172172.585 508541.947, 172171.764 508542.369, 172170.831 508542.519, 172170.171 508542.456, 172169.325 508542.22, 172168.591 508541.698, 172167.969 508541.057, 172167.505 508540.2)))"
O10002_Speelomgeving_OD.74,Parelgrind,speelondergrond,"MULTIPOLYGON (((175436.788 505256.841, 175437.211 505257.316, 175437.575 505257.838, 175437.876 505258.399, 175438.11 505258.991, 175438.272 505259.606, 175438.361 505260.236, 175438.376 505260.873, 175438.317 505261.506, 175438.183 505262.128, 175437.978 505262.731, 175437.704 505263.305, 175437.364 505263.843, 175436.964 505264.338, 175436.509 505264.783, 175436.005 505265.171, 175435.459 505265.498, 175434.878 505265.758, 175434.271 505265.949, 175433.646 505266.067, 175433.011 505266.112, 175432.386 505266.083, 175431.769 505265.982, 175431.167 505265.811, 175430.589 505265.572, 175430.042 505265.268, 175429.534 505264.903, 175429.071 505264.482, 175428.659 505264.01, 175428.305 505263.495, 175428.012 505262.942, 175427.785 505262.359, 175427.626 505261.754, 175427.538 505261.134, 175427.522 505260.509, 175427.579 505259.881, 175427.708 505259.264, 175427.908 505258.666, 175428.175 505258.095, 175428.508 505257.559, 175428.9 505257.065, 175429.346 505256.619, 175429.842 505256.229, 175430.379 505255.899, 175430.951 505255.633, 175431.55 505255.435, 175432.167 505255.308, 175432.796 505255.254, 175433.426 505255.273, 175434.05 505255.365, 175434.659 505255.528, 175435.245 505255.761, 175435.8 505256.06, 175436.317 505256.422, 175436.788 505256.841)))"
O10002_Speelomgeving_OD.75,Tegels,speelondergrond,"MULTIPOLYGON (((175430.053 505292.303, 175429.529 505292.249, 175429.019 505292.116, 175428.535 505291.908, 175428.087 505291.63, 175427.686 505291.287, 175427.342 505290.889, 175427.061 505290.443, 175426.851 505289.959, 175426.716 505289.45, 175426.658 505288.926, 175426.681 505288.4, 175426.782 505287.883, 175426.959 505287.387, 175427.21 505286.923, 175427.527 505286.502, 175427.891 505286.145, 175428.303 505285.845, 175428.754 505285.608, 175429.235 505285.439, 175429.736 505285.342, 175430.245 505285.319, 175430.752 505285.37, 175431.247 505285.494, 175431.718 505285.689, 175432.155 505285.951, 175432.55 505286.273, 175432.894 505286.649, 175433.179 505287.072, 175433.4 505287.531, 175433.552 505288.018, 175433.629 505288.502, 175433.638 505288.993, 175433.578 505289.48, 175433.45 505289.954, 175433.258 505290.405, 175433.004 505290.825, 175432.693 505291.205, 175432.333 505291.537, 175431.929 505291.816, 175431.491 505292.036, 175431.026 505292.192, 175430.543 505292.282, 175430.053 505292.303)))"
O10002_Speelomgeving_OD.76,Kunstgras,speelondergrond,"MULTIPOLYGON (((175446.077 505191.706, 175447.778 505187.394, 175449.424 505183.061, 175451.015 505178.708, 175452.551 505174.335, 175454.032 505169.943, 175455.458 505165.533, 175457.075 505166.069, 175455.481 505170.393, 175453.953 505174.742, 175452.491 505179.112, 175451.095 505183.505, 175449.766 505187.917, 175448.503 505192.35, 175446.477 505194.584, 175446.077 505191.706)))"
O10002_Speelomgeving_OD.77,,speelondergrond,"MULTIPOLYGON (((175002.093 505393.192, 175002.146 505393.449, 175002.13 505393.711, 175002.045 505393.96, 175001.898 505394.178, 175001.7 505394.35, 175001.463 505394.463, 175001.204 505394.51, 175000.943 505394.488, 175000.696 505394.398, 175000.481 505394.247, 175000.314 505394.044, 175000.206 505393.805, 175000.159 505393.533, 175000.189 505393.258, 175000.293 505393.002, 175000.463 505392.784, 175000.686 505392.621, 175000.945 505392.525, 175001.22 505392.504, 175001.491 505392.559, 175001.736 505392.686, 175001.937 505392.876, 175002.079 505393.113, 175002.093 505393.192)))"
O10002_Speelomgeving_OD.78,Drainbeton,speelondergrond,"MULTIPOLYGON (((175307.522 506019.987, 175327.05 506010.35, 175328.571 506013.258, 175329.397 506012.854, 175330.958 506016.004, 175330.117 506016.421, 175331.547 506019.417, 175311.959 506029.127, 175310.386 506026.063, 175309.576 506026.449, 175308.043 506023.362, 175308.916 506023.032, 175307.522 506019.987)))"
O10002_Speelomgeving_OD.79,Kunstgras,speelondergrond,"MULTIPOLYGON (((176141.038 495797.754, 176139.876 495792.279, 176129.509 495768.925, 176130.476 495768.549, 176140.789 495791.796, 176144.65 495797.189, 176144.979 495797.648, 176144.281 495800.708, 176141.38 495799.366, 176141.038 495797.754)))"
O10002_Speelomgeving_OD.80,Kunstgras,speelondergrond,"MULTIPOLYGON (((176132.063 503306.666, 176127.474 503305.961, 176128.226 503301.531, 176131.749 503301.843, 176132.808 503302.786, 176132.063 503306.666)))"
O10002_Speelomgeving_OD.81,Gras,speelondergrond,"MULTIPOLYGON (((176163.382 503306.633, 176163.149 503306.62, 176160.077 503308.098, 176159.726 503308.286, 176159.261 503308.494, 176158.684 503308.694, 176158.206 503308.815, 176157.737 503308.897, 176157.153 503308.95, 176156.633 503308.952, 176155.973 503308.894, 176155.552 503308.821, 176155.042 503308.692, 176154.255 503308.403, 176153.845 503308.203, 176153.003 503307.669, 176152.631 503307.367, 176152.108 503306.855, 176151.804 503306.496, 176151.356 503305.849, 176150.999 503305.17, 176151.27 503303.57, 176151.484 503303.183, 176151.647 503302.927, 176151.912 503302.564, 176152.07 503302.373, 176152.371 503302.048, 176152.56 503301.868, 176152.917 503301.567, 176153.491 503301.172, 176154.132 503300.837, 176154.414 503300.72, 176154.976 503300.535, 176155.393 503300.436, 176156.007 503300.348, 176156.53 503300.324, 176157.026 503300.344, 176157.707 503300.44, 176158.269 503300.583, 176158.824 503300.784, 176159.47 503301.102, 176159.826 503301.323, 176160.253 503301.638, 176160.483 503301.835, 176160.838 503302.181, 176161.009 503302.37, 176163.409 503303.16, 176167.309 503303.23, 176167.117 503306.84, 176163.382 503306.633)))"
O10002_Speelomgeving_OD.82,Rubber tegels,speelondergrond,"MULTIPOLYGON (((178021.802 503776.043, 178016.335 503776.589, 178016.041 503773.491, 178021.508 503773.025, 178021.802 503776.043)))"
O10002_Speelomgeving_OD.83,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177745.007 504278.441, 177746.035 504288.363, 177739.657 504288.903, 177738.654 504279.032, 177745.007 504278.441)))"
O10002_Speelomgeving_OD.84,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177758.64 504288.262, 177758.357 504285.331, 177762.858 504284.997, 177763.038 504287.825, 177758.64 504288.262)))"
O10002_Speelomgeving_OD.85,Rubber tegels,speelondergrond,"MULTIPOLYGON (((178001.267 503775.62, 177994.319 503769.977, 177998.119 503765.383, 178005.049 503771.026, 178001.267 503775.62)))"
O10002_Speelomgeving_OD.86,Dekowood,speelondergrond,"MULTIPOLYGON (((175860.149 496134.46, 175858.659 496136.13, 175853.079 496142.44, 175843.939 496134.27, 175842.789 496133.25, 175839.813 496130.621, 175844.306 496125.623, 175838.824 496120.745, 175845.059 496113.64, 175851.759 496119.64, 175852.939 496120.68, 175859.009 496126.07, 175859.989 496126.96, 175863.839 496130.33, 175860.149 496134.46)))"
O10002_Speelomgeving_OD.87,Kunstgras,speelondergrond,"MULTIPOLYGON (((175278.434 504748.185, 175278.817 504743.92, 175287.112 504744.666, 175286.699 504749.038, 175278.434 504748.185)))"
O10002_Speelomgeving_OD.88,Zand,speelondergrond,"MULTIPOLYGON (((171919.307 509211.206, 171924.914 509215.049, 171920.617 509221.566, 171915.004 509217.727, 171919.307 509211.206)))"
O10002_Speelomgeving_OD.89,Zand,speelondergrond,"MULTIPOLYGON (((171867.255 509201.027, 171866.582 509200.9, 171866.138 509200.72, 171865.588 509200.359, 171865.254 509200.033, 171865.007 509199.704, 171864.736 509199.174, 171864.61 509198.764, 171864.548 509198.357, 171864.543 509197.94, 171864.616 509197.447, 171864.752 509197.021, 171864.87 509196.767, 171865.051 509196.466, 171865.475 509195.977, 171866.058 509195.559, 171866.497 509195.366, 171867.006 509195.239, 171867.413 509195.206, 171867.827 509195.23, 171868.263 509195.322, 171868.626 509195.454, 171869.045 509195.681, 171869.324 509195.888, 171869.604 509196.157, 171869.868 509196.493, 171870.063 509196.828, 171870.205 509197.167, 171870.318 509197.598, 171870.364 509198.189, 171870.308 509198.692, 171870.182 509199.135, 171869.794 509199.852, 171869.512 509200.179, 171869.111 509200.514, 171868.599 509200.798, 171868.014 509200.978, 171867.255 509201.027)))"
O10002_Speelomgeving_OD.90,Tegels,speelondergrond,"MULTIPOLYGON (((175669.52 496558.541, 175669.475 496558.493, 175669.401 496558.385, 175669.316 496558.235, 175669.249 496558.111, 175669.19 496557.954, 175669.153 496557.84, 175669.117 496557.688, 175669.092 496557.507, 175669.086 496557.346, 175669.09 496557.21, 175669.106 496557.045, 175669.139 496556.881, 175669.178 496556.734, 175669.22 496556.626, 175669.271 496556.504, 175669.35 496556.356, 175669.434 496556.224, 175669.525 496556.108, 175669.678 496555.941, 175669.816 496555.823, 175669.952 496555.725, 175670.085 496555.648, 175670.201 496555.591, 175670.302 496555.546, 175670.443 496555.5, 175670.561 496555.465, 175670.693 496555.439, 175670.849 496555.422, 175670.965 496555.416, 175671.126 496555.42, 175671.264 496555.437, 175671.4 496555.461, 175671.52 496555.496, 175671.645 496555.542, 175671.787 496555.601, 175671.909 496555.666, 175672.009 496555.729, 175672.131 496555.817, 175672.273 496555.941, 175672.373 496556.051, 175672.472 496556.173, 175672.545 496556.276, 175672.645 496556.453, 175672.71 496556.596, 175672.757 496556.728, 175672.785 496556.822, 175672.818 496556.98, 175672.844 496557.175, 175672.848 496557.32, 175672.846 496557.379, 175672.834 496557.531, 175672.81 496557.676, 175672.775 496557.816, 175672.718 496557.977, 175672.663 496558.107, 175672.596 496558.233, 175672.515 496558.363, 175672.462 496558.442, 175672.377 496558.546, 175672.289 496558.64, 175672.194 496558.731, 175672.084 496558.817, 175671.946 496558.91, 175671.828 496558.975, 175671.681 496559.046, 175671.537 496559.101, 175671.403 496559.138, 175671.256 496559.168, 175671.144 496559.183, 175671.004 496559.191, 175670.892 496559.195, 175670.737 496559.179, 175670.593 496559.162, 175670.479 496559.134, 175670.331 496559.089, 175670.203 496559.042, 175670.083 496558.981, 175669.928 496558.894, 175669.816 496558.819, 175669.682 496558.711, 175669.52 496558.541)))"
O10002_Speelomgeving_OD.91,Kunstgras,speelondergrond,"MULTIPOLYGON (((177756.384 502755.794, 177756.209 502755.866, 177759.786 502764.151, 177729.46 502777.095, 177725.897 502768.843, 177725.755 502768.903, 177724.898 502769.269, 177723.327 502765.589, 177724.169 502765.23, 177724.31 502765.169, 177720.743 502756.908, 177751.063 502743.95, 177754.631 502752.212, 177754.812 502752.134, 177755.641 502751.778, 177757.224 502755.43, 177756.384 502755.794)))"
O10002_Speelomgeving_OD.92,Tegels,speelondergrond,"MULTIPOLYGON (((177798.398 503128.395, 177802.358 503122.564, 177810.49 503128.218, 177806.542 503133.895, 177798.398 503128.395)))"
O10002_Speelomgeving_OD.93,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177949.346 504398.513, 177953.561 504397.722, 177954.49 504401.962, 177950.25 504402.902, 177949.346 504398.513)))"
O10002_Speelomgeving_OD.94,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177932.692 504408.338, 177931.321 504401.202, 177934.765 504400.532, 177936.301 504407.597, 177932.692 504408.338)))"
O10002_Speelomgeving_OD.95,Zand,speelondergrond,"MULTIPOLYGON (((176621.832 503177.652, 176620.728 503175.031, 176621.556 503172.825, 176622.292 503172.549, 176624.247 503173.445, 176625.236 503176.158, 176624.592 503178.181, 176623.764 503178.48, 176621.832 503177.652)))"
O10002_Speelomgeving_OD.96,Zand,speelondergrond,"MULTIPOLYGON (((176607.602 503143.094, 176606.518 503140.376, 176607.233 503138.44, 176607.948 503138.118, 176610.023 503139.062, 176611.083 503141.735, 176610.369 503143.785, 176609.631 503144.039, 176607.602 503143.094)))"
O10002_Speelomgeving_OD.97,Asfalt,speelondergrond,"MULTIPOLYGON (((176482.577 503094.33, 176480.56 503089.899, 176472.524 503093.186, 176469.742 503086.452, 176468.041 503082.231, 176466.889 503079.545, 176464.17 503073.001, 176462.661 503069.245, 176461.023 503064.917, 176460.285 503062.898, 176467.613 503059.86, 176464.576 503052.586, 176472.313 503049.347, 176487.682 503086.64, 176482.841 503088.715, 176484.785 503093.439, 176482.577 503094.33)))"
O10002_Speelomgeving_OD.98,,speellocatie,"MULTIPOLYGON (((175280.541 496537.521, 175311.573 496522.268, 175332.612 496542.781, 175348.917 496571.183, 175327.352 496581.703, 175287.905 496550.671, 175280.541 496537.521)))"
O10002_Speelomgeving_OD.99,,speellocatie,"MULTIPOLYGON (((177427.305 503850.956, 177442.716 503849.262, 177445.425 503879.745, 177463.037 503878.051, 177464.561 503889.567, 177431.539 503892.954, 177427.305 503850.956)))"
O10002_Speelomgeving_OD.100,,speellocatie,"MULTIPOLYGON (((175606.781 496282.917, 175660.695 496221.113, 175689.625 496244.125, 175635.711 496306.587, 175606.781 496282.917)))"
O10002_Speelomgeving_OD.101,,speellocatie,"MULTIPOLYGON (((175766.355 505228.843, 175760.789 505188.114, 175773.691 505189.126, 175788.111 505191.403, 175825.298 505201.269, 175837.188 505232.891, 175832.634 505235.168, 175801.012 505238.457, 175802.619 505259.32, 175808.671 505336.778, 175778.497 505341.418, 175766.355 505228.843)))"
O10002_Speelomgeving_OD.102,,speellocatie,"MULTIPOLYGON (((172025.813 508337.511, 172068.509 508313.306, 172124.989 508275.989, 172162.978 508245.732, 172171.046 508257.498, 172127.342 508282.376, 172122.299 508285.402, 172077.922 508314.987, 172071.534 508318.349, 172034.554 508349.614, 172025.813 508337.511)))"
O10002_Speelomgeving_OD.103,,speellocatie,"MULTIPOLYGON (((172046.352 508267.055, 172041.021 508259.264, 172084.624 508229.466, 172090.502 508237.531, 172046.352 508267.055)))"
O10002_Speelomgeving_OD.104,,speellocatie,"MULTIPOLYGON (((176051.361 495828.865, 176101.755 495776.988, 176092.862 495753.768, 176098.791 495744.38, 176115.589 495729.559, 176152.15 495818.489, 176145.727 495828.371, 176126.953 495826.394, 176117.565 495801.691, 176078.041 495820.466, 176061.243 495839.734, 176051.361 495828.865)))"
O10002_Speelomgeving_OD.105,,speellocatie,"MULTIPOLYGON (((177142.522 505740.992, 177125.553 505702.919, 177140.129 505699.221, 177154.488 505735.77, 177142.522 505740.992)))"
O10002_Speelomgeving_OD.106,,speellocatie,"MULTIPOLYGON (((177687.759 503458.882, 177715.339 503456.828, 177716.806 503487.049, 177691.866 503489.983, 177687.759 503458.882)))"
O10002_Speelomgeving_OD.107,,speellocatie,"MULTIPOLYGON (((175694.591 496626.389, 175708.317 496615.682, 175714.219 496603.054, 175705.983 496595.231, 175721.219 496569.426, 175734.121 496577.524, 175749.906 496558.857, 175755.946 496561.327, 175737.965 496582.603, 175761.711 496605.113, 175720.395 496650.409, 175694.591 496626.389)))"
O10002_Speelomgeving_OD.108,,speellocatie,"MULTIPOLYGON (((175628.351 496556.873, 175663.232 496514.361, 175695.933 496541.067, 175673.042 496567.773, 175656.146 496552.513, 175639.796 496566.138, 175628.351 496556.873)))"
O10002_Speelomgeving_OD.109,,speellocatie,"MULTIPOLYGON (((177938.458 503716.15, 177844.746 503680.499, 177863.421 503632.965, 177911.974 503645.188, 177918.425 503624.476, 177958.49 503631.946, 177945.248 503657.411, 177946.267 503670.313, 177993.123 503673.369, 177994.82 503717.509, 177966.639 503719.206, 177964.602 503712.755, 177938.458 503716.15)))"
O10002_Speelomgeving_OD.110,,speellocatie,"MULTIPOLYGON (((178004.313 503822.504, 177947.488 503828.024, 177935.474 503738.404, 177974.115 503734.507, 177977.687 503750.743, 178026.718 503745.548, 178029.315 503775.746, 177977.362 503781.915, 177978.011 503803.671, 177992.298 503801.722, 177991.649 503794.579, 177999.117 503793.605, 177999.442 503800.099, 178004.313 503822.504)))"
O10002_Speelomgeving_OD.111,,speellocatie,"MULTIPOLYGON (((176213.357 496302.404, 176246.603 496257.854, 176265.221 496266.498, 176303.786 496320.357, 176280.514 496345.624, 176213.357 496302.404)))"
O10002_Speelomgeving_OD.112,,speellocatie,"MULTIPOLYGON (((177919.681 504419.187, 177905.462 504369.758, 177881.763 504274.623, 177874.992 504199.125, 177886.841 504210.974, 177911.895 504230.949, 178028.358 504221.47, 178036.145 504278.009, 178057.136 504332.855, 178067.631 504377.545, 178074.741 504417.494, 177992.133 504430.698, 177989.763 504424.604, 177987.393 504410.385, 177996.195 504408.353, 177991.794 504394.134, 177985.023 504382.623, 177980.283 504357.231, 177963.355 504359.94, 177968.434 504387.701, 177973.851 504401.582, 177957.6 504413.432, 177952.521 504404.291, 177937.963 504407.338, 177938.641 504416.479, 177919.681 504419.187)))"
O10002_Speelomgeving_OD.113,,speellocatie,"MULTIPOLYGON (((177736.543 504304.962, 177733.766 504254.005, 177749.32 504252.475, 177751.615 504278.993, 177759.264 504278.228, 177759.264 504283.583, 177772.268 504282.308, 177768.188 504245.59, 177783.997 504245.08, 177785.527 504255.28, 177822.5 504251.71, 177823.52 504258.849, 177827.344 504258.849, 177828.109 504265.989, 177849.528 504264.459, 177848.763 504253.75, 177854.187 504254.291, 177854.187 504243.717, 177867.405 504241.954, 177870.93 504275.881, 177736.543 504304.962)))"
O10002_Speelomgeving_OD.114,,speellocatie,"MULTIPOLYGON (((177364.926 503696.077, 177342.942 503698.391, 177339.334 503662.045, 177340.083 503660.82, 177361.047 503658.71, 177364.926 503696.077)))"
O10002_Speelomgeving_OD.115,,speellocatie,"MULTIPOLYGON (((177427.055 503563.271, 177445.497 503562.094, 177446.282 503572.296, 177427.448 503574.65, 177427.055 503563.271)))"
O10002_Speelomgeving_OD.116,,speellocatie,"MULTIPOLYGON (((177732.232 503302.19, 177729.216 503310.26, 177683.733 503293.958, 177682.511 503296.811, 177660.095 503288.986, 177667.594 503269.26, 177687.646 503276.433, 177697.672 503272.52, 177711.447 503277.411, 177709.98 503281.65, 177736.308 503291.431, 177732.232 503302.19)))"
O10002_Speelomgeving_OD.117,,speellocatie,"MULTIPOLYGON (((176506.956 503127.935, 176513.164 503126.524, 176516.268 503131.886, 176524.734 503128.217, 176513.446 503091.25, 176524.17 503087.863, 176538.28 503122.573, 176513.164 503147.124, 176496.515 503134.426, 176475.35 503106.488, 176491.717 503101.691, 176506.956 503127.935)))"
O10002_Speelomgeving_OD.118,,speellocatie,"MULTIPOLYGON (((176474.441 503097.78, 176436.915 503011.521, 176456.774 503002.505, 176492.35 503090.47, 176474.441 503097.78)))"
O10002_Speelomgeving_OD.119,,speellocatie,"MULTIPOLYGON (((176300.587 503208.68, 176318.95 503149.917, 176352.616 503135.532, 176364.858 503161.547, 176374.652 503160.323, 176380.773 503175.932, 176300.587 503208.68)))"
O10002_Speelomgeving_OD.120,Overig,speelondergrond,"MULTIPOLYGON (((176655.082 504244.571, 176659.278 504230.859, 176658.869 504230.646, 176658.445 504230.168, 176658.041 504228.946, 176658.349 504227.587, 176658.616 504226.781, 176658.581 504225.304, 176659.034 504225.238, 176659.209 504225.767, 176659.648 504226.096, 176660.319 504226.196, 176661.702 504226.572, 176662.611 504227.739, 176662.815 504229.057, 176676.452 504233.131, 176677.093 504233.001, 176678.123 504232.671, 176679.993 504232.463, 176682.219 504232.853, 176683.562 504233.023, 176685.211 504233.25, 176686.912 504233.701, 176686.128 504243.099, 176685.443 504246.703, 176684.425 504249.739, 176681.449 504256.901, 176679.323 504259.928, 176676.917 504261.805, 176674.374 504262.179, 176665.038 504260.744, 176656.775 504257.368, 176651.416 504254.194, 176652.115 504250.84, 176652.523 504249.191, 176653.2 504246.427, 176653.734 504245.423, 176655.082 504244.571), (176660.184 504231.006, 176656.155 504244.303, 176656.317 504245.2, 176656.961 504246.048, 176657.828 504246.611, 176671.089 504250.617, 176672.019 504250.252, 176672.871 504249.588, 176676.934 504235.832, 176676.436 504234.959, 176676.258 504234.088, 176662.421 504230.006, 176661.715 504230.613, 176660.869 504230.911, 176660.184 504231.006)))"
O10002_Speelomgeving_OD.121,Rubber tegels,speelondergrond,"MULTIPOLYGON (((178007.234 503304.11, 178007.248 503303.31, 178007.313 503301.252, 178012.853 503301.363, 178013.009 503294.567, 178013.015 503294.3, 178014.012 503294.312, 178014.093 503292.314, 178024.718 503292.552, 178024.782 503292.553, 178024.582 503305.525, 178007.215 503305.144, 178007.234 503304.11)))"
O10002_Speelomgeving_OD.122,Kunstgras,speelondergrond,"MULTIPOLYGON (((177368.417 502752.407, 177368.305 502752.405, 177368.146 502752.398, 177367.877 502752.371, 177367.566 502752.318, 177367.263 502752.242, 177366.945 502752.135, 177366.597 502751.982, 177366.342 502751.845, 177366.114 502751.702, 177365.874 502751.526, 177365.5 502751.193, 177365.151 502750.794, 177364.933 502750.48, 177364.714 502750.084, 177364.57 502749.749, 177364.447 502749.368, 177364.356 502748.947, 177364.31 502748.515, 177364.31 502748.076, 177364.37 502747.56, 177364.458 502747.178, 177364.558 502746.871, 177364.68 502746.575, 177364.857 502746.234, 177365.014 502745.983, 177365.213 502745.715, 177365.473 502745.422, 177365.686 502745.219, 177365.932 502745.016, 177366.23 502744.811, 177366.769 502744.525, 177367.217 502744.36, 177367.601 502744.263, 177367.953 502744.207, 177368.417 502744.181, 177368.786 502744.198, 177369.171 502744.251, 177369.569 502744.346, 177370.042 502744.516, 177370.415 502744.699, 177370.822 502744.957, 177371.188 502745.255, 177371.472 502745.54, 177371.774 502745.918, 177371.999 502746.273, 177372.161 502746.592, 177372.271 502746.857, 177372.346 502747.079, 177372.436 502747.418, 177372.489 502747.711, 177372.522 502748.032, 177372.529 502748.388, 177372.5 502748.792, 177372.449 502749.107, 177372.337 502749.539, 177372.235 502749.822, 177372.053 502750.216, 177371.867 502750.533, 177371.632 502750.86, 177371.419 502751.105, 177371.169 502751.35, 177370.898 502751.574, 177370.602 502751.779, 177370.375 502751.911, 177370.043 502752.072, 177369.785 502752.173, 177369.464 502752.272, 177369.168 502752.338, 177368.706 502752.397, 177368.417 502752.407)))"
O10002_Speelomgeving_OD.123,Dekowood,speelondergrond,"MULTIPOLYGON (((178006.751 502849.426, 178011.025 502839.359, 178024.123 502844.534, 178022.283 502849.413, 178021.513 502849.083, 178016.017 502851.358, 178015.386 502852.932, 178006.751 502849.426)))"
O10002_Speelomgeving_OD.124,Beton,speelondergrond,"MULTIPOLYGON (((172308.781 509348.922, 172309.43 509347.905, 172310.389 509348.503, 172309.758 509349.523, 172308.781 509348.922)))"
O10002_Speelomgeving_OD.125,Beton,speelondergrond,"MULTIPOLYGON (((172264.698 509320.651, 172264.664 509320.597, 172266.132 509319.659, 172266.181 509319.734, 172266.549 509320.3, 172265.074 509321.256, 172264.698 509320.651)))"
O10002_Speelomgeving_OD.126,Zand,speelondergrond,"MULTIPOLYGON (((178015.564 502865.011, 178014.378 502867.837, 178011.57 502868.84, 178008.601 502867.675, 178000.511 502864.292, 178003.226 502857.703, 178004.18 502858.203, 178005.072 502858.705, 178005.943 502859.218, 178006.762 502859.756, 178007.553 502860.391, 178008.334 502861.029, 178009.047 502861.739, 178009.842 502862.368, 178010.718 502862.895, 178011.615 502863.375, 178012.546 502863.776, 178014.375 502864.536, 178015.564 502865.011)))"
O10002_Speelomgeving_OD.127,Rubber tegels,speelondergrond,"MULTIPOLYGON (((172124.584 509230.579, 172126.371 509229.522, 172125.338 509227.603, 172133.264 509222.502, 172136.28 509222.46, 172139.292 509227.095, 172133.758 509230.714, 172134.294 509231.528, 172127.859 509235.663, 172124.584 509230.579)))"
