FID,naam_laagdefinitie,geometrie
O10002_Open_Strooiroutes.249,Wegen,"MULTILINESTRING ((177667.202 505116.641, 177661.801 505112.101, 177659.016 505105.619, 177658.182 505098.85, 177659.009 505092.673, 177662.233 505087.34, 177667.319 505083.738, 177670.824 505083.008, 177673.42 505082.467, 177680.361 505084.135, 177685.787 505088.775, 177688.513 505095.373, 177689.283 505101.629, 177688.541 505107.88, 177685.341 505113.302, 177680.227 505116.973, 177677.333 505117.582, 177674.066 505118.27, 177667.202 505116.641))"
O10002_Open_Strooiroutes.250,Wegen,"MULTILINESTRING ((176167.724 503731.618, 176178.403 503734.375))"
O10002_Open_Strooiroutes.251,Wegen,"MULTILINESTRING ((178128.302 505438.971, 178157.091 505501.91, 178157.42 505502.873, 178157.822 505503.808, 178158.295 505504.709, 178158.835 505505.572, 178159.441 505506.39, 178160.108 505507.159, 178160.831 505507.874, 178161.608 505508.532, 178162.433 505509.127, 178163.302 505509.658, 178164.209 505510.12, 178165.148 505510.511, 178166.115 505510.828, 178167.104 505511.071, 178168.108 505511.236, 178169.122 505511.323, 178170.14 505511.333, 178171.155 505511.263, 178172.162 505511.116, 178173.155 505510.892, 178317.561 505471.613, 178318.788 505471.103, 178320.042 505470.663, 178321.319 505470.294, 178322.614 505469.998, 178323.925 505469.775, 178325.245 505469.627, 178326.572 505469.553, 178327.901 505469.554, 178329.228 505469.63, 178330.548 505469.781, 178331.858 505470.006, 178333.153 505470.304, 178334.429 505470.676, 178335.682 505471.118, 178336.909 505471.63, 178338.104 505472.211, 178397.037 505493.114, 178399.135 505493.448, 178401.242 505493.723, 178403.356 505493.937, 178405.475 505494.09, 178407.597 505494.183, 178409.722 505494.216, 178411.846 505494.188, 178585.428 505459.938, 178674.852 505442.626, 178675.859 505442.441, 178676.848 505442.18, 178677.816 505441.846, 178678.755 505441.439, 178679.661 505440.963, 178680.528 505440.419, 178681.352 505439.812, 178682.127 505439.144, 178682.85 505438.42, 178683.516 505437.643, 178684.122 505436.818, 178684.664 505435.949, 178685.138 505435.043, 178685.543 505434.103, 178685.876 505433.135, 178686.135 505432.145, 178686.318 505431.138, 178686.424 505430.12, 178686.454 505429.097, 178686.406 505428.074, 178686.281 505427.058, 178686.08 505426.055, 178654.768 505265.416, 178654.557 505264.297, 178654.272 505263.195, 178653.914 505262.114, 178653.484 505261.06, 178652.985 505260.037, 178652.419 505259.05, 178651.788 505258.102, 178651.094 505257.199, 178650.342 505256.344, 178649.535 505255.542, 178648.676 505254.795, 178647.768 505254.108, 178646.817 505253.482, 178645.826 505252.922, 178644.8 505252.429, 178643.743 505252.006, 178642.66 505251.654, 178641.556 505251.376, 178640.436 505251.172, 178639.305 505251.044, 178638.168 505250.991, 178637.03 505251.015, 178635.895 505251.115, 178634.771 505251.29, 178633.66 505251.54, 178486.533 505281.646))"
O10002_Open_Strooiroutes.252,Wegen,"MULTILINESTRING ((177996.694 505801.975, 177875.563 505588.966))"
O10002_Open_Strooiroutes.253,Wegen,"MULTILINESTRING ((177430.329 505839.41, 177507.944 505976.552, 177508.626 505977.353, 177509.363 505978.103, 177510.151 505978.801, 177510.986 505979.441, 177511.863 505980.021, 177512.779 505980.537, 177513.73 505980.989, 177514.709 505981.372, 177515.713 505981.686, 177516.737 505981.928, 177517.775 505982.098, 177518.822 505982.195, 177519.874 505982.218, 177520.925 505982.166, 177521.969 505982.042, 177523.002 505981.844, 177524.019 505981.574, 177673.234 505897.043, 177861.823 505790.018, 177958.599 505734.985))"
O10002_Open_Strooiroutes.256,Wegen,"MULTILINESTRING ((176482.581 497128.92, 176789.044 497347.401, 176789.895 497348.002, 176790.788 497348.54, 176791.718 497349.011, 176792.679 497349.414, 176793.667 497349.746, 176794.676 497350.005, 176795.702 497350.19, 176796.738 497350.301, 176797.78 497350.336, 176798.821 497350.295, 176799.857 497350.179, 176800.882 497349.988, 176801.89 497349.723, 176802.876 497349.386, 176803.835 497348.978, 176804.761 497348.501, 176805.651 497347.959, 176806.499 497347.353, 176807.301 497346.687, 176808.053 497345.965, 176808.75 497345.19, 176809.389 497344.367, 176889.283 497232.596, 176889.689 497231.597, 176890.024 497230.572, 176890.286 497229.526, 176890.475 497228.465, 176890.589 497227.392, 176890.627 497226.315, 176890.591 497225.237, 176890.479 497224.165, 176890.292 497223.103, 176890.031 497222.056, 176889.698 497221.031, 176889.294 497220.031, 176888.821 497219.062, 176888.281 497218.129, 176887.678 497217.235, 176887.013 497216.386, 176886.291 497215.585, 176885.514 497214.837, 176884.687 497214.145, 176883.814 497213.513, 176882.898 497212.943, 176881.945 497212.439, 176607.269 497016.114, 176807.318 496736.226, 176807.82 496735.374, 176808.255 496734.486, 176808.622 496733.568, 176808.917 496732.624, 176809.139 496731.661, 176809.286 496730.683, 176809.359 496729.697, 176809.356 496728.708, 176809.277 496727.722, 176809.124 496726.745, 176808.896 496725.783, 176808.595 496724.841, 176808.223 496723.925, 176807.782 496723.04, 176807.275 496722.191, 176806.705 496721.384, 176806.074 496720.622, 176699.923 496644.752, 176699.256 496644.107, 176698.539 496643.519, 176697.775 496642.992, 176696.97 496642.531, 176696.13 496642.137, 176695.26 496641.815, 176694.367 496641.565, 176693.456 496641.39, 176692.534 496641.292, 176691.606 496641.269, 176690.68 496641.324, 176689.762 496641.455, 176688.857 496641.661, 176687.973 496641.942, 176687.115 496642.295, 176686.289 496642.718, 176685.501 496643.207, 176684.756 496643.76, 176684.06 496644.373, 176683.416 496645.041, 176682.83 496645.76, 176682.305 496646.525, 176681.846 496647.331, 176482.168 496926.698, 176436.6 496894.013))"
O10002_Open_Strooiroutes.257,Wegen,"MULTILINESTRING ((176036.651 496832.589, 175979.178 496913.217, 175978.687 496914.148, 175978.263 496915.111, 175977.908 496916.101, 175977.623 496917.114, 175977.41 496918.145, 175977.271 496919.188, 175977.205 496920.238, 175977.213 496921.29, 175977.294 496922.34, 175977.45 496923.38, 175977.678 496924.408, 175977.979 496925.416, 175978.349 496926.401, 175978.787 496927.358, 175979.292 496928.281, 175979.861 496929.166, 175980.49 496930.01, 175981.177 496930.807, 175981.919 496931.553, 175982.711 496932.246, 176224.561 497105.762, 176240.391 497112.213, 176314.036 497008.763, 176330.839 496985.16))"
O10002_Open_Strooiroutes.258,Wegen,"MULTILINESTRING ((176240.391 497112.213, 176266.378 497155.076, 176386.209 497240.262, 176387.189 497240.718, 176388.201 497241.101, 176389.237 497241.409, 176390.294 497241.639, 176391.364 497241.792, 176392.443 497241.865, 176393.524 497241.859, 176394.602 497241.773, 176395.671 497241.609, 176396.724 497241.366, 176397.757 497241.047, 176398.764 497240.652, 176399.739 497240.185, 176400.678 497239.648, 176401.574 497239.042, 176402.423 497238.373, 176403.221 497237.643, 176403.963 497236.857, 176404.645 497236.018, 176482.581 497128.92, 176314.036 497008.763))"
O10002_Open_Strooiroutes.259,Wegen,"MULTILINESTRING ((175518.586 496218.485, 175479.919 496267.083, 175479.393 496267.76, 175478.932 496268.483, 175478.541 496269.246, 175478.222 496270.042, 175477.978 496270.864, 175477.811 496271.705, 175477.723 496272.558, 175477.715 496273.415, 175477.787 496274.27, 175477.937 496275.114, 175478.165 496275.94, 175478.469 496276.742, 175478.846 496277.512, 175479.293 496278.244, 175479.806 496278.931, 175480.38 496279.567, 175481.011 496280.148, 175664.651 496442.797))"
O10002_Open_Strooiroutes.260,Wegen,"MULTILINESTRING ((177179.799 504075.452, 177279.216 504064.352, 177280.79 504063.866, 177282.339 504063.307, 177283.86 504062.675, 177285.349 504061.972, 177286.804 504061.2, 177288.221 504060.361, 177289.597 504059.456, 177290.929 504058.487, 177292.214 504057.456, 177293.449 504056.366, 177294.631 504055.219, 177295.758 504054.018, 177296.827 504052.765, 177297.836 504051.464, 177298.783 504050.116, 177299.665 504048.725, 177300.481 504047.294, 177301.228 504045.827, 177301.906 504044.326, 177302.512 504042.794, 177303.046 504041.236, 177303.506 504039.654, 177303.89 504038.053, 177304.199 504036.435, 177304.432 504034.805, 177304.587 504033.165, 177304.666 504031.52, 177304.666 504029.873, 177304.59 504028.228, 177304.436 504026.588, 177304.205 504024.957, 177303.897 504023.339, 177282.524 503829.86, 177281.048 503762.501, 177267.188 503623.788, 177265.684 503600.307, 177267.939 503581.954, 177272.027 503564.698, 177280.034 503547.3, 177417.095 503343.63))"
O10002_Open_Strooiroutes.261,Wegen,"MULTILINESTRING ((177981.574 504099.189, 177982.259 504107.395, 177982.391 504108.284, 177982.596 504109.16, 177982.873 504110.016, 177983.218 504110.846, 177983.631 504111.644, 177984.109 504112.406, 177984.647 504113.127, 177985.243 504113.8, 177985.892 504114.422, 177986.59 504114.989, 177987.333 504115.496, 178019.953 504141.774, 178020.772 504142.391, 178021.635 504142.945, 178022.537 504143.434, 178023.473 504143.854, 178024.437 504144.204, 178025.425 504144.481, 178026.43 504144.684, 178027.448 504144.812, 178028.473 504144.863, 178029.498 504144.839, 178030.519 504144.738, 178055.704 504141.575, 178129.887 504126.715, 178134.896 504124.839, 178137.711 504121.866, 178138.494 504118.738, 178137.399 504112.638, 178135.052 504102, 178132.327 504083.222, 178123.742 503993.888))"
O10002_Open_Strooiroutes.262,Wegen,"MULTILINESTRING ((177574.775 503956.749, 177593.298 503955.02, 177594.233 503954.92, 177595.173 503954.899, 177596.112 503954.958, 177597.042 503955.095, 177597.958 503955.31, 177598.852 503955.601, 177599.719 503955.966, 177600.552 503956.403, 177601.345 503956.909, 177602.092 503957.479, 177602.789 503958.11, 177603.431 503958.798, 177604.012 503959.537, 177604.53 503960.323, 177604.979 503961.149, 177605.357 503962.01, 177605.662 503962.9, 177605.89 503963.812, 177620.102 504095.895, 177619.145 504100.789, 177617.229 504103.343, 177612.119 504105.578, 177594.979 504107.173, 177590.826 504109.301, 177586.357 504113.451, 177583.801 504118.345, 177582.736 504124.303, 177592.674 504226.781, 177595.356 504230.746, 177599.322 504233.318, 177604.255 504233.854, 177632.778 504230.961, 177636.318 504231.39, 177639.855 504233.318, 177642.428 504236.855, 177643.715 504240.82, 177649.502 504297.008, 177649.287 504301.1, 177644.696 504320.132, 177642.32 504324.343, 177638.108 504328.229, 177633.401 504330.595, 177589.168 504339.817, 177547.813 504354.13))"
O10002_Open_Strooiroutes.263,Wegen,"MULTILINESTRING ((171815.418 509152.121, 171643.365 509043.006, 171636.901 509034.068, 171805.547 508770.385))"
O10002_Open_Strooiroutes.264,Wegen,"MULTILINESTRING ((176305.609 505868.587, 176234.12 505909.291, 176233.316 505909.895, 176232.563 505910.562, 176231.865 505911.285, 176231.227 505912.062, 176230.652 505912.887, 176230.145 505913.756, 176229.707 505914.661, 176229.344 505915.599, 176229.055 505916.562, 176228.844 505917.545, 176228.712 505918.542, 176228.659 505919.546, 176228.686 505920.551, 176228.792 505921.551, 176228.977 505922.539, 176229.241 505923.51, 176229.58 505924.456, 176229.993 505925.373, 176230.478 505926.254, 176471.39 506283.892, 176472.209 506284.681, 176473.08 506285.412, 176473.999 506286.08, 176474.962 506286.684, 176475.965 506287.22, 176477.002 506287.686, 176478.069 506288.079, 176479.16 506288.397, 176480.271 506288.639, 176481.396 506288.804, 176482.53 506288.891, 176483.667 506288.9, 176484.801 506288.83, 176485.929 506288.682, 176487.043 506288.457, 176488.139 506288.155, 176489.212 506287.779, 176490.256 506287.329, 176757.5 506135.168))"
O10002_Open_Strooiroutes.265,Wegen,"MULTILINESTRING ((177330.302 504455.718, 177549.419 504432.731, 177565.247 504430.36))"
O10002_Open_Strooiroutes.266,Wegen,"MULTILINESTRING ((176686.96 503970.493, 176623.055 504177.177, 176622.9 504178.01, 176622.816 504178.853, 176622.804 504179.7, 176622.865 504180.545, 176622.997 504181.382, 176623.2 504182.205, 176623.472 504183.007, 176623.811 504183.784, 176624.215 504184.528, 176624.681 504185.236, 176625.206 504185.901, 176625.785 504186.52, 176626.415 504187.086, 176627.091 504187.598, 176627.808 504188.049, 176628.56 504188.438, 176629.343 504188.762, 176630.151 504189.018, 176685.807 504207.294, 176687.211 504207.666, 176688.632 504207.968, 176690.066 504208.2, 176691.51 504208.362, 176692.96 504208.452, 176694.412 504208.471, 176695.864 504208.419, 176697.311 504208.296, 176698.751 504208.102, 176700.179 504207.837, 176709.636 504207.118, 176710.893 504206.999, 176712.155 504206.954, 176713.418 504206.983, 176714.677 504207.087, 176715.927 504207.265, 176717.165 504207.517, 176718.386 504207.841, 176719.585 504208.236, 176720.759 504208.702, 176909.364 504268.252, 176910.573 504268.824, 176911.748 504269.464, 176912.884 504270.17, 176913.979 504270.939, 176915.028 504271.768, 176916.028 504272.656, 176916.977 504273.6, 176917.87 504274.596, 176918.705 504275.64, 176919.48 504276.731, 176920.191 504277.864, 176920.838 504279.035, 176921.416 504280.241, 176921.925 504281.478, 176922.363 504282.742, 176922.729 504284.029, 176923.021 504285.334, 176929.251 504347.664, 176929.648 504349.096, 176930.12 504350.505, 176930.666 504351.888, 176931.282 504353.24, 176931.969 504354.558, 176932.724 504355.838, 176933.545 504357.077, 176934.43 504358.272, 176935.376 504359.418, 176936.38 504360.513, 176937.441 504361.554, 176975.317 504395.784, 176976.292 504396.564, 176977.311 504397.284, 176978.372 504397.941, 176979.471 504398.533, 176980.603 504399.059, 176981.765 504399.515, 176982.953 504399.9, 176984.161 504400.213, 176985.386 504400.453, 176986.623 504400.618, 176987.868 504400.709, 176989.116 504400.725, 176990.363 504400.666, 177136.268 504386.256, 177137.884 504386.034, 177139.488 504385.74, 177141.078 504385.373, 177142.649 504384.934, 177144.198 504384.424, 177145.723 504383.845, 177147.22 504383.197, 177202.785 504360.489))"
O10002_Open_Strooiroutes.308,Wegen,"MULTILINESTRING ((176532.18 496751.642, 176514.12 496760.862, 176492.253 496769.483, 176472.698 496775.791, 176452.302 496780.838, 176436.953 496783.992, 176415.219 496786.42, 176372.426 496790.009))"
O10002_Open_Strooiroutes.309,Wegen,"MULTILINESTRING ((171553.925 507711.177, 171511.026 507635.791))"
O10002_Open_Strooiroutes.267,Wegen,"MULTILINESTRING ((177875.563 505588.966, 177876.549 505588.209, 177877.486 505587.391, 177878.369 505586.516, 177879.195 505585.586, 177879.96 505584.606, 177880.662 505583.58, 177881.297 505582.511, 177881.863 505581.404, 177882.359 505580.264, 177882.781 505579.094, 177883.128 505577.9, 177883.399 505576.687, 177883.593 505575.459, 177883.709 505574.221, 177883.746 505572.978, 177883.704 505571.735, 177883.584 505570.498, 177883.386 505569.27, 177883.11 505568.058, 177882.758 505566.865, 177882.332 505565.697))"
O10002_Open_Strooiroutes.268,Wegen,"MULTILINESTRING ((177748.601 505591.826, 177761.787 505614.76, 177762.363 505615.714, 177763.003 505616.626, 177763.702 505617.493, 177764.459 505618.311, 177765.269 505619.076, 177766.129 505619.784, 177767.035 505620.432, 177767.983 505621.018, 177768.968 505621.538, 177769.986 505621.991, 177771.032 505622.373, 177772.102 505622.684, 177773.191 505622.922, 177774.293 505623.086, 177775.403 505623.175, 177776.518 505623.188, 177777.63 505623.126, 177778.736 505622.989, 177779.83 505622.778, 177780.907 505622.493, 177781.962 505622.136, 177853.394 505582.647))"
O10002_Open_Strooiroutes.269,Wegen,"MULTILINESTRING ((176573.624 505716.857, 176568.033 505695.983, 176562.564 505675.324, 176551.323 505624.892, 176540.69 505577.498, 176532.263 505540.325, 176473.549 505563.827, 176398.509 505594.208, 176313.389 505631.016, 176312.362 505631.708, 176311.382 505632.465, 176310.452 505633.283, 176309.577 505634.159, 176308.759 505635.089, 176308.003 505636.07, 176307.312 505637.098, 176306.688 505638.167, 176306.134 505639.275, 176305.652 505640.416, 176305.244 505641.585, 176304.913 505642.778, 176304.658 505643.99, 176304.482 505645.216, 176304.385 505646.451, 176304.368 505647.689, 176304.429 505648.926, 176304.571 505650.156, 176304.79 505651.375, 176305.088 505652.577, 176324.684 505739.731, 176328.33 505747.022, 176375.432 505828.832))"
O10002_Open_Strooiroutes.270,Wegen,"MULTILINESTRING ((177120.392 505826.491, 177206.499 505976.843, 177206.706 505978.009, 177206.834 505979.186, 177206.884 505980.368, 177206.855 505981.552, 177206.746 505982.731, 177206.559 505983.9, 177206.294 505985.054, 177205.953 505986.188, 177205.537 505987.296, 177205.047 505988.374, 177204.487 505989.417, 177203.858 505990.42, 177203.164 505991.379, 177202.407 505992.289, 177201.591 505993.147, 177200.719 505993.948, 177199.796 505994.689, 177198.826 505995.367, 177197.812 505995.979, 176999.24 506109.046, 176974.039 506123.396, 176983.557 506140.113, 176983.86 506141.132, 176984.088 506142.171, 176984.239 506143.223, 176984.315 506144.284, 176984.312 506145.347, 176984.233 506146.407, 176984.077 506147.459, 176983.845 506148.497, 176983.539 506149.515, 176983.159 506150.508, 176982.708 506151.471, 176982.189 506152.399, 176981.603 506153.286, 176980.955 506154.129, 176980.247 506154.922, 176979.484 506155.662, 176978.669 506156.345, 176977.806 506156.966, 176976.901 506157.524, 176975.957 506158.014, 176901.632 506199.981))"
O10002_Open_Strooiroutes.271,Wegen,"MULTILINESTRING ((177299.579 504048.866, 177376.518 504039.485, 177469.984 504030.038, 177611.52 504016.137))"
O10002_Open_Strooiroutes.272,Wegen,"MULTILINESTRING ((177052.866 505682.503, 177026.133 505559.59, 177025.592 505558.661, 177024.985 505557.773, 177024.317 505556.931, 177023.59 505556.138, 177022.809 505555.4, 177021.976 505554.719, 177021.097 505554.1, 177020.176 505553.545, 177019.218 505553.058, 177018.227 505552.64, 177017.209 505552.294, 177016.169 505552.022, 177015.112 505551.825, 177014.043 505551.704, 177012.969 505551.66, 177011.894 505551.693, 177010.825 505551.803, 177009.766 505551.989, 177008.723 505552.25, 177007.701 505552.585, 177006.706 505552.992, 176755.246 505608.969))"
O10002_Open_Strooiroutes.273,Wegen,"MULTILINESTRING ((177688.513 505095.373, 177758.608 505079.469, 177739.77 504991.647, 177739.797 504990.579, 177739.9 504989.515, 177740.077 504988.461, 177740.329 504987.422, 177740.654 504986.404, 177741.051 504985.412, 177741.517 504984.45, 177742.049 504983.523, 177742.647 504982.637, 177743.305 504981.795, 177744.021 504981.002, 177744.792 504980.262, 177745.614 504979.578, 177746.482 504978.955, 177747.392 504978.394, 177748.339 504977.899, 177749.319 504977.473, 178398.153 504839.76))"
O10002_Open_Strooiroutes.274,Wegen,"MULTILINESTRING ((177982.36 505508.656, 177913.701 505388.255, 177913.039 505386.826, 177912.446 505385.367, 177911.922 505383.882, 177911.468 505382.374, 177911.087 505380.846, 177910.778 505379.302, 177910.542 505377.745, 177910.38 505376.178, 177910.293 505374.606, 177910.279 505373.031, 177910.34 505371.458, 177910.476 505369.889, 177910.685 505368.328, 177910.968 505366.779, 177911.323 505365.245, 177911.751 505363.729, 177912.25 505362.235, 177912.819 505360.767, 177913.456 505359.327, 177914.161 505357.918, 177914.931 505356.545, 177915.766 505355.21, 177916.663 505353.915, 177917.62 505352.664, 177918.634 505351.46, 177919.705 505350.305, 177928.245 505345.021, 177947.495 505334.585, 177981.29 505317.291, 178009.523 505307.153, 178045.884 505297.313, 178122.455 505284.194, 178197.761 505269.281, 178309.151 505247.221, 178310.706 505247.059, 178312.268 505246.975, 178313.832 505246.971, 178315.394 505247.047, 178316.95 505247.201, 178318.497 505247.434, 178320.029 505247.745, 178321.544 505248.134, 178323.037 505248.599, 178324.505 505249.139, 178325.944 505249.753, 178327.349 505250.439, 178328.718 505251.195, 178330.046 505252.02, 178331.332 505252.911, 178332.57 505253.867, 178333.758 505254.884, 178334.893 505255.959, 178335.972 505257.091, 178336.993 505258.276, 178337.952 505259.512, 178338.847 505260.794, 178339.675 505262.121, 178340.436 505263.487, 178341.126 505264.891, 178341.744 505266.327, 178342.289 505267.793, 178342.758 505269.285, 178350.484 505307.996))"
O10002_Open_Strooiroutes.275,Wegen,"MULTILINESTRING ((177758.608 505079.469, 177774.99 505157.091, 177775.168 505157.921, 177775.416 505158.732, 177775.733 505159.519, 177776.117 505160.276, 177776.565 505160.997, 177777.073 505161.677, 177777.638 505162.31, 177778.255 505162.892, 177778.92 505163.419, 177779.628 505163.887, 177780.373 505164.293, 177781.151 505164.632, 177781.955 505164.903, 177782.779 505165.104, 177783.618 505165.234, 177784.465 505165.29, 177785.313 505165.274, 177786.157 505165.184, 177907.152 505144.847))"
O10002_Open_Strooiroutes.276,Wegen,"MULTILINESTRING ((177860.163 505558.71, 177859.188 505559.314, 177858.254 505559.98, 177857.365 505560.705, 177856.524 505561.485, 177855.735 505562.317, 177855.001 505563.199, 177854.326 505564.126, 177853.711 505565.095, 177853.161 505566.101, 177852.676 505567.14, 177852.258 505568.209, 177851.911 505569.302, 177851.635 505570.415, 177851.43 505571.544, 177851.299 505572.684, 177851.241 505573.829, 177851.258 505574.976, 177851.348 505576.12, 177851.511 505577.255, 177851.747 505578.377, 177852.055 505579.482, 177852.433 505580.565, 177852.88 505581.622, 177853.394 505582.647, 177854.106 505583.597, 177854.879 505584.499, 177855.708 505585.349, 177856.591 505586.144, 177857.523 505586.879, 177858.502 505587.552, 177859.522 505588.16, 177860.579 505588.701, 177861.669 505589.172, 177862.788 505589.571, 177863.93 505589.897, 177865.091 505590.147, 177866.266 505590.322, 177867.449 505590.42, 177868.637 505590.441, 177869.823 505590.385, 177871.003 505590.252, 177872.172 505590.042, 177873.325 505589.757, 177874.457 505589.398, 177875.563 505588.966))"
O10002_Open_Strooiroutes.277,Wegen,"MULTILINESTRING ((178268.634 504205.724, 178269.76 504205.525, 178270.897 504205.399, 178272.039 504205.348, 178273.182 504205.37, 178274.322 504205.466, 178275.453 504205.636, 178276.57 504205.879, 178277.67 504206.193, 178278.747 504206.578, 178279.796 504207.032, 178280.814 504207.553, 178281.796 504208.139, 178282.739 504208.787, 178283.637 504209.494, 178284.488 504210.259, 178285.287 504211.076, 178286.032 504211.944, 178286.719 504212.858, 178287.345 504213.815))"
O10002_Open_Strooiroutes.278,Wegen,"MULTILINESTRING ((178289.917 504223.499, 178289.848 504224.647, 178289.704 504225.787, 178289.486 504226.916, 178289.195 504228.028, 178288.832 504229.119, 178288.399 504230.184, 178287.898 504231.218, 178287.33 504232.218, 178286.698 504233.179, 178286.006 504234.096, 178285.255 504234.966, 178284.449 504235.786, 178283.591 504236.551, 178282.685 504237.259, 178281.735 504237.907, 178280.745 504238.491))"
O10002_Open_Strooiroutes.279,Wegen,"MULTILINESTRING ((177560.756 503802.369, 177549.51 503802.979, 177444.563 503813.971, 177349.121 503823.306, 177302.779 503828.24, 177282.524 503829.86))"
O10002_Open_Strooiroutes.310,Wegen,"MULTILINESTRING ((177993.164 503993.313, 178033.839 503991.245))"
O10002_Open_Strooiroutes.311,Wegen,"MULTILINESTRING ((177305.276 504537.932, 177278.213 504489.171))"
O10002_Open_Strooiroutes.312,Wegen,"MULTILINESTRING ((177208.049 504279.55, 177203.539 504237.626))"
O10002_Open_Strooiroutes.313,Wegen,"MULTILINESTRING ((177300.663 503984.934, 177574.775 503956.749))"
O10002_Open_Strooiroutes.329,Buitengebied,"MULTILINESTRING ((178026.949 505818.027, 178027.005 505819.269, 178026.984 505820.513, 178026.887 505821.753, 178026.713 505822.984, 178026.463 505824.203, 178026.138 505825.404, 178025.74 505826.582, 178025.27 505827.733, 178024.73 505828.854, 178024.121 505829.938, 178023.447 505830.983, 178022.709 505831.985, 178021.911 505832.938, 178021.055 505833.841, 178020.145 505834.689, 178019.185 505835.48, 178018.178 505836.209, 178017.127 505836.875, 178016.038 505837.475, 178014.913 505838.006, 178013.758 505838.466, 178012.576 505838.855, 178011.373 505839.17, 178010.152 505839.409, 178008.92 505839.573, 178007.679 505839.661, 178006.435 505839.671, 178005.193 505839.605, 178003.958 505839.462, 178002.733 505839.243, 178001.525 505838.949, 178000.337 505838.581, 177999.174 505838.14, 177998.04 505837.628, 177996.941 505837.047, 177995.879 505836.399))"
O10002_Open_Strooiroutes.330,Buitengebied,"MULTILINESTRING ((174424.012 495929.105, 175198.46 496638.028, 175294.786 496726.194, 175400.021 496822.905, 175545.96 496953.117, 175677.041 497072.681))"
O10002_Open_Strooiroutes.476,Fietspad,"MULTILINESTRING ((177200.63 504093.104, 177195.269 504101.893))"
O10002_Open_Strooiroutes.280,Wegen,"MULTILINESTRING ((177879.583 502902.934, 177858.587 502853.179, 177858.04 502851.948, 177857.56 502850.689, 177857.148 502849.406, 177856.805 502848.103, 177856.533 502846.784, 177856.332 502845.452, 177856.203 502844.111, 177856.146 502842.765, 177856.161 502841.417, 177856.248 502840.073, 177856.408 502838.735, 177856.639 502837.408, 177856.94 502836.095, 177857.312 502834.8, 177873.576 502796.063, 177896.854 502740.955, 177897.735 502740.323, 177898.567 502739.63, 177899.348 502738.879, 177900.073 502738.074, 177900.738 502737.218, 177901.341 502736.317, 177901.876 502735.375, 177902.343 502734.397, 177902.738 502733.388, 177903.06 502732.354, 177903.307 502731.299, 177903.477 502730.228, 177903.57 502729.149, 177903.585 502728.065, 177903.522 502726.983, 177903.382 502725.909, 177903.164 502724.847, 177902.871 502723.804, 177902.504 502722.785, 177902.065 502721.794, 177884.05 502680.718, 177883.361 502679.47, 177882.74 502678.186, 177882.189 502676.872, 177881.708 502675.53, 177881.3 502674.164, 177880.965 502672.778, 177880.705 502671.376, 177880.52 502669.962, 177880.412 502668.541, 177880.379 502667.116, 177880.422 502665.691, 177880.541 502664.27, 177880.737 502662.858, 177881.007 502661.458, 177881.352 502660.075, 177881.77 502658.712, 177882.26 502657.373, 177882.822 502656.062, 177883.452 502654.784, 177884.15 502653.541, 177884.913 502652.337, 177885.74 502651.175, 177914.362 502611.729, 177915.236 502610.536, 177916.044 502609.297, 177916.783 502608.016, 177917.453 502606.697, 177918.051 502605.344, 177918.574 502603.961, 177919.023 502602.551, 177919.394 502601.12, 177919.688 502599.67, 177919.903 502598.207, 177920.039 502596.734, 177920.095 502595.256, 177920.071 502593.777, 177919.968 502592.302, 177919.785 502590.834, 177919.523 502589.378, 177919.183 502587.939, 177918.766 502586.52, 177918.273 502585.126, 177917.705 502583.76, 177917.065 502582.427, 177916.353 502581.13, 177898.908 502539.867, 177844.763 502408.409, 177956.922 502361.794, 178023.625 502334.488, 178034.577 502332.429, 178046.479 502333.562, 178052.713 502335.149, 178057.348 502337.551))"
O10002_Open_Strooiroutes.281,Wegen,"MULTILINESTRING ((177873.079 503980.714, 177842.139 503929.13, 177818.705 503699.085, 177862.986 503576.211, 178031.855 503637.55, 178032.744 503637.828, 178033.608 503638.178, 178034.44 503638.597, 178035.235 503639.082, 178035.988 503639.631, 178036.695 503640.238, 178037.349 503640.902, 178037.947 503641.616, 178038.485 503642.377, 178038.959 503643.179, 178039.367 503644.016, 178039.705 503644.885, 178039.971 503645.778, 178040.164 503646.689, 178040.282 503647.613, 178040.324 503648.544, 178070.879 503950.85))"
