FID,stripid,shape_leng,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wschelde_2015.50,571,25294.8506646,15-04-2015,,,"LINESTRING (69379.72300000116 373028.22199999914, 72417.6400000006 371146.13699999824, 57479.427999999374 380420.4230000004, 60998.41800000146 378243.03599999845)"
vlieglijnen_wschelde_2015.51,703,22490.5535823,15-04-2015,,,"LINESTRING (37906.19000000134 390945.34600000083, 26940.177000001073 379001.40300000086, 30260.75299999863 382601.70899999887, 29322.666000001132 381592.0170000009)"
vlieglijnen_wschelde_2015.52,713,32637.9664224,15-04-2015,,,"MULTILINESTRING ((36265.51399999857 383256.30999999866, 34772.313999999315 375624.36300000176, 36335.29899999872 383623.09430000186), (36335.29899999872 383623.09430000186, 36509.416999999434 384538.3579999991), (36335.29899999872 383623.09430000186, 37777.27100000158 391002.5300000012, 36265.99799999967 383258.80900000036, 36335.29899999872 383623.09430000186))"
vlieglijnen_wschelde_2015.53,721,22315.6812473,15-04-2015,,,"LINESTRING (57454.23600000143 377340.2259999998, 60152.425999999046 376249.0320000015, 44818.31599999964 382456.55099999905, 47470.390000000596 381379.9290000014)"
vlieglijnen_wschelde_2015.54,731,18548.484551,15-04-2015,,,"LINESTRING (55444.1950000003 380105.6730000004, 50943.89600000158 383846.618999999, 57590.93200000003 378308.4600000009, 55445.1259999983 380104.8839999996, 56403.833000000566 379308.9930000007)"
vlieglijnen_wschelde_2015.55,742,9673.47818811,15-04-2015,,,"LINESTRING (59141.53200000152 375980.3960000016, 64612.45499999821 382691.7129999995, 63966.425000000745 381909.1169999987)"
vlieglijnen_wschelde_2015.56,752,23293.6561186,15-04-2015,,,"MULTILINESTRING ((67653.18239999935 374613.74130000174, 67370.16899999976 374280.1810000017), (67653.18239999935 374613.74130000174, 65944.59299999848 372550.4450000003, 68054.99199999869 375087.31500000134, 67653.18239999935 374613.74130000174), (68055.82299999893 375088.3229999989, 73035.75699999928 381113.75, 67653.18239999935 374613.74130000174))"
vlieglijnen_wschelde_2015.57,762,21717.3939919,15-04-2015,,,"LINESTRING (69786.71299999952 366751.04300000146, 75010.0940000005 379805.5029999986, 72168.31799999997 372695.6770000011)"
vlieglijnen_wschelde_2015.58,12,30840.2501822,16-04-2015,,,"LINESTRING (44898.10599999875 390395.6090000011, 55160.004000000656 390395.7340000011, 34633.37299999967 390386.44200000167, 34685.09200000018 390386.5320000015)"
vlieglijnen_wschelde_2015.59,22,30497.7525071,16-04-2015,,,"LINESTRING (44499.90500000119 390134.6739999987, 34619.80700000003 390135.16000000015, 55171.743000000715 390145.73900000006, 55106.03299999982 390144.8680000007)"
vlieglijnen_wschelde_2015.60,221,42223.7654718,16-04-2015,,,"LINESTRING (33791.61400000006 378687.2490000017, 24593.087999999523 383166.68400000036, 48116.29100000113 371711.76099999994, 42871.02400000021 374253.13699999824)"
vlieglijnen_wschelde_2015.61,231,37943.3785755,16-04-2015,,,"LINESTRING (42114.8909999989 373983.1240000017, 46175.375 371977.4200000018, 24387.98099999875 382698.2320000008, 32585.109000001103 378672.52600000054)"
vlieglijnen_wschelde_2015.62,241,22925.2932174,16-04-2015,,,"LINESTRING (25839.05799999833 381438.44299999997, 24296.265000000596 382187.40100000054, 42931.289000000805 373024.19900000095, 42528.31500000134 373211.26399999857)"
