"JAAR","PERIODE","BELEIDSPROGRAMMA","ORGANISATIE","SUBSIDIE_BESCHIKT","BEKOSTIGD_UIT_RIJKSINKOMSTEN","WETTELIJKE_TAAK","GLOB_OVERZ_GESUB_ACTIVITEITEN","INLEES_DATUM","GEMEENTE","GEMEENTE_CODE","LAND_CODE"
2016,"Q4","Programma Onderwijs, economie en haven","Komkids Kinderopvang b.v.",44277,"Ja","Ja","Activiteiten in het kader van het peuterspeelzaalwerk.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Komkids Kinderopvang b.v.",48172,"Ja","Ja","Peuterspeelzaalwerk.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","UN1EK kinderopvang B.V.",53240,"Ja","Nee","Activiteiten in het kader van opbrengstgericht werken.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","UN1EK kinderopvang B.V.",88979,"Ja","Nee","Eenmalige compensatie overhead peuterspeelzalen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Wijzer in Opvang en Onderwijs",204252,"Ja","Ja","Activiteiten peuterspeelzaalwerk.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Tamboer-, Trompetter- en Majorettekorps Liberte / Haringkoppen",1900,"Nee","Nee","Welzijnssubsidie: repeteren en optreden.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Kade40",2000,"Nee","Nee","Organisatie brugklascultuurdag Culture Candy.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Mareado",2000,"Nee","Nee","Pomonalezing op 6 september 2016.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Zomerterras",2200,"Nee","Nee","Twee zomerterrasconcerten in 2016.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Kunstalliantie",2865,"Nee","Nee","Pop-up food-art-restaurant.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Gloria Toonkunst Vlaardingen",3000,"Nee","Nee","Concert The Messiah van Handel.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Internationale Orgelweek Vlaardingen",3475,"Nee","Nee","Welzijnssubsidie: verzorgen van diverse concerten en educatie.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Geuzenmaand",3500,"Nee","Nee","Geuzenmaand activiteiten.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Aanzet",3825,"Nee","Nee","Aanbieden van schrijfles",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Metamorphose",4000,"Nee","Nee","Vluchten kan niet meer... nabouwen Berlijnse muur en theaterspectakel.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Balder Theater",5000,"Nee","Nee","Organisatie Verhalenfabriek.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Waterweg Cultuurprijs",6000,"Nee","Nee","Organiseren Waterwegcultuurprijs.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Flagen",8000,"Nee","Nee","Cultuureducatieve activiteiten: exposities, workshops, lessen en evenement.

",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","CJV Vlaardingen",8500,"Nee","Nee","Intocht van Sinterklaas.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Stadspodium ",10000,"Nee","Nee","Opening cultureel seizoen samen met culturele instellingen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stadsgehoorzaal",10000,"Nee","Nee","Begeleiding van 15 scholen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Big Ben",12000,"Nee","Nee","Organisatie van het beiaardfestival Met de Klokken mee.

",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Verder Kijken",12500,"Nee","Nee","Voro de activiteiten 2016 ontwerp en constructieve tekeningen ",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Buitenbios / Filmtheater Het Zeepaard",13000,"Nee","Nee","Welzijnssubsidie: aanbieden culturele filmvertoningen en het aanbieden van cultuureducatie.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Vlaardings Centrum voor Amateurtoneel",14450,"Nee","Nee","Welzijnssubsidie: het aanbieden repetitieruimte, podium en voorstellingen en een festival.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Stadspodium ",470000,"Nee","Nee","Opstart organisatie. Aanbieden podiumkunsten.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",1300,"Ja","Nee","Het organiseren van NT2 middag.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",1487,"Ja","Ja","Verhoging taalniveau pedagogisch medewerkers werkzaam op een peuterspeelzaal of kinderopvang in Vlaardingen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Wijzer in Opvang & Onderwijs",2600,"Ja","Ja","5 VVE  trajecten voor 5 doelgroepkinderen op de dagopvang.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Kinderopvang Mini Academie",2668,"Ja","Ja","Verleturen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Federatie Nederlandse Levensmiddelen Industrie",4000,"Nee","Nee","Het organiseren van de Week van de Levensmiddelenindustrie / Futureproef 2016 voor met name jongeren en hun leerkrachten en ouders om instroom op opleidingen levensmiddelentechnologie te bevorderen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",4815,"Ja","Ja","Incidentele aanvulling op structurele subsidie: extra inzet toeleiding doelgroepkinderen naar vve-voorzieningen. Betaling middels aanwezige reserve bij de stichting.

",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Mister Dutch B.V.",4920,"Ja","Ja","Uitvoeren van herkansing taaltoetsen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Wijzer in Opvang & Onderwijs",5000,"Ja","Ja","VVE taaltraject pedagogische medewerkers. ",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",6237,"Ja","Ja","Verhoging taalniveau pedagogisch medewerkers.",10/02/17,"Vlaardingen",622,"NL"
