OBJECTID,KDUVORM,KDUHGA1,KDUBOKBO,KDUBOKBE,KDULENGT,KDUBREED,XXXMATER,KDUSOORT,KWKAFSL1,KWKARCH,KWKDATUM,KWKOPME,KWKPLAAN,OSMOMSCH,KWKAFSL2,IWS_MEMO,KWKNAAM,IWS_LEGGERSTATUS,IWS_OH_RENOVATIEJAAR,KDUIDENT,IWS_WATERBEHEERFUNCTIE,IWS_AFST_B,KDUMOEBE,KDUMOEBO,KWKKEREN,OBJECTID_1,KDUIDENT_1,ONDERHOUDSPLICHTIGE_1,ONDERHOUDSVERPLICHTING_1,ONDERHOUDSPLICHTIGE_2,ONDERHOUDSVERPLICHTING_2,Shape__Length,RICHTING
98,1,,-1.04,-1.04,12.3,0.3,20,4,4,,,,,Dam met duiker en inlaat,,"Meetspijker.
Breedte 0,40
Min hoogte is -0,536
Max hoogte is -0,31
Moeilijk te meten",VH2080I,1,,VH2080I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,2.79276511160133,
99,1,,10,10,20,1,28,,4,,2011,,,Inlaat Egge,,,RM175I1,1,,RM175I1,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,1.64131030379868,
100,1,,-1.85,-1.85,12,0.55,20,4,4,,2013,,,Dam met duiker en inlaat,,Meetbout.,D4421,1,,D4421,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,1.25314020620885,
101,1,,-1.44,-1.44,2,0.15,20,4,,,,,,Spindel inlaat,,Meetspijker van de inlaat 851D.,851E,1,,851E,3,2,,,2,,,Waterschap,Bediening afsluiter,,,12.3660350604841,
102,1,,,,6.7,0.15,20,4,,,2012,,,Spindel inlaat,,Meetspijker,VH242I,1,,VH242I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,5.99111908921099,
103,1,,0.52,0.52,5,0.3,3,4,,,,,,Inlaat duiker met spindelafsluiter,,Meetspijker.,D3855,1,,D3855,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,5.68553272128594,
104,1,,7.87,7.87,10,1,3,4,,,,,,Dam met duiker en afsluiter,,,D4000,1,,D4000,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,11.9559034697266,
105,1,,10.2,10.2,32.8,0.5,3,4,4,,2007,,,Dam met duiker en inlaat,,Hoogte is betonnen vlak. Zuidoosthoek.,NAGTEGAAL (KIN),1,,NAGTEGAAL (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,36.7565350808827,
106,1,,3.27,3.27,11.8,0.3,20,4,4,,,,,Dam met duiker en inlaat,,Hoogte ijzeren vlak. Westkant.,KARSTKOELE (KIN),1,,KARSTKOELE (KIN),3,2,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,10.2896001753567,
107,2,,,,2,0.7,10,,4,,,347,,Stuwput,,,OHV-02-32,1,,OHV-02-32,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,2.5470668702377,
108,1,,-1.53,-1.53,6.85,0.6,3,,4,,,831F zuidzijde ronde verzamelput,,Weg met duiker en inlaat,,,831F,1,,831F,3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.82680362531261,
109,1,,-1.37,-1.37,40,0.3,20,4,4,,2012,,,Inlaat,,Terugslagklep aan de oostzijde (Uitstroom),VH80I2,1,,VH80I2,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,2.38796656764438,
110,1,,-1.35,-1.35,9,0.3,20,4,4,,2012,,,Inlaat,,,VH80I3,1,,VH80I3,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.36082335475101,
111,1,,1.81,1.78,6.4,0.3,13,4,4,,2012,,LOP project,Inlaat,,,VL183I,1,,VL183I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,4.62582705913085,
112,1,,-1.1,-1.1,9.5,0.3,20,4,4,,2013,,,Dam met duiker en inlaat,,Meetbout ingemeten door RB,VH80I4,1,,VH80I4,3,2,,,2,,,Houder vergunning,Gewoon en buitengewoon en constructie,,,8.87865507145964,
113,1,,10.72,10.72,9.2,0.4,3,2,,,,,,Dam met duiker en inlaatwerk,,Meetbout,OD-04-58_B_1A,1,,OD-04-58_B_1A,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,10.5403048340015,
114,1,,-1.48,-1.42,8.3,0.4,20,,,,2007,draaikolk Smit,inlaat Heven,Dam met duiker en inlaat,,,833I,1,,833I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.25101623968426,
115,1,,,,4,0.3,13,,4,,2011,,,Inlaat,,"Hoogte op RVS constructie.
Wegkant. Zuidkant.",1525I (KIN),1,,1525I (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,3.61044738958946,
116,1,,11.95,11.95,2,0.9,3,4,4,,2000,HV5 304RM-56,,Inlaatwerk,,,600 MEERBOOM (KIN),1,,600 MEERBOOM (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,2.1574896965483,
117,1,,-3.44,-3.44,10.7,0.9,3,2,4,,,,,Inlaat,,Meetbout ingemeten door RB,828I,1,,828I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,10.8333876574578,
118,1,,,,,,20,,,,,afvoer concentraat,,Concentraatleiding Vitens,,zie tekeningen Y:\Geodata\Legger_bh_keringen\Beheerregister\kunstwerken\Dijkring53b\IWK-53-1570,,1,,IWK-53-1570,3,2,,,1,,,Vitens,Gewoon en buitengewoon en constructie,,,5.99073050535519,
119,1,,-1.8,-1.55,15.8,0.3,20,,,,1973,zie memo veld,,,,"Afsluitmiddel   = Sollie Schuif
Materiaalsoort = Staal",,1,,KV.320-D57,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,15.7960213983,
120,4,0.82,9.35,9.35,9.9,1.3,3,4,,,,,,Putsysteem,,,D4012,1,,D4012,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,9.44205583887581,
121,1,,6.68,6.68,2,0.5,3,4,,,,DH3 104SM-11,Haarsluis,Inlaat,,Meetbout,HAARSLUIS (KIN),1,,HAARSLUIS (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,2.07019889381537,
122,1,,4.82,4.83,27.3,0.6,3,2,,,2012,,,Weg met duiker en inlaat,,Meetbout,HET BERGJE (KIN),1,,HET BERGJE (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),28.3376107209014,
123,1,,2.42,2.42,2,0.4,28,,4,,,,,Inlaat,,Meetbout,WEST08I,1,,WEST08I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,0.496173527859377,
124,1,,-0.7,-0.7,5.9,0.3,20,,,,1973,zie memo veld,,,,"Afsluitmiddel    = Sollie Schuif
Materiaalsoort = Staal",,1,,GA.75-D14,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,5.94223636385553,
125,6,0.6,-1.25,-1.25,3.6,0.45,3,,,,1930,zie memo veld,,,,"Afsluitmiddel    = Schuif TBS
Materiaalsoort = Gietijzer",,1,,GC.15.14-D18,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,3.57854733217293,
126,2,,12.1,12.1,2,0.5,28,,4,,,,,Inlaat,,,TIENDEVEEN (KIN),1,,TIENDEVEEN (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,1.84419342342074,
127,2,,-1.48,-1.48,14.5,0.3,28,2,4,,,,,Inlaat,,"Bout op houtwerk.
Zuidwestkant. (Waterkant)",STWDN4 (KIN),1,,STWDN4 (KIN),3,2,,,1,,,Aangeland,Gewoon en buitengewoon en constructie,,,14.6922860235546,
128,2,,3.95,3.8,1,0.4,28,,4,,1993,,,Inlaat,,,RM142I,1,,RM142I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,1.60642779169073,
129,1,,0.02,0.02,4.5,0.8,3,3,4,,,,,Inlaat,,Meetspijker,WA329I2,1,,WA329I2,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,5.25311003224328,
130,1,,-0.15,-0.1,12.6,0.6,3,,4,,2006,JAF Rouveen,,,,,Leidijk Whemeweg,1,,DV.5.126-D48,3,2,,,2,,,Waterschap,Bediening afsluiter,Waterschap,Gewoon en buitengewoon,12.6100327790021,
131,2,1.4,-1.76,-1.76,5.8,1.2,3,4,4,,,814C,Toevoerkanaal gemaal A.F. Stroink,Inlaat voor Het Leeuwterveld,,"BOB INSTROOM EN DIAMETER NTM IVM SCHUIF BOVEN EN BENEDENSTROOMS

Meetspijker",814C,1,,814C,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.21855711363733,
132,2,1.25,-1.57,-1.57,6,1.5,3,4,4,WS/WBA/CAV/RJ/6456,2011,D&C Inpassing plan Eeserwold inwaters,Eeserwold De Wulpen,Afsluiter,4,Hoogte op bovenkant bout van het hekwerk(groen). Noordoosthoek. Instroomkant van de watergang.,DE WULPEN 1,1,,DE WULPEN 1,3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.6651776392636,
133,2,1.25,8.5,8.5,4.3,1.5,3,2,5,,2009,,,Dam met duiker en inlaat,4,Lengte is zonder driehoek uiteinde,D4002,1,,D4002,3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.5561682759328,
134,1,,-0.76,-0.73,21.5,1,3,2,4,,2011,,,Weg met duiker en inlaat,,Meetspijker,WA329I1,1,,WA329I1,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),21.9974324297077,
135,1,,8.88,8.88,12,0.5,3,4,4,,,afsluitbaar O.54.2.2,277,Dam met duiker en schuif,,Meetbout,O-54-02-02_A_4,1,,O-54-02-02_A_4,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,12.9461204211778,
136,1,,10.57,10.07,11,0.2,20,2,4,,,DH1 206OV-113 Telemetrie,278 Brunstingerveld,Weg met duiker en inlaat,,,344 BRUNSTINGERVLD (KIN),1,2018,344 BRUNSTINGERVLD (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,11.595962920991,
137,1,,10.52,10.52,11,0.4,3,2,,,,DH1 202SM-111,Vs2 Beilervaart,Weg met duiker en inlaat,,,302 TOL (KIN),1,,302 TOL (KIN),3,1,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,11.286236301299,
138,1,,10.06,10.06,24,0.3,20,4,,,,DH1 504SM-23,Jan Klokwijk Inl. Kloosterveen,Dam met duiker en inlaat,,Meetspunt (Oostkant Dezelfde als gemaal),KLOOSTERVEEN (KIN),1,,KLOOSTERVEEN (KIN),3,1,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,31.3870664219966,
139,1,,14.12,13.95,23,0.3,3,,,,,OK3 OK3-106OV,263 Enting,Dam met duiker en inlaat,,Meetspijker,O-114-02_B_8,1,,O-114-02_B_8,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,22.0739423926903,
140,1,,-0.32,-0.32,20.2,1,3,,4,,,Vechterweerd,,,,,,1,,SW.20.68-D39,3,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Onderhoud hoofdconstructie,20.2357962761335,
141,1,,-1.3,0.75,15,0.6,3,,4,,,Afsluitbare schuif,Bremmelerstraat,,,Meetspijker duiker,,1,,SW.45.24-D2A,3,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Gewoon en buitengewoon en constructie,15.0971751655613,
142,1,,,,8.5,0.3,98,,4,,,,,,,,OV.00-D43,1,,OV.00-D43,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.51097574185997,
143,1,,,,7.3,0.3,98,,4,,,,,,,,OV.00-D44,1,,OV.00-D44,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.31077680521535,
144,1,,0.09,0.09,2.5,0.7,3,4,,WS/WBA/CAV/RJ/6456,2011,D&C Inpasing Eeserwold in waters,De Wulpen,Afsluiter,4,Hoogte op bovenkant bout van het hekwerk(groen). Noordoosthoek. Instroomkant van de vistrappen.,DE WULPEN 2,1,,DE WULPEN 2,3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,3.83005669770431,
145,1,,12.02,12.02,7,0.3,20,,,,,Intern,Verdeelwerk Oranje,Dam met duiker en inlaat,,De hoogte van de andere inlaat OR-02-04_INL_10. Meetspijker.,B-02-14_A_4,1,,B-02-14_A_4,3,2,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.61938962754019,
146,1,,0.01,0.01,14.63,0.6,3,4,4,,,880F,,Dam met duiker en inlaat (kade),,Meetbout.,880F,1,,880F,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,14.6258729782519,
147,1,,,,,,3,,4,,,829C,Polder Gelderingen,Hesselingenbrug onder fietspad,,,,1,,829C,3,2,,,,,,Gemeente,Geheel onderhoud,,,10.1262278455043,
148,1,,1.81,1.44,10,0.3,20,,4,,,,Ruinerwoldseweg,Weg met duiker en inlaat,,"Stuw Max 2,299
Stuw Min 1,512
Breedte 0,50",O-06-06-02_B_10,1,,O-06-06-02_B_10,3,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,20.4957230263425,
149,1,,-1.4,-1.4,31.6,0.3,20,2,,,,,,Inlaat,,Hoogte op hoek beton.,STWDN5 (KIN),1,,STWDN5 (KIN),3,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,31.6392237892805,
150,1,,10.11,9.9,8,0.6,13,4,4,,,CZ2 204RM Telemetrie,Inlaatwerk Schoonhoven,Dam met duiker en inlaatwerk,,"Meetspijker is ook gemaal
Schuif is ,7 breed",KIELSWIJK (KIN),1,,KIELSWIJK (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.09066895977047,
151,1,,10.26,10.26,13.1,0.3,3,2,4,,2011,,,Dam met duiker en inlaat,,,0595 DE RIGEL (KIN),1,,0595 DE RIGEL (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),13.384065305342,
152,1,,2.71,2.71,9.5,0.3,20,4,4,,,,,Inlaat,,Meetspijker,JUFFERSWEIDEWEG (KIN),1,,JUFFERSWEIDEWEG (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,9.42079264688139,
153,2,,,,2,0.7,10,,4,,,937,,Stuwput,,,OHV-02-06-10 (KIN),1,,OHV-02-06-10 (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,2.01194930494975,
154,1,,6.9,6.9,8,0.4,20,4,,,2006,als spindel bediend kan worden,,Duiker met afsluiter knijpconstr.,,Hoogte op bout. Noordoosthoek van de constructie. Geen meetbout.,D3767 (KDU),1,,D3767 (KDU),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,11.8850320473514,
155,1,,-1.41,-1.41,15.15,0.3,20,4,,,,829A,Thijendijk,Dam met duiker en inlaat,,Meetspijker,829A,1,,829A,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,9.35697003796503,
156,1,,9.81,9.81,8,1.5,3,4,4,,1988,"* hoogste/laagste klep 11,56+ 10,89+ DH1 Dh1-106VA",Inlaat Smilde,Dam met duiker en inlaat,,"Hoogte op beton. Zuidwesthoek. Bij de peilschaal.
Capaciteit 46 m3/min",950 SMILDE (KIN),1,,950 SMILDE (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,9.34330777270309,
157,1,,9.9,9.89,7,0.5,13,4,,,2007,peilgrens,afsluiter Boerma,Dam met duiker en inlaat,,NAP hoogte is de RVS schot begeleider onder het slot,30I,1,,30I,3,2,,,2,,,Waterschap,Onderhoud doorstroomprofiel duiker,Aangeland,Onderhoud van de dam rechts (grondlichaam),7.28963896278484,
158,1,,14.43,14.43,34.4,0.3,2,2,,,,eterniet OK3-104OV,265 De Rieters Oranjekanaal Zuidzijde,Weg met duiker en inlaat,,Hoogte op betonnen put. Zuidoostkant.,O-96-02_J_86,1,,O-96-02_J_86,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),34.6764381609804,
159,1,,11.65,11.65,14,0.5,3,4,,,,O96.2.4,267,Dam met duiker en inlaat,,Meetspijker,O-96-02-04_A_2,1,,O-96-02-04_A_2,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,15.2171951461938,
160,1,,11.72,11.65,31.83,0.3,20,4,,,,"O.90 Duiker ligt hoog, vandaar de peilvakgrens",268,Dam met duiker en inlaat,,"Inlaat is breed 0,30 en alles RVS Inlaat is met een schuif.
Min is 11,762
Max is 12,085",O-90_B_12,1,,O-90_B_12,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,31.832285322114,
161,1,,12.1,12.1,6,0.5,3,4,,,,O.62.6,Inlaat verplaatst,Inlaat,,Hoogte op betonnen vlak. Noordoosthoek.,O-62-06_J_56,1,,O-62-06_J_56,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,1.02373325126289,
162,2,,1.15,1.15,0.2,0.7,10,,2,,2011,onderdeel van een vispassage,,Inlaat Dickninge,,"Meetspijker
Bij 1,25 NAP 1,00 m br daarna 2,00 m br
Max. hoogte 1,80 NAP
Vorm is trapezium
",R2_VT_1,1,,R2_VT_1,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,0.119937524720076,
163,1,,-1.53,-1.6,9.3,0.36,20,2,4,WS/WPR/BHe/1907 (fws),2008,Waterverbeteringsplan Veenweidepolders,,Weg met duiker en inlaat,,"Hoogte op hoek van de ijzeren constructie.
Zuidkant.
Duiker is aangelegd door waterschap voor de aanvoer van water ten behoeve vande fundering van de woning Buurtsteeg 5 te Blankenham.
Onderhoud duiker waterschap Reest en Wieden, inclusief doorstroomprofiel.

Inlaat is van RVS en 50 cm breed. HR.",D4435,1,,D4435,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.99748000500239,
164,1,,10.18,10.18,15,0.35,13,2,4,,2013,,,Inlaat,,Let op meetpunt is dezelfde waarde als het gemaal.,114 Vaartweg (Kin),1,,114 Vaartweg (Kin),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,20.49606576802,
165,1,,-1.64,-1.64,10.3,0.3,13,4,4,,,,,Inlaat met doorspoelmogelijkheid,,Meetspijker in paal  aan de zuidkant (wegzijde).,VH2063i,1,,VH2063i,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,10.3850689620503,
166,2,,,,11,,28,2,,,,,,Inlaat,,"Hoogte op hoek beton.
Zuidoostkant. (Waterkant).",STWDN6 (KIN),1,,STWDN6 (KIN),3,2,,,1,,,Aangeland,Gewoon en buitengewoon en constructie,,,10.6489343383054,
167,1,,-1.96,-1.96,2,0.4,3,5,4,,,,,Dam met duiker en inlaat,,,845B,1,,845B,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,1.18551870329717,
168,1,,-1,-1,6.5,0.4,31,,,,1965,zie memo veld,,,,"Afsluitmiddel   = Schuif
Materiaalsoort = Staal",,1,,RB.5.10-D60,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.53877262667877,
169,2,,-1.3,-1.3,12.65,0.5,28,3,,,,,,678 KNIJPE (KIN),,Zie gemaal Meetbouthoogte en tekening,678 KNIJPE (KIN),1,,678 KNIJPE (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,13.6660426016086,
170,1,,11.73,11.73,10.7,0.4,3,4,,,,BR-02-04_A6 op kaart is het OD-04-52_G_25,,Dam met duiker en inlaatwerk,,Meetspijker (Slechte meting),BR-02-04_A6,1,,BR-02-04_A6,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,10.8181331007629,
171,1,,10.12,10.5,63.5,0.5,3,2,,,,,,Dam met duiker en inlaat,,,NHV-10-43_A_4,1,,NHV-10-43_A_4,3,2,,,2,,,Waterschap,Onderhoud doorstroomprofiel duiker,Gemeente,Gewoon en buitengewoon en constructie,63.1486274531421,
172,2,0.68,4.04,4.04,3.9,2.5,3,,4,,,,,,,"Meetspijker in stuw bij peilschaal westkant Kanaaldijk West

Info van André Koekkoek (20191030): Aan de kanaalzijde zit een schuif waar het water over heen kan stromen. Deze schuif kan omhoog gezet worden en als waterkering dienen.
Aan de landzijde zitten naast elkaar twee automatische schuiven het water gaat niet over de schuiven maar er onder door.
Zowel de schuif aan kanaal zijde en de schuiven aan de landzijde zijn verbonden met één en dezelfde  open koker waar een brug overheen loopt waar de weg overheen gaat.

",,1,,SW.75.83-D1158,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,0.279429437175303,
173,2,,10.5,10.5,0.2,0.31,28,3,4,,2015,"Min. 10,50 Max. 11,63",,Inlaat,,, MV229I1,1,,MV229I1,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,1.88171092403035,
174,1,,4.32,4.44,6.3,0.8,3,4,4,,2012,,,Dam met duiker en afsluiter,,"Meetbout.
Op afstand : nee
Hout/ HPDE/Staal
Doorstroombreedte 0.50
Max. 5.44
Min. 4.10
",1075I,2,,1075I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Aangeland,Onderhoud van de dam links (grondlichaam),6.30245009092726,
175,1,,10,10,20,1,3,4,4,,,HV4 108RM-50 Telemetrie,Inlaatwerk Alteveer,Dam met duiker en inlaatwerk,,"Meetspijker
Er is ook een meting van 11.079 (RVDH)
welke is waar?? HL
* aantal slagen is 170
* dode slag 0",604 ALTEVEER (KIN),1,,604 ALTEVEER (KIN),3,1,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,13.4781702753418,
176,1,,,,24.5,0.6,3,,4,,,393,Mr. J. de Blieckweg,Dam met duiker en inlaat,,Schuif aan zuidoostzijde,WA-14-10-02-02_2,1,,WA-14-10-02-02_2,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,24.7402919703413,
177,1,,-1.65,-1.65,6,0.3,13,4,4,,2010,Voor eventuele waterinlaat sportvelden en grachten,Sportvelden Vollenhove,Afsluitbare duiker,,"Meetspijker
Bediening gemeente Steenwijkerland
RVS/kunststof, bevestigd op damwand",D1431,1,,D1431,3,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,5.65701041294908,
178,1,,0.83,0.83,12,0.5,3,,5,,,,,,,,,1,,OV.30-D1,3,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,11.9977393258907,
179,1,,8.15,7.7,4,0.3,20,,,,,"dkr in mv-rug, spindelafsluiter",,Dam met duiker en inlaat,,"Geen meetpunt hoogte. Niet mogelijk.
WB 21 uitvoering , knijpconstructie",D3645 (KDU),1,,D3645 (KDU),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,4.01559172866768,
180,1,,99,99,10,0.8,3,4,4,,,900G,,Dam met duiker en inlaat,,Meetbout,900G,1,,900G,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,0.466531252118055,
181,1,,-1.95,-1.95,13.1,0.8,3,2,4,,,826K 1 Peilschaal in goede staat,Lozedijk Haagjesgracht,Weg met duiker en inlaat,,,826K,1,,826K,3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,14.0875134948159,
182,1,,-1.65,-1.52,6.2,0.6,13,4,4,,,826A,Bovenboersepad Wanneperveen,Dam met duiker en inlaat,,,826A,1,,826A,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.48267002000794,
183,1,,11.28,12.29,13,0.3,20,,5,,,,,Dam met duiker in de kade met terugslagklep,,,D3647,1,,D3647,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,10.881314204045,
184,1,,,,2,,3,4,5,,,,,819 BARSB BINPOLD (KIN),,"Het meetbout van het gemaal.
Hoogte op betonrand.
Boven de NAP schaal. Polderkant.",819 BARSB BINPOLD (KIN),1,,819 BARSB BINPOLD (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,5.81717527745257,
185,1,,8.16,8.16,4.5,0.5,3,,5,,,,,,,,,1,,AS.45.34-D234,3,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,4.42046125618709,
186,1,,1.44,1.44,85.1,0.5,3,,5,,,,,,,,,1,,OV.70-D7,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,87.1819426484103,
187,1,,1.23,1.23,10.1,0.3,3,,5,,,,,,,,,1,,OV.40-D5,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,10.1072390399206,
188,1,,0.9,0.9,11,0.5,3,,5,,,,,,,,,1,,OV.25-D1,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,10.9964003531735,
189,1,,-1.6,-1.6,24.6,0.8,3,,,,,,,,,,,1,,RB.25.4-D79,3,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,24.6041094552468,
190,1,,3.12,3.06,8,0.5,3,,,,,,,afsluitbaar,,,OV.80.8-D4,1,,OV.80.8-D4,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.9968813897651,
191,1,,0.5,0.43,145,0.3,3,,,,,,,Dam met duiker en afsluitbaar,,Niet te vinden. HR,WA-04-12-02_E_64,1,,WA-04-12-02_E_64,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Aangeland,Onderhoud van de dam rechts (grondlichaam),2.57041164284207,
192,1,,12.17,12.17,13.45,0.3,20,2,,,,,,Inlaat,,Meetbout,GROENEMARKEN (KIN),1,,GROENEMARKEN (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,13.3344704985097,
193,1,,-1.6,-1.6,11.3,0.3,3,4,4,,2007,Spindel bediening,Inlaat Pikbroek,Dam met duiker en inlaat,,,841I,1,,841I,3,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,11.0350305514551,
194,1,,-0.87,-1,10.9,0.4,20,,,,,,,,,,,1,,KV.25-D60,3,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,10.8555324266974,
195,1,,-0.97,-1.08,7.5,0.3,20,,,,1986,zie memo veld,,,,"Afsluitmiddel   = Sollie Schuif
Materiaalsoort = Staal",,1,,KV.20-D54,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.49752305642789,
196,1,,-0.9,-1.03,5.2,0.3,20,,,,,,,,,,,1,,KV.20-D61,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,5.19793997587641,
197,1,,-0.32,-0.22,31,0.6,3,,4,,,,,,,,,1,,SW.65.4-D892,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,31.0227252524517,
198,1,,2.09,2.09,8,0.5,3,,4,,,,,,,RVS afsluiter met hoogste stand boven de buis en laagste stand BOK van de duiker,,1,,SZ.335.37-DK163,3,2,,,2,,,Waterschap,Bediening afsluiter,Gemeente,Gewoon en buitengewoon en constructie,7.99764615321604,
199,1,,-1.2,-1.2,14.8,0.6,3,,,,1970,Geen peilscheiding,,,,,Dekkersland Baarlo,1,,KO.20.116-WD01,3,2,,,2,,,Waterschap,Bediening afsluiter,Waterschap,Gewoon en buitengewoon,14.752440575232,
