Handelsnaam anonimiseerd;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Anoniem 40;;;;;;1;;;;1
Anoniem 401;;;;;1;;;;;1
Anoniem 404;;;;;;;1;;;1
Anoniem 409;;;;;;1;;;;1
Anoniem 411;;;1;;;;;;;1
Anoniem 412;;;;;;1;;;;1
Anoniem 414;;;;;1;;;;;1
Anoniem 415;;;;;;1;;;;1
Anoniem 417;;;;;;1;;;;1
Anoniem 420;;;;;;1;;;;1
Anoniem 421;;;;;;2;;;;2
Anoniem 422;;;;1;;;;;;1
Anoniem 423;;;;;;1;;;;1
Anoniem 425;;;;1;;;1;;;1
Anoniem 426;;;;;;;1;;;1
Anoniem 427;;;;;;1;;;;1
Anoniem 428;;;;1;;;;;;1
Anoniem 429;;;;;;;1;;;1
Anoniem 43;;;;;1;;;;;1
Anoniem 432;;;;1;;;;;;1
Anoniem 434;;;;;;1;;;;1
Anoniem 437;;;;;;1;;;;1
Anoniem 438;;;;;;2;;;;2
Anoniem 439;;;;;;;1;;;1
Anoniem 443;;;;;1;;;;;1
Anoniem 447;;;;;;;1;;;1
Anoniem 448;;;;;;2;;;;2
Anoniem 45;;;;;;1;;;;1
Anoniem 453;;;;;;1;;;;1
Anoniem 457;;;;;;;1;;;1
Anoniem 458;;;;;1;;;;;1
Anoniem 459;;;;;;1;;;;1
Anoniem 46;;;;;1;;;;;1
Anoniem 460;;;;;;;1;;;1
Anoniem 461;;;;;;1;;;;1
Anoniem 462;1;;;;;;;;;1
Anoniem 47;;;;1;;;;;;1
Anoniem 470;;;;;;1;;;;1
Anoniem 472;;;;1;;1;;;;1
Anoniem 473;;;;;;1;;;;1
Anoniem 474;;;;;1;;;;;1
Anoniem 475;;;;1;;;;;;1
Anoniem 476;;;;1;;;;;;1
Anoniem 479;;;;1;;;;;;1
Anoniem 481;;;;;1;;;;;1
Anoniem 483;;;;;;;1;;;1
Anoniem 49;;;;;;1;;;;1
Anoniem 490;;;;;;;1;;;1
Anoniem 492;;;;;1;4;;;;4
Anoniem 493;;;;;;;1;;;1
Anoniem 497;;;;;;;1;;;1
Anoniem 499;;;;;;1;;;;1
Anoniem 5;;;;;;1;;;;1
Anoniem 500;;;;;;;1;;;1
Anoniem 502;;;;;;;1;;;1
Anoniem 506;;;;;1;;;;;1
Anoniem 509;;;;;;1;;;;1
Anoniem 515;;;;;;1;;;;1
Anoniem 517;;;;;1;;;;;1
Anoniem 52;;;;1;;;1;;;1
Anoniem 521;;;;;;1;1;;;1
Anoniem 522;;;;;;;2;;;2
Anoniem 523;;;;1;;;;;;1
Anoniem 524;;;;;;1;;;;1
