FID,OVW_STARTDATUM,BOOMKLASSE,BOOMHOOGTE,BUURT,EIGENAAR,FUNCTIE,KROONDIAMETER,PLANTWIJZE,STAMDIAMETER,STANDPLAATS,WIJKNAAM,ID,NEDERLANDSE_NAAM,BOOMSOORT,GEOMETRIE,PLANTJAAR,LONGITUDE,LATITUDE,OVW_MAX_SIZE
Gemeentelijke_bomen.15955498,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,544,zomereik,Quercus robur,POINT (52.1630124970215 5.45498217250374),1950,5.45498185240791,52.1630093236678,0

Gemeentelijke_bomen.15955499,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,545,zomereik,Quercus robur,POINT (52.16302428899627 5.45503436908123),1950,5.45503404854154,52.1630211159305,0

Gemeentelijke_bomen.15955500,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,547,zomereik,Quercus robur,POINT (52.16304880469108 5.455184815034107),1950,5.45518449337858,52.1630456324985,0

Gemeentelijke_bomen.15955501,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,548,zomereik,Quercus robur,POINT (52.163059302817366 5.4552426355262345),1950,5.45524231342312,52.1630561309556,0

Gemeentelijke_bomen.15955502,2023-02-03,Geen vrije uitgroei,6-9 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,6,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,146,zomereik,Quercus robur,POINT (52.16379780136726 5.438060841998142),1983,5.43806058688903,52.1637945168686,0

Gemeentelijke_bomen.15955503,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,6,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,147,zomereik,Quercus robur,POINT (52.163747454520774 5.438094399808333),1983,5.43809414536567,52.1637441704594,0

Gemeentelijke_bomen.15955504,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,125,zomereik,Quercus robur,POINT (52.165149898720564 5.437327210939969),1983,5.43732693721272,52.1651466034663,0

Gemeentelijke_bomen.15955505,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,126,zomereik,Quercus robur,POINT (52.165099555211015 5.437353462688334),1983,5.43735318965733,52.1650962603523,0

Gemeentelijke_bomen.15955506,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,442,zomereik,Quercus robur,POINT (52.16264176911165 5.450853188248908),1950,5.45085289345828,52.1626385706163,0

Gemeentelijke_bomen.15955507,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,444,zomereik,Quercus robur,POINT (52.16267856350464 5.450981695443157),1950,5.4509813994366,52.1626753656726,0

Gemeentelijke_bomen.15955508,2023-02-03,Geen vrije uitgroei,9-12 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,446,zomereik,Quercus robur,POINT (52.16271929859973 5.451127329973416),1950,5.45112703260466,52.162716101524,0

Gemeentelijke_bomen.15955509,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,448,zomereik,Quercus robur,POINT (52.16277974839022 5.451335080990412),1950,5.45133478163731,52.1627765523836,0

Gemeentelijke_bomen.15955510,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,450,zomereik,Quercus robur,POINT (52.16282965816043 5.451553530173596),1950,5.45155322896584,52.1628264633404,0

Gemeentelijke_bomen.15955511,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,451,zomereik,Quercus robur,POINT (52.16284804667762 5.451637051291377),1950,5.45163674938605,52.1628448523146,0

Gemeentelijke_bomen.15955512,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,129,zomereik,Quercus robur,POINT (52.16484423802137 5.437494947562904),1983,5.43749467802595,52.1648409452182,0

Gemeentelijke_bomen.15955513,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,130,zomereik,Quercus robur,POINT (52.16479299503749 5.437522659534443),1983,5.43752239070245,52.1647897026424,0

Gemeentelijke_bomen.15955514,2023-02-03,Geen vrije uitgroei,9-12 m,Rustenburg-Zuid,Gemeente Amersfoort,Rijkswegen,3,Bomenrij,11-25 cm,Heesters,Rustenburg,294,gewone es cv.,Fraxinus excelsior Westhofs Glorie,POINT (52.16938809005898 5.422713226849045),1994,5.42271295659613,52.1693846868667,0

