Openbare ruimte;Straatcode        (BAG-id);Huisnr van;Huisnr t/m;Postcode;Wijk;Woonplaats;Type;
Antillenweg;0268300000000855;2;14;6524 TB;03 - Galgenveld;Nijmegen;Weg;
Antillenweg;0268300000000855;9;17;6524 SZ;03 - Galgenveld;Nijmegen;Weg;
Antiloopstraat;0268300000000856;1;29;6531 TK;13 - St. Anna;Nijmegen;Weg;
Antiloopstraat;0268300000000856;2;26;6531 TN;13 - St. Anna;Nijmegen;Weg;
Antiloopstraat;0268300000000856;28;46;6531 TP;13 - St. Anna;Nijmegen;Weg;
Antiloopstraat;0268300000000856;33;79;6531 TL;13 - St. Anna;Nijmegen;Weg;
Antiloopstraat;0268300000000856;48;72;6531 TR;13 - St. Anna;Nijmegen;Weg;
Antiloopstraat;0268300000000856;74;106;6531 TS;13 - St. Anna;Nijmegen;Weg;
Antiloopstraat;0268300000000856;81;111;6531 TM;13 - St. Anna;Nijmegen;Weg;
Antoinette van Pinxterenlaan;0268300000000109;1;105;6532 CV;12 - Goffert;Nijmegen;Weg;
Antoinette van Pinxterenlaan;0268300000000109;2;200;6532 CW;12 - Goffert;Nijmegen;Weg;
Aquilastraat;0268300000000322;1;31;6515 DV;50 - Oosterhout;Nijmegen;Weg;
Aragónstraat;0268300000001650;1;41;6663 NH;70 - Lent;Lent;Weg;
Aragónstraat;0268300000001650;2;60;6663 NH;70 - Lent;Lent;Weg;
Archimedesstraat;0268300000000857;8;26;6533 MA;15 - Grootstal;Nijmegen;Weg;
Archimedesstraat;0268300000000857;9;9;6533 MA;15 - Grootstal;Nijmegen;Weg;
Archimedesstraat;0268300000000857;28;74;6533 MB;15 - Grootstal;Nijmegen;Weg;
Archipelhof;0268300000000063;1;41;6524 LD;03 - Galgenveld;Nijmegen;Weg;
Archipelhof;0268300000000063;2;40;6524 LD;03 - Galgenveld;Nijmegen;Weg;
Archipelhof;0268300000000063;42;76;6524 LE;03 - Galgenveld;Nijmegen;Weg;
Archipelhof;0268300000000063;43;77;6524 LE;03 - Galgenveld;Nijmegen;Weg;
Archipelstraat;0268300000000858;1;23;6524 LK;03 - Galgenveld;Nijmegen;Weg;
Archipelstraat;0268300000000858;2;66;6524 LN;03 - Galgenveld;Nijmegen;Weg;
Archipelstraat;0268300000000858;25;33;6524 LL;03 - Galgenveld;Nijmegen;Weg;
Archipelstraat;0268300000000858;35;287;6524 LM;03 - Galgenveld;Nijmegen;Weg;
Archipelstraat;0268300000000858;68;112;6524 LP;03 - Galgenveld;Nijmegen;Weg;
Archipelstraat;0268300000000858;220;296;6524 LR;03 - Galgenveld;Nijmegen;Weg;
Arend Noorduijnstraat;0268300000000859;1;31;6512 BK;02 - Bottendaal;Nijmegen;Weg;
Arend Noorduijnstraat;0268300000000859;24;34;6512 BL;02 - Bottendaal;Nijmegen;Weg;
Ariënsstraat;0268300000000860;6;12;6532 VS;12 - Goffert;Nijmegen;Weg;
Ariënsstraat;0268300000000860;7;13;6532 VS;12 - Goffert;Nijmegen;Weg;
Ariënsstraat;0268300000000860;30;36;6532 VT;12 - Goffert;Nijmegen;Weg;
Ariënsstraat;0268300000000860;31;35;6532 VT;12 - Goffert;Nijmegen;Weg;
Ariënsstraat;0268300000000860;37;51;6532 VV;12 - Goffert;Nijmegen;Weg;
Ariënsstraat;0268300000000860;38;52;6532 VV;12 - Goffert;Nijmegen;Weg;
Arksteestraat;0268300000000861;1;23;6511 MX;01 - Stadscentrum;Nijmegen;Weg;
Arksteestraat;0268300000000861;2;14;6511 MZ;01 - Stadscentrum;Nijmegen;Weg;
Arminiaanseplaats;0268300000000862;;;;;Nijmegen;Weg;
Arnold van Akenplein;0268300000000264;2;62;6511 DZ;01 - Stadscentrum;Nijmegen;Weg;
Arnoldstraat;0268300000000863;;;;;Nijmegen;Weg;
Arsenaalgas;0268300000000221;3;7;6511 PB;01 - Stadscentrum;Nijmegen;Weg;
Arsenaalgas;0268300000000221;8;8;6511 PE;01 - Stadscentrum;Nijmegen;Weg;
Arsenaalplaats;0268300000000220;1;37;6511 PD;01 - Stadscentrum;Nijmegen;Weg;
Arsenaalplaats;0268300000000220;2;36;6511 PC;01 - Stadscentrum;Nijmegen;Weg;
Arsenaalpoort;0268300000000219;1;5;6511 PN;01 - Stadscentrum;Nijmegen;Weg;
Arsenaalpoort;0268300000000219;2;18;6511 PN;01 - Stadscentrum;Nijmegen;Weg;
Asdonksestraat;0268300000000323;1;11;6515 CC;50 - Oosterhout;Nijmegen;Weg;
Asdonksestraat;0268300000000323;2;12;6515 CC;50 - Oosterhout;Nijmegen;Weg;
Assumburgstraat;0268300000000864;1;31;6535 PK;16 - Hatert;Nijmegen;Weg;
Assumburgstraat;0268300000000864;2;16;6535 PL;16 - Hatert;Nijmegen;Weg;
Asterstraat;0268300000000865;1;31;6531 XV;21 - Wolfskuil;Nijmegen;Weg;
Astrid Lindgrenhof;0268300000001764;1;17;6515 XC;60 - Ressen;Nijmegen;Weg;
Astrid Lindgrenhof;0268300000001764;2;16;6515 XC;60 - Ressen;Nijmegen;Weg;
Asturiëstraat;0268300000001658;1;41;6663 NS;70 - Lent;Lent;Weg;
Athlonepad;0268300000000866;;;;;Nijmegen;Weg;
Athlonestraat;0268300000000867;2;32;6524 BH;04 - Altrade;Nijmegen;Weg;
Athlonestraat;0268300000000867;51;91;6524 BJ;04 - Altrade;Nijmegen;Weg;
Atjehstraat;0268300000000868;1;47;6524 KT;03 - Galgenveld;Nijmegen;Weg;
Atjehstraat;0268300000000868;2;2;6524 KT;03 - Galgenveld;Nijmegen;Weg;
Atjehstraat;0268300000000868;49;79;6524 KV;03 - Galgenveld;Nijmegen;Weg;
Aubadestraat;0268300000000869;1;27;6544 ZA;24 - Neerbosch-Oost;Nijmegen;Weg;
Aubadestraat;0268300000000869;2;48;6544 ZD;24 - Neerbosch-Oost;Nijmegen;Weg;
Aubadestraat;0268300000000869;29;55;6544 ZB;24 - Neerbosch-Oost;Nijmegen;Weg;
Aubadestraat;0268300000000869;50;98;6544 ZE;24 - Neerbosch-Oost;Nijmegen;Weg;
Aubadestraat;0268300000000869;57;67;6544 ZC;24 - Neerbosch-Oost;Nijmegen;Weg;
Aubadestraat;0268300000000869;100;130;6544 ZG;24 - Neerbosch-Oost;Nijmegen;Weg;
Aubadestraat;0268300000000869;132;162;6544 ZH;24 - Neerbosch-Oost;Nijmegen;Weg;
Aubadestraat;0268300000000869;164;256;6544 ZJ;24 - Neerbosch-Oost;Nijmegen;Weg;
Aubadestraat;0268300000000869;258;334;6544 ZK;24 - Neerbosch-Oost;Nijmegen;Weg;
Aubadestraat;0268300000000869;386;420;6544 ZL;24 - Neerbosch-Oost;Nijmegen;Weg;
Aubadestraat;0268300000000869;422;452;6544 ZM;24 - Neerbosch-Oost;Nijmegen;Weg;
Aubadestraat;0268300000000869;454;492;6544 ZN;24 - Neerbosch-Oost;Nijmegen;Weg;
Aubadestraat;0268300000000869;494;528;6544 ZP;24 - Neerbosch-Oost;Nijmegen;Weg;
Augustijnenstraat;0268300000000870;1;37;6511 KD;01 - Stadscentrum;Nijmegen;Weg;
Augustijnenstraat;0268300000000870;2;42;6511 KG;01 - Stadscentrum;Nijmegen;Weg;
Augustijnenstraat;0268300000000870;39;71;6511 KE;01 - Stadscentrum;Nijmegen;Weg;
Aventurijnpad;0268300000000169;;;;;Nijmegen;Weg;
