IMGEO_KLASSE;IMGEO_TYPE_PLUS;IMGEO_OBJECTBEGIN;IMGEO_BRONHOUDER;ID;IMGEO_LOKAALID;X;Y;LONG;LAT
Straatmeubilair;abri;2015-08-17;'s-Gravenhage (G);64165161;G0518.1E0A6F11-BE37-E183-E053-530A0B0A8A7D;81049.175;456810.354;4.308027545139358;52.094600672837835
Straatmeubilair;abri;2014-11-18;'s-Gravenhage (G);64172514;G0518.08D6E6EE-F2ED-653A-E050-2A0A313C2FF8;78329.417;456759.639;4.268356214361847;52.093774790948224
Straatmeubilair;abri;2015-10-12;'s-Gravenhage (G);64265818;G0518.22229732-2C03-9258-E053-530A0B0AC95B;84557.253;451222.407;4.360366559014532;52.044839907420396
Straatmeubilair;abri;2017-05-08;'s-Gravenhage (G);64180451;G0518.AC8D08C2-2E4A-4B8B-B663-C5B5ABBBB96B;78568.769;457060.772;4.271780899398234;52.09651407725961
Straatmeubilair;abri;2017-07-18;'s-Gravenhage (G);64253847;G0518.90C7886E-88AD-485E-8C07-F6FF09497DB1;74230.422;450528.524;4.210025809772117;52.03719550507042
Straatmeubilair;abri;2017-02-17;'s-Gravenhage (G);64168052;G0518.87469374-A4F0-420D-A0D9-440607B9014A;78716.767;457560.179;4.27382857299998;52.10102249289362
Straatmeubilair;abri;2017-04-25;'s-Gravenhage (G);64167673;G0518.8714B005-A6D0-4534-96DD-D45FEA0408EE;78804.931;457626.149;4.275100367253995;52.101627490567985
Straatmeubilair;abri;2015-10-12;'s-Gravenhage (G);64265821;G0518.22229732-1C9D-9258-E053-530A0B0AC95B;84635.331;451140.388;4.361521401686164;52.04411272073001
Straatmeubilair;abri;2017-06-13;'s-Gravenhage (G);64245868;G0518.E78FBA52-2EDE-43B6-B147-903F4ED10334;79387.311;455259.034;4.284123962748949;52.08043487828093
Straatmeubilair;abri;2014-10-06;'s-Gravenhage (G);64243722;G0518.0512F756-1C52-C180-E050-2A0A313C70A8;77141.425;454059.548;4.2516394935898925;52.06934422504199
Straatmeubilair;abri;2014-10-06;'s-Gravenhage (G);64243721;G0518.0512F756-1C53-C180-E050-2A0A313C70A8;77146.693;454062.514;4.251715636261777;52.069371620111575
Straatmeubilair;abri;2017-07-13;'s-Gravenhage (G);64252265;G0518.BA4DD459-3ABB-4511-BE05-8CF609729A30;73868.506;451365.594;4.20455345827508;52.04466503604101
Straatmeubilair;abri;2017-01-23;'s-Gravenhage (G);63775432;G0518.F44268D9-F691-4E55-B582-B6CB307ADD54;83787.902;453657.218;4.3486459786933525;52.066623027446305
Straatmeubilair;abri;2014-11-18;'s-Gravenhage (G);63777011;G0518.08D6E6EF-0D48-653A-E050-2A0A313C2FF8;78474.231;457058.695;4.270401946517601;52.096482345430175
Straatmeubilair;abri;2017-01-23;'s-Gravenhage (G);63775425;G0518.4F21977B-43BE-4BF5-9069-E1DA116F395A;83793.493;453617.487;4.3487357918520715;52.06626668827459
Straatmeubilair;abri;2015-10-12;'s-Gravenhage (G);64126646;G0518.22229732-956C-9258-E053-530A0B0AC95B;85045.518;450778.001;4.367573795199221;52.04090786326117
