FID,x,y,id,complex_naam,complex_code,dsk_kw_code,naam,omschrijving,beheerobjectsoort,aard,netwerk,route,relatie_tot_weg,rdx,rdy,stichtingsjaar,archiefcode,beheerder_instantieid,beheerder,beheerder_id,se_anno_cad_data,gdb_geomattr_data,shape
duiker.6586,179825,533640,9598,Schotertocht,15H-302,15H-302-01,Schotertocht,Westelijke duiker in de Schotertocht,Duiker,Droog,HWN,A6,in RW,179.825,533.64,,15H-302-01,1675,RWS MN / MN District Noord,1675,,,POINT (179825 533640)
duiker.6587,179920,533645,9599,Schotertocht,15H-302,15H-302-02,Schotertocht,Oostelijke duiker in de Schotertocht,Duiker,Droog,HWN,A6,in RW,179.92,533.645,,15H-302-02,1675,RWS MN / MN District Noord,1675,,,POINT (179920 533645)
duiker.6590,146111,426217,9602,Martinus Nijhoffbrug,39C-108,39C-108-02,,Duiker onder de aanbrug Martinus Nijhoffbrug,Duiker,Droog,HWN,A2,niet RW,146.111,426.217,1998,39C-108-00,1683,RWS ZN / ZN District Midden,1683,,,POINT (146111 426217)
duiker.6611,192969,355795,9687,Mortelsgraaf,58D-151,58D-151-01,Mortelsgraaf,Overstort en duiker t.b.v waterafvoer naar het Lateraalkanaal,Duiker,Nat,HWS,,,192.969,355.795,2012,58D-151-01,1684,RWS ZN / ZN District Zuid-Oost,1684,,,POINT (192969 355795)
duiker.6612,194361,357064,9688,Breulesgraaf,58D-152,58D-152-01,Breulesgraaf,Duiker t.b.v waterafvoer naar het Lateraalkanaal,Duiker,Nat,HWS,,,194.361,357.064,2012,58D-152-01,1684,RWS ZN / ZN District Zuid-Oost,1684,,,POINT (194361 357064)
duiker.6636,181350,329343,9715,-,60C-133,60C-133-01,Drainageleiding langs het Julianakanaal t.h.v. Elsloo,Drainageleiding langs het Julianakanaal t.h.v. Elsloo,Duiker,Nat,HWS,,,181.35,329.343,1933,60C-133-01,1684,RWS ZN / ZN District Zuid-Oost,1684,,,POINT (181350 329343)
duiker.6644,111135,486018,9726,Knooppunt Raasdorp,25D-016,25D-01615,Duiker gemaal Raasdorp,Duiker onder de rijksweg,Duiker,Droog,HWN,A5,in RW,111.135,486.018,2012,25D-016-15,1666,RWS WNN / WNN District Zuid,1666,,,POINT (111135 486018)
duiker.6693,112602,487421,9779,Duiker D09,25D-210,25D-210-01,Duiker D09,Duiker onder de rijksweg,Duiker,Droog,HWN,A5,in RW,112.602,487.421,2012,25D-210-01,1666,RWS WNN / WNN District Zuid,1666,,,POINT (112602 487421)
duiker.6708,30934,398023,9797,Duiker Oranjezonsprink,48B-122,48B-122-01,Duiker Oranjezonsprink,Duiker in de Oranjezonsprink,Duiker,Droog,HWN,N57,niet RW,30.934,398.023,2012,48B-122-01,1673,RWS ZD / ZD District Zuid,1673,,,POINT (30934 398023)
duiker.6710,32998,393143,9799,Duiker Veerse Watergang,48B-124,48B-124-01,Duiker Veerse watergang  ,Duiker in de Veerse Watergang,Duiker,Droog,HWN,N57,in RW,32.998,393.143,2012,48B-124-01,1673,RWS ZD / ZD District Zuid,1673,,,POINT (32998 393143)
